stat, rank, value, (percentage) 
minecraft.dropped.sand: #1, 7014(22%)
minecraft.dropped.light_gray_carpet: #1, 301(46%)
minecraft.dropped.emerald_ore: #1, 38(50%)
minecraft.dropped.light_gray_stained_glass: #1, 254(55%)
minecraft.dropped.brown_dye: #1, 156(68%)
minecraft.dropped.cyan_concrete: #1, 1071(78%)
minecraft.dropped.jack_o_lantern: #1, 218(90%)
minecraft.dropped.polished_granite_slab: #1, 184(49%)
minecraft.picked_up.dark_oak_door: #1, 87(26%)
minecraft.dropped.cocoa_beans: #1, 168(41%)
minecraft.used.polished_granite: #1, 3547(30%)
minecraft.used.light_blue_stained_glass_pane: #1, 605(38%)
minecraft.picked_up.blue_dye: #1, 523(38%)
minecraft.dropped.stone_brick_wall: #1, 238(48%)
minecraft.dropped.stone_slab: #1, 1706(26%)
minecraft.mined.stone_stairs: #1, 528(21%)
minecraft.used.golden_leggings: #1, 50(88%)
minecraft.picked_up.green_stained_glass: #1, 870(35%)
minecraft.mined.magenta_concrete: #1, 459(37%)
minecraft.dropped.black_stained_glass_pane: #1, 120(86%)
minecraft.dropped.light_gray_dye: #1, 244(57%)
minecraft.dropped.cobblestone_wall: #2, 415(38%)
minecraft.dropped.ladder: #1, 340(28%)
minecraft.picked_up.bookshelf: #2, 635(24%)
minecraft.picked_up.dark_oak_planks: #1, 2972(15%)
minecraft.dropped.smooth_stone: #1, 1150(34%)
minecraft.dropped.jungle_sapling: #1, 161(46%)
minecraft.dropped.black_carpet: #1, 261(42%)
minecraft.dropped.flowering_azalea_leaves: #1, 481(38%)
minecraft.dropped.warped_slab: #1, 212(55%)
minecraft.used.cornflower: #1, 87(27%)
minecraft.broken.stone_axe: #1, 12(31%)
minecraft.dropped.scaffolding: #1, 2872(22%)
minecraft.dropped.light_gray_concrete_powder: #1, 2671(54%)
minecraft.crafted.cyan_stained_glass: #1, 5384(32%)
minecraft.crafted.cobblestone_stairs: #1, 544(24%)
minecraft.mined.dark_oak_fence_gate: #1, 89(34%)
minecraft.picked_up.snow: #2, 10771(19%)
minecraft.picked_up.ice: #2, 41805(20%)
minecraft.picked_up.andesite_stairs: #1, 186(25%)
minecraft.picked_up.light_gray_concrete_powder: #1, 4543(25%)
minecraft.mined.snow_block: #2, 20129(18%)
minecraft.dropped.stone_bricks: #2, 1582(25%)
minecraft.dropped.dark_oak_fence_gate: #1, 253(78%)
minecraft.dropped.yellow_stained_glass_pane: #1, 178(78%)
minecraft.used.cyan_banner: #1, 67(52%)
minecraft.used.black_wool: #1, 2213(21%)
minecraft.used.raw_copper_block: #1, 506(31%)
minecraft.picked_up.magenta_stained_glass: #2, 664(29%)
minecraft.dropped.black_concrete_powder: #1, 5254(45%)
minecraft.dropped.stripped_acacia_log: #1, 65(57%)
minecraft.dropped.jungle_planks: #1, 214(26%)
minecraft.dropped.brown_stained_glass: #1, 88(90%)
minecraft.picked_up.stone_brick_slab: #2, 2069(21%)
minecraft.used.cobbled_deepslate_stairs: #2, 1099(25%)
minecraft.dropped.red_nether_bricks: #1, 85(89%)
minecraft.used.brown_stained_glass_pane: #1, 177(63%)
minecraft.mined.cyan_concrete_powder: #1, 181(37%)
minecraft.dropped.warped_stairs: #1, 30(73%)
minecraft.dropped.loom: #1, 20(62%)
minecraft.mined.jungle_sapling: #1, 77(48%)
minecraft.mined.light_gray_concrete: #1, 5219(20%)
minecraft.used.granite: #2, 4378(17%)
minecraft.used.snowball: #2, 1197(16%)
minecraft.used.dark_oak_sign: #1, 315(16%)
minecraft.dropped.cauldron: #1, 26(46%)
minecraft.crafted.granite_slab: #2, 774(29%)
minecraft.used.black_stained_glass_pane: #1, 1161(28%)
minecraft.mined.red_stained_glass_pane: #1, 119(42%)
minecraft.dropped.soul_lantern: #1, 98(46%)
minecraft.crafted.light_blue_stained_glass_pane: #1, 688(26%)
minecraft.picked_up.dark_oak_sapling: #2, 3930(19%)
minecraft.dropped.magenta_stained_glass: #2, 165(36%)
minecraft.dropped.blue_dye: #1, 143(51%)
minecraft.picked_up.stripped_jungle_log: #2, 1468(27%)
minecraft.dropped.red_stained_glass: #1, 773(81%)
minecraft.dropped.warped_planks: #1, 232(29%)
minecraft.used.brown_concrete: #1, 433(29%)
minecraft.picked_up.diorite_stairs: #1, 83(40%)
minecraft.picked_up.stone_slab: #1, 2919(14%)
minecraft.picked_up.red_wool: #1, 1935(16%)
minecraft.dropped.cobbled_deepslate_stairs: #1, 157(36%)
minecraft.picked_up.cyan_concrete: #2, 2967(23%)
minecraft.crafted.brown_stained_glass_pane: #1, 224(56%)
minecraft.dropped.stone_brick_slab: #2, 1429(33%)
minecraft.dropped.chain: #1, 277(23%)
minecraft.crafted.black_stained_glass_pane: #1, 1507(26%)
minecraft.crafted.polished_basalt: #2, 5616(24%)
minecraft.dropped.dark_oak_leaves: #1, 165(23%)
minecraft.crafted.dark_oak_planks: #2, 54951(15%)
minecraft.mined.polished_granite: #2, 364(22%)
minecraft.picked_up.copper_block: #2, 2192(18%)
minecraft.dropped.cyan_stained_glass: #1, 382(95%)
minecraft.dropped.purple_glazed_terracotta: #1, 308(95%)
minecraft.picked_up.gray_dye: #1, 410(34%)
minecraft.crafted.black_carpet: #2, 14542(32%)
minecraft.used.brown_stained_glass: #1, 716(47%)
minecraft.dropped.cyan_stained_glass_pane: #1, 78(93%)
minecraft.dropped.grindstone: #1, 38(46%)
minecraft.dropped.snow_block: #2, 4655(20%)
minecraft.crafted.purple_glazed_terracotta: #1, 996(41%)
minecraft.crafted.pink_stained_glass: #2, 4432(31%)
minecraft.dropped.lantern: #2, 532(23%)
minecraft.used.fern: #2, 543(26%)
minecraft.used.magenta_concrete: #1, 435(40%)
minecraft.picked_up.white_wool: #2, 3106(15%)
minecraft.dropped.red_concrete: #1, 148(40%)
minecraft.dropped.dark_oak_sign: #2, 86(23%)
minecraft.dropped.lime_stained_glass_pane: #1, 26(90%)
minecraft.picked_up.dark_oak_button: #1, 151(20%)
minecraft.dropped.blaze_rod: #1, 244(36%)
minecraft.dropped.cyan_carpet: #1, 170(89%)
minecraft.dropped.gray_stained_glass: #1, 128(40%)
minecraft.dropped.red_stained_glass_pane: #1, 170(50%)
minecraft.picked_up.oak_hanging_sign: #1, 22(29%)
minecraft.dropped.prismarine_bricks: #1, 408(29%)
minecraft.used.lead: #1, 13(17%)
minecraft.picked_up.lantern: #2, 1057(14%)
minecraft.dropped.acacia_sapling: #1, 94(20%)
minecraft.crafted.dark_oak_sign: #1, 285(15%)
minecraft.picked_up.black_banner: #1, 88(25%)
minecraft.mined.purple_concrete_powder: #1, 40(49%)
minecraft.picked_up.emerald_ore: #2, 156(18%)
minecraft.crafted.chiseled_stone_bricks: #2, 3764(21%)
minecraft.dropped.polished_granite_stairs: #1, 38(68%)
minecraft.crafted.cyan_bed: #1, 10(22%)
minecraft.dropped.spruce_trapdoor: #2, 219(20%)
minecraft.dropped.magenta_concrete_powder: #1, 220(83%)
minecraft.dropped.purple_concrete_powder: #1, 90(81%)
minecraft.picked_up.magenta_concrete_powder: #1, 220(41%)
minecraft.crafted.cooked_mutton: #2, 154(19%)
minecraft.dropped.chiseled_deepslate: #2, 138(42%)
minecraft.crafted.brown_stained_glass: #1, 1888(35%)
minecraft.dropped.brown_carpet: #1, 81(39%)
minecraft.dropped.pink_concrete_powder: #1, 128(79%)
minecraft.crafted.cyan_carpet: #2, 639(21%)
minecraft.picked_up.magenta_stained_glass_pane: #1, 45(39%)
minecraft.dropped.pink_petals: #1, 94(28%)
minecraft.dropped.polished_diorite_stairs: #1, 44(62%)
minecraft.mined.allium: #2, 128(19%)
minecraft.crafted.polished_andesite_stairs: #2, 440(25%)
minecraft.dropped.andesite_wall: #1, 140(43%)
minecraft.used.warped_roots: #2, 305(34%)
minecraft.dropped.purple_stained_glass_pane: #1, 55(50%)
minecraft.dropped.fern: #2, 159(45%)
minecraft.picked_up.nether_brick_slab: #1, 192(38%)
minecraft.dropped.jungle_fence_gate: #1, 48(60%)
minecraft.picked_up.acacia_stairs: #1, 40(33%)
minecraft.picked_up.cyan_dye: #1, 325(25%)
minecraft.dropped.warped_fence: #1, 13(37%)
minecraft.crafted.light_gray_carpet: #2, 1793(19%)
minecraft.mined.raw_copper_block: #2, 161(23%)
minecraft.broken.iron_axe: #1, 14(15%)
minecraft.dropped.oxeye_daisy: #2, 67(24%)
minecraft.dropped.cyan_concrete_powder: #1, 255(58%)
minecraft.dropped.brown_concrete_powder: #1, 179(58%)
minecraft.dropped.flower_pot: #1, 74(22%)
minecraft.dropped.glow_item_frame: #1, 35(48%)
minecraft.dropped.gray_dye: #1, 176(36%)
minecraft.picked_up.brown_stained_glass_pane: #1, 150(72%)
minecraft.dropped.spruce_stairs: #2, 146(30%)
minecraft.picked_up.stone_brick_stairs: #2, 573(16%)
minecraft.mined.oak_hanging_sign: #1, 15(47%)
minecraft.dropped.granite: #2, 3748(15%)
minecraft.picked_up.yellow_stained_glass_pane: #2, 240(27%)
minecraft.dropped.black_banner: #1, 27(35%)
minecraft.picked_up.black_stained_glass_pane: #2, 240(24%)
minecraft.crafted.prismarine_brick_stairs: #1, 28(93%)
minecraft.dropped.white_stained_glass: #2, 494(29%)
minecraft.mined.lantern: #2, 147(13%)
minecraft.dropped.stripped_oak_log: #2, 108(34%)
minecraft.mined.white_concrete: #2, 11610(14%)
minecraft.picked_up.cobblestone_wall: #2, 488(15%)
minecraft.crafted.stone_brick_slab: #2, 4428(16%)
minecraft.mined.dark_oak_sapling: #2, 62(19%)
minecraft.dropped.brown_concrete: #1, 64(90%)
minecraft.crafted.lime_stained_glass: #2, 3752(18%)
minecraft.dropped.brick_stairs: #1, 72(44%)
minecraft.picked_up.brown_dye: #1, 202(24%)
minecraft.mined.cyan_wall_banner: #1, 13(37%)
minecraft.dropped.purple_carpet: #1, 52(65%)
minecraft.dropped.ink_sac: #2, 4146(18%)
minecraft.picked_up.stone_brick_wall: #2, 288(16%)
minecraft.dropped.polished_blackstone: #2, 672(33%)
minecraft.picked_up.blaze_rod: #2, 634(14%)
minecraft.dropped.tripwire_hook: #1, 16(23%)
minecraft.mined.brown_concrete: #2, 576(20%)
minecraft.dropped.cobbled_deepslate_slab: #2, 188(21%)
minecraft.used.jungle_log: #2, 1225(15%)
minecraft.dropped.bookshelf: #2, 455(39%)
minecraft.crafted.polished_granite: #3, 4336(21%)
minecraft.mined.kelp: #2, 820(15%)
minecraft.crafted.red_carpet: #2, 2618(14%)
minecraft.picked_up.soul_lantern: #2, 175(16%)
minecraft.crafted.brown_shulker_box: #2, 48(16%)
minecraft.dropped.brown_mushroom_block: #2, 792(24%)
minecraft.mined.sea_lantern: #2, 286(15%)
minecraft.dropped.andesite_stairs: #1, 87(48%)
minecraft.used.red_stained_glass_pane: #2, 397(26%)
minecraft.picked_up.prismarine_shard: #2, 2230(21%)
minecraft.picked_up.cobblestone_stairs: #2, 294(14%)
minecraft.dropped.polished_diorite: #2, 285(24%)
minecraft.picked_up.brown_concrete: #2, 633(19%)
minecraft.dropped.piston: #2, 158(24%)
minecraft.picked_up.polished_blackstone: #2, 813(15%)
minecraft.picked_up.brown_concrete_powder: #2, 199(17%)
minecraft.used.cyan_carpet: #2, 682(18%)
minecraft.mined.warped_roots: #3, 995(17%)
minecraft.used.iron_axe: #2, 3797(11%)
minecraft.dropped.gray_stained_glass_pane: #1, 62(45%)
minecraft.used.dark_oak_leaves: #2, 1210(22%)
minecraft.used.map: #2, 106(15%)
minecraft.mined.farmland: #2, 133(15%)
minecraft.mined.ice: #3, 41147(16%)
minecraft.used.white_concrete: #3, 10775(15%)
minecraft.picked_up.glass: #2, 7306(11%)
