stat, rank, value, (percentage) 
minecraft.picked_up.smooth_stone: #2, 3325(24%)
minecraft.mined.purple_bed: #2, 337(38%)
minecraft.used.waxed_copper_block: #1, 801(30%)
minecraft.dropped.oxidized_copper: #1, 726(93%)
minecraft.dropped.activator_rail: #1, 33(52%)
minecraft.dropped.glow_ink_sac: #1, 293(24%)
minecraft.used.cracked_nether_bricks: #1, 220(76%)
minecraft.mined.smooth_stone_slab: #1, 534(18%)
minecraft.mined.cracked_nether_bricks: #1, 35(76%)
minecraft.crafted.bowl: #1, 368(41%)
minecraft.custom.damage_taken: #2, 1440790(11%)
minecraft.crafted.yellow_shulker_box: #1, 57(21%)
minecraft.used.mangrove_log: #2, 4011(23%)
minecraft.picked_up.bamboo_raft: #1, 63(26%)
minecraft.used.smooth_stone: #2, 5662(22%)
minecraft.used.chest: #1, 5194(13%)
minecraft.crafted.gold_ingot: #2, 155298(19%)
minecraft.mined.raw_copper_block: #1, 177(25%)
minecraft.picked_up.chainmail_chestplate: #1, 26(25%)
minecraft.used.birch_button: #2, 302(35%)
minecraft.used.hopper: #1, 5488(16%)
minecraft.crafted.polished_blackstone_slab: #1, 412(26%)
minecraft.picked_up.bamboo_mosaic: #1, 113(84%)
minecraft.mined.oak_door: #1, 21(22%)
minecraft.picked_up.honey_bottle: #2, 520(35%)
minecraft.mined.coal_block: #1, 128(23%)
minecraft.mined.white_bed: #1, 322(14%)
minecraft.used.smooth_stone_slab: #2, 4907(20%)
minecraft.mined.furnace: #2, 482(16%)
minecraft.used.orange_glazed_terracotta: #1, 237(82%)
minecraft.crafted.golden_chestplate: #1, 28(37%)
minecraft.crafted.green_wool: #1, 935(45%)
minecraft.picked_up.cracked_nether_bricks: #1, 35(67%)
minecraft.used.honey_bottle: #1, 166(20%)
minecraft.dropped.iron_sword: #1, 36(22%)
minecraft.dropped.leather_leggings: #2, 97(25%)
minecraft.used.bamboo_raft: #1, 63(26%)
minecraft.mined.ice: #2, 47921(18%)
minecraft.used.bamboo_mosaic: #1, 132(78%)
minecraft.picked_up.white_bed: #1, 333(13%)
minecraft.used.kelp: #1, 2377(17%)
minecraft.crafted.cyan_stained_glass: #2, 5352(32%)
minecraft.used.granite_stairs: #1, 109(35%)
minecraft.used.hopper_minecart: #1, 286(15%)
minecraft.mined.bamboo_mosaic: #1, 113(94%)
minecraft.picked_up.furnace: #2, 479(14%)
minecraft.crafted.bamboo_mosaic: #1, 209(62%)
minecraft.used.red_nether_brick_slab: #1, 259(94%)
minecraft.picked_up.leather_helmet: #2, 49(16%)
minecraft.crafted.dried_kelp_block: #2, 2178(29%)
minecraft.dropped.ice: #2, 1453(29%)
minecraft.mined.waxed_cut_copper_slab: #1, 125(41%)
minecraft.picked_up.nether_brick_stairs: #1, 46(33%)
minecraft.crafted.cut_sandstone: #1, 5380(41%)
minecraft.dropped.beetroot: #1, 140(92%)
minecraft.dropped.spectral_arrow: #2, 4445(21%)
minecraft.crafted.composter: #2, 945(18%)
minecraft.picked_up.cobblestone: #2, 178961(12%)
minecraft.dropped.bone: #2, 5966(15%)
minecraft.dropped.light_weighted_pressure_plate: #1, 454(60%)
minecraft.killed.frog: #1, 59(51%)
minecraft.picked_up.stone: #1, 319423(10%)
minecraft.used.redstone_lamp: #2, 706(19%)
minecraft.picked_up.stripped_crimson_stem: #2, 627(17%)
minecraft.mined.stripped_crimson_stem: #2, 633(18%)
minecraft.crafted.bamboo_slab: #1, 534(34%)
minecraft.used.tadpole_bucket: #1, 38(31%)
minecraft.picked_up.orange_stained_glass: #2, 839(25%)
minecraft.mined.mud_brick_wall: #1, 35(28%)
minecraft.crafted.smooth_sandstone: #1, 1525(20%)
minecraft.mined.prismarine_brick_stairs: #1, 31(84%)
minecraft.custom.open_enderchest: #2, 10742(9%)
minecraft.used.cooked_beef: #2, 1648(16%)
minecraft.picked_up.stick: #2, 15723(12%)
minecraft.used.nether_brick_stairs: #1, 239(32%)
minecraft.used.music_disc_cat: #1, 46(19%)
minecraft.mined.nether_brick_stairs: #1, 46(32%)
minecraft.picked_up.black_concrete: #2, 8918(17%)
minecraft.used.basalt: #2, 11945(15%)
minecraft.mined.cut_sandstone_slab: #1, 324(52%)
minecraft.used.cut_sandstone_slab: #1, 4093(45%)
minecraft.killed.piglin: #2, 383(15%)
minecraft.picked_up.mangrove_fence: #1, 51(21%)
minecraft.picked_up.chiseled_sandstone: #2, 55(29%)
minecraft.picked_up.iron_sword: #1, 30(13%)
minecraft.used.composter: #2, 754(15%)
minecraft.mined.cake: #1, 20(34%)
minecraft.used.red_nether_brick_stairs: #1, 75(61%)
minecraft.used.mangrove_fence: #2, 449(25%)
minecraft.dropped.chainmail_leggings: #2, 28(25%)
minecraft.picked_up.glowstone_dust: #2, 2611(16%)
minecraft.picked_up.dead_bubble_coral_fan: #1, 6(60%)
minecraft.mined.hopper: #2, 1469(15%)
minecraft.mined.mangrove_fence: #1, 52(23%)
minecraft.picked_up.hopper: #2, 1700(15%)
minecraft.killed_by.wither: #1, 20(37%)
