stat, rank, value, (percentage) 
minecraft.mined.stone_brick_slab: #2, 181(4%)
minecraft.mined.mangrove_log: #3, 1133(10%)
minecraft.dropped.green_bed: #2, 2(18%)
minecraft.picked_up.rabbit_hide: #3, 45(13%)
minecraft.picked_up.green_stained_glass: #3, 345(14%)
minecraft.used.oak_door: #3, 16(10%)
minecraft.mined.acacia_wood: #3, 51(11%)
minecraft.custom.animals_bred: #3, 1274(8%)
minecraft.mined.pink_stained_glass: #3, 64(16%)
minecraft.picked_up.acacia_fence_gate: #2, 5(26%)
minecraft.used.music_disc_otherside: #3, 16(10%)
minecraft.crafted.prismarine: #3, 3480(22%)
minecraft.dropped.jungle_boat: #2, 4(12%)
minecraft.used.warped_planks: #3, 2516(9%)
minecraft.mined.stripped_bamboo_block: #3, 58(20%)
minecraft.picked_up.gold_ore: #3, 136(9%)
minecraft.picked_up.mud_brick_wall: #3, 30(16%)
minecraft.killed.guardian: #3, 31(15%)
minecraft.picked_up.stripped_bamboo_block: #3, 58(20%)
minecraft.dropped.blue_carpet: #2, 12(11%)
minecraft.picked_up.red_glazed_terracotta: #3, 121(16%)
minecraft.crafted.black_stained_glass: #3, 14464(10%)
minecraft.crafted.nether_brick: #2, 1433(8%)
minecraft.picked_up.crimson_sign: #3, 14(14%)
minecraft.used.netherite_hoe: #3, 36011(13%)
minecraft.used.iron_shovel: #4, 9086(9%)
minecraft.picked_up.end_stone: #2, 2750(4%)
minecraft.mined.end_stone: #2, 2713(4%)
minecraft.crafted.mangrove_pressure_plate: #3, 84(16%)
minecraft.dropped.netherite_axe: #3, 9(11%)
minecraft.mined.pearlescent_froglight: #3, 92(9%)
minecraft.dropped.brown_shulker_box: #2, 1(12%)
minecraft.dropped.diamond_horse_armor: #2, 3(10%)
minecraft.picked_up.basalt: #4, 22191(10%)
minecraft.picked_up.golden_apple: #4, 108(12%)
minecraft.crafted.black_carpet: #3, 5676(12%)
minecraft.mined.nether_brick_wall: #2, 7(21%)
minecraft.dropped.minecart: #3, 52(10%)
minecraft.crafted.blue_glazed_terracotta: #2, 256(28%)
minecraft.crafted.red_wool: #3, 730(9%)
minecraft.dropped.sniffer_egg: #2, 1(17%)
minecraft.picked_up.feather: #3, 2531(6%)
minecraft.picked_up.activator_rail: #3, 139(15%)
minecraft.used.milk_bucket: #3, 18(9%)
minecraft.used.polished_diorite_stairs: #3, 203(17%)
minecraft.custom.target_hit: #3, 179(6%)
minecraft.picked_up.spectral_arrow: #3, 1732(7%)
minecraft.picked_up.leather_chestplate: #3, 47(8%)
minecraft.dropped.cornflower: #2, 289(5%)
minecraft.picked_up.bamboo_hanging_sign: #2, 8(21%)
minecraft.dropped.netherite_pickaxe: #3, 16(8%)
minecraft.picked_up.wild_armor_trim_smithing_template: #2, 1(20%)
minecraft.used.beetroot_soup: #2, 1(20%)
minecraft.mined.dead_bubble_coral: #2, 1(20%)
minecraft.mined.observer: #3, 590(7%)
minecraft.picked_up.coal: #4, 14258(8%)
minecraft.mined.tripwire_hook: #3, 15(9%)
minecraft.picked_up.kelp: #4, 11223(11%)
minecraft.crafted.dark_prismarine: #3, 4256(18%)
minecraft.mined.acacia_wall_sign: #3, 19(15%)
minecraft.used.stonecutter: #4, 229(10%)
minecraft.picked_up.charcoal: #4, 921(13%)
minecraft.picked_up.smooth_stone_slab: #4, 466(11%)
minecraft.crafted.diorite_stairs: #3, 150(16%)
minecraft.picked_up.dropper: #3, 265(6%)
minecraft.mined.potted_red_mushroom: #2, 1(25%)
minecraft.dropped.redstone: #4, 1477(11%)
minecraft.crafted.mangrove_slab: #4, 534(13%)
minecraft.used.light_blue_concrete: #3, 290(11%)
minecraft.mined.lever: #4, 149(9%)
minecraft.picked_up.stone_bricks: #3, 3062(6%)
minecraft.crafted.sponge: #3, 879(17%)
minecraft.crafted.warped_hyphae: #3, 765(11%)
minecraft.crafted.dark_oak_button: #3, 267(8%)
minecraft.killed.rabbit: #3, 21(13%)
minecraft.used.beetroot_seeds: #3, 268(13%)
minecraft.mined.waxed_weathered_copper: #3, 213(11%)
minecraft.used.dark_oak_button: #3, 235(9%)
minecraft.used.end_stone: #2, 1967(4%)
minecraft.crafted.white_banner: #3, 161(11%)
minecraft.crafted.iron_pickaxe: #3, 24(6%)
minecraft.used.dead_horn_coral_fan: #2, 1(17%)
minecraft.broken.diamond_axe: #2, 1(17%)
minecraft.mined.mangrove_sign: #2, 1(33%)
minecraft.dropped.composter: #3, 11(12%)
minecraft.picked_up.sandstone_stairs: #3, 57(14%)
minecraft.dropped.cobbled_deepslate_stairs: #3, 65(15%)
minecraft.crafted.acacia_fence: #3, 129(15%)
minecraft.crafted.cracked_nether_bricks: #2, 149(16%)
minecraft.dropped.netherite_hoe: #3, 3(12%)
minecraft.broken.netherite_pickaxe: #2, 1(12%)
minecraft.mined.stone: #4, 384840(7%)
minecraft.picked_up.dead_horn_coral: #2, 1(20%)
minecraft.mined.brown_stained_glass_pane: #2, 2(20%)
minecraft.mined.dead_horn_coral: #2, 1(20%)
minecraft.picked_up.deepslate_iron_ore: #4, 500(10%)
minecraft.crafted.slime_ball: #3, 2367(7%)
minecraft.dropped.cut_copper: #2, 12(19%)
minecraft.custom.interact_with_crafting_table: #4, 5751(6%)
minecraft.mined.jungle_wall_sign: #2, 9(6%)
minecraft.crafted.beetroot_soup: #2, 1(14%)
minecraft.dropped.cut_sandstone: #3, 86(11%)
minecraft.used.melon: #2, 266(5%)
minecraft.crafted.crimson_door: #3, 12(11%)
minecraft.crafted.iron_shovel: #4, 38(8%)
minecraft.picked_up.observer: #3, 641(6%)
minecraft.crafted.chiseled_nether_bricks: #2, 9(8%)
minecraft.crafted.gray_dye: #4, 3198(10%)
minecraft.picked_up.blaze_powder: #3, 105(8%)
minecraft.used.brick_wall: #3, 109(14%)
minecraft.custom.walk_under_water_one_cm: #5, 15811923(5%)
minecraft.used.pearlescent_froglight: #4, 557(11%)
minecraft.mined.nether_wart: #4, 1034(10%)
minecraft.dropped.acacia_fence: #2, 1(17%)
minecraft.dropped.iron_bars: #3, 296(10%)
minecraft.dropped.purple_bed: #2, 4(8%)
minecraft.used.stone_bricks: #3, 8055(6%)
minecraft.crafted.glass_pane: #3, 1680(7%)
minecraft.picked_up.mangrove_stairs: #3, 26(10%)
minecraft.mined.honey_block: #4, 168(10%)
minecraft.used.mushroom_stew: #3, 30(21%)
minecraft.mined.enchanting_table: #3, 5(10%)
minecraft.crafted.mangrove_door: #3, 9(10%)
minecraft.mined.warped_trapdoor: #4, 122(14%)
minecraft.crafted.gold_nugget: #3, 7443(10%)
minecraft.dropped.golden_apple: #3, 26(7%)
minecraft.crafted.netherite_sword: #3, 2(14%)
minecraft.picked_up.copper_block: #4, 1103(9%)
minecraft.crafted.diorite_slab: #3, 104(13%)
minecraft.crafted.glowstone: #4, 2643(10%)
minecraft.mined.yellow_candle: #2, 3(4%)
minecraft.used.green_stained_glass_pane: #3, 201(12%)
minecraft.used.netherite_pickaxe: #4, 553027(10%)
minecraft.dropped.ancient_debris: #2, 28(4%)
minecraft.picked_up.stone_slab: #4, 1722(8%)
minecraft.mined.dried_kelp_block: #3, 37(19%)
minecraft.used.bamboo_slab: #3, 73(17%)
minecraft.picked_up.copper_ore: #4, 2369(9%)
minecraft.picked_up.bowl: #4, 46(12%)
minecraft.mined.dead_fire_coral: #2, 1(8%)
minecraft.used.bamboo_fence: #2, 77(7%)
minecraft.dropped.lily_pad: #3, 17(13%)
minecraft.used.waxed_cut_copper_slab: #3, 122(17%)
minecraft.used.rail: #4, 5847(8%)
minecraft.crafted.bamboo_fence: #2, 81(5%)
minecraft.crafted.polished_diorite_slab: #3, 134(12%)
minecraft.picked_up.bamboo_fence: #2, 12(8%)
minecraft.picked_up.purple_shulker_box: #4, 164(11%)
minecraft.picked_up.dead_fire_coral: #2, 1(8%)
minecraft.picked_up.nether_wart: #4, 3743(10%)
minecraft.picked_up.brown_banner: #3, 10(19%)
minecraft.dropped.chiseled_sandstone: #3, 10(16%)
minecraft.picked_up.crimson_fungus: #3, 531(6%)
minecraft.dropped.bamboo_planks: #3, 25(13%)
minecraft.killed_by.zombified_piglin: #2, 1(5%)
minecraft.mined.crimson_fence: #4, 41(17%)
minecraft.crafted.yellow_concrete: #3, 152(16%)
minecraft.crafted.golden_pickaxe: #2, 1(4%)
minecraft.mined.smooth_sandstone: #3, 471(6%)
minecraft.mined.purple_shulker_box: #4, 165(11%)
minecraft.picked_up.pitcher_pod: #3, 198(8%)
minecraft.mined.yellow_stained_glass: #3, 121(9%)
minecraft.mined.warped_fence_gate: #3, 6(14%)
minecraft.crafted.smooth_sandstone_slab: #3, 232(11%)
minecraft.used.mud_bricks: #4, 1052(10%)
minecraft.used.gilded_blackstone: #2, 15(3%)
minecraft.used.ink_sac: #2, 1(10%)
minecraft.crafted.soul_campfire: #3, 113(10%)
minecraft.used.bamboo_sign: #3, 18(17%)
minecraft.picked_up.detector_rail: #3, 33(7%)
minecraft.picked_up.bamboo_planks: #3, 29(9%)
minecraft.mined.basalt: #4, 23811(8%)
minecraft.picked_up.warped_fence_gate: #3, 6(13%)
minecraft.used.water_bucket: #4, 5457(6%)
minecraft.crafted.light_blue_glazed_terracotta: #2, 25(4%)
minecraft.picked_up.nether_wart_block: #4, 4086(9%)
minecraft.mined.smooth_basalt: #4, 1722(9%)
minecraft.used.observer: #4, 2227(8%)
minecraft.mined.iron_ore: #4, 3788(7%)
minecraft.used.ancient_debris: #3, 22(8%)
minecraft.mined.verdant_froglight: #3, 125(6%)
minecraft.picked_up.deepslate_lapis_ore: #4, 212(9%)
minecraft.mined.sandstone_stairs: #3, 36(9%)
minecraft.used.light_blue_candle: #3, 21(14%)
minecraft.mined.orange_glazed_terracotta: #3, 15(14%)
minecraft.custom.interact_with_beacon: #4, 88(8%)
minecraft.mined.wither_skeleton_skull: #2, 8(1%)
minecraft.used.target: #4, 245(10%)
minecraft.used.oak_sign: #4, 259(7%)
minecraft.crafted.birch_door: #3, 12(7%)
minecraft.dropped.pearlescent_froglight: #3, 19(18%)
minecraft.crafted.lead: #4, 92(11%)
minecraft.used.purple_stained_glass_pane: #3, 419(10%)
minecraft.mined.chiseled_quartz_block: #3, 15(9%)
minecraft.crafted.sandstone_stairs: #3, 59(9%)
minecraft.used.brown_stained_glass: #3, 205(13%)
minecraft.mined.sandstone_slab: #3, 103(10%)
minecraft.mined.diorite_stairs: #3, 9(11%)
minecraft.used.lever: #4, 454(7%)
minecraft.used.cut_copper: #4, 517(11%)
minecraft.picked_up.nether_brick_slab: #3, 68(13%)
minecraft.used.warped_fence: #4, 245(12%)
minecraft.used.dark_oak_log: #4, 3798(7%)
minecraft.crafted.mud_bricks: #4, 1728(10%)
minecraft.crafted.light_blue_candle: #2, 21(1%)
minecraft.used.cod: #3, 7(9%)
minecraft.crafted.blue_ice: #3, 821(6%)
minecraft.crafted.red_sandstone_stairs: #2, 1(1%)
minecraft.picked_up.dead_fire_coral_fan: #2, 1(1%)
minecraft.crafted.orange_candle: #2, 17(1%)
minecraft.crafted.brown_wool: #3, 101(11%)
minecraft.broken.shears: #4, 33(8%)
minecraft.dropped.pitcher_pod: #3, 203(15%)
minecraft.used.acacia_fence_gate: #3, 9(15%)
minecraft.picked_up.light_blue_concrete: #3, 189(6%)
minecraft.mined.dark_oak_fence: #4, 189(8%)
minecraft.dropped.damaged_anvil: #3, 2(12%)
minecraft.crafted.air: #2, 0(0%)
minecraft.crafted.bamboo_sign: #3, 18(12%)
minecraft.used.mud_brick_slab: #3, 303(7%)
minecraft.crafted.oak_sign: #4, 204(7%)
minecraft.crafted.lime_concrete: #3, 144(20%)
minecraft.used.dead_bush: #3, 62(7%)
minecraft.crafted.dispenser: #4, 559(9%)
minecraft.mined.purple_glazed_terracotta: #3, 9(16%)
minecraft.used.verdant_froglight: #4, 750(10%)
minecraft.crafted.black_concrete_powder: #4, 16048(9%)
minecraft.crafted.deepslate_tile_slab: #4, 390(9%)
minecraft.dropped.potion: #4, 200(8%)
minecraft.picked_up.end_stone_brick_wall: #3, 10(12%)
minecraft.picked_up.amethyst_block: #4, 1955(8%)
minecraft.used.polished_blackstone_slab: #3, 732(5%)
minecraft.used.medium_amethyst_bud: #3, 45(6%)
minecraft.dropped.black_stained_glass: #3, 74(8%)
minecraft.used.deepslate_tile_wall: #4, 981(9%)
minecraft.used.coal_block: #4, 401(9%)
minecraft.crafted.blackstone_wall: #3, 37(8%)
minecraft.used.bamboo_hanging_sign: #3, 13(22%)
minecraft.mined.smooth_sandstone_stairs: #4, 214(13%)
minecraft.crafted.light_weighted_pressure_plate: #3, 454(6%)
minecraft.used.wither_skeleton_skull: #3, 88(5%)
minecraft.used.activator_rail: #3, 140(7%)
minecraft.used.yellow_glazed_terracotta: #3, 102(12%)
minecraft.used.acacia_pressure_plate: #3, 3(12%)
minecraft.dropped.iron_boots: #4, 69(9%)
minecraft.used.prismarine_brick_stairs: #3, 39(13%)
minecraft.mined.green_carpet: #3, 63(5%)
minecraft.picked_up.smooth_sandstone_stairs: #4, 203(12%)
minecraft.crafted.yellow_dye: #4, 3458(7%)
minecraft.used.sand: #4, 23709(7%)
minecraft.picked_up.warped_fence: #4, 72(10%)
minecraft.killed_by.spider: #3, 1(12%)
minecraft.crafted.red_nether_brick_stairs: #3, 9(15%)
minecraft.broken.stone_sword: #3, 2(7%)
minecraft.mined.birch_button: #3, 6(8%)
minecraft.mined.end_stone_brick_wall: #3, 10(11%)
minecraft.used.red_nether_bricks: #3, 99(10%)
minecraft.crafted.slime_block: #3, 2273(4%)
minecraft.picked_up.music_disc_otherside: #4, 19(8%)
minecraft.picked_up.iron_boots: #4, 45(6%)
minecraft.used.mud: #4, 4282(7%)
minecraft.crafted.nether_brick_slab: #3, 416(9%)
minecraft.picked_up.dead_horn_coral_fan: #3, 2(12%)
minecraft.crafted.recovery_compass: #3, 1(10%)
minecraft.picked_up.deepslate_copper_ore: #4, 127(9%)
minecraft.crafted.green_concrete: #3, 40(14%)
minecraft.crafted.purple_dye: #4, 2260(7%)
minecraft.used.deepslate_gold_ore: #4, 364(8%)
minecraft.mined.exposed_copper: #4, 179(8%)
minecraft.picked_up.sculk: #5, 5539(13%)
minecraft.picked_up.mangrove_fence_gate: #3, 2(13%)
minecraft.used.bamboo_door: #3, 4(17%)
minecraft.crafted.oak_slab: #4, 1662(6%)
minecraft.mined.oak_wall_sign: #4, 57(6%)
minecraft.used.gray_glazed_terracotta: #3, 216(8%)
minecraft.mined.black_carpet: #3, 437(4%)
minecraft.picked_up.gray_concrete_powder: #4, 1186(8%)
minecraft.crafted.dark_prismarine_slab: #4, 132(12%)
minecraft.mined.crying_obsidian: #4, 55(9%)
minecraft.crafted.blaze_powder: #4, 538(6%)
minecraft.used.weathered_copper: #4, 94(8%)
minecraft.used.cut_copper_slab: #3, 576(4%)
minecraft.picked_up.powder_snow_bucket: #3, 30(4%)
minecraft.dropped.granite: #4, 1579(6%)
minecraft.picked_up.beef: #5, 1403(9%)
minecraft.picked_up.eye_armor_trim_smithing_template: #3, 1(20%)
minecraft.crafted.minecart: #4, 389(6%)
minecraft.mined.polished_granite_stairs: #3, 20(12%)
minecraft.killed.cat: #3, 1(8%)
minecraft.mined.acacia_stairs: #3, 9(8%)
minecraft.mined.granite_wall: #3, 14(6%)
minecraft.mined.mangrove_fence_gate: #3, 2(14%)
minecraft.picked_up.string: #5, 7881(7%)
minecraft.crafted.brown_stained_glass_pane: #3, 32(8%)
minecraft.mined.sculk_sensor: #4, 437(7%)
minecraft.picked_up.dead_brain_coral: #3, 1(11%)
minecraft.killed.wolf: #3, 1(11%)
minecraft.picked_up.pearlescent_froglight: #4, 146(6%)
minecraft.crafted.golden_leggings: #4, 7(12%)
minecraft.mined.target: #4, 42(9%)
minecraft.dropped.crossbow: #4, 158(8%)
minecraft.used.green_carpet: #3, 334(3%)
minecraft.mined.bamboo_wall_sign: #3, 2(11%)
minecraft.mined.deepslate_iron_ore: #4, 1038(5%)
minecraft.used.red_stained_glass_pane: #4, 178(12%)
minecraft.picked_up.tide_armor_trim_smithing_template: #3, 1(12%)
minecraft.mined.dead_brain_coral: #3, 1(10%)
minecraft.picked_up.bone_meal: #4, 14453(5%)
minecraft.dropped.orange_glazed_terracotta: #3, 12(8%)
minecraft.picked_up.target: #4, 52(7%)
minecraft.picked_up.magma_block: #5, 3890(9%)
minecraft.dropped.gold_block: #3, 183(4%)
minecraft.dropped.brewing_stand: #3, 1(9%)
minecraft.used.cookie: #4, 47(8%)
minecraft.mined.stone_brick_wall: #5, 79(11%)
minecraft.used.cracked_deepslate_tiles: #3, 30(6%)
minecraft.dropped.poppy: #5, 8784(9%)
minecraft.picked_up.raw_copper_block: #4, 179(8%)
minecraft.used.yellow_dye: #4, 21(8%)
minecraft.picked_up.light_blue_concrete_powder: #4, 60(10%)
minecraft.crafted.repeater: #5, 1585(9%)
minecraft.used.blue_stained_glass: #4, 101(11%)
minecraft.mined.magma_block: #5, 4025(9%)
minecraft.picked_up.rabbit_stew: #3, 4(7%)
minecraft.mined.gray_glazed_terracotta: #3, 45(5%)
minecraft.used.diorite_stairs: #4, 132(14%)
minecraft.dropped.iron_axe: #4, 99(7%)
minecraft.picked_up.shears: #5, 92(8%)
minecraft.used.stone: #5, 66248(7%)
minecraft.picked_up.warped_fungus: #4, 584(5%)
minecraft.mined.redstone_wire: #4, 752(5%)
minecraft.used.warped_hyphae: #4, 690(9%)
minecraft.used.blue_banner: #3, 4(13%)
minecraft.mined.gray_stained_glass: #4, 60(9%)
minecraft.dropped.light_gray_shulker_box: #3, 2(6%)
minecraft.picked_up.orange_glazed_terracotta: #4, 32(14%)
minecraft.picked_up.enchanting_table: #4, 5(10%)
minecraft.used.smooth_sandstone_stairs: #4, 1006(9%)
minecraft.used.powder_snow_bucket: #3, 165(2%)
minecraft.used.birch_slab: #4, 318(7%)
minecraft.crafted.hopper_minecart: #4, 252(6%)
minecraft.used.beehive: #4, 206(7%)
minecraft.crafted.bow: #5, 451(8%)
minecraft.picked_up.stone_stairs: #4, 325(5%)
minecraft.used.acacia_sign: #4, 61(8%)
minecraft.crafted.green_stained_glass_pane: #4, 208(10%)
minecraft.picked_up.dead_tube_coral: #3, 1(7%)
minecraft.mined.dead_tube_coral: #3, 1(7%)
minecraft.used.nether_brick_wall: #3, 22(5%)
minecraft.crafted.suspicious_stew: #4, 53(13%)
minecraft.picked_up.cyan_concrete_powder: #3, 252(2%)
minecraft.dropped.green_shulker_box: #3, 1(3%)
minecraft.mined.oak_fence_gate: #4, 13(7%)
minecraft.picked_up.warped_pressure_plate: #3, 10(5%)
minecraft.crafted.bamboo_door: #3, 3(6%)
minecraft.mined.comparator: #5, 212(9%)
minecraft.used.jungle_log: #4, 447(6%)
minecraft.custom.strider_one_cm: #3, 89822(3%)
minecraft.used.warped_pressure_plate: #3, 21(3%)
minecraft.crafted.smooth_sandstone_stairs: #3, 16(3%)
minecraft.mined.light_blue_concrete: #4, 230(7%)
minecraft.used.soul_sand: #4, 1383(5%)
minecraft.picked_up.green_shulker_box: #4, 133(5%)
minecraft.mined.jungle_stairs: #4, 29(13%)
minecraft.crafted.chiseled_red_sandstone: #3, 1(5%)
minecraft.crafted.nether_brick_wall: #3, 18(4%)
minecraft.picked_up.glow_berries: #5, 511(7%)
minecraft.used.granite_slab: #5, 508(11%)
minecraft.picked_up.magenta_banner: #3, 1(4%)
minecraft.dropped.cut_sandstone_slab: #3, 3(5%)
minecraft.mined.green_shulker_box: #4, 132(5%)
minecraft.dropped.orange_stained_glass: #3, 19(3%)
minecraft.dropped.stripped_mangrove_log: #3, 3(2%)
minecraft.used.ochre_froglight: #5, 1109(12%)
minecraft.picked_up.prismarine_crystals: #4, 303(6%)
minecraft.dropped.poisonous_potato: #4, 4(8%)
minecraft.mined.white_wall_banner: #4, 9(8%)
minecraft.picked_up.waxed_weathered_copper: #4, 212(7%)
minecraft.dropped.bamboo_door: #3, 1(7%)
minecraft.dropped.dried_kelp: #3, 55(1%)
minecraft.crafted.purple_stained_glass_pane: #4, 448(9%)
minecraft.mined.composter: #5, 155(9%)
minecraft.dropped.birch_door: #3, 2(3%)
minecraft.crafted.oak_pressure_plate: #4, 9(7%)
minecraft.custom.interact_with_stonecutter: #5, 808(7%)
minecraft.used.raw_iron_block: #3, 227(1%)
minecraft.mined.black_shulker_box: #5, 382(8%)
minecraft.crafted.crimson_sign: #3, 42(1%)
minecraft.used.emerald_ore: #4, 19(8%)
minecraft.crafted.golden_boots: #4, 9(8%)
minecraft.used.cyan_candle: #3, 13(2%)
minecraft.mined.cut_red_sandstone_slab: #3, 2(4%)
minecraft.used.waxed_cut_copper_stairs: #4, 62(13%)
minecraft.picked_up.purple_glazed_terracotta: #3, 9(2%)
minecraft.picked_up.red_sandstone_wall: #3, 6(3%)
minecraft.picked_up.black_shulker_box: #5, 386(7%)
minecraft.crafted.cooked_rabbit: #3, 2(3%)
minecraft.dropped.copper_ingot: #4, 66(6%)
minecraft.dropped.rabbit: #4, 4(7%)
minecraft.used.deepslate_lapis_ore: #5, 128(11%)
minecraft.mined.warped_pressure_plate: #3, 4(3%)
minecraft.dropped.weeping_vines: #4, 50(6%)
minecraft.picked_up.dried_kelp: #3, 55(1%)
minecraft.used.small_amethyst_bud: #3, 46(1%)
minecraft.used.music_disc_ward: #3, 1(3%)
minecraft.mined.raw_iron_block: #3, 83(1%)
minecraft.used.crimson_sign: #3, 32(1%)
minecraft.crafted.purple_wool: #4, 160(11%)
minecraft.custom.play_record: #5, 99(7%)
minecraft.dropped.brown_stained_glass: #3, 2(2%)
minecraft.dropped.music_disc_cat: #4, 9(8%)
minecraft.picked_up.crimson_fence: #4, 45(8%)
minecraft.crafted.coal_block: #4, 1084(4%)
minecraft.dropped.crimson_fence: #3, 4(1%)
minecraft.crafted.dark_prismarine_stairs: #4, 40(10%)
minecraft.picked_up.comparator: #5, 390(8%)
minecraft.crafted.observer: #5, 1916(8%)
minecraft.mined.oak_trapdoor: #5, 91(7%)
minecraft.picked_up.suspicious_sand: #3, 1(2%)
minecraft.crafted.acacia_sign: #4, 54(7%)
minecraft.crafted.lever: #5, 411(7%)
minecraft.crafted.red_nether_brick_wall: #3, 1(1%)
minecraft.picked_up.verdant_froglight: #4, 131(5%)
minecraft.picked_up.brown_stained_glass_pane: #3, 2(1%)
minecraft.used.redstone: #5, 6052(7%)
minecraft.picked_up.minecart: #5, 246(7%)
minecraft.mined.amethyst_block: #5, 1771(8%)
minecraft.dropped.sandstone_stairs: #3, 1(0%)
minecraft.used.black_shulker_box: #5, 384(7%)
minecraft.crafted.blue_candle: #3, 7(0%)
minecraft.crafted.detector_rail: #4, 72(8%)
minecraft.used.compass: #3, 3(0%)
minecraft.used.salmon: #4, 4(10%)
minecraft.used.purple_shulker_box: #5, 158(10%)
minecraft.crafted.diamond_pickaxe: #5, 24(6%)
minecraft.used.conduit: #4, 4(10%)
minecraft.used.crimson_button: #4, 6(12%)
minecraft.picked_up.composter: #5, 160(8%)
minecraft.picked_up.granite_stairs: #4, 12(10%)
minecraft.dropped.redstone_lamp: #4, 17(10%)
minecraft.mined.cobweb: #5, 447(8%)
minecraft.used.torch: #5, 11238(5%)
minecraft.picked_up.repeater: #5, 607(7%)
minecraft.used.tuff: #5, 3103(7%)
minecraft.crafted.waxed_cut_copper_slab: #4, 64(13%)
minecraft.used.stone_stairs: #5, 1054(7%)
minecraft.picked_up.smooth_basalt: #5, 1725(8%)
minecraft.mined.detector_rail: #4, 16(7%)
minecraft.mined.crimson_stairs: #4, 24(7%)
minecraft.crafted.quartz_bricks: #4, 133(9%)
minecraft.used.soul_lantern: #5, 206(8%)
minecraft.mined.cobbled_deepslate_wall: #4, 21(6%)
minecraft.picked_up.gold_ingot: #4, 1229(4%)
minecraft.mined.lime_wool: #4, 70(5%)
minecraft.crafted.packed_mud: #5, 2757(9%)
minecraft.used.polished_diorite_slab: #4, 131(9%)
minecraft.crafted.dried_kelp: #4, 707(7%)
minecraft.crafted.brown_terracotta: #5, 512(12%)
minecraft.broken.iron_sword: #4, 2(7%)
minecraft.used.black_concrete_powder: #5, 15960(8%)
minecraft.picked_up.warped_trapdoor: #5, 119(9%)
minecraft.picked_up.torch: #5, 5709(5%)
minecraft.mined.calcite: #5, 3134(7%)
minecraft.picked_up.raw_iron: #5, 5774(6%)
minecraft.picked_up.calcite: #5, 3092(6%)
minecraft.crafted.target: #5, 264(9%)
minecraft.broken.golden_pickaxe: #4, 2(11%)
minecraft.used.stone_button: #4, 560(3%)
minecraft.picked_up.shelter_pottery_sherd: #4, 4(8%)
minecraft.used.packed_mud: #5, 1059(9%)
minecraft.picked_up.prismarine_shard: #4, 544(5%)
minecraft.picked_up.dried_kelp_block: #4, 37(8%)
minecraft.used.diorite_wall: #4, 192(5%)
minecraft.picked_up.redstone_ore: #5, 57(8%)
minecraft.picked_up.spruce_chest_boat: #4, 2(10%)
minecraft.crafted.oak_hanging_sign: #4, 6(7%)
minecraft.mined.oak_log: #5, 5704(5%)
minecraft.crafted.prismarine_bricks: #4, 1736(11%)
minecraft.picked_up.scaffolding: #5, 15766(7%)
minecraft.used.black_carpet: #4, 6638(5%)
minecraft.dropped.netherite_shovel: #4, 3(6%)
minecraft.mined.crimson_wall_sign: #4, 3(11%)
minecraft.mined.barrel: #5, 191(6%)
minecraft.picked_up.peony: #5, 840(7%)
minecraft.used.lapis_ore: #5, 75(10%)
minecraft.used.pink_dye: #4, 9(5%)
minecraft.picked_up.black_wool: #4, 733(3%)
minecraft.crafted.netherite_axe: #4, 1(6%)
minecraft.used.polished_granite_slab: #5, 721(10%)
minecraft.picked_up.cracked_deepslate_bricks: #4, 186(5%)
minecraft.used.porkchop: #4, 7(8%)
minecraft.mined.yellow_glazed_terracotta: #4, 14(7%)
minecraft.used.purple_concrete_powder: #4, 354(4%)
minecraft.used.tropical_fish: #4, 20(7%)
minecraft.used.dried_kelp_block: #4, 38(7%)
minecraft.picked_up.bread: #5, 916(8%)
minecraft.mined.scaffolding: #5, 6685(7%)
minecraft.used.honey_block: #5, 673(7%)
minecraft.used.terracotta: #4, 1006(3%)
minecraft.picked_up.sandstone: #5, 18929(7%)
minecraft.used.brown_stained_glass_pane: #4, 28(10%)
minecraft.used.lime_candle: #4, 20(12%)
minecraft.used.cyan_banner: #4, 10(8%)
minecraft.used.stripped_dark_oak_log: #5, 393(8%)
minecraft.crafted.blue_terracotta: #4, 936(4%)
minecraft.dropped.amethyst_cluster: #4, 39(5%)
minecraft.used.jungle_sign: #4, 21(6%)
minecraft.crafted.magenta_dye: #5, 1798(7%)
minecraft.mined.conduit: #4, 2(7%)
minecraft.used.blue_concrete: #5, 196(10%)
minecraft.picked_up.brown_stained_glass: #4, 72(9%)
minecraft.crafted.green_carpet: #4, 291(3%)
minecraft.used.yellow_stained_glass_pane: #4, 75(5%)
minecraft.crafted.diamond: #5, 1989(5%)
minecraft.picked_up.blackstone_wall: #4, 40(5%)
minecraft.dropped.sugar: #5, 599(10%)
minecraft.used.brown_mushroom_block: #5, 457(8%)
minecraft.used.lime_glazed_terracotta: #4, 32(7%)
minecraft.crafted.red_dye: #5, 5844(6%)
minecraft.mined.beacon: #5, 32(7%)
minecraft.picked_up.stone_button: #5, 309(6%)
minecraft.picked_up.nether_brick_wall: #4, 7(9%)
minecraft.picked_up.netherite_chestplate: #4, 2(7%)
minecraft.crafted.oak_fence_gate: #5, 82(8%)
minecraft.crafted.cyan_dye: #5, 2608(6%)
minecraft.crafted.purple_glazed_terracotta: #4, 161(7%)
minecraft.picked_up.netherite_axe: #5, 26(8%)
minecraft.crafted.blue_wool: #4, 49(5%)
minecraft.used.deepslate_redstone_ore: #5, 523(7%)
