stat, rank, value, (percentage) 
minecraft.crafted.ender_chest: #14, 14(1%)
minecraft.mined.glass_pane: #14, 16(2%)
minecraft.picked_up.smooth_stone: #14, 193(1%)
minecraft.used.stone_bricks: #14, 1779(1%)
minecraft.picked_up.tripwire_hook: #14, 6(1%)
minecraft.dropped.poisonous_potato: #14, 1(2%)
minecraft.crafted.lightning_rod: #14, 39(1%)
minecraft.used.honey_block: #14, 91(1%)
minecraft.picked_up.polished_andesite: #14, 94(1%)
minecraft.dropped.wooden_axe: #14, 1(1%)
minecraft.crafted.raw_copper_block: #14, 142(1%)
minecraft.crafted.baked_potato: #14, 64(1%)
minecraft.mined.weathered_copper: #14, 30(1%)
minecraft.picked_up.weathered_copper: #14, 29(1%)
minecraft.used.slime_block: #14, 187(1%)
minecraft.dropped.oak_leaves: #14, 25(1%)
minecraft.mined.packed_mud: #14, 14(1%)
minecraft.mined.warped_wart_block: #14, 324(1%)
minecraft.mined.diamond_block: #14, 20(1%)
minecraft.used.target: #14, 16(1%)
minecraft.picked_up.warped_wart_block: #14, 321(1%)
minecraft.used.oak_button: #14, 3(1%)
minecraft.used.yellow_concrete_powder: #14, 108(1%)
minecraft.used.oak_fence_gate: #14, 4(1%)
minecraft.used.yellow_concrete: #14, 65(0%)
minecraft.mined.mud_brick_slab: #14, 5(1%)
minecraft.dropped.mutton: #14, 2(0%)
minecraft.picked_up.crimson_fungus: #14, 28(0%)
minecraft.crafted.polished_blackstone_button: #14, 12(0%)
minecraft.mined.birch_slab: #14, 2(0%)
minecraft.used.warped_slab: #14, 31(0%)
minecraft.picked_up.cooked_mutton: #14, 2(0%)
minecraft.used.cherry_log: #14, 7(0%)
minecraft.crafted.tnt: #14, 213(0%)
minecraft.used.brain_coral_fan: #14, 1(0%)
minecraft.dropped.cut_sandstone: #14, 1(0%)
minecraft.picked_up.sculk_vein: #14, 16(0%)
minecraft.picked_up.waxed_copper_block: #14, 1(0%)
minecraft.dropped.polished_deepslate_slab: #14, 1(0%)
minecraft.dropped.smooth_stone: #14, 2(0%)
minecraft.mined.iron_ore: #15, 1382(2%)
minecraft.mined.iron_block: #15, 675(2%)
minecraft.dropped.grass_block: #15, 641(2%)
minecraft.used.lead: #15, 2(3%)
minecraft.crafted.coal: #15, 973(2%)
minecraft.crafted.birch_planks: #15, 3624(1%)
minecraft.mined.stone_button: #15, 12(1%)
minecraft.crafted.birch_sign: #15, 48(1%)
minecraft.mined.iron_bars: #15, 36(1%)
minecraft.picked_up.yellow_concrete: #15, 126(1%)
minecraft.used.baked_potato: #15, 64(1%)
minecraft.crafted.piston: #15, 257(1%)
minecraft.dropped.redstone_torch: #15, 16(1%)
minecraft.crafted.dropper: #15, 90(1%)
minecraft.used.copper_ore: #15, 158(1%)
minecraft.crafted.orange_shulker_box: #15, 2(1%)
minecraft.used.sniffer_egg: #15, 2(1%)
minecraft.dropped.netherite_axe: #15, 1(1%)
minecraft.picked_up.sunflower: #15, 159(1%)
minecraft.crafted.sticky_piston: #15, 112(1%)
minecraft.mined.birch_stairs: #15, 4(1%)
minecraft.mined.yellow_concrete: #15, 128(1%)
minecraft.dropped.oak_slab: #15, 4(1%)
minecraft.crafted.copper_block: #15, 539(1%)
minecraft.picked_up.soul_lantern: #15, 9(1%)
minecraft.used.yellow_wool: #15, 91(1%)
minecraft.dropped.smooth_basalt: #15, 17(1%)
minecraft.dropped.magma_block: #15, 8(1%)
minecraft.mined.infested_deepslate: #15, 3(1%)
minecraft.picked_up.warped_sign: #15, 4(1%)
minecraft.crafted.black_shulker_box: #15, 2(1%)
minecraft.custom.trigger_trapped_chest: #15, 4(0%)
minecraft.mined.warped_wall_sign: #15, 2(1%)
minecraft.picked_up.warped_button: #15, 4(1%)
minecraft.picked_up.detector_rail: #15, 3(1%)
minecraft.crafted.stone_pressure_plate: #15, 17(0%)
minecraft.picked_up.tnt: #15, 280(0%)
minecraft.picked_up.mud_brick_slab: #15, 6(1%)
minecraft.mined.yellow_wool: #15, 15(0%)
minecraft.crafted.yellow_concrete_powder: #15, 104(0%)
minecraft.picked_up.bricks: #15, 44(0%)
minecraft.used.sculk_sensor: #15, 2(0%)
minecraft.crafted.cobbled_deepslate_slab: #15, 42(0%)
minecraft.used.polished_blackstone_button: #15, 12(0%)
minecraft.mined.slime_block: #15, 45(0%)
minecraft.dropped.light_gray_stained_glass_pane: #15, 1(0%)
minecraft.dropped.slime_ball: #15, 24(0%)
minecraft.used.black_stained_glass: #15, 177(0%)
minecraft.mined.mud_brick_stairs: #15, 1(0%)
minecraft.mined.waxed_copper_block: #15, 1(0%)
minecraft.used.light_gray_bed: #15, 1(0%)
minecraft.used.waxed_copper_block: #15, 1(0%)
minecraft.crafted.slime_block: #15, 14(0%)
minecraft.picked_up.wither_rose: #15, 1(0%)
minecraft.dropped.black_wool: #15, 1(0%)
minecraft.mined.deepslate_redstone_ore: #16, 665(2%)
minecraft.custom.inspect_dropper: #16, 357(1%)
minecraft.dropped.birch_planks: #16, 30(1%)
minecraft.crafted.redstone_block: #16, 491(1%)
minecraft.broken.stone_pickaxe: #16, 1(1%)
minecraft.picked_up.smooth_quartz_stairs: #16, 15(1%)
minecraft.mined.oak_door: #16, 1(1%)
minecraft.dropped.iron_helmet: #16, 1(1%)
minecraft.picked_up.polished_deepslate_stairs: #16, 29(1%)
minecraft.crafted.yellow_shulker_box: #16, 2(1%)
minecraft.mined.stone_bricks: #16, 232(1%)
minecraft.mined.packed_ice: #16, 1355(1%)
minecraft.picked_up.packed_ice: #16, 1285(0%)
minecraft.crafted.powered_rail: #16, 174(1%)
minecraft.picked_up.packed_mud: #16, 12(1%)
minecraft.mined.sea_lantern: #16, 9(0%)
minecraft.used.warped_sign: #16, 8(0%)
minecraft.dropped.porkchop: #16, 3(0%)
minecraft.picked_up.netherite_shovel: #16, 1(0%)
minecraft.mined.light_gray_stained_glass_pane: #16, 1(0%)
minecraft.dropped.snowball: #16, 40(0%)
minecraft.used.quartz_stairs: #16, 9(0%)
minecraft.crafted.crafting_table: #17, 84(3%)
minecraft.crafted.warped_slab: #16, 30(0%)
minecraft.picked_up.sculk_sensor: #16, 8(0%)
minecraft.used.cookie: #16, 1(0%)
minecraft.mined.cut_sandstone: #16, 8(0%)
minecraft.picked_up.cut_sandstone: #16, 7(0%)
minecraft.picked_up.warped_slab: #16, 3(0%)
minecraft.picked_up.hopper_minecart: #16, 3(0%)
minecraft.mined.waxed_weathered_copper: #16, 1(0%)
minecraft.crafted.polished_basalt: #16, 8(0%)
minecraft.crafted.iron_pickaxe: #17, 14(3%)
minecraft.picked_up.redstone: #17, 3693(2%)
minecraft.picked_up.raw_iron: #17, 1615(2%)
minecraft.used.wooden_pickaxe: #17, 11(2%)
minecraft.crafted.chest: #17, 1035(1%)
minecraft.picked_up.andesite: #17, 3869(1%)
minecraft.mined.oak_sign: #17, 4(2%)
minecraft.mined.lilac: #17, 8(1%)
minecraft.picked_up.smooth_basalt: #17, 279(1%)
minecraft.used.tripwire_hook: #17, 8(1%)
minecraft.used.glass: #17, 905(1%)
minecraft.dropped.golden_apple: #17, 5(1%)
minecraft.used.oak_boat: #17, 11(1%)
minecraft.mined.redstone_lamp: #17, 10(1%)
minecraft.mined.lightning_rod: #17, 12(1%)
minecraft.crafted.diamond: #17, 288(1%)
minecraft.mined.glowstone: #17, 78(1%)
minecraft.picked_up.stone_button: #17, 36(1%)
minecraft.picked_up.lightning_rod: #17, 11(1%)
minecraft.mined.warped_nylium: #17, 46(1%)
minecraft.mined.carrots: #17, 76(1%)
minecraft.used.lightning_rod: #17, 25(1%)
minecraft.picked_up.oak_leaves: #17, 519(1%)
minecraft.used.sticky_piston: #17, 82(0%)
minecraft.picked_up.pink_shulker_box: #17, 10(0%)
minecraft.used.pink_shulker_box: #17, 10(0%)
minecraft.mined.pink_shulker_box: #17, 9(0%)
minecraft.picked_up.oak_button: #17, 1(1%)
minecraft.crafted.orange_dye: #17, 132(0%)
minecraft.mined.tnt: #17, 13(0%)
minecraft.crafted.stone_shovel: #17, 3(0%)
minecraft.picked_up.stone_brick_slab: #17, 34(0%)
minecraft.picked_up.cobbled_deepslate_stairs: #17, 6(0%)
minecraft.picked_up.warped_planks: #17, 34(0%)
minecraft.dropped.raw_iron: #17, 6(0%)
minecraft.used.cooked_cod: #17, 3(0%)
minecraft.mined.redstone_block: #17, 36(0%)
minecraft.crafted.tinted_glass: #17, 128(0%)
minecraft.mined.light_gray_shulker_box: #17, 6(0%)
minecraft.mined.pink_petals: #17, 5(0%)
minecraft.picked_up.polished_blackstone_button: #17, 3(0%)
minecraft.dropped.leather: #17, 8(0%)
minecraft.picked_up.birch_stairs: #17, 1(0%)
minecraft.picked_up.blue_shulker_box: #17, 5(0%)
minecraft.used.blue_shulker_box: #17, 5(0%)
minecraft.mined.blue_shulker_box: #17, 5(0%)
minecraft.used.polished_blackstone_stairs: #17, 4(0%)
minecraft.mined.medium_amethyst_bud: #17, 1(0%)
minecraft.picked_up.waxed_weathered_copper: #17, 1(0%)
minecraft.mined.sculk: #17, 17(0%)
minecraft.picked_up.blue_terracotta: #17, 1(0%)
minecraft.used.polished_granite_slab: #17, 1(0%)
minecraft.crafted.diamond_sword: #18, 3(2%)
minecraft.picked_up.diamond_pickaxe: #18, 26(1%)
minecraft.mined.rose_bush: #18, 9(2%)
minecraft.mined.cobblestone: #18, 758(1%)
minecraft.mined.spruce_sign: #18, 2(2%)
minecraft.mined.andesite: #18, 3876(1%)
minecraft.used.golden_carrot: #18, 379(1%)
minecraft.dropped.cobblestone: #18, 722(1%)
minecraft.used.oak_door: #18, 2(1%)
minecraft.crafted.polished_andesite: #18, 512(1%)
minecraft.picked_up.basalt: #18, 1821(1%)
minecraft.crafted.golden_helmet: #18, 1(1%)
minecraft.crafted.redstone: #18, 2646(1%)
minecraft.crafted.hopper: #18, 255(1%)
minecraft.mined.tripwire: #18, 18(1%)
minecraft.picked_up.saddle: #18, 3(1%)
minecraft.mined.basalt: #18, 2025(1%)
minecraft.mined.potatoes: #18, 47(1%)
minecraft.picked_up.mutton: #18, 13(1%)
minecraft.crafted.birch_boat: #18, 1(1%)
minecraft.crafted.wooden_axe: #18, 1(1%)
minecraft.used.golden_apple: #18, 2(1%)
minecraft.dropped.writable_book: #18, 1(1%)
minecraft.crafted.white_shulker_box: #18, 2(1%)
minecraft.mined.birch_wall_sign: #18, 6(0%)
minecraft.crafted.red_shulker_box: #18, 3(1%)
minecraft.dropped.deepslate: #18, 364(0%)
minecraft.dropped.lead: #18, 2(0%)
minecraft.picked_up.poisonous_potato: #18, 1(1%)
minecraft.mined.sticky_piston: #18, 17(0%)
minecraft.dropped.iron_ore: #18, 13(0%)
minecraft.crafted.tripwire_hook: #18, 10(0%)
minecraft.used.powered_rail: #18, 157(0%)
minecraft.used.wooden_axe: #18, 4(0%)
minecraft.mined.pointed_dripstone: #18, 13(0%)
minecraft.dropped.lever: #18, 2(0%)
minecraft.crafted.light_gray_shulker_box: #18, 1(0%)
minecraft.mined.mossy_stone_bricks: #18, 7(0%)
minecraft.picked_up.gray_wool: #18, 37(0%)
minecraft.mined.light_blue_shulker_box: #18, 41(0%)
minecraft.used.stone_button: #18, 51(0%)
minecraft.used.light_blue_shulker_box: #18, 41(0%)
minecraft.picked_up.light_blue_shulker_box: #18, 41(0%)
minecraft.mined.stone_brick_wall: #18, 2(0%)
minecraft.picked_up.cherry_log: #18, 26(0%)
minecraft.picked_up.slime_block: #18, 44(0%)
minecraft.used.cobbled_deepslate_stairs: #18, 10(0%)
minecraft.used.exposed_copper: #18, 3(0%)
minecraft.picked_up.enchanted_book: #18, 3(0%)
minecraft.used.light_gray_shulker_box: #18, 6(0%)
minecraft.picked_up.light_gray_shulker_box: #18, 6(0%)
minecraft.used.tinted_glass: #18, 88(0%)
minecraft.dropped.calcite: #18, 5(0%)
minecraft.dropped.book: #18, 1(0%)
minecraft.crafted.target: #18, 4(0%)
minecraft.picked_up.green_terracotta: #18, 18(0%)
minecraft.picked_up.pink_petals: #18, 10(0%)
minecraft.crafted.firework_rocket: #18, 846(0%)
minecraft.picked_up.crimson_roots: #18, 36(0%)
minecraft.dropped.bamboo: #18, 23(0%)
minecraft.picked_up.polished_basalt: #18, 5(0%)
minecraft.used.tnt: #18, 41(0%)
minecraft.dropped.snow_block: #18, 12(0%)
minecraft.mined.polished_granite_slab: #18, 1(0%)
minecraft.mined.bubble_coral_wall_fan: #18, 1(0%)
minecraft.used.polished_blackstone_slab: #18, 7(0%)
minecraft.mined.tube_coral_wall_fan: #18, 1(0%)
minecraft.picked_up.white_concrete_powder: #18, 4(0%)
minecraft.mined.black_concrete_powder: #18, 1(0%)
minecraft.used.iron_sword: #19, 206(2%)
minecraft.used.cobblestone: #19, 1345(1%)
minecraft.crafted.diamond_helmet: #19, 2(2%)
minecraft.used.ladder: #19, 122(1%)
minecraft.crafted.oak_planks: #19, 3036(1%)
minecraft.mined.furnace: #19, 35(1%)
minecraft.picked_up.writable_book: #19, 4(1%)
minecraft.used.iron_block: #19, 698(1%)
minecraft.mined.deepslate_lapis_ore: #19, 65(1%)
minecraft.picked_up.furnace: #19, 34(1%)
minecraft.used.iron_chestplate: #19, 1(1%)
minecraft.used.kelp: #19, 157(1%)
minecraft.dropped.ender_pearl: #19, 2324(1%)
minecraft.killed.sheep: #19, 9(1%)
minecraft.mined.deepslate_iron_ore: #19, 153(1%)
minecraft.crafted.iron_helmet: #19, 2(1%)
minecraft.used.redstone_lamp: #19, 32(1%)
minecraft.mined.birch_sign: #19, 3(1%)
minecraft.mined.dispenser: #19, 13(1%)
minecraft.crafted.gray_shulker_box: #19, 2(1%)
minecraft.picked_up.chainmail_leggings: #19, 1(1%)
minecraft.picked_up.oak_boat: #19, 8(1%)
minecraft.used.oak_sign: #19, 22(1%)
minecraft.picked_up.potato: #19, 173(1%)
minecraft.used.polished_andesite: #19, 255(1%)
minecraft.crafted.repeater: #19, 97(1%)
minecraft.crafted.minecart: #19, 35(1%)
minecraft.picked_up.splash_potion: #19, 4(0%)
minecraft.crafted.oak_boat: #19, 2(1%)
minecraft.killed.silverfish: #19, 2(1%)
minecraft.picked_up.iron_bars: #19, 32(0%)
minecraft.picked_up.jukebox: #19, 3(1%)
minecraft.crafted.redstone_torch: #19, 365(0%)
minecraft.mined.cobweb: #19, 28(0%)
minecraft.mined.jukebox: #19, 3(1%)
minecraft.dropped.diorite: #19, 108(0%)
minecraft.picked_up.dropper: #19, 18(0%)
minecraft.mined.stone_brick_slab: #19, 19(0%)
minecraft.dropped.sand: #19, 140(0%)
minecraft.used.cobbled_deepslate_slab: #19, 128(0%)
minecraft.picked_up.amethyst_shard: #19, 616(0%)
minecraft.picked_up.soul_soil: #19, 120(0%)
minecraft.used.shield: #19, 21(0%)
minecraft.killed.horse: #19, 1(0%)
minecraft.mined.cobblestone_wall: #19, 6(0%)
minecraft.picked_up.dispenser: #19, 12(0%)
minecraft.crafted.comparator: #19, 37(0%)
minecraft.picked_up.orange_shulker_box: #19, 12(0%)
minecraft.used.orange_shulker_box: #19, 12(0%)
minecraft.mined.orange_shulker_box: #19, 12(0%)
minecraft.used.comparator: #19, 32(0%)
minecraft.crafted.stone_button: #19, 70(0%)
minecraft.mined.deepslate_coal_ore: #19, 1(0%)
minecraft.picked_up.netherite_axe: #19, 1(0%)
minecraft.crafted.stone_sword: #19, 1(0%)
minecraft.dropped.wheat: #19, 7(0%)
minecraft.mined.gray_shulker_box: #19, 7(0%)
minecraft.picked_up.gray_shulker_box: #19, 7(0%)
minecraft.used.gray_shulker_box: #19, 7(0%)
minecraft.crafted.light_blue_shulker_box: #19, 2(0%)
minecraft.picked_up.stone_brick_wall: #19, 2(0%)
minecraft.crafted.stone_brick_wall: #19, 6(0%)
minecraft.picked_up.chiseled_stone_bricks: #19, 6(0%)
minecraft.dropped.coarse_dirt: #19, 2(0%)
minecraft.mined.horn_coral_wall_fan: #19, 1(0%)
minecraft.mined.brain_coral_wall_fan: #19, 1(0%)
minecraft.picked_up.brain_coral_fan: #19, 1(0%)
minecraft.picked_up.birch_slab: #19, 1(0%)
minecraft.picked_up.tube_coral_fan: #19, 1(0%)
minecraft.picked_up.polished_granite_slab: #19, 1(0%)
minecraft.picked_up.bubble_coral_fan: #19, 1(0%)
minecraft.used.rotten_flesh: #19, 1(0%)
minecraft.dropped.poppy: #19, 23(0%)
minecraft.crafted.heavy_weighted_pressure_plate: #19, 1(0%)
minecraft.used.soul_soil: #19, 1(0%)
minecraft.custom.interact_with_furnace: #20, 976(2%)
minecraft.used.diamond_pickaxe: #20, 112536(1%)
minecraft.picked_up.shield: #20, 5(2%)
minecraft.picked_up.iron_block: #20, 677(1%)
minecraft.used.stone_pickaxe: #20, 189(1%)
minecraft.mined.powder_snow: #20, 21(1%)
minecraft.picked_up.ender_pearl: #20, 3444(1%)
minecraft.crafted.diamond_boots: #20, 2(1%)
minecraft.picked_up.birch_log: #20, 1154(1%)
minecraft.crafted.lever: #20, 42(1%)
minecraft.mined.cornflower: #20, 4(1%)
minecraft.mined.ladder: #20, 12(1%)
minecraft.mined.emerald_ore: #20, 6(1%)
minecraft.picked_up.netherite_hoe: #20, 1(1%)
minecraft.mined.dark_oak_stairs: #20, 14(1%)
minecraft.mined.pumpkin: #20, 49(0%)
minecraft.mined.oak_planks: #20, 68(0%)
minecraft.crafted.coal_block: #20, 134(1%)
minecraft.used.potato: #20, 38(0%)
minecraft.crafted.iron_door: #20, 3(0%)
minecraft.crafted.fishing_rod: #20, 1(1%)
minecraft.mined.white_shulker_box: #20, 24(0%)
minecraft.dropped.chest: #20, 5(0%)
minecraft.dropped.andesite: #20, 77(0%)
minecraft.picked_up.sticky_piston: #20, 17(0%)
minecraft.crafted.glass: #20, 896(0%)
minecraft.picked_up.iron_chestplate: #20, 2(0%)
minecraft.mined.cobbled_deepslate_stairs: #20, 3(0%)
minecraft.mined.soul_soil: #20, 104(0%)
minecraft.used.carrot: #20, 76(0%)
minecraft.crafted.brown_shulker_box: #20, 1(0%)
minecraft.used.glow_lichen: #20, 113(0%)
minecraft.mined.tall_seagrass: #20, 15(0%)
minecraft.mined.glow_lichen: #20, 72(0%)
minecraft.used.lilac: #20, 2(0%)
minecraft.used.map: #20, 2(0%)
minecraft.crafted.cooked_beef: #20, 15(0%)
minecraft.picked_up.dandelion: #20, 66(0%)
minecraft.used.sand: #20, 710(0%)
minecraft.dropped.oak_planks: #20, 6(0%)
minecraft.used.sea_lantern: #20, 20(0%)
minecraft.custom.damage_blocked_by_shield: #20, 490(0%)
minecraft.crafted.stone_slab: #20, 90(0%)
minecraft.used.cooked_beef: #20, 17(0%)
minecraft.picked_up.comparator: #20, 8(0%)
minecraft.mined.polished_blackstone_bricks: #20, 81(0%)
minecraft.mined.yellow_bed: #20, 1(0%)
minecraft.picked_up.yellow_bed: #20, 1(0%)
minecraft.dropped.white_wool: #20, 5(0%)
minecraft.picked_up.light_gray_stained_glass_pane: #20, 1(0%)
minecraft.dropped.terracotta: #20, 2(0%)
minecraft.mined.cracked_stone_bricks: #20, 2(0%)
minecraft.picked_up.baked_potato: #20, 1(0%)
minecraft.used.stone_shovel: #20, 9(0%)
minecraft.picked_up.oxeye_daisy: #20, 5(0%)
minecraft.crafted.stone_stairs: #20, 4(0%)
minecraft.used.fishing_rod: #20, 1(0%)
minecraft.dropped.potato: #20, 1(0%)
minecraft.dropped.white_dye: #20, 1(0%)
minecraft.mined.mangrove_roots: #20, 2(0%)
minecraft.mined.white_concrete_powder: #20, 1(0%)
minecraft.used.cyan_concrete: #20, 1(0%)
minecraft.mined.cyan_concrete: #20, 1(0%)
minecraft.used.pointed_dripstone: #20, 2(0%)
minecraft.used.white_concrete_powder: #20, 2(0%)
minecraft.custom.sneak_time: #21, 1454831(1%)
minecraft.custom.crouch_one_cm: #21, 6600242(1%)
minecraft.used.chest: #21, 486(1%)
minecraft.picked_up.diamond_boots: #21, 10(1%)
minecraft.crafted.oak_fence: #21, 75(1%)
minecraft.picked_up.diamond_shovel: #21, 11(1%)
minecraft.picked_up.diamond_leggings: #21, 10(1%)
minecraft.killed.enderman: #21, 10077(1%)
minecraft.crafted.ladder: #21, 132(1%)
minecraft.picked_up.iron_pickaxe: #21, 2(1%)
minecraft.dropped.compass: #21, 31(1%)
minecraft.mined.birch_log: #21, 1055(1%)
minecraft.used.iron_leggings: #21, 1(1%)
minecraft.mined.oak_leaves: #21, 1138(1%)
minecraft.picked_up.compass: #21, 31(1%)
minecraft.mined.beacon: #21, 5(1%)
minecraft.picked_up.raw_copper: #21, 1646(1%)
minecraft.crafted.diamond_leggings: #21, 2(1%)
minecraft.crafted.iron_boots: #21, 2(1%)
minecraft.crafted.ender_eye: #21, 10(1%)
minecraft.used.hopper: #21, 201(1%)
minecraft.dropped.flint_and_steel: #21, 1(1%)
minecraft.used.iron_shovel: #21, 435(0%)
minecraft.picked_up.redstone_lamp: #21, 9(1%)
minecraft.used.andesite: #21, 320(0%)
minecraft.mined.repeater: #21, 24(0%)
minecraft.picked_up.redstone_block: #21, 100(0%)
minecraft.used.repeater: #21, 90(0%)
minecraft.used.dropper: #21, 42(0%)
minecraft.picked_up.repeater: #21, 34(0%)
minecraft.mined.glass: #21, 74(0%)
minecraft.picked_up.white_shulker_box: #21, 24(0%)
minecraft.picked_up.iron_leggings: #21, 2(0%)
minecraft.mined.obsidian: #21, 201(0%)
minecraft.picked_up.stone_bricks: #21, 167(0%)
minecraft.crafted.observer: #21, 87(0%)
minecraft.picked_up.lapis_ore: #21, 8(0%)
minecraft.picked_up.dark_oak_stairs: #21, 14(0%)
minecraft.mined.honey_block: #21, 6(0%)
minecraft.dropped.leather_helmet: #21, 1(0%)
minecraft.mined.oak_wall_sign: #21, 3(0%)
minecraft.picked_up.ladder: #21, 20(0%)
minecraft.picked_up.carrot: #21, 242(0%)
minecraft.used.iron_door: #21, 2(0%)
minecraft.crafted.iron_nugget: #21, 903(0%)
minecraft.crafted.red_dye: #21, 266(0%)
minecraft.used.oak_planks: #21, 55(0%)
minecraft.used.oak_stairs: #21, 9(0%)
minecraft.mined.deepslate_tile_slab: #21, 6(0%)
minecraft.mined.sand: #21, 3996(0%)
minecraft.used.glow_ink_sac: #21, 9(0%)
minecraft.mined.bamboo: #21, 57(0%)
minecraft.killed.cow: #21, 14(0%)
minecraft.mined.amethyst_cluster: #21, 50(0%)
minecraft.picked_up.shulker_shell: #21, 47(0%)
minecraft.picked_up.cobblestone_wall: #21, 7(0%)
minecraft.mined.powered_rail: #21, 19(0%)
minecraft.picked_up.mossy_stone_bricks: #21, 4(0%)
minecraft.dropped.coal_ore: #21, 7(0%)
minecraft.crafted.yellow_dye: #21, 88(0%)
minecraft.picked_up.glow_lichen: #21, 66(0%)
minecraft.picked_up.warped_nylium: #21, 11(0%)
minecraft.dropped.birch_sign: #21, 1(0%)
minecraft.dropped.mossy_cobblestone: #21, 2(0%)
minecraft.dropped.name_tag: #21, 1(0%)
minecraft.picked_up.polished_blackstone_bricks: #21, 65(0%)
minecraft.dropped.string: #21, 57(0%)
minecraft.picked_up.gunpowder: #21, 65(0%)
minecraft.used.stone_brick_wall: #21, 6(0%)
minecraft.mined.polished_granite: #21, 1(0%)
minecraft.used.white_concrete: #21, 30(0%)
minecraft.picked_up.yellow_terracotta: #21, 7(0%)
minecraft.picked_up.sea_lantern: #21, 3(0%)
minecraft.mined.gold_block: #21, 2(0%)
minecraft.crafted.book: #21, 1(0%)
minecraft.mined.light_gray_terracotta: #21, 5(0%)
minecraft.picked_up.light_gray_terracotta: #21, 5(0%)
minecraft.used.green_terracotta: #21, 10(0%)
minecraft.picked_up.cornflower: #21, 9(0%)
minecraft.picked_up.cyan_concrete: #21, 1(0%)
minecraft.dropped.gold_ingot: #21, 2(0%)
minecraft.used.polished_basalt: #21, 2(0%)
minecraft.used.warped_wart_block: #21, 1(0%)
minecraft.picked_up.mangrove_roots: #21, 2(0%)
minecraft.picked_up.black_concrete_powder: #21, 2(0%)
minecraft.killed.drowned: #21, 35(0%)
minecraft.custom.open_chest: #22, 11961(1%)
minecraft.mined.coal_ore: #22, 1736(1%)
minecraft.picked_up.coal: #22, 2180(1%)
minecraft.crafted.torch: #22, 2156(1%)
minecraft.mined.deepslate_gold_ore: #22, 165(1%)
minecraft.picked_up.golden_carrot: #22, 264(1%)
minecraft.used.diamond_axe: #22, 9524(1%)
minecraft.mined.oak_fence: #22, 17(1%)
minecraft.killed.pig: #22, 4(1%)
minecraft.used.oak_fence: #22, 35(1%)
minecraft.used.cobbled_deepslate: #22, 615(1%)
minecraft.picked_up.raw_gold: #22, 214(1%)
minecraft.custom.interact_with_beacon: #22, 7(1%)
minecraft.killed.wandering_trader: #22, 1(1%)
minecraft.killed.trader_llama: #22, 2(1%)
minecraft.mined.redstone_wire: #22, 77(0%)
minecraft.used.white_bed: #22, 15(0%)
minecraft.picked_up.kelp: #22, 542(1%)
minecraft.picked_up.birch_planks: #22, 81(0%)
minecraft.picked_up.porkchop: #22, 11(0%)
minecraft.mined.redstone_wall_torch: #22, 8(0%)
minecraft.picked_up.obsidian: #22, 208(0%)
minecraft.mined.copper_ore: #22, 258(0%)
minecraft.picked_up.oak_planks: #22, 68(0%)
minecraft.mined.dropper: #22, 12(0%)
minecraft.used.redstone: #22, 323(0%)
minecraft.used.white_shulker_box: #22, 24(0%)
minecraft.picked_up.redstone_torch: #22, 31(0%)
minecraft.crafted.shulker_box: #22, 49(0%)
minecraft.dropped.granite: #22, 92(0%)
minecraft.custom.tune_noteblock: #22, 95(0%)
minecraft.picked_up.ender_chest: #22, 49(0%)
minecraft.mined.hopper: #22, 32(0%)
minecraft.crafted.white_bed: #22, 3(0%)
minecraft.broken.iron_shovel: #22, 1(0%)
minecraft.mined.kelp_plant: #22, 46(0%)
minecraft.killed.squid: #22, 22(0%)
minecraft.used.ender_chest: #22, 45(0%)
minecraft.mined.yellow_shulker_box: #22, 14(0%)
minecraft.used.yellow_shulker_box: #22, 14(0%)
minecraft.picked_up.sand: #22, 4007(0%)
minecraft.used.jukebox: #22, 2(0%)
minecraft.crafted.jukebox: #22, 1(0%)
minecraft.used.dark_oak_stairs: #22, 23(0%)
minecraft.mined.comparator: #22, 4(0%)
minecraft.used.basalt: #22, 122(0%)
minecraft.mined.brown_shulker_box: #22, 6(0%)
minecraft.picked_up.brown_shulker_box: #22, 6(0%)
minecraft.mined.oak_sapling: #22, 2(0%)
minecraft.picked_up.powered_rail: #22, 23(0%)
minecraft.used.brown_shulker_box: #22, 6(0%)
minecraft.mined.iron_door: #22, 1(0%)
minecraft.picked_up.honey_block: #22, 6(0%)
minecraft.crafted.painting: #22, 1(0%)
minecraft.picked_up.deepslate_tile_slab: #22, 6(0%)
minecraft.picked_up.salmon: #22, 3(0%)
minecraft.mined.white_concrete: #22, 101(0%)
minecraft.mined.white_terracotta: #22, 31(0%)
minecraft.picked_up.white_concrete: #22, 81(0%)
minecraft.mined.deepslate_copper_ore: #22, 3(0%)
minecraft.picked_up.copper_ore: #22, 23(0%)
minecraft.picked_up.lilac: #22, 10(0%)
minecraft.mined.lime_terracotta: #22, 7(0%)
minecraft.used.string: #22, 23(0%)
minecraft.dropped.leather_boots: #22, 1(0%)
minecraft.mined.polished_basalt: #22, 2(0%)
minecraft.picked_up.name_tag: #22, 1(0%)
minecraft.killed.chicken: #22, 7(0%)
minecraft.used.spyglass: #22, 2(0%)
minecraft.used.cocoa_beans: #22, 3(0%)
minecraft.used.packed_ice: #22, 25(0%)
minecraft.used.lime_terracotta: #22, 11(0%)
minecraft.crafted.pink_dye: #22, 6(0%)
minecraft.picked_up.paper: #22, 14(0%)
minecraft.used.yellow_terracotta: #22, 2(0%)
