stat, rank, value, (percentage) 
minecraft.picked_up.dragon_egg: #4, 320(5%)
minecraft.crafted.cobblestone_wall: #5, 516(8%)
minecraft.picked_up.deepslate_tiles: #5, 678(6%)
minecraft.crafted.bamboo_raft: #4, 5(6%)
minecraft.broken.brush: #4, 1(17%)
minecraft.mined.twisting_vines: #4, 30(4%)
minecraft.crafted.cherry_door: #4, 3(8%)
minecraft.mined.smooth_stone_slab: #5, 188(6%)
minecraft.dropped.raw_gold: #4, 36(4%)
minecraft.crafted.copper_ingot: #5, 4950(6%)
minecraft.mined.dark_prismarine_slab: #4, 92(3%)
minecraft.mined.deepslate_tile_wall: #5, 71(7%)
minecraft.used.deepslate_brick_stairs: #5, 1101(6%)
minecraft.mined.deepslate_tile_stairs: #5, 128(7%)
minecraft.dropped.azure_bluet: #5, 49(6%)
minecraft.used.deepslate_tiles: #6, 5974(8%)
minecraft.picked_up.deepslate_brick_stairs: #5, 292(6%)
minecraft.crafted.oxidized_cut_copper: #5, 200(8%)
minecraft.picked_up.cherry_slab: #4, 2(6%)
minecraft.dropped.purple_stained_glass_pane: #4, 4(4%)
minecraft.dropped.lime_concrete: #4, 6(2%)
minecraft.mined.soul_torch: #4, 5(2%)
minecraft.crafted.cherry_fence: #4, 12(2%)
minecraft.used.oak_pressure_plate: #5, 6(7%)
minecraft.dropped.oxidized_cut_copper_slab: #4, 2(2%)
minecraft.picked_up.pink_tulip: #4, 43(1%)
minecraft.dropped.light_blue_concrete_powder: #4, 2(1%)
minecraft.picked_up.prismarine_brick_slab: #4, 81(1%)
minecraft.used.prismarine_brick_slab: #4, 84(1%)
minecraft.dropped.cracked_deepslate_bricks: #4, 10(1%)
minecraft.picked_up.verdant_froglight: #5, 129(5%)
minecraft.used.orange_concrete: #5, 745(6%)
minecraft.picked_up.dried_kelp: #4, 9(0%)
minecraft.picked_up.lever: #6, 313(7%)
minecraft.used.oxidized_copper: #5, 803(4%)
minecraft.used.iron_bars: #6, 1575(7%)
minecraft.used.dark_prismarine_slab: #5, 295(5%)
minecraft.killed_by.pillager: #5, 1(14%)
minecraft.picked_up.shelter_pottery_sherd: #5, 4(8%)
minecraft.used.stone_brick_slab: #5, 690(3%)
minecraft.used.chicken: #5, 4(5%)
minecraft.used.orange_concrete_powder: #5, 704(5%)
minecraft.mined.warped_button: #5, 4(5%)
minecraft.mined.cyan_stained_glass: #5, 26(5%)
minecraft.crafted.iron_bars: #6, 1792(6%)
minecraft.used.music_disc_5: #5, 2(6%)
minecraft.mined.oxidized_cut_copper_slab: #5, 40(3%)
minecraft.used.oxidized_cut_copper_slab: #5, 320(3%)
minecraft.used.warped_fence: #6, 173(9%)
minecraft.picked_up.dark_prismarine_slab: #5, 87(3%)
minecraft.dropped.cherry_leaves: #5, 8(6%)
minecraft.dropped.bamboo_planks: #5, 6(3%)
minecraft.used.cobblestone_wall: #6, 437(5%)
minecraft.mined.piston: #6, 356(5%)
minecraft.mined.deepslate_diamond_ore: #6, 1246(4%)
minecraft.dropped.brown_dye: #5, 5(2%)
minecraft.crafted.cherry_trapdoor: #5, 6(2%)
minecraft.used.bamboo: #6, 439(4%)
minecraft.used.cherry_trapdoor: #5, 6(2%)
minecraft.picked_up.white_tulip: #5, 23(1%)
minecraft.mined.light_gray_glazed_terracotta: #5, 5(1%)
minecraft.mined.cherry_fence: #5, 1(1%)
minecraft.mined.warped_pressure_plate: #5, 1(1%)
minecraft.dropped.cracked_deepslate_tiles: #5, 1(1%)
minecraft.used.red_concrete_powder: #6, 1280(4%)
minecraft.picked_up.warped_fungus: #6, 391(4%)
minecraft.picked_up.oxidized_cut_copper_slab: #6, 95(5%)
minecraft.broken.iron_leggings: #6, 1(12%)
minecraft.used.brush: #6, 171(7%)
minecraft.picked_up.chicken: #6, 1295(3%)
minecraft.broken.diamond_shovel: #6, 4(6%)
minecraft.used.polished_blackstone_bricks: #6, 2571(4%)
minecraft.picked_up.cyan_stained_glass: #6, 90(5%)
minecraft.crafted.brush: #6, 5(6%)
minecraft.killed_by.evoker: #6, 1(10%)
minecraft.mined.smooth_stone: #6, 225(4%)
minecraft.crafted.stone_brick_slab: #6, 930(3%)
minecraft.crafted.rail: #7, 2528(6%)
minecraft.picked_up.copper_block: #7, 759(6%)
minecraft.used.pink_concrete_powder: #6, 375(4%)
minecraft.dropped.smooth_quartz_stairs: #6, 5(8%)
minecraft.broken.iron_pickaxe: #7, 13(6%)
minecraft.mined.lime_concrete: #6, 384(3%)
minecraft.picked_up.purple_concrete: #6, 239(3%)
minecraft.used.dirt: #7, 29211(4%)
minecraft.used.music_disc_strad: #6, 3(4%)
minecraft.killed_by.wither: #6, 3(6%)
minecraft.picked_up.explorer_pottery_sherd: #6, 2(3%)
minecraft.picked_up.burn_pottery_sherd: #6, 1(4%)
minecraft.used.cherry_planks: #6, 15(3%)
minecraft.mined.weathered_cut_copper_stairs: #6, 1(3%)
minecraft.used.weathered_cut_copper: #6, 8(2%)
minecraft.used.deepslate_diamond_ore: #7, 1059(4%)
minecraft.picked_up.blade_pottery_sherd: #6, 2(3%)
minecraft.used.waxed_oxidized_copper: #6, 25(2%)
minecraft.used.cherry_door: #6, 1(2%)
minecraft.picked_up.cherry_trapdoor: #6, 2(2%)
minecraft.mined.cherry_planks: #6, 2(1%)
minecraft.dropped.stone_pickaxe: #7, 5(4%)
minecraft.picked_up.light_gray_glazed_terracotta: #6, 5(1%)
minecraft.used.warped_stem: #7, 1978(5%)
minecraft.picked_up.stripped_cherry_log: #6, 6(0%)
minecraft.picked_up.cherry_fence: #6, 1(1%)
minecraft.mined.stripped_cherry_log: #6, 6(0%)
minecraft.mined.soul_wall_torch: #6, 1(1%)
minecraft.picked_up.warped_pressure_plate: #6, 1(0%)
minecraft.crafted.diamond_shovel: #7, 10(3%)
minecraft.mined.tripwire_hook: #7, 8(5%)
minecraft.picked_up.piston: #7, 350(3%)
minecraft.picked_up.oxidized_copper: #7, 1076(3%)
minecraft.mined.cyan_terracotta: #7, 428(3%)
minecraft.broken.golden_helmet: #7, 1(9%)
minecraft.crafted.raw_iron: #7, 1088(3%)
minecraft.used.lever: #8, 352(5%)
minecraft.picked_up.music_disc_strad: #7, 4(4%)
minecraft.picked_up.heart_pottery_sherd: #7, 2(7%)
minecraft.picked_up.mourner_pottery_sherd: #7, 3(8%)
minecraft.used.warped_nylium: #7, 79(2%)
minecraft.picked_up.music_disc_5: #7, 2(5%)
minecraft.mined.polished_deepslate_slab: #7, 149(2%)
minecraft.used.blackstone: #7, 1816(1%)
minecraft.used.lime_concrete: #7, 194(2%)
minecraft.picked_up.polished_deepslate: #8, 684(5%)
minecraft.picked_up.weathered_cut_copper_stairs: #7, 1(3%)
minecraft.dropped.pink_petals: #7, 6(2%)
minecraft.picked_up.cracked_deepslate_tiles: #7, 11(2%)
minecraft.dropped.warped_roots: #7, 40(1%)
minecraft.used.pink_concrete: #7, 39(1%)
minecraft.dropped.birch_stairs: #7, 1(1%)
minecraft.mined.polished_blackstone: #8, 117(5%)
minecraft.used.magma_block: #8, 1162(4%)
minecraft.used.warped_pressure_plate: #7, 2(0%)
minecraft.dropped.dried_kelp: #7, 6(0%)
minecraft.used.deepslate_brick_slab: #8, 929(4%)
minecraft.picked_up.magma_block: #8, 1337(3%)
minecraft.crafted.furnace: #9, 218(5%)
minecraft.picked_up.smooth_stone_slab: #8, 143(4%)
minecraft.crafted.raw_copper: #8, 4320(4%)
minecraft.crafted.smooth_stone: #8, 412(3%)
minecraft.used.warped_planks: #8, 940(3%)
minecraft.picked_up.yellow_wool: #8, 207(3%)
minecraft.used.diamond_block: #8, 114(3%)
minecraft.used.piston: #8, 385(2%)
minecraft.mined.black_stained_glass: #8, 141(3%)
minecraft.used.deepslate_tile_wall: #8, 296(3%)
minecraft.picked_up.cobbled_deepslate: #9, 44766(5%)
minecraft.picked_up.lime_concrete: #8, 315(2%)
minecraft.mined.purple_concrete: #8, 237(3%)
minecraft.picked_up.sculk_shrieker: #8, 29(2%)
minecraft.used.purple_concrete_powder: #8, 195(2%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #8, 1(5%)
minecraft.used.dark_prismarine: #8, 259(2%)
minecraft.dropped.lapis_lazuli: #8, 76(2%)
minecraft.crafted.weathered_cut_copper: #8, 8(4%)
minecraft.crafted.polished_blackstone_stairs: #8, 16(2%)
minecraft.picked_up.ender_eye: #8, 4(3%)
minecraft.crafted.trapped_chest: #8, 1(4%)
minecraft.dropped.bamboo_raft: #8, 1(4%)
minecraft.used.orange_dye: #8, 6(2%)
minecraft.used.oak_sapling: #8, 411(1%)
minecraft.crafted.light_gray_bed: #8, 1(3%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #8, 1(4%)
minecraft.crafted.orange_concrete_powder: #8, 384(2%)
minecraft.picked_up.diamond_block: #9, 204(4%)
minecraft.used.trapped_chest: #8, 1(3%)
minecraft.used.purple_concrete: #8, 81(1%)
minecraft.dropped.cobbled_deepslate_stairs: #8, 3(1%)
minecraft.picked_up.brown_candle: #8, 2(1%)
minecraft.dropped.mud_brick_slab: #8, 1(1%)
