stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #18, 2442423(1%)
minecraft.custom.time_since_death: #19, 2442423(1%)
minecraft.custom.fly_one_cm: #41, 9166814(0%)
minecraft.custom.leave_game: #46, 55(0%)
minecraft.custom.play_time: #46, 2442423(0%)
minecraft.custom.total_world_time: #46, 2442423(0%)
minecraft.custom.walk_under_water_one_cm: #55, 13542(0%)
minecraft.custom.sneak_time: #57, 7110(0%)
minecraft.custom.walk_on_water_one_cm: #58, 5401(0%)
