stat, rank, value, (percentage) 
minecraft.used.poppy: #3, 63(10%)
minecraft.used.stone_bricks: #2, 8941(6%)
minecraft.mined.smooth_basalt: #3, 2119(11%)
minecraft.used.cocoa_beans: #4, 1699(17%)
minecraft.dropped.orange_shulker_box: #2, 3(27%)
minecraft.mined.orange_stained_glass_pane: #2, 23(18%)
minecraft.used.orange_stained_glass: #3, 2559(16%)
minecraft.used.rose_bush: #3, 133(10%)
minecraft.mined.deepslate_coal_ore: #3, 40(12%)
minecraft.crafted.tnt: #3, 14278(11%)
minecraft.dropped.oxeye_daisy: #3, 43(16%)
minecraft.picked_up.netherite_upgrade_smithing_template: #2, 4(25%)
minecraft.used.polished_andesite: #3, 3903(10%)
minecraft.used.cauldron: #2, 271(6%)
minecraft.crafted.purple_bed: #2, 10(16%)
minecraft.picked_up.iron_ore: #3, 2102(8%)
minecraft.picked_up.coarse_dirt: #3, 1777(9%)
minecraft.custom.use_cauldron: #2, 1101(10%)
minecraft.picked_up.smooth_basalt: #3, 2153(10%)
minecraft.picked_up.bamboo_raft: #3, 34(14%)
minecraft.killed.glow_squid: #3, 148(9%)
minecraft.dropped.spruce_sign: #3, 33(10%)
minecraft.dropped.honey_bottle: #2, 46(17%)
minecraft.crafted.honey_bottle: #2, 544(45%)
minecraft.used.gold_ore: #3, 107(11%)
minecraft.mined.iron_ore: #3, 3913(7%)
minecraft.picked_up.small_amethyst_bud: #2, 482(7%)
minecraft.picked_up.cocoa_beans: #4, 4063(13%)
minecraft.used.orange_terracotta: #3, 1060(10%)
minecraft.killed.trader_llama: #3, 30(9%)
minecraft.crafted.end_stone_brick_stairs: #2, 68(13%)
minecraft.used.amethyst_block: #3, 1394(10%)
minecraft.crafted.raw_gold: #3, 900(12%)
minecraft.used.oak_pressure_plate: #3, 11(13%)
minecraft.used.magenta_candle: #2, 16(36%)
minecraft.broken.iron_pickaxe: #3, 17(7%)
minecraft.picked_up.amethyst_shard: #3, 11860(8%)
minecraft.dropped.conduit: #2, 1(50%)
minecraft.killed_by.wither_skeleton: #2, 1(33%)
minecraft.used.spruce_sapling: #3, 1425(7%)
minecraft.used.polished_deepslate_slab: #4, 5070(13%)
minecraft.mined.spruce_log: #4, 22356(9%)
minecraft.dropped.netherite_upgrade_smithing_template: #2, 3(23%)
minecraft.picked_up.lime_candle: #2, 20(15%)
minecraft.killed_by.vex: #3, 16(8%)
minecraft.mined.peony: #4, 34(11%)
minecraft.picked_up.spruce_log: #4, 22904(9%)
minecraft.used.lime_candle: #2, 24(14%)
minecraft.crafted.hopper_minecart: #3, 337(8%)
minecraft.dropped.spruce_fence_gate: #2, 10(10%)
minecraft.picked_up.blue_shulker_box: #3, 391(8%)
minecraft.used.blue_shulker_box: #3, 391(8%)
minecraft.picked_up.large_amethyst_bud: #3, 118(10%)
minecraft.mined.blue_shulker_box: #3, 391(8%)
minecraft.used.emerald_block: #4, 2155(10%)
minecraft.picked_up.emerald_block: #3, 2320(6%)
minecraft.picked_up.deepslate_coal_ore: #3, 20(12%)
minecraft.mined.lime_candle: #2, 5(11%)
minecraft.used.honey_block: #4, 996(10%)
minecraft.mined.gray_candle: #2, 1(25%)
minecraft.used.polished_deepslate: #4, 6345(9%)
minecraft.used.gray_candle: #2, 8(16%)
minecraft.used.beehive: #3, 223(8%)
minecraft.picked_up.cyan_candle: #2, 8(8%)
minecraft.dropped.arrow: #4, 12764(8%)
minecraft.mined.pink_candle: #2, 1(20%)
minecraft.killed.dolphin: #3, 4(20%)
minecraft.crafted.cauldron: #3, 271(5%)
minecraft.used.cooked_porkchop: #4, 2602(6%)
minecraft.used.deepslate_lapis_ore: #4, 138(12%)
minecraft.dropped.milk_bucket: #3, 11(16%)
minecraft.picked_up.magenta_candle: #2, 12(6%)
minecraft.mined.cyan_candle: #2, 2(6%)
minecraft.picked_up.oak_door: #4, 16(10%)
minecraft.picked_up.gray_candle: #2, 4(3%)
minecraft.picked_up.honey_bottle: #3, 107(7%)
minecraft.mined.blue_candle: #3, 2(33%)
minecraft.mined.oak_door: #4, 10(11%)
minecraft.crafted.light_blue_dye: #5, 2118(11%)
minecraft.dropped.nether_wart_block: #3, 338(5%)
minecraft.crafted.polished_andesite: #4, 3972(7%)
minecraft.killed.wandering_trader: #4, 13(9%)
minecraft.picked_up.iron_ingot: #4, 3361(5%)
minecraft.crafted.orange_stained_glass: #4, 2752(12%)
minecraft.mined.light_blue_candle: #3, 3(25%)
minecraft.picked_up.orange_stained_glass_pane: #3, 22(6%)
minecraft.mined.deepslate_tile_slab: #4, 142(7%)
minecraft.dropped.iron_shovel: #4, 8(6%)
minecraft.used.shield: #4, 344(7%)
minecraft.dropped.bamboo_raft: #3, 2(7%)
minecraft.mined.cocoa: #4, 422(6%)
minecraft.dropped.diamond_pickaxe: #5, 29(7%)
minecraft.mined.stone: #5, 383366(7%)
minecraft.used.bamboo: #4, 593(6%)
minecraft.used.pink_candle: #3, 8(11%)
minecraft.dropped.acacia_boat: #3, 2(7%)
minecraft.used.diorite_slab: #4, 130(12%)
minecraft.used.end_stone_brick_stairs: #3, 41(7%)
minecraft.picked_up.wooden_pickaxe: #4, 4(7%)
minecraft.picked_up.oak_pressure_plate: #4, 5(9%)
minecraft.mined.purple_candle: #3, 3(12%)
minecraft.used.deepslate_tiles: #5, 6247(9%)
minecraft.picked_up.medium_amethyst_bud: #4, 178(8%)
minecraft.crafted.light_blue_wool: #3, 192(5%)
minecraft.used.blue_candle: #3, 12(8%)
minecraft.picked_up.cut_copper_stairs: #5, 61(10%)
minecraft.picked_up.diamond_leggings: #5, 66(6%)
minecraft.used.diamond_leggings: #5, 21(9%)
minecraft.mined.black_candle: #3, 1(9%)
minecraft.picked_up.lilac: #5, 1094(9%)
minecraft.picked_up.rotten_flesh: #5, 5635(5%)
minecraft.dropped.honeycomb_block: #3, 64(6%)
minecraft.dropped.black_stained_glass_pane: #3, 5(4%)
minecraft.dropped.glass_bottle: #5, 581(7%)
minecraft.mined.orange_candle: #3, 2(3%)
minecraft.custom.fill_cauldron: #4, 48(6%)
minecraft.mined.cut_copper_stairs: #5, 61(11%)
minecraft.picked_up.crimson_roots: #4, 2172(4%)
minecraft.used.purple_candle: #4, 52(17%)
minecraft.dropped.glowstone_dust: #5, 588(11%)
minecraft.killed.squid: #5, 559(7%)
minecraft.crafted.stone_slab: #5, 3638(7%)
minecraft.crafted.raw_iron: #5, 2970(8%)
minecraft.used.light_blue_candle: #4, 16(11%)
minecraft.picked_up.rose_bush: #5, 2508(6%)
minecraft.crafted.birch_slab: #5, 630(7%)
minecraft.crafted.blue_dye: #5, 4581(6%)
minecraft.picked_up.iron_pickaxe: #5, 11(7%)
minecraft.used.redstone_ore: #5, 32(10%)
minecraft.used.snowball: #5, 399(5%)
minecraft.used.stripped_crimson_stem: #5, 86(7%)
minecraft.mined.birch_log: #5, 6434(6%)
minecraft.picked_up.lingering_potion: #4, 2(9%)
