stat, rank, value, (percentage) 
minecraft.mined.chiseled_polished_blackstone: #1, 254(63%)
minecraft.mined.smithing_table: #1, 142(38%)
minecraft.dropped.basalt: #1, 10032(35%)
minecraft.dropped.clay: #1, 4561(48%)
minecraft.mined.nether_bricks: #1, 8514(33%)
minecraft.dropped.cracked_deepslate_bricks: #1, 1186(96%)
minecraft.used.lime_wool: #1, 2665(43%)
minecraft.dropped.deepslate_brick_wall: #1, 827(86%)
minecraft.picked_up.fire_charge: #1, 1553(66%)
minecraft.used.polished_blackstone_wall: #1, 6783(61%)
minecraft.dropped.deepslate_brick_stairs: #1, 819(77%)
minecraft.used.ice: #1, 14645(35%)
minecraft.picked_up.comparator: #1, 1581(32%)
minecraft.mined.cave_vines_plant: #2, 711(34%)
minecraft.used.diamond_pickaxe: #1, 1628239(20%)
minecraft.picked_up.mossy_cobblestone_slab: #1, 275(42%)
minecraft.picked_up.nether_bricks: #1, 7810(32%)
minecraft.picked_up.repeater: #1, 2571(31%)
minecraft.used.observer: #1, 8570(30%)
minecraft.dropped.mossy_cobblestone: #1, 560(38%)
minecraft.dropped.warped_stem: #1, 1461(75%)
minecraft.dropped.wooden_axe: #1, 38(51%)
minecraft.dropped.polished_deepslate_wall: #1, 627(63%)
minecraft.used.polished_blackstone_brick_stairs: #1, 11874(63%)
minecraft.used.crimson_stairs: #1, 1281(45%)
minecraft.used.deepslate_bricks: #1, 30555(29%)
minecraft.mined.powered_rail: #1, 3080(32%)
minecraft.mined.jukebox: #1, 198(34%)
minecraft.dropped.bone_block: #1, 1987(57%)
minecraft.dropped.iron_block: #1, 3076(35%)
minecraft.dropped.potion: #1, 822(31%)
minecraft.mined.stripped_warped_hyphae: #1, 1465(57%)
minecraft.dropped.black_shulker_box: #1, 28(61%)
minecraft.used.wither_skeleton_skull: #1, 805(44%)
minecraft.dropped.fire_charge: #1, 1493(87%)
minecraft.crafted.smithing_table: #1, 956(31%)
minecraft.mined.basalt: #1, 84600(28%)
minecraft.used.stone_pressure_plate: #1, 351(35%)
minecraft.picked_up.note_block: #1, 535(31%)
minecraft.crafted.light_gray_shulker_box: #1, 81(38%)
minecraft.crafted.polished_blackstone_pressure_plate: #1, 685(59%)
minecraft.used.sculk_sensor: #1, 165(38%)
