stat, rank, value, (percentage) 
minecraft.dropped.poisonous_potato: #1, 11(21%)
minecraft.dropped.iron_door: #1, 22(24%)
minecraft.used.packed_ice: #2, 20390(17%)
minecraft.used.loom: #2, 166(20%)
minecraft.mined.light_gray_wall_banner: #1, 8(47%)
minecraft.crafted.redstone: #2, 55686(15%)
minecraft.picked_up.stonecutter: #2, 327(15%)
minecraft.picked_up.cyan_wool: #2, 814(25%)
minecraft.dropped.deepslate_iron_ore: #2, 104(30%)
minecraft.mined.deepslate_brick_slab: #2, 533(21%)
minecraft.picked_up.black_shulker_box: #2, 765(15%)
minecraft.picked_up.polished_deepslate_stairs: #2, 762(18%)
minecraft.crafted.clay: #2, 4648(26%)
minecraft.used.spruce_button: #2, 194(17%)
minecraft.used.blue_stained_glass_pane: #1, 96(32%)
minecraft.mined.weeping_vines: #2, 252(20%)
minecraft.dropped.goat_horn: #2, 18(18%)
minecraft.killed.zombie: #2, 28524(11%)
minecraft.crafted.dark_oak_door: #2, 93(19%)
minecraft.picked_up.lever: #2, 654(14%)
minecraft.used.music_disc_ward: #1, 26(79%)
minecraft.mined.lapis_ore: #2, 698(14%)
minecraft.used.calibrated_sculk_sensor: #1, 75(52%)
minecraft.dropped.polished_deepslate: #2, 510(24%)
minecraft.dropped.red_shulker_box: #2, 23(23%)
minecraft.picked_up.composter: #1, 247(12%)
minecraft.crafted.warped_hyphae: #2, 1806(25%)
minecraft.crafted.item_frame: #1, 897(12%)
minecraft.picked_up.music_disc_mall: #1, 19(25%)
minecraft.used.warped_wart_block: #2, 3428(19%)
minecraft.used.hopper: #2, 5184(15%)
minecraft.mined.black_shulker_box: #2, 701(14%)
minecraft.used.music_disc_mall: #1, 15(38%)
minecraft.mined.soul_sand: #2, 7281(15%)
minecraft.crafted.coal: #2, 9019(16%)
minecraft.picked_up.potato: #2, 4048(14%)
minecraft.used.target: #2, 461(19%)
minecraft.dropped.crimson_stairs: #1, 59(60%)
minecraft.mined.ladder: #2, 264(14%)
minecraft.dropped.cobblestone: #2, 9791(12%)
minecraft.picked_up.pointed_dripstone: #2, 2555(14%)
minecraft.dropped.black_concrete_powder: #2, 4585(40%)
minecraft.crafted.warped_fence: #1, 357(17%)
minecraft.used.purple_shulker_box: #1, 232(15%)
minecraft.crafted.fishing_rod: #1, 26(14%)
minecraft.dropped.minecart: #2, 111(21%)
minecraft.used.stonecutter: #2, 324(14%)
minecraft.crafted.yellow_carpet: #2, 3548(22%)
minecraft.dropped.cyan_shulker_box: #1, 11(12%)
minecraft.picked_up.chest: #2, 2786(11%)
minecraft.used.totem_of_undying: #3, 187(17%)
minecraft.mined.cobbled_deepslate_wall: #2, 88(26%)
minecraft.used.mossy_cobblestone_wall: #1, 150(24%)
minecraft.picked_up.purple_shulker_box: #1, 204(14%)
minecraft.picked_up.calibrated_sculk_sensor: #1, 107(72%)
minecraft.dropped.coarse_dirt: #2, 618(18%)
minecraft.picked_up.torch: #2, 11723(10%)
minecraft.used.black_wool: #2, 1834(17%)
minecraft.custom.crouch_one_cm: #3, 68469460(9%)
minecraft.picked_up.blackstone: #2, 23186(14%)
minecraft.picked_up.music_disc_mellohi: #1, 17(22%)
minecraft.crafted.mossy_cobblestone: #2, 5044(16%)
minecraft.dropped.polished_blackstone_brick_wall: #1, 306(93%)
minecraft.mined.stone_button: #2, 124(15%)
minecraft.mined.cactus: #2, 369(16%)
minecraft.dropped.chain: #2, 269(22%)
minecraft.crafted.shears: #2, 1394(13%)
minecraft.dropped.iron_ore: #2, 467(16%)
minecraft.mined.purple_shulker_box: #1, 203(14%)
minecraft.dropped.crimson_slab: #1, 103(20%)
minecraft.picked_up.twisting_vines: #2, 526(18%)
minecraft.used.warped_fungus: #2, 1319(20%)
minecraft.picked_up.warped_nylium: #2, 1138(16%)
minecraft.picked_up.poppy: #2, 3480(12%)
minecraft.picked_up.weeping_vines: #2, 589(16%)
minecraft.mined.red_wool: #2, 709(16%)
minecraft.crafted.andesite: #1, 7000(27%)
minecraft.crafted.yellow_bed: #2, 84(31%)
minecraft.dropped.wither_rose: #1, 756(30%)
minecraft.used.lever: #2, 801(12%)
minecraft.used.stone_brick_stairs: #2, 1385(15%)
minecraft.mined.crimson_stem: #2, 4054(14%)
minecraft.mined.potatoes: #2, 935(14%)
minecraft.custom.damage_absorbed: #2, 3507(14%)
minecraft.picked_up.iron_bars: #2, 895(14%)
minecraft.mined.netherrack: #2, 221408(12%)
minecraft.picked_up.shulker_shell: #2, 3102(15%)
minecraft.custom.interact_with_crafting_table: #2, 8012(9%)
minecraft.mined.end_rod: #2, 336(13%)
minecraft.dropped.enchanted_book: #2, 236(18%)
minecraft.crafted.cobbled_deepslate_stairs: #2, 438(20%)
minecraft.crafted.iron_shovel: #2, 53(11%)
minecraft.dropped.blast_furnace: #1, 41(51%)
minecraft.mined.iron_block: #2, 3792(13%)
minecraft.dropped.armor_stand: #1, 36(23%)
minecraft.crafted.purpur_slab: #1, 110(36%)
minecraft.picked_up.minecart: #2, 432(13%)
minecraft.mined.nether_brick_wall: #1, 21(64%)
minecraft.custom.open_chest: #2, 62685(7%)
minecraft.dropped.blackstone_stairs: #1, 64(84%)
minecraft.crafted.purpur_stairs: #1, 40(31%)
minecraft.used.chain: #2, 1434(13%)
minecraft.dropped.ender_chest: #2, 45(15%)
minecraft.used.potato: #2, 1028(13%)
minecraft.dropped.blackstone_wall: #1, 122(49%)
minecraft.crafted.hopper: #2, 4325(13%)
minecraft.crafted.target: #2, 490(16%)
minecraft.mined.blast_furnace: #2, 59(16%)
minecraft.mined.birch_sign: #2, 51(14%)
minecraft.mined.deepslate_brick_wall: #2, 188(24%)
minecraft.mined.weeping_vines_plant: #2, 132(16%)
minecraft.mined.cobblestone_wall: #2, 236(13%)
minecraft.dropped.oak_door: #1, 8(18%)
minecraft.used.polished_blackstone: #2, 4702(15%)
minecraft.used.grindstone: #2, 168(12%)
minecraft.crafted.cobbled_deepslate_wall: #2, 315(31%)
minecraft.dropped.iron_shovel: #2, 16(12%)
minecraft.mined.diorite_slab: #1, 17(20%)
minecraft.dropped.bucket: #2, 125(14%)
minecraft.dropped.gray_shulker_box: #1, 6(46%)
minecraft.dropped.flowering_azalea: #2, 130(14%)
minecraft.used.glass: #2, 10089(11%)
minecraft.used.cobblestone_wall: #3, 1440(16%)
minecraft.crafted.chain: #2, 1440(12%)
minecraft.mined.chain: #2, 274(12%)
minecraft.dropped.sculk_shrieker: #1, 153(75%)
minecraft.crafted.birch_hanging_sign: #1, 36(38%)
minecraft.mined.big_dripleaf_stem: #2, 51(15%)
minecraft.dropped.polished_basalt: #2, 999(25%)
minecraft.crafted.polished_blackstone_slab: #2, 315(20%)
minecraft.picked_up.beetroot_seeds: #2, 957(16%)
minecraft.mined.stone_brick_stairs: #2, 320(13%)
minecraft.mined.mossy_cobblestone: #3, 1181(16%)
minecraft.picked_up.diamond_leggings: #2, 90(9%)
minecraft.used.music_disc_wait: #1, 33(37%)
minecraft.picked_up.bone_block: #2, 2407(11%)
minecraft.dropped.crimson_door: #1, 6(55%)
minecraft.mined.black_candle: #1, 8(73%)
minecraft.custom.walk_on_water_one_cm: #4, 10377340(8%)
minecraft.dropped.map: #2, 130(26%)
minecraft.mined.warped_door: #1, 10(27%)
minecraft.used.blackstone_wall: #2, 842(24%)
minecraft.dropped.spruce_planks: #2, 439(12%)
minecraft.mined.glass: #2, 2148(11%)
minecraft.mined.deepslate_bricks: #3, 2400(16%)
minecraft.used.music_disc_11: #1, 8(53%)
minecraft.used.orange_wool: #3, 2510(20%)
minecraft.used.red_candle: #2, 309(22%)
minecraft.used.diamond_hoe: #2, 57515(12%)
minecraft.dropped.packed_ice: #2, 1051(18%)
minecraft.killed.bee: #2, 27(21%)
minecraft.used.cactus: #2, 578(13%)
minecraft.crafted.iron_bars: #2, 3440(12%)
minecraft.dropped.sticky_piston: #2, 151(22%)
minecraft.dropped.stone_shovel: #2, 23(15%)
minecraft.crafted.gray_wool: #2, 1112(20%)
minecraft.dropped.diamond_shovel: #2, 20(11%)
minecraft.mined.nether_brick_fence: #2, 222(22%)
minecraft.picked_up.diorite_slab: #2, 60(28%)
minecraft.dropped.stone_brick_stairs: #2, 161(20%)
minecraft.picked_up.diamond_boots: #2, 80(8%)
minecraft.crafted.diamond_leggings: #2, 32(11%)
minecraft.used.barrel: #2, 884(10%)
minecraft.picked_up.music_disc_11: #2, 20(38%)
minecraft.mined.crimson_button: #1, 4(40%)
minecraft.dropped.magma_block: #2, 149(15%)
minecraft.dropped.nether_brick: #2, 674(27%)
minecraft.mined.calibrated_sculk_sensor: #1, 28(39%)
minecraft.used.basalt: #3, 11406(14%)
minecraft.mined.birch_wall_sign: #3, 180(15%)
minecraft.dropped.cobbled_deepslate_stairs: #2, 118(27%)
minecraft.crafted.cracked_polished_blackstone_bricks: #2, 1018(37%)
minecraft.killed.hoglin: #2, 59(14%)
minecraft.used.note_block: #3, 750(14%)
minecraft.crafted.andesite_slab: #2, 1276(16%)
minecraft.crafted.cracked_deepslate_bricks: #2, 1734(29%)
minecraft.picked_up.ladder: #2, 697(10%)
minecraft.mined.hopper: #3, 1447(15%)
minecraft.picked_up.cobblestone: #3, 151254(10%)
minecraft.mined.torch: #2, 2200(8%)
minecraft.used.soul_torch: #2, 182(21%)
minecraft.crafted.stone_pressure_plate: #2, 465(13%)
minecraft.dropped.copper_ingot: #3, 226(21%)
minecraft.picked_up.vine: #2, 1042(13%)
minecraft.dropped.snow_block: #3, 3874(17%)
minecraft.crafted.glow_item_frame: #3, 290(18%)
minecraft.picked_up.fishing_rod: #2, 19(17%)
minecraft.picked_up.hopper: #3, 1658(14%)
minecraft.used.magenta_candle: #1, 28(62%)
minecraft.dropped.smooth_basalt: #2, 303(14%)
minecraft.used.light_blue_stained_glass_pane: #2, 323(20%)
minecraft.picked_up.wither_rose: #3, 1354(26%)
minecraft.crafted.polished_deepslate_wall: #2, 375(16%)
minecraft.picked_up.lapis_ore: #2, 245(12%)
minecraft.picked_up.bamboo_hanging_sign: #1, 18(46%)
minecraft.mined.magenta_stained_glass_pane: #1, 12(92%)
minecraft.dropped.warped_fungus: #2, 101(22%)
minecraft.dropped.wooden_shovel: #2, 30(18%)
minecraft.picked_up.blast_furnace: #2, 57(13%)
minecraft.used.flint_and_steel: #2, 1825(10%)
minecraft.picked_up.quartz_stairs: #2, 118(16%)
minecraft.crafted.andesite_stairs: #2, 236(19%)
minecraft.picked_up.andesite_stairs: #2, 111(15%)
minecraft.mined.oak_pressure_plate: #1, 4(13%)
minecraft.dropped.crimson_button: #1, 3(60%)
minecraft.mined.bamboo_hanging_sign: #1, 9(90%)
minecraft.mined.barrel: #2, 302(10%)
minecraft.picked_up.nether_brick_slab: #2, 178(35%)
minecraft.mined.soul_soil: #3, 5144(16%)
minecraft.crafted.soul_torch: #2, 1408(15%)
minecraft.dropped.stonecutter: #2, 11(21%)
minecraft.picked_up.saddle: #3, 60(13%)
minecraft.picked_up.powder_snow_bucket: #2, 134(19%)
minecraft.mined.mossy_cobblestone_wall: #2, 28(27%)
minecraft.dropped.soul_lantern: #2, 64(30%)
minecraft.killed_by.pillager: #1, 2(29%)
minecraft.dropped.blue_shulker_box: #1, 2(29%)
minecraft.killed.drowned: #2, 358090(9%)
minecraft.mined.chest: #3, 1969(10%)
minecraft.dropped.mushroom_stem: #2, 65(25%)
minecraft.used.nether_bricks: #3, 1620(15%)
minecraft.crafted.lily_pad: #1, 10(83%)
minecraft.mined.acacia_door: #1, 5(33%)
minecraft.mined.blackstone_wall: #2, 72(21%)
minecraft.dropped.orange_shulker_box: #1, 3(27%)
minecraft.dropped.golden_boots: #3, 96(17%)
minecraft.used.nether_brick_wall: #2, 176(38%)
minecraft.dropped.deepslate_tile_slab: #2, 127(16%)
minecraft.crafted.cut_copper: #2, 276(17%)
minecraft.crafted.golden_sword: #2, 11(29%)
minecraft.crafted.light_blue_stained_glass_pane: #2, 432(16%)
minecraft.picked_up.sculk: #3, 7448(18%)
minecraft.dropped.raw_copper: #3, 1836(19%)
minecraft.crafted.blue_wool: #2, 217(22%)
minecraft.picked_up.blackstone_stairs: #2, 85(26%)
minecraft.mined.polished_blackstone_brick_wall: #2, 101(29%)
minecraft.picked_up.piston: #3, 1343(13%)
minecraft.used.air: #3, 862(21%)
minecraft.crafted.green_stained_glass_pane: #2, 400(18%)
minecraft.crafted.stone_slab: #2, 4818(10%)
minecraft.picked_up.warped_trapdoor: #2, 163(13%)
minecraft.used.cracked_stone_bricks: #2, 1066(12%)
minecraft.broken.diamond_pickaxe: #2, 7(17%)
minecraft.dropped.nether_brick_wall: #1, 33(51%)
minecraft.used.polished_deepslate_stairs: #2, 1382(11%)
minecraft.used.magenta_wool: #2, 801(19%)
minecraft.used.birch_sign: #3, 632(11%)
minecraft.picked_up.birch_sign: #3, 438(11%)
minecraft.used.chiseled_deepslate: #2, 446(18%)
minecraft.used.netherrack: #3, 21071(12%)
minecraft.crafted.piston: #3, 3583(13%)
minecraft.crafted.diamond_chestplate: #2, 26(10%)
minecraft.mined.raw_copper_block: #3, 142(20%)
minecraft.picked_up.crimson_slab: #3, 853(18%)
minecraft.mined.beetroots: #2, 338(19%)
minecraft.used.nether_brick_slab: #2, 573(27%)
minecraft.dropped.beehive: #1, 4(36%)
minecraft.used.yellow_carpet: #3, 3755(19%)
minecraft.mined.polished_blackstone_wall: #2, 177(19%)
minecraft.used.cobblestone: #3, 10163(10%)
minecraft.dropped.purpur_block: #2, 95(16%)
minecraft.mined.red_stained_glass: #3, 289(18%)
minecraft.crafted.ender_eye: #3, 192(13%)
minecraft.used.diamond_axe: #3, 118567(9%)
minecraft.crafted.cyan_shulker_box: #2, 39(12%)
minecraft.mined.acacia_sapling: #2, 85(20%)
minecraft.dropped.ender_pearl: #3, 33021(9%)
minecraft.used.andesite_stairs: #2, 375(13%)
minecraft.mined.red_candle: #2, 23(26%)
minecraft.crafted.gray_terracotta: #2, 2816(14%)
minecraft.dropped.nether_gold_ore: #2, 93(16%)
minecraft.used.hanging_roots: #2, 113(17%)
minecraft.used.chest: #3, 3945(10%)
minecraft.dropped.smoker: #1, 2(67%)
minecraft.custom.open_enderchest: #3, 8355(7%)
minecraft.used.blue_shulker_box: #2, 523(11%)
minecraft.used.crimson_slab: #3, 5098(15%)
minecraft.killed.shulker: #2, 404(11%)
minecraft.picked_up.blue_shulker_box: #2, 518(11%)
minecraft.picked_up.light_blue_wool: #2, 863(12%)
minecraft.crafted.gold_nugget: #2, 11855(15%)
minecraft.used.hopper_minecart: #3, 247(13%)
minecraft.killed_by.blaze: #1, 3(43%)
minecraft.dropped.beacon: #2, 33(32%)
minecraft.used.wither_rose: #2, 3420(32%)
minecraft.dropped.orange_wool: #2, 419(22%)
minecraft.crafted.copper_block: #2, 6431(9%)
minecraft.mined.blue_shulker_box: #2, 517(11%)
minecraft.dropped.warped_door: #1, 2(40%)
minecraft.used.music_disc_13: #3, 43(16%)
minecraft.used.quartz_slab: #2, 1358(11%)
minecraft.picked_up.cobblestone_wall: #3, 414(13%)
minecraft.mined.beacon: #2, 43(9%)
minecraft.custom.inspect_dispenser: #2, 2299(7%)
minecraft.dropped.hanging_roots: #2, 63(31%)
minecraft.crafted.spruce_button: #3, 263(12%)
minecraft.crafted.polished_blackstone_brick_stairs: #2, 123(18%)
minecraft.used.dripstone_block: #3, 833(14%)
minecraft.mined.sweet_berry_bush: #3, 53(12%)
minecraft.mined.diorite_wall: #2, 37(17%)
minecraft.dropped.gray_dye: #2, 128(26%)
minecraft.crafted.warped_slab: #3, 2298(15%)
minecraft.picked_up.crimson_sign: #2, 15(15%)
minecraft.used.glow_item_frame: #3, 358(14%)
minecraft.used.polished_deepslate_slab: #3, 5290(13%)
minecraft.mined.wither_rose: #2, 794(41%)
minecraft.mined.lily_pad: #2, 45(14%)
minecraft.used.purpur_slab: #2, 128(25%)
minecraft.dropped.crimson_planks: #3, 92(22%)
minecraft.picked_up.ender_chest: #3, 1694(9%)
minecraft.picked_up.basalt: #3, 23360(10%)
minecraft.picked_up.stone_brick_stairs: #3, 448(13%)
minecraft.killed.warden: #2, 21(20%)
minecraft.crafted.chiseled_deepslate: #3, 90(21%)
minecraft.dropped.oak_chest_boat: #1, 1(100%)
minecraft.dropped.green_banner: #1, 1(25%)
minecraft.dropped.calibrated_sculk_sensor: #1, 67(100%)
minecraft.mined.potted_brown_mushroom: #1, 1(100%)
minecraft.mined.warped_wall_hanging_sign: #1, 5(100%)
minecraft.crafted.oak_chest_boat: #1, 1(25%)
minecraft.crafted.rooted_dirt: #1, 10(100%)
minecraft.picked_up.oak_chest_boat: #1, 1(100%)
minecraft.used.oak_chest_boat: #1, 1(33%)
minecraft.crafted.mojang_banner_pattern: #1, 1(33%)
minecraft.used.diorite_slab: #2, 173(15%)
minecraft.picked_up.nether_brick_wall: #2, 23(28%)
minecraft.crafted.cyan_candle: #2, 566(25%)
minecraft.mined.stone_pressure_plate: #3, 47(16%)
minecraft.dropped.spruce_leaves: #3, 497(13%)
minecraft.crafted.cobbled_deepslate_slab: #3, 1410(13%)
minecraft.used.beetroot_seeds: #2, 307(15%)
minecraft.crafted.note_block: #3, 611(11%)
minecraft.mined.diamond_ore: #2, 37(9%)
minecraft.crafted.mangrove_door: #2, 12(13%)
minecraft.mined.polished_blackstone: #3, 324(14%)
minecraft.picked_up.lodestone: #2, 78(27%)
minecraft.picked_up.cake: #2, 16(21%)
minecraft.dropped.netherrack: #2, 38362(7%)
minecraft.used.ender_chest: #3, 1740(10%)
minecraft.picked_up.warped_door: #2, 10(19%)
minecraft.used.glow_berries: #3, 423(10%)
minecraft.used.warped_hyphae: #3, 1429(19%)
minecraft.dropped.mossy_cobblestone_slab: #2, 38(21%)
minecraft.dropped.diamond_helmet: #3, 13(12%)
minecraft.used.iron_bars: #3, 2358(11%)
minecraft.crafted.deepslate_brick_slab: #3, 568(14%)
minecraft.used.large_amethyst_bud: #2, 48(12%)
minecraft.crafted.birch_sign: #3, 394(9%)
minecraft.crafted.hopper_minecart: #2, 344(8%)
minecraft.crafted.bow: #3, 543(10%)
minecraft.picked_up.andesite: #3, 24695(9%)
minecraft.crafted.crimson_slab: #3, 4504(12%)
minecraft.used.blackstone: #2, 9263(7%)
minecraft.dropped.blue_ice: #2, 173(26%)
minecraft.crafted.flint_and_steel: #3, 55(10%)
minecraft.used.sculk_shrieker: #3, 163(22%)
minecraft.crafted.minecart: #3, 683(10%)
minecraft.picked_up.barrel: #3, 360(9%)
minecraft.mined.ender_chest: #3, 1622(10%)
minecraft.dropped.pink_dye: #2, 56(22%)
minecraft.crafted.soul_lantern: #3, 632(13%)
minecraft.dropped.purple_wool: #2, 462(25%)
minecraft.dropped.cyan_wool: #2, 228(36%)
minecraft.mined.hanging_roots: #2, 649(12%)
minecraft.used.seagrass: #2, 84(16%)
minecraft.picked_up.enchanted_book: #3, 181(10%)
minecraft.mined.shroomlight: #3, 523(10%)
minecraft.dropped.shears: #3, 119(11%)
minecraft.crafted.black_candle: #2, 495(34%)
minecraft.mined.pink_shulker_box: #3, 242(11%)
minecraft.picked_up.wooden_shovel: #2, 20(13%)
minecraft.picked_up.diorite: #3, 16786(8%)
minecraft.picked_up.crimson_stem: #3, 4267(10%)
minecraft.used.purple_stained_glass: #3, 2642(17%)
minecraft.picked_up.glow_berries: #3, 610(9%)
minecraft.dropped.andesite_wall: #2, 77(24%)
minecraft.dropped.polished_deepslate_slab: #3, 254(16%)
minecraft.picked_up.pink_shulker_box: #3, 243(11%)
minecraft.dropped.bell: #2, 10(28%)
minecraft.crafted.polished_blackstone_brick_slab: #2, 276(17%)
minecraft.mined.crimson_fence: #3, 48(20%)
minecraft.custom.tune_noteblock: #3, 2871(8%)
minecraft.used.beehive: #2, 252(9%)
minecraft.picked_up.golden_boots: #3, 56(11%)
minecraft.used.pink_shulker_box: #3, 244(11%)
minecraft.mined.spruce_wall_sign: #3, 60(11%)
minecraft.used.spruce_chest_boat: #2, 5(23%)
minecraft.dropped.stone_brick_slab: #3, 756(17%)
minecraft.used.torch: #3, 14705(7%)
minecraft.used.crimson_trapdoor: #3, 394(12%)
minecraft.crafted.yellow_banner: #2, 68(14%)
minecraft.mined.twisting_vines: #2, 74(9%)
minecraft.dropped.nether_quartz_ore: #2, 203(10%)
minecraft.mined.piston: #4, 1035(14%)
minecraft.used.tuff: #3, 4057(9%)
minecraft.used.crafting_table: #3, 561(7%)
minecraft.mined.oak_fence: #3, 175(9%)
minecraft.mined.warped_wart_block: #3, 5769(12%)
minecraft.dropped.quartz_slab: #2, 51(19%)
minecraft.used.mossy_cobblestone: #3, 1791(10%)
minecraft.mined.warped_trapdoor: #3, 125(14%)
minecraft.dropped.mangrove_stairs: #2, 3(25%)
minecraft.picked_up.polished_andesite: #3, 1067(10%)
minecraft.mined.white_shulker_box: #3, 554(9%)
minecraft.crafted.smooth_stone: #3, 1343(9%)
minecraft.picked_up.oak_pressure_plate: #2, 5(9%)
minecraft.used.splash_potion: #3, 100(9%)
minecraft.mined.wall_torch: #3, 754(7%)
minecraft.killed_by.wither: #2, 10(19%)
minecraft.crafted.blue_concrete: #2, 128(30%)
minecraft.picked_up.white_shulker_box: #3, 557(9%)
minecraft.dropped.powder_snow_bucket: #2, 10(16%)
minecraft.used.heavy_weighted_pressure_plate: #2, 791(9%)
minecraft.picked_up.iron_hoe: #2, 6(18%)
minecraft.used.light_gray_candle: #2, 33(18%)
minecraft.used.big_dripleaf: #2, 59(8%)
minecraft.picked_up.goat_horn: #3, 25(9%)
minecraft.custom.play_noteblock: #3, 489(8%)
minecraft.mined.nether_brick_stairs: #3, 35(24%)
minecraft.used.white_shulker_box: #3, 555(9%)
minecraft.used.mangrove_door: #2, 13(11%)
minecraft.picked_up.nether_brick_stairs: #3, 30(22%)
minecraft.dropped.ladder: #3, 159(13%)
minecraft.used.lodestone: #2, 93(17%)
minecraft.picked_up.elytra: #4, 147(8%)
minecraft.used.spruce_slab: #3, 3832(8%)
minecraft.used.andesite_wall: #2, 1183(8%)
minecraft.crafted.cracked_stone_bricks: #3, 1323(14%)
minecraft.crafted.honeycomb_block: #3, 2553(17%)
minecraft.killed_by.slime: #2, 4(19%)
minecraft.used.dispenser: #3, 576(9%)
minecraft.mined.yellow_carpet: #3, 309(17%)
minecraft.picked_up.cooked_porkchop: #2, 3424(3%)
minecraft.used.armor_stand: #3, 271(8%)
minecraft.crafted.polished_blackstone_bricks: #3, 1276(15%)
minecraft.crafted.chest: #4, 7291(9%)
minecraft.dropped.copper_block: #2, 771(22%)
minecraft.used.spore_blossom: #3, 40(11%)
minecraft.mined.stone_slab: #3, 1337(8%)
minecraft.dropped.purple_carpet: #2, 25(31%)
minecraft.dropped.andesite_stairs: #2, 45(25%)
minecraft.custom.interact_with_loom: #3, 67(9%)
minecraft.mined.soul_torch: #2, 38(18%)
minecraft.used.bamboo_hanging_sign: #2, 18(31%)
minecraft.used.gray_terracotta: #2, 2754(7%)
minecraft.mined.polished_andesite: #3, 400(9%)
minecraft.dropped.obsidian: #2, 477(6%)
minecraft.picked_up.blackstone_wall: #3, 140(18%)
minecraft.killed.piglin: #4, 298(12%)
minecraft.dropped.quartz: #3, 1028(10%)
minecraft.mined.potted_dead_bush: #2, 2(20%)
minecraft.mined.cracked_stone_bricks: #2, 181(6%)
minecraft.picked_up.warped_stem: #4, 4040(13%)
minecraft.used.gray_shulker_box: #3, 321(9%)
minecraft.dropped.emerald: #2, 5192(4%)
minecraft.mined.mossy_stone_brick_wall: #2, 12(14%)
minecraft.dropped.black_bed: #2, 2(29%)
minecraft.used.andesite_slab: #3, 1047(11%)
minecraft.mined.vine: #4, 1396(11%)
minecraft.picked_up.gray_shulker_box: #3, 309(9%)
minecraft.picked_up.nether_star: #3, 56(11%)
minecraft.dropped.granite_wall: #2, 26(37%)
minecraft.picked_up.redstone: #3, 14285(7%)
minecraft.dropped.mossy_cobblestone_wall: #2, 6(27%)
minecraft.crafted.blackstone_stairs: #3, 68(17%)
minecraft.dropped.vine: #3, 60(15%)
minecraft.crafted.candle: #2, 2163(6%)
minecraft.crafted.beehive: #3, 289(11%)
minecraft.used.acacia_log: #3, 1070(9%)
minecraft.killed.vex: #3, 45(15%)
minecraft.dropped.cooked_porkchop: #2, 1981(4%)
minecraft.used.blue_wool: #3, 367(13%)
minecraft.picked_up.polished_deepslate_slab: #4, 743(12%)
minecraft.used.nether_brick_stairs: #3, 148(20%)
minecraft.dropped.netherite_chestplate: #2, 1(25%)
minecraft.crafted.sea_pickle: #2, 5(20%)
minecraft.used.black_dye: #2, 2(25%)
minecraft.mined.blue_candle: #2, 2(33%)
minecraft.dropped.stone_stairs: #2, 203(8%)
minecraft.crafted.brown_carpet: #3, 429(10%)
minecraft.mined.white_bed: #4, 234(10%)
minecraft.mined.andesite_wall: #3, 148(13%)
minecraft.picked_up.white_bed: #4, 256(10%)
minecraft.picked_up.chainmail_boots: #3, 12(9%)
minecraft.used.enchanting_table: #3, 8(9%)
minecraft.picked_up.iron_shovel: #3, 14(8%)
minecraft.dropped.deepslate_redstone_ore: #3, 48(14%)
minecraft.custom.drop: #4, 27935(6%)
minecraft.crafted.grindstone: #4, 163(11%)
minecraft.dropped.furnace: #3, 31(10%)
minecraft.picked_up.lily_pad: #3, 64(11%)
minecraft.crafted.bucket: #4, 891(9%)
minecraft.dropped.redstone_block: #3, 188(8%)
minecraft.dropped.smooth_stone_slab: #3, 73(13%)
minecraft.mined.gray_shulker_box: #3, 268(8%)
minecraft.crafted.mossy_stone_brick_wall: #2, 24(11%)
minecraft.picked_up.ender_pearl: #4, 28582(7%)
minecraft.used.powder_snow_bucket: #2, 401(4%)
minecraft.picked_up.crimson_door: #3, 5(21%)
minecraft.crafted.stone_brick_stairs: #3, 583(9%)
minecraft.used.blue_banner: #2, 9(29%)
minecraft.crafted.red_candle: #2, 271(9%)
minecraft.picked_up.beetroot: #3, 312(14%)
minecraft.dropped.magma_cream: #3, 50(12%)
minecraft.crafted.netherite_scrap: #2, 205(5%)
minecraft.crafted.spruce_sign: #4, 249(10%)
minecraft.picked_up.mossy_cobblestone_wall: #3, 30(17%)
minecraft.crafted.blue_stained_glass_pane: #2, 232(6%)
minecraft.mined.quartz_pillar: #4, 269(13%)
minecraft.dropped.honeycomb: #3, 511(17%)
minecraft.used.chiseled_nether_bricks: #3, 21(20%)
minecraft.used.purpur_stairs: #3, 45(18%)
minecraft.mined.magenta_wool: #3, 49(15%)
minecraft.dropped.magenta_carpet: #2, 2(40%)
minecraft.used.skeleton_skull: #2, 4(27%)
minecraft.crafted.skull_banner_pattern: #2, 1(20%)
minecraft.picked_up.orange_bed: #3, 55(11%)
minecraft.crafted.red_stained_glass_pane: #3, 400(12%)
minecraft.mined.coarse_dirt: #4, 1777(10%)
minecraft.dropped.birch_button: #2, 10(9%)
minecraft.used.bread: #3, 611(9%)
minecraft.crafted.purple_stained_glass: #3, 2792(11%)
minecraft.dropped.deepslate_gold_ore: #3, 52(16%)
minecraft.used.dandelion: #3, 33(7%)
minecraft.used.cobbled_deepslate_slab: #3, 2096(7%)
minecraft.mined.cyan_concrete_powder: #3, 73(15%)
minecraft.picked_up.diamond_ore: #3, 32(10%)
minecraft.picked_up.netherrack: #3, 54744(6%)
minecraft.picked_up.red_stained_glass_pane: #3, 100(11%)
minecraft.used.warped_trapdoor: #4, 554(14%)
minecraft.dropped.netherite_boots: #3, 6(8%)
minecraft.mined.warped_stem: #4, 3480(11%)
minecraft.crafted.respawn_anchor: #2, 22(7%)
minecraft.dropped.orange_bed: #2, 2(18%)
minecraft.dropped.andesite_slab: #3, 28(19%)
minecraft.used.bow: #4, 5639(7%)
minecraft.crafted.spruce_chest_boat: #2, 5(23%)
