stat, rank, value, (percentage) 
minecraft.mined.sandstone_stairs: #5, 17(4%)
minecraft.used.fire_coral_fan: #5, 19(4%)
minecraft.picked_up.exposed_cut_copper: #5, 6(4%)
minecraft.used.cyan_concrete_powder: #5, 716(3%)
minecraft.used.purpur_block: #5, 37(3%)
minecraft.used.brain_coral_fan: #5, 21(3%)
minecraft.crafted.magenta_concrete_powder: #5, 264(4%)
minecraft.mined.lapis_ore: #6, 250(5%)
minecraft.picked_up.cyan_wool: #5, 90(3%)
minecraft.used.brown_dye: #5, 2(7%)
minecraft.picked_up.glow_lichen: #6, 2301(6%)
minecraft.used.gray_dye: #5, 2(6%)
minecraft.mined.player_head: #6, 55(4%)
minecraft.used.glow_lichen: #6, 2247(5%)
minecraft.dropped.black_terracotta: #5, 63(5%)
minecraft.picked_up.oak_stairs: #6, 160(5%)
minecraft.used.purpur_slab: #5, 25(5%)
minecraft.crafted.leather_chestplate: #5, 21(2%)
minecraft.used.lime_concrete: #5, 226(3%)
minecraft.mined.oak_hanging_sign: #5, 2(6%)
minecraft.used.tube_coral: #5, 5(3%)
minecraft.picked_up.glowstone: #6, 656(5%)
minecraft.used.acacia_button: #6, 16(7%)
minecraft.crafted.light_blue_bed: #5, 2(3%)
minecraft.used.tube_coral_block: #5, 33(2%)
minecraft.crafted.gold_nugget: #5, 1458(2%)
minecraft.used.acacia_door: #5, 2(4%)
minecraft.mined.purple_concrete_powder: #5, 3(4%)
minecraft.used.smooth_quartz_slab: #6, 787(5%)
minecraft.picked_up.music_disc_wait: #5, 3(2%)
minecraft.crafted.lime_bed: #5, 1(2%)
minecraft.picked_up.pink_wool: #5, 75(1%)
minecraft.custom.inspect_dispenser: #6, 1316(4%)
minecraft.dropped.redstone_block: #6, 121(5%)
minecraft.mined.gray_stained_glass: #6, 53(8%)
minecraft.mined.iron_trapdoor: #6, 61(6%)
minecraft.used.exposed_cut_copper_slab: #5, 5(3%)
minecraft.crafted.orange_banner: #5, 2(3%)
minecraft.dropped.lapis_block: #5, 14(3%)
minecraft.dropped.stripped_oak_log: #5, 5(2%)
minecraft.used.sandstone_wall: #5, 95(1%)
minecraft.picked_up.birch_trapdoor: #6, 60(5%)
minecraft.mined.exposed_cut_copper_slab: #5, 3(2%)
minecraft.picked_up.deepslate_coal_ore: #6, 14(9%)
minecraft.crafted.chiseled_nether_bricks: #5, 2(2%)
minecraft.picked_up.lily_pad: #6, 37(6%)
minecraft.dropped.music_disc_chirp: #5, 1(2%)
minecraft.used.fire_coral_block: #5, 31(1%)
minecraft.killed.ghast: #6, 59(4%)
minecraft.used.horn_coral_block: #5, 28(1%)
minecraft.crafted.purpur_pillar: #5, 1(1%)
minecraft.used.lime_banner: #5, 2(1%)
minecraft.mined.white_shulker_box: #6, 240(4%)
minecraft.used.tropical_fish: #5, 2(1%)
minecraft.used.horn_coral: #5, 2(1%)
minecraft.picked_up.white_shulker_box: #6, 235(4%)
minecraft.dropped.cyan_concrete: #5, 9(1%)
minecraft.broken.iron_axe: #6, 5(5%)
minecraft.crafted.lodestone: #5, 2(1%)
minecraft.mined.crying_obsidian: #6, 35(5%)
minecraft.dropped.melon_slice: #5, 25(0%)
minecraft.mined.snow: #6, 23459(3%)
minecraft.killed.turtle: #5, 4(0%)
minecraft.dropped.warped_hyphae: #5, 1(0%)
minecraft.crafted.glow_item_frame: #6, 76(5%)
minecraft.crafted.raw_gold_block: #6, 143(5%)
minecraft.dropped.brown_glazed_terracotta: #5, 1(0%)
minecraft.dropped.raw_iron: #6, 84(4%)
minecraft.dropped.mutton: #6, 26(6%)
minecraft.mined.red_tulip: #6, 11(6%)
minecraft.picked_up.music_disc_strad: #6, 6(5%)
minecraft.mined.dropper: #6, 95(3%)
minecraft.picked_up.music_disc_blocks: #6, 7(5%)
minecraft.mined.crimson_planks: #6, 93(3%)
minecraft.picked_up.glow_item_frame: #6, 56(3%)
minecraft.mined.terracotta: #7, 13452(6%)
minecraft.custom.jump: #8, 476209(5%)
minecraft.used.lime_dye: #6, 10(5%)
minecraft.picked_up.terracotta: #7, 13451(6%)
minecraft.used.orange_concrete_powder: #6, 663(4%)
minecraft.picked_up.purple_wool: #6, 166(5%)
minecraft.crafted.white_stained_glass_pane: #6, 336(3%)
minecraft.mined.white_wall_banner: #6, 5(4%)
minecraft.crafted.brown_concrete_powder: #6, 264(3%)
minecraft.used.sandstone_slab: #6, 395(6%)
minecraft.crafted.snow_block: #6, 3150(2%)
minecraft.custom.open_chest: #8, 45779(5%)
minecraft.picked_up.purpur_pillar: #6, 48(3%)
minecraft.crafted.blue_terracotta: #6, 800(4%)
minecraft.crafted.light_blue_concrete_powder: #6, 264(3%)
minecraft.used.weathered_cut_copper_slab: #6, 21(6%)
minecraft.crafted.light_blue_banner: #6, 5(7%)
minecraft.crafted.orange_concrete_powder: #6, 752(4%)
minecraft.crafted.diamond_sword: #7, 7(5%)
minecraft.custom.fish_caught: #6, 21(4%)
minecraft.used.light_blue_bed: #6, 8(4%)
minecraft.picked_up.sandstone_stairs: #6, 17(4%)
minecraft.used.cooked_chicken: #6, 55(2%)
minecraft.used.magenta_dye: #6, 2(4%)
minecraft.dropped.iron_nugget: #6, 759(1%)
minecraft.broken.stone_hoe: #6, 1(4%)
minecraft.used.exposed_cut_copper: #6, 3(4%)
minecraft.dropped.diamond_block: #7, 142(6%)
minecraft.used.cod_bucket: #6, 2(4%)
minecraft.dropped.stone_sword: #6, 15(2%)
minecraft.mined.cyan_wall_banner: #6, 2(6%)
minecraft.picked_up.redstone: #7, 9507(4%)
minecraft.mined.pumpkin_stem: #6, 4(4%)
minecraft.crafted.dried_kelp: #6, 294(3%)
minecraft.used.podzol: #7, 236(6%)
minecraft.used.golden_helmet: #6, 1(6%)
minecraft.used.tube_coral_fan: #6, 15(2%)
minecraft.dropped.raw_gold: #6, 18(2%)
minecraft.mined.cyan_concrete_powder: #6, 12(2%)
minecraft.picked_up.music_disc_far: #6, 3(3%)
minecraft.crafted.birch_sign: #7, 177(4%)
minecraft.crafted.sandstone_wall: #6, 48(2%)
minecraft.crafted.chiseled_quartz_block: #6, 19(2%)
minecraft.used.cyan_wool: #6, 138(1%)
minecraft.picked_up.cooked_chicken: #6, 54(1%)
minecraft.dropped.jungle_boat: #6, 1(3%)
minecraft.dropped.music_disc_wait: #6, 1(2%)
minecraft.mined.birch_button: #6, 2(3%)
minecraft.crafted.golden_sword: #6, 1(3%)
minecraft.picked_up.crimson_stem: #7, 1951(5%)
minecraft.used.smooth_sandstone: #6, 950(1%)
minecraft.crafted.oak_door: #7, 9(5%)
minecraft.used.fire_coral: #6, 3(2%)
minecraft.dropped.music_disc_blocks: #6, 1(2%)
minecraft.mined.gray_wool: #6, 54(1%)
minecraft.mined.white_tulip: #6, 2(2%)
minecraft.picked_up.jungle_wood: #6, 5(2%)
minecraft.mined.quartz_pillar: #7, 109(5%)
minecraft.used.weeping_vines: #6, 10(1%)
minecraft.crafted.smooth_sandstone_stairs: #6, 8(2%)
minecraft.picked_up.green_banner: #6, 2(1%)
minecraft.used.white_shulker_box: #7, 255(4%)
minecraft.dropped.cobbled_deepslate: #7, 1647(4%)
minecraft.used.armor_stand: #7, 129(4%)
minecraft.dropped.cyan_shulker_box: #7, 4(4%)
minecraft.crafted.netherite_block: #6, 1(1%)
minecraft.crafted.lime_banner: #6, 2(1%)
minecraft.crafted.popped_chorus_fruit: #6, 15(1%)
minecraft.dropped.cooked_beef: #7, 84(5%)
minecraft.crafted.black_terracotta: #7, 1152(5%)
minecraft.dropped.wooden_pickaxe: #7, 2(4%)
minecraft.dropped.green_wool: #6, 4(0%)
minecraft.crafted.air: #6, 0(0%)
minecraft.dropped.lead: #7, 16(4%)
minecraft.dropped.bundle: #7, 26(4%)
minecraft.killed.piglin: #7, 90(4%)
minecraft.crafted.warped_slab: #7, 720(5%)
minecraft.dropped.red_dye: #7, 48(5%)
minecraft.crafted.smooth_quartz: #7, 987(4%)
minecraft.crafted.enchanting_table: #7, 3(5%)
minecraft.killed_by.zombie: #7, 4(5%)
minecraft.picked_up.leather_leggings: #7, 17(4%)
minecraft.picked_up.golden_apple: #7, 34(4%)
minecraft.crafted.purple_terracotta: #7, 576(5%)
minecraft.killed_by.skeleton: #7, 4(4%)
minecraft.crafted.armor_stand: #7, 98(3%)
minecraft.crafted.brown_shulker_box: #7, 11(4%)
minecraft.used.wooden_sword: #7, 129(3%)
minecraft.picked_up.deepslate_lapis_ore: #7, 76(3%)
minecraft.picked_up.andesite_slab: #7, 51(4%)
minecraft.used.diamond_pickaxe: #8, 339468(4%)
minecraft.crafted.iron_boots: #7, 8(2%)
minecraft.picked_up.golden_helmet: #7, 13(3%)
minecraft.used.black_wool: #7, 316(3%)
minecraft.mined.cocoa: #7, 168(3%)
minecraft.picked_up.red_mushroom_block: #7, 1463(3%)
minecraft.picked_up.oak_hanging_sign: #7, 4(5%)
minecraft.crafted.green_terracotta: #7, 1560(3%)
minecraft.dropped.music_disc_13: #7, 3(5%)
minecraft.picked_up.smooth_sandstone: #7, 387(3%)
minecraft.crafted.green_dye: #7, 664(3%)
minecraft.picked_up.sandstone_slab: #7, 97(5%)
minecraft.picked_up.stone_brick_stairs: #7, 90(3%)
minecraft.broken.shears: #8, 26(6%)
minecraft.mined.sugar_cane: #7, 1580(2%)
minecraft.mined.enchanting_table: #7, 2(4%)
minecraft.picked_up.golden_boots: #7, 12(2%)
minecraft.picked_up.enchanting_table: #7, 2(4%)
minecraft.mined.purpur_pillar: #7, 46(3%)
minecraft.picked_up.netherite_hoe: #7, 3(2%)
minecraft.used.pink_dye: #7, 6(4%)
minecraft.crafted.lime_concrete_powder: #7, 448(3%)
minecraft.mined.orange_tulip: #7, 7(4%)
minecraft.mined.tube_coral_block: #7, 67(3%)
minecraft.used.green_wool: #7, 162(3%)
minecraft.used.red_dye: #7, 14(3%)
minecraft.broken.iron_sword: #7, 1(4%)
minecraft.dropped.netherrack: #7, 8702(2%)
minecraft.mined.light_gray_wool: #7, 53(2%)
minecraft.used.player_head: #8, 142(4%)
minecraft.mined.weathered_cut_copper: #7, 2(4%)
minecraft.used.lime_concrete_powder: #7, 286(2%)
minecraft.used.diamond_sword: #7, 11571(1%)
minecraft.mined.mossy_stone_brick_slab: #7, 3(3%)
minecraft.picked_up.tube_coral_block: #7, 67(3%)
minecraft.crafted.brown_dye: #7, 181(2%)
minecraft.picked_up.barrel: #8, 178(4%)
minecraft.mined.smooth_sandstone_slab: #7, 25(3%)
minecraft.dropped.music_disc_cat: #7, 3(3%)
minecraft.dropped.red_shulker_box: #7, 2(2%)
minecraft.mined.brain_coral: #7, 8(2%)
minecraft.picked_up.beehive: #7, 22(3%)
minecraft.picked_up.brain_coral: #7, 8(2%)
minecraft.dropped.soul_soil: #7, 64(2%)
minecraft.mined.oak_sign: #8, 12(6%)
minecraft.used.birch_fence_gate: #7, 21(2%)
minecraft.picked_up.oxidized_cut_copper_slab: #7, 31(2%)
minecraft.used.oak_slab: #8, 451(5%)
minecraft.crafted.deepslate: #7, 64(3%)
minecraft.crafted.blue_concrete_powder: #7, 264(2%)
minecraft.mined.oxidized_cut_copper_slab: #7, 19(1%)
minecraft.used.glowstone: #8, 483(5%)
minecraft.used.melon_seeds: #7, 5(2%)
minecraft.mined.mossy_stone_brick_stairs: #7, 2(2%)
minecraft.mined.light_gray_concrete_powder: #7, 61(1%)
minecraft.picked_up.smooth_sandstone_slab: #7, 27(2%)
minecraft.picked_up.horn_coral_block: #7, 62(1%)
minecraft.mined.lime_wool: #7, 16(1%)
minecraft.used.brown_banner: #7, 1(3%)
minecraft.picked_up.bubble_coral_fan: #7, 27(1%)
minecraft.mined.horn_coral_block: #7, 62(1%)
minecraft.used.brain_coral_block: #7, 27(1%)
minecraft.picked_up.cyan_banner: #7, 2(2%)
minecraft.mined.white_bed: #8, 93(4%)
minecraft.picked_up.fire_coral_block: #7, 57(1%)
minecraft.picked_up.clay: #8, 2544(5%)
minecraft.mined.fire_coral_block: #7, 57(1%)
minecraft.mined.bubble_coral_fan: #7, 5(1%)
minecraft.used.bubble_coral_block: #7, 26(1%)
minecraft.crafted.brown_banner: #7, 1(2%)
minecraft.crafted.acacia_door: #7, 3(1%)
minecraft.used.ender_eye: #7, 2(1%)
minecraft.dropped.light_blue_shulker_box: #7, 2(1%)
minecraft.picked_up.porkchop: #8, 95(4%)
minecraft.picked_up.white_bed: #8, 95(4%)
minecraft.picked_up.map: #7, 10(1%)
minecraft.mined.smooth_sandstone_stairs: #7, 8(0%)
minecraft.picked_up.smooth_sandstone_stairs: #7, 8(0%)
minecraft.crafted.end_rod: #7, 60(1%)
minecraft.picked_up.deepslate_gold_ore: #8, 253(5%)
minecraft.dropped.polished_granite_slab: #7, 1(0%)
minecraft.dropped.lime_dye: #7, 1(0%)
minecraft.mined.birch_fence: #8, 59(5%)
minecraft.mined.smooth_quartz: #8, 180(4%)
minecraft.used.birch_trapdoor: #8, 90(4%)
minecraft.used.stone_pickaxe: #8, 439(3%)
minecraft.crafted.black_concrete_powder: #8, 6712(4%)
minecraft.crafted.stone_hoe: #8, 4(4%)
minecraft.mined.bone_block: #8, 237(3%)
minecraft.picked_up.ghast_tear: #8, 18(3%)
minecraft.crafted.moss_carpet: #8, 309(3%)
minecraft.picked_up.wooden_pickaxe: #8, 2(4%)
minecraft.picked_up.quartz_pillar: #8, 109(3%)
minecraft.mined.dark_oak_door: #8, 4(4%)
minecraft.mined.birch_fence_gate: #8, 8(5%)
minecraft.picked_up.oak_slab: #9, 180(6%)
minecraft.crafted.light_gray_stained_glass_pane: #8, 160(4%)
minecraft.mined.orange_wool: #8, 69(3%)
minecraft.crafted.cyan_bed: #8, 2(4%)
minecraft.used.quartz_pillar: #8, 326(3%)
minecraft.mined.birch_slab: #8, 22(4%)
minecraft.crafted.hopper_minecart: #8, 123(3%)
minecraft.crafted.cobbled_deepslate_slab: #8, 312(3%)
minecraft.mined.birch_sapling: #8, 14(3%)
minecraft.used.birch_door: #8, 3(4%)
minecraft.used.stone_brick_slab: #8, 503(2%)
minecraft.used.smooth_quartz: #8, 665(2%)
minecraft.mined.smooth_stone: #8, 160(3%)
minecraft.mined.light_gray_shulker_box: #8, 71(2%)
minecraft.killed_by.piglin: #8, 1(4%)
minecraft.picked_up.light_gray_shulker_box: #8, 71(2%)
minecraft.picked_up.music_disc_mellohi: #8, 3(4%)
minecraft.used.iron_sword: #9, 671(5%)
minecraft.used.birch_slab: #8, 108(2%)
minecraft.used.white_banner: #8, 15(2%)
minecraft.used.diamond_shovel: #9, 171277(4%)
minecraft.used.diamond_helmet: #8, 3(3%)
minecraft.used.blue_dye: #8, 2(3%)
minecraft.picked_up.weathered_cut_copper: #8, 2(3%)
minecraft.crafted.cooked_porkchop: #8, 20(2%)
minecraft.picked_up.light_gray_stained_glass_pane: #8, 22(2%)
minecraft.used.warped_wart_block: #8, 347(2%)
minecraft.crafted.crimson_door: #8, 3(3%)
minecraft.used.jungle_leaves: #8, 114(2%)
minecraft.used.cocoa_beans: #8, 172(2%)
minecraft.crafted.fletching_table: #8, 4(3%)
minecraft.dropped.leather_leggings: #8, 7(2%)
minecraft.crafted.black_shulker_box: #8, 6(2%)
minecraft.dropped.white_shulker_box: #8, 1(3%)
minecraft.crafted.cyan_concrete_powder: #8, 960(2%)
minecraft.mined.oak_sapling: #8, 17(1%)
minecraft.mined.jungle_fence: #8, 4(3%)
minecraft.dropped.sticky_piston: #8, 17(2%)
minecraft.mined.spruce_pressure_plate: #8, 2(2%)
minecraft.mined.bubble_coral_block: #8, 63(2%)
minecraft.picked_up.black_wool: #8, 318(1%)
minecraft.picked_up.rabbit_hide: #8, 7(2%)
minecraft.used.red_tulip: #8, 2(3%)
minecraft.picked_up.music_disc_chirp: #8, 3(2%)
minecraft.picked_up.bubble_coral_block: #8, 63(2%)
minecraft.mined.weeping_vines: #8, 18(1%)
minecraft.picked_up.brain_coral_block: #8, 64(2%)
minecraft.crafted.golden_chestplate: #8, 2(3%)
minecraft.used.shears: #9, 9882(5%)
minecraft.crafted.sandstone: #8, 519(2%)
minecraft.picked_up.quartz_block: #8, 330(1%)
minecraft.crafted.arrow: #8, 224(2%)
minecraft.used.cyan_banner: #8, 4(3%)
minecraft.mined.deepslate_redstone_ore: #9, 1656(4%)
minecraft.picked_up.birch_fence_gate: #8, 8(2%)
minecraft.used.magenta_concrete_powder: #8, 20(2%)
minecraft.picked_up.crimson_fungus: #8, 104(1%)
minecraft.picked_up.cactus: #8, 1106(1%)
minecraft.dropped.dropper: #8, 6(2%)
minecraft.crafted.iron_leggings: #8, 5(1%)
minecraft.picked_up.horn_coral_fan: #8, 23(1%)
minecraft.crafted.cooked_chicken: #8, 33(1%)
minecraft.mined.green_concrete_powder: #8, 25(1%)
minecraft.picked_up.mossy_stone_brick_slab: #8, 3(1%)
minecraft.mined.deepslate_emerald_ore: #8, 1(2%)
minecraft.picked_up.brain_coral_fan: #8, 21(1%)
minecraft.crafted.netherite_scrap: #8, 44(1%)
minecraft.picked_up.deepslate_emerald_ore: #8, 1(2%)
minecraft.dropped.warped_fungus: #8, 6(1%)
minecraft.mined.horn_coral_fan: #8, 4(1%)
minecraft.used.oak_fence: #9, 213(4%)
minecraft.used.smooth_sandstone_slab: #8, 88(1%)
minecraft.crafted.sandstone_slab: #8, 60(1%)
minecraft.killed.zombie: #8, 883(0%)
minecraft.picked_up.enchanted_golden_apple: #8, 1(1%)
minecraft.mined.brain_coral_fan: #8, 3(1%)
minecraft.used.light_gray_dye: #8, 2(1%)
minecraft.used.jungle_door: #8, 1(1%)
minecraft.mined.stone_slab: #9, 660(4%)
minecraft.used.oak_boat: #9, 45(4%)
minecraft.crafted.cyan_banner: #8, 2(1%)
minecraft.picked_up.jungle_fence: #8, 4(1%)
minecraft.mined.white_banner: #8, 1(1%)
minecraft.picked_up.red_tulip: #8, 11(0%)
minecraft.picked_up.mycelium: #8, 111(1%)
minecraft.picked_up.paper: #8, 297(0%)
minecraft.used.purpur_stairs: #8, 2(1%)
minecraft.dropped.blue_carpet: #8, 1(1%)
minecraft.crafted.sandstone_stairs: #8, 4(1%)
minecraft.mined.mycelium: #8, 111(0%)
minecraft.picked_up.birch_button: #8, 2(0%)
minecraft.dropped.birch_wood: #8, 1(1%)
minecraft.picked_up.magenta_concrete_powder: #8, 3(1%)
minecraft.dropped.light_gray_carpet: #8, 2(0%)
minecraft.used.crimson_roots: #8, 3(0%)
minecraft.dropped.birch_slab: #8, 2(0%)
minecraft.dropped.paper: #8, 125(0%)
minecraft.used.chorus_flower: #8, 4(0%)
minecraft.crafted.firework_star: #8, 211(0%)
minecraft.mined.rose_bush: #9, 18(4%)
minecraft.killed.wither_skeleton: #8, 83(0%)
minecraft.picked_up.white_tulip: #8, 2(0%)
minecraft.dropped.dragon_egg: #8, 1(0%)
minecraft.crafted.brown_glazed_terracotta: #8, 1(0%)
minecraft.killed.witch: #8, 13(0%)
minecraft.custom.interact_with_beacon: #9, 40(4%)
minecraft.picked_up.oak_boat: #9, 42(3%)
minecraft.crafted.stone_axe: #9, 6(4%)
minecraft.used.white_bed: #9, 98(3%)
minecraft.picked_up.warped_button: #9, 33(4%)
minecraft.killed.pig: #9, 17(3%)
minecraft.picked_up.iron_trapdoor: #9, 62(4%)
minecraft.picked_up.snowball: #9, 12414(2%)
minecraft.crafted.iron_block: #9, 3731(3%)
minecraft.crafted.birch_trapdoor: #9, 96(3%)
minecraft.crafted.lime_shulker_box: #9, 6(4%)
minecraft.used.yellow_dye: #9, 10(4%)
minecraft.picked_up.white_stained_glass_pane: #9, 64(4%)
minecraft.dropped.magma_cream: #9, 18(4%)
minecraft.crafted.white_concrete_powder: #9, 2936(3%)
minecraft.crafted.iron_helmet: #9, 6(2%)
minecraft.picked_up.birch_stairs: #9, 24(3%)
minecraft.used.oak_fence_gate: #9, 25(3%)
minecraft.picked_up.golden_leggings: #9, 8(2%)
minecraft.custom.walk_on_water_one_cm: #11, 5229510(4%)
minecraft.picked_up.stone_hoe: #9, 2(4%)
minecraft.picked_up.yellow_concrete: #9, 262(2%)
minecraft.used.diamond_leggings: #9, 5(2%)
minecraft.used.birch_fence: #9, 126(2%)
minecraft.crafted.yellow_terracotta: #9, 352(3%)
minecraft.used.light_gray_shulker_box: #9, 68(2%)
minecraft.picked_up.lime_concrete: #9, 299(2%)
minecraft.picked_up.sugar_cane: #9, 3169(2%)
minecraft.picked_up.chainmail_helmet: #9, 3(2%)
minecraft.crafted.oak_button: #9, 15(2%)
minecraft.crafted.red_shulker_box: #9, 11(2%)
minecraft.mined.lime_concrete: #9, 299(2%)
minecraft.used.yellow_concrete_powder: #9, 376(2%)
minecraft.crafted.purple_concrete_powder: #9, 264(3%)
minecraft.picked_up.cocoa_beans: #9, 521(2%)
minecraft.picked_up.stone_pressure_plate: #9, 11(2%)
minecraft.mined.warped_stem: #9, 477(2%)
minecraft.picked_up.warped_stem: #9, 475(1%)
minecraft.used.purple_dye: #9, 2(3%)
minecraft.crafted.jungle_door: #9, 3(3%)
minecraft.used.sandstone: #9, 544(1%)
minecraft.dropped.ender_pearl: #10, 12882(4%)
minecraft.killed.enderman: #10, 38665(4%)
minecraft.mined.light_blue_wool: #9, 34(2%)
minecraft.mined.pink_petals: #9, 40(2%)
minecraft.used.andesite_slab: #9, 149(2%)
minecraft.crafted.lime_terracotta: #9, 792(1%)
minecraft.dropped.piston: #9, 14(2%)
minecraft.crafted.green_bed: #9, 1(2%)
minecraft.dropped.golden_helmet: #9, 7(1%)
minecraft.used.barrel: #10, 377(4%)
minecraft.dropped.wooden_sword: #9, 9(1%)
minecraft.dropped.rabbit: #9, 1(2%)
minecraft.used.sculk: #9, 418(1%)
minecraft.picked_up.green_wool: #9, 137(1%)
minecraft.mined.brain_coral_block: #9, 64(2%)
minecraft.dropped.golden_boots: #9, 7(1%)
minecraft.used.cyan_dye: #9, 8(2%)
minecraft.used.cooked_mutton: #9, 9(1%)
minecraft.custom.sprint_one_cm: #11, 120555258(4%)
minecraft.picked_up.rabbit_foot: #9, 1(2%)
minecraft.dropped.stone_hoe: #9, 1(2%)
minecraft.used.warped_door: #9, 2(2%)
minecraft.mined.horn_coral_wall_fan: #9, 20(1%)
minecraft.mined.allium: #9, 7(1%)
minecraft.crafted.polished_deepslate_wall: #9, 29(1%)
minecraft.dropped.wooden_axe: #9, 1(1%)
minecraft.killed_by.player: #10, 76(3%)
minecraft.used.cut_copper_stairs: #9, 60(1%)
minecraft.crafted.pink_terracotta: #9, 144(1%)
minecraft.picked_up.cooked_mutton: #9, 8(1%)
minecraft.dropped.rabbit_hide: #9, 1(1%)
minecraft.picked_up.bubble_coral: #9, 4(1%)
minecraft.used.purple_wool: #9, 63(1%)
minecraft.mined.quartz_bricks: #9, 4(1%)
minecraft.crafted.crossbow: #9, 2(1%)
minecraft.picked_up.tube_coral: #9, 5(1%)
minecraft.picked_up.fire_coral_fan: #9, 20(1%)
minecraft.used.sandstone_stairs: #9, 19(1%)
minecraft.used.jungle_sapling: #9, 22(1%)
minecraft.mined.gilded_blackstone: #9, 6(1%)
minecraft.used.yellow_banner: #9, 3(1%)
minecraft.crafted.smooth_sandstone_slab: #9, 24(1%)
minecraft.dropped.warped_roots: #9, 38(1%)
minecraft.crafted.cartography_table: #9, 6(1%)
minecraft.used.chiseled_sandstone: #9, 4(1%)
minecraft.mined.brown_wool: #9, 5(1%)
minecraft.mined.fire_coral: #9, 3(1%)
minecraft.dropped.jungle_log: #9, 16(1%)
minecraft.used.seagrass: #9, 4(1%)
minecraft.crafted.beacon: #9, 2(0%)
minecraft.picked_up.mossy_stone_brick_stairs: #9, 1(1%)
minecraft.dropped.glowstone: #9, 12(1%)
minecraft.mined.melon: #9, 19(0%)
minecraft.crafted.yellow_banner: #9, 3(1%)
minecraft.picked_up.blue_stained_glass_pane: #9, 1(1%)
minecraft.used.green_banner: #9, 3(1%)
minecraft.killed.wither: #9, 1(0%)
minecraft.crafted.blue_stained_glass_pane: #9, 16(0%)
minecraft.dropped.seagrass: #9, 1(0%)
minecraft.picked_up.purple_concrete_powder: #9, 3(0%)
minecraft.crafted.yellow_bed: #9, 1(0%)
minecraft.used.smooth_sandstone_stairs: #9, 23(0%)
minecraft.crafted.redstone: #10, 13389(4%)
minecraft.used.lime_bed: #9, 1(0%)
minecraft.crafted.stone_pickaxe: #10, 7(4%)
minecraft.picked_up.cyan_concrete_powder: #9, 12(0%)
minecraft.mined.pink_bed: #9, 1(0%)
minecraft.dropped.white_concrete_powder: #9, 1(0%)
minecraft.used.iron_ore: #10, 416(4%)
minecraft.used.wooden_axe: #10, 39(5%)
minecraft.mined.gold_ore: #10, 234(4%)
minecraft.picked_up.redstone_ore: #10, 29(4%)
minecraft.crafted.birch_slab: #10, 318(4%)
minecraft.used.dark_oak_door: #10, 13(5%)
minecraft.crafted.cyan_terracotta: #10, 2288(4%)
minecraft.used.deepslate_redstone_ore: #10, 278(4%)
minecraft.mined.sea_lantern: #10, 68(4%)
minecraft.picked_up.emerald_ore: #10, 26(3%)
minecraft.picked_up.chainmail_leggings: #10, 4(4%)
minecraft.used.iron_helmet: #10, 3(3%)
minecraft.picked_up.netherrack: #10, 22182(2%)
minecraft.killed_by.creeper: #10, 3(3%)
minecraft.crafted.oak_stairs: #10, 132(3%)
minecraft.used.iron_trapdoor: #10, 165(3%)
minecraft.crafted.birch_planks: #10, 6160(2%)
minecraft.used.smooth_quartz_stairs: #10, 248(3%)
minecraft.picked_up.brown_concrete_powder: #10, 38(3%)
minecraft.used.honey_bottle: #10, 26(3%)
minecraft.picked_up.green_shulker_box: #10, 62(2%)
minecraft.mined.green_shulker_box: #10, 63(2%)
minecraft.crafted.quartz_block: #10, 2224(2%)
minecraft.mined.stone_brick_wall: #10, 18(3%)
minecraft.used.stone_hoe: #10, 166(3%)
minecraft.used.moss_carpet: #10, 398(2%)
minecraft.used.cooked_porkchop: #10, 615(1%)
minecraft.picked_up.orange_wool: #10, 100(3%)
minecraft.used.green_shulker_box: #10, 57(2%)
minecraft.crafted.oak_boat: #10, 8(2%)
minecraft.picked_up.red_dye: #10, 82(2%)
minecraft.picked_up.smooth_quartz: #10, 180(2%)
minecraft.picked_up.white_concrete: #10, 1316(2%)
minecraft.mined.andesite_slab: #10, 14(3%)
minecraft.crafted.oak_fence_gate: #10, 24(2%)
minecraft.crafted.charcoal: #10, 273(2%)
minecraft.mined.oak_pressure_plate: #10, 1(3%)
minecraft.picked_up.glowstone_dust: #10, 290(2%)
minecraft.used.bow: #11, 3023(4%)
minecraft.picked_up.jungle_leaves: #10, 242(2%)
minecraft.crafted.orange_shulker_box: #10, 4(2%)
minecraft.dropped.leather_helmet: #10, 5(2%)
minecraft.used.emerald_ore: #10, 7(3%)
minecraft.dropped.birch_sign: #10, 14(2%)
minecraft.mined.yellow_concrete: #10, 262(2%)
minecraft.crafted.dark_oak_door: #10, 9(2%)
minecraft.picked_up.rabbit: #10, 6(2%)
minecraft.crafted.acacia_button: #10, 8(2%)
minecraft.picked_up.gold_block: #10, 185(2%)
minecraft.mined.magenta_wool: #10, 10(3%)
minecraft.mined.hay_block: #10, 55(2%)
minecraft.picked_up.stone_brick_wall: #10, 26(1%)
minecraft.crafted.birch_fence: #10, 78(2%)
minecraft.used.grass: #10, 146(2%)
minecraft.picked_up.ender_pearl: #11, 12942(3%)
minecraft.dropped.poisonous_potato: #10, 1(2%)
minecraft.crafted.smooth_quartz_slab: #10, 148(2%)
minecraft.used.yellow_concrete: #10, 192(1%)
minecraft.picked_up.crimson_roots: #10, 604(1%)
minecraft.picked_up.stone_stairs: #10, 67(1%)
minecraft.used.light_blue_dye: #10, 2(2%)
minecraft.dropped.weeping_vines: #10, 11(1%)
