stat, rank, value, (percentage) 
minecraft.mined.yellow_banner: #1, 60(97%)
minecraft.dropped.orange_shulker_box: #2, 44(35%)
minecraft.dropped.orange_glazed_terracotta: #1, 384(97%)
minecraft.used.lilac: #2, 125(21%)
minecraft.mined.activator_rail: #1, 19(32%)
minecraft.mined.green_stained_glass_pane: #1, 39(72%)
minecraft.used.orange_tulip: #1, 139(36%)
minecraft.mined.observer: #1, 830(13%)
minecraft.mined.chest: #1, 2395(12%)
minecraft.mined.bubble_coral_block: #2, 733(30%)
minecraft.dropped.tube_coral_block: #1, 43(96%)
minecraft.killed.zombie_villager: #1, 57(12%)
minecraft.picked_up.green_concrete_powder: #2, 3688(24%)
minecraft.crafted.iron_nugget: #2, 30945(17%)
minecraft.dropped.fire_coral: #1, 52(95%)
minecraft.dropped.lapis_lazuli: #2, 803(23%)
minecraft.dropped.egg: #2, 3314(17%)
minecraft.mined.sugar_cane: #2, 13926(16%)
minecraft.crafted.scaffolding: #2, 7086(17%)
minecraft.dropped.magma_cream: #2, 246(18%)
minecraft.dropped.brain_coral_block: #1, 27(93%)
minecraft.used.dead_horn_coral_block: #1, 9(69%)
minecraft.mined.light_weighted_pressure_plate: #2, 222(31%)
minecraft.custom.open_chest: #1, 70004(9%)
minecraft.mined.cake: #1, 10(34%)
minecraft.picked_up.dead_fire_coral_block: #1, 22(92%)
minecraft.mined.allium: #1, 102(27%)
minecraft.dropped.crimson_door: #1, 10(45%)
minecraft.mined.potted_cactus: #1, 12(27%)
minecraft.used.jungle_boat: #2, 96(20%)
minecraft.used.ladder: #1, 1195(11%)
minecraft.used.prismarine: #2, 7732(21%)
minecraft.picked_up.gray_carpet: #2, 2041(17%)
minecraft.dropped.blackstone_stairs: #2, 118(41%)
minecraft.killed.ravager: #1, 9(30%)
minecraft.crafted.fishing_rod: #2, 53(18%)
minecraft.picked_up.blackstone: #2, 43924(16%)
minecraft.mined.soul_torch: #1, 94(33%)
minecraft.picked_up.filled_map: #1, 577(12%)
minecraft.mined.light_blue_wall_banner: #1, 19(38%)
minecraft.dropped.green_concrete: #1, 64(24%)
minecraft.picked_up.gilded_blackstone: #2, 292(20%)
minecraft.used.netherrack: #2, 39783(15%)
minecraft.mined.warped_stem: #2, 6293(17%)
minecraft.dropped.birch_wood: #1, 43(44%)
minecraft.used.chain: #2, 2016(16%)
minecraft.mined.netherite_block: #1, 47(38%)
minecraft.picked_up.stone_brick_wall: #2, 584(20%)
minecraft.dropped.jungle_sapling: #1, 68(19%)
minecraft.used.warped_nylium: #2, 680(18%)
minecraft.dropped.prismarine_brick_stairs: #1, 35(88%)
minecraft.dropped.cyan_wool: #1, 161(29%)
minecraft.picked_up.torch: #1, 18455(10%)
minecraft.used.dark_prismarine_slab: #1, 1966(24%)
minecraft.dropped.magenta_concrete: #1, 61(37%)
minecraft.crafted.ender_eye: #2, 349(16%)
minecraft.dropped.dead_horn_coral_block: #1, 13(87%)
minecraft.mined.prismarine_wall: #1, 99(52%)
minecraft.picked_up.warped_door: #1, 14(22%)
minecraft.used.stripped_jungle_wood: #1, 214(86%)
minecraft.dropped.netherite_helmet: #1, 9(21%)
minecraft.picked_up.nether_bricks: #2, 6300(16%)
minecraft.picked_up.blue_stained_glass: #2, 544(22%)
minecraft.killed.spider: #1, 414(11%)
minecraft.dropped.stripped_warped_stem: #1, 13(25%)
minecraft.dropped.chorus_fruit: #2, 606(20%)
minecraft.dropped.bubble_coral_block: #1, 11(85%)
minecraft.dropped.vine: #1, 119(23%)
minecraft.dropped.dark_oak_button: #2, 212(32%)
minecraft.picked_up.birch_boat: #2, 72(18%)
minecraft.dropped.brown_glazed_terracotta: #1, 64(84%)
minecraft.mined.blue_banner: #1, 16(84%)
minecraft.custom.boat_one_cm: #2, 37146571(14%)
minecraft.used.crimson_slab: #2, 1264(21%)
minecraft.used.flint_and_steel: #2, 963(15%)
minecraft.picked_up.jungle_button: #2, 37(22%)
minecraft.crafted.red_bed: #2, 26(25%)
minecraft.crafted.jungle_wood: #2, 2811(27%)
minecraft.used.music_disc_far: #1, 19(83%)
minecraft.picked_up.purple_concrete: #2, 737(17%)
minecraft.mined.infested_mossy_stone_bricks: #1, 6(35%)
minecraft.dropped.soul_torch: #2, 33(27%)
minecraft.dropped.smooth_quartz: #2, 351(25%)
minecraft.used.tropical_fish: #1, 9(41%)
minecraft.crafted.enchanting_table: #2, 11(16%)
minecraft.dropped.chorus_flower: #1, 11(61%)
minecraft.used.cauldron: #2, 157(16%)
minecraft.custom.interact_with_crafting_table: #1, 9442(9%)
minecraft.used.red_carpet: #3, 4146(19%)
minecraft.dropped.jungle_log: #1, 266(13%)
minecraft.mined.brown_shulker_box: #2, 613(16%)
minecraft.used.music_disc_strad: #1, 6(60%)
minecraft.dropped.cyan_shulker_box: #1, 6(60%)
minecraft.picked_up.brown_shulker_box: #2, 616(16%)
minecraft.dropped.lilac: #2, 21(23%)
minecraft.mined.gold_block: #2, 1158(16%)
minecraft.picked_up.crimson_planks: #2, 652(18%)
minecraft.crafted.polished_blackstone_wall: #2, 1860(24%)
minecraft.crafted.chiseled_polished_blackstone: #1, 420(22%)
minecraft.mined.blue_ice: #2, 541(26%)
minecraft.dropped.lily_pad: #2, 64(34%)
minecraft.crafted.blue_bed: #1, 13(30%)
minecraft.dropped.stripped_jungle_wood: #1, 29(78%)
minecraft.mined.green_wool: #2, 281(21%)
minecraft.dropped.blue_carpet: #1, 415(78%)
minecraft.picked_up.nether_star: #2, 144(19%)
minecraft.picked_up.dark_oak_leaves: #2, 1693(22%)
minecraft.crafted.jungle_stairs: #2, 996(26%)
minecraft.mined.mossy_stone_brick_wall: #1, 7(58%)
minecraft.used.brown_shulker_box: #2, 613(16%)
minecraft.crafted.polished_basalt: #2, 3684(15%)
minecraft.used.melon: #2, 384(21%)
minecraft.dropped.brown_mushroom: #2, 432(16%)
minecraft.crafted.purple_carpet: #2, 1020(20%)
minecraft.picked_up.yellow_shulker_box: #2, 717(14%)
minecraft.mined.polished_diorite: #2, 744(16%)
minecraft.mined.light_gray_stained_glass_pane: #2, 271(15%)
minecraft.dropped.poisonous_potato: #1, 18(19%)
minecraft.picked_up.polished_andesite: #2, 3251(14%)
minecraft.used.smooth_quartz_stairs: #2, 3009(15%)
minecraft.used.bone_block: #2, 6526(15%)
minecraft.picked_up.brain_coral: #2, 48(25%)
minecraft.crafted.observer: #2, 2819(15%)
minecraft.used.warped_slab: #2, 1029(18%)
minecraft.used.jungle_slab: #2, 3014(21%)
minecraft.crafted.spectral_arrow: #1, 2868(74%)
minecraft.mined.cobweb: #2, 1079(13%)
minecraft.dropped.prismarine_wall: #1, 23(55%)
minecraft.dropped.purple_concrete_powder: #1, 65(55%)
minecraft.used.polished_basalt: #2, 4202(14%)
minecraft.dropped.yellow_stained_glass: #1, 41(44%)
minecraft.dropped.sandstone_slab: #2, 714(32%)
minecraft.used.crimson_door: #1, 15(22%)
minecraft.mined.bone_block: #2, 1143(15%)
minecraft.mined.lever: #2, 226(13%)
minecraft.picked_up.glass_bottle: #2, 2030(15%)
minecraft.picked_up.polished_diorite: #2, 740(15%)
minecraft.used.polished_blackstone: #2, 5798(14%)
minecraft.picked_up.diamond: #2, 8658(13%)
minecraft.used.crimson_planks: #2, 1822(17%)
minecraft.picked_up.polished_basalt: #2, 1285(14%)
minecraft.picked_up.warped_stem: #2, 6127(14%)
minecraft.dropped.pink_tulip: #2, 35(35%)
minecraft.dropped.prismarine: #2, 228(31%)
minecraft.used.nether_sprouts: #1, 69(70%)
minecraft.mined.yellow_shulker_box: #2, 702(14%)
minecraft.dropped.gold_ingot: #2, 701(14%)
minecraft.dropped.fire_coral_fan: #1, 7(70%)
minecraft.crafted.green_carpet: #2, 1877(16%)
minecraft.mined.birch_trapdoor: #2, 167(15%)
minecraft.picked_up.dark_oak_button: #3, 197(24%)
minecraft.crafted.brick_slab: #2, 1308(34%)
minecraft.used.jungle_button: #2, 116(19%)
minecraft.dropped.white_tulip: #2, 31(28%)
minecraft.dropped.green_carpet: #2, 349(26%)
minecraft.crafted.crimson_slab: #2, 1052(17%)
minecraft.crafted.brown_carpet: #2, 1194(15%)
minecraft.dropped.horn_coral_block: #1, 37(69%)
minecraft.dropped.light_blue_concrete: #2, 162(23%)
minecraft.mined.oak_slab: #2, 653(13%)
minecraft.used.crimson_nylium: #2, 537(15%)
minecraft.picked_up.chain: #2, 1145(13%)
minecraft.picked_up.mossy_stone_brick_wall: #1, 13(41%)
minecraft.used.yellow_shulker_box: #2, 698(13%)
minecraft.dropped.polished_blackstone_slab: #2, 101(22%)
minecraft.picked_up.melon_seeds: #2, 130(14%)
minecraft.dropped.magma_block: #2, 350(17%)
minecraft.crafted.yellow_stained_glass: #2, 2688(20%)
minecraft.dropped.yellow_glazed_terracotta: #1, 12(29%)
minecraft.mined.light_blue_banner: #1, 8(67%)
minecraft.picked_up.hay_block: #2, 571(14%)
minecraft.picked_up.dead_brain_coral_block: #1, 76(99%)
minecraft.mined.soul_fire: #2, 189(13%)
minecraft.dropped.dark_oak_door: #1, 11(39%)
minecraft.picked_up.polished_blackstone: #2, 1040(13%)
minecraft.dropped.tube_coral: #1, 44(98%)
minecraft.picked_up.yellow_stained_glass: #2, 608(20%)
minecraft.picked_up.blue_terracotta: #2, 1108(23%)
minecraft.picked_up.chiseled_quartz_block: #2, 255(17%)
minecraft.used.end_rod: #2, 1874(13%)
minecraft.crafted.blue_ice: #2, 4709(37%)
minecraft.dropped.prismarine_slab: #1, 141(97%)
minecraft.dropped.cracked_nether_bricks: #1, 65(97%)
minecraft.dropped.smooth_quartz_stairs: #2, 194(29%)
minecraft.mined.polished_blackstone: #2, 865(13%)
minecraft.mined.warped_pressure_plate: #1, 14(48%)
minecraft.mined.dead_tube_coral_block: #1, 27(96%)
minecraft.picked_up.dead_tube_coral_block: #1, 27(96%)
minecraft.picked_up.cobblestone_stairs: #2, 269(14%)
minecraft.dropped.warped_door: #1, 5(38%)
minecraft.mined.green_carpet: #3, 512(18%)
minecraft.used.filled_map: #1, 37(32%)
minecraft.dropped.nether_gold_ore: #2, 197(16%)
minecraft.dropped.bookshelf: #2, 296(29%)
minecraft.dropped.stripped_crimson_stem: #1, 22(96%)
minecraft.mined.rose_bush: #2, 161(14%)
minecraft.mined.cyan_shulker_box: #2, 333(15%)
minecraft.mined.basalt: #3, 32892(16%)
minecraft.mined.red_tulip: #2, 129(18%)
minecraft.dropped.orange_stained_glass_pane: #1, 115(47%)
minecraft.used.water_bucket: #2, 8102(12%)
minecraft.dropped.blue_stained_glass_pane: #1, 335(94%)
minecraft.dropped.lantern: #2, 457(18%)
minecraft.picked_up.cyan_shulker_box: #2, 334(15%)
minecraft.mined.lime_shulker_box: #2, 344(14%)
minecraft.used.brewing_stand: #2, 91(12%)
minecraft.dropped.brain_coral_fan: #1, 7(47%)
minecraft.used.chicken: #1, 7(47%)
minecraft.dropped.cyan_carpet: #2, 167(22%)
minecraft.crafted.netherite_scrap: #2, 417(15%)
minecraft.dropped.smooth_stone: #2, 420(14%)
minecraft.mined.jack_o_lantern: #2, 94(20%)
minecraft.picked_up.lime_shulker_box: #2, 349(14%)
minecraft.mined.red_sandstone: #2, 43(31%)
minecraft.picked_up.blue_carpet: #2, 544(28%)
minecraft.dropped.dead_tube_coral_block: #1, 10(91%)
minecraft.used.coal_ore: #2, 6226(12%)
minecraft.dropped.white_wool: #2, 1220(14%)
minecraft.picked_up.sticky_piston: #2, 663(13%)
minecraft.used.cyan_shulker_box: #2, 334(15%)
minecraft.picked_up.popped_chorus_fruit: #1, 342(59%)
minecraft.picked_up.dead_bubble_coral_block: #1, 7(88%)
minecraft.crafted.warped_slab: #2, 960(15%)
minecraft.crafted.diamond: #2, 7020(11%)
minecraft.dropped.note_block: #2, 137(30%)
minecraft.mined.warped_slab: #2, 140(14%)
minecraft.crafted.cooked_mutton: #2, 508(18%)
minecraft.dropped.jungle_boat: #2, 16(25%)
minecraft.dropped.brown_carpet: #2, 323(30%)
minecraft.dropped.gray_wool: #2, 334(19%)
minecraft.picked_up.shulker_box: #2, 8374(10%)
minecraft.mined.stone_pressure_plate: #2, 72(13%)
minecraft.mined.glass_pane: #3, 268(17%)
minecraft.mined.birch_door: #1, 5(21%)
minecraft.dropped.black_terracotta: #2, 427(30%)
minecraft.custom.player_kills: #2, 129(12%)
minecraft.used.lime_wool: #2, 718(15%)
minecraft.dropped.mossy_cobblestone_wall: #1, 16(55%)
minecraft.used.lime_shulker_box: #2, 345(14%)
minecraft.dropped.brick_slab: #1, 40(33%)
minecraft.picked_up.purpur_slab: #2, 153(14%)
minecraft.custom.clean_banner: #1, 60(55%)
minecraft.custom.clean_shulker_box: #1, 23(27%)
minecraft.crafted.redstone_lamp: #3, 892(16%)
minecraft.mined.jungle_stairs: #2, 178(14%)
minecraft.dropped.music_disc_13: #1, 2(40%)
minecraft.used.twisting_vines: #2, 260(16%)
minecraft.crafted.green_concrete_powder: #3, 11104(19%)
minecraft.picked_up.chorus_flower: #2, 1039(20%)
minecraft.mined.brick_stairs: #2, 99(17%)
minecraft.used.shulker_box: #2, 8127(10%)
minecraft.picked_up.black_stained_glass_pane: #3, 637(20%)
minecraft.picked_up.oak_pressure_plate: #2, 15(16%)
minecraft.used.blue_terracotta: #2, 2638(25%)
minecraft.picked_up.note_block: #2, 306(13%)
minecraft.mined.orange_tulip: #2, 125(20%)
minecraft.used.blackstone: #2, 13457(11%)
minecraft.mined.ladder: #2, 237(11%)
minecraft.crafted.dark_prismarine_slab: #2, 1536(23%)
minecraft.custom.inspect_dispenser: #2, 1852(11%)
minecraft.crafted.warped_pressure_plate: #2, 48(28%)
minecraft.mined.shulker_box: #2, 8181(11%)
minecraft.mined.dispenser: #2, 184(11%)
minecraft.custom.climb_one_cm: #2, 10090573(9%)
minecraft.used.quartz_bricks: #2, 2047(17%)
minecraft.used.red_mushroom_block: #3, 1735(20%)
minecraft.custom.damage_blocked_by_shield: #2, 26705(17%)
minecraft.mined.jungle_button: #2, 19(21%)
minecraft.picked_up.dead_horn_coral: #1, 3(50%)
minecraft.picked_up.dead_fire_coral: #1, 3(75%)
minecraft.mined.dead_horn_coral: #1, 3(50%)
minecraft.mined.dead_fire_coral: #1, 3(75%)
minecraft.mined.red_banner: #1, 2(50%)
minecraft.custom.clean_armor: #1, 3(50%)
minecraft.dropped.red_nether_brick_wall: #1, 7(50%)
minecraft.mined.frosted_ice: #1, 6(75%)
minecraft.picked_up.zombie_head: #1, 6(75%)
minecraft.mined.horn_coral: #2, 108(18%)
minecraft.dropped.enchanted_book: #3, 449(18%)
minecraft.mined.crimson_stairs: #2, 51(19%)
minecraft.dropped.red_stained_glass: #2, 237(28%)
minecraft.used.bow: #2, 11949(11%)
minecraft.dropped.lime_stained_glass_pane: #2, 125(36%)
minecraft.dropped.purple_carpet: #2, 67(25%)
minecraft.used.beacon: #2, 144(11%)
minecraft.picked_up.writable_book: #2, 45(11%)
minecraft.mined.yellow_wall_banner: #1, 16(73%)
minecraft.custom.jump: #3, 698387(8%)
minecraft.dropped.lapis_block: #2, 494(31%)
minecraft.picked_up.birch_trapdoor: #2, 172(12%)
minecraft.picked_up.magma_cream: #2, 521(11%)
minecraft.killed.vex: #2, 35(22%)
minecraft.used.hay_block: #2, 210(12%)
minecraft.mined.polished_granite: #2, 381(12%)
minecraft.picked_up.dark_oak_pressure_plate: #2, 16(30%)
minecraft.mined.dark_prismarine_slab: #2, 218(24%)
minecraft.mined.crimson_slab: #2, 192(17%)
minecraft.used.crimson_fence: #2, 313(17%)
minecraft.custom.interact_with_campfire: #2, 35(27%)
minecraft.used.smooth_sandstone: #2, 10219(12%)
minecraft.dropped.andesite_wall: #2, 150(17%)
minecraft.picked_up.observer: #2, 872(11%)
minecraft.used.suspicious_stew: #2, 8(27%)
minecraft.used.ender_eye: #1, 14(47%)
minecraft.custom.play_record: #2, 54(14%)
minecraft.crafted.birch_wood: #2, 603(20%)
minecraft.crafted.red_carpet: #3, 3193(15%)
minecraft.dropped.red_stained_glass_pane: #1, 65(46%)
minecraft.used.chipped_anvil: #2, 38(10%)
minecraft.crafted.experience_bottle: #2, 4603(30%)
minecraft.picked_up.crimson_stem: #3, 3641(15%)
minecraft.mined.red_concrete: #3, 3290(15%)
minecraft.picked_up.netherite_block: #2, 48(34%)
minecraft.picked_up.music_disc_13: #2, 9(13%)
minecraft.mined.birch_sign: #3, 94(17%)
minecraft.mined.pink_tulip: #2, 81(13%)
minecraft.mined.tripwire_hook: #2, 16(12%)
minecraft.dropped.black_stained_glass_pane: #2, 278(29%)
minecraft.mined.soul_lantern: #2, 59(11%)
minecraft.picked_up.brown_mushroom_block: #2, 5973(13%)
minecraft.dropped.quartz: #3, 1368(16%)
minecraft.mined.stonecutter: #2, 260(10%)
minecraft.used.lodestone: #2, 67(32%)
minecraft.dropped.dirt: #2, 9095(9%)
minecraft.mined.polished_andesite: #3, 2695(14%)
minecraft.mined.polished_granite_stairs: #2, 48(25%)
minecraft.dropped.birch_fence_gate: #2, 24(38%)
minecraft.used.music_disc_13: #2, 5(25%)
minecraft.used.cooked_mutton: #2, 485(12%)
minecraft.dropped.piglin_banner_pattern: #1, 2(40%)
minecraft.picked_up.dead_tube_coral_fan: #1, 3(30%)
minecraft.picked_up.bubble_coral: #2, 35(22%)
minecraft.dropped.shroomlight: #2, 209(14%)
minecraft.picked_up.gold_block: #3, 1668(14%)
minecraft.picked_up.jack_o_lantern: #2, 95(12%)
minecraft.picked_up.rose_bush: #3, 3949(13%)
minecraft.dropped.netherite_boots: #2, 9(15%)
minecraft.dropped.black_dye: #2, 181(15%)
minecraft.picked_up.twisting_vines: #2, 338(10%)
minecraft.picked_up.crimson_nylium: #3, 1290(14%)
minecraft.mined.redstone_lamp: #3, 266(15%)
minecraft.picked_up.prismarine_wall: #2, 99(30%)
minecraft.picked_up.stonecutter: #2, 261(10%)
minecraft.mined.chipped_anvil: #2, 39(9%)
minecraft.picked_up.redstone_lamp: #3, 339(15%)
minecraft.picked_up.light_blue_carpet: #3, 336(16%)
minecraft.picked_up.enchanting_table: #2, 12(13%)
minecraft.picked_up.emerald_ore: #2, 77(19%)
minecraft.dropped.glowstone_dust: #2, 181(11%)
minecraft.custom.interact_with_smithing_table: #2, 75(9%)
minecraft.dropped.purple_concrete: #2, 62(19%)
minecraft.used.basalt: #3, 6163(13%)
minecraft.picked_up.white_tulip: #2, 258(11%)
minecraft.dropped.glowstone: #3, 569(18%)
minecraft.dropped.blue_bed: #1, 8(53%)
minecraft.dropped.soul_lantern: #2, 124(14%)
minecraft.used.packed_ice: #3, 4570(15%)
minecraft.dropped.dark_oak_log: #2, 316(14%)
minecraft.mined.birch_wood: #2, 24(21%)
minecraft.dropped.birch_trapdoor: #2, 72(16%)
minecraft.used.blue_concrete_powder: #3, 3049(15%)
minecraft.used.blue_banner: #2, 16(25%)
minecraft.used.warped_door: #2, 18(18%)
minecraft.mined.crimson_nylium: #3, 1335(13%)
minecraft.dropped.mossy_stone_bricks: #2, 50(22%)
minecraft.crafted.magenta_carpet: #2, 402(14%)
minecraft.picked_up.green_carpet: #3, 689(14%)
minecraft.dropped.creeper_head: #1, 1(100%)
minecraft.dropped.dark_prismarine_stairs: #1, 62(100%)
minecraft.dropped.purple_shulker_box: #1, 4(100%)
minecraft.dropped.dead_fire_coral_block: #1, 12(100%)
minecraft.dropped.trapped_chest: #1, 2(100%)
minecraft.dropped.light_blue_glazed_terracotta: #1, 16(100%)
minecraft.dropped.end_stone_brick_wall: #1, 3(100%)
minecraft.dropped.music_disc_stal: #1, 1(100%)
minecraft.dropped.white_glazed_terracotta: #1, 64(100%)
minecraft.dropped.warped_pressure_plate: #1, 5(100%)
minecraft.crafted.stripped_jungle_wood: #1, 27(100%)
minecraft.used.dead_tube_coral_block: #1, 7(100%)
minecraft.used.creeper_head: #1, 1(50%)
minecraft.used.zombie_head: #1, 2(100%)
minecraft.used.pufferfish: #1, 2(100%)
minecraft.used.dead_brain_coral_block: #1, 73(100%)
minecraft.used.rabbit: #1, 2(100%)
minecraft.killed_by.pufferfish: #1, 2(50%)
minecraft.killed_by.evoker: #1, 1(100%)
minecraft.mined.dead_tube_coral_fan: #1, 3(100%)
minecraft.mined.dead_brain_coral: #1, 3(100%)
minecraft.mined.dead_bubble_coral: #1, 3(100%)
minecraft.mined.dead_bubble_coral_block: #1, 7(100%)
minecraft.mined.purple_wall_banner: #1, 1(100%)
minecraft.mined.potted_crimson_roots: #1, 1(50%)
minecraft.mined.dead_brain_coral_block: #1, 76(100%)
minecraft.picked_up.skeleton_skull: #1, 1(50%)
minecraft.picked_up.dead_brain_coral: #1, 3(100%)
minecraft.picked_up.purple_banner: #1, 1(100%)
minecraft.picked_up.dead_bubble_coral: #1, 3(100%)
minecraft.dropped.enchanting_table: #1, 1(33%)
minecraft.crafted.sandstone_stairs: #2, 1180(15%)
minecraft.crafted.glass_bottle: #2, 2772(9%)
minecraft.picked_up.turtle_egg: #3, 1167(20%)
minecraft.dropped.polished_andesite_slab: #2, 535(10%)
minecraft.dropped.sticky_piston: #3, 124(25%)
minecraft.crafted.prismarine_slab: #2, 216(22%)
minecraft.used.enchanting_table: #3, 16(14%)
minecraft.dropped.dead_bush: #2, 12(16%)
minecraft.dropped.chiseled_stone_bricks: #2, 198(20%)
minecraft.picked_up.experience_bottle: #2, 210(18%)
minecraft.used.polished_blackstone_brick_stairs: #3, 1109(14%)
minecraft.crafted.brick_wall: #2, 306(20%)
minecraft.dropped.blackstone_slab: #2, 231(18%)
minecraft.custom.trigger_trapped_chest: #2, 118(24%)
minecraft.crafted.leather_boots: #2, 74(10%)
minecraft.dropped.beehive: #2, 19(22%)
minecraft.picked_up.spectral_arrow: #3, 1061(15%)
minecraft.mined.cobblestone_stairs: #3, 202(15%)
minecraft.mined.flower_pot: #2, 29(11%)
minecraft.crafted.birch_sign: #3, 829(13%)
minecraft.used.magenta_carpet: #2, 401(14%)
minecraft.custom.play_one_minute: #3, 136543100(6%)
minecraft.mined.blackstone_wall: #3, 124(16%)
minecraft.used.polished_blackstone_pressure_plate: #2, 106(14%)
minecraft.used.diamond_ore: #3, 2469(13%)
minecraft.used.fire_coral: #2, 9(24%)
minecraft.mined.stone_button: #3, 266(13%)
minecraft.picked_up.black_terracotta: #2, 1190(10%)
minecraft.picked_up.warped_pressure_plate: #2, 12(38%)
minecraft.mined.orange_carpet: #3, 171(18%)
minecraft.dropped.charcoal: #2, 10(14%)
minecraft.mined.diamond_ore: #3, 5486(12%)
minecraft.dropped.polished_blackstone_pressure_plate: #2, 58(23%)
minecraft.mined.black_shulker_box: #3, 620(12%)
minecraft.dropped.end_rod: #3, 414(15%)
minecraft.dropped.red_concrete_powder: #2, 142(18%)
minecraft.picked_up.birch_wood: #2, 23(18%)
minecraft.picked_up.coal_block: #3, 1000(12%)
minecraft.picked_up.soul_campfire: #2, 18(18%)
minecraft.picked_up.red_nether_brick_wall: #2, 20(22%)
minecraft.used.birch_leaves: #3, 6643(12%)
minecraft.crafted.honeycomb_block: #2, 3373(22%)
minecraft.used.cracked_polished_blackstone_bricks: #3, 791(15%)
minecraft.dropped.brown_bed: #2, 3(25%)
minecraft.picked_up.black_shulker_box: #3, 624(12%)
minecraft.dropped.ender_chest: #3, 39(15%)
minecraft.picked_up.warped_slab: #3, 202(14%)
minecraft.mined.birch_button: #2, 10(14%)
minecraft.mined.crimson_door: #2, 5(19%)
minecraft.picked_up.polished_blackstone_button: #3, 58(18%)
minecraft.dropped.item_frame: #3, 122(14%)
minecraft.used.acacia_door: #2, 42(19%)
minecraft.used.redstone_torch: #3, 1465(10%)
minecraft.used.dropper: #3, 914(11%)
minecraft.mined.blue_carpet: #2, 275(19%)
minecraft.dropped.quartz_bricks: #2, 67(21%)
minecraft.used.brain_coral: #2, 9(24%)
minecraft.dropped.ice: #3, 751(17%)
minecraft.crafted.green_stained_glass_pane: #2, 272(21%)
minecraft.mined.brick_slab: #2, 70(15%)
minecraft.mined.polished_blackstone_brick_wall: #3, 76(17%)
minecraft.mined.red_stained_glass: #3, 427(14%)
minecraft.dropped.soul_sand: #3, 956(13%)
minecraft.used.melon_slice: #3, 168(16%)
minecraft.dropped.polished_andesite: #3, 1033(14%)
minecraft.used.bubble_coral: #2, 12(33%)
minecraft.mined.stripped_acacia_log: #3, 72(16%)
minecraft.killed.enderman: #3, 82337(11%)
minecraft.dropped.potion: #3, 543(13%)
minecraft.dropped.dark_oak_wood: #2, 99(28%)
minecraft.used.dried_kelp: #2, 190(14%)
minecraft.crafted.blue_concrete_powder: #3, 3056(13%)
minecraft.mined.twisting_vines_plant: #2, 96(9%)
minecraft.used.prismarine_wall: #2, 353(24%)
minecraft.dropped.warped_slab: #2, 112(28%)
minecraft.mined.bee_nest: #3, 67(11%)
minecraft.mined.sticky_piston: #3, 484(12%)
minecraft.crafted.firework_star: #2, 3963(18%)
minecraft.mined.dropper: #3, 296(11%)
minecraft.crafted.lantern: #3, 1843(12%)
minecraft.crafted.chiseled_quartz_block: #2, 388(11%)
minecraft.picked_up.music_disc_far: #2, 20(32%)
minecraft.dropped.smooth_quartz_slab: #2, 260(16%)
minecraft.used.blue_carpet: #3, 1289(23%)
minecraft.dropped.lime_wool: #2, 224(13%)
minecraft.mined.tube_coral: #2, 60(12%)
minecraft.mined.farmland: #3, 362(12%)
minecraft.picked_up.light_weighted_pressure_plate: #2, 251(13%)
minecraft.mined.orange_stained_glass_pane: #2, 138(12%)
minecraft.dropped.emerald_ore: #2, 51(39%)
minecraft.used.lime_bed: #2, 65(10%)
minecraft.custom.leave_game: #3, 2285(5%)
minecraft.crafted.cut_sandstone_slab: #2, 504(16%)
minecraft.picked_up.red_glazed_terracotta: #2, 278(22%)
minecraft.mined.spruce_planks: #3, 2102(11%)
minecraft.used.music_disc_mellohi: #2, 4(31%)
minecraft.mined.redstone_torch: #3, 243(11%)
minecraft.dropped.sea_pickle: #2, 63(15%)
minecraft.picked_up.bee_nest: #3, 66(11%)
minecraft.crafted.brewing_stand: #2, 96(7%)
minecraft.used.redstone_block: #3, 1069(10%)
minecraft.dropped.white_shulker_box: #2, 7(19%)
minecraft.custom.sneak_time: #4, 7302515(7%)
minecraft.dropped.carved_pumpkin: #2, 13(12%)
minecraft.dropped.acacia_wood: #2, 15(21%)
minecraft.used.bucket: #3, 9835(10%)
minecraft.picked_up.lime_bed: #2, 68(11%)
minecraft.used.light_blue_shulker_box: #3, 686(11%)
minecraft.used.lever: #3, 711(10%)
minecraft.custom.inspect_dropper: #3, 2937(10%)
minecraft.dropped.blue_ice: #2, 596(37%)
minecraft.used.birch_boat: #3, 49(13%)
minecraft.picked_up.light_blue_shulker_box: #3, 686(11%)
minecraft.picked_up.saddle: #2, 26(8%)
minecraft.mined.lime_bed: #2, 67(11%)
minecraft.mined.iron_bars: #3, 572(11%)
minecraft.crafted.purple_stained_glass: #3, 2792(15%)
minecraft.custom.fall_one_cm: #3, 19870679(8%)
minecraft.dropped.gray_shulker_box: #2, 17(24%)
minecraft.used.dark_oak_leaves: #3, 823(17%)
minecraft.dropped.snow_block: #2, 206(10%)
minecraft.mined.light_blue_shulker_box: #3, 687(12%)
minecraft.dropped.gray_concrete: #3, 744(13%)
minecraft.mined.redstone_block: #3, 428(11%)
minecraft.picked_up.spruce_planks: #3, 2866(10%)
minecraft.dropped.polished_blackstone_stairs: #2, 28(24%)
minecraft.picked_up.stone_pressure_plate: #3, 173(11%)
minecraft.crafted.polished_blackstone_pressure_plate: #2, 110(11%)
minecraft.mined.melon_stem: #3, 31(14%)
minecraft.crafted.lime_carpet: #3, 1498(14%)
minecraft.mined.comparator: #3, 236(10%)
minecraft.crafted.netherite_boots: #2, 2(10%)
