stat, rank, value, (percentage) 
minecraft.picked_up.chiseled_sandstone: #1, 1107(48%)
minecraft.picked_up.white_shulker_box: #1, 1633(31%)
minecraft.mined.sandstone: #1, 140337(29%)
minecraft.mined.crimson_fence: #1, 124(42%)
minecraft.dropped.gold_block: #1, 650(42%)
minecraft.mined.lapis_block: #1, 638(67%)
minecraft.picked_up.brown_carpet: #1, 1020(35%)
minecraft.dropped.sandstone: #1, 4511(30%)
minecraft.picked_up.sandstone: #1, 139979(29%)
minecraft.used.white_shulker_box: #1, 1624(30%)
minecraft.mined.sandstone_wall: #1, 1274(39%)
minecraft.crafted.smooth_sandstone_slab: #1, 8372(48%)
minecraft.crafted.granite_wall: #1, 1422(83%)
minecraft.dropped.polished_blackstone_brick_stairs: #1, 101(66%)
minecraft.crafted.iron_door: #1, 318(34%)
minecraft.used.spruce_boat: #1, 141(36%)
minecraft.picked_up.target: #1, 411(43%)
minecraft.custom.fill_cauldron: #1, 70(32%)
minecraft.used.splash_potion: #1, 441(28%)
minecraft.dropped.jack_o_lantern: #1, 92(71%)
minecraft.dropped.orange_wool: #1, 356(58%)
minecraft.used.terracotta: #1, 12297(29%)
minecraft.picked_up.quartz: #1, 47416(28%)
minecraft.used.purple_concrete: #1, 1912(37%)
minecraft.crafted.gold_ingot: #1, 240238(26%)
minecraft.used.experience_bottle: #1, 2616(45%)
minecraft.used.smooth_sandstone_slab: #1, 9035(33%)
minecraft.mined.nether_gold_ore: #1, 2592(27%)
minecraft.picked_up.smooth_quartz: #1, 4035(30%)
minecraft.used.magma_block: #1, 17377(29%)
minecraft.crafted.lime_banner: #1, 346(69%)
minecraft.mined.chain: #1, 767(27%)
minecraft.used.blue_stained_glass_pane: #1, 658(69%)
minecraft.custom.use_cauldron: #1, 78(61%)
minecraft.mined.fire: #1, 3869(26%)
minecraft.mined.honeycomb_block: #1, 714(56%)
minecraft.dropped.yellow_dye: #1, 258(56%)
minecraft.crafted.yellow_banner: #1, 98(68%)
minecraft.mined.glowstone: #1, 2743(25%)
minecraft.mined.green_concrete: #1, 3992(34%)
minecraft.dropped.nether_quartz_ore: #1, 454(34%)
minecraft.dropped.yellow_shulker_box: #1, 17(61%)
minecraft.dropped.netherrack: #1, 94577(25%)
minecraft.mined.warped_nylium: #1, 2329(28%)
minecraft.used.polished_blackstone_wall: #1, 4449(30%)
minecraft.dropped.red_carpet: #1, 244(40%)
minecraft.used.ender_chest: #1, 3852(25%)
minecraft.used.gilded_blackstone: #1, 208(40%)
minecraft.dropped.warped_planks: #1, 100(46%)
minecraft.used.green_concrete: #1, 3395(33%)
minecraft.mined.ender_chest: #1, 3711(25%)
minecraft.used.brick_stairs: #1, 1289(39%)
minecraft.picked_up.warped_nylium: #1, 2372(27%)
minecraft.used.tnt: #1, 16772(27%)
minecraft.dropped.birch_sign: #1, 379(29%)
minecraft.dropped.sugar: #2, 4306(43%)
minecraft.picked_up.granite_wall: #1, 367(58%)
minecraft.custom.interact_with_brewingstand: #1, 2164(23%)
minecraft.mined.purple_carpet: #1, 248(32%)
minecraft.used.yellow_glazed_terracotta: #1, 1395(58%)
minecraft.used.writable_book: #1, 1043(25%)
minecraft.dropped.purpur_slab: #1, 119(34%)
minecraft.dropped.chiseled_nether_bricks: #1, 123(72%)
minecraft.dropped.chiseled_sandstone: #1, 736(96%)
minecraft.mined.magma_block: #1, 21654(25%)
minecraft.mined.lapis_ore: #1, 4320(24%)
minecraft.mined.chiseled_sandstone: #1, 808(44%)
minecraft.picked_up.jungle_wood: #1, 629(41%)
minecraft.dropped.black_carpet: #1, 335(38%)
minecraft.used.redstone_lamp: #1, 1323(25%)
minecraft.mined.nether_quartz_ore: #1, 27176(25%)
minecraft.dropped.yellow_concrete: #1, 418(57%)
minecraft.crafted.stone_brick_wall: #1, 1680(28%)
minecraft.picked_up.ender_chest: #1, 3775(24%)
minecraft.picked_up.magenta_carpet: #1, 315(35%)
minecraft.mined.crying_obsidian: #1, 311(30%)
minecraft.dropped.diamond: #1, 3163(26%)
minecraft.dropped.cobblestone_stairs: #1, 188(40%)
minecraft.picked_up.lapis_ore: #1, 2017(24%)
minecraft.custom.interact_with_blast_furnace: #1, 503(24%)
minecraft.mined.gold_ore: #1, 6639(23%)
minecraft.picked_up.sea_pickle: #1, 1248(28%)
minecraft.used.fire_coral_block: #1, 425(80%)
minecraft.dropped.sandstone_wall: #1, 599(80%)
minecraft.used.black_stained_glass_pane: #1, 5338(29%)
minecraft.picked_up.lapis_lazuli: #1, 33969(23%)
minecraft.crafted.spruce_trapdoor: #1, 8736(24%)
minecraft.crafted.black_bed: #1, 63(50%)
minecraft.dropped.stone_brick_wall: #1, 821(79%)
minecraft.picked_up.orange_carpet: #1, 558(32%)
minecraft.dropped.sunflower: #1, 136(55%)
minecraft.used.lantern: #1, 2991(23%)
minecraft.used.jungle_stairs: #1, 1164(36%)
minecraft.picked_up.gold_ore: #1, 6637(23%)
minecraft.dropped.polished_blackstone: #1, 239(39%)
minecraft.picked_up.magma_block: #1, 19979(24%)
minecraft.used.green_stained_glass: #1, 3605(34%)
minecraft.picked_up.nether_gold_ore: #2, 2013(28%)
minecraft.picked_up.horn_coral: #1, 108(42%)
minecraft.picked_up.dried_kelp_block: #1, 1581(49%)
minecraft.used.sticky_piston: #1, 2472(22%)
minecraft.mined.packed_ice: #2, 44097(29%)
minecraft.dropped.iron_boots: #1, 770(28%)
minecraft.picked_up.red_stained_glass_pane: #1, 320(45%)
minecraft.dropped.polished_blackstone_brick_slab: #1, 256(53%)
minecraft.dropped.smooth_sandstone: #1, 757(36%)
minecraft.dropped.sandstone_stairs: #1, 204(67%)
minecraft.used.white_glazed_terracotta: #1, 608(67%)
minecraft.crafted.smooth_quartz_stairs: #1, 4825(35%)
minecraft.used.snow_block: #1, 17910(28%)
minecraft.crafted.warped_fungus_on_a_stick: #1, 26(74%)
minecraft.dropped.red_concrete: #1, 243(37%)
minecraft.used.jungle_log: #1, 4765(24%)
minecraft.picked_up.birch_sign: #1, 1102(22%)
minecraft.picked_up.packed_ice: #2, 44021(28%)
minecraft.mined.lime_wall_banner: #1, 43(73%)
minecraft.custom.eat_cake_slice: #1, 64(28%)
minecraft.dropped.cobweb: #1, 174(56%)
