stat, rank, value, (percentage) 
minecraft.dropped.painting: #1, 113(46%)
minecraft.dropped.smooth_stone: #1, 663(23%)
minecraft.mined.stripped_dark_oak_wood: #2, 448(37%)
minecraft.mined.light_gray_shulker_box: #1, 576(24%)
minecraft.used.coarse_dirt: #2, 19913(25%)
minecraft.used.light_gray_shulker_box: #1, 607(23%)
minecraft.mined.polished_andesite_stairs: #1, 930(23%)
minecraft.crafted.oak_door: #1, 96(22%)
minecraft.crafted.polished_andesite: #1, 18322(18%)
minecraft.mined.diamond_ore: #1, 8374(18%)
minecraft.dropped.stripped_oak_wood: #1, 133(86%)
minecraft.crafted.red_bed: #1, 32(31%)
minecraft.mined.oak_sign: #1, 124(18%)
minecraft.crafted.andesite_wall: #2, 2442(31%)
minecraft.crafted.loom: #2, 431(25%)
minecraft.mined.grass: #1, 14356(18%)
minecraft.crafted.polished_andesite_stairs: #1, 1756(28%)
minecraft.mined.iron_bars: #1, 987(18%)
minecraft.used.daylight_detector: #1, 239(21%)
minecraft.dropped.diorite_slab: #1, 449(60%)
minecraft.dropped.item_frame: #1, 186(22%)
minecraft.picked_up.emerald: #1, 3004(17%)
minecraft.picked_up.light_gray_shulker_box: #1, 582(22%)
minecraft.dropped.cookie: #2, 890(28%)
minecraft.crafted.coarse_dirt: #2, 16460(22%)
minecraft.crafted.light_gray_banner: #1, 120(51%)
minecraft.picked_up.blue_concrete_powder: #2, 3731(30%)
minecraft.dropped.string: #1, 3385(17%)
minecraft.picked_up.cooked_porkchop: #2, 2752(22%)
minecraft.picked_up.black_stained_glass_pane: #1, 724(22%)
minecraft.dropped.lilac: #1, 25(27%)
minecraft.crafted.dark_prismarine_stairs: #1, 468(50%)
minecraft.crafted.white_dye: #1, 26049(17%)
minecraft.used.oak_fence: #2, 3696(22%)
minecraft.dropped.nautilus_shell: #1, 33(36%)
minecraft.dropped.barrel: #1, 92(28%)
minecraft.used.red_sandstone_stairs: #1, 221(65%)
minecraft.crafted.stone_brick_stairs: #1, 1880(19%)
minecraft.picked_up.diamond: #1, 10684(16%)
minecraft.used.gray_concrete: #2, 51323(21%)
minecraft.crafted.andesite: #1, 12838(54%)
minecraft.mined.red_concrete: #1, 3689(17%)
minecraft.custom.pot_flower: #1, 286(17%)
minecraft.crafted.brick_slab: #1, 1596(42%)
minecraft.mined.pumpkin_stem: #1, 77(25%)
minecraft.used.stripped_dark_oak_log: #1, 1199(21%)
minecraft.crafted.paper: #2, 172945(22%)
minecraft.used.flower_pot: #1, 371(17%)
minecraft.dropped.wheat: #2, 1342(25%)
minecraft.used.firework_rocket: #2, 4983(19%)
minecraft.used.diamond_ore: #2, 3987(20%)
minecraft.mined.stripped_dark_oak_log: #1, 1316(19%)
minecraft.crafted.golden_helmet: #1, 24(18%)
minecraft.crafted.brown_carpet: #1, 1437(18%)
minecraft.picked_up.stripped_dark_oak_log: #1, 1320(19%)
minecraft.used.andesite_slab: #2, 5165(22%)
minecraft.crafted.acacia_boat: #1, 13(30%)
