stat, rank, value, (percentage) 
minecraft.mined.light_gray_wall_banner: #2, 6(19%)
minecraft.used.item_frame: #3, 886(8%)
minecraft.mined.spruce_stairs: #3, 377(9%)
minecraft.mined.carrots: #3, 2273(10%)
minecraft.used.stone_brick_stairs: #3, 1662(10%)
minecraft.picked_up.cyan_banner: #2, 21(19%)
minecraft.used.diamond_sword: #3, 35528(9%)
minecraft.crafted.chiseled_polished_blackstone: #3, 378(19%)
minecraft.crafted.dark_oak_boat: #2, 3(12%)
minecraft.crafted.red_nether_brick_stairs: #2, 72(19%)
minecraft.dropped.oak_planks: #4, 595(14%)
minecraft.dropped.andesite_slab: #2, 548(7%)
minecraft.dropped.netherite_axe: #3, 9(12%)
minecraft.used.oak_slab: #3, 1503(9%)
minecraft.picked_up.diamond_hoe: #3, 10(12%)
minecraft.crafted.birch_slab: #3, 2940(10%)
minecraft.dropped.white_dye: #2, 345(7%)
minecraft.mined.black_banner: #2, 10(15%)
minecraft.crafted.sugar: #3, 2088(9%)
minecraft.crafted.jukebox: #3, 11(13%)
minecraft.mined.bricks: #3, 1059(13%)
minecraft.picked_up.birch_trapdoor: #3, 145(10%)
minecraft.dropped.pink_carpet: #2, 8(26%)
minecraft.mined.quartz_block: #3, 767(10%)
minecraft.mined.dark_oak_slab: #3, 638(10%)
minecraft.mined.birch_leaves: #3, 11219(8%)
minecraft.mined.dark_oak_wood: #3, 99(14%)
minecraft.mined.polished_andesite: #4, 2484(13%)
minecraft.mined.white_banner: #3, 12(14%)
minecraft.crafted.mojang_banner_pattern: #2, 1(50%)
minecraft.dropped.music_disc_far: #2, 1(50%)
minecraft.dropped.flower_banner_pattern: #2, 1(50%)
minecraft.used.creeper_head: #2, 1(50%)
minecraft.mined.potted_crimson_roots: #2, 1(50%)
minecraft.dropped.red_sandstone_slab: #2, 2(50%)
minecraft.killed_by.shulker: #2, 1(33%)
minecraft.dropped.iron_bars: #3, 723(12%)
minecraft.crafted.cobblestone_stairs: #3, 396(10%)
minecraft.crafted.rabbit_stew: #2, 72(25%)
minecraft.mined.stone_stairs: #3, 287(9%)
minecraft.picked_up.oak_button: #3, 35(10%)
minecraft.dropped.purpur_slab: #3, 40(11%)
minecraft.dropped.iron_hoe: #3, 5(14%)
minecraft.used.lily_pad: #3, 18(14%)
minecraft.crafted.diorite_slab: #2, 414(13%)
minecraft.crafted.melon_seeds: #3, 298(13%)
minecraft.used.jukebox: #3, 13(11%)
minecraft.dropped.oak_fence_gate: #2, 22(9%)
minecraft.used.blue_banner: #3, 15(24%)
minecraft.killed.parrot: #2, 6(10%)
minecraft.used.chiseled_red_sandstone: #2, 90(18%)
minecraft.mined.pink_glazed_terracotta: #2, 8(30%)
minecraft.picked_up.enchanted_book: #3, 176(8%)
minecraft.custom.play_one_minute: #4, 134123700(6%)
minecraft.mined.spruce_leaves: #3, 12188(8%)
minecraft.crafted.yellow_banner: #2, 14(10%)
minecraft.used.brick_slab: #3, 457(17%)
minecraft.mined.brown_mushroom: #3, 180(8%)
minecraft.custom.play_record: #3, 42(11%)
minecraft.crafted.ladder: #3, 924(8%)
minecraft.picked_up.green_banner: #2, 15(21%)
minecraft.mined.potted_dark_oak_sapling: #2, 2(29%)
minecraft.crafted.green_banner: #2, 35(21%)
minecraft.killed.sheep: #3, 203(8%)
minecraft.used.string: #3, 1415(8%)
minecraft.crafted.mossy_cobblestone_slab: #3, 78(15%)
minecraft.crafted.golden_apple: #4, 659(17%)
minecraft.used.barrel: #3, 737(8%)
minecraft.crafted.andesite_stairs: #3, 264(11%)
minecraft.used.mossy_cobblestone_stairs: #3, 36(14%)
minecraft.used.golden_shovel: #3, 336(12%)
minecraft.dropped.birch_planks: #3, 197(8%)
minecraft.crafted.diamond_sword: #3, 13(7%)
minecraft.dropped.acacia_button: #2, 6(16%)
minecraft.picked_up.magenta_banner: #2, 6(25%)
minecraft.dropped.smooth_red_sandstone_slab: #2, 2(25%)
minecraft.used.oak_stairs: #4, 416(11%)
minecraft.dropped.mossy_cobblestone: #3, 96(11%)
minecraft.crafted.glass_pane: #3, 1306(8%)
minecraft.crafted.pink_shulker_box: #3, 8(12%)
minecraft.mined.lime_concrete: #4, 1999(13%)
minecraft.mined.light_gray_concrete: #3, 4564(8%)
minecraft.dropped.beetroot_seeds: #3, 97(17%)
minecraft.dropped.acacia_boat: #2, 2(14%)
minecraft.picked_up.red_nether_brick_wall: #3, 19(21%)
minecraft.used.coal_block: #3, 440(8%)
minecraft.picked_up.red_concrete: #4, 2215(12%)
minecraft.crafted.dark_oak_sign: #3, 105(8%)
minecraft.picked_up.acacia_leaves: #3, 1009(11%)
minecraft.dropped.dark_oak_button: #3, 100(15%)
minecraft.crafted.gunpowder: #2, 8(33%)
minecraft.dropped.chiseled_red_sandstone: #2, 1(33%)
minecraft.used.dark_oak_fence: #4, 1103(13%)
minecraft.crafted.dark_oak_fence: #4, 1161(13%)
minecraft.mined.cake: #3, 6(21%)
minecraft.used.piston: #3, 1029(7%)
minecraft.killed_by.ravager: #3, 10(9%)
minecraft.used.oak_button: #3, 99(9%)
minecraft.dropped.quartz_bricks: #3, 64(20%)
minecraft.crafted.oak_fence_gate: #3, 137(8%)
minecraft.used.end_stone_bricks: #2, 2298(4%)
minecraft.used.nether_quartz_ore: #4, 2725(12%)
minecraft.mined.stone_brick_stairs: #3, 367(7%)
minecraft.picked_up.gravel: #4, 82025(10%)
minecraft.dropped.apple: #4, 188(12%)
minecraft.dropped.blue_shulker_box: #2, 2(12%)
minecraft.dropped.iron_ingot: #3, 2738(7%)
minecraft.picked_up.dark_prismarine_stairs: #3, 73(20%)
minecraft.used.yellow_concrete: #4, 3620(14%)
minecraft.dropped.stone_button: #4, 297(13%)
minecraft.picked_up.quartz_block: #4, 2260(12%)
minecraft.picked_up.dark_oak_wood: #3, 124(11%)
minecraft.dropped.granite_stairs: #2, 4(18%)
minecraft.mined.yellow_wall_banner: #2, 6(27%)
minecraft.crafted.light_blue_wool: #3, 279(12%)
minecraft.crafted.end_stone_bricks: #2, 2556(7%)
minecraft.used.acacia_door: #3, 37(17%)
minecraft.used.gray_concrete_powder: #4, 32475(10%)
minecraft.dropped.stripped_spruce_wood: #2, 3(17%)
minecraft.crafted.magenta_shulker_box: #3, 8(14%)
minecraft.picked_up.red_concrete_powder: #3, 1815(9%)
minecraft.picked_up.white_banner: #3, 114(7%)
minecraft.crafted.acacia_fence: #3, 93(11%)
minecraft.crafted.dried_kelp_block: #3, 10752(11%)
minecraft.picked_up.smooth_stone: #4, 4602(10%)
minecraft.mined.cyan_bed: #2, 33(3%)
minecraft.dropped.green_concrete: #3, 35(13%)
minecraft.picked_up.dark_oak_planks: #3, 1197(6%)
minecraft.used.iron_trapdoor: #4, 3113(11%)
minecraft.used.cyan_bed: #2, 34(3%)
minecraft.custom.open_shulker_box: #4, 79614(8%)
minecraft.dropped.acacia_trapdoor: #3, 58(12%)
minecraft.dropped.damaged_anvil: #3, 3(18%)
minecraft.crafted.red_sandstone: #3, 1164(9%)
minecraft.dropped.white_wool: #3, 597(7%)
minecraft.dropped.smooth_red_sandstone: #2, 3(9%)
minecraft.picked_up.heart_of_the_sea: #3, 15(8%)
minecraft.dropped.gray_dye: #3, 106(15%)
minecraft.custom.interact_with_grindstone: #4, 268(11%)
minecraft.crafted.emerald_block: #4, 1918(11%)
minecraft.used.spruce_stairs: #4, 1441(10%)
minecraft.used.grass_block: #4, 36072(9%)
minecraft.dropped.stone_pressure_plate: #4, 111(12%)
minecraft.killed.donkey: #2, 1(17%)
minecraft.crafted.dark_oak_planks: #4, 20254(10%)
minecraft.mined.lime_shulker_box: #4, 278(12%)
minecraft.used.cooked_porkchop: #4, 1520(10%)
minecraft.dropped.acacia_sapling: #4, 119(18%)
minecraft.crafted.dark_oak_button: #3, 187(8%)
minecraft.mined.blue_banner: #2, 2(11%)
minecraft.used.brown_bed: #3, 52(9%)
minecraft.dropped.yellow_dye: #3, 55(12%)
minecraft.used.lime_shulker_box: #4, 295(12%)
minecraft.crafted.polished_granite: #3, 1852(7%)
minecraft.mined.dark_oak_planks: #4, 1004(10%)
minecraft.picked_up.lime_shulker_box: #4, 279(11%)
minecraft.dropped.emerald_block: #3, 25(13%)
minecraft.mined.light_blue_concrete: #4, 2470(11%)
minecraft.dropped.bell: #2, 4(3%)
minecraft.used.lime_concrete: #3, 1384(6%)
minecraft.dropped.coal: #4, 589(10%)
minecraft.crafted.clock: #3, 11(8%)
minecraft.custom.sprint_one_cm: #4, 179088833(6%)
minecraft.used.ice: #3, 2239(6%)
minecraft.picked_up.acacia_fence: #3, 28(8%)
minecraft.custom.damage_taken: #4, 615535(7%)
minecraft.picked_up.golden_shovel: #4, 18(13%)
minecraft.mined.brown_wall_banner: #3, 8(17%)
minecraft.dropped.purple_bed: #3, 2(17%)
minecraft.picked_up.written_book: #4, 149(9%)
minecraft.dropped.heart_of_the_sea: #3, 15(8%)
minecraft.mined.magenta_stained_glass: #3, 25(6%)
minecraft.used.golden_carrot: #4, 6931(9%)
minecraft.dropped.rabbit_foot: #2, 2(3%)
minecraft.crafted.birch_fence: #4, 441(13%)
minecraft.used.cut_red_sandstone: #3, 43(13%)
minecraft.picked_up.light_blue_concrete_powder: #3, 971(10%)
minecraft.crafted.bread: #4, 2883(9%)
minecraft.used.stripped_birch_log: #4, 343(13%)
minecraft.used.end_rod: #4, 1357(10%)
minecraft.crafted.brown_stained_glass: #3, 344(9%)
minecraft.dropped.blue_stained_glass_pane: #2, 20(6%)
minecraft.crafted.red_banner: #3, 37(8%)
minecraft.dropped.dark_oak_wood: #3, 66(18%)
minecraft.mined.dark_oak_leaves: #3, 2824(5%)
minecraft.used.acacia_sign: #3, 72(6%)
minecraft.dropped.gray_glazed_terracotta: #2, 9(2%)
minecraft.mined.activator_rail: #3, 7(12%)
minecraft.used.cobblestone_wall: #4, 918(9%)
minecraft.dropped.golden_apple: #3, 30(8%)
minecraft.dropped.lily_pad: #3, 20(11%)
minecraft.used.splash_potion: #4, 141(9%)
minecraft.used.pink_terracotta: #3, 124(10%)
minecraft.dropped.written_book: #4, 71(9%)
minecraft.killed.llama: #3, 42(17%)
minecraft.dropped.jukebox: #3, 1(33%)
minecraft.killed.fox: #3, 1(33%)
minecraft.dropped.slime_block: #3, 211(6%)
minecraft.dropped.yellow_concrete: #3, 73(10%)
minecraft.dropped.spruce_sapling: #4, 106(10%)
minecraft.picked_up.carrot: #4, 9810(8%)
minecraft.dropped.gray_carpet: #3, 266(8%)
minecraft.broken.golden_helmet: #3, 3(8%)
minecraft.picked_up.bookshelf: #4, 265(9%)
minecraft.crafted.sandstone_stairs: #3, 572(7%)
minecraft.mined.brown_concrete_powder: #4, 65(10%)
minecraft.crafted.firework_rocket: #4, 86433(10%)
minecraft.used.oak_boat: #4, 113(8%)
minecraft.used.lever: #4, 543(8%)
minecraft.used.light_gray_carpet: #3, 2105(4%)
minecraft.mined.pink_terracotta: #3, 54(8%)
minecraft.mined.blue_concrete_powder: #3, 18(10%)
minecraft.custom.inspect_dropper: #4, 2183(7%)
minecraft.dropped.red_dye: #3, 123(5%)
minecraft.dropped.detector_rail: #3, 3(10%)
minecraft.used.yellow_banner: #3, 16(12%)
minecraft.used.yellow_terracotta: #3, 492(5%)
minecraft.picked_up.light_blue_concrete: #4, 1705(8%)
minecraft.picked_up.yellow_banner: #3, 7(7%)
minecraft.dropped.acacia_wood: #3, 8(11%)
minecraft.dropped.music_disc_13: #3, 1(20%)
minecraft.crafted.lantern: #4, 1271(9%)
minecraft.used.carrot: #4, 2353(8%)
minecraft.dropped.stripped_birch_log: #3, 15(6%)
minecraft.killed.husk: #4, 66(9%)
minecraft.crafted.prismarine_stairs: #3, 120(13%)
minecraft.used.light_gray_stained_glass: #4, 2975(11%)
minecraft.crafted.cooked_salmon: #4, 60(14%)
minecraft.picked_up.music_disc_ward: #3, 4(6%)
minecraft.mined.tall_grass: #4, 710(8%)
minecraft.mined.smooth_quartz: #4, 641(8%)
minecraft.crafted.lime_shulker_box: #4, 22(10%)
minecraft.crafted.yellow_shulker_box: #4, 30(8%)
minecraft.picked_up.birch_stairs: #4, 147(10%)
minecraft.dropped.birch_log: #4, 216(10%)
minecraft.dropped.black_bed: #3, 1(25%)
minecraft.mined.potted_warped_roots: #3, 1(25%)
minecraft.dropped.lime_banner: #3, 14(18%)
minecraft.dropped.oak_sign: #4, 93(9%)
minecraft.crafted.brown_wool: #4, 179(11%)
minecraft.dropped.birch_stairs: #3, 34(9%)
minecraft.dropped.cooked_beef: #4, 276(8%)
minecraft.picked_up.spruce_planks: #4, 2017(7%)
minecraft.mined.green_glazed_terracotta: #3, 9(14%)
minecraft.dropped.sand: #4, 4888(8%)
minecraft.dropped.red_mushroom: #4, 86(8%)
minecraft.picked_up.diamond_chestplate: #4, 19(8%)
minecraft.picked_up.smooth_quartz_slab: #4, 1067(8%)
minecraft.mined.birch_stairs: #4, 131(10%)
minecraft.mined.light_blue_wool: #4, 114(11%)
minecraft.mined.daylight_detector: #4, 19(8%)
minecraft.used.gray_glazed_terracotta: #3, 22(9%)
minecraft.used.shroomlight: #4, 626(7%)
minecraft.mined.dark_oak_button: #4, 6(14%)
minecraft.picked_up.baked_potato: #4, 95(13%)
minecraft.dropped.stripped_birch_wood: #3, 3(16%)
minecraft.crafted.granite_slab: #4, 84(18%)
minecraft.dropped.music_disc_pigstep: #3, 1(20%)
minecraft.dropped.piglin_banner_pattern: #3, 1(20%)
minecraft.picked_up.pink_glazed_terracotta: #3, 6(19%)
minecraft.used.bread: #4, 313(7%)
minecraft.used.red_wool: #4, 1013(8%)
minecraft.used.oak_log: #4, 3672(6%)
minecraft.used.smooth_sandstone: #4, 6607(8%)
minecraft.crafted.birch_stairs: #4, 516(9%)
minecraft.dropped.orange_dye: #3, 62(5%)
minecraft.mined.light_blue_banner: #3, 2(17%)
minecraft.crafted.netherite_hoe: #3, 1(17%)
minecraft.dropped.blue_banner: #3, 1(17%)
minecraft.picked_up.piglin_banner_pattern: #3, 1(17%)
minecraft.used.granite_stairs: #4, 94(14%)
minecraft.used.green_banner: #3, 19(12%)
minecraft.picked_up.fletching_table: #3, 18(3%)
minecraft.dropped.charcoal: #4, 8(11%)
minecraft.custom.damage_absorbed: #4, 686(8%)
minecraft.mined.fletching_table: #3, 18(3%)
minecraft.used.purple_bed: #4, 54(11%)
minecraft.mined.brain_coral: #3, 18(4%)
minecraft.mined.red_sandstone_wall: #3, 3(12%)
minecraft.used.light_blue_concrete: #4, 2646(7%)
minecraft.dropped.white_banner: #3, 55(3%)
minecraft.dropped.chorus_flower: #3, 2(11%)
minecraft.crafted.stone_brick_slab: #4, 3072(6%)
minecraft.picked_up.fishing_rod: #4, 19(8%)
minecraft.mined.tripwire: #4, 147(6%)
minecraft.mined.light_gray_concrete_powder: #4, 237(8%)
minecraft.crafted.gray_bed: #3, 13(4%)
minecraft.dropped.quartz_pillar: #3, 18(5%)
minecraft.crafted.tripwire_hook: #4, 216(6%)
minecraft.picked_up.cyan_bed: #3, 31(3%)
minecraft.custom.leave_game: #5, 2148(5%)
minecraft.crafted.brown_bed: #3, 17(4%)
minecraft.used.birch_stairs: #4, 429(8%)
minecraft.mined.lime_wall_banner: #3, 3(5%)
minecraft.killed.trader_llama: #4, 30(7%)
minecraft.mined.green_wall_banner: #3, 1(11%)
minecraft.mined.birch_door: #4, 4(17%)
minecraft.dropped.phantom_membrane: #4, 27(12%)
minecraft.dropped.pumpkin_pie: #4, 102(8%)
minecraft.mined.diorite_wall: #4, 90(11%)
minecraft.crafted.lectern: #4, 73(6%)
minecraft.used.light_gray_concrete_powder: #4, 5831(6%)
minecraft.dropped.rabbit_stew: #3, 10(4%)
minecraft.dropped.cooked_porkchop: #3, 360(1%)
minecraft.used.mossy_cobblestone_slab: #4, 75(10%)
minecraft.dropped.cyan_banner: #3, 8(9%)
minecraft.dropped.birch_trapdoor: #4, 45(10%)
minecraft.custom.eat_cake_slice: #4, 16(7%)
minecraft.crafted.stone_brick_wall: #4, 378(6%)
minecraft.picked_up.gray_wool: #4, 1895(6%)
minecraft.mined.cyan_wall_banner: #3, 2(5%)
minecraft.crafted.leather_chestplate: #4, 89(6%)
minecraft.mined.mossy_cobblestone: #4, 127(5%)
minecraft.mined.andesite_wall: #4, 129(7%)
minecraft.mined.prismarine_brick_stairs: #3, 20(3%)
minecraft.picked_up.cauldron: #4, 45(6%)
minecraft.dropped.granite_wall: #3, 16(4%)
minecraft.picked_up.polished_andesite: #5, 2223(9%)
minecraft.used.beef: #3, 1(7%)
minecraft.picked_up.brown_carpet: #4, 184(6%)
minecraft.crafted.diorite_wall: #4, 174(11%)
minecraft.dropped.diamond: #5, 1234(10%)
minecraft.dropped.diorite_wall: #4, 19(12%)
minecraft.used.spider_eye: #3, 25(2%)
minecraft.picked_up.gray_concrete: #4, 7440(5%)
minecraft.picked_up.prismarine_brick_stairs: #3, 17(2%)
minecraft.picked_up.dark_oak_door: #4, 36(8%)
minecraft.picked_up.brain_coral: #4, 17(9%)
minecraft.picked_up.yellow_dye: #4, 108(8%)
minecraft.picked_up.light_gray_wool: #4, 2019(5%)
minecraft.crafted.gray_glazed_terracotta: #3, 24(3%)
minecraft.used.iron_ore: #4, 37(5%)
minecraft.dropped.fern: #4, 41(8%)
minecraft.mined.light_blue_wall_banner: #4, 8(16%)
minecraft.used.dropper: #5, 708(9%)
minecraft.killed.shulker: #4, 496(6%)
minecraft.dropped.honey_block: #4, 126(9%)
minecraft.used.brown_concrete: #4, 567(8%)
minecraft.picked_up.light_gray_concrete: #4, 2511(5%)
minecraft.crafted.prismarine_brick_slab: #4, 138(13%)
minecraft.used.golden_sword: #3, 1(2%)
minecraft.used.spruce_pressure_plate: #4, 36(7%)
minecraft.dropped.red_banner: #4, 2(10%)
minecraft.mined.stone_slab: #5, 1160(9%)
minecraft.mined.acacia_sign: #4, 3(13%)
minecraft.dropped.netherite_hoe: #4, 3(12%)
minecraft.crafted.gray_concrete_powder: #5, 31432(10%)
minecraft.used.gravel: #5, 4351(8%)
minecraft.mined.spruce_planks: #5, 1681(8%)
minecraft.crafted.purpur_stairs: #3, 12(1%)
minecraft.mined.acacia_fence_gate: #4, 9(15%)
minecraft.dropped.wither_rose: #4, 81(10%)
minecraft.crafted.nether_brick_stairs: #4, 248(8%)
minecraft.used.cyan_banner: #4, 21(10%)
minecraft.dropped.yellow_glazed_terracotta: #4, 6(14%)
minecraft.crafted.creeper_banner_pattern: #4, 1(25%)
minecraft.broken.iron_leggings: #4, 1(25%)
minecraft.crafted.green_stained_glass_pane: #4, 160(12%)
minecraft.dropped.oak_sapling: #4, 308(5%)
minecraft.mined.spruce_slab: #5, 1156(8%)
minecraft.mined.red_terracotta: #5, 6003(9%)
minecraft.picked_up.nether_quartz_ore: #5, 3062(8%)
minecraft.picked_up.golden_sword: #5, 354(9%)
minecraft.mined.dandelion: #5, 417(8%)
minecraft.picked_up.dark_oak_trapdoor: #5, 530(9%)
minecraft.mined.white_concrete_powder: #4, 278(4%)
minecraft.dropped.diamond_chestplate: #4, 5(7%)
minecraft.dropped.white_carpet: #5, 143(10%)
minecraft.crafted.lime_carpet: #5, 1194(11%)
minecraft.picked_up.gray_dye: #4, 194(7%)
minecraft.dropped.diamond_block: #5, 246(9%)
minecraft.crafted.polished_granite_stairs: #4, 60(11%)
minecraft.mined.gray_carpet: #5, 404(9%)
minecraft.crafted.acacia_sign: #4, 81(6%)
minecraft.crafted.melon: #4, 12579(6%)
minecraft.used.dark_oak_stairs: #5, 1383(9%)
minecraft.used.music_disc_pigstep: #4, 4(17%)
minecraft.custom.fall_one_cm: #5, 15086952(6%)
minecraft.dropped.black_dye: #4, 71(6%)
minecraft.crafted.activator_rail: #4, 18(8%)
minecraft.picked_up.chiseled_nether_bricks: #4, 38(5%)
minecraft.mined.grass_path: #4, 667(4%)
minecraft.broken.iron_chestplate: #4, 1(17%)
minecraft.dropped.polished_granite_stairs: #4, 12(12%)
minecraft.used.brown_stained_glass: #4, 158(7%)
minecraft.picked_up.blue_concrete: #5, 1056(9%)
minecraft.crafted.smooth_sandstone_stairs: #4, 536(6%)
minecraft.crafted.dark_oak_stairs: #5, 1232(9%)
minecraft.mined.lever: #5, 129(8%)
minecraft.dropped.leather: #4, 415(4%)
minecraft.picked_up.flower_banner_pattern: #4, 1(20%)
minecraft.dropped.red_concrete: #4, 37(6%)
minecraft.used.oak_sapling: #4, 1520(4%)
minecraft.used.stone_stairs: #5, 1013(8%)
minecraft.picked_up.oak_trapdoor: #5, 231(8%)
minecraft.picked_up.brown_banner: #4, 8(10%)
minecraft.crafted.pink_wool: #4, 41(9%)
minecraft.mined.chiseled_nether_bricks: #4, 38(5%)
minecraft.mined.polished_diorite_slab: #4, 101(9%)
minecraft.picked_up.golden_carrot: #5, 2993(7%)
minecraft.used.ladder: #5, 771(7%)
minecraft.crafted.white_carpet: #5, 2802(8%)
minecraft.used.dark_oak_button: #4, 93(5%)
minecraft.picked_up.orange_concrete_powder: #4, 896(7%)
minecraft.mined.orange_wall_banner: #4, 2(18%)
minecraft.used.pink_banner: #4, 6(10%)
minecraft.custom.interact_with_crafting_table: #5, 6679(7%)
minecraft.used.acacia_fence_gate: #4, 37(9%)
minecraft.used.yellow_concrete_powder: #5, 2837(10%)
minecraft.dropped.enchanted_book: #4, 91(4%)
minecraft.crafted.diorite_stairs: #4, 20(10%)
minecraft.killed.dolphin: #4, 4(5%)
minecraft.mined.melon: #4, 350(3%)
minecraft.picked_up.lime_banner: #4, 25(6%)
minecraft.picked_up.black_concrete_powder: #4, 2409(3%)
minecraft.dropped.blue_orchid: #4, 16(8%)
minecraft.dropped.green_shulker_box: #4, 1(17%)
minecraft.dropped.spruce_leaves: #5, 359(11%)
minecraft.crafted.prismarine_wall: #4, 108(13%)
minecraft.crafted.cyan_bed: #4, 6(6%)
minecraft.used.lime_concrete_powder: #4, 1561(3%)
minecraft.mined.grass_block: #5, 70985(6%)
minecraft.picked_up.grass_block: #5, 42623(6%)
minecraft.picked_up.acacia_fence_gate: #4, 8(11%)
minecraft.dropped.birch_leaves: #5, 518(8%)
minecraft.picked_up.diamond_axe: #5, 39(7%)
minecraft.picked_up.magenta_stained_glass: #4, 24(3%)
minecraft.picked_up.mossy_cobblestone_stairs: #4, 12(6%)
minecraft.crafted.smooth_sandstone_slab: #4, 768(4%)
minecraft.used.cyan_glazed_terracotta: #4, 22(8%)
minecraft.mined.cornflower: #5, 96(7%)
minecraft.crafted.lime_concrete_powder: #4, 1568(3%)
minecraft.mined.tripwire_hook: #5, 11(8%)
minecraft.mined.lime_banner: #4, 4(7%)
minecraft.crafted.light_gray_stained_glass: #5, 4320(11%)
minecraft.mined.black_shulker_box: #5, 345(7%)
minecraft.picked_up.black_shulker_box: #5, 357(7%)
minecraft.dropped.dark_oak_sapling: #4, 29(6%)
minecraft.crafted.lime_glazed_terracotta: #4, 4(11%)
minecraft.mined.potted_oak_sapling: #4, 1(11%)
minecraft.picked_up.gray_carpet: #5, 853(7%)
minecraft.used.orange_wool: #5, 648(10%)
minecraft.crafted.black_stained_glass: #5, 7128(8%)
minecraft.mined.dragon_wall_head: #5, 23(8%)
minecraft.dropped.emerald: #5, 549(8%)
minecraft.dropped.firework_rocket: #5, 1964(6%)
minecraft.crafted.barrel: #5, 486(7%)
minecraft.custom.interact_with_smithing_table: #5, 54(6%)
minecraft.dropped.chiseled_stone_bricks: #4, 50(5%)
minecraft.dropped.beacon: #4, 5(5%)
minecraft.used.black_shulker_box: #5, 335(6%)
minecraft.crafted.birch_fence_gate: #5, 200(9%)
minecraft.mined.gray_stained_glass_pane: #5, 57(11%)
minecraft.mined.cut_red_sandstone: #4, 3(8%)
minecraft.used.cobblestone_stairs: #5, 254(7%)
minecraft.custom.jump: #6, 495636(6%)
minecraft.used.light_blue_wool: #5, 741(10%)
minecraft.mined.yellow_concrete_powder: #5, 46(11%)
minecraft.used.fletching_table: #4, 18(3%)
minecraft.dropped.book: #5, 62(8%)
minecraft.dropped.bookshelf: #4, 44(4%)
minecraft.used.cyan_shulker_box: #5, 171(8%)
minecraft.used.dark_oak_planks: #5, 2453(6%)
minecraft.crafted.shulker_box: #5, 408(6%)
minecraft.dropped.netherite_pickaxe: #5, 12(7%)
minecraft.custom.walk_one_cm: #6, 219793755(5%)
minecraft.crafted.crimson_fence_gate: #4, 11(4%)
minecraft.picked_up.end_crystal: #4, 6(3%)
minecraft.picked_up.quartz_slab: #5, 454(6%)
minecraft.broken.iron_boots: #4, 1(10%)
minecraft.dropped.purpur_block: #5, 93(8%)
minecraft.used.white_stained_glass_pane: #5, 788(7%)
minecraft.mined.red_sandstone: #4, 6(4%)
minecraft.mined.azure_bluet: #5, 111(7%)
minecraft.picked_up.dark_oak_stairs: #5, 556(6%)
minecraft.used.birch_fence: #5, 270(7%)
minecraft.used.smoker: #5, 47(9%)
minecraft.picked_up.coarse_dirt: #5, 3040(6%)
minecraft.dropped.baked_potato: #4, 11(4%)
minecraft.crafted.yellow_concrete_powder: #5, 2712(8%)
minecraft.dropped.diamond_horse_armor: #4, 1(8%)
minecraft.crafted.white_stained_glass_pane: #5, 982(6%)
minecraft.crafted.lime_banner: #4, 18(4%)
minecraft.dropped.crimson_button: #4, 4(8%)
minecraft.dropped.cut_sandstone: #4, 42(2%)
minecraft.crafted.cooked_cod: #4, 71(2%)
minecraft.used.snow_block: #5, 4474(7%)
minecraft.mined.fire_coral: #4, 16(3%)
minecraft.crafted.iron_block: #5, 12634(5%)
minecraft.dropped.light_blue_stained_glass_pane: #4, 16(4%)
minecraft.picked_up.dried_kelp_block: #4, 83(3%)
minecraft.dropped.shulker_shell: #4, 20(3%)
minecraft.used.red_mushroom_block: #5, 632(7%)
minecraft.dropped.acacia_leaves: #4, 56(3%)
minecraft.crafted.purple_bed: #4, 7(3%)
minecraft.dropped.cyan_dye: #4, 104(3%)
minecraft.crafted.beacon: #4, 8(2%)
minecraft.crafted.light_gray_concrete_powder: #5, 6192(6%)
minecraft.dropped.sea_lantern: #5, 174(8%)
minecraft.crafted.lime_stained_glass_pane: #5, 480(7%)
minecraft.dropped.melon_seeds: #5, 30(8%)
minecraft.crafted.light_gray_stained_glass_pane: #5, 2064(7%)
minecraft.used.mossy_stone_brick_stairs: #4, 9(4%)
minecraft.crafted.black_shulker_box: #5, 14(6%)
minecraft.mined.light_blue_bed: #4, 47(2%)
minecraft.picked_up.lime_concrete: #5, 750(6%)
minecraft.used.green_glazed_terracotta: #4, 9(4%)
minecraft.crafted.flower_pot: #5, 330(6%)
minecraft.mined.magenta_bed: #4, 3(4%)
minecraft.picked_up.light_blue_bed: #4, 40(1%)
minecraft.picked_up.magenta_bed: #4, 3(4%)
minecraft.used.quartz_bricks: #5, 983(8%)
minecraft.used.light_blue_bed: #4, 39(1%)
minecraft.crafted.orange_glazed_terracotta: #4, 12(4%)
minecraft.crafted.light_blue_shulker_box: #5, 18(8%)
minecraft.dropped.light_gray_concrete_powder: #4, 49(2%)
minecraft.crafted.white_glazed_terracotta: #4, 12(3%)
minecraft.dropped.dark_oak_sign: #4, 25(2%)
minecraft.mined.black_wall_banner: #5, 29(9%)
minecraft.crafted.dark_oak_fence_gate: #5, 259(6%)
minecraft.crafted.light_blue_bed: #5, 4(10%)
minecraft.dropped.white_stained_glass_pane: #4, 56(2%)
minecraft.crafted.granite_wall: #4, 36(2%)
minecraft.dropped.dark_oak_stairs: #4, 40(1%)
minecraft.mined.spruce_fence_gate: #5, 25(6%)
minecraft.mined.oak_fence_gate: #5, 50(5%)
minecraft.mined.green_stained_glass_pane: #4, 2(4%)
minecraft.dropped.light_blue_carpet: #4, 11(2%)
minecraft.mined.flower_pot: #5, 17(6%)
