stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #23, 116088(0%)
minecraft.custom.jump: #37, 2(0%)
minecraft.custom.walk_one_cm: #38, 693(0%)
minecraft.custom.time_since_death: #41, 116088(0%)
minecraft.custom.fly_one_cm: #44, 1907036(0%)
minecraft.custom.leave_game: #46, 10(0%)
minecraft.custom.walk_under_water_one_cm: #46, 8553(0%)
minecraft.custom.play_one_minute: #47, 116088(0%)
minecraft.custom.sneak_time: #47, 4570(0%)
minecraft.custom.walk_on_water_one_cm: #48, 829(0%)
