stat, rank, value, (percentage) 
minecraft.crafted.birch_slab: #5, 1080(4%)
minecraft.mined.blue_orchid: #6, 71(9%)
minecraft.picked_up.spruce_slab: #6, 1568(7%)
minecraft.mined.red_stained_glass: #5, 117(4%)
minecraft.mined.iron_door: #5, 13(4%)
minecraft.mined.chiseled_polished_blackstone: #5, 40(4%)
minecraft.used.orange_tulip: #5, 35(9%)
minecraft.used.spruce_slab: #6, 3776(8%)
minecraft.picked_up.melon_seeds: #6, 74(8%)
minecraft.dropped.iron_boots: #5, 102(4%)
minecraft.custom.clean_shulker_box: #5, 10(12%)
minecraft.dropped.rotten_flesh: #5, 18237(3%)
minecraft.picked_up.acacia_log: #6, 2918(7%)
minecraft.used.cookie: #5, 7(3%)
minecraft.mined.grindstone: #5, 37(3%)
minecraft.broken.golden_helmet: #5, 2(5%)
minecraft.killed_by.vindicator: #5, 2(6%)
minecraft.crafted.cyan_stained_glass: #5, 2424(3%)
minecraft.mined.mossy_cobblestone_stairs: #5, 4(6%)
minecraft.mined.red_bed: #5, 16(4%)
minecraft.picked_up.red_bed: #5, 16(4%)
minecraft.crafted.acacia_sign: #5, 51(4%)
minecraft.used.cyan_stained_glass: #5, 2374(3%)
minecraft.dropped.polished_granite_stairs: #5, 8(8%)
minecraft.mined.blue_stained_glass: #5, 70(4%)
minecraft.picked_up.orange_concrete: #6, 819(7%)
minecraft.used.stripped_spruce_log: #6, 171(7%)
minecraft.used.mossy_stone_bricks: #6, 214(8%)
minecraft.dropped.coal_block: #5, 71(4%)
minecraft.used.red_bed: #5, 15(3%)
minecraft.picked_up.conduit: #5, 2(6%)
minecraft.picked_up.spruce_log: #6, 12989(6%)
minecraft.dropped.white_concrete: #6, 228(7%)
minecraft.picked_up.stripped_spruce_log: #6, 246(7%)
minecraft.mined.conduit: #5, 2(7%)
minecraft.used.blue_orchid: #5, 33(5%)
minecraft.used.brick_stairs: #5, 101(3%)
minecraft.used.grass: #5, 409(2%)
minecraft.crafted.coal: #6, 7132(6%)
minecraft.mined.stone_button: #6, 134(6%)
minecraft.crafted.iron_chestplate: #6, 10(7%)
minecraft.used.cobblestone_wall: #6, 638(6%)
minecraft.picked_up.poisonous_potato: #6, 21(8%)
minecraft.crafted.diamond: #6, 3614(6%)
minecraft.picked_up.black_concrete_powder: #5, 1449(2%)
minecraft.used.tube_coral_block: #5, 15(4%)
minecraft.killed.cat: #5, 4(3%)
minecraft.picked_up.brain_coral_block: #5, 52(3%)
minecraft.mined.brain_coral_block: #5, 52(3%)
minecraft.crafted.diamond_hoe: #6, 6(6%)
minecraft.picked_up.green_stained_glass: #5, 70(3%)
minecraft.mined.soul_torch: #5, 12(4%)
minecraft.used.blue_stained_glass: #5, 358(2%)
minecraft.mined.rose_bush: #6, 74(6%)
minecraft.used.smoker: #6, 45(8%)
minecraft.picked_up.crimson_pressure_plate: #5, 1(4%)
minecraft.mined.oak_planks: #6, 601(5%)
minecraft.picked_up.trident: #6, 30(7%)
minecraft.dropped.leather_leggings: #6, 21(6%)
minecraft.dropped.oxeye_daisy: #5, 36(1%)
minecraft.mined.warped_fungus: #6, 121(6%)
minecraft.picked_up.polished_granite: #6, 371(6%)
minecraft.used.nether_gold_ore: #6, 36(9%)
minecraft.mined.dark_oak_fence: #6, 92(6%)
minecraft.mined.brown_mushroom: #6, 116(5%)
minecraft.dropped.acacia_slab: #5, 7(2%)
minecraft.mined.light_gray_wall_banner: #5, 1(3%)
minecraft.dropped.porkchop: #5, 43(1%)
minecraft.dropped.dark_oak_door: #5, 1(4%)
minecraft.picked_up.blue_stained_glass_pane: #5, 4(2%)
minecraft.mined.spruce_button: #6, 20(6%)
minecraft.crafted.light_gray_wool: #5, 62(1%)
minecraft.crafted.light_gray_banner: #5, 4(2%)
minecraft.used.acacia_pressure_plate: #5, 1(2%)
minecraft.picked_up.map: #5, 6(1%)
minecraft.picked_up.cobblestone_slab: #6, 515(5%)
minecraft.dropped.gray_shulker_box: #5, 1(1%)
minecraft.mined.iron_bars: #6, 251(5%)
minecraft.dropped.polished_blackstone_wall: #5, 4(1%)
minecraft.custom.interact_with_campfire: #5, 1(1%)
minecraft.dropped.beetroot: #5, 1(1%)
minecraft.dropped.golden_boots: #6, 23(5%)
minecraft.crafted.purple_stained_glass_pane: #5, 48(1%)
minecraft.used.purple_stained_glass_pane: #5, 42(0%)
minecraft.crafted.blue_ice: #5, 71(1%)
minecraft.dropped.granite_wall: #5, 2(0%)
minecraft.crafted.sea_lantern: #5, 35(0%)
minecraft.picked_up.warped_roots: #6, 1644(5%)
minecraft.mined.light_gray_concrete_powder: #6, 163(5%)
minecraft.mined.spruce_trapdoor: #6, 574(4%)
minecraft.dropped.leather_boots: #6, 19(5%)
minecraft.used.cooked_porkchop: #6, 625(4%)
minecraft.picked_up.chain: #6, 358(4%)
minecraft.used.cauldron: #6, 43(4%)
minecraft.crafted.paper: #6, 34089(4%)
minecraft.picked_up.stone_brick_slab: #6, 1047(4%)
minecraft.dropped.golden_chestplate: #6, 17(4%)
minecraft.dropped.cooked_beef: #6, 148(4%)
minecraft.mined.birch_fence: #6, 71(5%)
minecraft.mined.orange_tulip: #6, 44(7%)
minecraft.mined.blast_furnace: #6, 24(4%)
minecraft.picked_up.clay: #6, 642(4%)
minecraft.crafted.soul_lantern: #6, 332(5%)
minecraft.crafted.warped_fence: #6, 114(6%)
minecraft.used.map: #6, 26(5%)
minecraft.used.dark_oak_fence: #6, 333(4%)
minecraft.used.spruce_sapling: #6, 598(4%)
minecraft.used.lapis_ore: #6, 200(4%)
minecraft.used.black_stained_glass: #6, 3507(4%)
minecraft.picked_up.nether_brick_wall: #6, 154(5%)
minecraft.mined.smooth_stone: #6, 1070(3%)
minecraft.picked_up.detector_rail: #6, 17(4%)
minecraft.picked_up.soul_torch: #6, 35(4%)
minecraft.used.baked_potato: #6, 115(6%)
minecraft.crafted.andesite_stairs: #6, 106(5%)
minecraft.crafted.netherite_helmet: #6, 1(7%)
minecraft.picked_up.orange_stained_glass: #6, 212(4%)
minecraft.crafted.netherite_shovel: #6, 2(7%)
minecraft.crafted.yellow_stained_glass_pane: #6, 160(4%)
minecraft.used.brown_stained_glass_pane: #6, 35(7%)
minecraft.picked_up.stone_button: #7, 374(7%)
minecraft.picked_up.podzol: #6, 2251(3%)
minecraft.used.brick_wall: #6, 142(6%)
minecraft.picked_up.nether_gold_ore: #6, 196(3%)
minecraft.crafted.nether_brick_stairs: #6, 152(5%)
minecraft.mined.dark_oak_door: #6, 10(5%)
minecraft.killed.ravager: #6, 2(7%)
minecraft.picked_up.white_concrete: #7, 8242(7%)
minecraft.picked_up.beacon: #7, 84(7%)
minecraft.picked_up.cyan_stained_glass_pane: #6, 75(4%)
minecraft.dropped.chainmail_chestplate: #6, 4(4%)
minecraft.used.soul_torch: #6, 38(5%)
minecraft.dropped.chain: #6, 125(3%)
minecraft.crafted.conduit: #6, 1(6%)
minecraft.dropped.golden_shovel: #6, 1(6%)
minecraft.crafted.black_stained_glass_pane: #7, 1616(8%)
minecraft.used.fishing_rod: #6, 455(2%)
minecraft.used.cobblestone_slab: #7, 1623(7%)
minecraft.picked_up.iron_helmet: #7, 28(6%)
minecraft.picked_up.blue_stained_glass: #6, 69(3%)
minecraft.mined.soul_lantern: #7, 37(7%)
minecraft.picked_up.netherrack: #7, 66748(6%)
minecraft.dropped.blackstone_slab: #6, 52(4%)
minecraft.crafted.orange_bed: #6, 5(4%)
minecraft.dropped.blue_orchid: #6, 10(5%)
minecraft.custom.interact_with_beacon: #7, 97(6%)
minecraft.used.gray_concrete: #7, 14815(6%)
minecraft.used.acacia_sapling: #6, 228(4%)
minecraft.used.tube_coral: #6, 2(5%)
minecraft.dropped.netherrack: #7, 21763(6%)
minecraft.picked_up.red_stained_glass_pane: #6, 23(3%)
minecraft.crafted.acacia_door: #6, 12(4%)
minecraft.crafted.sticky_piston: #7, 514(6%)
minecraft.mined.orange_stained_glass_pane: #6, 30(3%)
minecraft.dropped.tripwire_hook: #6, 10(2%)
minecraft.used.light_gray_banner: #6, 6(3%)
minecraft.dropped.end_crystal: #6, 1(4%)
minecraft.used.polished_granite_stairs: #6, 24(3%)
minecraft.dropped.red_mushroom: #7, 67(7%)
minecraft.used.stripped_acacia_log: #6, 8(3%)
minecraft.used.granite_slab: #6, 22(3%)
minecraft.dropped.azure_bluet: #6, 28(2%)
minecraft.used.water_bucket: #7, 3540(5%)
minecraft.mined.black_concrete: #7, 2597(6%)
minecraft.dropped.lime_shulker_box: #6, 1(4%)
minecraft.dropped.yellow_banner: #6, 1(3%)
minecraft.used.polished_blackstone_brick_slab: #7, 1563(6%)
minecraft.mined.attached_melon_stem: #6, 2(3%)
minecraft.picked_up.nether_brick_fence: #7, 91(6%)
minecraft.picked_up.soul_soil: #7, 1761(5%)
minecraft.used.iron_bars: #7, 1489(5%)
minecraft.dropped.ghast_tear: #6, 6(1%)
minecraft.picked_up.mossy_cobblestone_stairs: #6, 4(2%)
minecraft.custom.interact_with_blast_furnace: #7, 108(5%)
minecraft.dropped.nether_brick_stairs: #6, 5(3%)
minecraft.used.brain_coral: #6, 1(3%)
minecraft.used.lily_pad: #7, 11(8%)
minecraft.dropped.spruce_fence: #6, 44(1%)
minecraft.dropped.beetroot_seeds: #6, 10(2%)
minecraft.used.prismarine_stairs: #6, 23(2%)
minecraft.dropped.fire_charge: #6, 13(2%)
minecraft.picked_up.acacia_sapling: #7, 486(6%)
minecraft.mined.iron_trapdoor: #7, 288(5%)
minecraft.picked_up.spruce_sapling: #7, 868(5%)
minecraft.dropped.coal_ore: #7, 427(6%)
minecraft.used.prismarine: #6, 289(1%)
minecraft.mined.tube_coral_block: #6, 20(1%)
minecraft.crafted.birch_stairs: #7, 380(6%)
minecraft.picked_up.tube_coral_block: #6, 19(1%)
minecraft.used.black_stained_glass_pane: #7, 1073(6%)
minecraft.mined.bone_block: #7, 403(5%)
minecraft.dropped.wither_rose: #6, 9(1%)
minecraft.picked_up.cyan_banner: #6, 2(2%)
minecraft.crafted.polished_diorite_slab: #6, 30(1%)
minecraft.mined.prismarine: #6, 164(1%)
minecraft.mined.prismarine_bricks: #6, 179(1%)
minecraft.crafted.spruce_slab: #7, 4350(5%)
minecraft.mined.mossy_cobblestone: #7, 111(5%)
minecraft.used.crimson_pressure_plate: #6, 1(1%)
minecraft.picked_up.bubble_coral_block: #6, 13(1%)
minecraft.mined.lectern: #7, 321(4%)
minecraft.used.acacia_leaves: #6, 20(1%)
minecraft.mined.bubble_coral_block: #6, 13(1%)
minecraft.used.warped_fungus_on_a_stick: #6, 2(1%)
minecraft.used.poppy: #7, 24(6%)
minecraft.picked_up.lectern: #7, 321(4%)
minecraft.killed.guardian: #6, 204(0%)
minecraft.used.lectern: #7, 337(4%)
minecraft.used.filled_map: #6, 1(1%)
minecraft.dropped.warped_slab: #6, 3(1%)
minecraft.dropped.red_mushroom_block: #6, 10(0%)
minecraft.used.spruce_trapdoor: #7, 1888(4%)
minecraft.mined.cobblestone_wall: #7, 99(5%)
minecraft.used.light_gray_concrete: #7, 3129(5%)
minecraft.mined.mushroom_stem: #7, 514(4%)
minecraft.mined.soul_soil: #7, 1724(4%)
minecraft.mined.netherrack: #7, 92828(4%)
minecraft.used.polished_blackstone: #7, 1810(4%)
minecraft.used.white_concrete_powder: #7, 12693(4%)
minecraft.dropped.golden_leggings: #7, 20(5%)
minecraft.picked_up.spruce_fence: #7, 447(4%)
minecraft.dropped.leather_chestplate: #7, 17(4%)
minecraft.crafted.iron_block: #7, 9123(4%)
minecraft.crafted.birch_fence: #7, 189(5%)
minecraft.crafted.iron_trapdoor: #7, 1219(4%)
minecraft.mined.cobweb: #7, 304(4%)
minecraft.picked_up.mossy_stone_bricks: #7, 68(4%)
minecraft.used.detector_rail: #7, 21(4%)
minecraft.used.vine: #7, 113(4%)
minecraft.dropped.poisonous_potato: #7, 7(7%)
minecraft.crafted.blackstone_wall: #7, 126(5%)
minecraft.picked_up.gray_concrete: #7, 5476(4%)
minecraft.custom.damage_resisted: #7, 11847(4%)
minecraft.mined.acacia_trapdoor: #7, 86(5%)
minecraft.crafted.orange_stained_glass: #7, 904(5%)
minecraft.crafted.iron_boots: #7, 8(4%)
minecraft.used.snowball: #7, 514(4%)
minecraft.used.gray_concrete_powder: #7, 10797(3%)
minecraft.crafted.blue_wool: #7, 86(6%)
minecraft.picked_up.stripped_warped_stem: #7, 117(5%)
minecraft.crafted.oak_trapdoor: #7, 298(4%)
minecraft.picked_up.spruce_button: #7, 46(4%)
minecraft.picked_up.blast_furnace: #7, 24(4%)
minecraft.mined.blackstone: #7, 9215(3%)
minecraft.mined.stripped_warped_stem: #7, 118(5%)
minecraft.picked_up.blackstone: #7, 9256(3%)
minecraft.mined.spruce_sign: #7, 9(4%)
minecraft.used.polished_blackstone_stairs: #7, 401(4%)
minecraft.used.stripped_birch_log: #7, 119(4%)
minecraft.mined.stripped_acacia_log: #7, 20(4%)
minecraft.picked_up.golden_sword: #7, 135(3%)
minecraft.crafted.coarse_dirt: #7, 2368(3%)
minecraft.used.fire_coral_fan: #7, 9(6%)
minecraft.killed.skeleton: #7, 4746(3%)
minecraft.mined.podzol: #7, 2371(3%)
minecraft.picked_up.brown_mushroom_block: #7, 1837(4%)
minecraft.picked_up.stripped_birch_log: #7, 179(4%)
minecraft.used.gray_carpet: #7, 1251(3%)
minecraft.dropped.chainmail_helmet: #7, 5(4%)
minecraft.crafted.oak_door: #7, 15(3%)
minecraft.crafted.stone_slab: #8, 4758(7%)
minecraft.mined.stripped_birch_log: #7, 179(3%)
minecraft.used.nether_brick_stairs: #7, 264(4%)
minecraft.picked_up.cooked_porkchop: #7, 345(3%)
minecraft.crafted.spruce_boat: #7, 7(4%)
minecraft.picked_up.stripped_acacia_log: #7, 20(4%)
minecraft.mined.crying_obsidian: #7, 33(3%)
minecraft.dropped.rail: #7, 146(3%)
minecraft.dropped.spruce_button: #7, 19(4%)
minecraft.crafted.dark_oak_fence: #7, 255(3%)
minecraft.crafted.acacia_boat: #7, 2(5%)
minecraft.crafted.hay_block: #7, 229(3%)
minecraft.mined.dark_oak_button: #7, 2(5%)
minecraft.crafted.chest: #8, 4487(6%)
minecraft.picked_up.charcoal: #7, 24(3%)
minecraft.mined.black_wall_banner: #7, 13(4%)
minecraft.dropped.potion: #7, 106(3%)
minecraft.used.black_banner: #7, 32(4%)
minecraft.used.polished_granite_slab: #7, 37(4%)
minecraft.crafted.dark_prismarine_slab: #7, 306(5%)
minecraft.dropped.activator_rail: #7, 1(6%)
minecraft.used.warped_fence: #7, 55(3%)
minecraft.used.acacia_door: #7, 11(5%)
minecraft.used.bone_block: #7, 881(2%)
minecraft.picked_up.blue_shulker_box: #7, 44(2%)
minecraft.dropped.coarse_dirt: #7, 141(2%)
minecraft.used.blue_shulker_box: #7, 43(2%)
minecraft.mined.blue_shulker_box: #7, 44(2%)
minecraft.picked_up.crimson_fence_gate: #7, 4(4%)
minecraft.used.cobweb: #7, 57(2%)
minecraft.crafted.white_carpet: #8, 2250(6%)
minecraft.crafted.smooth_quartz_stairs: #7, 367(3%)
minecraft.picked_up.dandelion: #7, 579(2%)
minecraft.dropped.cobblestone_slab: #7, 86(2%)
minecraft.crafted.blue_stained_glass: #7, 472(3%)
minecraft.crafted.polished_blackstone_brick_slab: #7, 180(2%)
minecraft.mined.dirt: #8, 65993(5%)
minecraft.crafted.acacia_stairs: #7, 72(3%)
minecraft.used.orange_stained_glass: #7, 353(2%)
minecraft.picked_up.bone_block: #8, 842(6%)
minecraft.picked_up.grindstone: #7, 38(2%)
minecraft.used.red_stained_glass_pane: #7, 63(3%)
minecraft.mined.mossy_stone_brick_slab: #7, 1(4%)
minecraft.used.acacia_fence_gate: #7, 17(4%)
minecraft.used.sea_pickle: #7, 65(2%)
minecraft.used.conduit: #7, 2(5%)
minecraft.picked_up.seagrass: #7, 178(2%)
minecraft.broken.iron_hoe: #7, 1(4%)
minecraft.dropped.slime_block: #7, 64(2%)
minecraft.used.written_book: #7, 572(1%)
minecraft.crafted.glowstone: #7, 564(1%)
minecraft.crafted.redstone: #8, 15321(5%)
minecraft.mined.brown_stained_glass: #7, 9(2%)
minecraft.mined.white_concrete_powder: #7, 80(1%)
minecraft.used.green_stained_glass: #7, 174(2%)
minecraft.dropped.spruce_stairs: #7, 34(2%)
minecraft.mined.horn_coral_block: #7, 30(2%)
minecraft.crafted.dropper: #8, 473(5%)
minecraft.picked_up.horn_coral_block: #7, 29(2%)
minecraft.used.cyan_banner: #7, 5(2%)
minecraft.mined.light_gray_wool: #7, 40(1%)
minecraft.dropped.spectral_arrow: #7, 47(1%)
minecraft.killed.blaze: #7, 418(1%)
minecraft.dropped.spruce_sign: #7, 18(1%)
minecraft.picked_up.phantom_membrane: #7, 57(1%)
minecraft.picked_up.orange_stained_glass_pane: #7, 30(1%)
minecraft.dropped.stone_axe: #7, 3(1%)
minecraft.picked_up.stone: #8, 161266(5%)
minecraft.dropped.golden_apple: #7, 5(1%)
minecraft.used.magma_block: #8, 3241(5%)
minecraft.crafted.acacia_fence_gate: #7, 8(2%)
minecraft.dropped.lily_pad: #7, 3(2%)
minecraft.dropped.wooden_sword: #7, 2(1%)
minecraft.picked_up.dark_oak_pressure_plate: #7, 1(2%)
minecraft.dropped.rose_bush: #7, 61(1%)
minecraft.broken.stone_pickaxe: #7, 2(1%)
minecraft.crafted.torch: #8, 12544(5%)
minecraft.mined.soul_wall_torch: #7, 2(1%)
minecraft.dropped.cornflower: #7, 22(1%)
minecraft.picked_up.prismarine: #7, 189(1%)
minecraft.dropped.clay: #7, 5(1%)
minecraft.picked_up.prismarine_bricks: #7, 178(1%)
minecraft.used.crimson_fence_gate: #7, 2(1%)
minecraft.mined.black_banner: #7, 1(2%)
minecraft.picked_up.iron_ingot: #7, 4143(0%)
minecraft.picked_up.yellow_glazed_terracotta: #7, 12(1%)
minecraft.used.iron_trapdoor: #8, 1386(5%)
minecraft.custom.tune_noteblock: #7, 2171(0%)
minecraft.picked_up.fire_coral_block: #7, 11(0%)
minecraft.mined.yellow_glazed_terracotta: #7, 6(1%)
minecraft.mined.stripped_acacia_wood: #7, 1(1%)
minecraft.mined.fire_coral_block: #7, 11(0%)
minecraft.dropped.birch_stairs: #7, 2(1%)
minecraft.dropped.polished_basalt: #7, 3(0%)
minecraft.used.fire_coral_block: #7, 1(0%)
minecraft.used.chain: #8, 562(4%)
minecraft.crafted.dark_oak_planks: #8, 8792(4%)
minecraft.dropped.diorite_slab: #7, 1(0%)
minecraft.custom.walk_one_cm: #9, 180396148(5%)
minecraft.used.netherite_shovel: #8, 122992(5%)
minecraft.used.oak_trapdoor: #8, 326(4%)
minecraft.crafted.white_concrete_powder: #8, 12544(4%)
minecraft.picked_up.warped_stairs: #8, 38(5%)
minecraft.used.shroomlight: #8, 346(4%)
minecraft.crafted.spruce_trapdoor: #8, 1426(4%)
minecraft.used.mossy_cobblestone: #8, 123(5%)
minecraft.dropped.spruce_planks: #8, 188(4%)
minecraft.crafted.cooked_beef: #8, 519(3%)
minecraft.picked_up.black_concrete: #8, 1541(3%)
minecraft.used.warped_trapdoor: #8, 153(4%)
minecraft.picked_up.baked_potato: #8, 45(6%)
minecraft.picked_up.birch_fence: #8, 71(4%)
minecraft.crafted.dark_oak_slab: #8, 1264(3%)
minecraft.crafted.gray_concrete_powder: #8, 11352(4%)
minecraft.custom.interact_with_lectern: #8, 310(3%)
minecraft.crafted.black_shulker_box: #8, 8(4%)
minecraft.used.firework_rocket: #8, 751(3%)
minecraft.picked_up.dark_oak_trapdoor: #8, 189(3%)
minecraft.picked_up.spruce_trapdoor: #8, 623(3%)
minecraft.crafted.red_shulker_box: #8, 8(3%)
minecraft.picked_up.acacia_trapdoor: #8, 83(4%)
minecraft.used.tube_coral_fan: #8, 4(5%)
minecraft.dropped.iron_leggings: #8, 6(4%)
minecraft.dropped.jungle_planks: #8, 68(3%)
minecraft.mined.cyan_concrete: #8, 969(3%)
minecraft.used.egg: #8, 259(3%)
minecraft.mined.gray_carpet: #8, 124(3%)
minecraft.crafted.gray_carpet: #8, 1068(3%)
minecraft.dropped.leather_helmet: #8, 20(3%)
minecraft.mined.cyan_terracotta: #8, 1222(2%)
minecraft.dropped.sandstone: #8, 377(3%)
minecraft.crafted.crimson_slab: #8, 192(3%)
minecraft.used.nether_wart_block: #8, 404(3%)
minecraft.dropped.nether_quartz_ore: #8, 41(3%)
minecraft.picked_up.cauldron: #8, 20(3%)
minecraft.used.blue_wool: #8, 65(3%)
minecraft.used.green_terracotta: #8, 296(3%)
minecraft.dropped.nether_gold_ore: #8, 35(3%)
minecraft.used.tropical_fish_bucket: #8, 11(4%)
minecraft.dropped.lever: #8, 26(2%)
minecraft.picked_up.stone_axe: #8, 2(3%)
minecraft.crafted.black_banner: #8, 33(3%)
minecraft.picked_up.mushroom_stem: #8, 504(2%)
minecraft.crafted.detector_rail: #8, 30(3%)
minecraft.crafted.spruce_button: #8, 77(2%)
minecraft.picked_up.dark_oak_fence: #8, 92(2%)
minecraft.picked_up.red_stained_glass: #8, 114(2%)
minecraft.crafted.diorite_wall: #8, 60(4%)
minecraft.used.horn_coral_fan: #8, 5(3%)
minecraft.used.cyan_terracotta: #8, 4124(2%)
minecraft.crafted.firework_rocket: #8, 17172(2%)
minecraft.crafted.name_tag: #8, 53(2%)
minecraft.picked_up.orange_tulip: #8, 44(3%)
minecraft.picked_up.light_gray_banner: #8, 3(3%)
minecraft.crafted.bone_block: #8, 2524(1%)
minecraft.picked_up.acacia_sign: #8, 18(2%)
minecraft.mined.magenta_stained_glass: #8, 7(2%)
minecraft.used.tnt: #8, 913(1%)
minecraft.used.stone_hoe: #8, 159(2%)
minecraft.mined.mossy_cobblestone_slab: #8, 3(3%)
minecraft.killed.bee: #8, 7(2%)
minecraft.used.red_nether_brick_stairs: #8, 24(3%)
minecraft.picked_up.blue_orchid: #8, 81(1%)
minecraft.used.minecart: #9, 181(5%)
minecraft.mined.acacia_leaves: #8, 414(1%)
minecraft.used.granite_stairs: #8, 16(2%)
minecraft.used.warped_fungus: #8, 105(1%)
minecraft.picked_up.quartz_stairs: #8, 94(1%)
minecraft.custom.open_barrel: #9, 8906(5%)
minecraft.used.grindstone: #8, 44(1%)
minecraft.mined.quartz_stairs: #8, 94(1%)
minecraft.dropped.soul_torch: #8, 2(2%)
minecraft.mined.acacia_wall_sign: #8, 10(1%)
minecraft.picked_up.oxeye_daisy: #8, 160(1%)
minecraft.picked_up.music_disc_ward: #8, 1(2%)
minecraft.crafted.brown_stained_glass: #8, 56(1%)
minecraft.picked_up.orange_dye: #8, 33(1%)
minecraft.crafted.wooden_sword: #8, 2(1%)
minecraft.crafted.smoker: #8, 11(1%)
minecraft.picked_up.acacia_leaves: #8, 87(1%)
minecraft.dropped.oak_door: #8, 2(1%)
minecraft.used.red_stained_glass: #8, 226(1%)
minecraft.crafted.iron_leggings: #9, 8(5%)
minecraft.crafted.gray_wool: #8, 28(1%)
minecraft.picked_up.yellow_banner: #8, 1(1%)
minecraft.used.light_gray_wool: #8, 118(1%)
minecraft.crafted.soul_campfire: #8, 8(1%)
minecraft.crafted.pumpkin_pie: #8, 128(1%)
minecraft.used.spruce_leaves: #8, 263(0%)
minecraft.used.rose_bush: #8, 13(0%)
minecraft.mined.stone_brick_slab: #9, 601(5%)
minecraft.dropped.jack_o_lantern: #8, 1(1%)
minecraft.dropped.podzol: #8, 19(0%)
minecraft.dropped.blue_stained_glass: #8, 1(1%)
minecraft.picked_up.blue_concrete_powder: #8, 35(0%)
minecraft.used.dark_prismarine_stairs: #8, 8(0%)
minecraft.crafted.melon: #8, 566(0%)
minecraft.crafted.stone_brick_stairs: #9, 498(5%)
minecraft.crafted.stone_pressure_plate: #9, 136(4%)
minecraft.picked_up.prismarine_shard: #8, 79(0%)
minecraft.picked_up.dark_prismarine_stairs: #8, 1(0%)
minecraft.mined.dark_prismarine_stairs: #8, 1(0%)
minecraft.used.acacia_wood: #8, 12(0%)
minecraft.crafted.glistering_melon_slice: #8, 24(0%)
minecraft.dropped.polished_diorite: #8, 2(0%)
minecraft.dropped.blackstone_wall: #8, 1(0%)
minecraft.killed.evoker: #8, 2(0%)
minecraft.picked_up.iron_trapdoor: #9, 293(5%)
minecraft.used.dark_oak_log: #9, 1258(4%)
minecraft.used.spruce_sign: #9, 90(4%)
minecraft.mined.magma_block: #9, 3564(4%)
minecraft.picked_up.dirt: #9, 55582(3%)
minecraft.mined.spruce_wall_sign: #9, 16(4%)
minecraft.crafted.stick: #9, 24440(4%)
minecraft.mined.rail: #9, 1164(4%)
minecraft.mined.white_stained_glass_pane: #9, 89(4%)
minecraft.picked_up.lapis_ore: #9, 317(4%)
minecraft.picked_up.twisting_vines: #9, 137(4%)
minecraft.picked_up.oak_planks: #9, 661(4%)
minecraft.mined.clay: #9, 853(3%)
minecraft.used.composter: #9, 87(4%)
minecraft.crafted.warped_planks: #9, 1516(4%)
minecraft.used.cracked_stone_bricks: #9, 248(3%)
minecraft.crafted.iron_sword: #9, 12(3%)
minecraft.mined.lapis_ore: #9, 566(3%)
minecraft.mined.diamond_block: #9, 260(3%)
minecraft.mined.cyan_carpet: #9, 39(4%)
minecraft.picked_up.gray_carpet: #9, 371(3%)
minecraft.used.acacia_trapdoor: #9, 333(4%)
minecraft.used.nether_brick_slab: #9, 596(3%)
minecraft.picked_up.lily_pad: #9, 102(3%)
minecraft.used.carrot: #9, 854(3%)
minecraft.used.bone_meal: #9, 8873(3%)
minecraft.mined.smooth_quartz_slab: #9, 280(3%)
minecraft.dropped.wooden_pickaxe: #9, 1(5%)
minecraft.dropped.minecart: #9, 26(3%)
minecraft.crafted.golden_helmet: #9, 4(3%)
minecraft.crafted.black_stained_glass: #9, 2600(3%)
minecraft.mined.cyan_wool: #9, 21(3%)
minecraft.used.birch_log: #9, 456(2%)
minecraft.used.cyan_concrete: #9, 777(2%)
minecraft.dropped.red_banner: #9, 1(5%)
minecraft.used.mossy_cobblestone_slab: #9, 30(4%)
minecraft.picked_up.cyan_carpet: #9, 60(3%)
minecraft.crafted.stone_sword: #9, 2(3%)
minecraft.mined.wither_rose: #9, 33(3%)
minecraft.used.cyan_stained_glass_pane: #9, 81(3%)
minecraft.crafted.tripwire_hook: #9, 74(2%)
minecraft.crafted.acacia_trapdoor: #9, 250(3%)
minecraft.picked_up.fishing_rod: #9, 6(2%)
minecraft.dropped.oak_stairs: #9, 4(3%)
minecraft.used.acacia_sign: #9, 30(2%)
minecraft.dropped.chainmail_boots: #9, 4(3%)
minecraft.dropped.mutton: #9, 18(2%)
minecraft.used.red_mushroom: #9, 18(2%)
minecraft.used.purple_carpet: #9, 102(2%)
minecraft.used.armor_stand: #9, 83(2%)
minecraft.picked_up.carved_pumpkin: #9, 93(2%)
minecraft.crafted.purple_carpet: #9, 123(2%)
minecraft.used.dead_bush: #9, 26(2%)
minecraft.custom.interact_with_smoker: #9, 48(2%)
minecraft.mined.smooth_sandstone_slab: #9, 114(2%)
minecraft.picked_up.dark_oak_door: #9, 12(3%)
minecraft.mined.dark_oak_log: #9, 1258(2%)
minecraft.mined.birch_button: #9, 2(3%)
minecraft.picked_up.polished_blackstone_brick_slab: #9, 103(2%)
minecraft.killed.phantom: #9, 48(1%)
minecraft.crafted.quartz_block: #9, 3023(1%)
minecraft.picked_up.smooth_sandstone_slab: #9, 114(2%)
minecraft.picked_up.arrow: #10, 4761(5%)
minecraft.dropped.crimson_fungus: #9, 14(2%)
minecraft.used.glowstone: #9, 256(1%)
minecraft.killed.chicken: #9, 46(1%)
minecraft.picked_up.netherite_hoe: #9, 3(2%)
minecraft.crafted.red_stained_glass: #9, 496(1%)
