stat, rank, value, (percentage) 
minecraft.dropped.horn_coral: #3, 1(3%)
minecraft.picked_up.pink_stained_glass: #3, 7(1%)
minecraft.dropped.fire_coral: #3, 1(2%)
minecraft.used.black_glazed_terracotta: #4, 132(12%)
minecraft.picked_up.diamond_ore: #5, 2095(9%)
minecraft.dropped.cookie: #4, 180(6%)
minecraft.crafted.spectral_arrow: #3, 4(0%)
minecraft.picked_up.slime_ball: #5, 4200(9%)
minecraft.dropped.dark_oak_leaves: #4, 28(9%)
minecraft.mined.activator_rail: #4, 6(10%)
minecraft.picked_up.dark_oak_leaves: #4, 460(6%)
minecraft.picked_up.melon_seeds: #5, 81(9%)
minecraft.used.sticky_piston: #5, 858(8%)
minecraft.used.dark_oak_leaves: #4, 282(6%)
minecraft.used.powered_rail: #5, 2038(7%)
minecraft.used.jungle_boat: #5, 46(9%)
minecraft.picked_up.activator_rail: #4, 10(5%)
minecraft.killed.snow_golem: #4, 49(6%)
minecraft.picked_up.jungle_boat: #5, 46(9%)
minecraft.crafted.netherite_shovel: #4, 2(7%)
minecraft.crafted.netherite_axe: #4, 1(8%)
minecraft.picked_up.mutton: #5, 399(7%)
minecraft.dropped.tube_coral_fan: #4, 1(11%)
minecraft.dropped.wooden_pickaxe: #4, 1(5%)
minecraft.used.activator_rail: #5, 12(11%)
minecraft.crafted.popped_chorus_fruit: #4, 23(6%)
minecraft.dropped.wooden_axe: #4, 1(7%)
minecraft.picked_up.slime_block: #5, 923(7%)
minecraft.mined.lime_stained_glass: #5, 261(8%)
minecraft.broken.stone_sword: #4, 1(8%)
minecraft.mined.blue_concrete_powder: #4, 8(4%)
minecraft.killed_by.zombie: #5, 5(7%)
minecraft.crafted.suspicious_stew: #4, 6(4%)
minecraft.picked_up.detector_rail: #5, 30(7%)
minecraft.used.red_sandstone_wall: #4, 16(5%)
minecraft.used.cooked_porkchop: #5, 820(5%)
minecraft.custom.bell_ring: #5, 96(6%)
minecraft.dropped.cake: #4, 1(2%)
minecraft.mined.purple_stained_glass_pane: #4, 15(1%)
minecraft.custom.tune_noteblock: #4, 3725(1%)
minecraft.picked_up.purple_stained_glass_pane: #4, 15(1%)
minecraft.mined.carrots: #5, 1154(5%)
minecraft.used.dead_brain_coral_fan: #4, 1(1%)
minecraft.custom.interact_with_campfire: #4, 1(1%)
minecraft.mined.detector_rail: #5, 15(6%)
minecraft.picked_up.red_sandstone_wall: #4, 1(1%)
minecraft.killed.vindicator: #4, 34(0%)
minecraft.mined.melon_stem: #5, 13(6%)
minecraft.crafted.sea_lantern: #4, 40(0%)
minecraft.crafted.birch_pressure_plate: #5, 16(7%)
minecraft.crafted.diorite_wall: #5, 136(8%)
minecraft.dropped.trident: #5, 4(7%)
minecraft.mined.white_bed: #5, 133(4%)
minecraft.picked_up.spruce_boat: #5, 24(5%)
minecraft.picked_up.netherite_chestplate: #5, 3(7%)
minecraft.used.brown_concrete_powder: #5, 900(4%)
minecraft.dropped.cobblestone: #6, 16528(8%)
minecraft.used.pink_bed: #5, 13(5%)
minecraft.crafted.netherite_boots: #5, 1(5%)
minecraft.used.stone_sword: #5, 98(4%)
minecraft.mined.polished_blackstone_button: #5, 7(4%)
minecraft.mined.crimson_roots: #6, 264(7%)
minecraft.dropped.sponge: #5, 27(7%)
minecraft.killed.ravager: #5, 2(7%)
minecraft.crafted.netherite_sword: #5, 1(5%)
minecraft.picked_up.leather_helmet: #6, 101(7%)
minecraft.used.spruce_wood: #5, 195(3%)
minecraft.dropped.dark_oak_sapling: #5, 27(5%)
minecraft.killed.vex: #5, 7(4%)
minecraft.used.pink_banner: #5, 4(7%)
minecraft.picked_up.acacia_boat: #5, 4(4%)
minecraft.dropped.andesite: #6, 2980(6%)
minecraft.mined.lever: #6, 104(6%)
minecraft.crafted.pink_banner: #5, 4(8%)
minecraft.used.respawn_anchor: #5, 19(5%)
minecraft.picked_up.wooden_axe: #5, 1(7%)
minecraft.crafted.white_bed: #6, 33(6%)
minecraft.used.purple_stained_glass: #5, 350(3%)
minecraft.crafted.sticky_piston: #6, 532(6%)
minecraft.used.birch_boat: #6, 26(7%)
minecraft.mined.cake: #5, 1(3%)
minecraft.dropped.bubble_coral_fan: #5, 1(3%)
minecraft.used.cobblestone_stairs: #6, 209(5%)
minecraft.crafted.warped_fungus_on_a_stick: #5, 1(3%)
minecraft.dropped.cyan_concrete: #5, 10(2%)
minecraft.crafted.honey_block: #5, 272(2%)
minecraft.mined.cobblestone_wall: #6, 110(5%)
minecraft.dropped.brain_coral: #5, 1(2%)
minecraft.broken.iron_pickaxe: #6, 16(5%)
minecraft.dropped.pufferfish_bucket: #5, 1(1%)
minecraft.dropped.polished_blackstone_button: #5, 4(1%)
minecraft.picked_up.dead_brain_coral_fan: #5, 1(1%)
minecraft.crafted.red_wool: #6, 159(6%)
minecraft.picked_up.honeycomb: #5, 102(0%)
minecraft.picked_up.wooden_shovel: #5, 1(1%)
minecraft.used.light_gray_concrete: #6, 3172(5%)
minecraft.custom.raid_trigger: #5, 2(0%)
minecraft.custom.horse_one_cm: #6, 535198(4%)
minecraft.crafted.oak_boat: #6, 15(4%)
minecraft.crafted.slime_block: #6, 2314(4%)
minecraft.crafted.glass_bottle: #6, 1155(4%)
minecraft.picked_up.stone_brick_wall: #6, 131(5%)
minecraft.picked_up.golden_sword: #6, 145(4%)
minecraft.used.melon_seeds: #6, 83(4%)
minecraft.mined.crying_obsidian: #6, 41(4%)
minecraft.killed_by.skeleton: #6, 4(4%)
minecraft.used.minecart: #7, 243(7%)
minecraft.mined.black_glazed_terracotta: #6, 36(8%)
minecraft.broken.fishing_rod: #6, 2(5%)
minecraft.used.tube_coral_fan: #6, 4(5%)
minecraft.picked_up.black_glazed_terracotta: #6, 50(5%)
minecraft.mined.pink_bed: #6, 3(4%)
minecraft.used.birch_pressure_plate: #6, 11(4%)
minecraft.picked_up.pink_bed: #6, 3(4%)
minecraft.dropped.diorite_wall: #6, 9(6%)
minecraft.picked_up.wooden_pickaxe: #6, 1(6%)
minecraft.killed.wolf: #6, 3(4%)
minecraft.dropped.lapis_lazuli: #6, 109(3%)
minecraft.picked_up.polished_blackstone_button: #6, 11(3%)
minecraft.dropped.white_bed: #6, 3(4%)
minecraft.used.nether_quartz_ore: #7, 1572(7%)
minecraft.picked_up.acacia_fence: #6, 12(4%)
minecraft.picked_up.diamond_boots: #7, 56(6%)
minecraft.dropped.lime_stained_glass: #6, 47(4%)
minecraft.crafted.spruce_wood: #6, 213(3%)
minecraft.used.nether_brick_fence: #6, 58(3%)
minecraft.picked_up.lead: #7, 252(6%)
minecraft.mined.infested_stone: #6, 30(3%)
minecraft.killed.creeper: #7, 552(6%)
minecraft.broken.golden_helmet: #6, 1(3%)
minecraft.used.suspicious_stew: #6, 1(3%)
minecraft.mined.dark_oak_sapling: #6, 9(3%)
minecraft.picked_up.pufferfish_bucket: #6, 2(3%)
minecraft.dropped.cobblestone_wall: #6, 43(1%)
minecraft.picked_up.birch_boat: #7, 25(6%)
minecraft.mined.spawner: #6, 2(2%)
minecraft.broken.stone_pickaxe: #6, 3(1%)
minecraft.used.observer: #7, 1189(5%)
minecraft.mined.composter: #7, 52(5%)
minecraft.used.quartz_stairs: #6, 260(1%)
minecraft.dropped.diorite: #7, 3600(5%)
minecraft.dropped.dark_oak_slab: #6, 65(1%)
minecraft.picked_up.sticky_piston: #7, 274(5%)
minecraft.dropped.sugar: #6, 100(1%)
minecraft.dropped.cut_sandstone: #6, 21(1%)
minecraft.crafted.torch: #7, 12685(5%)
minecraft.dropped.honey_bottle: #6, 1(1%)
minecraft.mined.diamond_ore: #7, 2087(5%)
minecraft.crafted.pink_stained_glass: #6, 24(1%)
minecraft.dropped.prismarine_shard: #6, 106(1%)
minecraft.dropped.jack_o_lantern: #6, 1(1%)
minecraft.dropped.purple_concrete: #6, 2(1%)
minecraft.dropped.dark_oak_wood: #6, 4(1%)
minecraft.crafted.andesite: #6, 222(1%)
minecraft.crafted.mossy_cobblestone_wall: #6, 6(1%)
minecraft.dropped.polished_blackstone_pressure_plate: #6, 1(0%)
minecraft.dropped.andesite_stairs: #6, 6(0%)
minecraft.used.purple_stained_glass_pane: #6, 15(0%)
minecraft.dropped.armor_stand: #7, 13(5%)
minecraft.killed.witch: #6, 24(0%)
minecraft.killed.evoker: #6, 2(0%)
minecraft.used.white_bed: #7, 157(4%)
minecraft.picked_up.composter: #7, 51(4%)
minecraft.picked_up.white_bed: #7, 135(4%)
minecraft.used.carrot: #7, 1155(4%)
minecraft.used.diorite: #7, 847(3%)
minecraft.mined.andesite_wall: #7, 87(5%)
minecraft.picked_up.bucket: #7, 87(4%)
minecraft.mined.red_concrete: #7, 757(4%)
minecraft.crafted.netherite_pickaxe: #7, 3(5%)
minecraft.custom.eat_cake_slice: #7, 9(4%)
minecraft.used.melon: #7, 72(4%)
minecraft.used.chiseled_stone_bricks: #7, 125(3%)
minecraft.crafted.chiseled_polished_blackstone: #7, 105(5%)
minecraft.used.bubble_coral_fan: #7, 6(5%)
minecraft.picked_up.light_gray_stained_glass: #7, 260(3%)
minecraft.dropped.end_stone: #7, 63(3%)
minecraft.used.red_concrete: #7, 638(2%)
minecraft.used.pufferfish_bucket: #7, 5(3%)
minecraft.dropped.iron_hoe: #7, 1(3%)
minecraft.dropped.quartz_block: #7, 194(3%)
minecraft.crafted.jukebox: #7, 2(2%)
minecraft.used.stone_pickaxe: #7, 512(2%)
minecraft.picked_up.polished_blackstone_pressure_plate: #7, 8(2%)
minecraft.used.acacia_boat: #7, 3(2%)
minecraft.used.fire_coral: #7, 1(3%)
minecraft.dropped.polished_blackstone_brick_slab: #7, 10(2%)
minecraft.dropped.black_shulker_box: #7, 1(2%)
minecraft.used.tube_coral: #7, 1(2%)
minecraft.dropped.lava_bucket: #7, 2(2%)
minecraft.dropped.cooked_porkchop: #7, 234(1%)
minecraft.dropped.diamond_chestplate: #7, 1(1%)
minecraft.mined.tube_coral: #7, 7(1%)
minecraft.mined.horn_coral_fan: #7, 6(1%)
minecraft.crafted.cookie: #7, 180(2%)
minecraft.dropped.polished_andesite_stairs: #7, 37(1%)
minecraft.used.music_disc_cat: #7, 2(1%)
minecraft.dropped.jungle_door: #7, 1(2%)
minecraft.crafted.piston: #8, 897(5%)
minecraft.dropped.stripped_oak_log: #7, 2(1%)
minecraft.mined.fire_coral: #7, 7(1%)
minecraft.used.experience_bottle: #7, 53(1%)
minecraft.used.cobblestone: #8, 9380(5%)
minecraft.mined.nether_quartz_ore: #8, 5299(5%)
minecraft.used.pink_carpet: #7, 27(1%)
minecraft.dropped.orange_concrete: #7, 2(1%)
minecraft.picked_up.fire_coral: #7, 2(1%)
minecraft.dropped.diamond_block: #8, 141(5%)
minecraft.crafted.bell: #7, 8(1%)
minecraft.mined.tube_coral_fan: #7, 3(1%)
minecraft.killed.zombified_piglin: #7, 2517(0%)
minecraft.crafted.quartz_pillar: #7, 224(1%)
minecraft.dropped.acacia_leaves: #7, 16(1%)
minecraft.dropped.sandstone_stairs: #7, 3(1%)
minecraft.mined.stripped_dark_oak_wood: #7, 6(0%)
minecraft.dropped.light_weighted_pressure_plate: #7, 2(1%)
minecraft.crafted.end_rod: #7, 76(1%)
minecraft.killed.sheep: #8, 116(5%)
minecraft.dropped.wooden_shovel: #7, 1(0%)
minecraft.dropped.red_carpet: #7, 2(0%)
minecraft.used.stripped_dark_oak_wood: #7, 3(0%)
minecraft.custom.raid_win: #7, 1(0%)
minecraft.killed.pillager: #7, 62(0%)
minecraft.dropped.baked_potato: #7, 1(0%)
minecraft.picked_up.cooked_chicken: #8, 137(5%)
minecraft.crafted.honeycomb_block: #7, 2(0%)
minecraft.picked_up.red_concrete: #8, 752(4%)
minecraft.used.mycelium: #8, 1439(4%)
minecraft.picked_up.quartz: #8, 6502(4%)
minecraft.mined.diamond_block: #8, 302(4%)
minecraft.custom.talked_to_villager: #8, 4107(3%)
minecraft.picked_up.carrot: #8, 4211(4%)
minecraft.mined.piston: #8, 157(3%)
minecraft.picked_up.lime_stained_glass: #8, 250(4%)
minecraft.picked_up.brick: #8, 100(4%)
minecraft.picked_up.honey_block: #8, 232(3%)
minecraft.used.cauldron: #8, 33(3%)
minecraft.used.iron_pickaxe: #8, 4489(3%)
minecraft.mined.bell: #8, 9(3%)
minecraft.used.packed_ice: #8, 1038(3%)
minecraft.used.diamond_ore: #8, 584(3%)
minecraft.used.acacia_fence: #8, 32(5%)
minecraft.dropped.bamboo: #8, 658(4%)
