stat, rank, value, (percentage) 
minecraft.mined.warped_planks: #3, 126(14%)
minecraft.dropped.comparator: #2, 65(12%)
minecraft.used.mossy_stone_bricks: #3, 327(12%)
minecraft.used.magenta_glazed_terracotta: #2, 40(34%)
minecraft.picked_up.phantom_membrane: #2, 377(6%)
minecraft.picked_up.crimson_roots: #3, 2420(10%)
minecraft.picked_up.powered_rail: #3, 1627(10%)
minecraft.picked_up.green_concrete: #3, 1269(11%)
minecraft.crafted.light_gray_stained_glass: #3, 6176(15%)
minecraft.crafted.purple_bed: #2, 31(14%)
minecraft.crafted.black_concrete_powder: #3, 15936(11%)
minecraft.picked_up.composter: #3, 121(10%)
minecraft.crafted.melon: #3, 30766(15%)
minecraft.mined.infested_cobblestone: #2, 2(29%)
minecraft.used.green_concrete: #3, 1199(12%)
minecraft.used.black_concrete_powder: #3, 13540(10%)
minecraft.custom.enchant_item: #3, 329(10%)
minecraft.mined.nether_wart_block: #3, 5181(9%)
minecraft.used.dead_tube_coral_fan: #2, 2(50%)
minecraft.mined.dead_tube_coral_wall_fan: #2, 2(33%)
minecraft.used.spruce_log: #3, 2442(9%)
minecraft.picked_up.cracked_stone_bricks: #3, 371(9%)
minecraft.used.crying_obsidian: #3, 1931(12%)
minecraft.crafted.purple_banner: #2, 7(24%)
minecraft.picked_up.warped_stairs: #3, 81(10%)
minecraft.crafted.paper: #4, 107636(13%)
minecraft.mined.black_concrete: #3, 3670(8%)
minecraft.picked_up.mossy_stone_brick_slab: #3, 16(22%)
minecraft.picked_up.light_gray_carpet: #3, 1186(8%)
minecraft.used.jungle_fence: #3, 160(10%)
minecraft.crafted.pumpkin_seeds: #3, 292(10%)
minecraft.picked_up.purple_dye: #2, 119(8%)
minecraft.mined.magenta_bed: #3, 21(30%)
minecraft.picked_up.magenta_bed: #3, 21(30%)
minecraft.used.white_stained_glass: #3, 5328(7%)
minecraft.dropped.nether_wart: #3, 256(10%)
minecraft.picked_up.magenta_concrete_powder: #2, 255(4%)
minecraft.picked_up.iron_ingot: #2, 14324(1%)
minecraft.mined.magenta_glazed_terracotta: #2, 9(12%)
minecraft.picked_up.purple_concrete_powder: #2, 222(3%)
minecraft.dropped.lectern: #2, 10(4%)
minecraft.picked_up.magenta_concrete: #3, 526(8%)
minecraft.used.magenta_concrete: #3, 592(9%)
minecraft.crafted.brewing_stand: #3, 71(5%)
minecraft.used.kelp: #4, 2404(10%)
minecraft.crafted.jungle_fence: #4, 249(13%)
minecraft.dropped.cobblestone_stairs: #3, 35(7%)
minecraft.picked_up.orange_dye: #3, 183(7%)
minecraft.mined.purple_bed: #4, 40(13%)
minecraft.crafted.name_tag: #3, 149(6%)
minecraft.crafted.stone_axe: #4, 30(9%)
minecraft.killed_by.cave_spider: #3, 1(33%)
minecraft.crafted.dropper: #4, 758(8%)
minecraft.used.minecart: #4, 282(8%)
minecraft.used.stripped_spruce_log: #4, 217(9%)
minecraft.picked_up.oak_slab: #4, 632(9%)
minecraft.picked_up.golden_chestplate: #4, 35(8%)
minecraft.dropped.grindstone: #3, 22(7%)
minecraft.crafted.spruce_button: #3, 150(4%)
minecraft.crafted.quartz_stairs: #3, 724(5%)
minecraft.killed.squid: #3, 273(4%)
minecraft.used.composter: #4, 199(8%)
minecraft.crafted.painting: #4, 82(9%)
minecraft.used.bone_meal: #4, 25212(8%)
minecraft.picked_up.stripped_crimson_stem: #3, 45(8%)
minecraft.crafted.stripped_dark_oak_wood: #3, 12(14%)
minecraft.mined.green_stained_glass: #3, 125(6%)
minecraft.used.mossy_stone_brick_wall: #3, 12(16%)
minecraft.picked_up.purple_bed: #4, 42(13%)
minecraft.mined.stripped_crimson_stem: #3, 45(7%)
minecraft.used.stripped_crimson_stem: #3, 44(11%)
minecraft.mined.kelp: #4, 795(8%)
minecraft.used.birch_fence_gate: #4, 214(10%)
minecraft.picked_up.blue_stained_glass: #4, 263(11%)
minecraft.mined.stripped_spruce_log: #4, 271(8%)
minecraft.dropped.leather_chestplate: #4, 31(8%)
minecraft.mined.redstone_torch: #4, 162(7%)
minecraft.picked_up.purple_concrete: #4, 358(8%)
minecraft.mined.green_concrete: #4, 1102(9%)
minecraft.crafted.ender_pearl: #3, 12(8%)
minecraft.used.crimson_fungus: #3, 95(3%)
minecraft.picked_up.brown_stained_glass: #4, 65(12%)
minecraft.crafted.wooden_pickaxe: #4, 3(8%)
minecraft.picked_up.stripped_spruce_log: #4, 270(7%)
minecraft.dropped.light_gray_concrete: #4, 120(11%)
minecraft.picked_up.crimson_fungus: #4, 350(8%)
minecraft.picked_up.green_stained_glass: #3, 119(5%)
minecraft.used.dark_oak_planks: #4, 2718(7%)
minecraft.mined.birch_leaves: #4, 8781(7%)
minecraft.crafted.green_shulker_box: #4, 11(10%)
minecraft.picked_up.jungle_fence: #4, 75(9%)
minecraft.used.quartz_stairs: #3, 789(3%)
minecraft.dropped.leather_leggings: #4, 26(7%)
minecraft.picked_up.warped_planks: #4, 117(8%)
minecraft.used.vine: #4, 191(7%)
minecraft.picked_up.white_concrete_powder: #4, 13330(6%)
minecraft.crafted.red_wool: #4, 221(9%)
minecraft.picked_up.magenta_glazed_terracotta: #3, 7(9%)
minecraft.dropped.leather_boots: #4, 28(7%)
