stat, rank, value, (percentage) 
minecraft.used.oxeye_daisy: #7, 10(4%)
minecraft.crafted.anvil: #7, 93(2%)
minecraft.picked_up.soul_torch: #7, 21(3%)
minecraft.crafted.bread: #7, 576(2%)
minecraft.dropped.jungle_fence: #7, 16(4%)
minecraft.crafted.observer: #8, 1243(6%)
minecraft.picked_up.nether_wart: #7, 2854(2%)
minecraft.picked_up.golden_boots: #8, 28(6%)
minecraft.used.melon_slice: #7, 25(2%)
minecraft.dropped.arrow: #7, 1758(2%)
minecraft.picked_up.light_blue_terracotta: #7, 52(3%)
minecraft.killed.slime: #7, 1033(2%)
minecraft.picked_up.golden_helmet: #8, 36(6%)
minecraft.used.birch_planks: #7, 583(2%)
minecraft.used.brown_stained_glass_pane: #7, 19(4%)
minecraft.crafted.flower_pot: #7, 96(2%)
minecraft.crafted.powered_rail: #8, 1158(6%)
minecraft.used.purple_stained_glass: #7, 282(2%)
minecraft.mined.blue_stained_glass: #7, 41(2%)
minecraft.picked_up.crimson_pressure_plate: #7, 1(4%)
minecraft.killed.villager: #7, 11(2%)
minecraft.used.nether_wart: #7, 1238(1%)
minecraft.picked_up.mossy_cobblestone: #8, 195(6%)
minecraft.used.light_blue_stained_glass: #7, 579(2%)
minecraft.used.blue_banner: #7, 2(3%)
minecraft.crafted.apple: #7, 136(2%)
minecraft.dropped.lime_bed: #7, 1(3%)
minecraft.mined.brown_stained_glass_pane: #7, 2(3%)
minecraft.picked_up.blue_banner: #7, 1(3%)
minecraft.mined.wall_torch: #8, 827(5%)
minecraft.dropped.warped_sign: #7, 2(2%)
minecraft.mined.nether_wart: #7, 667(1%)
minecraft.picked_up.glowstone_dust: #8, 581(5%)
minecraft.crafted.blue_banner: #7, 1(2%)
minecraft.crafted.oak_stairs: #8, 156(5%)
minecraft.crafted.warped_button: #7, 3(1%)
minecraft.used.observer: #8, 1094(5%)
minecraft.dropped.orange_wool: #7, 6(1%)
minecraft.mined.orange_stained_glass: #7, 29(1%)
minecraft.dropped.sugar: #7, 62(1%)
minecraft.picked_up.pumpkin: #8, 1476(5%)
minecraft.picked_up.blue_concrete_powder: #7, 64(1%)
minecraft.mined.blue_carpet: #7, 12(1%)
minecraft.dropped.polished_blackstone_wall: #7, 4(1%)
minecraft.mined.cyan_stained_glass: #7, 81(0%)
minecraft.dropped.magma_cream: #8, 68(5%)
minecraft.crafted.yellow_glazed_terracotta: #7, 8(1%)
minecraft.dropped.brick: #7, 6(0%)
minecraft.used.flower_pot: #8, 102(5%)
minecraft.mined.birch_trapdoor: #8, 55(5%)
minecraft.dropped.tropical_fish: #7, 11(0%)
minecraft.used.crimson_button: #7, 2(0%)
minecraft.crafted.rail: #8, 1536(4%)
minecraft.used.dark_oak_log: #8, 1291(5%)
minecraft.mined.lantern: #8, 103(4%)
minecraft.mined.jungle_sign: #8, 5(5%)
minecraft.used.light_gray_concrete_powder: #8, 4203(4%)
minecraft.crafted.blue_dye: #8, 2421(4%)
minecraft.used.iron_door: #8, 43(4%)
minecraft.broken.flint_and_steel: #8, 4(6%)
minecraft.picked_up.diamond_ore: #8, 909(4%)
minecraft.picked_up.vine: #8, 602(4%)
minecraft.used.writable_book: #8, 152(4%)
minecraft.mined.nether_brick_fence: #8, 46(4%)
minecraft.crafted.light_gray_concrete_powder: #8, 3832(4%)
minecraft.picked_up.mossy_stone_bricks: #8, 57(3%)
minecraft.mined.nether_brick_slab: #8, 139(3%)
minecraft.used.lantern: #8, 410(3%)
minecraft.picked_up.oak_stairs: #8, 80(3%)
minecraft.picked_up.end_rod: #8, 544(3%)
minecraft.crafted.oak_fence: #8, 507(3%)
minecraft.crafted.ender_chest: #8, 26(3%)
minecraft.crafted.note_block: #8, 178(3%)
minecraft.picked_up.stripped_birch_log: #8, 161(3%)
minecraft.dropped.terracotta: #8, 188(3%)
minecraft.used.gray_stained_glass_pane: #8, 171(4%)
minecraft.mined.birch_wall_sign: #8, 44(3%)
minecraft.mined.stripped_birch_log: #8, 165(3%)
minecraft.picked_up.white_dye: #8, 277(3%)
minecraft.mined.birch_wood: #8, 7(6%)
minecraft.used.dark_oak_door: #8, 20(4%)
minecraft.dropped.rail: #8, 139(2%)
minecraft.used.green_shulker_box: #8, 54(3%)
minecraft.picked_up.enchanted_book: #8, 52(2%)
minecraft.used.birch_wood: #8, 83(5%)
minecraft.picked_up.diamond_horse_armor: #8, 2(5%)
minecraft.used.oak_log: #8, 1269(2%)
minecraft.picked_up.music_disc_13: #8, 2(3%)
minecraft.picked_up.blue_concrete: #8, 297(2%)
minecraft.picked_up.blaze_rod: #8, 436(2%)
minecraft.picked_up.flower_pot: #8, 57(2%)
minecraft.crafted.gray_shulker_box: #8, 6(2%)
minecraft.dropped.crimson_nylium: #8, 26(3%)
minecraft.used.red_carpet: #8, 415(2%)
minecraft.used.gray_stained_glass: #8, 1147(3%)
minecraft.dropped.end_rod: #8, 62(2%)
minecraft.mined.birch_planks: #8, 198(2%)
minecraft.used.warped_planks: #8, 201(3%)
minecraft.mined.vine: #9, 1649(6%)
minecraft.used.magenta_carpet: #8, 73(3%)
minecraft.mined.spruce_wood: #8, 12(2%)
minecraft.used.black_stained_glass: #8, 1560(2%)
minecraft.mined.pumpkin_stem: #8, 7(2%)
minecraft.dropped.cyan_terracotta: #8, 129(2%)
minecraft.mined.birch_door: #8, 1(4%)
minecraft.picked_up.minecart: #9, 244(5%)
minecraft.used.melon: #8, 38(2%)
minecraft.crafted.birch_wood: #8, 78(3%)
minecraft.picked_up.cornflower: #8, 341(1%)
minecraft.picked_up.spruce_pressure_plate: #8, 8(2%)
minecraft.dropped.iron_door: #8, 2(2%)
minecraft.crafted.writable_book: #8, 41(1%)
minecraft.used.spruce_fence_gate: #8, 33(1%)
minecraft.killed.magma_cube: #8, 401(1%)
minecraft.mined.light_gray_stained_glass: #8, 96(2%)
minecraft.used.lime_terracotta: #8, 89(2%)
minecraft.crafted.sponge: #8, 141(2%)
minecraft.picked_up.green_dye: #8, 298(1%)
minecraft.picked_up.sugar: #8, 62(2%)
minecraft.killed.salmon: #8, 12(1%)
minecraft.picked_up.wither_rose: #9, 390(6%)
minecraft.dropped.yellow_banner: #8, 1(3%)
minecraft.picked_up.yellow_concrete_powder: #8, 192(1%)
minecraft.picked_up.fletching_table: #8, 8(1%)
minecraft.crafted.light_gray_stained_glass_pane: #8, 352(1%)
minecraft.picked_up.lime_stained_glass_pane: #8, 18(1%)
minecraft.crafted.grindstone: #8, 36(1%)
minecraft.mined.attached_pumpkin_stem: #8, 1(2%)
minecraft.mined.pink_concrete_powder: #8, 2(2%)
minecraft.mined.red_stained_glass: #8, 24(1%)
minecraft.dropped.snow: #8, 114(1%)
minecraft.mined.magenta_carpet: #8, 5(1%)
minecraft.picked_up.glass: #9, 3813(5%)
minecraft.used.dark_oak_sapling: #8, 72(1%)
minecraft.dropped.pufferfish_bucket: #8, 1(1%)
minecraft.picked_up.jungle_log: #9, 6751(5%)
minecraft.crafted.piston: #9, 868(4%)
minecraft.custom.interact_with_brewingstand: #9, 403(4%)
minecraft.crafted.fletching_table: #8, 4(1%)
minecraft.used.crimson_pressure_plate: #8, 1(1%)
minecraft.dropped.purple_wool: #8, 10(1%)
minecraft.picked_up.light_gray_bed: #8, 3(1%)
minecraft.dropped.polished_blackstone_brick_slab: #8, 3(1%)
minecraft.picked_up.blue_carpet: #8, 12(1%)
minecraft.dropped.black_dye: #8, 5(0%)
minecraft.mined.light_gray_bed: #8, 3(1%)
minecraft.crafted.pink_wool: #8, 3(1%)
minecraft.crafted.crimson_pressure_plate: #8, 1(1%)
minecraft.dropped.chiseled_nether_bricks: #8, 1(1%)
minecraft.mined.jungle_log: #9, 6202(5%)
minecraft.crafted.brown_bed: #8, 1(0%)
minecraft.mined.yellow_stained_glass_pane: #8, 4(0%)
minecraft.dropped.coal: #9, 269(4%)
minecraft.picked_up.writable_book: #9, 18(4%)
minecraft.picked_up.chainmail_boots: #9, 6(5%)
minecraft.used.piston: #9, 597(4%)
minecraft.picked_up.crimson_stem: #9, 947(4%)
minecraft.picked_up.oak_button: #9, 15(4%)
minecraft.mined.warped_wart_block: #9, 2581(4%)
minecraft.mined.cauldron: #9, 11(4%)
minecraft.mined.dark_oak_stairs: #9, 167(4%)
minecraft.broken.iron_pickaxe: #9, 11(3%)
minecraft.crafted.wooden_hoe: #9, 2(7%)
minecraft.mined.cyan_shulker_box: #9, 85(4%)
minecraft.picked_up.cyan_shulker_box: #9, 85(4%)
minecraft.crafted.black_dye: #9, 3918(3%)
minecraft.crafted.white_dye: #9, 4733(3%)
minecraft.used.oak_fence: #9, 526(3%)
minecraft.used.cyan_shulker_box: #9, 85(4%)
minecraft.mined.warped_slab: #9, 36(4%)
minecraft.crafted.lantern: #9, 491(3%)
minecraft.mined.birch_stairs: #9, 53(4%)
minecraft.used.ender_chest: #9, 431(3%)
minecraft.used.anvil: #9, 106(3%)
minecraft.mined.ender_chest: #9, 411(3%)
minecraft.used.crimson_trapdoor: #9, 104(4%)
minecraft.crafted.composter: #9, 83(3%)
minecraft.picked_up.ender_chest: #9, 417(3%)
minecraft.picked_up.yellow_concrete: #9, 503(3%)
minecraft.picked_up.warped_wart_block: #9, 2572(3%)
minecraft.picked_up.spruce_fence_gate: #9, 31(3%)
minecraft.used.egg: #9, 249(2%)
minecraft.dropped.white_terracotta: #9, 50(3%)
minecraft.picked_up.wooden_pickaxe: #9, 1(6%)
minecraft.picked_up.azure_bluet: #9, 598(2%)
minecraft.crafted.oak_door: #9, 12(3%)
minecraft.mined.crying_obsidian: #9, 29(3%)
minecraft.dropped.jungle_planks: #9, 56(3%)
minecraft.mined.birch_sign: #9, 14(2%)
minecraft.crafted.diamond_boots: #9, 5(2%)
minecraft.crafted.iron_door: #9, 24(3%)
minecraft.picked_up.light_gray_concrete: #9, 1156(2%)
minecraft.picked_up.ink_sac: #9, 944(2%)
minecraft.mined.yellow_concrete: #9, 513(2%)
minecraft.picked_up.jungle_button: #9, 5(3%)
minecraft.used.crimson_slab: #9, 168(3%)
minecraft.mined.jungle_leaves: #9, 1948(2%)
minecraft.mined.purple_carpet: #9, 19(2%)
minecraft.mined.cocoa: #9, 148(2%)
minecraft.mined.lily_pad: #9, 36(2%)
minecraft.used.golden_shovel: #9, 68(2%)
minecraft.dropped.yellow_shulker_box: #9, 1(4%)
minecraft.picked_up.gray_concrete_powder: #9, 2036(2%)
minecraft.picked_up.spruce_wood: #9, 12(2%)
minecraft.crafted.light_gray_shulker_box: #9, 5(2%)
minecraft.dropped.iron_ingot: #9, 571(1%)
minecraft.crafted.mossy_cobblestone_stairs: #9, 4(3%)
minecraft.picked_up.feather: #9, 162(1%)
minecraft.picked_up.crimson_trapdoor: #9, 31(2%)
minecraft.mined.gray_concrete: #9, 2482(1%)
minecraft.crafted.detector_rail: #9, 18(2%)
minecraft.crafted.yellow_bed: #9, 1(3%)
minecraft.mined.coarse_dirt: #9, 350(1%)
minecraft.picked_up.purple_carpet: #9, 25(1%)
minecraft.dropped.potion: #9, 53(1%)
minecraft.picked_up.stone_shovel: #9, 2(2%)
minecraft.crafted.purple_shulker_box: #9, 1(3%)
minecraft.dropped.salmon: #9, 9(1%)
minecraft.used.melon_seeds: #9, 25(1%)
minecraft.picked_up.dark_oak_sapling: #9, 131(1%)
minecraft.mined.warped_door: #9, 1(3%)
minecraft.mined.gray_stained_glass_pane: #9, 9(2%)
minecraft.dropped.cracked_stone_bricks: #9, 7(2%)
minecraft.picked_up.quartz_stairs: #9, 77(1%)
minecraft.used.fletching_table: #9, 8(1%)
minecraft.used.comparator: #10, 471(5%)
minecraft.crafted.spruce_fence_gate: #9, 27(1%)
minecraft.dropped.coarse_dirt: #9, 64(1%)
minecraft.picked_up.wooden_sword: #9, 2(1%)
minecraft.used.gray_wool: #9, 234(1%)
minecraft.dropped.wooden_sword: #9, 2(1%)
minecraft.mined.warped_wall_sign: #9, 1(1%)
minecraft.dropped.dark_oak_slab: #9, 48(1%)
minecraft.crafted.glowstone: #9, 229(1%)
minecraft.crafted.nether_wart_block: #9, 1(1%)
minecraft.mined.crimson_fence_gate: #9, 1(1%)
minecraft.dropped.beacon: #9, 1(1%)
minecraft.used.dark_oak_button: #9, 11(1%)
minecraft.crafted.purple_terracotta: #9, 64(1%)
minecraft.crafted.wooden_shovel: #9, 3(1%)
minecraft.used.warped_pressure_plate: #9, 1(1%)
minecraft.crafted.light_gray_bed: #9, 1(1%)
minecraft.crafted.yellow_banner: #9, 1(1%)
minecraft.picked_up.brown_concrete_powder: #9, 34(0%)
minecraft.dropped.glass_pane: #9, 12(0%)
minecraft.picked_up.black_carpet: #9, 290(0%)
minecraft.crafted.warped_pressure_plate: #9, 1(1%)
minecraft.crafted.orange_terracotta: #9, 16(0%)
minecraft.dropped.dark_oak_button: #9, 2(0%)
minecraft.dropped.stone_shovel: #9, 1(0%)
minecraft.used.stripped_spruce_wood: #9, 2(0%)
minecraft.picked_up.yellow_stained_glass_pane: #9, 4(0%)
minecraft.picked_up.bow: #10, 269(4%)
minecraft.dropped.pink_wool: #9, 2(0%)
minecraft.dropped.light_blue_carpet: #9, 1(0%)
minecraft.dropped.red_stained_glass: #9, 1(0%)
minecraft.crafted.crimson_button: #9, 1(0%)
minecraft.used.flint_and_steel: #10, 253(4%)
minecraft.crafted.diamond_hoe: #10, 4(4%)
minecraft.picked_up.weeping_vines: #10, 194(4%)
minecraft.picked_up.redstone_torch: #10, 360(4%)
minecraft.picked_up.emerald: #10, 610(4%)
minecraft.mined.mossy_cobblestone: #10, 84(4%)
minecraft.crafted.diamond_helmet: #10, 5(4%)
minecraft.used.pink_shulker_box: #10, 60(4%)
minecraft.picked_up.birch_sapling: #10, 514(3%)
minecraft.dropped.oak_sign: #10, 40(4%)
minecraft.mined.terracotta: #10, 12290(3%)
minecraft.custom.inspect_dropper: #10, 846(3%)
minecraft.picked_up.terracotta: #10, 12454(3%)
minecraft.picked_up.rose_bush: #10, 876(3%)
minecraft.used.cobblestone_stairs: #10, 122(3%)
minecraft.picked_up.pink_shulker_box: #10, 59(3%)
minecraft.used.lectern: #10, 220(3%)
minecraft.dropped.acacia_log: #10, 47(4%)
minecraft.used.white_bed: #10, 111(3%)
minecraft.mined.pink_shulker_box: #10, 59(4%)
minecraft.mined.stone_bricks: #10, 2121(3%)
minecraft.crafted.pink_shulker_box: #10, 3(4%)
minecraft.crafted.iron_nugget: #10, 5238(3%)
minecraft.mined.spruce_log: #10, 3756(3%)
minecraft.crafted.crimson_planks: #10, 1504(3%)
minecraft.picked_up.dark_oak_planks: #10, 508(3%)
minecraft.mined.note_block: #10, 37(3%)
minecraft.used.brown_mushroom: #10, 47(3%)
minecraft.mined.weeping_vines_plant: #10, 35(3%)
minecraft.picked_up.warped_slab: #10, 40(3%)
minecraft.used.sticky_piston: #10, 230(2%)
minecraft.crafted.stone_sword: #10, 2(3%)
minecraft.picked_up.birch_slab: #10, 117(2%)
minecraft.mined.kelp_plant: #10, 471(2%)
minecraft.picked_up.golden_shovel: #10, 4(3%)
minecraft.picked_up.birch_stairs: #10, 40(3%)
minecraft.crafted.coarse_dirt: #10, 1536(2%)
minecraft.used.light_gray_stained_glass_pane: #10, 213(2%)
minecraft.mined.green_shulker_box: #10, 44(2%)
minecraft.mined.cyan_terracotta: #10, 1000(2%)
minecraft.picked_up.green_shulker_box: #10, 44(2%)
minecraft.picked_up.gray_shulker_box: #10, 88(2%)
minecraft.crafted.lime_stained_glass: #10, 896(2%)
minecraft.picked_up.sea_lantern: #10, 412(2%)
minecraft.crafted.birch_boat: #10, 4(3%)
minecraft.picked_up.kelp: #10, 3948(2%)
minecraft.used.gray_shulker_box: #10, 92(2%)
minecraft.picked_up.bell: #10, 14(2%)
minecraft.dropped.slime_ball: #10, 120(2%)
minecraft.mined.blue_concrete: #10, 318(2%)
minecraft.picked_up.clay: #10, 280(2%)
minecraft.picked_up.jungle_slab: #10, 160(2%)
minecraft.crafted.crimson_slab: #10, 126(2%)
minecraft.crafted.red_carpet: #10, 345(2%)
minecraft.used.birch_sapling: #10, 220(2%)
minecraft.crafted.andesite_stairs: #10, 52(2%)
minecraft.used.brown_carpet: #10, 110(2%)
minecraft.used.blue_concrete: #10, 252(2%)
minecraft.crafted.crimson_trapdoor: #10, 78(2%)
minecraft.used.cornflower: #10, 7(2%)
minecraft.picked_up.nether_brick_slab: #10, 119(1%)
minecraft.crafted.ender_eye: #10, 29(1%)
minecraft.crafted.cyan_terracotta: #10, 3152(1%)
minecraft.used.wooden_axe: #10, 10(2%)
minecraft.crafted.golden_apple: #10, 63(2%)
minecraft.picked_up.grindstone: #10, 29(1%)
minecraft.mined.jungle_button: #10, 2(2%)
minecraft.mined.black_stained_glass_pane: #10, 30(1%)
minecraft.picked_up.golden_horse_armor: #10, 1(2%)
minecraft.dropped.apple: #10, 18(1%)
minecraft.used.green_terracotta: #10, 138(1%)
minecraft.picked_up.grass: #10, 243(1%)
minecraft.picked_up.cocoa_beans: #10, 586(1%)
minecraft.used.orange_stained_glass: #10, 231(2%)
minecraft.mined.potted_cactus: #10, 1(2%)
minecraft.picked_up.warped_sign: #10, 4(2%)
minecraft.dropped.iron_block: #10, 129(1%)
minecraft.mined.jungle_slab: #10, 83(1%)
minecraft.used.spruce_sapling: #10, 168(1%)
minecraft.used.birch_door: #10, 8(2%)
minecraft.picked_up.purple_wool: #10, 123(1%)
minecraft.dropped.grass: #10, 16(1%)
minecraft.used.jungle_slab: #10, 178(1%)
minecraft.picked_up.chicken: #10, 49(1%)
minecraft.dropped.ink_sac: #10, 32(1%)
minecraft.picked_up.blue_orchid: #10, 50(1%)
minecraft.used.yellow_concrete_powder: #10, 256(1%)
minecraft.crafted.light_blue_concrete_powder: #10, 376(1%)
minecraft.used.crimson_stairs: #10, 16(1%)
minecraft.used.brown_bed: #10, 5(1%)
minecraft.mined.ladder: #11, 105(5%)
minecraft.used.red_stained_glass: #10, 194(1%)
minecraft.crafted.dark_oak_button: #10, 16(1%)
minecraft.mined.fletching_table: #10, 4(1%)
minecraft.picked_up.magenta_carpet: #10, 5(1%)
minecraft.custom.use_cauldron: #10, 1(1%)
minecraft.used.warped_fence_gate: #10, 2(1%)
minecraft.used.lily_of_the_valley: #10, 1(1%)
minecraft.dropped.oak_door: #10, 1(1%)
minecraft.picked_up.oak_fence: #11, 307(4%)
minecraft.crafted.blue_wool: #10, 7(0%)
minecraft.dropped.polished_granite: #10, 6(0%)
minecraft.used.light_gray_bed: #10, 3(1%)
minecraft.used.dark_oak_wood: #10, 23(0%)
minecraft.used.crimson_fence_gate: #10, 1(1%)
minecraft.crafted.cake: #10, 2(0%)
minecraft.crafted.dark_oak_wood: #10, 27(0%)
minecraft.used.gray_bed: #10, 3(0%)
minecraft.crafted.blue_carpet: #10, 15(0%)
minecraft.crafted.crimson_fence_gate: #10, 1(0%)
minecraft.dropped.purple_carpet: #10, 1(0%)
minecraft.used.blue_carpet: #10, 18(0%)
minecraft.used.light_blue_bed: #10, 6(0%)
minecraft.picked_up.light_blue_bed: #10, 5(0%)
minecraft.custom.fish_caught: #10, 10(0%)
minecraft.mined.light_blue_bed: #10, 5(0%)
minecraft.dropped.dark_oak_stairs: #10, 4(0%)
minecraft.mined.torch: #11, 2250(4%)
minecraft.crafted.light_gray_dye: #11, 1410(4%)
minecraft.custom.open_enderchest: #11, 3731(4%)
minecraft.picked_up.cobblestone: #11, 70218(3%)
minecraft.crafted.redstone_torch: #11, 2667(4%)
minecraft.crafted.jungle_planks: #11, 11612(4%)
minecraft.mined.crafting_table: #11, 234(3%)
minecraft.picked_up.ladder: #11, 260(3%)
minecraft.killed.ghast: #11, 119(3%)
minecraft.picked_up.golden_leggings: #11, 16(3%)
minecraft.picked_up.gravel: #11, 23602(3%)
minecraft.picked_up.oak_planks: #11, 537(3%)
minecraft.mined.glass: #11, 621(3%)
minecraft.crafted.netherite_leggings: #11, 1(5%)
minecraft.picked_up.slime_ball: #11, 1429(3%)
minecraft.used.brewing_stand: #11, 21(3%)
minecraft.picked_up.flint_and_steel: #11, 10(3%)
minecraft.picked_up.lectern: #11, 195(3%)
minecraft.mined.comparator: #11, 63(3%)
minecraft.mined.shroomlight: #11, 245(3%)
minecraft.crafted.wooden_axe: #11, 1(5%)
minecraft.picked_up.diamond_hoe: #11, 3(3%)
minecraft.picked_up.potion: #11, 92(3%)
minecraft.mined.lectern: #11, 185(3%)
minecraft.dropped.diamond_pickaxe: #11, 9(3%)
minecraft.crafted.sticky_piston: #11, 236(3%)
minecraft.mined.diamond_ore: #11, 1184(3%)
minecraft.picked_up.spruce_sapling: #11, 431(2%)
minecraft.broken.stone_axe: #11, 1(5%)
minecraft.crafted.gray_dye: #11, 1474(2%)
minecraft.crafted.dark_oak_sign: #11, 33(3%)
minecraft.used.oak_planks: #11, 368(2%)
minecraft.picked_up.milk_bucket: #11, 6(3%)
minecraft.picked_up.yellow_shulker_box: #11, 112(2%)
minecraft.picked_up.stone_axe: #11, 2(3%)
minecraft.crafted.yellow_dye: #11, 513(2%)
minecraft.picked_up.magma_block: #11, 1806(2%)
minecraft.mined.light_gray_concrete: #11, 1293(2%)
minecraft.dropped.written_book: #11, 17(2%)
minecraft.mined.fern: #11, 130(2%)
minecraft.picked_up.spruce_log: #11, 4166(2%)
minecraft.mined.yellow_shulker_box: #11, 108(2%)
minecraft.used.iron_pickaxe: #11, 2942(2%)
minecraft.used.jungle_leaves: #11, 580(2%)
minecraft.mined.magma_block: #11, 1722(2%)
minecraft.picked_up.birch_planks: #11, 314(2%)
minecraft.mined.oak_door: #11, 3(3%)
minecraft.used.cauldron: #11, 20(2%)
minecraft.picked_up.gray_carpet: #11, 239(2%)
minecraft.dropped.bone_meal: #11, 452(2%)
minecraft.mined.gray_shulker_box: #11, 86(2%)
minecraft.used.magma_block: #11, 1111(2%)
minecraft.mined.flower_pot: #11, 6(2%)
minecraft.picked_up.cyan_terracotta: #11, 1080(2%)
minecraft.crafted.warped_door: #11, 3(3%)
minecraft.mined.weeping_vines: #11, 16(2%)
minecraft.dropped.milk_bucket: #11, 2(3%)
minecraft.picked_up.gray_concrete: #11, 2353(2%)
minecraft.dropped.golden_carrot: #11, 174(2%)
minecraft.picked_up.white_carpet: #11, 211(2%)
minecraft.crafted.orange_dye: #11, 256(2%)
minecraft.picked_up.spruce_button: #11, 21(2%)
minecraft.picked_up.golden_apple: #11, 11(2%)
minecraft.dropped.torch: #11, 341(2%)
minecraft.picked_up.dark_oak_stairs: #11, 141(2%)
minecraft.picked_up.saddle: #11, 6(2%)
minecraft.picked_up.brown_bed: #11, 5(2%)
minecraft.picked_up.cauldron: #11, 12(2%)
minecraft.picked_up.lapis_block: #11, 64(2%)
minecraft.mined.brown_bed: #11, 5(2%)
minecraft.mined.dark_oak_wall_sign: #11, 4(2%)
minecraft.used.peony: #11, 6(2%)
minecraft.mined.melon_stem: #11, 4(2%)
minecraft.mined.dark_oak_door: #11, 5(3%)
minecraft.crafted.black_carpet: #11, 933(2%)
minecraft.mined.dark_oak_log: #11, 1029(1%)
minecraft.dropped.bamboo: #11, 290(2%)
minecraft.mined.brown_carpet: #11, 19(1%)
minecraft.used.basalt: #11, 534(1%)
minecraft.used.oak_leaves: #11, 2446(1%)
minecraft.picked_up.iron_hoe: #11, 1(2%)
minecraft.picked_up.brown_mushroom_block: #11, 675(1%)
minecraft.mined.black_stained_glass: #11, 70(1%)
minecraft.used.yellow_concrete: #11, 358(1%)
minecraft.used.oak_button: #11, 15(1%)
minecraft.used.sponge: #11, 141(1%)
minecraft.crafted.gray_stained_glass: #11, 704(1%)
minecraft.mined.spruce_leaves: #11, 1455(1%)
minecraft.picked_up.gray_stained_glass: #11, 88(1%)
minecraft.mined.wet_sponge: #11, 141(1%)
minecraft.used.iron_hoe: #11, 310(1%)
minecraft.used.grass: #11, 148(1%)
minecraft.mined.seagrass: #11, 212(1%)
minecraft.dropped.birch_leaves: #11, 52(1%)
minecraft.killed.chicken: #11, 28(1%)
minecraft.mined.quartz_stairs: #11, 67(1%)
minecraft.crafted.lime_shulker_box: #11, 2(1%)
minecraft.dropped.rabbit: #11, 2(1%)
minecraft.used.grindstone: #11, 30(1%)
minecraft.dropped.quartz: #11, 64(1%)
minecraft.dropped.stripped_jungle_log: #11, 1(1%)
minecraft.mined.crimson_stairs: #11, 3(1%)
minecraft.picked_up.red_sand: #11, 1015(1%)
minecraft.crafted.mossy_cobblestone_slab: #11, 6(1%)
minecraft.used.black_wool: #11, 221(1%)
minecraft.dropped.tripwire_hook: #11, 4(1%)
minecraft.picked_up.lime_terracotta: #11, 21(1%)
minecraft.used.purple_wool: #11, 15(1%)
minecraft.picked_up.orange_tulip: #11, 16(1%)
minecraft.dropped.clock: #11, 1(1%)
minecraft.mined.melon: #11, 59(1%)
minecraft.picked_up.yellow_banner: #11, 1(1%)
minecraft.used.black_carpet: #11, 938(1%)
minecraft.crafted.cooked_mutton: #11, 21(1%)
minecraft.used.warped_door: #11, 1(1%)
minecraft.crafted.oak_button: #11, 7(1%)
minecraft.mined.infested_stone: #11, 8(1%)
minecraft.used.spruce_wood: #11, 38(1%)
minecraft.picked_up.crimson_fence_gate: #11, 1(1%)
minecraft.picked_up.lime_wool: #11, 57(1%)
minecraft.picked_up.stripped_jungle_log: #11, 4(1%)
minecraft.picked_up.birch_door: #11, 2(1%)
minecraft.mined.stripped_jungle_log: #11, 3(0%)
minecraft.used.mossy_cobblestone_slab: #11, 4(1%)
minecraft.dropped.vine: #11, 3(1%)
minecraft.picked_up.gray_stained_glass_pane: #11, 8(0%)
minecraft.used.wither_rose: #11, 26(0%)
minecraft.crafted.andesite_slab: #11, 66(0%)
minecraft.used.horn_coral_block: #11, 1(1%)
minecraft.dropped.birch_trapdoor: #11, 2(0%)
minecraft.crafted.cooked_cod: #11, 12(0%)
minecraft.crafted.red_terracotta: #11, 64(0%)
minecraft.dropped.yellow_terracotta: #11, 4(0%)
minecraft.dropped.cooked_cod: #11, 3(0%)
minecraft.picked_up.magenta_wool: #11, 16(0%)
minecraft.used.stripped_jungle_log: #11, 1(0%)
minecraft.mined.gray_bed: #11, 2(0%)
minecraft.dropped.seagrass: #11, 3(0%)
minecraft.picked_up.emerald_block: #11, 12(0%)
minecraft.picked_up.orange_wool: #11, 20(0%)
minecraft.crafted.crimson_fence: #11, 3(0%)
minecraft.used.beetroot_seeds: #11, 6(0%)
minecraft.mined.emerald_block: #11, 6(0%)
minecraft.dropped.lime_stained_glass: #11, 1(0%)
minecraft.mined.red_nether_bricks: #11, 1(0%)
minecraft.crafted.crimson_hyphae: #11, 3(0%)
minecraft.crafted.crafting_table: #12, 98(4%)
minecraft.picked_up.birch_trapdoor: #12, 57(4%)
minecraft.crafted.iron_ingot: #12, 19058(3%)
minecraft.picked_up.crafting_table: #12, 244(3%)
minecraft.picked_up.bone: #12, 3623(3%)
minecraft.crafted.stone_bricks: #12, 8420(3%)
minecraft.crafted.netherite_boots: #12, 1(5%)
minecraft.used.diamond_sword: #12, 10952(3%)
minecraft.used.redstone_torch: #12, 354(2%)
minecraft.dropped.cobblestone: #12, 5499(3%)
minecraft.used.glass: #12, 2060(2%)
minecraft.mined.observer: #12, 169(3%)
minecraft.crafted.redstone: #12, 6637(2%)
minecraft.custom.eat_cake_slice: #12, 7(3%)
minecraft.picked_up.stone_bricks: #12, 2083(2%)
minecraft.crafted.repeater: #12, 384(2%)
minecraft.mined.nether_bricks: #12, 813(2%)
minecraft.mined.piston: #12, 103(2%)
minecraft.crafted.campfire: #12, 81(2%)
minecraft.mined.oak_leaves: #12, 18905(2%)
minecraft.crafted.birch_planks: #12, 4300(2%)
minecraft.used.green_carpet: #12, 257(2%)
minecraft.crafted.red_dye: #12, 1069(2%)
