stat, rank, value, (percentage) 
minecraft.dropped.elytra: #3, 19(10%)
minecraft.mined.brown_concrete_powder: #3, 71(11%)
minecraft.crafted.diamond_block: #3, 989(9%)
minecraft.picked_up.chain: #3, 798(9%)
minecraft.used.black_concrete: #3, 8190(9%)
minecraft.mined.black_terracotta: #3, 978(14%)
minecraft.dropped.stone_axe: #3, 34(11%)
minecraft.picked_up.chainmail_chestplate: #3, 14(10%)
minecraft.picked_up.birch_leaves: #3, 7964(9%)
minecraft.used.cauldron: #3, 94(10%)
minecraft.crafted.dark_oak_trapdoor: #3, 1078(9%)
minecraft.mined.grindstone: #3, 114(9%)
minecraft.dropped.leather_helmet: #3, 71(10%)
minecraft.used.spruce_trapdoor: #3, 3769(9%)
minecraft.used.ancient_debris: #2, 230(9%)
minecraft.mined.crimson_stem: #4, 2317(13%)
minecraft.used.cooked_cod: #3, 176(10%)
minecraft.dropped.red_wool: #3, 185(17%)
minecraft.dropped.oak_sign: #3, 109(11%)
minecraft.mined.vine: #3, 2415(9%)
minecraft.dropped.bee_nest: #2, 1(20%)
minecraft.killed_by.spider: #2, 1(20%)
minecraft.broken.wooden_pickaxe: #2, 1(33%)
minecraft.dropped.jukebox: #2, 1(33%)
minecraft.picked_up.leather_chestplate: #3, 40(9%)
minecraft.crafted.warped_planks: #3, 3851(9%)
minecraft.crafted.coarse_dirt: #3, 6400(9%)
minecraft.picked_up.music_disc_mall: #2, 3(10%)
minecraft.dropped.purple_carpet: #3, 53(20%)
minecraft.used.quartz_pillar: #3, 2315(10%)
minecraft.dropped.quartz_block: #3, 977(14%)
minecraft.dropped.emerald: #3, 700(11%)
minecraft.dropped.lantern: #3, 307(12%)
minecraft.used.chest_minecart: #3, 26(13%)
minecraft.mined.cut_sandstone_slab: #3, 132(14%)
minecraft.killed_by.wither: #2, 3(15%)
minecraft.crafted.brown_wool: #3, 199(13%)
minecraft.picked_up.red_nether_bricks: #3, 462(16%)
minecraft.crafted.gray_stained_glass: #3, 5888(13%)
minecraft.mined.oak_sign: #3, 54(8%)
minecraft.used.mutton: #2, 2(29%)
minecraft.dropped.cobblestone_slab: #4, 637(15%)
minecraft.mined.ancient_debris: #3, 572(8%)
minecraft.dropped.bone_meal: #3, 1998(8%)
minecraft.picked_up.piston: #3, 556(8%)
minecraft.dropped.mossy_stone_bricks: #3, 46(21%)
minecraft.crafted.quartz_block: #4, 27784(12%)
minecraft.dropped.player_head: #3, 158(7%)
minecraft.used.diamond_shovel: #3, 292160(8%)
minecraft.mined.tnt: #2, 327(4%)
minecraft.picked_up.jungle_sign: #3, 70(9%)
minecraft.custom.fly_one_cm: #4, 191820243(6%)
minecraft.dropped.netherite_leggings: #3, 5(15%)
minecraft.crafted.chest_minecart: #3, 26(12%)
minecraft.used.music_disc_strad: #2, 2(20%)
minecraft.killed.cat: #3, 19(14%)
minecraft.picked_up.diamond_leggings: #4, 59(11%)
minecraft.picked_up.black_terracotta: #3, 1123(10%)
minecraft.dropped.tnt: #3, 339(9%)
minecraft.killed_by.hoglin: #2, 4(10%)
minecraft.dropped.music_disc_mall: #2, 1(25%)
minecraft.dropped.light_gray_bed: #2, 1(25%)
minecraft.dropped.flower_pot: #2, 94(6%)
minecraft.dropped.stripped_dark_oak_wood: #2, 6(18%)
minecraft.picked_up.birch_fence: #3, 159(9%)
minecraft.picked_up.warped_fungus_on_a_stick: #2, 3(12%)
minecraft.killed.skeleton_horse: #2, 1(14%)
minecraft.crafted.cobblestone_slab: #4, 3429(12%)
minecraft.mined.peony: #3, 25(10%)
minecraft.dropped.gilded_blackstone: #2, 30(10%)
minecraft.dropped.chest: #4, 202(13%)
minecraft.dropped.map: #2, 53(11%)
minecraft.dropped.chainmail_helmet: #3, 12(11%)
minecraft.picked_up.ender_eye: #2, 60(8%)
minecraft.dropped.pufferfish: #3, 17(9%)
minecraft.dropped.light_gray_wool: #2, 411(4%)
minecraft.mined.netherite_block: #3, 30(24%)
minecraft.killed_by.zombie_villager: #2, 1(33%)
minecraft.mined.potted_dandelion: #2, 1(33%)
minecraft.mined.smooth_red_sandstone_slab: #2, 16(11%)
minecraft.picked_up.name_tag: #4, 116(12%)
minecraft.picked_up.stone_stairs: #3, 570(7%)
minecraft.mined.netherrack: #3, 154316(7%)
minecraft.dropped.cyan_dye: #2, 238(6%)
minecraft.dropped.lilac: #3, 10(11%)
minecraft.mined.acacia_wood: #3, 107(18%)
minecraft.picked_up.blue_dye: #2, 444(5%)
minecraft.mined.spruce_trapdoor: #3, 945(7%)
minecraft.crafted.diamond_boots: #3, 16(7%)
minecraft.crafted.lectern: #3, 89(7%)
minecraft.picked_up.soul_sand: #3, 3880(7%)
minecraft.dropped.polished_andesite_stairs: #2, 137(5%)
minecraft.dropped.magma_block: #4, 300(14%)
minecraft.dropped.diamond_leggings: #3, 9(8%)
minecraft.dropped.stripped_crimson_hyphae: #2, 1(14%)
minecraft.used.cut_sandstone_slab: #3, 520(12%)
minecraft.used.cocoa_beans: #4, 2568(14%)
minecraft.mined.crimson_nylium: #4, 1125(11%)
minecraft.dropped.iron_pickaxe: #3, 10(10%)
minecraft.mined.rail: #4, 3273(11%)
minecraft.mined.obsidian: #3, 2474(6%)
minecraft.picked_up.paper: #3, 8643(7%)
minecraft.used.birch_sapling: #3, 908(8%)
minecraft.mined.yellow_stained_glass_pane: #2, 87(4%)
minecraft.dropped.ender_eye: #2, 46(8%)
minecraft.picked_up.jungle_door: #3, 30(12%)
minecraft.used.spruce_wood: #3, 533(8%)
minecraft.crafted.bookshelf: #3, 1472(7%)
minecraft.picked_up.andesite_stairs: #3, 251(8%)
minecraft.mined.crimson_planks: #4, 351(14%)
minecraft.mined.dark_oak_trapdoor: #4, 358(11%)
minecraft.dropped.repeater: #3, 93(10%)
minecraft.crafted.polished_andesite: #4, 10204(10%)
minecraft.picked_up.netherite_block: #3, 29(20%)
minecraft.picked_up.andesite_wall: #3, 283(8%)
minecraft.dropped.orange_concrete_powder: #2, 7(10%)
minecraft.crafted.light_gray_dye: #4, 3455(10%)
minecraft.crafted.warped_fungus_on_a_stick: #2, 2(6%)
minecraft.dropped.warped_fungus_on_a_stick: #2, 2(10%)
minecraft.used.quartz_bricks: #3, 1120(9%)
minecraft.used.milk_bucket: #4, 17(11%)
minecraft.dropped.light_gray_stained_glass: #3, 175(11%)
minecraft.dropped.quartz: #4, 983(12%)
minecraft.dropped.smithing_table: #3, 25(19%)
minecraft.crafted.dispenser: #4, 417(10%)
minecraft.picked_up.feather: #4, 1218(10%)
minecraft.dropped.mycelium: #4, 3355(11%)
minecraft.picked_up.black_glazed_terracotta: #3, 112(11%)
minecraft.used.dark_oak_log: #4, 3025(11%)
minecraft.crafted.diamond_axe: #4, 20(10%)
minecraft.picked_up.prismarine_crystals: #3, 2132(6%)
minecraft.dropped.birch_trapdoor: #3, 46(10%)
minecraft.picked_up.crimson_stem: #4, 2491(10%)
minecraft.picked_up.cooked_rabbit: #3, 31(16%)
minecraft.picked_up.spruce_boat: #3, 35(7%)
minecraft.dropped.paper: #4, 3063(10%)
minecraft.crafted.stonecutter: #3, 100(6%)
minecraft.picked_up.sunflower: #4, 719(13%)
minecraft.picked_up.acacia_sapling: #4, 952(11%)
minecraft.picked_up.lead: #4, 396(9%)
minecraft.used.red_nether_brick_slab: #3, 434(11%)
minecraft.dropped.hay_block: #3, 191(12%)
minecraft.picked_up.jungle_leaves: #3, 3398(6%)
minecraft.used.acacia_sapling: #3, 716(11%)
minecraft.crafted.netherite_scrap: #4, 327(12%)
minecraft.crafted.stone_slab: #4, 6386(10%)
minecraft.picked_up.flower_pot: #3, 148(6%)
minecraft.dropped.dark_oak_fence_gate: #2, 16(3%)
minecraft.picked_up.golden_leggings: #4, 47(9%)
minecraft.dropped.bubble_coral_block: #2, 1(8%)
minecraft.killed.polar_bear: #2, 1(11%)
minecraft.mined.cyan_terracotta: #4, 4795(10%)
minecraft.mined.birch_button: #3, 7(10%)
minecraft.dropped.spruce_fence: #3, 288(7%)
minecraft.dropped.oak_leaves: #4, 1192(10%)
minecraft.dropped.kelp: #4, 2093(10%)
minecraft.picked_up.terracotta: #4, 38040(10%)
minecraft.used.netherite_block: #3, 27(17%)
minecraft.dropped.light_gray_dye: #2, 97(2%)
minecraft.dropped.blue_dye: #2, 138(2%)
minecraft.picked_up.black_banner: #3, 91(7%)
minecraft.dropped.red_concrete_powder: #3, 91(12%)
minecraft.dropped.blackstone: #3, 801(6%)
minecraft.dropped.rotten_flesh: #4, 55340(9%)
minecraft.dropped.iron_sword: #4, 26(10%)
minecraft.crafted.smooth_sandstone_stairs: #3, 752(8%)
minecraft.crafted.spruce_stairs: #4, 1268(9%)
minecraft.used.dark_oak_pressure_plate: #3, 6(9%)
minecraft.mined.mycelium: #4, 22080(9%)
minecraft.custom.interact_with_anvil: #4, 905(7%)
minecraft.dropped.spruce_button: #4, 68(13%)
minecraft.dropped.brain_coral_block: #2, 1(3%)
minecraft.picked_up.soul_campfire: #3, 11(11%)
minecraft.picked_up.slime_ball: #4, 4427(9%)
minecraft.picked_up.light_gray_terracotta: #4, 6621(10%)
minecraft.used.pumpkin: #4, 620(9%)
minecraft.dropped.oak_door: #3, 15(10%)
minecraft.crafted.netherite_shovel: #3, 3(11%)
minecraft.picked_up.emerald_ore: #3, 39(10%)
minecraft.picked_up.polished_andesite_stairs: #4, 747(11%)
minecraft.picked_up.red_dye: #3, 223(6%)
minecraft.crafted.gray_concrete_powder: #4, 31762(10%)
minecraft.crafted.black_banner: #4, 139(15%)
minecraft.picked_up.chorus_fruit: #4, 2631(10%)
minecraft.dropped.ender_chest: #4, 29(11%)
minecraft.dropped.nether_gold_ore: #3, 70(6%)
minecraft.crafted.pink_terracotta: #3, 556(9%)
minecraft.picked_up.rose_bush: #4, 2507(8%)
minecraft.custom.play_noteblock: #3, 486(5%)
minecraft.dropped.turtle_egg: #2, 8(0%)
minecraft.dropped.composter: #3, 16(9%)
minecraft.picked_up.spruce_fence: #4, 958(9%)
minecraft.mined.bamboo: #4, 1445(9%)
minecraft.dropped.golden_shovel: #3, 2(11%)
minecraft.dropped.glowstone_dust: #3, 86(5%)
minecraft.dropped.diamond_ore: #3, 90(9%)
minecraft.picked_up.white_terracotta: #4, 6244(9%)
minecraft.dropped.feather: #4, 832(9%)
minecraft.picked_up.cobblestone_wall: #4, 436(9%)
minecraft.dropped.spruce_leaves: #4, 424(13%)
minecraft.used.stone_hoe: #3, 483(5%)
minecraft.picked_up.spruce_stairs: #4, 553(8%)
minecraft.picked_up.birch_sapling: #4, 1349(8%)
minecraft.mined.terracotta: #4, 33235(9%)
minecraft.mined.oak_log: #4, 12814(8%)
minecraft.used.diamond_axe: #4, 57261(8%)
minecraft.dropped.chainmail_boots: #4, 18(13%)
minecraft.picked_up.stripped_dark_oak_log: #4, 697(10%)
minecraft.picked_up.brown_dye: #3, 122(9%)
minecraft.used.trident: #4, 696(11%)
minecraft.mined.stripped_dark_oak_log: #4, 687(10%)
minecraft.used.andesite: #4, 6821(8%)
minecraft.killed.wolf: #3, 5(7%)
minecraft.dropped.diamond_chestplate: #3, 5(7%)
minecraft.dropped.baked_potato: #3, 29(11%)
minecraft.picked_up.chainmail_helmet: #4, 11(10%)
minecraft.mined.potted_birch_sapling: #3, 3(15%)
minecraft.mined.acacia_sapling: #3, 27(8%)
minecraft.dropped.dark_oak_sapling: #3, 46(9%)
minecraft.used.spruce_sapling: #4, 1403(9%)
minecraft.picked_up.leather: #4, 3309(8%)
minecraft.mined.chorus_plant: #3, 210(5%)
minecraft.dropped.light_blue_bed: #3, 2(12%)
minecraft.used.melon: #4, 219(12%)
minecraft.used.music_disc_pigstep: #3, 4(17%)
minecraft.dropped.dark_oak_trapdoor: #3, 112(6%)
minecraft.killed.panda: #3, 71(17%)
minecraft.mined.black_banner: #3, 8(12%)
minecraft.killed.ghast: #4, 275(8%)
minecraft.picked_up.coal: #4, 27316(8%)
minecraft.crafted.netherite_block: #3, 9(14%)
minecraft.dropped.cyan_terracotta: #3, 323(4%)
minecraft.crafted.andesite: #3, 2814(12%)
minecraft.crafted.cartography_table: #3, 48(5%)
minecraft.picked_up.torch: #4, 12820(7%)
minecraft.picked_up.music_disc_strad: #3, 4(10%)
minecraft.mined.hay_block: #4, 141(8%)
minecraft.picked_up.grass_block: #4, 46580(7%)
minecraft.used.stripped_dark_oak_log: #4, 581(10%)
minecraft.used.chicken: #3, 3(20%)
minecraft.used.lantern: #4, 981(7%)
minecraft.mined.anvil: #4, 79(8%)
minecraft.dropped.chiseled_polished_blackstone: #3, 10(11%)
minecraft.picked_up.birch_trapdoor: #4, 126(8%)
minecraft.used.red_concrete_powder: #4, 3921(9%)
minecraft.dropped.white_dye: #3, 248(5%)
minecraft.crafted.cauldron: #4, 158(8%)
minecraft.crafted.red_concrete_powder: #4, 4080(9%)
minecraft.crafted.iron_ingot: #4, 41782(7%)
minecraft.picked_up.composter: #4, 96(8%)
minecraft.dropped.glass: #4, 730(8%)
minecraft.dropped.coal_block: #3, 97(5%)
minecraft.used.golden_shovel: #4, 323(12%)
minecraft.custom.interact_with_crafting_table: #4, 6739(7%)
minecraft.dropped.white_concrete: #4, 267(9%)
minecraft.crafted.bow: #4, 444(7%)
minecraft.crafted.scaffolding: #4, 3199(8%)
minecraft.used.cooked_rabbit: #3, 7(10%)
minecraft.picked_up.yellow_terracotta: #4, 6658(8%)
minecraft.dropped.cocoa_beans: #3, 579(4%)
minecraft.dropped.rabbit: #3, 9(4%)
minecraft.used.warped_fungus_on_a_stick: #3, 21(12%)
minecraft.mined.sugar_cane: #4, 6212(7%)
minecraft.crafted.diamond_helmet: #4, 11(8%)
minecraft.crafted.jukebox: #4, 9(11%)
minecraft.dropped.netherite_boots: #4, 7(11%)
minecraft.used.black_concrete_powder: #4, 10998(8%)
minecraft.dropped.brown_shulker_box: #3, 2(8%)
minecraft.dropped.redstone_block: #4, 180(9%)
minecraft.used.brown_mushroom_block: #4, 1171(9%)
minecraft.mined.birch_wall_sign: #4, 119(7%)
minecraft.crafted.diamond_chestplate: #4, 8(8%)
minecraft.picked_up.oak_log: #4, 13053(7%)
minecraft.dropped.stone_stairs: #3, 182(5%)
minecraft.mined.coal_ore: #4, 16963(7%)
minecraft.dropped.melon_seeds: #4, 39(10%)
minecraft.crafted.red_stained_glass_pane: #4, 472(13%)
minecraft.crafted.stone_bricks: #4, 18168(7%)
minecraft.crafted.light_gray_bed: #3, 10(7%)
minecraft.used.jungle_fence: #4, 158(10%)
minecraft.killed_by.zombie: #4, 6(8%)
minecraft.picked_up.iron_ore: #4, 7184(7%)
minecraft.dropped.soul_lantern: #4, 97(11%)
minecraft.mined.nether_brick_slab: #4, 298(7%)
minecraft.picked_up.light_gray_dye: #3, 279(3%)
minecraft.used.birch_sign: #4, 528(7%)
minecraft.dropped.stonecutter: #3, 7(9%)
minecraft.picked_up.smooth_red_sandstone_slab: #3, 16(8%)
minecraft.dropped.cake: #3, 4(10%)
minecraft.picked_up.smithing_table: #4, 76(7%)
minecraft.dropped.acacia_planks: #4, 64(9%)
minecraft.mined.crimson_trapdoor: #4, 83(10%)
minecraft.mined.bell: #4, 20(7%)
minecraft.dropped.crimson_nylium: #4, 87(10%)
minecraft.mined.dead_bush: #4, 438(7%)
minecraft.dropped.black_stained_glass_pane: #3, 66(7%)
minecraft.mined.red_tulip: #4, 69(10%)
minecraft.used.redstone_ore: #4, 1778(7%)
minecraft.dropped.magenta_shulker_box: #3, 1(9%)
minecraft.crafted.pumpkin_seeds: #4, 288(10%)
minecraft.custom.horse_one_cm: #4, 855279(7%)
minecraft.picked_up.dark_oak_button: #4, 74(9%)
minecraft.mined.composter: #4, 67(7%)
minecraft.mined.iron_ore: #4, 6378(6%)
minecraft.crafted.lime_stained_glass: #4, 3096(8%)
minecraft.mined.spruce_door: #4, 10(9%)
minecraft.dropped.andesite_wall: #4, 94(11%)
minecraft.dropped.lime_wool: #4, 213(13%)
minecraft.mined.potted_spruce_sapling: #3, 1(8%)
minecraft.mined.red_stained_glass_pane: #3, 28(5%)
minecraft.picked_up.turtle_egg: #4, 579(10%)
minecraft.dropped.quartz_bricks: #4, 58(18%)
minecraft.dropped.cactus: #4, 655(6%)
minecraft.killed_by.ravager: #4, 9(8%)
minecraft.crafted.crimson_stairs: #4, 228(10%)
minecraft.picked_up.magenta_shulker_box: #4, 105(9%)
minecraft.crafted.dark_oak_pressure_plate: #4, 8(11%)
minecraft.crafted.cut_sandstone_slab: #4, 470(14%)
minecraft.dropped.red_nether_bricks: #3, 168(9%)
minecraft.picked_up.birch_button: #4, 13(9%)
minecraft.custom.animals_bred: #4, 1792(6%)
minecraft.used.damaged_anvil: #4, 13(7%)
minecraft.dropped.dark_oak_sign: #3, 56(3%)
minecraft.mined.birch_fence: #4, 112(7%)
minecraft.dropped.spruce_slab: #4, 450(8%)
minecraft.used.gray_concrete_powder: #5, 31218(10%)
minecraft.dropped.red_mushroom_block: #3, 105(4%)
minecraft.picked_up.seagrass: #4, 773(7%)
minecraft.picked_up.peony: #4, 262(6%)
minecraft.mined.sweet_berry_bush: #3, 158(2%)
minecraft.crafted.diamond_sword: #4, 10(6%)
minecraft.dropped.dragon_head: #3, 1(12%)
minecraft.crafted.blackstone_wall: #4, 198(9%)
minecraft.dropped.lime_stained_glass: #4, 136(12%)
minecraft.dropped.mossy_stone_brick_slab: #3, 2(9%)
minecraft.dropped.spruce_log: #4, 917(7%)
minecraft.dropped.blackstone_wall: #3, 68(5%)
minecraft.used.honey_bottle: #3, 22(4%)
minecraft.picked_up.cooked_mutton: #4, 274(8%)
minecraft.picked_up.acacia_leaves: #4, 820(9%)
minecraft.dropped.smooth_stone_slab: #4, 402(7%)
minecraft.crafted.cyan_dye: #5, 5462(11%)
minecraft.dropped.diamond_horse_armor: #3, 1(8%)
minecraft.dropped.stripped_spruce_wood: #3, 2(11%)
minecraft.picked_up.quartz: #4, 9885(6%)
minecraft.dropped.birch_slab: #4, 66(8%)
minecraft.picked_up.iron_nugget: #4, 1144(6%)
minecraft.dropped.andesite_stairs: #3, 65(3%)
minecraft.picked_up.damaged_anvil: #4, 16(7%)
minecraft.dropped.honey_bottle: #4, 14(15%)
minecraft.crafted.light_gray_stained_glass_pane: #4, 2182(8%)
minecraft.mined.clay: #5, 2403(10%)
minecraft.dropped.lectern: #3, 9(4%)
minecraft.dropped.blue_shulker_box: #3, 1(6%)
minecraft.dropped.pink_terracotta: #3, 10(6%)
minecraft.killed_by.vindicator: #4, 4(12%)
minecraft.dropped.spruce_trapdoor: #4, 417(7%)
minecraft.used.spruce_boat: #4, 28(7%)
minecraft.mined.damaged_anvil: #4, 14(6%)
minecraft.mined.fern: #5, 618(10%)
minecraft.dropped.water_bucket: #4, 24(6%)
minecraft.crafted.experience_bottle: #4, 2486(16%)
minecraft.custom.open_shulker_box: #5, 74778(8%)
minecraft.picked_up.acacia_wood: #4, 119(14%)
minecraft.mined.tall_seagrass: #4, 666(6%)
minecraft.dropped.magenta_dye: #3, 4(5%)
minecraft.dropped.acacia_button: #3, 2(5%)
minecraft.crafted.glass: #4, 20542(5%)
minecraft.mined.nether_brick_wall: #4, 113(8%)
minecraft.used.acacia_pressure_plate: #3, 2(5%)
minecraft.crafted.gray_dye: #5, 6152(10%)
minecraft.dropped.dark_oak_stairs: #3, 59(2%)
minecraft.crafted.iron_helmet: #4, 12(5%)
minecraft.dropped.green_terracotta: #3, 18(3%)
minecraft.picked_up.stripped_acacia_wood: #3, 5(4%)
minecraft.dropped.warped_trapdoor: #3, 3(3%)
minecraft.crafted.quartz_bricks: #4, 1048(9%)
minecraft.crafted.blue_wool: #4, 125(9%)
minecraft.picked_up.iron_pickaxe: #4, 16(6%)
minecraft.picked_up.green_dye: #4, 1344(6%)
minecraft.crafted.powered_rail: #5, 1872(9%)
minecraft.picked_up.white_dye: #4, 539(6%)
minecraft.dropped.chain: #4, 284(6%)
minecraft.dropped.snow: #4, 903(7%)
minecraft.dropped.trident: #4, 5(9%)
minecraft.picked_up.mushroom_stew: #3, 3(2%)
minecraft.custom.drop: #5, 20317(7%)
minecraft.dropped.dark_prismarine_slab: #3, 55(2%)
minecraft.mined.white_tulip: #4, 48(7%)
minecraft.used.white_terracotta: #4, 1128(6%)
minecraft.dropped.light_gray_shulker_box: #3, 2(2%)
minecraft.dropped.stone_slab: #4, 1198(6%)
minecraft.mined.jungle_trapdoor: #4, 60(7%)
minecraft.crafted.dark_prismarine_slab: #4, 665(10%)
minecraft.crafted.shears: #4, 794(5%)
minecraft.crafted.acacia_pressure_plate: #3, 2(2%)
minecraft.crafted.emerald_block: #5, 1695(10%)
minecraft.used.light_blue_terracotta: #4, 671(8%)
minecraft.crafted.spruce_wood: #4, 510(6%)
minecraft.crafted.green_wool: #4, 192(9%)
minecraft.used.chorus_fruit: #4, 121(6%)
minecraft.used.dark_prismarine_slab: #4, 808(10%)
minecraft.picked_up.totem_of_undying: #4, 26(4%)
minecraft.crafted.dark_prismarine: #3, 881(2%)
minecraft.crafted.jungle_fence: #5, 246(13%)
minecraft.dropped.red_nether_brick_slab: #3, 13(1%)
minecraft.dropped.fire_coral_block: #3, 1(1%)
minecraft.broken.diamond_shovel: #4, 3(8%)
minecraft.crafted.polished_blackstone_brick_stairs: #4, 172(7%)
minecraft.picked_up.clock: #4, 13(7%)
minecraft.dropped.emerald_ore: #3, 1(1%)
minecraft.dropped.tropical_fish: #3, 40(0%)
minecraft.picked_up.spruce_slab: #5, 1828(8%)
minecraft.crafted.birch_pressure_plate: #4, 17(7%)
minecraft.picked_up.bone_meal: #5, 4077(8%)
minecraft.crafted.iron_pickaxe: #4, 27(4%)
minecraft.used.cake: #4, 12(7%)
minecraft.dropped.ancient_debris: #4, 39(8%)
minecraft.dropped.ghast_tear: #4, 28(6%)
minecraft.picked_up.warped_sign: #4, 17(7%)
minecraft.crafted.grindstone: #4, 192(4%)
minecraft.dropped.spruce_wood: #4, 6(13%)
minecraft.picked_up.filled_map: #5, 416(9%)
minecraft.dropped.stripped_spruce_log: #4, 10(6%)
minecraft.dropped.mossy_cobblestone: #4, 50(6%)
minecraft.dropped.salmon: #4, 33(5%)
minecraft.dropped.lapis_ore: #4, 35(7%)
minecraft.crafted.slime_block: #5, 4946(9%)
minecraft.dropped.clay: #4, 37(7%)
minecraft.mined.gray_stained_glass: #4, 213(5%)
minecraft.mined.sunflower: #4, 6(5%)
minecraft.dropped.apple: #5, 134(9%)
minecraft.dropped.jungle_log: #5, 202(10%)
minecraft.picked_up.spruce_trapdoor: #5, 1669(8%)
minecraft.dropped.lapis_lazuli: #4, 169(5%)
minecraft.killed_by.wither_skeleton: #4, 1(10%)
minecraft.picked_up.iron_sword: #5, 28(7%)
minecraft.used.emerald_ore: #4, 9(9%)
minecraft.custom.minecart_one_cm: #4, 5224970(3%)
minecraft.dropped.rabbit_hide: #4, 13(5%)
minecraft.dropped.comparator: #4, 37(7%)
minecraft.picked_up.quartz_bricks: #4, 268(5%)
minecraft.picked_up.mossy_stone_brick_slab: #4, 7(10%)
minecraft.dropped.iron_block: #4, 440(4%)
minecraft.dropped.dark_oak_log: #5, 271(12%)
minecraft.used.respawn_anchor: #4, 32(8%)
minecraft.dropped.gravel: #5, 2520(7%)
minecraft.used.grindstone: #4, 146(3%)
minecraft.crafted.bone_block: #4, 5837(3%)
minecraft.used.rose_bush: #4, 121(3%)
minecraft.dropped.dropper: #4, 18(8%)
minecraft.mined.light_gray_terracotta: #5, 4803(9%)
minecraft.picked_up.dark_oak_sign: #4, 62(3%)
minecraft.mined.coal_block: #4, 84(4%)
minecraft.crafted.lapis_lazuli: #4, 1906(3%)
minecraft.picked_up.mossy_cobblestone: #5, 261(7%)
minecraft.mined.jungle_log: #5, 10141(8%)
minecraft.used.dark_oak_trapdoor: #5, 942(8%)
minecraft.mined.wheat: #5, 4403(7%)
minecraft.mined.brick_wall: #4, 58(6%)
minecraft.picked_up.wither_rose: #5, 521(8%)
minecraft.mined.quartz_bricks: #4, 256(4%)
minecraft.dropped.diamond_shovel: #5, 20(8%)
minecraft.picked_up.jungle_log: #5, 10134(7%)
minecraft.dropped.dark_oak_slab: #4, 253(5%)
minecraft.killed_by.zombified_piglin: #4, 2(9%)
minecraft.used.stone_bricks: #5, 16923(7%)
minecraft.killed.slime: #4, 1688(3%)
minecraft.used.gray_concrete: #5, 17203(7%)
minecraft.custom.interact_with_grindstone: #5, 184(7%)
minecraft.dropped.pink_dye: #4, 14(8%)
minecraft.crafted.polished_granite: #4, 900(3%)
minecraft.mined.soul_sand: #5, 3729(7%)
minecraft.mined.dirt: #5, 77775(6%)
minecraft.dropped.spruce_stairs: #4, 84(5%)
minecraft.used.stripped_spruce_log: #5, 177(8%)
minecraft.picked_up.light_blue_dye: #5, 112(11%)
minecraft.dropped.black_shulker_box: #4, 3(5%)
minecraft.dropped.blast_furnace: #4, 1(10%)
minecraft.dropped.mushroom_stew: #4, 2(12%)
minecraft.mined.spruce_stairs: #5, 278(7%)
minecraft.dropped.cornflower: #4, 100(3%)
minecraft.used.snow: #4, 1474(3%)
minecraft.dropped.birch_sapling: #5, 116(7%)
minecraft.dropped.gunpowder: #5, 2368(7%)
minecraft.used.tropical_fish: #4, 2(9%)
minecraft.picked_up.stripped_spruce_log: #5, 258(7%)
minecraft.dropped.blackstone_slab: #4, 64(5%)
minecraft.dropped.andesite_slab: #4, 264(4%)
minecraft.picked_up.coal_ore: #5, 6170(7%)
minecraft.dropped.magenta_concrete_powder: #4, 2(11%)
minecraft.picked_up.white_wool: #5, 1634(6%)
minecraft.mined.weeping_vines_plant: #5, 98(7%)
minecraft.picked_up.lever: #5, 327(6%)
minecraft.picked_up.red_sand: #5, 10582(7%)
minecraft.picked_up.wheat: #5, 5005(6%)
minecraft.used.turtle_egg: #4, 71(4%)
minecraft.mined.magenta_stained_glass: #4, 11(3%)
minecraft.mined.jungle_sign: #5, 8(8%)
minecraft.crafted.brick_slab: #4, 214(6%)
minecraft.used.pumpkin_pie: #4, 112(2%)
minecraft.dropped.jungle_fence_gate: #4, 10(8%)
minecraft.dropped.bow: #5, 507(6%)
minecraft.dropped.green_carpet: #4, 55(4%)
minecraft.mined.spruce_wood: #5, 51(9%)
minecraft.mined.mushroom_stem: #5, 759(6%)
minecraft.picked_up.spruce_wood: #5, 50(9%)
minecraft.used.grass_block: #5, 22529(6%)
minecraft.picked_up.dark_oak_pressure_plate: #4, 3(6%)
minecraft.dropped.brown_carpet: #4, 54(5%)
minecraft.picked_up.sugar: #4, 109(3%)
minecraft.dropped.iron_door: #4, 3(4%)
minecraft.dropped.crafting_table: #5, 39(7%)
minecraft.used.dirt: #5, 49324(6%)
minecraft.mined.cobblestone_wall: #5, 140(7%)
minecraft.mined.green_stained_glass: #4, 67(3%)
minecraft.mined.spawner: #4, 4(3%)
minecraft.mined.orange_stained_glass_pane: #4, 37(3%)
minecraft.picked_up.dirt: #5, 84978(5%)
minecraft.mined.magenta_shulker_box: #5, 101(8%)
minecraft.dropped.cooked_rabbit: #4, 3(8%)
minecraft.picked_up.lapis_block: #5, 274(7%)
minecraft.dropped.podzol: #4, 128(3%)
minecraft.mined.wall_torch: #5, 969(6%)
minecraft.crafted.cake: #4, 15(3%)
minecraft.crafted.fletching_table: #4, 20(3%)
minecraft.picked_up.creeper_head: #4, 1(8%)
minecraft.dropped.warped_door: #4, 1(8%)
minecraft.crafted.brick_wall: #4, 60(4%)
minecraft.mined.red_sand: #5, 10529(7%)
minecraft.custom.leave_game: #6, 2132(5%)
minecraft.used.hay_block: #5, 120(7%)
minecraft.dropped.bamboo: #5, 1357(8%)
minecraft.used.crimson_nylium: #5, 242(7%)
minecraft.used.torch: #5, 19064(5%)
