stat, rank, value, (percentage) 
minecraft.killed_by.magma_cube: #3, 2(12%)
minecraft.picked_up.gray_terracotta: #4, 849(14%)
minecraft.mined.melon: #3, 354(3%)
minecraft.used.sandstone: #4, 10504(7%)
minecraft.used.dead_brain_coral_fan: #3, 9(12%)
minecraft.mined.red_sandstone: #3, 10(7%)
minecraft.dropped.netherite_ingot: #3, 6(7%)
minecraft.dropped.golden_boots: #4, 36(8%)
minecraft.dropped.golden_leggings: #4, 34(8%)
minecraft.picked_up.furnace: #4, 350(7%)
minecraft.mined.acacia_wall_sign: #3, 30(3%)
minecraft.crafted.dark_oak_sign: #4, 102(8%)
minecraft.mined.red_stained_glass: #4, 256(8%)
minecraft.mined.gray_terracotta: #4, 565(15%)
minecraft.killed_by.wither: #3, 2(10%)
minecraft.mined.warped_sign: #3, 1(8%)
minecraft.picked_up.dead_brain_coral_fan: #3, 10(8%)
minecraft.dropped.jungle_wood: #3, 9(13%)
minecraft.dropped.magenta_concrete_powder: #3, 2(11%)
minecraft.crafted.white_wool: #4, 2892(8%)
minecraft.picked_up.birch_fence: #4, 140(8%)
minecraft.used.smooth_sandstone_stairs: #3, 2077(3%)
minecraft.dropped.twisting_vines: #4, 56(11%)
minecraft.used.dark_oak_door: #4, 52(10%)
minecraft.mined.stripped_crimson_hyphae: #3, 9(6%)
minecraft.picked_up.stripped_crimson_hyphae: #3, 9(6%)
minecraft.picked_up.magenta_wool: #4, 635(9%)
minecraft.mined.warped_fungus: #4, 139(6%)
minecraft.dropped.golden_chestplate: #4, 26(7%)
minecraft.used.oak_fence: #4, 1034(6%)
minecraft.crafted.diamond_boots: #4, 14(6%)
minecraft.used.campfire: #4, 205(6%)
minecraft.used.stripped_crimson_hyphae: #3, 6(6%)
minecraft.crafted.lime_stained_glass_pane: #4, 512(8%)
minecraft.mined.coarse_dirt: #4, 1679(6%)
minecraft.dropped.gray_terracotta: #3, 65(5%)
minecraft.crafted.nether_bricks: #5, 5852(11%)
minecraft.crafted.pink_shulker_box: #4, 6(9%)
minecraft.mined.oak_fence_gate: #4, 54(6%)
minecraft.broken.wooden_shovel: #3, 2(8%)
minecraft.dropped.chainmail_leggings: #4, 8(7%)
minecraft.mined.dead_fire_coral_fan: #3, 1(8%)
minecraft.picked_up.stripped_birch_wood: #4, 101(9%)
minecraft.used.seagrass: #4, 48(11%)
minecraft.used.orange_terracotta: #4, 949(6%)
minecraft.mined.acacia_planks: #4, 108(9%)
minecraft.picked_up.gray_shulker_box: #5, 439(10%)
minecraft.used.crimson_fence: #4, 154(8%)
minecraft.picked_up.red_sandstone_wall: #3, 3(3%)
minecraft.picked_up.name_tag: #5, 95(9%)
minecraft.used.cut_sandstone_slab: #4, 384(9%)
minecraft.mined.dead_brain_coral_wall_fan: #3, 3(3%)
minecraft.crafted.red_sandstone_wall: #3, 6(3%)
minecraft.mined.stripped_birch_wood: #4, 93(9%)
minecraft.crafted.crimson_hyphae: #4, 513(10%)
minecraft.crafted.warped_fence: #4, 153(7%)
minecraft.picked_up.oak_planks: #5, 1598(9%)
minecraft.crafted.chiseled_polished_blackstone: #4, 196(10%)
minecraft.used.spruce_trapdoor: #4, 2021(5%)
minecraft.mined.dead_bubble_coral_wall_fan: #3, 1(2%)
minecraft.used.gold_block: #4, 798(5%)
minecraft.picked_up.brick: #4, 144(6%)
minecraft.used.crimson_hyphae: #4, 320(8%)
minecraft.used.gray_shulker_box: #5, 446(10%)
minecraft.used.golden_carrot: #5, 6585(8%)
minecraft.mined.crimson_stem: #5, 1556(9%)
minecraft.used.scaffolding: #5, 19736(9%)
minecraft.crafted.birch_slab: #4, 1425(5%)
minecraft.crafted.air: #3, 0(0%)
minecraft.used.crimson_pressure_plate: #4, 13(12%)
minecraft.mined.shroomlight: #5, 774(9%)
minecraft.mined.brown_concrete: #4, 274(7%)
minecraft.custom.open_barrel: #5, 14395(8%)
minecraft.dropped.dead_bush: #4, 6(8%)
minecraft.picked_up.clay_ball: #5, 3587(8%)
minecraft.used.ice: #4, 1869(5%)
minecraft.dropped.chainmail_helmet: #4, 7(6%)
minecraft.used.acacia_sign: #4, 65(5%)
minecraft.crafted.crimson_fence: #4, 156(9%)
minecraft.picked_up.firework_rocket: #5, 9927(8%)
minecraft.dropped.nether_gold_ore: #4, 65(5%)
minecraft.picked_up.shroomlight: #5, 990(9%)
minecraft.crafted.minecart: #4, 177(4%)
minecraft.crafted.red_dye: #5, 4268(8%)
minecraft.picked_up.soul_soil: #5, 2751(8%)
minecraft.mined.magma_block: #5, 7199(8%)
minecraft.mined.campfire: #4, 64(4%)
minecraft.used.polished_blackstone_stairs: #5, 1017(10%)
minecraft.picked_up.soul_campfire: #4, 9(9%)
minecraft.picked_up.jungle_trapdoor: #4, 115(6%)
minecraft.used.light_blue_concrete_powder: #4, 2104(6%)
minecraft.picked_up.acacia_sign: #4, 49(4%)
minecraft.picked_up.white_terracotta: #5, 5896(9%)
minecraft.killed.mooshroom: #4, 111(8%)
minecraft.dropped.nether_brick: #4, 332(6%)
minecraft.crafted.light_blue_concrete_powder: #4, 2176(5%)
minecraft.dropped.oak_leaves: #5, 1013(8%)
minecraft.picked_up.iron_horse_armor: #4, 2(6%)
minecraft.crafted.jungle_pressure_plate: #4, 17(8%)
minecraft.picked_up.black_glazed_terracotta: #4, 69(7%)
minecraft.picked_up.bone_block: #5, 1131(8%)
minecraft.crafted.magenta_dye: #5, 1068(9%)
minecraft.used.dark_oak_sign: #5, 85(8%)
minecraft.mined.white_terracotta: #5, 4763(8%)
minecraft.crafted.netherite_chestplate: #4, 1(11%)
minecraft.dropped.chainmail_chestplate: #4, 6(6%)
minecraft.dropped.jungle_fence: #4, 29(7%)
minecraft.dropped.bone: #5, 3106(7%)
minecraft.picked_up.cracked_stone_bricks: #5, 325(8%)
minecraft.custom.interact_with_furnace: #5, 4081(7%)
minecraft.picked_up.rose_bush: #5, 2123(7%)
minecraft.dropped.diamond_ore: #4, 64(6%)
minecraft.dropped.elytra: #5, 15(8%)
minecraft.picked_up.smooth_red_sandstone: #4, 86(7%)
minecraft.picked_up.scaffolding: #5, 16869(7%)
minecraft.used.orange_concrete: #5, 1451(8%)
minecraft.picked_up.crimson_nylium: #5, 682(7%)
minecraft.crafted.acacia_stairs: #4, 132(5%)
minecraft.mined.wet_sponge: #5, 1163(9%)
minecraft.dropped.snow_block: #4, 90(4%)
minecraft.mined.crimson_hyphae: #4, 26(7%)
minecraft.killed.magma_cube: #4, 888(3%)
minecraft.custom.interact_with_blast_furnace: #5, 145(7%)
minecraft.used.gray_bed: #4, 38(4%)
minecraft.used.netherite_shovel: #5, 203413(9%)
minecraft.mined.orange_concrete: #5, 1256(8%)
minecraft.picked_up.crying_obsidian: #5, 172(7%)
minecraft.dropped.rabbit: #4, 7(3%)
minecraft.dropped.birch_wood: #4, 9(9%)
minecraft.dropped.soul_lantern: #5, 93(10%)
minecraft.mined.gray_bed: #4, 36(4%)
minecraft.mined.crimson_trapdoor: #5, 81(10%)
minecraft.custom.aviate_one_cm: #5, 1136421801(6%)
minecraft.picked_up.red_sandstone_stairs: #4, 20(10%)
minecraft.crafted.player_head: #5, 893(7%)
minecraft.picked_up.netherite_block: #4, 10(7%)
minecraft.picked_up.elytra: #5, 97(6%)
minecraft.dropped.netherrack: #5, 23079(6%)
minecraft.dropped.stripped_birch_log: #4, 9(4%)
minecraft.dropped.black_concrete_powder: #4, 128(4%)
minecraft.mined.netherite_block: #4, 8(6%)
minecraft.used.sponge: #5, 887(8%)
minecraft.mined.dead_fire_coral_wall_fan: #4, 1(11%)
minecraft.killed_by.guardian: #4, 1(6%)
minecraft.picked_up.white_stained_glass: #5, 931(6%)
minecraft.picked_up.cooked_salmon: #5, 41(10%)
minecraft.used.mycelium: #5, 2257(6%)
minecraft.picked_up.redstone_block: #5, 666(6%)
minecraft.used.wooden_shovel: #4, 126(5%)
minecraft.used.polished_blackstone_button: #5, 113(8%)
minecraft.dropped.magenta_stained_glass_pane: #4, 2(10%)
minecraft.picked_up.spruce_fence: #5, 659(6%)
minecraft.dropped.golden_helmet: #5, 23(6%)
minecraft.dropped.magma_cream: #5, 89(7%)
minecraft.mined.magenta_concrete_powder: #4, 3(3%)
minecraft.crafted.diamond_hoe: #5, 6(6%)
minecraft.picked_up.gray_bed: #4, 38(3%)
minecraft.crafted.torch: #5, 14824(5%)
minecraft.picked_up.lantern: #5, 553(5%)
minecraft.dropped.scaffolding: #5, 704(7%)
minecraft.mined.dead_bubble_coral_fan: #4, 1(8%)
minecraft.dropped.terracotta: #5, 390(7%)
minecraft.dropped.acacia_stairs: #4, 5(5%)
minecraft.dropped.lava_bucket: #4, 3(3%)
minecraft.mined.mycelium: #5, 13459(6%)
minecraft.dropped.horn_coral_fan: #4, 1(5%)
minecraft.used.iron_trapdoor: #6, 2914(10%)
minecraft.dropped.sandstone_slab: #4, 63(3%)
minecraft.mined.cyan_shulker_box: #5, 146(7%)
minecraft.mined.smooth_red_sandstone: #4, 38(3%)
minecraft.picked_up.cyan_shulker_box: #5, 147(7%)
minecraft.picked_up.diamond_hoe: #5, 6(7%)
minecraft.dropped.clay_ball: #5, 62(9%)
minecraft.crafted.oak_fence: #5, 915(5%)
minecraft.used.dead_fire_coral_fan: #4, 1(6%)
minecraft.dropped.wooden_sword: #4, 3(2%)
minecraft.picked_up.rabbit_stew: #4, 1(3%)
minecraft.crafted.spruce_trapdoor: #5, 1892(5%)
minecraft.picked_up.green_shulker_box: #5, 113(5%)
minecraft.crafted.polished_blackstone_button: #5, 132(7%)
minecraft.used.green_shulker_box: #5, 114(5%)
minecraft.mined.green_shulker_box: #5, 111(5%)
minecraft.dropped.player_head: #5, 101(5%)
minecraft.picked_up.spectral_arrow: #5, 423(6%)
minecraft.mined.white_stained_glass: #5, 593(6%)
minecraft.mined.dead_horn_coral_wall_fan: #4, 1(3%)
minecraft.dropped.bucket: #5, 60(6%)
minecraft.dropped.dark_oak_wood: #4, 9(3%)
minecraft.dropped.dark_oak_fence: #4, 21(1%)
minecraft.used.dead_horn_coral_fan: #4, 1(2%)
minecraft.mined.light_gray_concrete_powder: #5, 188(6%)
minecraft.used.shears: #5, 34995(5%)
minecraft.mined.jungle_door: #4, 1(2%)
minecraft.dropped.leather_boots: #5, 22(6%)
minecraft.picked_up.iron_nugget: #5, 956(5%)
minecraft.used.dead_bubble_coral_fan: #4, 1(3%)
minecraft.dropped.red_stained_glass: #4, 9(1%)
minecraft.dropped.brown_concrete_powder: #4, 7(1%)
minecraft.picked_up.cookie: #5, 100(6%)
minecraft.dropped.bubble_coral: #4, 1(2%)
minecraft.mined.chiseled_red_sandstone: #4, 1(1%)
minecraft.killed.panda: #4, 4(1%)
minecraft.mined.dark_oak_sign: #5, 3(7%)
minecraft.dropped.birch_boat: #5, 5(7%)
minecraft.crafted.netherite_pickaxe: #5, 4(7%)
minecraft.crafted.campfire: #5, 157(4%)
minecraft.crafted.tnt: #6, 9489(9%)
minecraft.dropped.chainmail_boots: #5, 9(6%)
minecraft.used.acacia_planks: #5, 138(6%)
minecraft.mined.cut_sandstone: #5, 338(5%)
minecraft.used.white_stained_glass: #5, 3319(4%)
minecraft.picked_up.wither_skeleton_skull: #5, 40(5%)
minecraft.crafted.white_stained_glass: #5, 3752(4%)
minecraft.picked_up.splash_potion: #5, 38(4%)
minecraft.custom.strider_one_cm: #5, 68675(6%)
minecraft.crafted.orange_dye: #5, 614(4%)
minecraft.picked_up.bowl: #5, 9(6%)
minecraft.crafted.brown_terracotta: #5, 1784(6%)
minecraft.broken.iron_shovel: #5, 16(4%)
minecraft.dropped.gray_dye: #5, 63(9%)
minecraft.used.iron_shovel: #5, 4552(3%)
minecraft.used.light_gray_terracotta: #5, 1415(4%)
minecraft.custom.sleep_in_bed: #6, 2534(7%)
minecraft.dropped.red_concrete: #5, 36(5%)
minecraft.mined.orange_terracotta: #6, 10708(8%)
minecraft.crafted.magenta_shulker_box: #5, 4(7%)
minecraft.crafted.chest: #6, 5061(7%)
minecraft.dropped.birch_fence: #5, 19(6%)
minecraft.used.oak_boat: #6, 101(7%)
minecraft.dropped.ender_pearl: #6, 29504(7%)
minecraft.dropped.leather_helmet: #5, 25(4%)
minecraft.broken.golden_shovel: #5, 5(5%)
minecraft.mined.acacia_sign: #5, 2(9%)
minecraft.mined.birch_wood: #5, 8(7%)
minecraft.used.dark_oak_wood: #5, 263(5%)
minecraft.picked_up.golden_carrot: #6, 2841(7%)
minecraft.dropped.tube_coral_fan: #5, 1(11%)
minecraft.crafted.hopper: #6, 2256(7%)
minecraft.dropped.crimson_roots: #6, 185(8%)
minecraft.dropped.soul_sand: #6, 585(8%)
minecraft.crafted.bone_block: #5, 4863(3%)
minecraft.crafted.jungle_planks: #6, 22140(7%)
minecraft.killed.tropical_fish: #5, 35(4%)
minecraft.mined.light_gray_terracotta: #6, 4513(8%)
minecraft.crafted.firework_star: #5, 1480(7%)
minecraft.mined.ladder: #6, 150(7%)
minecraft.dropped.quartz: #5, 251(3%)
minecraft.mined.terracotta: #6, 27064(7%)
minecraft.dropped.diamond_hoe: #5, 2(4%)
minecraft.crafted.dark_oak_wood: #5, 321(5%)
minecraft.used.birch_planks: #5, 920(3%)
minecraft.used.lime_concrete: #5, 667(3%)
minecraft.dropped.jungle_log: #6, 175(9%)
minecraft.picked_up.terracotta: #6, 27437(7%)
minecraft.used.cut_sandstone: #5, 1019(3%)
minecraft.used.gray_concrete: #6, 16560(7%)
minecraft.dropped.fishing_rod: #5, 6(4%)
minecraft.dropped.crimson_stem: #5, 142(4%)
minecraft.mined.crimson_nylium: #6, 674(7%)
minecraft.mined.redstone_block: #6, 268(7%)
minecraft.used.stone: #6, 51721(5%)
minecraft.crafted.furnace: #6, 602(6%)
minecraft.crafted.purple_shulker_box: #5, 2(6%)
minecraft.dropped.light_gray_terracotta: #6, 120(8%)
minecraft.picked_up.crimson_stem: #6, 1623(7%)
minecraft.killed.snow_golem: #5, 32(4%)
minecraft.crafted.gray_concrete_powder: #6, 22632(7%)
minecraft.picked_up.light_gray_terracotta: #6, 4647(7%)
minecraft.mined.orange_bed: #5, 3(4%)
minecraft.mined.mushroom_stem: #6, 752(6%)
minecraft.picked_up.dead_fire_coral_fan: #5, 2(9%)
minecraft.picked_up.mycelium: #6, 13225(6%)
minecraft.dropped.orange_terracotta: #6, 288(7%)
minecraft.picked_up.tropical_fish: #5, 46(2%)
minecraft.dropped.fire_charge: #5, 34(4%)
minecraft.dropped.brown_mushroom: #6, 187(7%)
minecraft.picked_up.polished_basalt: #6, 579(6%)
minecraft.used.gray_concrete_powder: #6, 18251(6%)
minecraft.picked_up.filled_map: #6, 303(6%)
minecraft.picked_up.orange_bed: #5, 3(4%)
minecraft.dropped.acacia_trapdoor: #5, 16(3%)
minecraft.picked_up.dark_oak_stairs: #6, 551(6%)
minecraft.dropped.cobblestone_stairs: #5, 12(3%)
minecraft.used.red_sandstone: #5, 10(4%)
minecraft.mined.warped_hyphae: #5, 20(4%)
minecraft.mined.acacia_fence: #5, 8(3%)
minecraft.picked_up.spruce_fence_gate: #6, 73(7%)
minecraft.mined.netherrack: #6, 124567(6%)
minecraft.killed.strider: #5, 2(4%)
minecraft.picked_up.magma_cream: #6, 282(6%)
minecraft.used.chorus_fruit: #5, 35(2%)
minecraft.picked_up.string: #6, 2930(5%)
minecraft.dropped.acacia_wood: #5, 3(4%)
minecraft.dropped.iron_door: #5, 2(2%)
minecraft.used.magenta_concrete: #5, 143(2%)
minecraft.used.trident: #6, 463(7%)
minecraft.used.brown_mushroom: #6, 99(6%)
minecraft.dropped.magma_block: #6, 147(7%)
minecraft.crafted.soul_campfire: #5, 21(2%)
minecraft.picked_up.acacia_planks: #6, 140(7%)
minecraft.used.cyan_shulker_box: #6, 150(7%)
minecraft.crafted.quartz_stairs: #5, 204(1%)
minecraft.crafted.birch_fence: #6, 255(7%)
minecraft.picked_up.dead_bubble_coral_fan: #5, 2(5%)
minecraft.dropped.anvil: #5, 9(2%)
minecraft.used.weeping_vines: #6, 70(9%)
minecraft.used.allium: #5, 8(4%)
minecraft.dropped.bow: #6, 415(5%)
minecraft.picked_up.cut_sandstone_slab: #6, 123(9%)
minecraft.picked_up.wooden_sword: #5, 2(1%)
minecraft.dropped.brick: #5, 28(2%)
minecraft.used.orange_concrete_powder: #6, 1624(7%)
minecraft.used.stripped_oak_wood: #5, 55(1%)
minecraft.crafted.sandstone: #6, 1104(6%)
minecraft.dropped.chiseled_polished_blackstone: #5, 2(2%)
minecraft.used.birch_fence: #6, 228(6%)
minecraft.crafted.dispenser: #6, 205(5%)
minecraft.picked_up.red_mushroom_block: #6, 2161(6%)
minecraft.picked_up.lime_concrete: #6, 696(5%)
minecraft.dropped.cake: #5, 1(2%)
minecraft.crafted.iron_trapdoor: #6, 1510(5%)
minecraft.mined.jungle_sign: #6, 6(6%)
minecraft.crafted.lantern: #6, 796(5%)
minecraft.dropped.prismarine_bricks: #5, 6(1%)
minecraft.dropped.leather_chestplate: #6, 20(5%)
minecraft.dropped.red_terracotta: #6, 107(6%)
minecraft.used.netherite_block: #5, 2(1%)
minecraft.crafted.orange_concrete_powder: #6, 1664(6%)
minecraft.used.apple: #6, 47(7%)
minecraft.mined.gilded_blackstone: #6, 63(6%)
minecraft.dropped.jungle_trapdoor: #5, 8(1%)
minecraft.used.red_sandstone_wall: #5, 3(1%)
minecraft.dropped.spruce_button: #6, 34(7%)
minecraft.dropped.blue_stained_glass: #5, 1(1%)
minecraft.used.cocoa_beans: #6, 1053(6%)
minecraft.dropped.melon_seeds: #6, 25(7%)
minecraft.used.mushroom_stew: #5, 3(1%)
minecraft.used.iron_door: #6, 50(5%)
minecraft.used.spruce_sign: #6, 98(4%)
minecraft.dropped.rabbit_stew: #5, 1(0%)
minecraft.used.chiseled_red_sandstone: #5, 2(0%)
minecraft.used.soul_campfire: #6, 28(8%)
minecraft.killed.enderman: #7, 62332(8%)
minecraft.picked_up.purple_concrete: #6, 215(5%)
minecraft.dropped.tropical_fish: #5, 16(0%)
minecraft.dropped.chiseled_sandstone: #5, 1(0%)
minecraft.used.spider_eye: #5, 1(0%)
minecraft.used.birch_wood: #6, 149(8%)
minecraft.picked_up.gold_block: #6, 515(4%)
minecraft.mined.nether_brick_wall: #6, 87(6%)
minecraft.picked_up.saddle: #6, 17(5%)
minecraft.crafted.oak_door: #6, 21(5%)
minecraft.picked_up.nautilus_shell: #6, 21(5%)
minecraft.mined.melon_stem: #6, 12(5%)
minecraft.used.packed_ice: #6, 1370(4%)
minecraft.dropped.oak_trapdoor: #6, 33(5%)
minecraft.mined.dark_oak_wall_sign: #6, 11(5%)
minecraft.used.jungle_log: #6, 826(4%)
minecraft.dropped.pufferfish: #6, 9(5%)
minecraft.used.red_wool: #6, 571(4%)
minecraft.used.oak_door: #6, 20(4%)
minecraft.picked_up.netherite_ingot: #6, 7(6%)
minecraft.custom.target_hit: #6, 546(4%)
minecraft.picked_up.spider_eye: #6, 1060(3%)
minecraft.picked_up.diamond_horse_armor: #6, 3(8%)
minecraft.picked_up.cut_sandstone: #6, 333(4%)
minecraft.used.acacia_log: #6, 446(4%)
minecraft.broken.shears: #6, 94(4%)
minecraft.custom.sprint_one_cm: #7, 147063900(5%)
minecraft.crafted.birch_wood: #6, 198(7%)
minecraft.picked_up.crimson_trapdoor: #6, 81(5%)
minecraft.picked_up.coarse_dirt: #6, 1741(3%)
minecraft.dropped.nether_quartz_ore: #6, 58(4%)
minecraft.dropped.shulker_box: #6, 57(3%)
minecraft.dropped.spruce_boat: #6, 3(6%)
minecraft.picked_up.warped_fungus: #6, 309(3%)
minecraft.dropped.spruce_pressure_plate: #6, 12(6%)
minecraft.crafted.nether_brick: #6, 3350(4%)
minecraft.picked_up.gold_ingot: #7, 1038(7%)
minecraft.dropped.nether_bricks: #6, 154(4%)
minecraft.used.golden_shovel: #6, 132(5%)
minecraft.picked_up.birch_wood: #6, 9(7%)
minecraft.used.coarse_dirt: #6, 2571(3%)
minecraft.mined.scaffolding: #7, 6651(7%)
minecraft.custom.damage_taken: #7, 464681(5%)
minecraft.mined.furnace: #7, 229(7%)
minecraft.used.hopper: #7, 2776(7%)
minecraft.crafted.brown_wool: #6, 64(4%)
minecraft.crafted.spruce_button: #6, 104(3%)
minecraft.crafted.netherite_sword: #6, 1(5%)
minecraft.custom.sneak_time: #8, 5390095(5%)
minecraft.dropped.glowstone_dust: #6, 51(3%)
minecraft.used.red_stained_glass_pane: #6, 106(4%)
minecraft.dropped.salmon: #6, 21(3%)
minecraft.mined.birch_planks: #6, 270(2%)
minecraft.custom.inspect_hopper: #7, 3272(6%)
minecraft.mined.crimson_fence: #6, 10(3%)
minecraft.crafted.green_stained_glass: #6, 448(3%)
minecraft.picked_up.crimson_roots: #6, 552(2%)
minecraft.crafted.acacia_sign: #6, 48(3%)
minecraft.used.brown_bed: #6, 21(4%)
minecraft.dropped.red_banner: #6, 1(5%)
minecraft.crafted.gray_dye: #7, 4152(7%)
minecraft.dropped.coarse_dirt: #6, 160(2%)
minecraft.picked_up.spruce_door: #7, 38(6%)
minecraft.picked_up.diamond_sword: #7, 61(6%)
minecraft.dropped.clay: #6, 20(4%)
minecraft.used.netherite_axe: #7, 42627(8%)
minecraft.picked_up.warped_sign: #6, 8(3%)
minecraft.mined.spruce_wall_sign: #7, 25(7%)
minecraft.dropped.spruce_log: #6, 297(2%)
minecraft.dropped.magenta_stained_glass: #6, 4(3%)
minecraft.picked_up.acacia_stairs: #6, 49(3%)
minecraft.killed.elder_guardian: #6, 3(4%)
minecraft.killed.horse: #6, 6(4%)
minecraft.used.redstone: #7, 4447(5%)
minecraft.used.purple_concrete: #6, 125(2%)
minecraft.used.netherite_sword: #6, 12717(2%)
minecraft.used.rotten_flesh: #6, 19(2%)
minecraft.used.dark_oak_button: #6, 50(3%)
minecraft.dropped.spruce_sapling: #7, 74(7%)
minecraft.picked_up.gravel: #7, 43846(5%)
minecraft.crafted.red_sandstone_slab: #6, 24(6%)
minecraft.mined.acacia_stairs: #6, 31(3%)
minecraft.used.player_head: #7, 214(6%)
minecraft.crafted.dark_oak_button: #6, 49(2%)
minecraft.dropped.jungle_boat: #6, 2(3%)
minecraft.used.brain_coral_block: #6, 10(4%)
minecraft.dropped.birch_trapdoor: #6, 11(2%)
minecraft.broken.iron_hoe: #6, 1(4%)
minecraft.used.twisting_vines: #6, 30(2%)
minecraft.picked_up.crimson_hyphae: #6, 19(3%)
minecraft.killed.cat: #6, 3(2%)
minecraft.dropped.brown_terracotta: #6, 103(3%)
minecraft.dropped.warped_stem: #6, 23(2%)
minecraft.dropped.splash_potion: #6, 17(2%)
minecraft.dropped.acacia_sign: #6, 7(2%)
minecraft.mined.chipped_anvil: #7, 23(5%)
minecraft.dropped.spruce_sign: #6, 22(1%)
minecraft.mined.redstone_lamp: #7, 106(6%)
minecraft.crafted.crafting_table: #7, 135(5%)
minecraft.mined.quartz_stairs: #6, 102(1%)
minecraft.picked_up.warped_hyphae: #6, 16(2%)
minecraft.picked_up.coal: #7, 17940(5%)
minecraft.picked_up.chiseled_sandstone: #6, 32(1%)
minecraft.picked_up.iron_door: #7, 31(6%)
minecraft.killed_by.hoglin: #6, 1(2%)
minecraft.used.magma_block: #7, 3279(5%)
minecraft.used.horn_coral: #6, 2(2%)
minecraft.mined.stripped_oak_wood: #6, 57(1%)
minecraft.dropped.light_blue_dye: #6, 8(2%)
minecraft.picked_up.stripped_oak_wood: #6, 57(1%)
minecraft.dropped.lily_pad: #6, 3(2%)
minecraft.dropped.seagrass: #6, 16(1%)
minecraft.mined.light_weighted_pressure_plate: #6, 9(1%)
minecraft.dropped.brown_carpet: #6, 18(2%)
minecraft.mined.brown_mushroom: #7, 111(5%)
minecraft.mined.chiseled_sandstone: #6, 21(1%)
minecraft.used.furnace: #7, 323(5%)
minecraft.dropped.acacia_slab: #6, 5(2%)
minecraft.crafted.oak_slab: #7, 1230(5%)
minecraft.picked_up.polished_blackstone: #7, 397(5%)
minecraft.used.shield: #6, 11(1%)
minecraft.picked_up.yellow_banner: #6, 1(1%)
minecraft.picked_up.dead_horn_coral_fan: #6, 1(2%)
minecraft.dropped.wooden_shovel: #6, 2(1%)
minecraft.dropped.spruce_fence_gate: #6, 3(1%)
minecraft.crafted.wooden_shovel: #6, 4(1%)
minecraft.dropped.beacon: #6, 1(1%)
minecraft.dropped.dark_oak_sign: #6, 13(1%)
minecraft.crafted.lodestone: #6, 1(1%)
minecraft.crafted.white_shulker_box: #7, 13(5%)
minecraft.dropped.dark_oak_stairs: #6, 18(1%)
minecraft.crafted.light_weighted_pressure_plate: #6, 64(0%)
minecraft.dropped.warped_roots: #7, 162(6%)
minecraft.crafted.cyan_glazed_terracotta: #6, 1(1%)
minecraft.picked_up.wooden_shovel: #6, 1(1%)
minecraft.dropped.nether_brick_wall: #6, 7(1%)
minecraft.dropped.blue_concrete_powder: #6, 2(0%)
minecraft.picked_up.redstone_lamp: #7, 110(5%)
minecraft.killed_by.creeper: #7, 7(5%)
minecraft.used.iron_block: #7, 6406(4%)
minecraft.crafted.iron_nugget: #7, 7851(4%)
minecraft.mined.brown_mushroom_block: #7, 2291(4%)
minecraft.dropped.golden_carrot: #7, 450(4%)
minecraft.dropped.crafting_table: #7, 25(4%)
minecraft.used.redstone_lamp: #7, 213(4%)
minecraft.crafted.coal_block: #7, 1321(4%)
minecraft.picked_up.brown_mushroom: #7, 477(4%)
minecraft.picked_up.shield: #7, 14(4%)
minecraft.dropped.diamond: #7, 489(4%)
minecraft.mined.red_mushroom: #7, 36(4%)
minecraft.picked_up.melon_slice: #7, 1981(4%)
minecraft.used.crimson_trapdoor: #7, 135(6%)
minecraft.used.terracotta: #7, 1584(4%)
minecraft.crafted.iron_hoe: #7, 4(4%)
minecraft.crafted.fishing_rod: #7, 11(4%)
minecraft.crafted.acacia_fence: #7, 48(6%)
minecraft.picked_up.gilded_blackstone: #7, 59(4%)
minecraft.crafted.cyan_shulker_box: #7, 7(5%)
minecraft.used.acacia_fence: #7, 35(6%)
minecraft.used.note_block: #7, 174(4%)
minecraft.used.sunflower: #7, 6(5%)
minecraft.dropped.blackstone: #7, 496(3%)
minecraft.crafted.green_shulker_box: #7, 5(5%)
minecraft.crafted.netherite_boots: #7, 1(5%)
minecraft.crafted.note_block: #7, 190(4%)
minecraft.killed.pufferfish: #7, 14(4%)
minecraft.picked_up.spruce_trapdoor: #7, 632(3%)
minecraft.custom.damage_dealt: #7, 1939009(2%)
minecraft.crafted.netherite_ingot: #7, 38(3%)
minecraft.dropped.purpur_pillar: #7, 13(4%)
minecraft.picked_up.mushroom_stem: #7, 703(3%)
minecraft.picked_up.jungle_button: #7, 7(4%)
minecraft.crafted.birch_button: #7, 30(5%)
minecraft.picked_up.red_banner: #7, 4(5%)
minecraft.used.cyan_stained_glass_pane: #7, 106(4%)
minecraft.dropped.purpur_stairs: #7, 14(4%)
minecraft.used.gilded_blackstone: #7, 22(4%)
minecraft.picked_up.white_dye: #7, 284(3%)
minecraft.mined.cracked_polished_blackstone_bricks: #7, 500(3%)
minecraft.used.basalt: #7, 1192(3%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #7, 457(3%)
minecraft.crafted.iron_shovel: #7, 19(2%)
minecraft.crafted.blackstone_slab: #7, 354(3%)
minecraft.used.dark_oak_pressure_plate: #7, 3(5%)
minecraft.mined.lime_stained_glass: #7, 104(3%)
minecraft.crafted.birch_boat: #7, 5(3%)
minecraft.crafted.green_terracotta: #7, 512(3%)
minecraft.used.mushroom_stem: #7, 208(3%)
minecraft.picked_up.red_terracotta: #8, 5006(7%)
minecraft.crafted.warped_hyphae: #7, 477(5%)
minecraft.dropped.mossy_cobblestone: #7, 29(3%)
