stat, rank, value, (percentage) 
minecraft.picked_up.red_sandstone_stairs: #1, 83(42%)
minecraft.crafted.cyan_glazed_terracotta: #1, 32(34%)
minecraft.used.blue_banner: #1, 16(25%)
minecraft.mined.cut_sandstone: #2, 1068(15%)
minecraft.mined.clay: #2, 3055(12%)
minecraft.mined.orange_concrete_powder: #2, 46(29%)
minecraft.used.birch_fence: #2, 576(15%)
minecraft.picked_up.acacia_slab: #2, 191(21%)
minecraft.picked_up.lead: #2, 504(12%)
minecraft.picked_up.acacia_stairs: #2, 323(22%)
minecraft.used.cut_sandstone_slab: #2, 951(22%)
minecraft.used.loom: #2, 132(13%)
minecraft.picked_up.purple_wool: #2, 1672(18%)
minecraft.killed_by.piglin_brute: #1, 3(60%)
minecraft.picked_up.cut_sandstone: #2, 1123(14%)
minecraft.broken.diamond_helmet: #1, 2(29%)
minecraft.killed.pig: #2, 119(11%)
minecraft.crafted.item_frame: #2, 1166(11%)
minecraft.mined.birch_fence: #2, 214(14%)
minecraft.used.clay: #3, 1566(20%)
minecraft.mined.acacia_slab: #2, 157(22%)
minecraft.crafted.lime_glazed_terracotta: #1, 12(33%)
minecraft.picked_up.filled_map: #2, 574(12%)
minecraft.mined.yellow_glazed_terracotta: #2, 295(26%)
minecraft.mined.black_carpet: #3, 6525(18%)
minecraft.crafted.leather_helmet: #2, 129(16%)
minecraft.picked_up.creeper_head: #1, 4(31%)
minecraft.crafted.globe_banner_pattern: #1, 3(75%)
minecraft.mined.white_stained_glass_pane: #2, 240(11%)
minecraft.dropped.cobblestone: #2, 21692(10%)
minecraft.used.magenta_concrete_powder: #3, 3529(22%)
minecraft.crafted.diorite_stairs: #2, 66(33%)
minecraft.picked_up.jukebox: #2, 18(17%)
minecraft.mined.black_terracotta: #2, 1054(15%)
minecraft.picked_up.clay: #3, 2394(15%)
minecraft.used.iron_door: #2, 108(11%)
minecraft.crafted.magenta_stained_glass_pane: #2, 176(24%)
minecraft.crafted.note_block: #3, 871(17%)
minecraft.picked_up.feather: #3, 1655(13%)
minecraft.mined.jungle_trapdoor: #2, 117(13%)
minecraft.mined.loom: #2, 36(12%)
minecraft.mined.potted_allium: #1, 5(26%)
minecraft.mined.cut_sandstone_slab: #2, 139(14%)
minecraft.used.music_disc_ward: #2, 8(29%)
minecraft.crafted.tube_coral_block: #1, 1(100%)
minecraft.crafted.brain_coral_block: #1, 2(100%)
minecraft.crafted.creeper_banner_pattern: #1, 1(25%)
minecraft.dropped.music_disc_far: #1, 1(50%)
minecraft.dropped.orange_banner: #1, 2(100%)
minecraft.dropped.music_disc_wait: #1, 1(100%)
minecraft.picked_up.globe_banner_pattern: #1, 1(100%)
minecraft.mined.magenta_wall_banner: #1, 3(100%)
minecraft.picked_up.netherite_chestplate: #2, 7(17%)
minecraft.crafted.white_glazed_terracotta: #2, 128(33%)
minecraft.mined.purple_concrete_powder: #2, 17(17%)
minecraft.custom.tune_noteblock: #2, 65889(9%)
minecraft.picked_up.magenta_stained_glass_pane: #2, 39(18%)
minecraft.used.shield: #2, 181(22%)
minecraft.picked_up.polished_diorite_stairs: #2, 246(20%)
minecraft.used.diorite: #3, 2829(12%)
minecraft.used.stripped_crimson_stem: #2, 114(27%)
minecraft.mined.cyan_wool: #2, 71(11%)
minecraft.picked_up.pink_terracotta: #2, 373(14%)
minecraft.broken.iron_hoe: #2, 6(23%)
minecraft.crafted.map: #2, 320(9%)
minecraft.used.lead: #2, 11(20%)
