stat, rank, value, (percentage) 
minecraft.mined.diorite_stairs: #4, 25(8%)
minecraft.custom.enchant_item: #5, 254(7%)
minecraft.killed.salmon: #4, 27(3%)
minecraft.used.brain_coral: #4, 3(8%)
minecraft.picked_up.chainmail_helmet: #5, 9(8%)
minecraft.used.chiseled_nether_bricks: #4, 81(3%)
minecraft.crafted.snow: #4, 144(4%)
minecraft.picked_up.orange_banner: #4, 3(8%)
minecraft.dropped.black_wool: #4, 128(4%)
minecraft.picked_up.jungle_fence_gate: #4, 16(4%)
minecraft.dropped.granite_slab: #4, 7(9%)
minecraft.used.cyan_concrete: #5, 2244(7%)
minecraft.used.gray_glazed_terracotta: #4, 17(7%)
minecraft.used.smooth_sandstone_slab: #5, 2161(8%)
minecraft.mined.cyan_concrete_powder: #4, 18(5%)
minecraft.mined.lapis_block: #4, 47(5%)
minecraft.crafted.chainmail_leggings: #4, 3(8%)
minecraft.picked_up.cut_sandstone_slab: #5, 152(11%)
minecraft.mined.light_blue_glazed_terracotta: #4, 15(8%)
minecraft.picked_up.mossy_stone_brick_wall: #4, 3(9%)
minecraft.mined.jungle_stairs: #5, 100(8%)
minecraft.used.jungle_fence: #5, 142(9%)
minecraft.dropped.polished_blackstone_brick_stairs: #4, 7(5%)
minecraft.crafted.chainmail_chestplate: #4, 2(7%)
minecraft.killed_by.creeper: #5, 10(7%)
minecraft.mined.black_banner: #4, 4(6%)
minecraft.used.bread: #5, 285(7%)
minecraft.used.mossy_cobblestone_wall: #4, 20(5%)
minecraft.dropped.stripped_birch_wood: #4, 2(11%)
minecraft.crafted.smooth_red_sandstone: #4, 64(8%)
minecraft.mined.gold_ore: #5, 1665(6%)
minecraft.picked_up.prismarine_bricks: #4, 644(2%)
minecraft.picked_up.light_gray_glazed_terracotta: #4, 30(7%)
minecraft.used.green_wool: #5, 468(9%)
minecraft.used.cooked_chicken: #5, 332(8%)
minecraft.used.music_disc_mellohi: #4, 1(8%)
minecraft.dropped.red_terracotta: #5, 135(7%)
minecraft.picked_up.pink_carpet: #4, 24(3%)
minecraft.used.jungle_pressure_plate: #4, 5(4%)
minecraft.mined.pink_carpet: #4, 18(3%)
minecraft.mined.acacia_trapdoor: #5, 133(8%)
minecraft.mined.light_weighted_pressure_plate: #4, 19(3%)
minecraft.used.acacia_trapdoor: #5, 662(8%)
minecraft.mined.prismarine_bricks: #4, 516(2%)
minecraft.killed.piglin_brute: #4, 4(7%)
minecraft.dropped.smooth_sandstone_stairs: #4, 24(3%)
minecraft.used.lime_glazed_terracotta: #4, 13(7%)
minecraft.mined.potted_azure_bluet: #4, 1(6%)
minecraft.picked_up.warped_fence_gate: #4, 2(3%)
minecraft.used.horn_coral: #4, 3(3%)
minecraft.used.stone_brick_wall: #5, 904(7%)
minecraft.mined.warped_fence_gate: #4, 2(3%)
minecraft.mined.stonecutter: #5, 145(6%)
minecraft.picked_up.brown_dye: #4, 34(3%)
minecraft.mined.magenta_wool: #4, 19(2%)
minecraft.picked_up.black_bed: #4, 16(2%)
minecraft.dropped.birch_stairs: #4, 12(3%)
minecraft.picked_up.light_blue_wool: #5, 840(8%)
minecraft.picked_up.enchanting_table: #5, 7(8%)
minecraft.mined.black_bed: #4, 15(2%)
minecraft.mined.cracked_nether_bricks: #4, 15(4%)
minecraft.used.horn_coral_fan: #5, 15(10%)
minecraft.dropped.white_terracotta: #5, 110(6%)
minecraft.mined.acacia_door: #4, 1(4%)
minecraft.mined.blue_bed: #4, 25(3%)
minecraft.picked_up.stonecutter: #5, 149(6%)
minecraft.used.gray_wool: #5, 1802(5%)
minecraft.used.pink_glazed_terracotta: #4, 6(5%)
minecraft.dropped.brown_stained_glass: #4, 3(4%)
minecraft.used.vine: #5, 153(6%)
minecraft.used.jungle_leaves: #5, 1493(5%)
minecraft.used.cracked_nether_bricks: #4, 77(3%)
minecraft.mined.iron_bars: #5, 276(5%)
minecraft.crafted.iron_hoe: #5, 6(6%)
minecraft.picked_up.yellow_stained_glass_pane: #4, 30(1%)
minecraft.picked_up.blue_terracotta: #5, 430(9%)
minecraft.picked_up.iron_shovel: #5, 16(5%)
minecraft.dropped.brown_wool: #4, 49(1%)
minecraft.used.stonecutter: #5, 151(5%)
minecraft.picked_up.cracked_nether_bricks: #4, 15(2%)
minecraft.used.sandstone_wall: #5, 799(7%)
minecraft.picked_up.purple_dye: #4, 26(2%)
minecraft.picked_up.brown_carpet: #5, 169(6%)
minecraft.used.bubble_coral_block: #4, 9(2%)
minecraft.crafted.mushroom_stew: #4, 1(2%)
minecraft.crafted.magenta_glazed_terracotta: #4, 12(1%)
minecraft.crafted.wooden_pickaxe: #5, 2(5%)
minecraft.picked_up.stone_brick_wall: #5, 169(6%)
minecraft.crafted.gray_glazed_terracotta: #4, 8(1%)
minecraft.used.white_banner: #5, 47(4%)
minecraft.mined.andesite_stairs: #5, 31(6%)
minecraft.used.andesite_slab: #5, 1128(5%)
minecraft.crafted.rabbit_stew: #4, 1(0%)
minecraft.crafted.pink_glazed_terracotta: #4, 3(0%)
minecraft.dropped.gray_glazed_terracotta: #4, 1(0%)
minecraft.used.dried_kelp_block: #4, 12(0%)
minecraft.crafted.stone_sword: #5, 4(6%)
minecraft.crafted.air: #4, 0(0%)
minecraft.mined.light_blue_carpet: #5, 51(6%)
minecraft.mined.green_wool: #5, 83(6%)
minecraft.used.crimson_trapdoor: #5, 159(6%)
minecraft.picked_up.orange_wool: #5, 776(6%)
minecraft.crafted.stone_pickaxe: #5, 34(4%)
minecraft.picked_up.gray_wool: #5, 1381(4%)
minecraft.used.jungle_slab: #5, 860(6%)
minecraft.mined.green_terracotta: #5, 137(5%)
minecraft.picked_up.podzol: #5, 3047(4%)
minecraft.picked_up.birch_slab: #5, 209(4%)
minecraft.used.peony: #5, 16(5%)
minecraft.used.cracked_polished_blackstone_bricks: #5, 242(5%)
minecraft.used.cobblestone_slab: #6, 2021(8%)
minecraft.used.yellow_wool: #5, 253(5%)
minecraft.crafted.golden_boots: #5, 6(5%)
minecraft.used.black_terracotta: #5, 1289(5%)
minecraft.used.jungle_trapdoor: #5, 244(5%)
minecraft.crafted.jungle_stairs: #5, 240(6%)
minecraft.used.polished_granite_stairs: #5, 60(7%)
minecraft.picked_up.chiseled_quartz_block: #5, 66(4%)
minecraft.crafted.stone_shovel: #5, 30(4%)
minecraft.custom.interact_with_furnace: #6, 4044(7%)
minecraft.crafted.acacia_planks: #6, 5272(8%)
minecraft.used.cyan_wool: #5, 160(4%)
minecraft.used.birch_trapdoor: #5, 256(3%)
minecraft.used.lily_of_the_valley: #5, 10(7%)
minecraft.mined.potted_bamboo: #5, 3(7%)
minecraft.used.yellow_terracotta: #5, 435(4%)
minecraft.mined.polished_diorite_slab: #5, 92(8%)
minecraft.picked_up.lime_terracotta: #5, 109(4%)
minecraft.used.horn_coral_block: #5, 12(6%)
minecraft.dropped.gold_block: #5, 65(4%)
minecraft.mined.white_concrete_powder: #5, 194(3%)
minecraft.used.music_disc_chirp: #5, 2(9%)
minecraft.dropped.wooden_pickaxe: #5, 1(5%)
minecraft.picked_up.golden_chestplate: #6, 30(7%)
minecraft.mined.glass: #6, 1467(7%)
minecraft.used.light_blue_terracotta: #5, 373(5%)
minecraft.mined.hay_block: #6, 123(7%)
minecraft.picked_up.diamond_axe: #6, 38(7%)
minecraft.picked_up.lime_wool: #5, 345(3%)
minecraft.broken.iron_helmet: #5, 1(7%)
minecraft.picked_up.diamond_helmet: #6, 32(6%)
minecraft.killed.zombified_piglin: #5, 16050(3%)
minecraft.crafted.lime_bed: #5, 4(5%)
minecraft.dropped.diamond_chestplate: #5, 3(4%)
minecraft.crafted.polished_blackstone_pressure_plate: #5, 43(4%)
minecraft.mined.dark_oak_trapdoor: #6, 227(7%)
minecraft.used.purple_terracotta: #5, 334(5%)
minecraft.mined.warped_wall_sign: #5, 4(6%)
minecraft.picked_up.diamond_leggings: #6, 32(6%)
minecraft.picked_up.diamond_sword: #6, 62(6%)
minecraft.picked_up.jungle_fence: #6, 72(8%)
minecraft.used.black_wool: #5, 760(2%)
minecraft.crafted.smooth_quartz: #6, 1010(9%)
minecraft.mined.polished_granite_stairs: #5, 10(5%)
minecraft.mined.jungle_pressure_plate: #5, 1(7%)
minecraft.crafted.chainmail_boots: #5, 5(6%)
minecraft.picked_up.light_gray_wool: #5, 780(2%)
minecraft.crafted.popped_chorus_fruit: #5, 20(5%)
minecraft.crafted.orange_bed: #5, 5(4%)
minecraft.crafted.player_head: #6, 852(7%)
minecraft.used.blue_terracotta: #5, 430(4%)
minecraft.mined.lime_carpet: #6, 141(8%)
minecraft.used.lime_bed: #5, 17(3%)
minecraft.crafted.purple_terracotta: #5, 320(3%)
minecraft.used.smooth_sandstone_stairs: #5, 1595(2%)
minecraft.picked_up.red_stained_glass_pane: #5, 23(3%)
minecraft.picked_up.iron_chestplate: #6, 13(6%)
minecraft.picked_up.polished_granite_stairs: #5, 9(4%)
minecraft.used.trapped_chest: #5, 3(5%)
minecraft.used.brain_coral_block: #5, 11(4%)
minecraft.picked_up.chiseled_nether_bricks: #5, 16(2%)
minecraft.dropped.red_dye: #5, 52(2%)
minecraft.crafted.glass_pane: #6, 1008(6%)
minecraft.used.blue_carpet: #5, 170(3%)
minecraft.used.pink_tulip: #5, 9(3%)
minecraft.mined.green_bed: #5, 15(2%)
minecraft.crafted.yellow_wool: #5, 30(2%)
minecraft.picked_up.wheat_seeds: #6, 18496(6%)
minecraft.used.jungle_wood: #5, 222(2%)
minecraft.mined.smooth_quartz_stairs: #6, 293(6%)
minecraft.mined.blue_carpet: #5, 50(3%)
minecraft.mined.lime_bed: #5, 14(2%)
minecraft.mined.nether_quartz_ore: #6, 6203(6%)
minecraft.picked_up.blue_concrete_powder: #5, 215(2%)
minecraft.dropped.sandstone_stairs: #5, 11(4%)
minecraft.dropped.gilded_blackstone: #5, 12(4%)
minecraft.used.green_bed: #5, 14(2%)
minecraft.used.light_blue_glazed_terracotta: #5, 15(3%)
minecraft.picked_up.salmon: #6, 81(6%)
minecraft.mined.fern: #6, 340(5%)
minecraft.used.chipped_anvil: #6, 20(5%)
minecraft.mined.chiseled_nether_bricks: #5, 12(2%)
minecraft.picked_up.green_bed: #5, 12(2%)
minecraft.dropped.cut_sandstone: #5, 31(2%)
minecraft.crafted.cyan_wool: #5, 8(2%)
minecraft.picked_up.iron_sword: #6, 19(5%)
minecraft.picked_up.jungle_sapling: #6, 334(6%)
minecraft.used.black_bed: #5, 17(2%)
minecraft.used.green_glazed_terracotta: #5, 8(3%)
minecraft.mined.light_gray_glazed_terracotta: #5, 14(3%)
minecraft.dropped.beehive: #5, 2(2%)
minecraft.dropped.andesite_slab: #5, 98(1%)
minecraft.mined.damaged_anvil: #6, 13(6%)
minecraft.used.turtle_egg: #5, 25(1%)
minecraft.mined.light_blue_wool: #6, 79(8%)
minecraft.mined.blackstone_wall: #6, 49(6%)
minecraft.crafted.cooked_beef: #6, 744(5%)
minecraft.picked_up.chainmail_boots: #6, 7(5%)
minecraft.used.bubble_coral: #5, 1(3%)
minecraft.crafted.smooth_red_sandstone_stairs: #5, 10(2%)
minecraft.used.cyan_concrete_powder: #6, 2443(6%)
minecraft.used.smooth_red_sandstone: #5, 91(1%)
minecraft.mined.jungle_door: #5, 1(2%)
minecraft.dropped.sandstone_slab: #5, 26(1%)
minecraft.picked_up.magenta_dye: #5, 10(2%)
minecraft.dropped.stone_shovel: #5, 4(1%)
minecraft.mined.orange_carpet: #6, 65(7%)
minecraft.dropped.target: #5, 2(1%)
minecraft.mined.warped_nylium: #6, 418(5%)
minecraft.mined.red_wool: #6, 146(5%)
minecraft.mined.polished_blackstone: #6, 318(5%)
minecraft.picked_up.damaged_anvil: #6, 13(5%)
minecraft.picked_up.purple_stained_glass_pane: #5, 10(1%)
minecraft.dropped.smooth_quartz_slab: #5, 12(1%)
minecraft.dropped.stripped_oak_wood: #5, 2(1%)
minecraft.used.warped_stem: #6, 1158(5%)
minecraft.picked_up.water_bucket: #6, 35(4%)
minecraft.used.lapis_block: #5, 47(0%)
minecraft.mined.piston: #6, 203(4%)
minecraft.dropped.magenta_concrete: #5, 1(1%)
minecraft.mined.cobblestone_stairs: #6, 71(5%)
minecraft.picked_up.dried_kelp: #5, 152(0%)
minecraft.crafted.acacia_trapdoor: #6, 542(6%)
minecraft.mined.pink_tulip: #6, 35(6%)
minecraft.mined.dried_kelp_block: #5, 1(0%)
minecraft.mined.gold_block: #6, 343(5%)
minecraft.dropped.stone_pressure_plate: #6, 47(5%)
minecraft.mined.brown_concrete_powder: #6, 33(5%)
minecraft.picked_up.brick: #6, 133(6%)
minecraft.broken.iron_axe: #6, 6(5%)
minecraft.custom.play_record: #6, 22(6%)
minecraft.used.pumpkin_seeds: #6, 88(5%)
minecraft.mined.quartz_pillar: #6, 186(5%)
minecraft.mined.podzol: #6, 3059(4%)
minecraft.picked_up.cooked_salmon: #6, 26(6%)
minecraft.used.light_gray_stained_glass_pane: #6, 402(4%)
minecraft.picked_up.cookie: #6, 82(5%)
minecraft.used.fire_coral_fan: #6, 11(7%)
minecraft.mined.lily_of_the_valley: #6, 37(5%)
minecraft.mined.dragon_wall_head: #6, 13(5%)
minecraft.used.crimson_slab: #6, 307(5%)
minecraft.dropped.chainmail_helmet: #6, 6(5%)
minecraft.picked_up.cake: #6, 2(6%)
minecraft.killed_by.vex: #6, 3(5%)
minecraft.mined.polished_blackstone_bricks: #6, 1722(4%)
minecraft.picked_up.green_terracotta: #6, 137(4%)
minecraft.picked_up.nether_brick_stairs: #6, 116(5%)
minecraft.picked_up.sandstone: #6, 16591(3%)
minecraft.mined.chiseled_quartz_block: #6, 66(5%)
minecraft.used.chiseled_stone_bricks: #6, 160(4%)
minecraft.mined.sandstone: #6, 16116(3%)
minecraft.mined.brown_terracotta: #6, 1074(4%)
minecraft.picked_up.jungle_stairs: #6, 101(4%)
minecraft.mined.polished_diorite: #6, 164(4%)
minecraft.killed.squid: #6, 222(3%)
minecraft.crafted.shears: #6, 501(3%)
minecraft.picked_up.jungle_leaves: #6, 1780(3%)
minecraft.mined.oak_trapdoor: #7, 153(8%)
minecraft.dropped.egg: #6, 567(3%)
minecraft.crafted.enchanting_table: #6, 2(3%)
minecraft.used.smooth_stone: #6, 3552(3%)
minecraft.mined.andesite_slab: #6, 198(3%)
minecraft.used.brain_coral_fan: #6, 11(5%)
minecraft.used.black_glazed_terracotta: #6, 74(7%)
minecraft.dropped.poppy: #6, 3391(2%)
minecraft.custom.interact_with_smoker: #6, 70(3%)
minecraft.mined.acacia_leaves: #6, 876(3%)
minecraft.killed.cow: #7, 679(6%)
minecraft.used.light_blue_carpet: #6, 215(3%)
minecraft.crafted.acacia_slab: #6, 192(3%)
minecraft.picked_up.golden_leggings: #7, 32(6%)
minecraft.mined.dispenser: #7, 111(7%)
minecraft.crafted.blue_carpet: #6, 205(4%)
minecraft.used.quartz_pillar: #6, 616(3%)
minecraft.picked_up.stone_shovel: #6, 4(4%)
minecraft.picked_up.clay_ball: #7, 2720(6%)
minecraft.dropped.rabbit_hide: #6, 8(3%)
minecraft.crafted.gold_block: #6, 1058(2%)
minecraft.mined.farmland: #7, 206(7%)
minecraft.dropped.smooth_sandstone: #6, 65(3%)
minecraft.crafted.gray_terracotta: #6, 872(3%)
minecraft.mined.polished_blackstone_button: #6, 5(3%)
minecraft.mined.white_terracotta: #7, 3871(7%)
minecraft.crafted.white_carpet: #7, 2301(6%)
minecraft.picked_up.oak_trapdoor: #7, 186(7%)
minecraft.broken.iron_sword: #6, 2(3%)
minecraft.used.polished_blackstone_pressure_plate: #6, 23(3%)
minecraft.mined.oak_wall_sign: #7, 89(6%)
minecraft.picked_up.golden_boots: #7, 28(6%)
minecraft.dropped.rotten_flesh: #6, 10240(2%)
minecraft.used.stone_pickaxe: #6, 556(2%)
minecraft.mined.cobblestone: #7, 3756(6%)
minecraft.dropped.wooden_hoe: #6, 1(5%)
minecraft.dropped.fishing_rod: #6, 4(2%)
minecraft.crafted.red_sandstone: #6, 315(2%)
minecraft.crafted.painting: #7, 61(7%)
minecraft.crafted.light_gray_glazed_terracotta: #6, 16(5%)
minecraft.dropped.hay_block: #6, 55(3%)
minecraft.used.tube_coral_block: #6, 14(4%)
minecraft.used.cracked_stone_bricks: #7, 437(6%)
minecraft.mined.acacia_fence: #6, 8(3%)
minecraft.killed.dolphin: #6, 2(3%)
minecraft.mined.player_head: #7, 83(6%)
minecraft.dropped.oak_pressure_plate: #6, 1(4%)
minecraft.mined.light_blue_concrete_powder: #6, 11(3%)
minecraft.crafted.chiseled_nether_bricks: #6, 36(3%)
minecraft.picked_up.lime_bed: #6, 15(2%)
minecraft.picked_up.acacia_leaves: #6, 197(2%)
minecraft.picked_up.beef: #7, 1557(6%)
minecraft.mined.polished_granite_slab: #6, 4(3%)
minecraft.crafted.mossy_cobblestone_stairs: #6, 4(3%)
minecraft.picked_up.white_terracotta: #7, 4043(6%)
minecraft.mined.chiseled_stone_bricks: #6, 31(2%)
minecraft.used.stripped_spruce_wood: #6, 26(3%)
minecraft.picked_up.light_weighted_pressure_plate: #6, 42(2%)
minecraft.custom.interact_with_loom: #7, 52(6%)
minecraft.crafted.orange_terracotta: #6, 80(2%)
minecraft.used.pumpkin_pie: #6, 53(1%)
minecraft.crafted.sandstone_stairs: #6, 133(2%)
minecraft.used.chiseled_quartz_block: #6, 140(1%)
minecraft.picked_up.netherite_scrap: #6, 1(3%)
minecraft.picked_up.blue_banner: #6, 1(3%)
minecraft.mined.light_blue_stained_glass_pane: #6, 36(1%)
minecraft.picked_up.chainmail_chestplate: #7, 8(6%)
minecraft.dropped.magma_cream: #7, 77(6%)
minecraft.picked_up.andesite_stairs: #6, 31(1%)
minecraft.used.flower_pot: #7, 117(5%)
minecraft.used.orange_banner: #6, 2(3%)
minecraft.used.oak_trapdoor: #7, 406(5%)
minecraft.used.warped_fence_gate: #6, 4(1%)
minecraft.mined.brown_wall_banner: #6, 1(2%)
minecraft.crafted.cracked_stone_bricks: #7, 376(8%)
minecraft.crafted.jungle_pressure_plate: #6, 3(1%)
minecraft.used.white_stained_glass_pane: #7, 641(5%)
minecraft.crafted.trapped_chest: #6, 1(2%)
minecraft.dropped.lime_wool: #6, 18(1%)
minecraft.dropped.orange_wool: #6, 7(1%)
minecraft.dropped.light_blue_shulker_box: #6, 1(1%)
minecraft.crafted.bowl: #6, 4(1%)
minecraft.dropped.porkchop: #6, 24(1%)
minecraft.crafted.nether_wart_block: #6, 1(1%)
minecraft.crafted.netherite_block: #6, 1(2%)
minecraft.used.magenta_bed: #6, 1(1%)
minecraft.mined.purple_stained_glass_pane: #6, 8(1%)
minecraft.used.granite_wall: #6, 24(1%)
minecraft.used.light_gray_glazed_terracotta: #6, 14(1%)
minecraft.picked_up.mushroom_stew: #6, 1(1%)
minecraft.picked_up.purple_concrete_powder: #6, 33(0%)
minecraft.crafted.orange_banner: #6, 1(1%)
minecraft.dropped.pink_wool: #6, 6(0%)
minecraft.mined.smooth_quartz_slab: #7, 458(5%)
minecraft.mined.diorite_slab: #6, 6(0%)
minecraft.picked_up.dark_prismarine_stairs: #6, 2(1%)
minecraft.crafted.blue_glazed_terracotta: #6, 8(1%)
minecraft.mined.dark_prismarine_stairs: #6, 2(1%)
minecraft.dropped.crying_obsidian: #6, 3(0%)
minecraft.used.oak_pressure_plate: #7, 9(6%)
minecraft.crafted.brown_banner: #6, 1(1%)
minecraft.used.light_weighted_pressure_plate: #6, 31(0%)
minecraft.dropped.cut_sandstone_slab: #6, 2(0%)
minecraft.used.chorus_flower: #6, 16(0%)
minecraft.custom.raid_trigger: #6, 2(0%)
minecraft.mined.smooth_quartz: #7, 370(5%)
minecraft.picked_up.pink_concrete_powder: #6, 15(0%)
minecraft.picked_up.hay_block: #7, 192(5%)
minecraft.mined.warped_stem: #7, 1729(5%)
minecraft.mined.warped_planks: #7, 52(6%)
minecraft.picked_up.dark_oak_trapdoor: #7, 267(4%)
minecraft.mined.cracked_stone_bricks: #7, 81(4%)
minecraft.mined.jungle_sign: #7, 5(5%)
minecraft.dropped.gold_ingot: #7, 212(4%)
minecraft.mined.polished_blackstone_brick_wall: #7, 26(6%)
minecraft.dropped.pumpkin_pie: #7, 70(5%)
minecraft.used.andesite_stairs: #7, 109(5%)
minecraft.used.nether_brick_slab: #7, 797(4%)
minecraft.crafted.crimson_slab: #7, 300(5%)
minecraft.mined.cobblestone_slab: #7, 154(4%)
minecraft.picked_up.stripped_oak_log: #7, 210(4%)
minecraft.mined.stripped_oak_log: #7, 210(3%)
minecraft.picked_up.polished_blackstone_brick_wall: #7, 26(5%)
minecraft.picked_up.lime_carpet: #7, 143(5%)
minecraft.mined.nether_brick_stairs: #7, 102(4%)
minecraft.used.campfire: #7, 118(3%)
minecraft.picked_up.jungle_slab: #7, 347(4%)
minecraft.mined.birch_stairs: #7, 62(5%)
minecraft.crafted.shield: #7, 11(4%)
minecraft.used.polished_blackstone_button: #7, 62(5%)
minecraft.dropped.terracotta: #7, 226(4%)
minecraft.picked_up.fishing_rod: #7, 10(4%)
minecraft.crafted.jungle_fence: #7, 90(5%)
minecraft.used.polished_granite: #7, 399(4%)
minecraft.mined.diorite_wall: #7, 50(6%)
minecraft.crafted.diorite_wall: #7, 105(7%)
minecraft.used.sandstone: #7, 4418(3%)
minecraft.used.oak_button: #7, 43(4%)
minecraft.picked_up.quartz_pillar: #7, 185(4%)
minecraft.picked_up.polished_diorite: #7, 164(3%)
minecraft.mined.black_stained_glass_pane: #7, 81(4%)
minecraft.killed.bat: #7, 49(3%)
minecraft.crafted.netherite_leggings: #7, 1(5%)
minecraft.picked_up.diorite_wall: #7, 48(5%)
minecraft.mined.light_gray_concrete_powder: #7, 112(4%)
minecraft.picked_up.birch_button: #7, 6(4%)
minecraft.used.wooden_hoe: #7, 33(5%)
minecraft.mined.campfire: #7, 45(3%)
minecraft.picked_up.brown_concrete: #7, 144(4%)
minecraft.used.tube_coral_fan: #7, 4(5%)
minecraft.mined.bookshelf: #7, 284(3%)
minecraft.crafted.leather_chestplate: #7, 43(3%)
minecraft.mined.red_concrete_powder: #7, 22(4%)
minecraft.picked_up.brown_terracotta: #7, 1111(3%)
minecraft.picked_up.white_banner: #7, 46(3%)
minecraft.crafted.netherite_sword: #7, 1(5%)
minecraft.used.dark_oak_door: #7, 21(4%)
minecraft.crafted.pink_dye: #7, 309(3%)
minecraft.crafted.white_banner: #7, 42(3%)
minecraft.used.end_stone: #7, 432(4%)
minecraft.crafted.polished_blackstone_button: #7, 64(4%)
minecraft.mined.acacia_planks: #7, 51(4%)
minecraft.used.seagrass: #7, 22(5%)
minecraft.crafted.light_blue_carpet: #7, 276(3%)
minecraft.crafted.pumpkin_seeds: #7, 104(4%)
minecraft.picked_up.wooden_pickaxe: #7, 1(6%)
minecraft.used.smooth_quartz_slab: #7, 1214(3%)
minecraft.killed.tropical_fish: #7, 29(3%)
minecraft.picked_up.dark_oak_door: #7, 16(3%)
minecraft.used.polished_diorite: #7, 321(2%)
minecraft.picked_up.pink_dye: #7, 27(4%)
minecraft.crafted.gray_shulker_box: #7, 6(2%)
minecraft.crafted.light_blue_shulker_box: #7, 7(3%)
minecraft.mined.acacia_sapling: #7, 14(4%)
minecraft.picked_up.andesite_slab: #7, 299(2%)
minecraft.crafted.cyan_bed: #7, 4(4%)
minecraft.crafted.nether_brick_fence: #7, 84(3%)
minecraft.used.orange_carpet: #7, 338(2%)
minecraft.used.acacia_planks: #7, 58(3%)
minecraft.dropped.stripped_warped_stem: #7, 2(4%)
minecraft.used.lime_terracotta: #7, 131(2%)
minecraft.crafted.black_terracotta: #7, 760(2%)
minecraft.dropped.black_carpet: #7, 22(3%)
minecraft.picked_up.dark_oak_sign: #7, 32(2%)
minecraft.crafted.birch_door: #7, 12(3%)
minecraft.dropped.nether_wart: #7, 65(2%)
minecraft.mined.birch_button: #7, 2(3%)
minecraft.picked_up.scaffolding: #8, 13506(6%)
minecraft.used.acacia_sapling: #7, 190(3%)
minecraft.used.magenta_wool: #7, 34(2%)
minecraft.used.blackstone_wall: #7, 136(2%)
minecraft.killed_by.vindicator: #7, 1(3%)
minecraft.crafted.red_terracotta: #7, 384(2%)
minecraft.dropped.rabbit: #7, 4(2%)
minecraft.crafted.orange_carpet: #7, 342(2%)
minecraft.killed_by.ravager: #8, 8(7%)
minecraft.used.scaffolding: #8, 12793(6%)
minecraft.killed.spider: #8, 209(5%)
minecraft.used.prismarine_bricks: #7, 623(2%)
minecraft.used.granite_stairs: #7, 18(3%)
minecraft.picked_up.smooth_quartz_stairs: #8, 338(6%)
minecraft.crafted.bookshelf: #7, 279(1%)
minecraft.mined.oak_wood: #7, 52(2%)
minecraft.used.blackstone: #7, 1449(1%)
minecraft.crafted.cooked_chicken: #7, 184(2%)
minecraft.crafted.magenta_terracotta: #7, 144(2%)
minecraft.crafted.pink_carpet: #7, 66(2%)
minecraft.crafted.jungle_wood: #7, 186(2%)
minecraft.picked_up.stripped_spruce_wood: #7, 20(2%)
minecraft.mined.bubble_coral_fan: #7, 7(2%)
minecraft.killed_by.hoglin: #7, 1(2%)
minecraft.picked_up.leather_boots: #8, 23(5%)
minecraft.picked_up.cooked_beef: #8, 1149(5%)
minecraft.custom.pot_flower: #8, 89(5%)
minecraft.dropped.yellow_glazed_terracotta: #7, 1(2%)
minecraft.dropped.dead_bush: #7, 1(1%)
minecraft.used.light_blue_stained_glass_pane: #7, 58(1%)
minecraft.used.jungle_fence_gate: #7, 34(1%)
minecraft.picked_up.leather_chestplate: #8, 23(5%)
minecraft.mined.sugar_cane: #8, 4177(5%)
minecraft.used.sweet_berries: #7, 129(1%)
minecraft.dropped.oak_door: #7, 2(1%)
minecraft.mined.granite_wall: #7, 8(2%)
minecraft.dropped.birch_trapdoor: #7, 5(1%)
minecraft.crafted.bricks: #7, 647(1%)
minecraft.crafted.blue_stained_glass_pane: #7, 16(1%)
minecraft.picked_up.granite_wall: #7, 8(1%)
minecraft.picked_up.cooked_rabbit: #7, 3(2%)
minecraft.dropped.brown_terracotta: #7, 46(1%)
minecraft.mined.turtle_egg: #7, 25(1%)
minecraft.crafted.smooth_sandstone_stairs: #7, 70(1%)
minecraft.dropped.gray_dye: #7, 8(1%)
minecraft.picked_up.tube_coral_block: #7, 14(1%)
minecraft.mined.tube_coral_block: #7, 14(1%)
minecraft.crafted.black_bed: #7, 1(1%)
minecraft.used.diamond_sword: #8, 18058(4%)
minecraft.crafted.dark_prismarine_stairs: #7, 10(1%)
minecraft.crafted.armor_stand: #7, 137(0%)
minecraft.dropped.cooked_cod: #7, 6(1%)
minecraft.picked_up.polished_granite_slab: #7, 4(1%)
minecraft.picked_up.brown_concrete_powder: #7, 43(0%)
minecraft.picked_up.rabbit: #7, 11(0%)
minecraft.used.blue_stained_glass_pane: #7, 7(1%)
minecraft.custom.interact_with_smithing_table: #8, 38(4%)
minecraft.used.brown_banner: #7, 1(1%)
minecraft.killed.zombie_villager: #8, 21(4%)
minecraft.crafted.mossy_cobblestone_wall: #7, 6(1%)
minecraft.picked_up.bubble_coral_block: #7, 9(0%)
minecraft.mined.dandelion: #8, 226(5%)
minecraft.mined.bubble_coral_block: #7, 9(0%)
minecraft.picked_up.wooden_shovel: #7, 1(1%)
minecraft.mined.blue_stained_glass_pane: #7, 1(0%)
minecraft.crafted.light_gray_banner: #7, 1(0%)
minecraft.dropped.lectern: #7, 1(0%)
minecraft.mined.chorus_flower: #7, 16(0%)
minecraft.crafted.light_weighted_pressure_plate: #7, 23(0%)
minecraft.dropped.crimson_trapdoor: #7, 2(0%)
minecraft.crafted.glistering_melon_slice: #7, 26(0%)
minecraft.used.green_stained_glass_pane: #7, 1(0%)
