stat, rank, value, (percentage) 
minecraft.crafted.chainmail_leggings: #2, 12(32%)
minecraft.killed.pufferfish: #3, 59(17%)
minecraft.used.emerald_ore: #2, 22(21%)
minecraft.picked_up.bubble_coral_fan: #2, 108(13%)
minecraft.used.purple_stained_glass_pane: #2, 1618(17%)
minecraft.used.trident: #3, 1004(15%)
minecraft.mined.bubble_coral_wall_fan: #2, 98(11%)
minecraft.picked_up.bread: #3, 1476(13%)
minecraft.used.pufferfish_bucket: #3, 33(20%)
minecraft.crafted.purple_stained_glass_pane: #2, 1504(16%)
minecraft.mined.white_concrete: #3, 22911(11%)
minecraft.used.brown_banner: #2, 28(23%)
minecraft.mined.brown_wall_banner: #2, 11(23%)
minecraft.mined.polished_blackstone_bricks: #3, 5166(11%)
minecraft.dropped.spruce_log: #3, 1664(13%)
minecraft.picked_up.polished_blackstone_bricks: #3, 4892(11%)
minecraft.custom.clean_shulker_box: #2, 20(24%)
minecraft.used.lapis_ore: #3, 601(11%)
minecraft.crafted.orange_wool: #2, 168(17%)
minecraft.picked_up.bone: #3, 11050(9%)
minecraft.used.orange_banner: #2, 17(22%)
minecraft.dropped.golden_chestplate: #3, 42(11%)
minecraft.dropped.mushroom_stew: #2, 4(24%)
minecraft.mined.purple_stained_glass_pane: #2, 122(11%)
minecraft.used.jungle_fence_gate: #3, 481(17%)
minecraft.mined.magma_block: #3, 8009(9%)
minecraft.picked_up.purple_stained_glass_pane: #2, 151(11%)
minecraft.picked_up.leather_boots: #3, 41(9%)
minecraft.mined.trapped_chest: #2, 2(22%)
minecraft.killed.piglin_brute: #2, 15(27%)
minecraft.picked_up.birch_sapling: #3, 1424(9%)
minecraft.picked_up.chainmail_helmet: #3, 12(11%)
minecraft.crafted.jungle_fence_gate: #3, 472(16%)
minecraft.dropped.golden_boots: #3, 45(10%)
minecraft.crafted.black_stained_glass_pane: #3, 2240(11%)
minecraft.dropped.leather_boots: #3, 40(10%)
minecraft.picked_up.oak_fence: #3, 578(8%)
minecraft.crafted.nautilus_shell: #2, 5(50%)
minecraft.killed.fox: #2, 1(33%)
minecraft.used.dirt: #3, 68327(8%)
minecraft.dropped.spruce_slab: #3, 635(12%)
minecraft.dropped.chainmail_chestplate: #3, 15(14%)
minecraft.crafted.brown_banner: #2, 28(16%)
minecraft.picked_up.brain_coral_fan: #3, 118(13%)
minecraft.dropped.iron_axe: #2, 14(5%)
minecraft.picked_up.horn_coral_fan: #3, 106(12%)
minecraft.picked_up.dirt: #3, 114099(7%)
minecraft.crafted.oak_pressure_plate: #3, 15(10%)
minecraft.dropped.spruce_trapdoor: #3, 611(11%)
minecraft.used.white_concrete: #3, 22512(8%)
minecraft.used.dark_oak_trapdoor: #3, 1024(8%)
minecraft.used.chiseled_sandstone: #2, 528(6%)
minecraft.used.smooth_stone_slab: #3, 15677(8%)
minecraft.mined.lapis_ore: #3, 1353(8%)
minecraft.killed.spider: #3, 288(7%)
minecraft.picked_up.fire_coral_fan: #3, 99(12%)
minecraft.mined.brain_coral_wall_fan: #3, 107(12%)
minecraft.picked_up.jungle_wood: #3, 188(12%)
minecraft.dropped.golden_leggings: #3, 35(8%)
minecraft.dropped.nautilus_shell: #3, 14(15%)
minecraft.mined.stripped_oak_wood: #2, 215(5%)
minecraft.custom.minecart_one_cm: #3, 10896087(7%)
minecraft.picked_up.cooked_mutton: #3, 329(9%)
minecraft.killed_by.vindicator: #3, 5(15%)
minecraft.picked_up.stripped_oak_wood: #2, 215(5%)
minecraft.picked_up.birch_pressure_plate: #3, 23(13%)
minecraft.used.stripped_oak_wood: #2, 207(5%)
minecraft.killed.turtle: #3, 7(16%)
minecraft.used.cod_bucket: #3, 10(23%)
minecraft.crafted.gold_block: #4, 5839(11%)
minecraft.dropped.pumpkin_pie: #3, 120(9%)
minecraft.mined.horn_coral_wall_fan: #3, 95(10%)
minecraft.mined.jungle_fence_gate: #3, 38(13%)
minecraft.mined.tube_coral_fan: #2, 18(4%)
