stat, rank, value, (percentage) 
minecraft.custom.interact_with_cartography_table: #7, 25(6%)
minecraft.picked_up.red_sand: #7, 7042(5%)
minecraft.picked_up.diamond: #7, 2751(4%)
minecraft.picked_up.diamond_ore: #7, 998(4%)
minecraft.mined.red_sand: #7, 6989(5%)
minecraft.crafted.oak_sign: #7, 252(4%)
minecraft.used.cyan_carpet: #7, 405(5%)
minecraft.mined.warped_roots: #7, 356(4%)
minecraft.crafted.stonecutter: #7, 66(4%)
minecraft.used.firework_rocket: #7, 877(3%)
minecraft.dropped.birch_boat: #7, 4(6%)
minecraft.dropped.stone: #7, 10746(4%)
minecraft.picked_up.dark_oak_sapling: #7, 433(4%)
minecraft.mined.light_gray_concrete: #7, 2036(3%)
minecraft.crafted.leather_boots: #7, 29(4%)
minecraft.used.sea_lantern: #7, 2030(3%)
minecraft.dropped.hopper: #7, 23(4%)
minecraft.picked_up.cooked_cod: #7, 75(4%)
minecraft.mined.beehive: #7, 33(4%)
minecraft.crafted.clock: #7, 6(4%)
minecraft.picked_up.emerald_ore: #7, 23(6%)
minecraft.picked_up.beehive: #7, 36(4%)
minecraft.crafted.black_wool: #7, 158(3%)
minecraft.dropped.warped_nylium: #7, 13(4%)
minecraft.used.spruce_sapling: #7, 444(3%)
minecraft.used.blue_wool: #7, 70(3%)
minecraft.dropped.nether_quartz_ore: #7, 42(3%)
minecraft.mined.ladder: #8, 145(7%)
minecraft.dropped.chainmail_boots: #7, 5(4%)
minecraft.used.blue_concrete: #7, 372(2%)
minecraft.used.lava_bucket: #7, 488(2%)
minecraft.killed.squid: #7, 159(2%)
minecraft.mined.yellow_wool: #7, 61(4%)
minecraft.crafted.brown_shulker_box: #7, 5(3%)
minecraft.mined.dark_prismarine: #7, 120(2%)
minecraft.used.light_blue_concrete_powder: #7, 1024(3%)
minecraft.killed.horse: #7, 6(4%)
minecraft.mined.potted_fern: #7, 1(5%)
minecraft.picked_up.dead_bush: #7, 81(2%)
minecraft.used.light_blue_concrete: #7, 759(2%)
minecraft.dropped.stone_sword: #7, 32(2%)
minecraft.dropped.oak_button: #7, 8(3%)
minecraft.picked_up.music_disc_chirp: #7, 2(4%)
minecraft.dropped.dark_oak_leaves: #7, 11(4%)
minecraft.picked_up.tropical_fish: #7, 38(2%)
minecraft.picked_up.leather_leggings: #8, 26(6%)
minecraft.mined.infested_stone: #7, 25(2%)
minecraft.crafted.grindstone: #7, 65(1%)
minecraft.used.suspicious_stew: #7, 1(3%)
minecraft.used.brewing_stand: #8, 41(6%)
minecraft.picked_up.cut_sandstone: #7, 116(1%)
minecraft.crafted.diamond_shovel: #8, 19(5%)
minecraft.mined.quartz_stairs: #7, 102(1%)
minecraft.dropped.chicken: #7, 63(1%)
minecraft.used.grass: #7, 199(1%)
minecraft.mined.brewing_stand: #8, 31(6%)
minecraft.picked_up.netherite_scrap: #7, 1(3%)
minecraft.crafted.white_bed: #8, 28(5%)
minecraft.mined.black_concrete: #8, 2493(5%)
minecraft.picked_up.end_crystal: #7, 3(2%)
minecraft.crafted.bow: #8, 310(5%)
minecraft.picked_up.music_disc_strad: #7, 1(3%)
minecraft.dropped.crossbow: #7, 19(1%)
minecraft.picked_up.written_book: #8, 82(5%)
minecraft.mined.tnt: #7, 65(1%)
minecraft.dropped.chiseled_stone_bricks: #7, 16(2%)
minecraft.dropped.seagrass: #7, 16(1%)
minecraft.picked_up.music_disc_mellohi: #7, 1(2%)
minecraft.dropped.wheat_seeds: #8, 5221(5%)
minecraft.used.jungle_sapling: #7, 29(1%)
minecraft.killed.zombie: #8, 1628(4%)
minecraft.crafted.oak_wood: #7, 468(1%)
minecraft.picked_up.leather: #8, 1965(5%)
minecraft.killed.wither_skeleton: #7, 224(1%)
minecraft.mined.diamond_ore: #8, 2076(4%)
minecraft.crafted.prismarine_brick_slab: #7, 6(1%)
minecraft.crafted.coal: #8, 5098(4%)
minecraft.dropped.crying_obsidian: #7, 3(0%)
minecraft.crafted.red_nether_brick_slab: #7, 12(0%)
minecraft.crafted.brown_carpet: #8, 399(5%)
minecraft.used.mossy_stone_bricks: #8, 135(5%)
minecraft.used.crying_obsidian: #8, 945(6%)
minecraft.picked_up.stone_bricks: #8, 3595(4%)
minecraft.mined.light_blue_concrete: #8, 1030(5%)
minecraft.picked_up.tripwire_hook: #8, 51(4%)
minecraft.custom.fill_cauldron: #8, 10(5%)
minecraft.used.netherrack: #8, 9944(4%)
minecraft.killed.enderman: #8, 27922(4%)
minecraft.mined.polished_blackstone: #8, 261(4%)
minecraft.picked_up.stone_brick_slab: #8, 976(4%)
minecraft.mined.spruce_log: #8, 4904(3%)
minecraft.crafted.composter: #8, 107(4%)
minecraft.picked_up.white_carpet: #8, 462(4%)
minecraft.used.kelp: #8, 907(4%)
minecraft.killed.skeleton: #8, 4726(3%)
minecraft.crafted.cyan_carpet: #8, 363(4%)
minecraft.used.jungle_leaves: #8, 875(3%)
minecraft.picked_up.sunflower: #8, 219(4%)
minecraft.picked_up.cooked_salmon: #8, 20(5%)
minecraft.dropped.bone: #8, 1202(3%)
minecraft.crafted.purple_stained_glass: #8, 768(4%)
minecraft.crafted.stone_axe: #8, 10(3%)
minecraft.crafted.enchanting_table: #8, 2(3%)
minecraft.mined.blue_concrete: #8, 515(3%)
minecraft.dropped.polished_blackstone_bricks: #8, 79(5%)
minecraft.dropped.basalt: #8, 254(3%)
minecraft.crafted.blackstone_stairs: #8, 132(3%)
minecraft.used.oak_door: #8, 13(3%)
minecraft.dropped.purpur_block: #8, 37(3%)
minecraft.picked_up.wet_sponge: #8, 368(3%)
minecraft.used.acacia_sign: #8, 37(3%)
minecraft.used.cyan_concrete: #8, 814(3%)
minecraft.picked_up.warped_roots: #8, 894(2%)
minecraft.crafted.spruce_fence: #8, 564(2%)
minecraft.picked_up.grass: #8, 553(2%)
minecraft.mined.wet_sponge: #8, 366(3%)
minecraft.used.blue_concrete_powder: #8, 512(3%)
minecraft.dropped.ender_chest: #8, 7(3%)
minecraft.used.spruce_fence: #8, 506(2%)
minecraft.used.smooth_stone: #8, 2801(2%)
minecraft.picked_up.black_stained_glass_pane: #8, 85(3%)
minecraft.crafted.black_carpet: #8, 1380(2%)
minecraft.used.cracked_polished_blackstone_bricks: #8, 120(2%)
minecraft.crafted.light_blue_concrete_powder: #8, 1024(3%)
minecraft.picked_up.polished_blackstone_brick_slab: #8, 122(2%)
minecraft.used.cut_sandstone: #8, 634(2%)
minecraft.picked_up.splash_potion: #8, 15(2%)
minecraft.mined.acacia_sign: #8, 1(4%)
minecraft.dropped.oak_pressure_plate: #8, 1(4%)
minecraft.crafted.blue_shulker_box: #8, 2(3%)
minecraft.dropped.leather: #8, 172(2%)
minecraft.mined.activator_rail: #8, 2(3%)
minecraft.dropped.gray_wool: #8, 36(2%)
minecraft.used.bubble_coral_fan: #8, 3(2%)
minecraft.killed.chicken: #8, 49(1%)
minecraft.used.sandstone_stairs: #8, 291(2%)
minecraft.dropped.splash_potion: #8, 16(2%)
minecraft.used.stone: #9, 42515(4%)
minecraft.picked_up.music_disc_blocks: #8, 1(2%)
minecraft.used.yellow_wool: #8, 63(1%)
minecraft.crafted.chiseled_nether_bricks: #8, 21(2%)
minecraft.dropped.netherite_pickaxe: #9, 10(6%)
minecraft.crafted.daylight_detector: #8, 21(1%)
minecraft.mined.white_carpet: #9, 232(5%)
minecraft.used.pumpkin_pie: #8, 40(1%)
minecraft.mined.polished_blackstone_pressure_plate: #8, 3(1%)
minecraft.used.nether_wart: #8, 701(1%)
minecraft.picked_up.beetroot_seeds: #8, 52(1%)
minecraft.mined.lever: #9, 81(5%)
minecraft.used.chiseled_nether_bricks: #8, 20(1%)
minecraft.dropped.cooked_porkchop: #8, 170(1%)
minecraft.dropped.spectral_arrow: #8, 25(1%)
minecraft.mined.dirt: #9, 53460(4%)
minecraft.picked_up.leather_chestplate: #9, 22(5%)
minecraft.mined.dark_oak_sapling: #8, 3(1%)
minecraft.dropped.black_wool: #8, 23(1%)
minecraft.mined.sandstone_slab: #8, 40(1%)
minecraft.picked_up.cooked_rabbit: #8, 2(1%)
minecraft.crafted.prismarine_slab: #8, 6(1%)
minecraft.picked_up.brewing_stand: #9, 39(5%)
minecraft.dropped.pink_dye: #8, 1(1%)
minecraft.dropped.sandstone_slab: #8, 7(0%)
minecraft.dropped.white_stained_glass_pane: #8, 7(0%)
minecraft.crafted.light_weighted_pressure_plate: #8, 15(0%)
minecraft.used.light_weighted_pressure_plate: #8, 15(0%)
minecraft.dropped.dried_kelp: #8, 7(0%)
minecraft.dropped.tropical_fish: #8, 9(0%)
minecraft.picked_up.wheat_seeds: #9, 13828(4%)
minecraft.crafted.dark_oak_planks: #9, 7970(4%)
minecraft.mined.glass: #9, 805(4%)
minecraft.mined.blue_wool: #9, 43(5%)
minecraft.crafted.wheat: #9, 954(4%)
minecraft.used.polished_blackstone: #9, 1500(4%)
minecraft.crafted.cooked_beef: #9, 519(3%)
minecraft.used.pink_shulker_box: #9, 64(4%)
minecraft.picked_up.mutton: #9, 188(3%)
minecraft.crafted.coal_block: #9, 1133(3%)
minecraft.picked_up.pink_shulker_box: #9, 65(4%)
minecraft.picked_up.spruce_log: #9, 6557(3%)
minecraft.mined.oak_door: #9, 5(5%)
minecraft.dropped.diamond_shovel: #9, 9(4%)
minecraft.mined.pink_shulker_box: #9, 64(4%)
minecraft.picked_up.dark_oak_planks: #9, 577(3%)
minecraft.dropped.flint: #9, 360(3%)
minecraft.picked_up.golden_apple: #9, 19(3%)
minecraft.dropped.magma_block: #9, 70(3%)
minecraft.killed.endermite: #9, 9(3%)
minecraft.crafted.netherite_ingot: #9, 32(3%)
minecraft.crafted.campfire: #9, 91(3%)
minecraft.dropped.blackstone: #9, 371(3%)
minecraft.picked_up.cooked_chicken: #9, 72(2%)
minecraft.mined.cyan_concrete: #9, 855(3%)
minecraft.used.sponge: #9, 316(3%)
minecraft.dropped.spruce_boat: #9, 2(4%)
minecraft.dropped.iron_chestplate: #9, 4(3%)
minecraft.used.potion: #9, 52(2%)
minecraft.dropped.lilac: #9, 3(3%)
minecraft.killed.elder_guardian: #9, 3(4%)
minecraft.crafted.glass_bottle: #9, 594(2%)
minecraft.dropped.end_stone_bricks: #9, 25(3%)
minecraft.crafted.hay_block: #9, 174(2%)
minecraft.used.soul_soil: #9, 396(2%)
minecraft.mined.ancient_debris: #9, 123(2%)
minecraft.picked_up.saddle: #9, 7(2%)
minecraft.dropped.gold_nugget: #9, 337(2%)
minecraft.dropped.red_sand: #9, 64(2%)
minecraft.picked_up.stone_sword: #9, 20(2%)
minecraft.crafted.leather_chestplate: #9, 26(2%)
minecraft.mined.polished_blackstone_brick_slab: #9, 92(2%)
minecraft.crafted.target: #9, 65(2%)
minecraft.picked_up.jungle_leaves: #9, 928(2%)
minecraft.picked_up.baked_potato: #9, 20(3%)
minecraft.dropped.nether_gold_ore: #9, 22(2%)
minecraft.used.fire_coral_fan: #9, 4(2%)
minecraft.used.acacia_log: #9, 170(1%)
minecraft.crafted.firework_rocket: #9, 13662(2%)
minecraft.killed.bee: #9, 7(2%)
minecraft.used.stone_pickaxe: #9, 430(1%)
minecraft.used.jack_o_lantern: #9, 57(2%)
minecraft.crafted.white_wool: #9, 536(1%)
minecraft.crafted.jack_o_lantern: #9, 64(2%)
minecraft.dropped.glowstone_dust: #9, 23(1%)
minecraft.used.tnt: #9, 694(1%)
minecraft.crafted.iron_block: #9, 2229(1%)
minecraft.picked_up.blue_orchid: #9, 67(1%)
minecraft.used.cyan_wool: #9, 49(1%)
minecraft.dropped.feather: #9, 91(1%)
minecraft.used.light_blue_wool: #9, 99(1%)
minecraft.picked_up.chicken: #9, 51(1%)
minecraft.picked_up.glass_bottle: #9, 121(1%)
minecraft.used.birch_leaves: #9, 437(1%)
minecraft.used.black_carpet: #9, 1454(1%)
minecraft.picked_up.powered_rail: #10, 826(5%)
minecraft.killed.wither: #9, 3(1%)
minecraft.mined.dark_oak_leaves: #9, 399(1%)
minecraft.crafted.charcoal: #9, 36(1%)
minecraft.crafted.bowl: #9, 4(1%)
minecraft.crafted.crossbow: #9, 12(1%)
minecraft.used.podzol: #9, 201(1%)
minecraft.custom.use_cauldron: #9, 1(1%)
minecraft.dropped.oak_door: #9, 1(1%)
minecraft.used.soul_torch: #9, 5(1%)
minecraft.used.prismarine_stairs: #9, 8(1%)
minecraft.used.azure_bluet: #9, 3(0%)
minecraft.crafted.prismarine_brick_stairs: #9, 7(0%)
minecraft.dropped.gray_dye: #9, 1(0%)
minecraft.dropped.orange_dye: #9, 1(0%)
minecraft.used.diamond_sword: #10, 16516(4%)
minecraft.dropped.netherrack: #10, 13675(4%)
minecraft.mined.crafting_table: #10, 243(4%)
minecraft.used.composter: #10, 83(3%)
minecraft.crafted.diamond_leggings: #10, 4(3%)
minecraft.picked_up.iron_chestplate: #10, 7(3%)
minecraft.used.soul_sand: #10, 743(3%)
minecraft.picked_up.polished_blackstone: #10, 260(3%)
minecraft.custom.talked_to_villager: #10, 3550(3%)
minecraft.dropped.diamond_axe: #10, 5(4%)
minecraft.dropped.kelp: #10, 687(3%)
minecraft.mined.netherrack: #10, 66582(3%)
minecraft.picked_up.stick: #10, 3553(3%)
minecraft.used.oak_fence: #10, 521(3%)
minecraft.used.netherite_shovel: #10, 87337(4%)
minecraft.crafted.shulker_box: #10, 194(3%)
minecraft.used.spruce_trapdoor: #10, 1225(3%)
minecraft.picked_up.vine: #10, 446(3%)
minecraft.crafted.spruce_planks: #10, 15144(3%)
minecraft.broken.diamond_pickaxe: #10, 2(3%)
minecraft.mined.cartography_table: #10, 5(3%)
minecraft.dropped.soul_sand: #10, 217(3%)
minecraft.dropped.written_book: #10, 20(3%)
minecraft.killed.iron_golem: #10, 18(3%)
minecraft.used.andesite: #10, 1832(2%)
minecraft.dropped.bow: #10, 171(2%)
minecraft.mined.soul_soil: #10, 862(2%)
minecraft.crafted.soul_torch: #10, 256(3%)
minecraft.dropped.purpur_pillar: #10, 9(3%)
minecraft.crafted.iron_trapdoor: #10, 607(2%)
minecraft.used.string: #10, 347(2%)
minecraft.crafted.blue_concrete_powder: #10, 512(2%)
minecraft.killed.shulker: #10, 196(2%)
minecraft.mined.obsidian: #10, 711(2%)
minecraft.used.cyan_concrete_powder: #10, 841(2%)
minecraft.mined.stone_brick_stairs: #10, 87(2%)
minecraft.picked_up.ancient_debris: #10, 126(2%)
minecraft.picked_up.cyan_carpet: #10, 44(2%)
minecraft.used.black_concrete_powder: #10, 2433(2%)
minecraft.dropped.leather_helmet: #10, 13(2%)
minecraft.crafted.cobblestone_wall: #10, 192(2%)
minecraft.mined.sea_lantern: #10, 199(2%)
minecraft.crafted.black_concrete_powder: #10, 2432(2%)
minecraft.crafted.soul_lantern: #10, 131(2%)
minecraft.crafted.cyan_concrete_powder: #10, 840(2%)
minecraft.picked_up.dark_prismarine: #10, 130(2%)
minecraft.mined.jukebox: #10, 2(2%)
minecraft.used.stripped_oak_log: #10, 55(2%)
minecraft.used.smooth_quartz_stairs: #10, 272(1%)
minecraft.crafted.emerald: #10, 9354(1%)
minecraft.mined.nether_sprouts: #10, 71(1%)
minecraft.picked_up.feather: #10, 138(1%)
minecraft.used.cooked_porkchop: #10, 158(1%)
minecraft.picked_up.nether_wart: #10, 1457(1%)
minecraft.dropped.lantern: #10, 31(1%)
minecraft.dropped.spruce_leaves: #10, 42(1%)
minecraft.used.red_carpet: #10, 173(1%)
minecraft.used.cocoa_beans: #10, 173(1%)
minecraft.dropped.jungle_boat: #10, 1(2%)
minecraft.used.brain_coral_fan: #10, 3(1%)
minecraft.dropped.coarse_dirt: #10, 54(1%)
minecraft.dropped.sweet_berries: #10, 20(1%)
minecraft.custom.traded_with_villager: #10, 8322(1%)
minecraft.used.wither_rose: #10, 60(1%)
minecraft.broken.stone_pickaxe: #10, 2(1%)
minecraft.dropped.stripped_oak_log: #10, 2(1%)
minecraft.used.wither_skeleton_skull: #10, 9(1%)
minecraft.dropped.cracked_polished_blackstone_bricks: #10, 5(1%)
minecraft.used.dark_prismarine: #10, 134(0%)
minecraft.crafted.pumpkin_pie: #10, 96(0%)
minecraft.mined.sandstone_stairs: #10, 19(0%)
minecraft.crafted.glowstone: #10, 124(0%)
minecraft.used.dark_oak_sapling: #10, 31(0%)
minecraft.dropped.ancient_debris: #10, 2(0%)
minecraft.dropped.red_carpet: #10, 2(0%)
minecraft.crafted.armor_stand: #10, 70(0%)
minecraft.used.powered_rail: #11, 1164(4%)
minecraft.dropped.cyan_carpet: #10, 2(0%)
minecraft.dropped.prismarine_bricks: #10, 1(0%)
minecraft.dropped.dark_oak_sapling: #10, 1(0%)
minecraft.picked_up.shulker_box: #11, 3139(4%)
minecraft.killed.guardian: #10, 17(0%)
minecraft.crafted.torch: #11, 10952(4%)
minecraft.used.shulker_box: #11, 3096(4%)
minecraft.mined.shulker_box: #11, 3090(4%)
minecraft.used.redstone_ore: #11, 1030(4%)
minecraft.picked_up.redstone_block: #11, 400(4%)
minecraft.mined.oak_planks: #11, 394(4%)
minecraft.picked_up.redstone_ore: #11, 1502(4%)
minecraft.picked_up.coal_ore: #11, 3325(4%)
minecraft.picked_up.crafting_table: #11, 256(3%)
minecraft.picked_up.flint: #11, 817(3%)
minecraft.picked_up.nether_quartz_ore: #11, 1164(3%)
minecraft.picked_up.lever: #11, 157(3%)
minecraft.mined.grass: #11, 2421(3%)
minecraft.killed.cow: #11, 315(3%)
minecraft.mined.oak_wall_sign: #11, 43(3%)
minecraft.dropped.diamond_boots: #11, 6(3%)
minecraft.mined.pink_tulip: #11, 22(4%)
minecraft.dropped.firework_rocket: #11, 773(2%)
minecraft.crafted.bucket: #11, 150(2%)
minecraft.custom.damage_dealt: #11, 1636939(2%)
minecraft.picked_up.soul_soil: #11, 820(2%)
minecraft.dropped.gold_ingot: #11, 126(2%)
minecraft.used.iron_trapdoor: #11, 701(2%)
minecraft.used.soul_lantern: #11, 84(2%)
minecraft.crafted.minecart: #11, 98(2%)
minecraft.picked_up.enchanting_table: #11, 3(3%)
minecraft.mined.red_concrete: #11, 516(2%)
minecraft.picked_up.poppy: #11, 1063(2%)
minecraft.crafted.dark_oak_slab: #11, 834(2%)
minecraft.dropped.iron_sword: #11, 6(2%)
minecraft.used.black_concrete: #11, 1897(2%)
minecraft.dropped.iron_shovel: #11, 4(2%)
minecraft.picked_up.emerald: #11, 348(2%)
minecraft.mined.crimson_nylium: #11, 212(2%)
minecraft.mined.polished_blackstone_wall: #11, 41(2%)
minecraft.custom.horse_one_cm: #11, 251240(2%)
minecraft.mined.blackstone: #11, 5311(2%)
minecraft.picked_up.pumpkin_pie: #11, 73(2%)
minecraft.picked_up.warped_wart_block: #11, 1926(2%)
minecraft.crafted.ender_chest: #11, 17(2%)
minecraft.picked_up.oak_door: #11, 12(2%)
minecraft.picked_up.activator_rail: #11, 6(3%)
minecraft.crafted.stone_pickaxe: #11, 15(2%)
minecraft.crafted.diamond_boots: #11, 4(2%)
minecraft.mined.iron_trapdoor: #11, 99(2%)
minecraft.custom.interact_with_stonecutter: #11, 140(2%)
minecraft.crafted.jukebox: #11, 2(2%)
minecraft.crafted.spruce_slab: #11, 1388(2%)
minecraft.mined.dragon_wall_head: #11, 5(2%)
minecraft.used.cartography_table: #11, 5(2%)
minecraft.used.dried_kelp: #11, 37(3%)
minecraft.crafted.leather_leggings: #11, 24(2%)
minecraft.used.bamboo: #11, 181(1%)
minecraft.picked_up.polished_blackstone_wall: #11, 38(1%)
minecraft.mined.carved_pumpkin: #11, 64(2%)
minecraft.killed_by.piglin: #11, 1(2%)
minecraft.dropped.magma_cream: #11, 19(1%)
minecraft.used.polished_blackstone_slab: #11, 489(1%)
minecraft.used.activator_rail: #11, 2(2%)
minecraft.mined.jungle_leaves: #11, 1074(1%)
minecraft.killed_by.iron_golem: #11, 1(2%)
minecraft.crafted.stone_hoe: #11, 4(1%)
minecraft.broken.iron_sword: #11, 1(2%)
minecraft.crafted.shears: #11, 157(1%)
minecraft.crafted.bone_block: #11, 1578(1%)
minecraft.picked_up.suspicious_stew: #11, 1(2%)
minecraft.picked_up.acacia_sapling: #11, 81(1%)
minecraft.used.written_book: #11, 322(1%)
minecraft.mined.infested_stone_bricks: #11, 1(1%)
minecraft.dropped.dead_bush: #11, 1(1%)
minecraft.used.horn_coral_fan: #11, 2(1%)
minecraft.custom.drop: #12, 10956(4%)
minecraft.mined.mossy_cobblestone_stairs: #11, 1(1%)
minecraft.used.clay: #11, 64(1%)
minecraft.dropped.end_stone: #11, 21(1%)
minecraft.mined.smooth_sandstone_slab: #11, 43(1%)
minecraft.mined.spruce_sapling: #11, 6(1%)
minecraft.crafted.brown_wool: #11, 14(1%)
minecraft.dropped.golden_sword: #11, 21(1%)
minecraft.used.warped_fungus: #11, 48(1%)
minecraft.picked_up.white_concrete_powder: #11, 985(0%)
minecraft.picked_up.golden_sword: #11, 18(0%)
minecraft.picked_up.yellow_wool: #11, 61(1%)
minecraft.dropped.beef: #11, 5(1%)
minecraft.crafted.sugar: #11, 87(0%)
minecraft.used.smooth_sandstone_stairs: #11, 305(0%)
minecraft.crafted.sandstone_wall: #11, 36(0%)
minecraft.dropped.azure_bluet: #11, 7(0%)
minecraft.picked_up.sandstone_slab: #11, 40(0%)
minecraft.picked_up.soul_torch: #11, 3(0%)
minecraft.used.netherite_hoe: #11, 2776(0%)
minecraft.dropped.white_dye: #11, 19(0%)
minecraft.dropped.oxeye_daisy: #11, 9(0%)
minecraft.picked_up.snow_block: #11, 127(0%)
minecraft.picked_up.mossy_cobblestone_stairs: #11, 1(0%)
minecraft.used.mossy_cobblestone_stairs: #11, 1(0%)
minecraft.used.oxeye_daisy: #11, 1(0%)
minecraft.mined.smooth_sandstone_stairs: #11, 21(0%)
minecraft.picked_up.honeycomb_block: #11, 5(0%)
minecraft.killed.ocelot: #11, 1(0%)
minecraft.used.torch: #12, 14281(4%)
minecraft.killed.cave_spider: #11, 35(0%)
minecraft.picked_up.map: #11, 1(0%)
minecraft.picked_up.prismarine_shard: #11, 57(0%)
minecraft.used.prismarine_brick_stairs: #11, 3(0%)
minecraft.used.red_nether_brick_stairs: #11, 1(0%)
minecraft.picked_up.light_blue_concrete_powder: #11, 7(0%)
minecraft.dropped.brown_wool: #11, 2(0%)
minecraft.crafted.red_nether_bricks: #11, 9(0%)
minecraft.picked_up.dried_kelp_block: #11, 1(0%)
minecraft.mined.composter: #12, 41(4%)
minecraft.used.water_bucket: #12, 2339(3%)
minecraft.used.sugar_cane: #12, 489(3%)
minecraft.crafted.powered_rail: #12, 654(3%)
minecraft.picked_up.red_mushroom: #12, 153(3%)
minecraft.used.lever: #12, 187(3%)
minecraft.mined.soul_sand: #12, 1452(3%)
minecraft.mined.warped_wart_block: #12, 1936(3%)
minecraft.used.cracked_stone_bricks: #12, 198(3%)
minecraft.dropped.diamond_sword: #12, 7(2%)
minecraft.crafted.diamond_axe: #12, 5(2%)
minecraft.used.enchanting_table: #12, 3(3%)
minecraft.used.light_gray_concrete: #12, 1711(3%)
minecraft.picked_up.ghast_tear: #12, 50(2%)
minecraft.picked_up.crying_obsidian: #12, 58(2%)
minecraft.crafted.stone_pressure_plate: #12, 64(2%)
minecraft.picked_up.apple: #12, 159(2%)
minecraft.picked_up.blackstone: #12, 5448(2%)
minecraft.custom.interact_with_loom: #12, 19(2%)
minecraft.mined.farmland: #12, 64(2%)
minecraft.mined.cauldron: #12, 6(2%)
minecraft.used.ender_pearl: #12, 303(2%)
minecraft.dropped.glass: #12, 184(2%)
minecraft.picked_up.cartography_table: #12, 5(2%)
minecraft.dropped.iron_helmet: #12, 6(3%)
minecraft.used.light_gray_concrete_powder: #12, 1921(2%)
minecraft.dropped.name_tag: #12, 12(2%)
minecraft.mined.dead_bush: #12, 115(2%)
minecraft.dropped.bone_block: #12, 58(2%)
minecraft.used.sunflower: #12, 3(2%)
minecraft.picked_up.spider_eye: #12, 446(1%)
minecraft.mined.stonecutter: #12, 39(2%)
minecraft.picked_up.stonecutter: #12, 40(1%)
minecraft.mined.spruce_door: #12, 2(2%)
minecraft.mined.loom: #12, 5(2%)
minecraft.picked_up.gunpowder: #12, 1923(1%)
minecraft.picked_up.carved_pumpkin: #12, 66(1%)
minecraft.picked_up.charcoal: #12, 12(1%)
minecraft.crafted.orange_dye: #12, 170(1%)
minecraft.mined.red_mushroom_block: #12, 403(1%)
minecraft.mined.black_stained_glass: #12, 65(1%)
minecraft.used.vine: #12, 30(1%)
minecraft.used.red_concrete_powder: #12, 512(1%)
minecraft.dropped.emerald: #12, 82(1%)
minecraft.mined.sandstone: #12, 4360(1%)
minecraft.used.cookie: #12, 2(1%)
minecraft.mined.light_blue_carpet: #12, 10(1%)
minecraft.used.netherite_sword: #12, 5942(1%)
minecraft.crafted.red_carpet: #12, 165(1%)
minecraft.mined.blackstone_wall: #12, 7(1%)
minecraft.used.quartz_slab: #12, 186(1%)
minecraft.mined.light_blue_wool: #12, 11(1%)
minecraft.used.tube_coral_fan: #12, 1(1%)
minecraft.killed.slime: #12, 411(1%)
minecraft.mined.chiseled_polished_blackstone: #12, 8(1%)
minecraft.picked_up.chiseled_polished_blackstone: #12, 8(1%)
minecraft.mined.acacia_log: #12, 212(1%)
minecraft.crafted.polished_granite: #12, 180(1%)
minecraft.picked_up.polished_blackstone_pressure_plate: #12, 3(1%)
minecraft.picked_up.acacia_boat: #12, 1(1%)
minecraft.used.loom: #12, 5(1%)
minecraft.crafted.bookshelf: #12, 96(0%)
minecraft.picked_up.nether_star: #12, 4(1%)
minecraft.dropped.cookie: #12, 16(1%)
minecraft.dropped.ink_sac: #12, 17(0%)
minecraft.picked_up.blue_wool: #12, 43(0%)
minecraft.killed.blaze: #12, 74(0%)
minecraft.mined.blackstone_slab: #12, 7(0%)
minecraft.used.sweet_berries: #12, 30(0%)
minecraft.picked_up.dark_oak_leaves: #12, 16(0%)
minecraft.mined.brown_stained_glass: #12, 1(0%)
minecraft.picked_up.prismarine_crystals: #12, 35(0%)
minecraft.used.magenta_wool: #12, 2(0%)
minecraft.crafted.cooked_cod: #12, 4(0%)
minecraft.crafted.sandstone_slab: #12, 42(0%)
minecraft.used.dark_oak_leaves: #12, 5(0%)
minecraft.mined.cyan_stained_glass: #12, 14(0%)
minecraft.used.red_nether_brick_slab: #12, 3(0%)
minecraft.used.brown_stained_glass: #12, 1(0%)
minecraft.used.ancient_debris: #12, 1(0%)
minecraft.dropped.quartz_slab: #12, 1(0%)
minecraft.custom.time_since_death: #13, 8021388(2%)
minecraft.picked_up.player_head: #13, 567(3%)
minecraft.dropped.granite: #13, 2106(4%)
minecraft.picked_up.netherrack: #13, 37767(3%)
minecraft.picked_up.composter: #13, 42(3%)
minecraft.crafted.diamond_block: #13, 351(3%)
minecraft.picked_up.coal: #13, 11070(3%)
minecraft.picked_up.ladder: #13, 237(3%)
minecraft.picked_up.diamond_sword: #13, 30(3%)
minecraft.used.diamond_shovel: #13, 110645(3%)
minecraft.dropped.andesite: #13, 1268(3%)
minecraft.used.piston: #13, 380(3%)
minecraft.picked_up.obsidian: #13, 713(3%)
minecraft.used.hopper_minecart: #13, 29(3%)
minecraft.dropped.gravel: #13, 839(2%)
minecraft.mined.smooth_stone_slab: #13, 716(3%)
minecraft.mined.cobweb: #13, 189(2%)
minecraft.used.milk_bucket: #13, 4(3%)
minecraft.crafted.hopper_minecart: #13, 29(2%)
minecraft.used.hopper: #13, 940(2%)
minecraft.mined.sand: #13, 43993(2%)
minecraft.mined.redstone_torch: #13, 50(2%)
minecraft.crafted.white_dye: #13, 3249(2%)
minecraft.broken.iron_axe: #13, 3(2%)
minecraft.mined.cactus: #13, 49(2%)
minecraft.custom.boat_one_cm: #13, 5074454(2%)
