stat, rank, value, (percentage) 
minecraft.used.stone_shovel: #1, 28130(76%)
minecraft.mined.green_bed: #1, 510(81%)
minecraft.crafted.birch_slab: #1, 15774(53%)
minecraft.used.cyan_wool: #1, 2411(61%)
minecraft.picked_up.green_bed: #1, 529(81%)
minecraft.used.green_bed: #1, 532(80%)
minecraft.used.red_wool: #1, 6510(50%)
minecraft.picked_up.light_blue_bed: #1, 1812(60%)
minecraft.used.light_blue_bed: #1, 1805(60%)
minecraft.used.stone_pickaxe: #1, 13586(41%)
minecraft.picked_up.red_wool: #1, 9827(45%)
minecraft.used.lime_bed: #1, 389(62%)
minecraft.mined.stonecutter: #1, 1020(40%)
minecraft.broken.stone_shovel: #1, 214(80%)
minecraft.mined.light_blue_bed: #1, 1750(59%)
minecraft.picked_up.lime_bed: #1, 393(62%)
minecraft.picked_up.green_shulker_box: #1, 820(39%)
minecraft.mined.green_shulker_box: #1, 806(39%)
minecraft.used.orange_carpet: #1, 7060(47%)
minecraft.picked_up.stonecutter: #1, 1044(39%)
minecraft.mined.lime_bed: #1, 382(65%)
minecraft.used.green_shulker_box: #1, 805(38%)
minecraft.used.lilac: #1, 264(43%)
minecraft.dropped.tnt: #1, 1563(43%)
minecraft.picked_up.light_gray_bed: #1, 364(87%)
minecraft.used.stonecutter: #1, 1028(33%)
minecraft.used.light_gray_bed: #1, 381(70%)
minecraft.broken.stone_pickaxe: #1, 103(48%)
minecraft.used.mossy_cobblestone: #1, 1048(40%)
minecraft.dropped.acacia_leaves: #1, 1411(64%)
minecraft.used.orange_wool: #1, 2946(44%)
minecraft.dropped.green_dye: #1, 27882(50%)
minecraft.crafted.black_carpet: #1, 21068(34%)
minecraft.mined.light_gray_bed: #1, 352(85%)
minecraft.used.stripped_jungle_log: #1, 196(60%)
minecraft.crafted.orange_carpet: #1, 7102(46%)
minecraft.used.peony: #1, 116(33%)
minecraft.used.spruce_fence: #1, 6222(26%)
minecraft.crafted.spruce_slab: #1, 23562(26%)
minecraft.picked_up.acacia_leaves: #1, 3520(39%)
minecraft.mined.stripped_jungle_log: #1, 241(34%)
minecraft.custom.interact_with_stonecutter: #1, 2028(25%)
minecraft.dropped.dead_bush: #1, 34(47%)
minecraft.mined.spruce_fence: #1, 1147(24%)
minecraft.mined.stripped_warped_hyphae: #1, 1396(55%)
minecraft.dropped.birch_log: #1, 675(30%)
minecraft.picked_up.stripped_jungle_log: #1, 237(30%)
minecraft.crafted.spruce_fence: #1, 5571(23%)
minecraft.crafted.stone_shovel: #1, 216(31%)
minecraft.broken.stone_hoe: #1, 20(65%)
minecraft.picked_up.black_wool: #1, 3832(23%)
minecraft.used.stone_hoe: #2, 2991(33%)
minecraft.picked_up.stripped_warped_hyphae: #1, 1393(50%)
minecraft.mined.dark_oak_door: #1, 80(40%)
minecraft.picked_up.clock: #1, 60(32%)
minecraft.dropped.birch_slab: #1, 234(30%)
minecraft.used.acacia_wood: #1, 2853(42%)
minecraft.crafted.stone: #1, 10942(21%)
minecraft.used.stripped_warped_hyphae: #1, 1398(51%)
minecraft.used.dark_oak_door: #1, 150(28%)
minecraft.mined.acacia_sapling: #1, 127(38%)
minecraft.dropped.bricks: #1, 2002(42%)
minecraft.crafted.terracotta: #1, 3096(69%)
minecraft.used.mossy_cobblestone_slab: #1, 242(32%)
minecraft.picked_up.light_blue_banner: #1, 83(45%)
minecraft.used.grass: #2, 4479(27%)
minecraft.used.painting: #1, 693(17%)
minecraft.dropped.sandstone: #2, 3272(22%)
minecraft.picked_up.name_tag: #1, 168(17%)
minecraft.used.dark_oak_planks: #2, 8239(22%)
minecraft.used.blue_orchid: #1, 267(38%)
minecraft.picked_up.orange_wool: #2, 3873(32%)
minecraft.dropped.gunpowder: #2, 7157(21%)
minecraft.used.wooden_shovel: #1, 1155(46%)
minecraft.picked_up.birch_button: #1, 33(23%)
minecraft.used.stone_brick_wall: #2, 3291(24%)
minecraft.picked_up.green_dye: #2, 5219(24%)
minecraft.used.grass_block: #2, 70538(18%)
minecraft.dropped.mutton: #2, 197(25%)
minecraft.crafted.painting: #1, 159(17%)
minecraft.used.mossy_cobblestone_stairs: #1, 69(27%)
minecraft.dropped.quartz: #2, 1877(22%)
minecraft.mined.red_shulker_box: #1, 1158(13%)
minecraft.picked_up.red_shulker_box: #1, 1169(13%)
minecraft.picked_up.mutton: #2, 1022(19%)
minecraft.used.red_shulker_box: #1, 1154(13%)
minecraft.used.apple: #1, 141(22%)
minecraft.used.stripped_acacia_log: #1, 89(36%)
minecraft.crafted.light_blue_bed: #1, 11(27%)
minecraft.picked_up.bricks: #1, 2867(21%)
minecraft.custom.crouch_one_cm: #1, 33749669(10%)
minecraft.custom.horse_one_cm: #2, 2312532(18%)
minecraft.dropped.light_blue_bed: #1, 7(44%)
minecraft.dropped.nether_sprouts: #1, 192(98%)
minecraft.used.stripped_spruce_log: #2, 436(19%)
minecraft.mined.lime_wool: #2, 408(25%)
minecraft.picked_up.acacia_fence_gate: #1, 36(49%)
minecraft.dropped.dark_oak_log: #1, 447(19%)
minecraft.picked_up.cut_red_sandstone_slab: #1, 31(94%)
minecraft.dropped.polished_diorite_stairs: #1, 16(70%)
