stat, rank, value, (percentage) 
minecraft.used.written_book: #1, 31541(69%)
minecraft.crafted.leather_chestplate: #1, 839(56%)
minecraft.crafted.leather_leggings: #1, 870(61%)
minecraft.used.armor_stand: #1, 2272(47%)
minecraft.mined.jungle_slab: #1, 3767(54%)
minecraft.picked_up.jungle_stairs: #1, 1307(54%)
minecraft.mined.coal_block: #1, 974(46%)
minecraft.picked_up.jungle_slab: #1, 3381(41%)
minecraft.crafted.leather_boots: #1, 262(36%)
minecraft.crafted.purple_bed: #1, 166(74%)
minecraft.mined.jungle_stairs: #1, 440(34%)
minecraft.crafted.red_banner: #1, 211(45%)
minecraft.crafted.black_wool: #1, 1583(32%)
minecraft.mined.light_blue_concrete_powder: #1, 171(54%)
minecraft.picked_up.coal_block: #1, 1781(22%)
minecraft.dropped.magenta_wool: #1, 244(79%)
minecraft.used.purple_bed: #1, 174(36%)
minecraft.used.coal_block: #2, 1336(24%)
minecraft.mined.gray_carpet: #1, 852(19%)
minecraft.mined.player_head: #1, 247(17%)
minecraft.mined.black_carpet: #2, 8830(24%)
minecraft.picked_up.beef: #1, 4473(16%)
minecraft.crafted.stone_brick_wall: #2, 1298(22%)
minecraft.crafted.magenta_bed: #1, 11(44%)
minecraft.used.milk_bucket: #1, 22(14%)
minecraft.picked_up.armor_stand: #2, 716(18%)
minecraft.used.music_disc_blocks: #1, 8(73%)
minecraft.used.red_banner: #2, 112(30%)
minecraft.crafted.orange_bed: #2, 41(29%)
minecraft.used.player_head: #2, 544(14%)
minecraft.mined.fire: #2, 2126(14%)
minecraft.killed.player: #1, 11(21%)
minecraft.mined.birch_wall_sign: #2, 232(14%)
minecraft.killed.cow: #2, 1416(13%)
minecraft.crafted.iron_pickaxe: #2, 82(13%)
minecraft.crafted.cooked_beef: #2, 1959(13%)
minecraft.crafted.yellow_bed: #1, 7(22%)
minecraft.used.music_disc_wait: #1, 14(93%)
minecraft.crafted.stone_sword: #2, 11(16%)
minecraft.crafted.dark_prismarine_stairs: #2, 320(34%)
minecraft.mined.player_wall_head: #2, 90(11%)
minecraft.used.orange_bed: #2, 37(20%)
minecraft.crafted.iron_chestplate: #2, 17(11%)
minecraft.used.dark_prismarine_stairs: #2, 467(27%)
minecraft.used.smithing_table: #3, 240(15%)
minecraft.mined.potted_dandelion: #1, 2(67%)
minecraft.used.magenta_bed: #2, 28(31%)
minecraft.dropped.sponge: #2, 97(24%)
minecraft.crafted.light_gray_glazed_terracotta: #2, 92(26%)
minecraft.crafted.light_blue_bed: #2, 7(17%)
minecraft.broken.wooden_axe: #1, 1(100%)
minecraft.picked_up.music_disc_wait: #2, 15(33%)
minecraft.used.wooden_axe: #2, 70(16%)
minecraft.mined.lapis_block: #2, 176(19%)
minecraft.used.oxeye_daisy: #2, 40(17%)
minecraft.picked_up.dark_prismarine_stairs: #2, 83(22%)
minecraft.crafted.bubble_coral_block: #2, 8(44%)
minecraft.crafted.horn_coral_block: #2, 8(44%)
minecraft.mined.red_wall_banner: #2, 8(20%)
minecraft.mined.spruce_sign: #3, 32(14%)
minecraft.used.music_disc_chirp: #2, 5(23%)
minecraft.picked_up.music_disc_blocks: #2, 7(16%)
minecraft.mined.warped_trapdoor: #2, 66(8%)
minecraft.mined.magenta_bed: #2, 21(30%)
minecraft.picked_up.gray_carpet: #3, 1363(11%)
minecraft.picked_up.magenta_bed: #2, 21(30%)
minecraft.used.allium: #2, 53(24%)
minecraft.picked_up.leather: #3, 4114(10%)
minecraft.used.prismarine_slab: #2, 134(12%)
minecraft.mined.prismarine_slab: #2, 56(13%)
minecraft.picked_up.cookie: #3, 198(11%)
minecraft.custom.interact_with_smithing_table: #3, 73(8%)
minecraft.used.stone_shovel: #2, 2101(6%)
minecraft.used.iron_pickaxe: #3, 11989(8%)
minecraft.used.sandstone_stairs: #3, 1978(11%)
minecraft.mined.smithing_table: #3, 65(8%)
minecraft.picked_up.lapis_block: #3, 351(9%)
minecraft.mined.cut_red_sandstone: #2, 5(13%)
minecraft.dropped.wooden_sword: #2, 10(5%)
minecraft.mined.andesite_wall: #3, 181(10%)
minecraft.picked_up.cut_red_sandstone: #2, 5(12%)
minecraft.mined.allium: #3, 64(17%)
minecraft.picked_up.light_gray_glazed_terracotta: #2, 54(12%)
minecraft.used.lapis_block: #2, 587(6%)
minecraft.used.prismarine_stairs: #2, 89(7%)
minecraft.picked_up.black_carpet: #3, 8930(8%)
minecraft.broken.stone_shovel: #2, 15(6%)
minecraft.used.peony: #3, 28(8%)
minecraft.mined.dark_prismarine_stairs: #3, 71(19%)
minecraft.broken.wooden_shovel: #2, 4(16%)
minecraft.picked_up.warped_door: #3, 8(12%)
minecraft.crafted.black_carpet: #3, 4428(7%)
minecraft.mined.birch_planks: #3, 657(6%)
minecraft.mined.honeycomb_block: #3, 156(12%)
minecraft.picked_up.warped_trapdoor: #3, 64(7%)
minecraft.dropped.armor_stand: #3, 17(7%)
minecraft.crafted.blue_bed: #3, 7(16%)
minecraft.picked_up.mushroom_stew: #2, 5(4%)
minecraft.mined.prismarine_stairs: #2, 17(3%)
minecraft.crafted.prismarine_brick_stairs: #3, 214(12%)
minecraft.picked_up.prismarine_stairs: #2, 17(2%)
minecraft.used.lily_of_the_valley: #3, 15(10%)
minecraft.picked_up.honeycomb_block: #3, 156(7%)
minecraft.crafted.smithing_table: #4, 183(9%)
minecraft.mined.crimson_door: #3, 3(12%)
minecraft.picked_up.music_disc_chirp: #3, 5(9%)
minecraft.killed_by.spider: #3, 1(20%)
minecraft.crafted.cyan_bed: #3, 9(8%)
minecraft.mined.pink_tulip: #4, 68(11%)
minecraft.crafted.stone_brick_stairs: #4, 868(9%)
minecraft.picked_up.flower_banner_pattern: #3, 1(20%)
minecraft.crafted.wooden_sword: #3, 10(4%)
minecraft.used.wooden_shovel: #3, 236(9%)
minecraft.custom.play_record: #4, 39(10%)
minecraft.used.pink_tulip: #3, 19(7%)
minecraft.used.sunflower: #4, 14(11%)
minecraft.used.warped_door: #4, 15(15%)
minecraft.used.light_gray_glazed_terracotta: #3, 125(7%)
minecraft.used.black_carpet: #4, 13214(8%)
minecraft.crafted.oak_sign: #4, 432(7%)
minecraft.mined.crimson_fence: #4, 28(9%)
minecraft.mined.light_gray_glazed_terracotta: #3, 34(8%)
minecraft.crafted.armor_stand: #3, 698(2%)
minecraft.picked_up.andesite_wall: #4, 283(8%)
minecraft.picked_up.prismarine_slab: #3, 63(4%)
minecraft.broken.iron_pickaxe: #4, 20(6%)
minecraft.used.stone_axe: #4, 342(6%)
minecraft.used.light_blue_bed: #3, 54(2%)
minecraft.picked_up.light_blue_bed: #3, 50(2%)
minecraft.crafted.wooden_axe: #4, 2(11%)
minecraft.used.lapis_ore: #4, 317(6%)
minecraft.mined.light_blue_bed: #3, 47(2%)
minecraft.used.spruce_sign: #4, 112(5%)
minecraft.used.lilac: #4, 38(6%)
minecraft.crafted.warped_door: #4, 9(10%)
minecraft.used.music_disc_far: #3, 1(4%)
minecraft.crafted.lime_bed: #4, 8(9%)
minecraft.used.chiseled_stone_bricks: #4, 226(6%)
minecraft.used.mushroom_stew: #3, 5(1%)
minecraft.picked_up.stone_axe: #4, 4(6%)
minecraft.used.music_disc_mall: #4, 1(20%)
minecraft.crafted.prismarine_slab: #4, 108(11%)
minecraft.mined.warped_door: #4, 4(11%)
minecraft.picked_up.crimson_fence: #4, 28(6%)
minecraft.mined.beetroots: #4, 89(6%)
minecraft.picked_up.birch_sign: #5, 394(8%)
minecraft.dropped.black_terracotta: #4, 128(9%)
minecraft.mined.chiseled_stone_bricks: #4, 86(5%)
minecraft.mined.white_glazed_terracotta: #4, 26(11%)
minecraft.crafted.crossbow: #4, 75(4%)
minecraft.mined.cactus: #5, 163(7%)
minecraft.used.cooked_beef: #5, 1445(6%)
minecraft.picked_up.white_glazed_terracotta: #4, 26(10%)
minecraft.mined.blackstone_wall: #5, 67(9%)
minecraft.crafted.iron_leggings: #5, 11(7%)
minecraft.used.music_disc_11: #4, 1(12%)
minecraft.picked_up.dark_prismarine_slab: #4, 191(4%)
minecraft.crafted.iron_sword: #5, 23(6%)
minecraft.mined.tall_grass: #5, 568(6%)
minecraft.used.music_disc_strad: #4, 1(10%)
minecraft.used.redstone_ore: #5, 1603(6%)
minecraft.picked_up.sandstone_stairs: #5, 404(8%)
minecraft.picked_up.smithing_table: #5, 65(6%)
minecraft.used.oak_sign: #5, 419(6%)
minecraft.crafted.blackstone_slab: #5, 824(8%)
minecraft.crafted.diamond_leggings: #5, 7(6%)
minecraft.crafted.stone_brick_slab: #5, 2784(5%)
minecraft.used.music_disc_stal: #4, 3(8%)
minecraft.picked_up.red_banner: #5, 8(9%)
minecraft.picked_up.purple_bed: #5, 30(9%)
minecraft.crafted.diamond_chestplate: #5, 6(6%)
minecraft.picked_up.smooth_sandstone_slab: #5, 455(6%)
minecraft.picked_up.music_disc_stal: #4, 3(4%)
minecraft.mined.sandstone_stairs: #5, 331(7%)
minecraft.mined.birch_sign: #5, 32(6%)
minecraft.used.warped_trapdoor: #5, 212(6%)
minecraft.mined.orange_tulip: #5, 53(8%)
minecraft.used.magenta_wool: #5, 109(7%)
minecraft.picked_up.lapis_ore: #5, 380(5%)
minecraft.picked_up.birch_planks: #5, 729(5%)
minecraft.picked_up.beetroot: #5, 163(7%)
minecraft.used.birch_sign: #5, 337(4%)
minecraft.picked_up.blackstone_wall: #5, 131(6%)
minecraft.crafted.flower_banner_pattern: #5, 1(20%)
minecraft.used.cornflower: #5, 20(6%)
minecraft.used.dark_prismarine_slab: #5, 718(9%)
minecraft.crafted.dark_prismarine_slab: #5, 498(7%)
minecraft.crafted.green_bed: #5, 5(9%)
minecraft.dropped.cookie: #5, 133(4%)
minecraft.picked_up.smooth_sandstone_stairs: #5, 389(4%)
minecraft.mined.dark_prismarine_slab: #5, 67(7%)
minecraft.mined.weeping_vines: #5, 29(4%)
minecraft.used.azure_bluet: #5, 35(5%)
minecraft.crafted.smooth_sandstone_stairs: #5, 432(5%)
minecraft.used.glass_pane: #6, 579(7%)
minecraft.dropped.gold_ore: #6, 54(9%)
minecraft.dropped.stripped_acacia_log: #5, 1(9%)
minecraft.crafted.golden_helmet: #6, 10(7%)
minecraft.crafted.pink_bed: #5, 7(4%)
minecraft.picked_up.chiseled_sandstone: #5, 74(3%)
minecraft.crafted.smooth_sandstone_slab: #5, 558(3%)
minecraft.dropped.light_blue_bed: #5, 1(6%)
minecraft.used.coal_ore: #6, 3167(6%)
minecraft.mined.crimson_pressure_plate: #5, 1(7%)
minecraft.mined.quartz_bricks: #5, 150(3%)
minecraft.used.music_disc_mellohi: #5, 1(8%)
minecraft.used.honeycomb_block: #5, 269(3%)
minecraft.dropped.orange_shulker_box: #5, 4(3%)
minecraft.picked_up.leather_chestplate: #6, 27(6%)
minecraft.mined.chiseled_sandstone: #5, 48(3%)
minecraft.used.beetroot_seeds: #5, 107(3%)
minecraft.used.warped_roots: #5, 23(2%)
minecraft.crafted.sandstone_stairs: #5, 172(2%)
minecraft.mined.potted_azure_bluet: #5, 1(6%)
minecraft.used.music_disc_ward: #5, 1(4%)
minecraft.mined.lilac: #6, 13(7%)
minecraft.crafted.diamond_helmet: #6, 8(6%)
minecraft.dropped.heart_of_the_sea: #5, 3(2%)
minecraft.used.white_glazed_terracotta: #5, 26(3%)
minecraft.mined.gray_glazed_terracotta: #5, 4(3%)
minecraft.used.white_tulip: #5, 19(2%)
minecraft.picked_up.light_blue_concrete_powder: #5, 171(2%)
minecraft.mined.prismarine_brick_stairs: #5, 14(2%)
minecraft.crafted.cracked_stone_bricks: #6, 384(8%)
minecraft.used.stone_brick_slab: #6, 3151(5%)
minecraft.mined.nether_sprouts: #6, 297(5%)
