stat, rank, value, (percentage) 
minecraft.mined.ladder: #5, 161(7%)
minecraft.mined.dragon_head: #4, 1(14%)
minecraft.killed.zombified_piglin: #4, 20229(3%)
minecraft.crafted.tipped_arrow: #4, 140(12%)
minecraft.killed.cave_spider: #5, 2887(8%)
minecraft.used.sugar_cane: #5, 1049(7%)
minecraft.dropped.birch_pressure_plate: #4, 2(10%)
minecraft.picked_up.music_disc_blocks: #4, 3(7%)
minecraft.picked_up.diamond_shovel: #5, 67(7%)
minecraft.dropped.warped_roots: #5, 252(9%)
minecraft.crafted.redstone_torch: #5, 5094(7%)
minecraft.crafted.oak_stairs: #5, 232(7%)
minecraft.broken.golden_helmet: #4, 2(5%)
minecraft.dropped.birch_button: #4, 6(7%)
minecraft.crafted.comparator: #5, 634(7%)
minecraft.dropped.shield: #4, 7(4%)
minecraft.dropped.campfire: #4, 52(7%)
minecraft.custom.fly_one_cm: #6, 177442513(5%)
minecraft.mined.dark_oak_slab: #5, 509(8%)
minecraft.dropped.lapis_block: #4, 121(7%)
minecraft.picked_up.furnace: #5, 342(6%)
minecraft.mined.redstone_wire: #5, 1188(6%)
minecraft.picked_up.writable_book: #5, 29(7%)
minecraft.picked_up.glass_bottle: #4, 373(3%)
minecraft.used.light_gray_carpet: #4, 1377(3%)
minecraft.dropped.diamond_pickaxe: #5, 23(7%)
minecraft.mined.potatoes: #5, 356(9%)
minecraft.mined.infested_cobblestone: #4, 1(14%)
minecraft.mined.potted_crimson_fungus: #4, 1(14%)
minecraft.dropped.birch_log: #5, 193(9%)
minecraft.dropped.detector_rail: #4, 2(7%)
minecraft.picked_up.light_blue_glazed_terracotta: #4, 20(8%)
minecraft.used.oak_stairs: #5, 234(6%)
minecraft.dropped.magma_block: #5, 175(8%)
minecraft.picked_up.nether_brick: #5, 771(9%)
minecraft.dropped.furnace: #5, 34(10%)
minecraft.mined.potted_spruce_sapling: #4, 1(8%)
minecraft.crafted.sticky_piston: #5, 574(7%)
minecraft.used.granite: #5, 2495(6%)
minecraft.dropped.carrot: #5, 4887(7%)
minecraft.custom.play_noteblock: #4, 227(2%)
minecraft.dropped.hopper: #5, 46(8%)
minecraft.picked_up.granite_slab: #4, 7(6%)
minecraft.mined.oak_sapling: #5, 46(7%)
minecraft.picked_up.jack_o_lantern: #5, 63(8%)
minecraft.dropped.jungle_stairs: #4, 4(5%)
minecraft.mined.lime_wool: #4, 44(3%)
minecraft.dropped.soul_torch: #4, 4(3%)
minecraft.used.carved_pumpkin: #5, 42(9%)
minecraft.used.warped_fungus_on_a_stick: #4, 12(7%)
minecraft.crafted.diamond_boots: #5, 14(6%)
minecraft.picked_up.magma_cream: #5, 298(6%)
minecraft.mined.oak_log: #5, 9076(6%)
minecraft.mined.stripped_oak_wood: #4, 120(3%)
minecraft.used.jungle_sign: #5, 91(7%)
minecraft.picked_up.oak_log: #5, 10752(6%)
minecraft.dropped.redstone_block: #5, 146(8%)
minecraft.mined.brown_mushroom: #5, 132(6%)
minecraft.dropped.torch: #5, 1292(6%)
minecraft.dropped.golden_horse_armor: #4, 1(7%)
minecraft.picked_up.dispenser: #5, 146(6%)
minecraft.mined.packed_ice: #4, 2372(2%)
minecraft.used.yellow_glazed_terracotta: #4, 81(3%)
minecraft.picked_up.stripped_oak_wood: #4, 119(3%)
minecraft.mined.nether_bricks: #5, 1963(6%)
minecraft.dropped.milk_bucket: #5, 7(10%)
minecraft.picked_up.warped_stairs: #5, 54(7%)
minecraft.mined.cobweb: #5, 438(5%)
minecraft.used.soul_soil: #5, 1234(7%)
minecraft.dropped.black_stained_glass_pane: #4, 34(4%)
minecraft.dropped.quartz_pillar: #4, 11(3%)
minecraft.killed.zombie_villager: #5, 25(5%)
minecraft.mined.dark_oak_planks: #5, 556(5%)
minecraft.crafted.bricks: #5, 5979(7%)
minecraft.mined.composter: #5, 54(6%)
minecraft.picked_up.dark_oak_planks: #5, 1021(5%)
minecraft.dropped.cobblestone_slab: #5, 273(6%)
minecraft.dropped.suspicious_stew: #4, 5(4%)
minecraft.picked_up.cooked_cod: #5, 128(6%)
minecraft.crafted.honey_block: #4, 362(2%)
minecraft.used.black_stained_glass: #5, 5487(6%)
minecraft.picked_up.music_disc_strad: #4, 1(3%)
minecraft.mined.end_stone_bricks: #4, 348(1%)
minecraft.picked_up.end_stone_bricks: #4, 360(1%)
minecraft.dropped.warped_fungus_on_a_stick: #4, 1(5%)
minecraft.used.black_concrete: #5, 4565(5%)
minecraft.mined.yellow_glazed_terracotta: #4, 20(2%)
minecraft.crafted.gray_stained_glass_pane: #5, 544(8%)
minecraft.dropped.iron_helmet: #5, 16(7%)
minecraft.used.carrot: #5, 1537(5%)
minecraft.crafted.bone_meal: #5, 131966(5%)
minecraft.mined.potted_cactus: #5, 5(11%)
minecraft.picked_up.black_stained_glass_pane: #5, 203(6%)
minecraft.dropped.blackstone_stairs: #4, 4(1%)
minecraft.dropped.chain: #5, 272(6%)
minecraft.mined.red_carpet: #5, 107(5%)
minecraft.killed.pillager: #4, 162(0%)
minecraft.used.melon_slice: #5, 69(6%)
minecraft.crafted.pink_stained_glass_pane: #4, 32(1%)
minecraft.dropped.pink_terracotta: #4, 3(2%)
minecraft.dropped.stone_brick_wall: #4, 13(1%)
minecraft.crafted.polished_andesite_slab: #5, 788(5%)
minecraft.picked_up.jungle_stairs: #5, 145(6%)
minecraft.used.white_bed: #5, 173(4%)
minecraft.crafted.end_stone_brick_stairs: #4, 4(1%)
minecraft.dropped.blue_concrete: #4, 11(1%)
minecraft.picked_up.purpur_block: #5, 382(6%)
minecraft.dropped.golden_boots: #5, 23(5%)
minecraft.mined.brown_concrete_powder: #5, 35(6%)
minecraft.broken.diamond_shovel: #5, 3(8%)
minecraft.dropped.polished_granite_slab: #4, 4(1%)
minecraft.dropped.minecart: #5, 44(5%)
minecraft.used.mossy_cobblestone_slab: #5, 61(8%)
minecraft.mined.light_gray_carpet: #5, 229(5%)
minecraft.used.end_stone_brick_stairs: #4, 3(1%)
minecraft.dropped.crimson_stairs: #4, 2(0%)
minecraft.picked_up.brick: #5, 137(6%)
minecraft.dropped.honeycomb: #4, 2(0%)
minecraft.picked_up.jungle_pressure_plate: #5, 2(12%)
minecraft.used.repeater: #6, 1594(8%)
minecraft.mined.brown_concrete: #5, 268(6%)
minecraft.used.birch_button: #5, 41(6%)
minecraft.used.white_terracotta: #5, 965(5%)
minecraft.dropped.purpur_stairs: #5, 21(6%)
minecraft.used.hopper_minecart: #5, 46(4%)
minecraft.crafted.cyan_shulker_box: #5, 9(6%)
minecraft.used.tube_coral_fan: #5, 6(7%)
minecraft.used.redstone_block: #6, 814(8%)
minecraft.used.golden_carrot: #6, 6183(8%)
minecraft.picked_up.purple_wool: #5, 544(6%)
minecraft.mined.oak_door: #5, 6(6%)
minecraft.used.andesite_wall: #5, 573(5%)
minecraft.killed.bat: #5, 63(4%)
minecraft.dropped.oak_fence: #5, 39(4%)
minecraft.dropped.sugar_cane: #5, 1590(4%)
minecraft.mined.blackstone_stairs: #5, 81(5%)
minecraft.picked_up.emerald_ore: #5, 32(8%)
minecraft.used.glowstone: #5, 746(4%)
minecraft.crafted.stone_brick_wall: #5, 252(4%)
minecraft.picked_up.blaze_rod: #5, 715(4%)
minecraft.picked_up.sticky_piston: #6, 433(8%)
minecraft.dropped.nether_quartz_ore: #5, 60(4%)
minecraft.used.dandelion: #5, 16(4%)
minecraft.crafted.stone_axe: #5, 12(3%)
minecraft.mined.black_stained_glass_pane: #5, 92(4%)
minecraft.picked_up.spruce_door: #6, 46(8%)
minecraft.crafted.netherite_chestplate: #5, 1(11%)
minecraft.picked_up.diorite_slab: #5, 133(9%)
minecraft.dropped.chainmail_chestplate: #5, 6(6%)
minecraft.dropped.stone_slab: #5, 833(4%)
minecraft.crafted.leather_leggings: #5, 58(4%)
minecraft.crafted.dark_oak_boat: #5, 2(8%)
minecraft.used.light_blue_concrete: #5, 1319(4%)
minecraft.dropped.nautilus_shell: #5, 6(7%)
minecraft.used.spruce_button: #5, 104(4%)
minecraft.crafted.rail: #6, 2613(7%)
minecraft.mined.warped_door: #5, 3(8%)
minecraft.picked_up.blackstone_stairs: #5, 76(4%)
minecraft.killed_by.magma_cube: #5, 2(12%)
minecraft.used.granite_slab: #5, 54(7%)
minecraft.dropped.brown_shulker_box: #5, 2(8%)
minecraft.dropped.black_carpet: #5, 40(5%)
minecraft.crafted.grindstone: #5, 136(3%)
minecraft.dropped.yellow_glazed_terracotta: #5, 4(10%)
minecraft.used.andesite: #6, 5774(7%)
minecraft.dropped.jungle_planks: #6, 182(8%)
minecraft.picked_up.polished_diorite_stairs: #5, 78(6%)
minecraft.crafted.white_terracotta: #5, 518(4%)
minecraft.used.suspicious_stew: #5, 2(7%)
minecraft.dropped.cracked_stone_bricks: #5, 20(5%)
minecraft.dropped.polished_basalt: #5, 43(5%)
minecraft.custom.inspect_hopper: #6, 3365(6%)
minecraft.crafted.light_gray_bed: #5, 9(6%)
minecraft.used.player_head: #6, 248(7%)
minecraft.killed.creeper: #6, 620(6%)
minecraft.custom.inspect_dispenser: #6, 1138(7%)
minecraft.picked_up.golden_boots: #6, 31(6%)
minecraft.dropped.nether_gold_ore: #5, 37(3%)
minecraft.picked_up.crying_obsidian: #6, 170(7%)
minecraft.custom.inspect_dropper: #6, 1813(6%)
minecraft.crafted.polished_blackstone_brick_slab: #5, 252(3%)
minecraft.picked_up.gold_nugget: #5, 12567(2%)
minecraft.used.polished_andesite: #6, 5599(7%)
minecraft.crafted.cyan_glazed_terracotta: #5, 8(9%)
minecraft.mined.spruce_wall_sign: #6, 26(7%)
minecraft.mined.snow_block: #5, 895(3%)
minecraft.dropped.chiseled_stone_bricks: #5, 48(5%)
minecraft.mined.black_terracotta: #6, 683(10%)
minecraft.dropped.diamond_axe: #6, 10(7%)
minecraft.crafted.andesite_slab: #5, 522(3%)
minecraft.mined.player_head: #6, 90(6%)
minecraft.dropped.stone_brick_slab: #5, 225(2%)
minecraft.crafted.observer: #6, 1274(7%)
minecraft.dropped.black_concrete_powder: #5, 128(4%)
minecraft.used.birch_log: #6, 1216(6%)
minecraft.mined.prismarine_slab: #5, 21(5%)
minecraft.used.music_disc_13: #5, 1(5%)
minecraft.picked_up.netherite_axe: #6, 35(7%)
minecraft.dropped.oak_sign: #6, 78(8%)
minecraft.dropped.white_shulker_box: #5, 2(5%)
minecraft.crafted.diamond_pickaxe: #6, 29(6%)
minecraft.picked_up.elytra: #6, 93(5%)
minecraft.dropped.red_mushroom: #6, 73(7%)
minecraft.crafted.charcoal: #5, 97(3%)
minecraft.picked_up.carrot: #6, 6901(6%)
minecraft.dropped.polished_blackstone_brick_slab: #5, 19(4%)
minecraft.mined.pink_stained_glass_pane: #5, 8(7%)
minecraft.crafted.melon: #5, 5484(3%)
minecraft.dropped.crimson_sign: #5, 3(5%)
minecraft.mined.magenta_concrete_powder: #5, 3(3%)
minecraft.picked_up.warped_wart_block: #6, 5929(6%)
minecraft.mined.dark_oak_button: #6, 5(11%)
minecraft.picked_up.weeping_vines: #6, 298(6%)
minecraft.crafted.brick_wall: #5, 54(3%)
minecraft.killed.spider: #6, 215(6%)
minecraft.dropped.end_crystal: #5, 1(4%)
minecraft.used.cod_bucket: #5, 2(5%)
minecraft.crafted.mossy_stone_brick_slab: #5, 12(5%)
minecraft.dropped.lily_pad: #5, 6(3%)
minecraft.dropped.splash_potion: #5, 20(2%)
minecraft.used.pink_shulker_box: #6, 105(6%)
minecraft.picked_up.diorite_stairs: #5, 15(4%)
minecraft.used.red_shulker_box: #6, 455(5%)
minecraft.crafted.brick: #6, 23998(6%)
minecraft.dropped.blue_shulker_box: #5, 1(6%)
minecraft.picked_up.red_shulker_box: #6, 452(5%)
minecraft.mined.red_shulker_box: #6, 443(5%)
minecraft.dropped.horn_coral_fan: #5, 1(5%)
minecraft.used.magenta_stained_glass_pane: #5, 16(3%)
minecraft.broken.stone_hoe: #5, 1(3%)
minecraft.used.pink_concrete_powder: #5, 314(2%)
minecraft.crafted.fletching_table: #5, 13(2%)
minecraft.dropped.stone_hoe: #5, 6(2%)
minecraft.custom.leave_game: #7, 2010(5%)
minecraft.used.acacia_wood: #5, 147(2%)
minecraft.mined.lime_concrete_powder: #5, 23(2%)
minecraft.dropped.shulker_shell: #5, 16(2%)
minecraft.dropped.netherite_sword: #6, 5(6%)
minecraft.picked_up.rotten_flesh: #6, 12373(4%)
minecraft.used.dried_kelp: #6, 137(10%)
minecraft.used.black_banner: #6, 73(8%)
minecraft.picked_up.netherite_pickaxe: #6, 51(5%)
minecraft.crafted.acacia_wood: #5, 144(2%)
minecraft.dropped.respawn_anchor: #5, 1(3%)
minecraft.used.oak_pressure_plate: #6, 10(6%)
minecraft.picked_up.stone_slab: #6, 1650(5%)
minecraft.dropped.warped_trapdoor: #5, 2(2%)
minecraft.mined.note_block: #6, 69(6%)
minecraft.picked_up.pink_shulker_box: #6, 96(6%)
minecraft.picked_up.pink_stained_glass_pane: #5, 3(2%)
minecraft.picked_up.yellow_glazed_terracotta: #5, 17(1%)
minecraft.used.grass_block: #6, 17049(4%)
minecraft.crafted.mossy_cobblestone_wall: #5, 12(1%)
minecraft.dropped.dark_oak_sign: #5, 14(1%)
minecraft.picked_up.stripped_birch_log: #6, 278(5%)
minecraft.dropped.clay_ball: #6, 54(8%)
minecraft.dropped.warped_fence: #5, 1(2%)
minecraft.mined.green_glazed_terracotta: #5, 1(2%)
minecraft.dropped.andesite_stairs: #5, 15(1%)
minecraft.mined.pink_shulker_box: #6, 93(6%)
minecraft.dropped.warped_stairs: #5, 2(1%)
minecraft.mined.carrots: #6, 1125(5%)
minecraft.mined.polished_blackstone_brick_wall: #6, 30(7%)
minecraft.dropped.light_gray_shulker_box: #5, 1(1%)
minecraft.mined.chain: #6, 131(5%)
minecraft.dropped.end_stone_bricks: #6, 63(7%)
minecraft.crafted.purple_glazed_terracotta: #5, 3(1%)
minecraft.used.fire_charge: #5, 1(1%)
minecraft.picked_up.crafting_table: #6, 327(4%)
minecraft.mined.andesite_wall: #6, 105(6%)
minecraft.crafted.iron_sword: #6, 16(4%)
minecraft.dropped.dark_prismarine_slab: #5, 1(0%)
minecraft.used.dropper: #7, 669(8%)
minecraft.used.andesite_slab: #6, 1092(5%)
minecraft.crafted.polished_andesite_stairs: #6, 403(6%)
minecraft.dropped.golden_leggings: #6, 20(5%)
minecraft.dropped.iron_shovel: #6, 8(5%)
minecraft.mined.stripped_birch_log: #6, 258(5%)
minecraft.picked_up.polished_blackstone_brick_wall: #6, 30(6%)
minecraft.used.lime_wool: #6, 257(5%)
minecraft.dropped.bamboo: #6, 917(5%)
minecraft.crafted.black_banner: #6, 63(7%)
minecraft.used.oak_button: #6, 55(5%)
minecraft.mined.green_terracotta: #6, 137(5%)
minecraft.used.iron_axe: #6, 1967(4%)
minecraft.dropped.rail: #6, 222(4%)
minecraft.picked_up.white_shulker_box: #6, 213(4%)
minecraft.mined.white_shulker_box: #6, 207(4%)
minecraft.picked_up.netherite_chestplate: #6, 3(7%)
minecraft.mined.birch_sign: #6, 24(4%)
minecraft.used.white_shulker_box: #6, 207(4%)
minecraft.picked_up.jungle_button: #6, 9(5%)
minecraft.picked_up.gray_stained_glass: #6, 333(6%)
minecraft.custom.drop: #7, 17391(6%)
minecraft.picked_up.bell: #6, 28(4%)
minecraft.dropped.birch_boat: #6, 4(6%)
minecraft.crafted.blackstone_stairs: #6, 184(5%)
minecraft.crafted.black_carpet: #6, 2502(4%)
minecraft.used.bamboo: #6, 467(3%)
minecraft.dropped.iron_hoe: #6, 2(6%)
minecraft.crafted.orange_shulker_box: #6, 13(5%)
minecraft.dropped.polished_blackstone_bricks: #6, 102(6%)
minecraft.crafted.jungle_sign: #6, 57(4%)
minecraft.picked_up.splash_potion: #6, 32(4%)
minecraft.used.sticky_piston: #7, 805(7%)
minecraft.crafted.light_gray_shulker_box: #6, 11(4%)
minecraft.dropped.light_blue_stained_glass: #6, 47(8%)
minecraft.killed.pig: #6, 33(3%)
minecraft.mined.white_wall_banner: #6, 8(4%)
minecraft.dropped.dirt: #7, 6969(7%)
minecraft.crafted.stone_pickaxe: #6, 26(3%)
minecraft.dropped.crimson_nylium: #6, 39(5%)
minecraft.picked_up.stone_hoe: #6, 5(4%)
minecraft.dropped.barrel: #6, 16(5%)
minecraft.picked_up.cobweb: #6, 181(4%)
minecraft.mined.polished_granite: #6, 107(3%)
minecraft.mined.player_wall_head: #7, 55(7%)
minecraft.used.cracked_polished_blackstone_bricks: #6, 183(4%)
minecraft.crafted.lapis_lazuli: #6, 1731(3%)
minecraft.crafted.jungle_boat: #6, 8(4%)
minecraft.used.white_stained_glass: #6, 2249(3%)
minecraft.picked_up.golden_chestplate: #7, 30(7%)
minecraft.dropped.spruce_slab: #6, 196(4%)
minecraft.crafted.golden_apple: #6, 141(4%)
minecraft.mined.spruce_door: #6, 4(4%)
minecraft.dropped.warped_nylium: #6, 13(4%)
minecraft.picked_up.white_concrete_powder: #6, 5383(2%)
minecraft.picked_up.lime_terracotta: #6, 93(3%)
minecraft.used.black_terracotta: #6, 908(4%)
minecraft.mined.magenta_carpet: #6, 21(4%)
minecraft.dropped.string: #7, 1289(6%)
minecraft.picked_up.music_disc_13: #6, 2(3%)
minecraft.dropped.leather: #6, 266(3%)
minecraft.picked_up.light_gray_carpet: #6, 351(2%)
minecraft.picked_up.egg: #6, 457(2%)
minecraft.dropped.glass_bottle: #6, 157(2%)
minecraft.picked_up.iron_axe: #6, 8(3%)
minecraft.mined.polished_diorite_slab: #6, 64(5%)
minecraft.picked_up.polished_diorite_slab: #6, 59(4%)
minecraft.used.cyan_terracotta: #7, 15219(6%)
minecraft.dropped.iron_axe: #6, 7(3%)
minecraft.mined.twisting_vines: #6, 20(3%)
minecraft.used.lime_stained_glass_pane: #6, 151(3%)
minecraft.mined.anvil: #7, 64(6%)
minecraft.dropped.lantern: #6, 68(3%)
minecraft.picked_up.ladder: #7, 456(6%)
minecraft.used.blackstone_stairs: #6, 203(2%)
minecraft.dropped.gold_ore: #7, 48(8%)
minecraft.picked_up.wither_rose: #7, 440(7%)
minecraft.used.acacia_boat: #6, 4(3%)
minecraft.crafted.granite_stairs: #6, 32(4%)
minecraft.picked_up.emerald: #7, 1013(6%)
minecraft.crafted.brick_stairs: #6, 48(4%)
minecraft.crafted.repeater: #7, 959(6%)
minecraft.crafted.polished_granite: #6, 556(2%)
minecraft.picked_up.acacia_boat: #6, 3(3%)
minecraft.dropped.yellow_shulker_box: #6, 1(4%)
minecraft.used.magenta_wool: #6, 36(2%)
minecraft.used.granite_stairs: #6, 21(3%)
minecraft.crafted.light_gray_stained_glass_pane: #6, 544(2%)
minecraft.used.blackstone: #6, 1701(1%)
minecraft.used.bee_nest: #6, 12(3%)
minecraft.dropped.name_tag: #7, 37(6%)
minecraft.mined.crimson_sign: #6, 1(4%)
minecraft.dropped.yellow_carpet: #6, 10(3%)
minecraft.dropped.gray_stained_glass: #6, 29(3%)
minecraft.crafted.magenta_stained_glass: #6, 64(2%)
minecraft.dropped.spider_eye: #6, 226(1%)
minecraft.picked_up.string: #7, 2838(5%)
minecraft.picked_up.crimson_sign: #6, 4(2%)
minecraft.picked_up.lilac: #7, 228(6%)
minecraft.crafted.pink_concrete_powder: #6, 320(1%)
minecraft.picked_up.mossy_stone_brick_slab: #6, 2(3%)
minecraft.mined.sandstone_slab: #6, 106(1%)
minecraft.dropped.oxeye_daisy: #6, 32(1%)
minecraft.used.magenta_concrete: #6, 103(1%)
minecraft.dropped.smooth_sandstone_slab: #6, 12(2%)
minecraft.crafted.sugar: #6, 195(1%)
minecraft.mined.damaged_anvil: #7, 13(6%)
minecraft.crafted.pumpkin_pie: #6, 240(1%)
minecraft.dropped.cracked_polished_blackstone_bricks: #6, 9(2%)
minecraft.dropped.cauldron: #6, 4(2%)
minecraft.crafted.brick_slab: #6, 78(2%)
minecraft.used.bow: #7, 5679(5%)
minecraft.used.light_gray_bed: #6, 9(2%)
minecraft.dropped.chiseled_polished_blackstone: #6, 2(2%)
minecraft.dropped.polished_diorite_slab: #6, 1(3%)
minecraft.picked_up.bone: #7, 5442(4%)
minecraft.crafted.piston: #7, 903(5%)
minecraft.picked_up.prismarine_slab: #6, 21(1%)
minecraft.picked_up.yellow_carpet: #6, 126(1%)
minecraft.dropped.light_blue_stained_glass_pane: #6, 7(2%)
minecraft.dropped.emerald: #7, 404(6%)
minecraft.picked_up.redstone: #7, 19549(4%)
minecraft.picked_up.damaged_anvil: #7, 13(5%)
minecraft.crafted.wooden_pickaxe: #7, 2(5%)
minecraft.picked_up.black_terracotta: #7, 680(6%)
minecraft.crafted.golden_helmet: #7, 7(5%)
minecraft.dropped.white_stained_glass_pane: #6, 24(1%)
minecraft.dropped.wither_skeleton_skull: #6, 1(1%)
minecraft.picked_up.bone_meal: #7, 2160(4%)
minecraft.custom.damage_absorbed: #7, 488(6%)
minecraft.picked_up.lime_shulker_box: #7, 130(5%)
minecraft.used.end_stone_bricks: #6, 193(0%)
minecraft.used.fire_coral_block: #6, 3(1%)
minecraft.crafted.stripped_birch_wood: #6, 3(1%)
minecraft.mined.purpur_block: #7, 366(5%)
minecraft.mined.blackstone_wall: #7, 44(6%)
minecraft.used.pink_stained_glass_pane: #6, 8(0%)
minecraft.crafted.red_glazed_terracotta: #6, 5(0%)
minecraft.used.spider_eye: #6, 1(0%)
minecraft.crafted.cracked_nether_bricks: #6, 1(0%)
minecraft.used.cracked_nether_bricks: #6, 1(0%)
minecraft.dropped.birch_planks: #7, 109(5%)
minecraft.picked_up.red_mushroom: #7, 227(4%)
minecraft.crafted.oak_fence_gate: #7, 83(5%)
minecraft.mined.purpur_slab: #7, 53(5%)
minecraft.used.wooden_sword: #7, 22(5%)
minecraft.used.pumpkin_seeds: #7, 88(5%)
minecraft.picked_up.potato: #7, 1417(4%)
minecraft.used.lime_shulker_box: #7, 120(5%)
minecraft.dropped.sand: #7, 2672(4%)
minecraft.used.apple: #7, 40(6%)
minecraft.mined.stone_bricks: #7, 2910(4%)
minecraft.mined.nether_brick_fence: #7, 51(5%)
minecraft.picked_up.baked_potato: #7, 51(7%)
minecraft.picked_up.brown_bed: #7, 13(5%)
minecraft.crafted.hopper_minecart: #7, 46(4%)
minecraft.picked_up.black_concrete: #7, 1656(4%)
minecraft.used.light_gray_stained_glass_pane: #7, 389(4%)
minecraft.crafted.oak_boat: #7, 14(4%)
minecraft.mined.emerald_ore: #7, 31(6%)
minecraft.picked_up.grass_block: #7, 21914(3%)
minecraft.mined.white_bed: #7, 120(3%)
minecraft.dropped.basalt: #7, 349(4%)
minecraft.crafted.iron_door: #7, 39(4%)
minecraft.mined.purpur_stairs: #7, 78(4%)
minecraft.used.stone_slab: #8, 4985(7%)
minecraft.crafted.compass: #7, 163(4%)
minecraft.mined.polished_andesite_stairs: #7, 151(4%)
minecraft.mined.gilded_blackstone: #7, 41(4%)
minecraft.used.anvil: #7, 113(3%)
minecraft.picked_up.iron_nugget: #7, 598(3%)
minecraft.used.melon_seeds: #7, 72(4%)
minecraft.killed.turtle: #7, 3(7%)
minecraft.crafted.lime_stained_glass_pane: #7, 256(4%)
minecraft.mined.bee_nest: #7, 17(3%)
minecraft.used.polished_andesite_stairs: #7, 571(3%)
minecraft.crafted.lapis_block: #7, 506(3%)
minecraft.broken.iron_axe: #7, 4(3%)
minecraft.crafted.oak_button: #7, 42(3%)
minecraft.mined.smooth_stone: #7, 884(3%)
minecraft.picked_up.red_carpet: #7, 108(3%)
minecraft.picked_up.birch_planks: #7, 434(3%)
minecraft.dropped.iron_pickaxe: #7, 4(4%)
minecraft.crafted.brown_terracotta: #7, 1280(4%)
minecraft.dropped.bowl: #7, 3(4%)
minecraft.crafted.golden_carrot: #7, 4925(3%)
minecraft.picked_up.crimson_fungus: #7, 126(3%)
minecraft.crafted.spruce_button: #7, 98(3%)
minecraft.mined.granite_stairs: #7, 7(5%)
minecraft.broken.stone_axe: #7, 1(5%)
minecraft.dropped.light_gray_carpet: #7, 45(3%)
minecraft.picked_up.crimson_roots: #7, 549(2%)
minecraft.crafted.map: #7, 93(3%)
minecraft.killed.silverfish: #7, 24(3%)
minecraft.crafted.stone_hoe: #7, 9(3%)
minecraft.mined.infested_stone_bricks: #7, 3(4%)
minecraft.used.jungle_boat: #7, 13(3%)
minecraft.crafted.bone_block: #7, 3844(2%)
minecraft.picked_up.stone_axe: #7, 2(3%)
minecraft.dropped.quartz: #7, 207(2%)
minecraft.dropped.spruce_trapdoor: #7, 160(3%)
minecraft.mined.andesite_slab: #7, 160(2%)
minecraft.picked_up.campfire: #7, 63(2%)
minecraft.used.weeping_vines: #7, 28(3%)
minecraft.mined.twisting_vines_plant: #7, 28(3%)
minecraft.mined.polished_blackstone_brick_slab: #7, 122(2%)
minecraft.mined.dispenser: #8, 108(6%)
minecraft.picked_up.polished_blackstone_brick_slab: #7, 145(2%)
minecraft.picked_up.cyan_concrete: #7, 740(2%)
minecraft.picked_up.golden_leggings: #8, 31(6%)
minecraft.crafted.detector_rail: #7, 30(3%)
minecraft.crafted.golden_chestplate: #7, 4(3%)
minecraft.crafted.name_tag: #7, 68(3%)
minecraft.killed_by.iron_golem: #7, 2(4%)
minecraft.picked_up.magenta_stained_glass_pane: #7, 9(4%)
minecraft.used.warped_door: #7, 4(4%)
minecraft.crafted.polished_blackstone_brick_stairs: #7, 72(3%)
minecraft.picked_up.wither_skeleton_skull: #7, 19(3%)
minecraft.picked_up.white_concrete: #8, 7381(6%)
minecraft.dropped.iron_ingot: #7, 724(2%)
minecraft.picked_up.sandstone_slab: #7, 243(2%)
minecraft.dropped.cyan_terracotta: #7, 153(2%)
minecraft.mined.birch_pressure_plate: #7, 5(3%)
minecraft.picked_up.allium: #7, 63(2%)
minecraft.picked_up.magenta_carpet: #7, 21(2%)
minecraft.mined.light_gray_stained_glass: #7, 127(2%)
minecraft.used.mossy_stone_brick_slab: #7, 9(4%)
minecraft.picked_up.birch_pressure_plate: #7, 5(3%)
minecraft.dropped.elytra: #8, 12(6%)
minecraft.used.horn_coral_block: #7, 6(3%)
minecraft.mined.gray_stained_glass: #7, 84(2%)
minecraft.mined.brick_stairs: #7, 13(2%)
minecraft.crafted.polished_andesite: #8, 5596(6%)
minecraft.picked_up.polished_andesite: #8, 1333(6%)
minecraft.picked_up.spectral_arrow: #7, 118(2%)
minecraft.picked_up.music_disc_mall: #7, 1(3%)
minecraft.crafted.mossy_cobblestone_stairs: #7, 4(3%)
minecraft.crafted.light_blue_stained_glass_pane: #7, 128(2%)
minecraft.used.light_gray_stained_glass: #7, 507(2%)
minecraft.used.snow: #7, 776(2%)
minecraft.killed.parrot: #7, 2(3%)
minecraft.picked_up.golden_carrot: #8, 2207(5%)
minecraft.crafted.birch_pressure_plate: #7, 5(2%)
minecraft.picked_up.book: #7, 682(1%)
minecraft.custom.open_enderchest: #8, 5081(5%)
minecraft.picked_up.red_concrete_powder: #7, 331(2%)
minecraft.used.black_carpet: #7, 2137(1%)
minecraft.picked_up.chest: #8, 1411(5%)
minecraft.picked_up.honeycomb_block: #7, 36(2%)
minecraft.picked_up.lime_wool: #7, 145(1%)
minecraft.mined.heavy_weighted_pressure_plate: #7, 6(2%)
minecraft.dropped.jungle_slab: #7, 34(2%)
minecraft.mined.cyan_stained_glass_pane: #7, 19(2%)
minecraft.dropped.polished_granite: #7, 21(2%)
minecraft.dropped.acacia_sign: #7, 6(2%)
minecraft.dropped.stripped_dark_oak_log: #7, 2(3%)
minecraft.mined.magenta_concrete: #7, 103(1%)
minecraft.crafted.warped_fungus_on_a_stick: #7, 1(3%)
minecraft.used.wither_skeleton_skull: #7, 14(1%)
