stat, rank, value, (percentage) 
minecraft.killed_by.wither_skeleton: #1, 3(30%)
minecraft.picked_up.dark_oak_boat: #1, 11(24%)
minecraft.mined.dropper: #2, 380(14%)
minecraft.picked_up.netherite_block: #1, 48(34%)
minecraft.dropped.beacon: #2, 34(37%)
minecraft.crafted.granite_slab: #1, 120(26%)
minecraft.crafted.oak_door: #2, 72(16%)
minecraft.used.iron_sword: #2, 6122(14%)
minecraft.dropped.emerald_block: #2, 65(33%)
minecraft.killed_by.zombified_piglin: #1, 7(32%)
minecraft.dropped.granite: #2, 8001(13%)
minecraft.used.pink_bed: #2, 55(23%)
minecraft.crafted.chainmail_helmet: #1, 22(55%)
minecraft.mined.yellow_concrete_powder: #1, 70(17%)
minecraft.picked_up.stick: #2, 15784(13%)
minecraft.dropped.glowstone: #2, 579(18%)
minecraft.dropped.apple: #2, 225(15%)
minecraft.dropped.polished_blackstone_brick_wall: #1, 11(52%)
minecraft.crafted.shulker_box: #2, 885(13%)
minecraft.killed.husk: #2, 114(15%)
minecraft.used.redstone_torch: #2, 1650(11%)
minecraft.mined.black_wall_banner: #2, 75(24%)
minecraft.dropped.pink_concrete: #2, 259(22%)
minecraft.crafted.furnace: #2, 1216(13%)
minecraft.picked_up.pumpkin_seeds: #3, 5090(17%)
minecraft.mined.jungle_sign: #2, 16(16%)
minecraft.mined.gray_concrete_powder: #2, 1128(14%)
minecraft.used.green_concrete: #2, 1709(17%)
minecraft.picked_up.arrow: #2, 10800(11%)
minecraft.picked_up.diamond_block: #2, 1423(12%)
minecraft.dropped.andesite: #2, 5899(12%)
minecraft.used.oak_fence_gate: #2, 315(14%)
minecraft.picked_up.oak_slab: #2, 931(13%)
minecraft.dropped.oak_log: #2, 651(12%)
minecraft.used.wooden_shovel: #2, 891(36%)
minecraft.mined.oak_sign: #2, 82(12%)
minecraft.mined.observer: #2, 806(13%)
minecraft.picked_up.honey_block: #3, 1192(17%)
minecraft.picked_up.golden_sword: #2, 502(13%)
minecraft.picked_up.green_glazed_terracotta: #1, 38(35%)
minecraft.picked_up.powered_rail: #2, 1925(11%)
minecraft.picked_up.polished_blackstone_button: #2, 58(18%)
minecraft.picked_up.carved_pumpkin: #3, 870(17%)
minecraft.mined.infested_cracked_stone_bricks: #1, 2(29%)
minecraft.dropped.fermented_spider_eye: #1, 37(57%)
minecraft.picked_up.shulker_shell: #2, 2750(13%)
minecraft.mined.comparator: #2, 263(12%)
minecraft.picked_up.gold_ingot: #2, 1580(11%)
minecraft.picked_up.oak_button: #2, 47(13%)
minecraft.mined.oak_button: #2, 22(19%)
minecraft.dropped.diamond_block: #2, 337(12%)
