stat, rank, value, (percentage) 
minecraft.dropped.heavy_weighted_pressure_plate: #2, 36(21%)
minecraft.mined.soul_soil: #3, 5324(13%)
minecraft.crafted.comparator: #3, 1165(13%)
minecraft.picked_up.iron_boots: #2, 66(9%)
minecraft.picked_up.warped_nylium: #3, 1209(14%)
minecraft.used.dead_fire_coral_block: #1, 1(100%)
minecraft.used.skeleton_skull: #1, 1(100%)
minecraft.dropped.purple_glazed_terracotta: #1, 1(100%)
minecraft.dropped.blue_glazed_terracotta: #1, 3(100%)
minecraft.dropped.dead_tube_coral_fan: #1, 2(100%)
minecraft.dropped.magenta_glazed_terracotta: #1, 3(100%)
minecraft.dropped.red_sandstone_slab: #1, 2(50%)
minecraft.picked_up.spruce_button: #3, 174(15%)
minecraft.crafted.cracked_stone_bricks: #2, 653(14%)
minecraft.used.bone_meal: #2, 27195(9%)
minecraft.crafted.torch: #2, 21696(8%)
minecraft.picked_up.nether_wart: #3, 20645(13%)
minecraft.picked_up.light_gray_shulker_box: #3, 415(16%)
minecraft.crafted.purple_glazed_terracotta: #2, 128(39%)
minecraft.mined.light_gray_terracotta: #3, 8111(15%)
minecraft.crafted.flower_pot: #3, 788(14%)
minecraft.used.purple_terracotta: #2, 1202(17%)
minecraft.mined.iron_ore: #2, 7889(8%)
minecraft.dropped.hopper: #3, 90(16%)
minecraft.mined.oak_pressure_plate: #2, 7(12%)
minecraft.picked_up.stripped_dark_oak_log: #3, 1036(15%)
minecraft.mined.nether_sprouts: #3, 741(14%)
minecraft.picked_up.iron_ore: #2, 8309(8%)
minecraft.used.emerald_block: #3, 2061(17%)
minecraft.picked_up.purple_terracotta: #2, 702(23%)
minecraft.mined.red_shulker_box: #3, 985(11%)
minecraft.mined.infested_stone_bricks: #2, 11(15%)
minecraft.picked_up.orange_concrete: #3, 1510(13%)
minecraft.picked_up.red_shulker_box: #3, 1001(11%)
minecraft.used.red_terracotta: #3, 3751(14%)
minecraft.used.red_shulker_box: #3, 995(11%)
minecraft.crafted.tipped_arrow: #2, 375(31%)
minecraft.dropped.warped_stairs: #2, 56(37%)
minecraft.mined.stripped_dark_oak_log: #3, 1007(15%)
minecraft.used.stripped_dark_oak_log: #3, 905(16%)
minecraft.crafted.soul_lantern: #2, 714(11%)
minecraft.picked_up.nautilus_shell: #3, 62(15%)
minecraft.used.repeater: #3, 2263(11%)
minecraft.dropped.oak_stairs: #2, 16(14%)
minecraft.mined.lily_pad: #2, 172(10%)
minecraft.dropped.leather_chestplate: #3, 51(13%)
minecraft.mined.jungle_log: #3, 16596(13%)
minecraft.dropped.bow: #3, 947(12%)
minecraft.dropped.cooked_beef: #3, 448(13%)
minecraft.used.tube_coral_block: #2, 69(20%)
minecraft.used.cod_bucket: #2, 11(25%)
minecraft.picked_up.firework_rocket: #3, 13830(11%)
minecraft.mined.soul_campfire: #2, 13(17%)
minecraft.dropped.redstone: #3, 1434(12%)
minecraft.killed.stray: #2, 18(25%)
minecraft.mined.ice: #2, 45212(8%)
minecraft.dropped.spruce_planks: #3, 603(11%)
minecraft.mined.warped_nylium: #3, 1036(12%)
minecraft.custom.inspect_hopper: #3, 5696(10%)
minecraft.mined.warped_roots: #3, 1110(12%)
minecraft.killed.cod: #3, 285(15%)
minecraft.used.crossbow: #3, 506(12%)
minecraft.used.spruce_stairs: #3, 1639(11%)
minecraft.crafted.emerald_block: #3, 2169(13%)
minecraft.mined.potted_oak_sapling: #2, 3(33%)
minecraft.mined.end_rod: #2, 996(8%)
minecraft.dropped.magma_block: #3, 307(15%)
minecraft.used.warped_sign: #3, 62(16%)
minecraft.picked_up.beetroot: #3, 406(19%)
minecraft.picked_up.gilded_blackstone: #3, 207(14%)
minecraft.mined.cobweb: #3, 865(11%)
minecraft.crafted.brick: #4, 66028(17%)
minecraft.dropped.smooth_stone: #3, 377(13%)
minecraft.mined.oak_wall_sign: #3, 161(11%)
minecraft.mined.weeping_vines: #3, 108(13%)
minecraft.picked_up.creeper_head: #2, 4(31%)
minecraft.used.nether_brick_stairs: #3, 1044(15%)
minecraft.picked_up.pumpkin_pie: #2, 252(7%)
minecraft.picked_up.sunflower: #3, 797(14%)
minecraft.mined.target: #2, 82(11%)
minecraft.dropped.tipped_arrow: #2, 171(17%)
minecraft.picked_up.light_gray_terracotta: #3, 7919(12%)
minecraft.mined.terracotta: #3, 42287(11%)
minecraft.dropped.bone_block: #3, 378(16%)
minecraft.mined.crimson_planks: #3, 357(15%)
minecraft.picked_up.terracotta: #3, 43012(11%)
minecraft.used.magenta_terracotta: #2, 209(21%)
minecraft.crafted.purple_terracotta: #3, 1940(21%)
minecraft.mined.birch_sapling: #3, 85(14%)
minecraft.dropped.ink_sac: #3, 462(13%)
minecraft.used.green_shulker_box: #3, 237(11%)
minecraft.mined.anvil: #3, 108(11%)
minecraft.used.soul_soil: #3, 2336(14%)
minecraft.picked_up.nether_star: #3, 105(14%)
minecraft.picked_up.bookshelf: #3, 327(12%)
minecraft.mined.purple_terracotta: #2, 395(18%)
minecraft.picked_up.gray_banner: #2, 11(35%)
minecraft.custom.interact_with_lectern: #3, 1020(10%)
minecraft.crafted.pink_dye: #3, 1270(12%)
minecraft.crafted.crafting_table: #3, 261(10%)
minecraft.mined.emerald_block: #4, 1428(14%)
minecraft.dropped.dark_oak_leaves: #2, 41(14%)
minecraft.dropped.detector_rail: #2, 5(17%)
minecraft.used.composter: #3, 256(10%)
minecraft.crafted.blue_dye: #3, 6184(10%)
minecraft.crafted.fishing_rod: #3, 34(12%)
minecraft.used.brown_bed: #2, 54(9%)
minecraft.killed.blaze: #2, 2604(6%)
minecraft.dropped.experience_bottle: #2, 395(19%)
minecraft.picked_up.emerald_block: #4, 1438(13%)
minecraft.mined.nether_brick_slab: #3, 430(11%)
minecraft.used.cyan_shulker_box: #3, 278(12%)
minecraft.crafted.bricks: #4, 15930(17%)
minecraft.killed.elder_guardian: #2, 9(13%)
minecraft.crafted.birch_trapdoor: #3, 906(10%)
minecraft.dropped.crimson_slab: #2, 68(26%)
minecraft.picked_up.light_gray_wool: #3, 4006(11%)
minecraft.dropped.crimson_stairs: #2, 145(32%)
minecraft.killed_by.endermite: #2, 2(25%)
minecraft.mined.infested_mossy_stone_bricks: #2, 3(18%)
minecraft.used.diamond_axe: #3, 65625(9%)
minecraft.crafted.yellow_dye: #4, 3311(14%)
minecraft.dropped.piglin_banner_pattern: #2, 2(40%)
minecraft.picked_up.gray_wool: #3, 3285(10%)
minecraft.picked_up.redstone: #3, 38397(9%)
minecraft.used.redstone_ore: #3, 2505(9%)
minecraft.mined.cyan_shulker_box: #3, 248(11%)
minecraft.used.brick_stairs: #3, 473(14%)
minecraft.picked_up.tripwire_hook: #3, 118(9%)
minecraft.dropped.iron_leggings: #3, 21(13%)
minecraft.crafted.honey_block: #2, 1959(11%)
minecraft.crafted.crimson_stairs: #3, 332(14%)
minecraft.dropped.daylight_detector: #2, 2(29%)
minecraft.dropped.dropper: #2, 28(13%)
minecraft.used.splash_potion: #3, 147(9%)
minecraft.picked_up.cyan_shulker_box: #3, 248(11%)
minecraft.picked_up.stripped_jungle_log: #3, 92(12%)
minecraft.mined.shroomlight: #3, 817(10%)
minecraft.dropped.crimson_fungus: #2, 52(7%)
minecraft.dropped.yellow_stained_glass_pane: #2, 30(18%)
minecraft.dropped.polished_blackstone_brick_stairs: #2, 17(11%)
minecraft.mined.crimson_stairs: #3, 43(16%)
minecraft.picked_up.music_disc_13: #3, 8(12%)
minecraft.crafted.magma_block: #2, 385(22%)
minecraft.used.polished_blackstone_brick_wall: #3, 161(12%)
minecraft.dropped.spruce_leaves: #3, 446(14%)
minecraft.custom.horse_one_cm: #3, 1117168(9%)
minecraft.mined.redstone_ore: #3, 8969(8%)
minecraft.used.netherite_pickaxe: #3, 587505(9%)
minecraft.picked_up.skeleton_skull: #2, 1(50%)
minecraft.crafted.red_sand: #2, 24(33%)
minecraft.dropped.blue_banner: #2, 2(33%)
minecraft.picked_up.piglin_banner_pattern: #2, 2(33%)
minecraft.crafted.crimson_planks: #3, 4776(10%)
minecraft.mined.warped_fungus: #3, 197(9%)
minecraft.crafted.iron_leggings: #3, 14(8%)
minecraft.used.smooth_sandstone_slab: #3, 2848(10%)
minecraft.used.baked_potato: #3, 307(17%)
minecraft.crafted.item_frame: #3, 853(8%)
minecraft.dropped.end_crystal: #2, 3(11%)
minecraft.used.pink_glazed_terracotta: #2, 29(24%)
minecraft.used.light_gray_stained_glass: #3, 3288(12%)
minecraft.custom.fill_cauldron: #3, 21(10%)
minecraft.picked_up.baked_potato: #3, 111(15%)
minecraft.used.loom: #3, 90(9%)
minecraft.mined.light_gray_stained_glass: #3, 663(12%)
minecraft.dropped.chorus_flower: #2, 4(22%)
minecraft.used.crimson_pressure_plate: #3, 24(23%)
minecraft.crafted.iron_ingot: #3, 43794(8%)
minecraft.picked_up.trident: #3, 43(10%)
minecraft.picked_up.acacia_log: #4, 4823(12%)
minecraft.used.cooked_rabbit: #2, 8(12%)
minecraft.mined.green_concrete_powder: #3, 772(11%)
minecraft.used.gray_banner: #2, 11(10%)
minecraft.used.brown_stained_glass_pane: #3, 92(18%)
minecraft.dropped.magenta_concrete_powder: #2, 3(16%)
minecraft.used.ender_pearl: #4, 1895(12%)
minecraft.crafted.red_nether_bricks: #3, 3414(14%)
minecraft.mined.blackstone_slab: #4, 558(15%)
minecraft.dropped.soul_lantern: #3, 106(12%)
minecraft.picked_up.gold_ore: #3, 2138(7%)
minecraft.picked_up.music_disc_mellohi: #2, 5(11%)
minecraft.used.nether_wart_block: #3, 1277(9%)
minecraft.mined.melon: #2, 370(3%)
minecraft.used.oak_pressure_plate: #3, 15(10%)
minecraft.picked_up.respawn_anchor: #3, 18(17%)
minecraft.crafted.shulker_box: #3, 495(7%)
minecraft.crafted.spruce_wood: #3, 813(10%)
minecraft.mined.birch_wood: #3, 20(17%)
minecraft.mined.gold_ore: #3, 2013(7%)
minecraft.picked_up.gray_shulker_box: #4, 538(12%)
minecraft.mined.respawn_anchor: #3, 15(21%)
minecraft.crafted.brown_stained_glass_pane: #3, 152(15%)
minecraft.dropped.oak_slab: #3, 113(9%)
minecraft.used.birch_wood: #3, 251(14%)
minecraft.crafted.gray_banner: #2, 11(7%)
minecraft.picked_up.smithing_table: #3, 80(8%)
minecraft.dropped.soul_campfire: #2, 2(33%)
minecraft.broken.wooden_sword: #2, 1(33%)
minecraft.mined.green_wall_banner: #2, 2(22%)
minecraft.picked_up.ink_sac: #3, 3239(7%)
minecraft.crafted.tnt: #4, 12750(13%)
minecraft.mined.chiseled_polished_blackstone: #3, 90(10%)
minecraft.mined.red_tulip: #3, 73(10%)
minecraft.used.torch: #3, 22816(6%)
minecraft.crafted.bowl: #3, 60(18%)
minecraft.dropped.pink_glazed_terracotta: #2, 3(30%)
minecraft.dropped.jungle_wood: #2, 10(15%)
minecraft.dropped.light_blue_wool: #2, 67(6%)
minecraft.crafted.smooth_sandstone_slab: #3, 1964(11%)
minecraft.dropped.shroomlight: #3, 149(10%)
minecraft.custom.talked_to_villager: #4, 12260(10%)
minecraft.crafted.experience_bottle: #3, 3017(19%)
minecraft.mined.acacia_log: #4, 3978(12%)
minecraft.mined.crimson_slab: #3, 122(11%)
minecraft.used.flower_pot: #4, 251(11%)
minecraft.crafted.sponge: #3, 811(13%)
minecraft.mined.heavy_weighted_pressure_plate: #2, 13(3%)
minecraft.mined.dark_prismarine_slab: #3, 136(15%)
minecraft.dropped.warped_sign: #3, 16(19%)
minecraft.mined.acacia_planks: #3, 135(12%)
minecraft.picked_up.zombie_head: #2, 2(25%)
minecraft.picked_up.birch_wood: #3, 19(15%)
minecraft.killed.bat: #3, 105(6%)
minecraft.dropped.brain_coral: #2, 4(10%)
minecraft.crafted.dark_oak_wood: #3, 801(12%)
minecraft.crafted.acacia_trapdoor: #4, 1328(15%)
minecraft.dropped.purple_dye: #2, 100(8%)
minecraft.dropped.respawn_anchor: #2, 3(9%)
minecraft.picked_up.light_gray_stained_glass: #3, 764(9%)
minecraft.mined.jungle_button: #3, 11(12%)
minecraft.crafted.blue_terracotta: #3, 2304(14%)
minecraft.dropped.fletching_table: #2, 3(20%)
minecraft.picked_up.blue_terracotta: #3, 522(11%)
minecraft.used.bell: #3, 22(7%)
minecraft.dropped.smoker: #3, 2(15%)
minecraft.crafted.light_gray_terracotta: #3, 2360(11%)
minecraft.picked_up.light_blue_shulker_box: #4, 656(11%)
minecraft.dropped.snow_block: #3, 196(10%)
minecraft.picked_up.tipped_arrow: #3, 154(14%)
minecraft.dropped.blue_stained_glass: #2, 7(4%)
minecraft.dropped.green_stained_glass: #2, 11(7%)
minecraft.mined.dead_horn_coral_block: #2, 2(6%)
minecraft.used.spruce_pressure_plate: #3, 46(8%)
minecraft.picked_up.light_blue_stained_glass_pane: #3, 268(8%)
minecraft.broken.leather_boots: #3, 4(19%)
minecraft.mined.gray_banner: #2, 1(17%)
minecraft.used.target: #3, 185(9%)
minecraft.dropped.iron_helmet: #3, 18(8%)
minecraft.picked_up.snow_block: #3, 2789(8%)
minecraft.crafted.honeycomb_block: #3, 2496(16%)
minecraft.picked_up.sea_pickle: #4, 513(12%)
minecraft.crafted.cookie: #3, 1338(12%)
minecraft.crafted.cooked_beef: #4, 1479(10%)
minecraft.picked_up.green_concrete_powder: #3, 1222(8%)
minecraft.dropped.purple_stained_glass: #2, 6(7%)
minecraft.dropped.wooden_pickaxe: #3, 2(11%)
minecraft.crafted.jungle_wood: #3, 1011(10%)
minecraft.used.sticky_piston: #4, 1032(9%)
minecraft.used.spruce_button: #3, 181(6%)
minecraft.dropped.crimson_roots: #4, 251(10%)
minecraft.killed.shulker: #3, 559(7%)
minecraft.used.dark_oak_wood: #3, 479(9%)
minecraft.used.spider_eye: #2, 32(3%)
minecraft.picked_up.beacon: #4, 120(9%)
minecraft.crafted.red_terracotta: #4, 2704(17%)
minecraft.used.crimson_slab: #3, 444(7%)
minecraft.picked_up.honeycomb: #2, 424(2%)
minecraft.mined.blue_orchid: #4, 90(12%)
minecraft.picked_up.stone: #4, 300549(8%)
minecraft.dropped.dead_horn_coral_block: #2, 1(7%)
minecraft.used.gravel: #4, 4700(9%)
minecraft.used.gray_shulker_box: #4, 477(10%)
minecraft.crafted.lapis_lazuli: #3, 3243(5%)
minecraft.used.brain_coral_block: #3, 36(13%)
minecraft.dropped.dead_tube_coral_block: #2, 1(9%)
minecraft.crafted.light_blue_bed: #3, 4(10%)
minecraft.used.sponge: #4, 1327(11%)
minecraft.picked_up.fern: #4, 865(10%)
minecraft.mined.warped_slab: #4, 111(11%)
minecraft.used.chorus_fruit: #3, 130(6%)
minecraft.mined.warped_wart_block: #4, 6660(9%)
minecraft.crafted.glistering_melon_slice: #3, 1615(9%)
minecraft.crafted.wooden_hoe: #3, 3(10%)
minecraft.picked_up.crimson_planks: #4, 412(11%)
minecraft.dropped.crimson_hyphae: #2, 7(5%)
minecraft.picked_up.iron_chestplate: #4, 20(9%)
minecraft.mined.blackstone_wall: #4, 90(12%)
minecraft.dropped.fire_coral: #2, 2(4%)
minecraft.dropped.stripped_crimson_stem: #2, 1(4%)
minecraft.used.potion: #4, 220(9%)
minecraft.crafted.diamond_pickaxe: #4, 42(9%)
minecraft.mined.spruce_stairs: #4, 363(9%)
minecraft.mined.dead_tube_coral_block: #2, 1(4%)
minecraft.picked_up.dead_tube_coral_block: #2, 1(4%)
minecraft.dropped.tube_coral_block: #2, 1(2%)
minecraft.dropped.prismarine: #3, 78(11%)
minecraft.dropped.cracked_nether_bricks: #2, 2(3%)
minecraft.used.light_gray_shulker_box: #4, 280(11%)
minecraft.dropped.tube_coral: #2, 1(2%)
minecraft.crafted.green_dye: #4, 1624(10%)
minecraft.dropped.magenta_carpet: #3, 5(17%)
minecraft.used.yellow_stained_glass_pane: #3, 255(7%)
minecraft.dropped.nether_sprouts: #2, 2(1%)
minecraft.crafted.iron_chestplate: #4, 14(9%)
minecraft.custom.use_cauldron: #3, 13(10%)
minecraft.crafted.brick_slab: #3, 434(11%)
minecraft.dropped.black_glazed_terracotta: #2, 3(1%)
minecraft.mined.orange_terracotta: #4, 12189(9%)
minecraft.used.blue_terracotta: #3, 1044(10%)
minecraft.picked_up.golden_sword: #4, 365(9%)
minecraft.crafted.creeper_banner_pattern: #3, 1(25%)
minecraft.broken.iron_leggings: #3, 1(25%)
minecraft.used.crimson_planks: #4, 1156(11%)
minecraft.picked_up.bell: #4, 67(9%)
minecraft.dropped.nether_wart_block: #3, 421(5%)
minecraft.dropped.jungle_log: #4, 218(11%)
minecraft.crafted.leather_leggings: #3, 73(5%)
minecraft.crafted.orange_concrete_powder: #4, 3016(12%)
minecraft.used.azure_bluet: #3, 51(7%)
minecraft.dropped.black_terracotta: #3, 150(10%)
minecraft.picked_up.oak_trapdoor: #4, 251(9%)
minecraft.used.acacia_trapdoor: #4, 971(11%)
minecraft.mined.vine: #4, 2311(8%)
minecraft.used.spruce_slab: #4, 4224(9%)
minecraft.mined.acacia_stairs: #3, 77(7%)
minecraft.picked_up.light_blue_stained_glass: #3, 421(5%)
minecraft.dropped.spruce_door: #4, 28(14%)
minecraft.killed_by.drowned: #3, 2(11%)
minecraft.dropped.golden_carrot: #4, 887(9%)
minecraft.picked_up.crying_obsidian: #4, 207(8%)
minecraft.dropped.mushroom_stew: #3, 3(18%)
minecraft.crafted.crossbow: #3, 100(6%)
minecraft.picked_up.shulker_box: #4, 5824(7%)
minecraft.custom.open_enderchest: #4, 7436(7%)
minecraft.used.dispenser: #4, 315(8%)
minecraft.mined.wet_sponge: #4, 1307(10%)
minecraft.dropped.orange_concrete: #3, 17(8%)
minecraft.picked_up.heavy_weighted_pressure_plate: #3, 33(4%)
minecraft.mined.brown_mushroom: #4, 177(8%)
minecraft.dropped.brick: #3, 134(10%)
minecraft.custom.sleep_in_bed: #4, 2594(7%)
minecraft.crafted.chest: #4, 5295(8%)
minecraft.used.hopper: #4, 3103(8%)
minecraft.killed.cave_spider: #4, 3119(8%)
minecraft.crafted.trapped_chest: #3, 6(12%)
minecraft.dropped.crimson_trapdoor: #3, 67(10%)
minecraft.picked_up.dead_tube_coral_fan: #3, 2(20%)
minecraft.killed.horse: #3, 11(7%)
minecraft.picked_up.golden_carrot: #4, 3041(7%)
minecraft.dropped.dark_oak_log: #4, 274(12%)
minecraft.crafted.player_head: #4, 1063(8%)
minecraft.dropped.warped_door: #3, 2(15%)
minecraft.dropped.lantern: #4, 280(11%)
minecraft.picked_up.diorite: #4, 25514(7%)
minecraft.mined.acacia_button: #3, 2(8%)
minecraft.mined.bubble_column: #3, 1(25%)
minecraft.mined.light_gray_shulker_box: #4, 225(9%)
minecraft.crafted.acacia_stairs: #3, 152(6%)
minecraft.picked_up.crimson_slab: #4, 189(12%)
minecraft.mined.yellow_terracotta: #4, 6554(9%)
minecraft.used.trapped_chest: #3, 6(11%)
minecraft.dropped.blue_terracotta: #3, 158(9%)
minecraft.used.white_tulip: #3, 67(7%)
minecraft.used.orange_concrete: #4, 1489(9%)
minecraft.dropped.beehive: #3, 7(8%)
minecraft.crafted.smooth_quartz: #4, 1173(10%)
minecraft.used.anvil: #4, 277(7%)
minecraft.mined.piston_head: #4, 22(9%)
minecraft.dropped.light_blue_stained_glass_pane: #3, 38(9%)
minecraft.mined.sponge: #4, 586(11%)
minecraft.picked_up.anvil: #4, 154(7%)
minecraft.custom.walk_under_water_one_cm: #5, 19225480(5%)
minecraft.used.crimson_nylium: #4, 293(8%)
minecraft.mined.light_blue_stained_glass_pane: #3, 120(4%)
minecraft.dropped.polished_basalt: #3, 47(6%)
minecraft.picked_up.jungle_sapling: #4, 452(8%)
minecraft.crafted.leather_boots: #4, 62(9%)
minecraft.crafted.light_blue_stained_glass: #3, 1480(4%)
minecraft.crafted.spruce_sign: #4, 180(7%)
minecraft.mined.spruce_wall_sign: #4, 28(7%)
minecraft.used.jungle_leaves: #4, 2033(7%)
minecraft.dropped.diamond_axe: #4, 11(8%)
minecraft.crafted.spruce_boat: #4, 18(9%)
minecraft.mined.light_blue_stained_glass: #3, 300(4%)
minecraft.mined.spruce_leaves: #4, 10394(7%)
minecraft.picked_up.enchanting_table: #4, 9(10%)
minecraft.picked_up.andesite: #4, 25736(6%)
minecraft.crafted.spruce_trapdoor: #4, 2488(7%)
minecraft.dropped.polished_blackstone_brick_wall: #3, 3(14%)
minecraft.dropped.blackstone_stairs: #3, 18(6%)
minecraft.dropped.oak_wood: #3, 20(11%)
minecraft.dropped.jack_o_lantern: #3, 8(6%)
minecraft.dropped.redstone_lamp: #3, 6(9%)
minecraft.picked_up.yellow_stained_glass_pane: #3, 107(5%)
minecraft.custom.damage_blocked_by_shield: #4, 16420(10%)
minecraft.crafted.golden_carrot: #4, 13018(8%)
minecraft.picked_up.jungle_button: #4, 16(9%)
minecraft.picked_up.sponge: #4, 587(9%)
minecraft.mined.dead_tube_coral_wall_fan: #3, 1(17%)
minecraft.killed.ocelot: #3, 19(4%)
minecraft.picked_up.note_block: #4, 180(8%)
minecraft.dropped.target: #3, 11(8%)
minecraft.mined.sea_pickle: #4, 89(7%)
minecraft.mined.blackstone: #4, 17424(6%)
minecraft.crafted.coarse_dirt: #4, 4756(6%)
minecraft.picked_up.glistering_melon_slice: #3, 8(10%)
minecraft.mined.magenta_shulker_box: #4, 105(9%)
minecraft.picked_up.target: #4, 93(10%)
minecraft.picked_up.blackstone: #4, 17341(6%)
minecraft.used.red_mushroom_block: #4, 717(8%)
minecraft.picked_up.dead_horn_coral_block: #3, 2(7%)
minecraft.dropped.gilded_blackstone: #3, 18(6%)
minecraft.dropped.acacia_stairs: #3, 7(7%)
minecraft.picked_up.warped_stem: #5, 4726(11%)
minecraft.used.magenta_shulker_box: #4, 102(8%)
minecraft.picked_up.nether_brick_slab: #4, 516(6%)
minecraft.broken.fishing_rod: #4, 4(10%)
minecraft.custom.tune_noteblock: #3, 12945(2%)
minecraft.dropped.pink_carpet: #3, 3(10%)
minecraft.dropped.stone_brick_wall: #3, 55(5%)
minecraft.picked_up.smooth_sandstone_slab: #4, 507(7%)
minecraft.used.bubble_coral_block: #3, 32(6%)
minecraft.used.crimson_stem: #4, 538(6%)
minecraft.used.blue_ice: #3, 248(3%)
minecraft.picked_up.lectern: #4, 399(5%)
minecraft.dropped.pink_concrete_powder: #3, 3(11%)
minecraft.picked_up.chiseled_polished_blackstone: #4, 77(8%)
minecraft.used.sweet_berries: #3, 278(1%)
minecraft.mined.bricks: #4, 672(8%)
minecraft.picked_up.flint_and_steel: #4, 20(6%)
minecraft.used.dead_horn_coral_block: #3, 1(8%)
minecraft.picked_up.saddle: #4, 23(7%)
minecraft.used.ender_eye: #3, 3(10%)
minecraft.dropped.fire_coral_fan: #3, 1(10%)
minecraft.dropped.white_tulip: #3, 3(3%)
minecraft.used.tnt: #5, 6537(10%)
minecraft.used.fire_coral_fan: #4, 16(10%)
minecraft.used.writable_book: #4, 230(6%)
minecraft.used.fire_charge: #3, 7(6%)
minecraft.dropped.jungle_planks: #5, 255(11%)
minecraft.crafted.lodestone: #3, 3(3%)
minecraft.used.prismarine_slab: #4, 130(11%)
minecraft.dropped.crimson_planks: #4, 97(9%)
minecraft.dropped.nether_brick_wall: #3, 56(4%)
minecraft.used.light_blue_shulker_box: #5, 622(10%)
minecraft.dropped.spruce_pressure_plate: #4, 20(10%)
minecraft.picked_up.birch_leaves: #4, 4790(5%)
minecraft.dropped.pink_stained_glass: #3, 6(4%)
minecraft.crafted.enchanting_table: #4, 4(6%)
minecraft.crafted.purple_shulker_box: #4, 5(14%)
minecraft.dropped.smooth_red_sandstone: #3, 2(6%)
minecraft.picked_up.pufferfish_bucket: #4, 9(14%)
minecraft.dropped.brewing_stand: #3, 5(3%)
minecraft.picked_up.jungle_planks: #5, 670(10%)
minecraft.used.polished_blackstone_brick_stairs: #5, 838(11%)
minecraft.used.soul_campfire: #4, 34(9%)
minecraft.picked_up.jungle_stairs: #4, 165(7%)
minecraft.dropped.bubble_coral_block: #3, 1(8%)
minecraft.picked_up.end_rod: #4, 945(5%)
minecraft.used.light_blue_stained_glass_pane: #4, 457(8%)
minecraft.dropped.jungle_button: #4, 7(10%)
minecraft.dropped.red_nether_brick_wall: #3, 1(7%)
minecraft.mined.nether_wart: #4, 4767(6%)
minecraft.mined.yellow_stained_glass_pane: #3, 37(2%)
minecraft.dropped.brown_concrete: #3, 4(5%)
minecraft.dropped.warped_button: #3, 2(5%)
minecraft.dropped.brown_glazed_terracotta: #3, 5(7%)
minecraft.dropped.prismarine_wall: #3, 2(5%)
minecraft.crafted.sand: #3, 8(6%)
minecraft.dropped.orange_concrete_powder: #3, 3(4%)
minecraft.used.chiseled_red_sandstone: #3, 17(3%)
minecraft.used.nether_wart: #4, 5002(6%)
minecraft.dropped.magenta_terracotta: #3, 3(4%)
minecraft.picked_up.clay: #4, 851(5%)
minecraft.used.wooden_sword: #4, 26(6%)
minecraft.mined.polished_diorite: #4, 261(6%)
minecraft.used.netherrack: #5, 23407(9%)
minecraft.dropped.wooden_hoe: #4, 3(14%)
minecraft.crafted.yellow_stained_glass_pane: #4, 256(7%)
minecraft.used.bricks: #4, 3094(8%)
minecraft.mined.flower_pot: #4, 17(6%)
minecraft.picked_up.shulker_shell: #4, 1162(6%)
minecraft.crafted.light_blue_terracotta: #4, 1016(8%)
minecraft.picked_up.purple_dye: #3, 28(2%)
minecraft.picked_up.dead_fire_coral_block: #3, 1(4%)
minecraft.crafted.red_sandstone_stairs: #3, 7(3%)
minecraft.picked_up.purple_concrete_powder: #3, 77(1%)
minecraft.dropped.purple_stained_glass_pane: #3, 14(3%)
minecraft.picked_up.hay_block: #5, 403(10%)
minecraft.used.stripped_acacia_wood: #3, 3(4%)
minecraft.crafted.hopper: #5, 2854(9%)
minecraft.dropped.brain_coral_block: #3, 1(3%)
minecraft.dropped.mossy_cobblestone_wall: #3, 1(3%)
minecraft.used.porkchop: #3, 1(3%)
minecraft.used.smithing_table: #4, 78(5%)
minecraft.crafted.fire_charge: #3, 66(2%)
minecraft.mined.blue_terracotta: #4, 319(12%)
minecraft.dropped.stripped_jungle_wood: #3, 1(3%)
minecraft.picked_up.polished_diorite: #4, 253(5%)
minecraft.crafted.green_stained_glass: #4, 896(7%)
minecraft.picked_up.spruce_leaves: #4, 6467(5%)
minecraft.dropped.loom: #3, 2(2%)
minecraft.picked_up.jungle_leaves: #4, 2858(5%)
minecraft.used.redstone: #5, 6485(8%)
minecraft.used.acacia_sapling: #4, 607(10%)
minecraft.mined.dried_kelp_block: #3, 25(1%)
minecraft.mined.light_blue_shulker_box: #5, 584(10%)
minecraft.dropped.crimson_stem: #4, 287(9%)
minecraft.crafted.jungle_stairs: #4, 316(8%)
minecraft.dropped.horn_coral_block: #3, 1(2%)
minecraft.mined.fire: #5, 1291(9%)
minecraft.crafted.lapis_block: #4, 805(5%)
minecraft.dropped.chiseled_sandstone: #3, 6(1%)
minecraft.mined.gray_shulker_box: #5, 432(10%)
minecraft.dropped.blue_concrete_powder: #3, 3(1%)
minecraft.dropped.honeycomb: #3, 9(1%)
minecraft.used.jungle_slab: #4, 963(7%)
minecraft.used.jungle_planks: #5, 1246(10%)
minecraft.crafted.brown_carpet: #5, 792(10%)
minecraft.dropped.gray_glazed_terracotta: #3, 3(1%)
minecraft.picked_up.player_head: #5, 1245(7%)
minecraft.used.dried_kelp_block: #3, 59(0%)
minecraft.killed.evoker: #3, 7(0%)
minecraft.used.jungle_trapdoor: #4, 300(6%)
minecraft.picked_up.wet_sponge: #5, 1316(10%)
minecraft.dropped.repeater: #4, 64(7%)
minecraft.mined.jungle_leaves: #4, 4109(4%)
minecraft.crafted.red_sandstone_slab: #4, 62(16%)
