stat, rank, value, (percentage) 
minecraft.custom.damage_resisted: #1, 89613(27%)
minecraft.used.pumpkin: #1, 1955(29%)
minecraft.used.packed_ice: #1, 9791(31%)
minecraft.crafted.shield: #1, 92(36%)
minecraft.crafted.stone_hoe: #1, 113(32%)
minecraft.picked_up.book: #2, 16983(34%)
minecraft.killed.salmon: #1, 296(35%)
minecraft.picked_up.snowball: #1, 78565(31%)
minecraft.crafted.cyan_bed: #1, 56(51%)
minecraft.picked_up.carved_pumpkin: #1, 1435(28%)
minecraft.picked_up.fishing_rod: #1, 81(32%)
minecraft.dropped.glass: #1, 2493(29%)
minecraft.mined.snow: #1, 90341(27%)
minecraft.picked_up.yellow_wool: #1, 3944(35%)
minecraft.picked_up.light_blue_wool: #1, 4007(37%)
minecraft.crafted.light_gray_shulker_box: #1, 86(35%)
minecraft.picked_up.shield: #1, 95(30%)
minecraft.mined.orange_stained_glass: #1, 1706(49%)
minecraft.mined.bubble_coral_wall_fan: #1, 336(39%)
minecraft.crafted.dropper: #1, 2234(24%)
minecraft.dropped.compass: #1, 250(28%)
minecraft.crafted.bone_block: #2, 52533(31%)
minecraft.mined.fire_coral_wall_fan: #1, 342(39%)
minecraft.mined.mushroom_stem: #1, 2995(25%)
minecraft.picked_up.polished_granite: #1, 1768(29%)
minecraft.mined.blue_bed: #1, 656(82%)
minecraft.mined.crimson_roots: #1, 934(25%)
minecraft.mined.nether_wart_block: #1, 14726(25%)
minecraft.crafted.furnace: #1, 2287(24%)
minecraft.picked_up.warped_fungus: #2, 2742(30%)
minecraft.picked_up.tube_coral_fan: #1, 255(33%)
minecraft.used.diamond_hoe: #1, 41875(27%)
minecraft.mined.carved_pumpkin: #1, 1212(30%)
minecraft.used.bee_nest: #1, 213(47%)
minecraft.crafted.popped_chorus_fruit: #1, 256(70%)
minecraft.mined.brain_coral_wall_fan: #1, 346(37%)
minecraft.picked_up.red_tulip: #1, 2810(33%)
minecraft.used.ice: #2, 12501(31%)
minecraft.dropped.book: #1, 240(31%)
minecraft.used.brown_mushroom: #1, 429(28%)
minecraft.crafted.polished_granite: #2, 9564(36%)
minecraft.picked_up.orange_stained_glass: #1, 1615(33%)
minecraft.picked_up.brick_stairs: #1, 334(37%)
minecraft.used.warped_wart_block: #1, 3937(28%)
minecraft.used.melon: #1, 644(34%)
minecraft.mined.horn_coral_wall_fan: #1, 333(37%)
minecraft.dropped.bookshelf: #1, 554(55%)
minecraft.crafted.brown_stained_glass: #1, 1656(42%)
minecraft.picked_up.twisting_vines: #1, 844(26%)
minecraft.used.shield: #1, 498(60%)
minecraft.dropped.light_blue_shulker_box: #1, 43(60%)
minecraft.picked_up.spruce_log: #1, 46416(22%)
minecraft.mined.nether_brick_wall: #1, 479(35%)
minecraft.mined.horn_coral_block: #1, 640(44%)
minecraft.dropped.emerald: #1, 1880(29%)
minecraft.picked_up.horn_coral_block: #1, 633(43%)
minecraft.crafted.note_block: #1, 1417(27%)
minecraft.used.spruce_sapling: #1, 3819(26%)
minecraft.mined.jack_o_lantern: #1, 168(36%)
minecraft.picked_up.brain_coral_block: #1, 725(46%)
minecraft.crafted.brown_dye: #1, 3411(25%)
minecraft.crafted.smooth_sandstone: #1, 9295(32%)
minecraft.mined.brain_coral_block: #1, 726(46%)
minecraft.picked_up.warped_sign: #1, 88(38%)
minecraft.picked_up.compass: #1, 232(23%)
minecraft.dropped.dispenser: #1, 322(41%)
minecraft.picked_up.cornflower: #2, 6793(26%)
minecraft.crafted.magenta_glazed_terracotta: #1, 768(83%)
minecraft.picked_up.dead_bush: #1, 954(27%)
minecraft.crafted.cyan_shulker_box: #1, 47(31%)
minecraft.crafted.lime_shulker_box: #1, 61(27%)
minecraft.used.note_block: #1, 1156(26%)
minecraft.picked_up.blaze_rod: #2, 4956(26%)
minecraft.crafted.light_blue_shulker_box: #1, 72(32%)
minecraft.picked_up.mossy_cobblestone: #1, 736(21%)
minecraft.custom.enchant_item: #1, 771(23%)
minecraft.crafted.soul_campfire: #1, 385(43%)
minecraft.used.wheat_seeds: #1, 17805(20%)
minecraft.mined.crimson_nylium: #1, 2113(21%)
minecraft.picked_up.orange_wool: #1, 3881(32%)
minecraft.mined.soul_fire: #1, 301(21%)
minecraft.mined.nether_bricks: #1, 7006(20%)
minecraft.used.brown_terracotta: #1, 8751(28%)
minecraft.crafted.dispenser: #1, 838(20%)
minecraft.picked_up.wheat: #1, 15468(19%)
minecraft.used.oxeye_daisy: #1, 102(42%)
minecraft.picked_up.ice: #2, 39257(27%)
minecraft.picked_up.brain_coral_fan: #1, 285(31%)
minecraft.mined.twisting_vines: #1, 205(27%)
minecraft.crafted.tripwire_hook: #2, 864(26%)
minecraft.used.orange_stained_glass: #1, 4657(31%)
minecraft.picked_up.brown_wool: #2, 4070(28%)
minecraft.crafted.beehive: #1, 1160(51%)
minecraft.picked_up.bubble_coral_fan: #1, 263(31%)
minecraft.picked_up.fire_coral_fan: #1, 259(31%)
minecraft.dropped.light_gray_shulker_box: #1, 79(77%)
minecraft.crafted.target: #1, 841(29%)
minecraft.dropped.snowball: #1, 1841(27%)
minecraft.used.purple_shulker_box: #1, 212(35%)
minecraft.picked_up.horn_coral_fan: #1, 248(28%)
minecraft.picked_up.quartz_block: #1, 3981(20%)
minecraft.used.pink_stained_glass: #1, 352(50%)
minecraft.dropped.emerald_block: #1, 89(45%)
minecraft.picked_up.brown_mushroom: #1, 2396(19%)
minecraft.dropped.name_tag: #1, 125(20%)
minecraft.picked_up.brain_coral: #1, 66(34%)
minecraft.crafted.spruce_planks: #1, 107571(18%)
minecraft.crafted.gray_glazed_terracotta: #1, 768(88%)
minecraft.picked_up.splash_potion: #2, 227(26%)
minecraft.picked_up.red_mushroom: #1, 1013(19%)
minecraft.mined.stripped_acacia_log: #1, 118(26%)
minecraft.mined.brown_stained_glass: #1, 142(36%)
minecraft.used.light_blue_bed: #2, 1006(34%)
minecraft.picked_up.light_blue_bed: #2, 1009(34%)
minecraft.used.jungle_boat: #1, 111(23%)
minecraft.crafted.blue_ice: #1, 6848(54%)
minecraft.crafted.glowstone: #2, 10135(25%)
minecraft.dropped.spruce_sapling: #1, 226(21%)
minecraft.dropped.potion: #2, 1069(26%)
minecraft.picked_up.purple_shulker_box: #1, 211(35%)
minecraft.mined.acacia_leaves: #2, 8390(25%)
minecraft.used.brick_slab: #1, 1026(38%)
minecraft.used.brown_stained_glass: #1, 795(35%)
minecraft.mined.tube_coral_block: #1, 643(42%)
minecraft.mined.weeping_vines_plant: #1, 268(20%)
minecraft.crafted.yellow_glazed_terracotta: #1, 768(59%)
minecraft.picked_up.tube_coral_block: #1, 634(41%)
minecraft.crafted.name_tag: #2, 761(32%)
minecraft.mined.dark_oak_leaves: #2, 13164(26%)
minecraft.crafted.crimson_trapdoor: #1, 924(27%)
minecraft.used.dark_oak_log: #1, 5332(19%)
minecraft.mined.light_blue_bed: #2, 1007(34%)
minecraft.crafted.birch_wood: #1, 1029(34%)
minecraft.crafted.blue_glazed_terracotta: #1, 768(68%)
minecraft.dropped.gray_shulker_box: #1, 48(68%)
minecraft.picked_up.lily_pad: #2, 790(25%)
minecraft.picked_up.brown_stained_glass: #1, 161(29%)
minecraft.picked_up.brick_slab: #1, 253(37%)
minecraft.crafted.coal: #1, 19712(17%)
minecraft.mined.purple_bed: #1, 80(27%)
minecraft.crafted.respawn_anchor: #1, 370(50%)
minecraft.picked_up.jungle_log: #1, 24212(17%)
minecraft.crafted.purple_dye: #2, 5868(23%)
minecraft.dropped.cyan_bed: #1, 55(65%)
minecraft.picked_up.beetroot_seeds: #2, 1821(25%)
minecraft.mined.brick_slab: #1, 162(36%)
minecraft.mined.purple_shulker_box: #1, 210(35%)
minecraft.picked_up.bamboo: #1, 31798(16%)
minecraft.crafted.snow_block: #2, 17101(29%)
minecraft.crafted.redstone: #1, 45742(16%)
minecraft.crafted.diamond_hoe: #1, 17(18%)
minecraft.picked_up.smooth_stone_slab: #1, 4821(17%)
minecraft.dropped.brown_stained_glass: #1, 58(76%)
minecraft.mined.potted_bamboo: #1, 16(38%)
minecraft.used.cocoa_beans: #1, 3805(21%)
minecraft.picked_up.brown_bed: #1, 56(24%)
minecraft.picked_up.black_wool: #2, 3542(22%)
minecraft.dropped.glistering_melon_slice: #1, 340(75%)
minecraft.used.weeping_vines: #1, 214(27%)
minecraft.crafted.barrel: #1, 1200(17%)
minecraft.picked_up.nether_bricks: #1, 6551(16%)
minecraft.picked_up.bow: #1, 978(14%)
minecraft.dropped.acacia_wood: #1, 37(53%)
minecraft.crafted.cracked_nether_bricks: #1, 665(62%)
minecraft.crafted.brown_terracotta: #1, 7880(26%)
minecraft.crafted.pink_glazed_terracotta: #1, 832(92%)
minecraft.crafted.jack_o_lantern: #1, 838(28%)
minecraft.picked_up.stripped_acacia_log: #1, 118(26%)
minecraft.mined.crimson_fungus: #1, 169(17%)
minecraft.crafted.light_gray_stained_glass: #1, 10000(24%)
minecraft.picked_up.allium: #2, 761(29%)
minecraft.crafted.red_glazed_terracotta: #1, 860(52%)
minecraft.used.music_disc_13: #1, 8(40%)
minecraft.picked_up.pumpkin_seeds: #2, 5780(20%)
minecraft.crafted.campfire: #2, 729(21%)
minecraft.dropped.iron_chestplate: #1, 28(24%)
minecraft.picked_up.crimson_nylium: #1, 1457(15%)
minecraft.picked_up.purple_bed: #1, 83(25%)
minecraft.dropped.blue_orchid: #1, 83(44%)
minecraft.mined.brown_bed: #1, 53(23%)
minecraft.picked_up.nether_wart_block: #2, 12576(19%)
minecraft.picked_up.bubble_coral: #1, 55(34%)
minecraft.mined.lime_shulker_box: #1, 410(17%)
minecraft.picked_up.lime_shulker_box: #1, 417(17%)
minecraft.mined.potted_jungle_sapling: #1, 9(56%)
minecraft.crafted.brown_glazed_terracotta: #1, 132(48%)
minecraft.picked_up.green_wool: #2, 3839(27%)
minecraft.crafted.repeater: #1, 2327(15%)
minecraft.picked_up.orange_tulip: #1, 435(26%)
minecraft.picked_up.written_book: #1, 229(14%)
minecraft.custom.interact_with_anvil: #1, 1419(11%)
minecraft.crafted.crimson_hyphae: #1, 1509(30%)
minecraft.mined.spruce_button: #2, 74(24%)
minecraft.mined.warped_wall_sign: #1, 25(36%)
minecraft.crafted.jungle_slab: #2, 5916(21%)
minecraft.custom.inspect_dispenser: #1, 2325(14%)
minecraft.crafted.glass: #3, 84151(22%)
minecraft.used.lime_shulker_box: #1, 412(17%)
minecraft.crafted.warped_trapdoor: #1, 702(18%)
minecraft.picked_up.spectral_arrow: #2, 1504(21%)
minecraft.dropped.crossbow: #2, 398(18%)
minecraft.crafted.black_glazed_terracotta: #1, 768(79%)
minecraft.dropped.polished_diorite: #1, 391(34%)
minecraft.picked_up.crimson_stem: #2, 4436(18%)
minecraft.used.cookie: #2, 41(19%)
minecraft.picked_up.warped_slab: #1, 227(16%)
minecraft.mined.cracked_polished_blackstone_bricks: #2, 3339(19%)
minecraft.mined.black_shulker_box: #1, 672(13%)
minecraft.crafted.ladder: #1, 1521(13%)
minecraft.used.respawn_anchor: #1, 127(34%)
minecraft.crafted.enchanted_book: #2, 1735(21%)
minecraft.crafted.hay_block: #2, 1677(20%)
minecraft.used.suspicious_stew: #1, 10(33%)
minecraft.picked_up.black_shulker_box: #1, 678(13%)
minecraft.dropped.ice: #2, 1106(25%)
minecraft.picked_up.string: #2, 8877(15%)
minecraft.picked_up.jungle_boat: #2, 106(20%)
minecraft.picked_up.cooked_salmon: #1, 85(21%)
minecraft.mined.polished_blackstone_brick_stairs: #2, 494(18%)
minecraft.crafted.redstone_lamp: #2, 962(17%)
minecraft.crafted.sticky_piston: #2, 1494(17%)
minecraft.custom.interact_with_grindstone: #1, 328(13%)
minecraft.used.trident: #1, 1029(16%)
minecraft.crafted.smooth_red_sandstone: #1, 444(57%)
minecraft.crafted.orange_stained_glass: #2, 4024(23%)
minecraft.crafted.grindstone: #2, 766(17%)
minecraft.picked_up.leather_chestplate: #1, 56(12%)
minecraft.killed_by.ravager: #1, 17(15%)
minecraft.mined.spruce_door: #2, 25(24%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #2, 2941(18%)
minecraft.crafted.orange_dye: #2, 2625(17%)
minecraft.crafted.pink_stained_glass: #2, 1048(34%)
minecraft.picked_up.dispenser: #2, 399(16%)
minecraft.crafted.diamond_axe: #2, 32(15%)
minecraft.killed.panda: #1, 221(54%)
minecraft.used.jack_o_lantern: #2, 695(26%)
minecraft.custom.inspect_dropper: #2, 4291(15%)
minecraft.picked_up.crimson_hyphae: #1, 173(24%)
minecraft.crafted.piston: #2, 2850(14%)
