stat, rank, value, (percentage) 
minecraft.dropped.light_blue_wool: #1, 846(82%)
minecraft.dropped.cobblestone_wall: #1, 1256(43%)
minecraft.dropped.gray_stained_glass_pane: #1, 607(66%)
minecraft.picked_up.polished_andesite_stairs: #1, 2619(38%)
minecraft.dropped.green_carpet: #1, 817(60%)
minecraft.dropped.lantern: #1, 1134(45%)
minecraft.picked_up.water_bucket: #1, 234(28%)
minecraft.dropped.tripwire_hook: #1, 209(42%)
minecraft.picked_up.mossy_cobblestone_stairs: #1, 137(64%)
minecraft.dropped.scaffolding: #1, 3777(35%)
minecraft.picked_up.tripwire_hook: #1, 384(30%)
minecraft.dropped.flint_and_steel: #1, 66(37%)
minecraft.dropped.redstone: #1, 3671(30%)
minecraft.dropped.lectern: #1, 208(87%)
minecraft.dropped.minecart: #1, 293(37%)
minecraft.dropped.quartz: #1, 2898(35%)
minecraft.picked_up.stone_brick_stairs: #1, 2590(30%)
minecraft.picked_up.white_wool: #1, 7324(27%)
minecraft.picked_up.brown_wool: #1, 4865(34%)
minecraft.dropped.blue_concrete: #1, 1294(84%)
minecraft.dropped.iron_ore: #1, 2926(32%)
minecraft.dropped.brown_dye: #1, 636(61%)
minecraft.dropped.smooth_quartz_slab: #1, 1090(67%)
minecraft.dropped.stripped_jungle_log: #1, 44(55%)
minecraft.dropped.lapis_lazuli: #1, 1382(39%)
minecraft.dropped.blackstone_slab: #1, 778(60%)
minecraft.dropped.orange_terracotta: #1, 1307(31%)
minecraft.dropped.white_tulip: #1, 66(59%)
minecraft.dropped.seagrass: #1, 669(50%)
minecraft.dropped.campfire: #1, 548(72%)
minecraft.dropped.oak_leaves: #1, 3540(30%)
minecraft.dropped.green_wool: #1, 1667(72%)
minecraft.dropped.brewing_stand: #1, 134(81%)
minecraft.dropped.blackstone_wall: #1, 1209(80%)
minecraft.dropped.crimson_nylium: #1, 359(43%)
minecraft.dropped.dark_prismarine_slab: #1, 2476(91%)
minecraft.dropped.red_nether_brick_slab: #1, 1573(91%)
minecraft.dropped.redstone_torch: #1, 355(35%)
minecraft.dropped.birch_leaves: #1, 1981(31%)
minecraft.picked_up.nether_brick_wall: #1, 1250(39%)
minecraft.picked_up.lime_dye: #1, 968(39%)
minecraft.picked_up.turtle_egg: #1, 2434(42%)
minecraft.picked_up.black_glazed_terracotta: #1, 529(52%)
minecraft.dropped.dark_oak_fence_gate: #1, 419(89%)
minecraft.picked_up.black_dye: #1, 511(37%)
minecraft.dropped.slime_ball: #1, 1891(30%)
minecraft.picked_up.pumpkin_seeds: #1, 7861(27%)
minecraft.dropped.dark_oak_sapling: #1, 323(62%)
minecraft.used.egg: #1, 2727(27%)
minecraft.picked_up.crimson_trapdoor: #1, 636(39%)
minecraft.picked_up.purple_dye: #1, 1364(88%)
minecraft.dropped.cooked_beef: #1, 987(28%)
minecraft.dropped.bone_meal: #1, 6563(28%)
minecraft.picked_up.red_nether_brick_slab: #1, 1676(51%)
minecraft.dropped.lime_wool: #1, 857(50%)
minecraft.dropped.dropper: #1, 148(67%)
minecraft.dropped.stone_bricks: #1, 4119(30%)
minecraft.dropped.warped_trapdoor: #1, 84(85%)
minecraft.dropped.red_concrete_powder: #1, 462(59%)
minecraft.dropped.end_stone: #1, 834(35%)
minecraft.picked_up.dark_oak_trapdoor: #1, 1615(27%)
minecraft.picked_up.cooked_chicken: #1, 793(27%)
minecraft.picked_up.rose_bush: #1, 7268(24%)
minecraft.dropped.end_crystal: #1, 18(64%)
minecraft.dropped.ice: #1, 1600(36%)
minecraft.picked_up.lava_bucket: #1, 64(29%)
minecraft.picked_up.brown_dye: #1, 746(57%)
minecraft.picked_up.anvil: #1, 519(25%)
minecraft.dropped.repeater: #1, 367(38%)
minecraft.picked_up.dark_oak_slab: #1, 3317(26%)
minecraft.dropped.birch_fence: #1, 145(47%)
minecraft.dropped.lead: #1, 155(28%)
minecraft.picked_up.iron_nugget: #2, 5658(30%)
minecraft.dropped.cobblestone: #1, 50680(23%)
minecraft.picked_up.campfire: #2, 842(29%)
minecraft.picked_up.dark_oak_fence_gate: #1, 564(31%)
minecraft.picked_up.jungle_fence: #1, 266(31%)
minecraft.picked_up.lime_terracotta: #1, 866(30%)
minecraft.dropped.ender_eye: #1, 518(91%)
minecraft.picked_up.bread: #2, 3497(30%)
minecraft.dropped.soul_lantern: #1, 322(36%)
minecraft.dropped.feather: #2, 2675(30%)
minecraft.picked_up.soul_lantern: #1, 636(22%)
minecraft.picked_up.iron_bars: #1, 2513(23%)
minecraft.dropped.prismarine_crystals: #2, 6918(37%)
minecraft.dropped.blaze_powder: #1, 402(87%)
minecraft.picked_up.flint_and_steel: #1, 80(24%)
