stat, rank, value, (percentage) 
minecraft.picked_up.grindstone: #3, 238(9%)
minecraft.dropped.smooth_sandstone_slab: #2, 67(11%)
minecraft.dropped.iron_block: #3, 1216(10%)
minecraft.dropped.light_gray_terracotta: #3, 171(12%)
minecraft.dropped.netherite_pickaxe: #3, 18(10%)
minecraft.dropped.jungle_sapling: #3, 55(15%)
minecraft.mined.beetroots: #3, 200(14%)
minecraft.dropped.oak_button: #3, 42(14%)
minecraft.used.fire_coral_block: #2, 84(16%)
minecraft.used.bubble_coral_block: #2, 98(18%)
minecraft.picked_up.blackstone_stairs: #3, 225(12%)
minecraft.mined.carved_pumpkin: #3, 447(11%)
minecraft.dropped.birch_stairs: #2, 52(13%)
minecraft.dropped.cyan_stained_glass: #3, 58(19%)
minecraft.picked_up.warped_sign: #3, 36(16%)
minecraft.picked_up.jungle_slab: #3, 886(11%)
minecraft.picked_up.nether_wart_block: #3, 5738(9%)
minecraft.mined.ladder: #3, 190(9%)
minecraft.picked_up.note_block: #3, 244(11%)
minecraft.dropped.dispenser: #3, 131(17%)
minecraft.dropped.granite: #3, 5017(8%)
minecraft.dropped.nether_quartz_ore: #3, 150(11%)
minecraft.picked_up.arrow: #3, 7318(8%)
minecraft.broken.diamond_leggings: #2, 1(50%)
minecraft.killed_by.pufferfish: #2, 2(50%)
minecraft.mined.lime_carpet: #3, 200(12%)
minecraft.picked_up.seagrass: #3, 1105(10%)
minecraft.picked_up.end_rod: #3, 1492(8%)
minecraft.dropped.blue_bed: #2, 7(47%)
minecraft.crafted.jack_o_lantern: #3, 432(15%)
minecraft.dropped.basalt: #3, 814(9%)
minecraft.mined.tripwire_hook: #3, 13(10%)
minecraft.dropped.red_mushroom: #3, 96(9%)
minecraft.dropped.mossy_cobblestone_stairs: #2, 12(43%)
minecraft.picked_up.spruce_fence_gate: #4, 155(15%)
minecraft.dropped.obsidian: #3, 244(10%)
minecraft.dropped.oak_sapling: #3, 583(9%)
minecraft.crafted.netherite_sword: #3, 3(15%)
minecraft.picked_up.red_banner: #3, 11(13%)
minecraft.mined.emerald_ore: #3, 64(13%)
minecraft.dropped.andesite_wall: #3, 110(13%)
minecraft.picked_up.sugar_cane: #3, 24214(7%)
minecraft.mined.infested_stone: #3, 131(12%)
minecraft.used.polished_granite_slab: #3, 126(14%)
minecraft.dropped.white_banner: #2, 86(5%)
minecraft.dropped.milk_bucket: #3, 9(13%)
minecraft.used.iron_shovel: #3, 9557(7%)
minecraft.mined.spruce_wall_sign: #3, 29(8%)
minecraft.picked_up.gray_dye: #3, 355(12%)
minecraft.picked_up.damaged_anvil: #3, 20(8%)
minecraft.mined.oak_fence_gate: #3, 71(8%)
minecraft.mined.jack_o_lantern: #3, 53(11%)
minecraft.picked_up.black_stained_glass: #4, 1061(12%)
minecraft.picked_up.target: #3, 99(10%)
minecraft.dropped.warped_slab: #3, 106(26%)
minecraft.broken.iron_shovel: #3, 30(7%)
minecraft.dropped.magma_cream: #4, 165(12%)
minecraft.dropped.magenta_dye: #2, 8(11%)
minecraft.crafted.flint_and_steel: #3, 21(7%)
minecraft.dropped.snow: #3, 1182(10%)
minecraft.dropped.item_frame: #4, 112(13%)
minecraft.mined.bubble_coral_fan: #2, 18(5%)
minecraft.mined.frosted_ice: #2, 2(25%)
minecraft.crafted.clay: #3, 422(12%)
minecraft.picked_up.polished_andesite: #4, 2495(10%)
minecraft.picked_up.light_blue_wool: #3, 990(9%)
minecraft.mined.damaged_anvil: #3, 16(7%)
minecraft.dropped.crimson_fence_gate: #2, 9(12%)
minecraft.dropped.light_blue_terracotta: #3, 40(24%)
minecraft.dropped.lapis_block: #3, 293(18%)
minecraft.picked_up.activator_rail: #3, 20(10%)
minecraft.picked_up.beef: #4, 2867(10%)
minecraft.used.glass: #4, 8415(10%)
minecraft.dropped.sea_pickle: #3, 59(14%)
minecraft.dropped.gray_bed: #2, 23(10%)
minecraft.crafted.packed_ice: #2, 564(3%)
minecraft.picked_up.warped_slab: #4, 175(12%)
minecraft.dropped.bamboo: #4, 2334(13%)
minecraft.used.blue_ice: #2, 268(3%)
minecraft.picked_up.brown_concrete_powder: #3, 792(6%)
minecraft.crafted.oak_boat: #3, 22(6%)
minecraft.picked_up.iron_pickaxe: #3, 18(7%)
minecraft.picked_up.wooden_shovel: #2, 8(5%)
minecraft.mined.target: #3, 72(9%)
minecraft.mined.end_stone: #3, 3952(7%)
minecraft.mined.pumpkin: #3, 652(6%)
minecraft.crafted.ender_eye: #4, 223(10%)
minecraft.dropped.white_stained_glass: #3, 73(8%)
minecraft.picked_up.light_blue_terracotta: #3, 172(11%)
minecraft.picked_up.scute: #2, 23(6%)
minecraft.picked_up.ice: #3, 8749(6%)
minecraft.mined.comparator: #4, 222(10%)
minecraft.used.mossy_stone_brick_slab: #3, 32(13%)
minecraft.picked_up.sticky_piston: #4, 531(10%)
minecraft.dropped.ladder: #4, 135(12%)
minecraft.used.furnace: #4, 624(9%)
minecraft.mined.green_carpet: #4, 285(10%)
minecraft.picked_up.lingering_potion: #2, 4(6%)
minecraft.crafted.stone_pressure_plate: #4, 286(9%)
minecraft.picked_up.prismarine_shard: #3, 3665(6%)
minecraft.dropped.tropical_fish_bucket: #2, 27(4%)
minecraft.used.cooked_chicken: #4, 509(12%)
minecraft.crafted.book: #4, 1043(10%)
minecraft.picked_up.filled_map: #4, 450(9%)
minecraft.picked_up.stone_button: #4, 462(9%)
minecraft.used.water_bucket: #4, 5781(8%)
minecraft.picked_up.oxeye_daisy: #4, 1712(9%)
minecraft.crafted.cyan_glazed_terracotta: #3, 16(17%)
minecraft.dropped.chiseled_stone_bricks: #3, 102(10%)
minecraft.killed_by.witch: #3, 1(33%)
minecraft.killed_by.shulker: #3, 1(33%)
minecraft.picked_up.stripped_warped_hyphae: #3, 280(10%)
minecraft.used.stone_pressure_plate: #4, 193(10%)
minecraft.dropped.polished_blackstone_brick_stairs: #3, 15(10%)
minecraft.dropped.spectral_arrow: #3, 205(6%)
minecraft.dropped.bookshelf: #3, 98(10%)
minecraft.custom.interact_with_blast_furnace: #4, 176(9%)
minecraft.dropped.gray_wool: #4, 243(14%)
minecraft.crafted.mossy_stone_brick_slab: #3, 36(14%)
minecraft.picked_up.coarse_dirt: #4, 4356(8%)
minecraft.picked_up.carved_pumpkin: #4, 452(9%)
minecraft.dropped.warped_nylium: #4, 42(13%)
minecraft.mined.blue_ice: #3, 146(7%)
minecraft.picked_up.twisting_vines: #4, 298(9%)
minecraft.picked_up.horn_coral_block: #3, 109(7%)
minecraft.mined.horn_coral_block: #3, 109(7%)
minecraft.picked_up.blue_ice: #3, 427(6%)
minecraft.used.lime_banner: #3, 33(11%)
minecraft.picked_up.powered_rail: #4, 1313(8%)
minecraft.dropped.saddle: #3, 14(7%)
minecraft.picked_up.netherite_scrap: #3, 4(12%)
minecraft.dropped.white_concrete_powder: #3, 573(6%)
minecraft.mined.redstone_wire: #4, 1349(7%)
minecraft.mined.cauldron: #4, 24(9%)
minecraft.dropped.bread: #4, 2820(9%)
minecraft.picked_up.string: #4, 4054(7%)
minecraft.picked_up.brown_terracotta: #4, 3328(10%)
minecraft.picked_up.mossy_stone_brick_wall: #3, 5(16%)
minecraft.dropped.writable_book: #4, 17(8%)
minecraft.picked_up.tube_coral_fan: #4, 80(10%)
minecraft.mined.red_banner: #3, 1(25%)
minecraft.dropped.music_disc_mall: #3, 1(25%)
minecraft.mined.repeater: #4, 409(8%)
minecraft.used.green_wool: #4, 589(11%)
minecraft.used.honeycomb_block: #3, 548(6%)
minecraft.used.barrel: #4, 699(8%)
minecraft.crafted.lime_banner: #3, 41(8%)
minecraft.dropped.green_concrete_powder: #3, 185(10%)
minecraft.picked_up.honey_block: #4, 547(8%)
minecraft.crafted.barrel: #4, 552(8%)
minecraft.dropped.dark_prismarine: #4, 224(14%)
minecraft.mined.honey_block: #4, 394(8%)
minecraft.dropped.oak_boat: #4, 12(9%)
minecraft.dropped.light_gray_concrete_powder: #3, 170(6%)
minecraft.dropped.acacia_sign: #3, 18(5%)
minecraft.mined.tube_coral_wall_fan: #4, 71(9%)
minecraft.picked_up.iron_shovel: #4, 23(7%)
minecraft.picked_up.horn_coral_fan: #4, 90(10%)
minecraft.picked_up.diamond_boots: #4, 62(7%)
minecraft.dropped.sunflower: #3, 15(6%)
minecraft.custom.fill_cauldron: #4, 17(8%)
minecraft.picked_up.lapis_block: #4, 303(8%)
minecraft.picked_up.beetroot_seeds: #4, 576(8%)
minecraft.used.wooden_axe: #4, 55(13%)
minecraft.broken.stone_hoe: #3, 2(6%)
minecraft.crafted.terracotta: #3, 369(8%)
minecraft.dropped.shulker_box: #4, 110(6%)
minecraft.picked_up.crafting_table: #4, 467(6%)
minecraft.crafted.shield: #4, 21(8%)
minecraft.mined.horn_coral_fan: #3, 16(4%)
minecraft.dropped.blue_ice: #3, 188(12%)
minecraft.killed.chicken: #5, 430(10%)
minecraft.custom.pig_one_cm: #3, 18279(12%)
minecraft.dropped.clay_ball: #4, 72(10%)
minecraft.dropped.sandstone_wall: #3, 48(6%)
minecraft.dropped.mossy_stone_brick_wall: #3, 2(11%)
minecraft.crafted.cooked_rabbit: #3, 3(9%)
minecraft.mined.quartz_block: #4, 544(7%)
minecraft.dropped.diamond_helmet: #4, 9(8%)
minecraft.picked_up.red_mushroom_block: #4, 2640(8%)
minecraft.dropped.diamond_sword: #5, 28(10%)
minecraft.mined.dark_oak_pressure_plate: #3, 2(10%)
minecraft.picked_up.apple: #4, 471(6%)
minecraft.dropped.tnt: #4, 258(7%)
minecraft.dropped.dark_oak_planks: #4, 189(7%)
minecraft.dropped.nautilus_shell: #4, 11(12%)
minecraft.picked_up.beetroot: #4, 202(9%)
minecraft.dropped.pufferfish: #4, 13(7%)
minecraft.mined.ice: #3, 7447(1%)
minecraft.dropped.spruce_boat: #4, 5(11%)
minecraft.picked_up.white_banner: #4, 97(6%)
minecraft.picked_up.diamond_pickaxe: #5, 121(9%)
minecraft.dropped.stripped_dark_oak_wood: #3, 2(6%)
minecraft.picked_up.pink_concrete: #3, 208(1%)
minecraft.picked_up.iron_ingot: #3, 8953(1%)
minecraft.dropped.iron_pickaxe: #4, 8(8%)
minecraft.mined.light_gray_carpet: #4, 269(5%)
minecraft.mined.wither_skeleton_skull: #4, 4(13%)
minecraft.crafted.written_book: #3, 37(2%)
minecraft.picked_up.oak_fence_gate: #4, 71(6%)
minecraft.dropped.warped_hyphae: #3, 4(3%)
minecraft.dropped.purple_terracotta: #3, 5(3%)
minecraft.picked_up.ink_sac: #4, 2233(5%)
minecraft.picked_up.honeycomb: #3, 298(1%)
minecraft.dropped.brick_stairs: #3, 4(2%)
minecraft.used.dark_oak_pressure_plate: #4, 6(9%)
minecraft.used.compass: #3, 10(2%)
minecraft.picked_up.sandstone_slab: #5, 1255(12%)
minecraft.used.lime_carpet: #5, 1266(11%)
minecraft.picked_up.light_blue_stained_glass_pane: #4, 210(7%)
minecraft.picked_up.acacia_door: #4, 14(11%)
minecraft.picked_up.cyan_terracotta: #5, 5619(9%)
minecraft.picked_up.pink_wool: #4, 573(6%)
minecraft.picked_up.tube_coral_block: #4, 154(10%)
minecraft.used.glass_bottle: #4, 612(4%)
minecraft.mined.tube_coral_block: #4, 154(10%)
minecraft.mined.honeycomb_block: #4, 116(9%)
minecraft.picked_up.purple_wool: #4, 594(6%)
minecraft.used.tube_coral_block: #4, 39(11%)
minecraft.dropped.fishing_rod: #4, 10(6%)
minecraft.picked_up.written_book: #5, 133(8%)
minecraft.picked_up.heart_of_the_sea: #4, 10(5%)
minecraft.dropped.blaze_rod: #5, 139(14%)
minecraft.dropped.mossy_stone_bricks: #4, 22(10%)
minecraft.dropped.ender_pearl: #5, 31674(8%)
minecraft.used.target: #4, 117(6%)
minecraft.picked_up.diamond_sword: #5, 76(7%)
minecraft.picked_up.iron_helmet: #5, 35(8%)
minecraft.killed.cow: #5, 805(8%)
minecraft.mined.sticky_piston: #5, 334(8%)
minecraft.used.quartz_block: #4, 1312(4%)
minecraft.dropped.beef: #5, 102(12%)
minecraft.dropped.music_disc_13: #4, 1(20%)
minecraft.mined.mossy_cobblestone_stairs: #4, 5(7%)
minecraft.picked_up.music_disc_13: #4, 3(4%)
minecraft.picked_up.redstone_torch: #5, 749(7%)
minecraft.picked_up.honeycomb_block: #4, 115(5%)
minecraft.picked_up.fire_coral: #4, 16(8%)
minecraft.dropped.bricks: #4, 362(8%)
minecraft.mined.acacia_button: #4, 2(8%)
minecraft.picked_up.bubble_coral_block: #4, 130(5%)
minecraft.dropped.yellow_terracotta: #4, 67(5%)
minecraft.crafted.light_gray_glazed_terracotta: #4, 32(9%)
minecraft.picked_up.stone_bricks: #5, 6460(7%)
minecraft.mined.bubble_coral_block: #4, 135(5%)
minecraft.picked_up.pink_terracotta: #4, 143(5%)
minecraft.picked_up.brain_coral_block: #4, 101(6%)
minecraft.mined.brain_coral_block: #4, 101(6%)
minecraft.dropped.heart_of_the_sea: #4, 9(5%)
minecraft.used.chipped_anvil: #5, 27(7%)
minecraft.mined.stone_button: #5, 155(7%)
minecraft.picked_up.oak_sapling: #4, 1755(3%)
minecraft.dropped.polished_blackstone_brick_slab: #4, 32(7%)
minecraft.picked_up.item_frame: #5, 495(7%)
minecraft.dropped.lime_carpet: #4, 67(7%)
minecraft.mined.andesite_slab: #4, 208(3%)
minecraft.used.beetroot_seeds: #4, 206(5%)
minecraft.picked_up.spruce_button: #5, 94(8%)
minecraft.picked_up.bubble_coral_fan: #5, 92(11%)
minecraft.used.bucket: #5, 6326(6%)
minecraft.dropped.oak_planks: #5, 306(7%)
minecraft.dropped.written_book: #5, 56(7%)
minecraft.dropped.spruce_sapling: #5, 85(8%)
minecraft.dropped.oak_stairs: #5, 14(12%)
minecraft.picked_up.light_blue_stained_glass: #4, 271(3%)
minecraft.picked_up.fire_coral_fan: #5, 87(10%)
minecraft.dropped.iron_chestplate: #5, 12(10%)
minecraft.dropped.tipped_arrow: #4, 58(6%)
minecraft.picked_up.dragon_head: #5, 29(8%)
minecraft.picked_up.birch_fence: #5, 135(8%)
minecraft.used.end_crystal: #4, 23(5%)
minecraft.crafted.charcoal: #4, 104(3%)
minecraft.picked_up.fire_coral_block: #4, 84(4%)
minecraft.custom.damage_blocked_by_shield: #5, 14995(9%)
minecraft.mined.bell: #5, 18(6%)
minecraft.picked_up.diorite: #5, 20462(6%)
minecraft.mined.fire_coral_block: #4, 85(4%)
minecraft.crafted.warped_fungus_on_a_stick: #4, 2(6%)
minecraft.picked_up.brain_coral_fan: #5, 84(9%)
minecraft.picked_up.composter: #5, 75(6%)
minecraft.custom.interact_with_smoker: #5, 168(8%)
minecraft.mined.sweet_berry_bush: #4, 149(2%)
minecraft.picked_up.blast_furnace: #5, 41(6%)
minecraft.mined.fire_coral_wall_fan: #5, 79(9%)
minecraft.used.nether_gold_ore: #5, 40(10%)
minecraft.broken.golden_boots: #4, 1(8%)
minecraft.mined.mossy_stone_brick_wall: #4, 1(8%)
minecraft.picked_up.diamond_chestplate: #5, 15(6%)
minecraft.dropped.redstone_ore: #5, 103(8%)
minecraft.mined.bubble_coral_wall_fan: #5, 75(9%)
minecraft.dropped.phantom_membrane: #5, 26(12%)
minecraft.used.dried_kelp: #5, 146(11%)
minecraft.used.sweet_berries: #4, 241(1%)
minecraft.crafted.oak_pressure_plate: #5, 10(7%)
minecraft.used.andesite_stairs: #5, 152(7%)
minecraft.dropped.acacia_button: #4, 2(5%)
minecraft.dropped.wooden_shovel: #4, 5(2%)
minecraft.picked_up.magenta_dye: #4, 20(4%)
minecraft.mined.horn_coral_wall_fan: #5, 74(8%)
minecraft.dropped.crimson_fence: #4, 2(4%)
minecraft.dropped.oak_fence_gate: #4, 5(2%)
minecraft.crafted.wooden_shovel: #4, 8(1%)
minecraft.mined.brain_coral_wall_fan: #5, 73(8%)
minecraft.custom.animals_bred: #5, 1483(5%)
minecraft.picked_up.dark_prismarine: #5, 478(6%)
minecraft.picked_up.smooth_quartz: #5, 743(6%)
minecraft.picked_up.cornflower: #5, 1296(5%)
minecraft.dropped.birch_trapdoor: #5, 40(9%)
minecraft.dropped.wheat: #5, 323(6%)
minecraft.picked_up.purple_concrete_powder: #4, 66(1%)
minecraft.crafted.chainmail_helmet: #4, 1(2%)
minecraft.used.packed_ice: #5, 1610(5%)
minecraft.picked_up.brain_coral: #5, 16(8%)
minecraft.picked_up.saddle: #5, 19(6%)
minecraft.dropped.birch_slab: #5, 53(7%)
minecraft.crafted.blue_ice: #4, 83(1%)
minecraft.picked_up.orange_glazed_terracotta: #4, 3(0%)
minecraft.mined.dropper: #6, 229(8%)
minecraft.mined.beehive: #5, 50(7%)
minecraft.crafted.tripwire_hook: #5, 154(5%)
minecraft.mined.mossy_stone_brick_slab: #5, 3(12%)
minecraft.picked_up.cut_sandstone: #5, 406(5%)
minecraft.dropped.coal: #6, 531(9%)
minecraft.dropped.light_blue_stained_glass: #5, 60(11%)
minecraft.used.lapis_ore: #5, 238(5%)
minecraft.dropped.honey_block: #5, 109(8%)
minecraft.picked_up.mossy_cobblestone_slab: #5, 19(8%)
minecraft.picked_up.enchanted_book: #5, 87(4%)
minecraft.crafted.andesite_stairs: #5, 132(6%)
minecraft.dropped.grass: #5, 70(5%)
minecraft.picked_up.gunpowder: #5, 5575(3%)
minecraft.crafted.iron_shovel: #5, 28(4%)
minecraft.used.stone_hoe: #5, 421(5%)
minecraft.killed.silverfish: #5, 39(5%)
minecraft.killed_by.enderman: #5, 2(8%)
minecraft.broken.iron_chestplate: #5, 1(17%)
minecraft.picked_up.birch_sign: #6, 392(8%)
minecraft.picked_up.hopper: #6, 1125(7%)
minecraft.picked_up.snow_block: #5, 1706(5%)
minecraft.killed.pufferfish: #5, 16(5%)
minecraft.picked_up.pufferfish: #6, 61(7%)
minecraft.crafted.lime_carpet: #6, 1098(10%)
minecraft.dropped.stripped_spruce_log: #5, 8(5%)
minecraft.dropped.lily_of_the_valley: #5, 5(5%)
minecraft.picked_up.bookshelf: #6, 233(8%)
minecraft.used.melon: #5, 84(4%)
minecraft.broken.bow: #5, 1(14%)
minecraft.picked_up.white_tulip: #5, 88(4%)
minecraft.dropped.packed_ice: #5, 140(4%)
minecraft.dropped.lime_concrete: #5, 40(5%)
minecraft.picked_up.ender_pearl: #6, 29895(7%)
minecraft.used.cooked_cod: #5, 59(3%)
minecraft.dropped.brick_slab: #5, 16(13%)
minecraft.mined.barrel: #6, 273(7%)
minecraft.broken.iron_sword: #5, 3(5%)
minecraft.picked_up.bone_block: #6, 1029(7%)
minecraft.dropped.name_tag: #6, 46(7%)
minecraft.dropped.glowstone_dust: #5, 55(3%)
minecraft.crafted.stone: #6, 3806(7%)
minecraft.broken.iron_hoe: #5, 2(8%)
minecraft.dropped.dark_oak_leaves: #5, 18(6%)
minecraft.used.nether_quartz_ore: #6, 1669(7%)
minecraft.crafted.writable_book: #5, 83(3%)
minecraft.used.filled_map: #5, 11(9%)
minecraft.dropped.smooth_stone: #6, 229(8%)
minecraft.dropped.detector_rail: #5, 2(7%)
minecraft.dropped.sweet_berries: #5, 68(3%)
minecraft.crafted.snow: #5, 144(4%)
minecraft.picked_up.soul_soil: #6, 2207(7%)
minecraft.picked_up.stick: #6, 7704(6%)
minecraft.used.coal_block: #5, 136(2%)
minecraft.picked_up.smooth_quartz_stairs: #6, 395(7%)
minecraft.dropped.slime_block: #5, 104(3%)
minecraft.dropped.grass_block: #6, 1990(7%)
minecraft.picked_up.oak_planks: #6, 1125(6%)
minecraft.picked_up.red_concrete_powder: #5, 583(3%)
minecraft.custom.use_cauldron: #5, 6(5%)
minecraft.killed.endermite: #6, 22(8%)
minecraft.picked_up.lime_banner: #5, 17(4%)
minecraft.crafted.wheat: #6, 1685(7%)
minecraft.mined.chipped_anvil: #6, 26(6%)
minecraft.mined.brain_coral: #5, 16(3%)
minecraft.picked_up.granite: #6, 20103(6%)
minecraft.dropped.allium: #5, 8(4%)
minecraft.dropped.polished_granite: #5, 35(3%)
minecraft.mined.attached_melon_stem: #5, 3(5%)
minecraft.dropped.golden_horse_armor: #5, 1(7%)
minecraft.used.iron_hoe: #5, 622(2%)
minecraft.picked_up.light_gray_glazed_terracotta: #5, 26(6%)
minecraft.used.lever: #6, 376(5%)
minecraft.dropped.sand: #6, 3818(6%)
minecraft.used.cooked_rabbit: #5, 3(4%)
minecraft.picked_up.sweet_berries: #5, 844(1%)
minecraft.dropped.birch_sapling: #6, 96(6%)
minecraft.mined.fire_coral: #5, 16(3%)
minecraft.crafted.cooked_porkchop: #5, 150(2%)
minecraft.picked_up.jack_o_lantern: #6, 56(7%)
minecraft.mined.bone_block: #6, 460(6%)
minecraft.picked_up.crimson_planks: #6, 245(7%)
minecraft.crafted.purple_wool: #5, 21(4%)
minecraft.custom.enchant_item: #6, 203(6%)
minecraft.picked_up.redstone_block: #6, 592(5%)
minecraft.picked_up.iron_trapdoor: #6, 374(6%)
minecraft.picked_up.black_terracotta: #6, 785(7%)
minecraft.picked_up.prismarine_bricks: #5, 366(1%)
minecraft.picked_up.packed_ice: #5, 1640(1%)
minecraft.picked_up.acacia_sapling: #6, 512(6%)
minecraft.dropped.cooked_porkchop: #5, 284(1%)
minecraft.picked_up.gray_bed: #5, 24(2%)
minecraft.mined.pink_concrete: #5, 208(1%)
minecraft.mined.packed_ice: #5, 1417(1%)
minecraft.used.pumpkin: #6, 356(5%)
minecraft.used.ender_pearl: #6, 813(5%)
minecraft.used.warped_fungus_on_a_stick: #5, 5(3%)
minecraft.used.light_gray_glazed_terracotta: #5, 34(2%)
minecraft.crafted.tipped_arrow: #5, 32(3%)
minecraft.dropped.jack_o_lantern: #5, 2(2%)
minecraft.used.dragon_head: #6, 3(8%)
minecraft.dropped.poisonous_potato: #6, 9(9%)
minecraft.dropped.orange_carpet: #5, 9(1%)
minecraft.used.wooden_shovel: #5, 35(1%)
minecraft.dropped.light_gray_concrete: #6, 82(7%)
minecraft.picked_up.quartz: #6, 8150(5%)
minecraft.mined.stripped_oak_log: #6, 275(5%)
minecraft.mined.white_glazed_terracotta: #5, 3(1%)
minecraft.picked_up.dark_oak_sapling: #6, 596(5%)
minecraft.crafted.oak_fence_gate: #6, 91(5%)
minecraft.picked_up.white_glazed_terracotta: #5, 3(1%)
minecraft.used.oak_fence_gate: #6, 115(5%)
minecraft.dropped.pink_concrete: #5, 4(0%)
minecraft.dropped.blue_concrete_powder: #5, 3(1%)
minecraft.dropped.dragon_breath: #5, 1(1%)
minecraft.picked_up.lapis_ore: #6, 369(4%)
minecraft.picked_up.birch_stairs: #6, 85(6%)
minecraft.crafted.honeycomb_block: #5, 17(0%)
minecraft.picked_up.sponge: #6, 390(6%)
minecraft.dropped.activator_rail: #6, 2(11%)
minecraft.mined.cobweb: #6, 336(4%)
minecraft.crafted.mossy_cobblestone_slab: #6, 42(8%)
minecraft.dropped.potion: #6, 197(5%)
minecraft.used.cactus: #6, 367(4%)
minecraft.picked_up.stripped_oak_log: #6, 235(4%)
minecraft.picked_up.chorus_fruit: #6, 1212(5%)
minecraft.used.iron_sword: #6, 1713(4%)
minecraft.dropped.ender_chest: #6, 13(5%)
minecraft.mined.oak_sapling: #6, 29(4%)
minecraft.crafted.fishing_rod: #6, 13(5%)
minecraft.mined.red_wall_banner: #6, 4(10%)
minecraft.used.mossy_cobblestone_slab: #6, 51(7%)
minecraft.picked_up.beehive: #6, 50(5%)
minecraft.used.written_book: #6, 1590(4%)
minecraft.picked_up.fishing_rod: #6, 11(4%)
minecraft.picked_up.tube_coral: #6, 13(7%)
minecraft.dropped.spruce_door: #6, 12(6%)
minecraft.picked_up.charcoal: #6, 36(4%)
minecraft.used.string: #6, 585(3%)
minecraft.picked_up.spectral_arrow: #6, 267(4%)
minecraft.dropped.comparator: #6, 35(7%)
minecraft.dropped.gravel: #7, 2477(7%)
minecraft.dropped.jungle_sign: #6, 12(5%)
minecraft.picked_up.bubble_coral: #6, 11(7%)
minecraft.picked_up.smooth_sandstone_stairs: #6, 356(3%)
minecraft.picked_up.blaze_rod: #6, 573(3%)
minecraft.picked_up.blue_wool: #6, 364(3%)
minecraft.picked_up.rail: #7, 3256(7%)
minecraft.dropped.cookie: #6, 110(4%)
minecraft.mined.sponge: #6, 219(4%)
minecraft.dropped.mutton: #6, 26(3%)
minecraft.mined.dark_oak_fence_gate: #6, 33(3%)
minecraft.dropped.blast_furnace: #6, 1(10%)
minecraft.mined.coal_block: #6, 70(3%)
minecraft.crafted.golden_chestplate: #6, 5(4%)
minecraft.used.wet_sponge: #6, 211(4%)
minecraft.dropped.cyan_wool: #6, 35(6%)
minecraft.dropped.diamond_chestplate: #6, 3(4%)
minecraft.dropped.nether_gold_ore: #6, 37(3%)
minecraft.dropped.enchanted_book: #6, 70(3%)
minecraft.mined.melon: #6, 272(3%)
minecraft.crafted.red_bed: #6, 4(4%)
minecraft.picked_up.diamond_axe: #7, 37(6%)
minecraft.mined.attached_pumpkin_stem: #6, 3(7%)
minecraft.used.red_bed: #6, 15(3%)
minecraft.dropped.arrow: #6, 2329(2%)
minecraft.crafted.lime_wool: #6, 40(4%)
minecraft.used.red_banner: #6, 15(4%)
minecraft.picked_up.diamond_leggings: #7, 32(6%)
minecraft.used.acacia_door: #6, 12(5%)
minecraft.used.beehive: #6, 62(3%)
minecraft.killed.ender_dragon: #6, 1(8%)
minecraft.picked_up.crimson_nylium: #7, 585(6%)
minecraft.picked_up.diamond_shovel: #7, 57(6%)
minecraft.used.light_blue_terracotta: #6, 247(3%)
minecraft.crafted.ladder: #7, 690(6%)
minecraft.dropped.fern: #6, 14(3%)
minecraft.crafted.wooden_sword: #6, 5(2%)
minecraft.mined.brain_coral_fan: #6, 13(3%)
minecraft.mined.magenta_concrete_powder: #6, 3(3%)
minecraft.picked_up.fletching_table: #6, 13(2%)
minecraft.killed_by.zombie: #7, 5(7%)
minecraft.used.emerald_ore: #6, 4(4%)
minecraft.picked_up.nether_star: #6, 15(2%)
minecraft.dropped.polished_blackstone: #6, 15(2%)
minecraft.mined.tube_coral: #6, 13(3%)
minecraft.mined.pink_concrete_powder: #6, 4(4%)
minecraft.crafted.grindstone: #6, 66(1%)
minecraft.dropped.diamond_axe: #7, 9(7%)
minecraft.broken.shield: #6, 1(5%)
minecraft.crafted.cooked_chicken: #6, 209(2%)
minecraft.picked_up.oak_fence: #7, 371(5%)
minecraft.dropped.melon: #6, 85(2%)
minecraft.used.grindstone: #6, 55(1%)
minecraft.picked_up.lime_concrete_powder: #6, 281(2%)
minecraft.used.cyan_glazed_terracotta: #6, 10(3%)
minecraft.mined.tube_coral_fan: #6, 9(2%)
minecraft.mined.observer: #7, 368(6%)
minecraft.used.stone_shovel: #6, 635(2%)
minecraft.mined.bubble_coral: #6, 11(2%)
minecraft.dropped.baked_potato: #6, 8(3%)
minecraft.dropped.orange_stained_glass: #6, 5(3%)
minecraft.mined.fire_coral_fan: #6, 9(2%)
minecraft.mined.blue_concrete_powder: #6, 5(3%)
minecraft.mined.lime_concrete_powder: #6, 23(2%)
minecraft.picked_up.iron_ore: #7, 5441(5%)
minecraft.crafted.chainmail_chestplate: #6, 1(4%)
minecraft.picked_up.cactus: #7, 1231(5%)
minecraft.picked_up.stripped_jungle_log: #7, 52(7%)
minecraft.mined.light_gray_wall_banner: #6, 1(3%)
minecraft.picked_up.cobblestone_stairs: #7, 109(6%)
minecraft.used.pink_concrete: #6, 126(1%)
minecraft.mined.light_gray_glazed_terracotta: #6, 10(2%)
minecraft.used.pink_concrete_powder: #6, 158(1%)
minecraft.picked_up.oak_button: #7, 20(6%)
minecraft.broken.iron_pickaxe: #7, 16(5%)
minecraft.crafted.armor_stand: #6, 157(0%)
