stat, rank, value, (percentage) 
minecraft.dropped.oak_log: #16, 36(1%)
minecraft.crafted.bone_meal: #16, 17469(1%)
minecraft.mined.warped_stairs: #16, 4(1%)
minecraft.picked_up.polished_andesite: #16, 148(1%)
minecraft.crafted.oak_door: #16, 3(1%)
minecraft.used.light_gray_concrete: #16, 408(1%)
minecraft.used.netherite_sword: #16, 4065(1%)
minecraft.mined.birch_leaves: #16, 686(1%)
minecraft.picked_up.spider_eye: #16, 148(0%)
minecraft.used.gray_shulker_box: #16, 25(1%)
minecraft.crafted.smooth_stone_slab: #16, 588(0%)
minecraft.crafted.ender_eye: #16, 11(1%)
minecraft.picked_up.stone_sword: #16, 6(1%)
minecraft.mined.white_wall_banner: #16, 1(1%)
minecraft.picked_up.poisonous_potato: #16, 1(0%)
minecraft.crafted.tripwire_hook: #16, 10(0%)
minecraft.picked_up.gilded_blackstone: #16, 5(0%)
minecraft.picked_up.iron_axe: #16, 1(0%)
minecraft.mined.coarse_dirt: #16, 73(0%)
minecraft.picked_up.polished_granite: #16, 13(0%)
minecraft.mined.dark_oak_fence_gate: #16, 2(0%)
minecraft.crafted.smoker: #16, 2(0%)
minecraft.mined.stripped_jungle_log: #16, 1(0%)
minecraft.picked_up.nether_star: #16, 1(0%)
minecraft.picked_up.soul_torch: #16, 1(0%)
minecraft.crafted.warped_slab: #16, 6(0%)
minecraft.used.polished_granite: #16, 9(0%)
minecraft.mined.cyan_bed: #16, 1(0%)
minecraft.picked_up.cyan_bed: #16, 1(0%)
minecraft.used.sweet_berries: #16, 9(0%)
minecraft.picked_up.packed_ice: #16, 68(0%)
minecraft.used.red_mushroom_block: #16, 4(0%)
minecraft.dropped.glowstone: #16, 1(0%)
minecraft.dropped.spectral_arrow: #16, 1(0%)
minecraft.mined.packed_ice: #16, 17(0%)
minecraft.picked_up.item_frame: #17, 196(3%)
minecraft.mined.gold_ore: #17, 673(2%)
minecraft.mined.oak_sign: #17, 15(2%)
minecraft.picked_up.shulker_box: #17, 1481(2%)
minecraft.crafted.chest: #17, 1337(2%)
minecraft.used.shulker_box: #17, 1438(2%)
minecraft.mined.shulker_box: #17, 1465(2%)
minecraft.picked_up.hopper: #17, 202(1%)
minecraft.picked_up.glowstone: #17, 173(1%)
minecraft.broken.diamond_pickaxe: #17, 1(2%)
minecraft.mined.vine: #17, 365(1%)
minecraft.mined.grass_block: #17, 12746(1%)
minecraft.picked_up.furnace: #17, 61(1%)
minecraft.mined.iron_block: #17, 857(1%)
minecraft.custom.damage_dealt: #17, 791373(1%)
minecraft.mined.iron_bars: #17, 65(1%)
minecraft.picked_up.spruce_door: #17, 7(1%)
minecraft.used.spruce_trapdoor: #17, 464(1%)
minecraft.used.oak_pressure_plate: #17, 2(1%)
minecraft.picked_up.spruce_log: #17, 1963(1%)
minecraft.mined.crimson_roots: #17, 35(1%)
minecraft.crafted.white_dye: #17, 1365(1%)
minecraft.crafted.spruce_trapdoor: #17, 294(1%)
minecraft.picked_up.oak_stairs: #17, 19(1%)
minecraft.crafted.dropper: #17, 64(1%)
minecraft.used.iron_block: #17, 1035(1%)
minecraft.crafted.lapis_lazuli: #17, 432(1%)
minecraft.picked_up.white_banner: #17, 12(1%)
minecraft.used.smooth_stone_slab: #17, 1274(1%)
minecraft.mined.azure_bluet: #17, 11(1%)
minecraft.picked_up.ghast_tear: #17, 12(1%)
minecraft.mined.warped_wart_block: #17, 387(1%)
minecraft.mined.dark_oak_trapdoor: #17, 18(1%)
minecraft.used.kelp: #17, 135(1%)
minecraft.picked_up.campfire: #17, 15(1%)
minecraft.mined.stone_stairs: #17, 17(1%)
minecraft.picked_up.gunpowder: #17, 733(0%)
minecraft.crafted.observer: #17, 96(0%)
minecraft.picked_up.rose_bush: #17, 131(0%)
minecraft.custom.target_hit: #17, 64(0%)
minecraft.picked_up.warped_stairs: #17, 4(1%)
minecraft.mined.lilac: #17, 1(1%)
minecraft.crafted.detector_rail: #17, 6(1%)
minecraft.crafted.spruce_button: #17, 16(0%)
minecraft.used.oak_log: #17, 220(0%)
minecraft.mined.polished_blackstone_slab: #17, 22(0%)
minecraft.picked_up.warped_wart_block: #17, 366(0%)
minecraft.used.stone_stairs: #17, 47(0%)
minecraft.crafted.gray_shulker_box: #17, 1(0%)
minecraft.picked_up.acacia_sign: #17, 4(0%)
minecraft.dropped.ender_chest: #17, 1(0%)
minecraft.picked_up.melon_seeds: #17, 3(0%)
minecraft.picked_up.wither_skeleton_skull: #17, 3(0%)
minecraft.mined.dark_oak_fence: #17, 5(0%)
minecraft.picked_up.light_gray_carpet: #17, 44(0%)
minecraft.mined.gray_concrete: #17, 519(0%)
minecraft.used.brown_shulker_box: #17, 11(0%)
minecraft.mined.crying_obsidian: #17, 3(0%)
minecraft.mined.polished_granite: #17, 8(0%)
minecraft.mined.blackstone_wall: #17, 2(0%)
minecraft.used.birch_log: #17, 32(0%)
minecraft.dropped.warped_roots: #17, 5(0%)
minecraft.used.lilac: #17, 1(0%)
minecraft.killed.hoglin: #17, 10(0%)
minecraft.picked_up.stripped_jungle_log: #17, 1(0%)
minecraft.crafted.crimson_slab: #17, 6(0%)
minecraft.killed.pillager: #17, 24(0%)
minecraft.picked_up.cut_sandstone: #17, 6(0%)
minecraft.mined.cut_sandstone: #17, 5(0%)
minecraft.used.dark_oak_fence_gate: #17, 3(0%)
minecraft.crafted.dark_oak_fence_gate: #17, 2(0%)
minecraft.crafted.enchanted_book: #17, 3(0%)
minecraft.used.stripped_birch_log: #17, 1(0%)
minecraft.mined.potatoes: #17, 1(0%)
minecraft.killed.zombified_piglin: #17, 11(0%)
minecraft.custom.open_enderchest: #18, 1986(2%)
minecraft.mined.chest: #18, 389(2%)
minecraft.picked_up.leather_boots: #18, 8(2%)
minecraft.picked_up.soul_sand: #18, 964(2%)
minecraft.picked_up.chest: #18, 427(2%)
minecraft.picked_up.string: #18, 823(1%)
minecraft.mined.barrel: #18, 60(2%)
minecraft.used.barrel: #18, 143(2%)
minecraft.crafted.diamond: #18, 882(1%)
minecraft.picked_up.iron_leggings: #18, 3(1%)
minecraft.used.lantern: #18, 178(1%)
minecraft.mined.furnace: #18, 45(1%)
minecraft.mined.lantern: #18, 34(1%)
minecraft.used.oak_sign: #18, 96(1%)
minecraft.picked_up.barrel: #18, 60(1%)
minecraft.mined.crimson_fungus: #18, 13(1%)
minecraft.mined.cobweb: #18, 93(1%)
minecraft.custom.mob_kills: #18, 22182(1%)
minecraft.used.furnace: #18, 71(1%)
minecraft.picked_up.bone: #18, 1183(1%)
minecraft.dropped.netherite_sword: #18, 1(1%)
minecraft.mined.warped_fungus: #18, 24(1%)
minecraft.picked_up.iron_block: #18, 896(1%)
minecraft.dropped.writable_book: #18, 2(1%)
minecraft.used.spruce_stairs: #18, 117(1%)
minecraft.crafted.light_gray_dye: #18, 256(1%)
minecraft.crafted.piston: #18, 128(1%)
minecraft.used.iron_bars: #18, 195(1%)
minecraft.picked_up.iron_helmet: #18, 3(1%)
minecraft.mined.basalt: #18, 1320(1%)
minecraft.used.golden_carrot: #18, 500(1%)
minecraft.custom.interact_with_stonecutter: #18, 54(1%)
minecraft.mined.stonecutter: #18, 17(1%)
minecraft.mined.nether_wart_block: #18, 358(1%)
minecraft.picked_up.stonecutter: #18, 17(1%)
minecraft.used.spruce_slab: #18, 297(1%)
minecraft.used.stonecutter: #18, 18(1%)
minecraft.mined.cobblestone_slab: #18, 24(1%)
minecraft.crafted.oak_pressure_plate: #18, 1(1%)
minecraft.crafted.lead: #18, 6(1%)
minecraft.mined.weeping_vines_plant: #18, 7(1%)
minecraft.crafted.blue_dye: #18, 256(0%)
minecraft.mined.crimson_stem: #18, 75(0%)
minecraft.crafted.brown_shulker_box: #18, 1(1%)
minecraft.picked_up.dark_oak_trapdoor: #18, 26(0%)
minecraft.used.oak_door: #18, 2(0%)
minecraft.crafted.sticky_piston: #18, 32(0%)
minecraft.picked_up.jungle_sign: #18, 3(0%)
minecraft.crafted.polished_andesite: #18, 328(0%)
minecraft.used.netherite_axe: #18, 2203(0%)
minecraft.picked_up.music_disc_cat: #18, 1(0%)
minecraft.picked_up.crimson_stem: #18, 75(0%)
minecraft.picked_up.dark_oak_slab: #18, 39(0%)
minecraft.used.diamond_block: #18, 29(0%)
minecraft.mined.hay_block: #18, 5(0%)
minecraft.mined.brown_shulker_box: #18, 11(0%)
minecraft.picked_up.brown_shulker_box: #18, 11(0%)
minecraft.mined.warped_stem: #18, 102(0%)
minecraft.crafted.warped_stairs: #18, 8(0%)
minecraft.picked_up.coarse_dirt: #18, 120(0%)
minecraft.used.coarse_dirt: #18, 190(0%)
minecraft.picked_up.stone_stairs: #18, 18(0%)
minecraft.picked_up.crimson_roots: #18, 48(0%)
minecraft.mined.polished_andesite: #18, 36(0%)
minecraft.used.gray_concrete_powder: #18, 512(0%)
minecraft.dropped.diamond_block: #18, 5(0%)
minecraft.mined.warped_roots: #18, 16(0%)
minecraft.used.acacia_log: #18, 20(0%)
minecraft.crafted.gray_concrete_powder: #18, 512(0%)
minecraft.crafted.polished_andesite_slab: #18, 24(0%)
minecraft.crafted.birch_trapdoor: #18, 12(0%)
minecraft.used.acacia_sign: #18, 2(0%)
minecraft.picked_up.dark_oak_fence: #18, 5(0%)
minecraft.mined.nether_sprouts: #18, 6(0%)
minecraft.crafted.nether_brick_slab: #18, 12(0%)
minecraft.picked_up.blackstone_wall: #18, 2(0%)
minecraft.crafted.white_wool: #18, 23(0%)
minecraft.picked_up.crimson_planks: #18, 2(0%)
minecraft.crafted.brick: #18, 192(0%)
minecraft.custom.interact_with_smoker: #18, 1(0%)
minecraft.crafted.armor_stand: #18, 12(0%)
minecraft.mined.acacia_leaves: #18, 11(0%)
minecraft.picked_up.sweet_berries: #18, 16(0%)
minecraft.picked_up.bread: #18, 3(0%)
minecraft.used.terracotta: #18, 9(0%)
minecraft.mined.green_concrete: #18, 1(0%)
minecraft.used.yellow_concrete_powder: #18, 1(0%)
minecraft.picked_up.granite: #19, 7094(2%)
minecraft.mined.diorite: #19, 7564(2%)
minecraft.killed.creeper: #19, 187(2%)
minecraft.picked_up.stone: #19, 58262(2%)
minecraft.mined.granite: #19, 6588(2%)
minecraft.mined.stone: #19, 112709(2%)
minecraft.used.diamond_pickaxe: #19, 131354(1%)
minecraft.used.stone: #19, 10433(1%)
minecraft.custom.inspect_hopper: #19, 581(1%)
minecraft.mined.spruce_stairs: #19, 48(1%)
minecraft.mined.glowstone: #19, 114(1%)
minecraft.picked_up.basalt: #19, 1294(1%)
minecraft.used.diorite: #19, 222(1%)
minecraft.picked_up.netherite_axe: #19, 5(1%)
minecraft.killed.piglin: #19, 17(1%)
minecraft.mined.oak_trapdoor: #19, 18(1%)
minecraft.picked_up.spruce_stairs: #19, 55(1%)
minecraft.used.gravel: #19, 401(1%)
minecraft.picked_up.oak_door: #19, 5(1%)
minecraft.picked_up.chainmail_helmet: #19, 1(1%)
minecraft.picked_up.netherite_shovel: #19, 4(1%)
minecraft.crafted.comparator: #19, 64(1%)
minecraft.picked_up.spruce_slab: #19, 144(1%)
minecraft.mined.beacon: #19, 7(1%)
minecraft.used.painting: #19, 27(1%)
minecraft.picked_up.beacon: #19, 8(1%)
minecraft.picked_up.chainmail_chestplate: #19, 1(1%)
minecraft.mined.shroomlight: #19, 57(1%)
minecraft.mined.blackstone: #19, 1662(1%)
minecraft.used.spruce_log: #19, 172(1%)
minecraft.used.beacon: #19, 8(1%)
minecraft.crafted.painting: #19, 6(1%)
minecraft.mined.fire: #19, 81(1%)
minecraft.used.shroomlight: #19, 49(1%)
minecraft.picked_up.powered_rail: #19, 90(1%)
minecraft.used.dark_oak_trapdoor: #19, 71(1%)
minecraft.dropped.string: #19, 101(1%)
minecraft.crafted.spruce_slab: #19, 456(0%)
minecraft.mined.birch_trapdoor: #19, 6(1%)
minecraft.picked_up.clay_ball: #19, 192(0%)
minecraft.crafted.red_dye: #19, 225(0%)
minecraft.used.stone_slab: #19, 283(0%)
minecraft.custom.fill_cauldron: #19, 1(0%)
minecraft.picked_up.iron_boots: #19, 3(0%)
minecraft.used.oak_trapdoor: #19, 32(0%)
minecraft.picked_up.weeping_vines: #19, 20(0%)
minecraft.picked_up.birch_trapdoor: #19, 6(0%)
minecraft.used.detector_rail: #19, 2(0%)
minecraft.used.cobblestone_stairs: #19, 14(0%)
minecraft.crafted.coarse_dirt: #19, 256(0%)
minecraft.crafted.oak_fence: #19, 54(0%)
minecraft.picked_up.polished_blackstone_slab: #19, 23(0%)
minecraft.picked_up.diamond_block: #19, 35(0%)
minecraft.used.armor_stand: #19, 15(0%)
minecraft.crafted.powered_rail: #19, 60(0%)
minecraft.used.polished_andesite: #19, 238(0%)
minecraft.crafted.stone_brick_slab: #19, 132(0%)
minecraft.picked_up.warped_fungus: #19, 25(0%)
minecraft.picked_up.jungle_leaves: #19, 161(0%)
minecraft.mined.red_mushroom_block: #19, 92(0%)
minecraft.killed.squid: #19, 16(0%)
minecraft.picked_up.warped_stem: #19, 99(0%)
minecraft.crafted.gray_dye: #19, 132(0%)
minecraft.mined.dark_oak_stairs: #19, 10(0%)
minecraft.used.birch_trapdoor: #19, 12(0%)
minecraft.mined.polished_basalt: #19, 11(0%)
minecraft.crafted.brewing_stand: #19, 2(0%)
minecraft.used.warped_stairs: #19, 4(0%)
minecraft.picked_up.oxeye_daisy: #19, 23(0%)
minecraft.crafted.stonecutter: #19, 2(0%)
minecraft.used.dark_oak_stairs: #19, 17(0%)
minecraft.used.light_gray_carpet: #19, 53(0%)
minecraft.used.nether_quartz_ore: #19, 23(0%)
minecraft.dropped.redstone: #19, 10(0%)
minecraft.mined.twisting_vines_plant: #19, 1(0%)
minecraft.used.gray_concrete: #19, 176(0%)
minecraft.mined.stripped_birch_log: #19, 4(0%)
minecraft.crafted.dark_oak_fence: #19, 6(0%)
minecraft.dropped.glass_bottle: #19, 4(0%)
minecraft.used.andesite_slab: #19, 13(0%)
minecraft.picked_up.cornflower: #19, 11(0%)
minecraft.used.polished_basalt: #19, 11(0%)
minecraft.picked_up.white_tulip: #19, 1(0%)
minecraft.mined.emerald_block: #19, 2(0%)
minecraft.used.potato: #19, 1(0%)
minecraft.mined.stripped_dark_oak_log: #19, 1(0%)
minecraft.picked_up.stripped_dark_oak_log: #19, 1(0%)
minecraft.picked_up.spectral_arrow: #19, 1(0%)
minecraft.picked_up.green_concrete: #19, 1(0%)
minecraft.mined.yellow_terracotta: #19, 2(0%)
minecraft.used.cyan_concrete_powder: #19, 1(0%)
minecraft.used.green_concrete_powder: #19, 1(0%)
minecraft.picked_up.diorite: #20, 7710(2%)
minecraft.killed.spider: #20, 65(2%)
minecraft.picked_up.chainmail_leggings: #20, 2(2%)
minecraft.mined.wall_torch: #20, 266(2%)
minecraft.picked_up.oak_planks: #20, 277(2%)
minecraft.mined.crafting_table: #20, 102(1%)
minecraft.crafted.diamond_block: #20, 164(1%)
minecraft.picked_up.arrow: #20, 1025(1%)
minecraft.crafted.diamond_sword: #20, 2(1%)
minecraft.picked_up.diamond_helmet: #20, 5(1%)
minecraft.mined.grass: #20, 778(1%)
minecraft.picked_up.netherite_sword: #20, 5(1%)
minecraft.custom.aviate_one_cm: #20, 158586223(1%)
minecraft.mined.oak_wall_sign: #20, 12(1%)
minecraft.picked_up.netherite_helmet: #20, 4(1%)
minecraft.picked_up.stone_button: #20, 39(1%)
minecraft.picked_up.chainmail_boots: #20, 1(1%)
minecraft.used.milk_bucket: #20, 1(1%)
minecraft.mined.gravel: #20, 4992(1%)
minecraft.used.diamond_shovel: #20, 22077(1%)
minecraft.picked_up.apple: #20, 46(1%)
minecraft.picked_up.iron_bars: #20, 63(1%)
minecraft.picked_up.painting: #20, 21(1%)
minecraft.picked_up.oak_sapling: #20, 336(1%)
minecraft.crafted.spruce_stairs: #20, 76(1%)
minecraft.picked_up.nether_wart_block: #20, 357(1%)
minecraft.used.tripwire_hook: #20, 4(1%)
minecraft.picked_up.blackstone: #20, 1480(1%)
minecraft.dropped.netherite_pickaxe: #20, 1(1%)
minecraft.picked_up.shroomlight: #20, 56(1%)
minecraft.picked_up.birch_sapling: #20, 75(0%)
minecraft.used.potion: #20, 11(0%)
minecraft.crafted.iron_bars: #20, 160(0%)
minecraft.crafted.dark_oak_trapdoor: #20, 54(0%)
minecraft.killed.ghast: #20, 15(0%)
minecraft.picked_up.stone_slab: #20, 141(0%)
minecraft.used.granite: #20, 137(0%)
minecraft.dropped.crafting_table: #20, 2(0%)
minecraft.used.powered_rail: #20, 83(0%)
minecraft.mined.birch_sign: #20, 2(0%)
minecraft.mined.cracked_stone_bricks: #20, 6(0%)
minecraft.dropped.compass: #20, 3(0%)
minecraft.used.chain: #20, 38(0%)
minecraft.picked_up.leather_helmet: #20, 4(0%)
minecraft.crafted.iron_shovel: #20, 2(0%)
minecraft.mined.dark_oak_slab: #20, 19(0%)
minecraft.picked_up.crimson_fungus: #20, 13(0%)
minecraft.mined.clay: #20, 60(0%)
minecraft.mined.white_wool: #20, 10(0%)
minecraft.used.obsidian: #20, 74(0%)
minecraft.used.oak_leaves: #20, 444(0%)
minecraft.picked_up.acacia_log: #20, 78(0%)
minecraft.used.cauldron: #20, 2(0%)
minecraft.used.spruce_planks: #20, 115(0%)
minecraft.mined.red_carpet: #20, 4(0%)
minecraft.mined.bee_nest: #20, 1(0%)
minecraft.picked_up.bee_nest: #20, 1(0%)
minecraft.picked_up.golden_apple: #20, 1(0%)
minecraft.picked_up.dark_oak_stairs: #20, 12(0%)
minecraft.crafted.dark_oak_stairs: #20, 20(0%)
minecraft.picked_up.polished_basalt: #20, 12(0%)
minecraft.mined.acacia_log: #20, 41(0%)
minecraft.picked_up.birch_planks: #20, 18(0%)
minecraft.crafted.black_dye: #20, 130(0%)
minecraft.mined.diamond_block: #20, 8(0%)
minecraft.picked_up.cocoa_beans: #20, 57(0%)
minecraft.dropped.gold_ingot: #20, 5(0%)
minecraft.crafted.light_gray_carpet: #20, 45(0%)
minecraft.picked_up.warped_roots: #20, 35(0%)
minecraft.used.polished_andesite_slab: #20, 20(0%)
minecraft.used.dark_oak_slab: #20, 34(0%)
minecraft.dropped.lever: #20, 1(0%)
minecraft.picked_up.twisting_vines: #20, 3(0%)
minecraft.mined.nether_brick_fence: #20, 1(0%)
minecraft.used.lapis_ore: #20, 4(0%)
minecraft.picked_up.stripped_birch_log: #20, 4(0%)
minecraft.mined.gold_block: #20, 5(0%)
minecraft.dropped.apple: #20, 1(0%)
minecraft.picked_up.nether_brick_fence: #20, 1(0%)
minecraft.used.dark_oak_fence: #20, 5(0%)
minecraft.mined.nether_brick_slab: #20, 2(0%)
minecraft.picked_up.azure_bluet: #20, 11(0%)
minecraft.picked_up.red_sand: #20, 64(0%)
minecraft.picked_up.gray_carpet: #20, 5(0%)
minecraft.crafted.warped_planks: #20, 16(0%)
minecraft.picked_up.gray_concrete: #20, 43(0%)
minecraft.dropped.white_concrete: #20, 1(0%)
minecraft.mined.gray_wool: #20, 1(0%)
minecraft.crafted.jungle_slab: #20, 6(0%)
minecraft.mined.andesite_slab: #20, 1(0%)
minecraft.dropped.coarse_dirt: #20, 1(0%)
minecraft.used.gray_wool: #20, 4(0%)
minecraft.picked_up.andesite_slab: #20, 1(0%)
minecraft.used.warped_wart_block: #20, 1(0%)
minecraft.used.polished_blackstone_wall: #20, 1(0%)
minecraft.picked_up.andesite: #21, 7018(2%)
minecraft.mined.andesite: #21, 6817(2%)
minecraft.custom.interact_with_smithing_table: #21, 14(2%)
minecraft.picked_up.crafting_table: #21, 109(1%)
minecraft.picked_up.oak_sign: #21, 55(1%)
minecraft.picked_up.leather_leggings: #21, 5(1%)
minecraft.mined.oak_planks: #21, 120(1%)
minecraft.picked_up.golden_boots: #21, 5(1%)
minecraft.mined.torch: #21, 551(1%)
minecraft.picked_up.diamond_axe: #21, 5(1%)
minecraft.picked_up.netherite_leggings: #21, 4(1%)
minecraft.crafted.oak_sign: #21, 57(1%)
minecraft.picked_up.diamond_leggings: #21, 4(1%)
minecraft.mined.hopper: #21, 96(1%)
minecraft.picked_up.oak_trapdoor: #21, 24(1%)
minecraft.picked_up.netherite_pickaxe: #21, 8(1%)
minecraft.mined.dirt: #21, 8798(1%)
minecraft.used.hopper: #21, 296(1%)
minecraft.picked_up.oak_boat: #21, 10(1%)
minecraft.picked_up.diamond_pickaxe: #21, 9(1%)
minecraft.used.ladder: #21, 73(1%)
minecraft.crafted.iron_axe: #21, 2(1%)
minecraft.picked_up.oak_log: #21, 1297(1%)
minecraft.picked_up.netherite_boots: #21, 4(1%)
minecraft.custom.interact_with_brewingstand: #21, 59(1%)
minecraft.mined.anvil: #21, 7(1%)
minecraft.crafted.stone_bricks: #21, 1688(1%)
minecraft.used.netherrack: #21, 1627(1%)
minecraft.crafted.item_frame: #21, 64(1%)
minecraft.picked_up.redstone_block: #21, 70(1%)
minecraft.used.redstone_torch: #21, 76(1%)
minecraft.mined.oak_log: #21, 909(1%)
minecraft.picked_up.magma_cream: #21, 29(1%)
minecraft.picked_up.bow: #21, 35(1%)
minecraft.picked_up.white_bed: #21, 20(1%)
minecraft.mined.white_bed: #21, 19(1%)
minecraft.used.white_bed: #21, 20(0%)
minecraft.used.campfire: #21, 18(1%)
minecraft.mined.sugar_cane: #21, 436(0%)
minecraft.crafted.chain: #21, 81(1%)
minecraft.used.redstone: #21, 343(0%)
minecraft.crafted.iron_helmet: #21, 1(0%)
minecraft.picked_up.birch_log: #21, 350(0%)
minecraft.crafted.repeater: #21, 66(0%)
minecraft.crafted.furnace: #21, 38(0%)
minecraft.mined.stone_bricks: #21, 278(0%)
minecraft.picked_up.comparator: #21, 18(0%)
minecraft.picked_up.compass: #21, 4(0%)
minecraft.dropped.iron_sword: #21, 1(0%)
minecraft.used.sand: #21, 1240(0%)
minecraft.dropped.granite: #21, 198(0%)
minecraft.dropped.coal: #21, 21(0%)
minecraft.picked_up.golden_carrot: #21, 132(0%)
minecraft.picked_up.anvil: #21, 7(0%)
minecraft.mined.spruce_planks: #21, 63(0%)
minecraft.used.stone_bricks: #21, 774(0%)
minecraft.mined.birch_log: #21, 244(0%)
minecraft.picked_up.tripwire_hook: #21, 4(0%)
minecraft.picked_up.bucket: #21, 7(0%)
minecraft.picked_up.cobblestone_slab: #21, 28(0%)
minecraft.used.carrot: #21, 78(0%)
minecraft.dropped.written_book: #21, 2(0%)
minecraft.used.oak_fence: #21, 41(0%)
minecraft.used.iron_shovel: #21, 311(0%)
minecraft.used.glass_bottle: #21, 33(0%)
minecraft.killed.skeleton: #21, 322(0%)
minecraft.crafted.stone_slab: #21, 132(0%)
minecraft.picked_up.mossy_stone_bricks: #21, 3(0%)
minecraft.picked_up.nether_gold_ore: #21, 12(0%)
minecraft.picked_up.kelp: #21, 332(0%)
minecraft.used.dropper: #21, 12(0%)
minecraft.picked_up.mossy_cobblestone: #21, 5(0%)
minecraft.mined.cobblestone_wall: #21, 3(0%)
minecraft.picked_up.hay_block: #21, 5(0%)
minecraft.used.red_carpet: #21, 24(0%)
minecraft.picked_up.cooked_porkchop: #21, 13(0%)
minecraft.picked_up.red_carpet: #21, 4(0%)
minecraft.dropped.oak_fence: #21, 1(0%)
minecraft.crafted.cauldron: #21, 2(0%)
minecraft.picked_up.glowstone_dust: #21, 11(0%)
minecraft.used.white_wool: #21, 24(0%)
minecraft.mined.mossy_stone_bricks: #21, 1(0%)
minecraft.picked_up.cobblestone_wall: #21, 3(0%)
minecraft.mined.white_concrete_powder: #21, 4(0%)
minecraft.mined.redstone_lamp: #21, 1(0%)
minecraft.used.blackstone: #21, 53(0%)
minecraft.custom.horse_one_cm: #21, 5354(0%)
minecraft.picked_up.redstone_lamp: #21, 1(0%)
minecraft.dropped.spruce_planks: #21, 2(0%)
minecraft.mined.cyan_terracotta: #21, 18(0%)
minecraft.crafted.stone_brick_stairs: #21, 4(0%)
minecraft.used.dark_oak_planks: #21, 14(0%)
minecraft.picked_up.potato: #21, 12(0%)
minecraft.picked_up.polished_blackstone_wall: #21, 1(0%)
minecraft.used.dark_oak_log: #21, 10(0%)
minecraft.mined.green_carpet: #21, 1(0%)
minecraft.picked_up.magma_block: #21, 28(0%)
minecraft.mined.jungle_leaves: #21, 32(0%)
minecraft.used.nether_brick_slab: #21, 6(0%)
minecraft.used.birch_planks: #21, 9(0%)
minecraft.picked_up.golden_sword: #21, 1(0%)
minecraft.picked_up.melon_slice: #21, 13(0%)
minecraft.picked_up.emerald_block: #21, 2(0%)
minecraft.picked_up.polished_blackstone_bricks: #21, 9(0%)
minecraft.picked_up.green_carpet: #21, 1(0%)
minecraft.picked_up.black_wool: #21, 3(0%)
minecraft.used.gold_block: #21, 2(0%)
minecraft.mined.orange_terracotta: #21, 16(0%)
minecraft.used.sandstone: #21, 16(0%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #21, 2(0%)
minecraft.used.crimson_stem: #21, 1(0%)
minecraft.dropped.golden_carrot: #21, 1(0%)
minecraft.picked_up.light_blue_concrete: #21, 2(0%)
minecraft.used.green_carpet: #21, 1(0%)
minecraft.picked_up.orange_concrete: #21, 1(0%)
minecraft.mined.cracked_polished_blackstone_bricks: #21, 1(0%)
minecraft.used.jungle_log: #21, 1(0%)
minecraft.used.warped_stem: #21, 1(0%)
minecraft.used.red_concrete: #21, 1(0%)
minecraft.crafted.glowstone: #21, 1(0%)
minecraft.picked_up.yellow_terracotta: #21, 2(0%)
minecraft.killed.slime: #21, 1(0%)
minecraft.custom.walk_on_water_one_cm: #22, 1423091(1%)
minecraft.custom.sleep_in_bed: #22, 527(1%)
minecraft.custom.open_chest: #22, 8491(1%)
minecraft.used.crafting_table: #22, 109(1%)
minecraft.crafted.oak_planks: #22, 4252(1%)
minecraft.killed.zombie: #22, 393(1%)
minecraft.crafted.birch_planks: #22, 2296(1%)
minecraft.custom.fall_one_cm: #22, 2125209(1%)
minecraft.crafted.diamond_pickaxe: #22, 5(1%)
minecraft.mined.cobblestone: #22, 668(1%)
minecraft.picked_up.torch: #22, 1645(1%)
minecraft.dropped.diamond_pickaxe: #22, 3(1%)
minecraft.picked_up.leather_chestplate: #22, 4(1%)
minecraft.crafted.stick: #22, 5316(1%)
minecraft.crafted.diamond_shovel: #22, 3(1%)
minecraft.used.diamond_sword: #22, 3160(1%)
minecraft.picked_up.gravel: #22, 5989(1%)
minecraft.custom.drop: #22, 1676(1%)
minecraft.crafted.ladder: #22, 84(1%)
minecraft.picked_up.writable_book: #22, 3(1%)
minecraft.picked_up.elytra: #22, 10(1%)
minecraft.custom.deaths: #22, 18(1%)
minecraft.used.dispenser: #22, 26(1%)
minecraft.crafted.redstone_torch: #22, 467(1%)
minecraft.picked_up.obsidian: #22, 177(1%)
minecraft.picked_up.dirt: #22, 8927(1%)
minecraft.crafted.flint_and_steel: #22, 2(1%)
minecraft.custom.inspect_dispenser: #22, 106(1%)
minecraft.crafted.crafting_table: #22, 15(1%)
minecraft.crafted.redstone: #22, 1593(1%)
minecraft.custom.interact_with_lectern: #22, 50(0%)
minecraft.custom.interact_with_beacon: #22, 8(0%)
minecraft.used.sugar_cane: #22, 71(0%)
minecraft.picked_up.repeater: #22, 46(0%)
minecraft.crafted.lever: #22, 25(0%)
minecraft.used.lever: #22, 31(0%)
minecraft.picked_up.lever: #22, 23(0%)
minecraft.mined.redstone_wire: #22, 79(0%)
minecraft.picked_up.diamond_boots: #22, 4(0%)
minecraft.used.piston: #22, 65(0%)
minecraft.mined.sand: #22, 8579(0%)
minecraft.picked_up.spruce_planks: #22, 120(0%)
minecraft.picked_up.sand: #22, 9338(0%)
minecraft.picked_up.coal_ore: #22, 385(0%)
minecraft.mined.obsidian: #22, 155(0%)
