stat, rank, value, (percentage) 
minecraft.picked_up.smooth_red_sandstone_slab: #7, 4(2%)
minecraft.used.azure_bluet: #7, 5(1%)
minecraft.used.blue_orchid: #7, 5(1%)
minecraft.used.yellow_banner: #7, 1(1%)
minecraft.crafted.redstone_block: #8, 2235(4%)
minecraft.picked_up.purple_dye: #7, 2(0%)
minecraft.picked_up.bookshelf: #8, 132(5%)
minecraft.picked_up.coal: #8, 13954(4%)
minecraft.mined.ender_chest: #8, 519(3%)
minecraft.used.ender_chest: #8, 525(3%)
minecraft.picked_up.ender_chest: #8, 526(3%)
minecraft.picked_up.smooth_sandstone_slab: #8, 278(4%)
minecraft.mined.birch_fence: #8, 59(4%)
minecraft.used.oak_planks: #8, 495(3%)
minecraft.used.white_concrete_powder: #8, 8596(3%)
minecraft.mined.brown_concrete_powder: #8, 22(3%)
minecraft.picked_up.smooth_sandstone: #8, 991(3%)
minecraft.used.mossy_cobblestone_slab: #8, 32(4%)
minecraft.used.polished_diorite: #8, 297(2%)
minecraft.crafted.cyan_bed: #8, 4(4%)
minecraft.picked_up.light_gray_concrete_powder: #8, 710(2%)
minecraft.dropped.packed_ice: #8, 79(2%)
minecraft.dropped.birch_fence: #8, 10(3%)
minecraft.mined.smooth_sandstone: #8, 404(2%)
minecraft.used.chest_minecart: #8, 5(2%)
minecraft.picked_up.white_concrete_powder: #8, 3332(2%)
minecraft.crafted.chest_minecart: #8, 5(2%)
minecraft.picked_up.sandstone_wall: #8, 71(2%)
minecraft.mined.mossy_stone_brick_slab: #8, 1(4%)
minecraft.mined.polished_granite_slab: #8, 4(3%)
minecraft.used.mossy_stone_brick_slab: #8, 8(3%)
minecraft.broken.iron_hoe: #8, 1(4%)
minecraft.picked_up.cyan_wool: #8, 115(2%)
minecraft.picked_up.smooth_red_sandstone_stairs: #8, 5(3%)
minecraft.mined.smooth_red_sandstone_stairs: #8, 5(3%)
minecraft.crafted.smooth_quartz_stairs: #8, 231(2%)
minecraft.used.iron_hoe: #8, 453(1%)
minecraft.mined.potted_cactus: #8, 1(2%)
minecraft.crafted.cyan_banner: #8, 4(2%)
minecraft.used.cyan_banner: #8, 4(2%)
minecraft.picked_up.beef: #9, 1334(5%)
minecraft.picked_up.mossy_stone_brick_slab: #8, 1(1%)
minecraft.dropped.ender_pearl: #9, 18792(5%)
minecraft.picked_up.beetroot: #8, 15(1%)
minecraft.mined.red_nether_brick_slab: #8, 8(1%)
minecraft.picked_up.red_nether_brick_slab: #8, 14(0%)
minecraft.crafted.light_gray_banner: #8, 1(0%)
minecraft.used.red_tulip: #8, 2(0%)
minecraft.picked_up.filled_map: #9, 199(4%)
minecraft.custom.animals_bred: #9, 1152(4%)
minecraft.dropped.cooked_beef: #9, 134(4%)
minecraft.picked_up.quartz: #9, 5587(3%)
minecraft.used.white_concrete: #9, 8206(3%)
minecraft.mined.blue_concrete: #9, 513(3%)
minecraft.mined.flower_pot: #9, 8(3%)
minecraft.dropped.birch_log: #9, 64(3%)
minecraft.used.map: #9, 15(3%)
minecraft.crafted.blue_concrete_powder: #9, 512(2%)
minecraft.mined.light_gray_concrete_powder: #9, 68(2%)
minecraft.crafted.birch_stairs: #9, 136(2%)
minecraft.used.nether_gold_ore: #9, 12(3%)
minecraft.crafted.loom: #9, 32(2%)
minecraft.used.blue_concrete: #9, 259(2%)
minecraft.used.brown_mushroom_block: #9, 210(2%)
minecraft.crafted.golden_leggings: #9, 2(2%)
minecraft.used.sandstone_wall: #9, 180(1%)
minecraft.mined.acacia_planks: #9, 22(2%)
minecraft.mined.sandstone_wall: #9, 42(1%)
minecraft.mined.red_wall_banner: #9, 1(2%)
minecraft.dropped.coal_block: #9, 28(2%)
minecraft.picked_up.blue_wool: #9, 80(1%)
minecraft.used.sandstone_stairs: #9, 139(1%)
