stat, rank, value, (percentage) 
minecraft.dropped.diamond_block: #3, 316(12%)
minecraft.dropped.damaged_anvil: #2, 3(18%)
minecraft.mined.beehive: #2, 69(9%)
minecraft.dropped.jungle_log: #3, 262(13%)
minecraft.dropped.stone_shovel: #3, 85(21%)
minecraft.dropped.gold_nugget: #3, 1945(10%)
minecraft.crafted.coal_block: #3, 3289(9%)
minecraft.used.jungle_button: #3, 84(14%)
minecraft.killed.horse: #2, 17(11%)
minecraft.mined.stone: #3, 602171(9%)
minecraft.used.furnace: #3, 624(9%)
minecraft.picked_up.dead_tube_coral_fan: #2, 3(30%)
minecraft.mined.smooth_stone_slab: #3, 2729(10%)
minecraft.crafted.light_weighted_pressure_plate: #2, 1058(8%)
minecraft.picked_up.jack_o_lantern: #3, 95(12%)
minecraft.killed_by.creeper: #3, 15(10%)
minecraft.dropped.terracotta: #3, 641(11%)
minecraft.picked_up.coal: #3, 31231(9%)
minecraft.used.cobblestone: #3, 17454(9%)
minecraft.dropped.cobblestone: #3, 18987(9%)
minecraft.mined.granite: #3, 32614(9%)
minecraft.picked_up.lapis_lazuli: #3, 12549(9%)
minecraft.used.jungle_stairs: #3, 433(14%)
minecraft.mined.blast_furnace: #3, 55(10%)
minecraft.crafted.stone_brick_stairs: #3, 972(10%)
minecraft.crafted.smooth_stone: #3, 6502(8%)
minecraft.dropped.jungle_pressure_plate: #2, 1(50%)
minecraft.dropped.enchanting_table: #2, 1(33%)
minecraft.dropped.hopper_minecart: #2, 10(33%)
minecraft.picked_up.iron_helmet: #3, 38(9%)
minecraft.dropped.pink_dye: #2, 22(12%)
minecraft.picked_up.white_concrete_powder: #3, 17736(8%)
minecraft.used.cornflower: #3, 40(12%)
minecraft.dropped.grass_block: #3, 2609(9%)
minecraft.dropped.red_carpet: #3, 77(13%)
minecraft.broken.diamond_pickaxe: #3, 6(10%)
minecraft.crafted.stone_hoe: #3, 32(9%)
minecraft.dropped.cyan_shulker_box: #2, 2(20%)
minecraft.crafted.slime_ball: #3, 5734(11%)
minecraft.crafted.jungle_pressure_plate: #3, 36(17%)
minecraft.mined.coal_ore: #3, 17310(7%)
minecraft.picked_up.stone_brick_slab: #3, 1900(7%)
minecraft.dropped.cyan_concrete: #3, 89(21%)
minecraft.dropped.stone_hoe: #3, 39(12%)
minecraft.crafted.white_shulker_box: #3, 19(7%)
