stat, rank, value, (percentage) 
minecraft.used.yellow_stained_glass_pane: #6, 38(1%)
minecraft.picked_up.poppy: #7, 2332(5%)
minecraft.picked_up.dropper: #7, 193(5%)
minecraft.dropped.cake: #6, 1(2%)
minecraft.used.dead_horn_coral_fan: #6, 1(2%)
minecraft.crafted.iron_bars: #7, 1760(5%)
minecraft.mined.jungle_door: #6, 1(2%)
minecraft.mined.pink_carpet: #6, 6(1%)
minecraft.dropped.diamond_sword: #7, 13(5%)
minecraft.dropped.blackstone_stairs: #6, 3(1%)
minecraft.picked_up.yellow_stained_glass_pane: #6, 16(1%)
minecraft.used.dead_brain_coral_fan: #6, 1(1%)
minecraft.crafted.pink_wool: #6, 4(1%)
minecraft.dropped.light_blue_carpet: #6, 6(1%)
minecraft.dropped.polished_blackstone_wall: #6, 4(1%)
minecraft.used.cod: #6, 12(1%)
minecraft.dropped.orange_dye: #6, 7(1%)
minecraft.dropped.polished_blackstone_stairs: #6, 1(1%)
minecraft.dropped.jungle_fence_gate: #6, 1(1%)
minecraft.mined.white_tulip: #7, 44(6%)
minecraft.dropped.purple_terracotta: #6, 1(1%)
minecraft.dropped.redstone_block: #7, 109(6%)
minecraft.dropped.purple_dye: #6, 2(0%)
minecraft.mined.glowstone: #7, 453(4%)
minecraft.dropped.green_concrete_powder: #6, 2(0%)
minecraft.crafted.purpur_slab: #6, 6(0%)
minecraft.used.end_stone_brick_slab: #6, 2(0%)
minecraft.picked_up.end_stone_brick_slab: #6, 1(0%)
minecraft.crafted.dispenser: #7, 172(4%)
minecraft.picked_up.fire_charge: #7, 112(6%)
minecraft.picked_up.iron_boots: #7, 31(4%)
minecraft.picked_up.purple_concrete: #7, 200(5%)
minecraft.mined.lime_shulker_box: #7, 112(5%)
minecraft.picked_up.crimson_stairs: #7, 66(7%)
minecraft.dropped.soul_lantern: #7, 55(6%)
minecraft.mined.note_block: #7, 55(5%)
minecraft.picked_up.honey_block: #7, 288(4%)
minecraft.used.bread: #7, 179(4%)
minecraft.picked_up.netherite_boots: #7, 21(4%)
minecraft.picked_up.orange_concrete: #7, 435(4%)
minecraft.crafted.heavy_weighted_pressure_plate: #7, 34(4%)
minecraft.used.white_shulker_box: #7, 195(4%)
minecraft.used.yellow_concrete_powder: #7, 1282(4%)
minecraft.dropped.jungle_planks: #7, 86(4%)
minecraft.mined.purple_concrete: #7, 199(4%)
minecraft.mined.azure_bluet: #7, 61(4%)
minecraft.dropped.paper: #7, 1018(3%)
minecraft.mined.bamboo_sapling: #7, 13(4%)
minecraft.mined.white_shulker_box: #7, 173(3%)
minecraft.picked_up.white_shulker_box: #7, 174(3%)
minecraft.killed_by.skeleton: #7, 4(4%)
minecraft.picked_up.carved_pumpkin: #7, 156(3%)
minecraft.dropped.repeater: #7, 43(4%)
minecraft.picked_up.jungle_leaves: #7, 1723(3%)
minecraft.dropped.grass: #7, 51(4%)
minecraft.mined.cyan_concrete: #7, 1024(3%)
minecraft.picked_up.spruce_boat: #7, 17(3%)
minecraft.crafted.yellow_concrete_powder: #7, 1248(4%)
minecraft.crafted.stone_pickaxe: #7, 22(3%)
minecraft.used.jack_o_lantern: #7, 114(4%)
minecraft.dropped.pufferfish: #7, 6(3%)
minecraft.dropped.crimson_nylium: #7, 33(4%)
minecraft.crafted.jungle_slab: #7, 816(3%)
minecraft.mined.spruce_wood: #7, 20(3%)
minecraft.dropped.oak_sapling: #7, 183(3%)
minecraft.picked_up.spruce_wood: #7, 19(3%)
minecraft.used.jungle_slab: #7, 520(4%)
minecraft.dropped.iron_boots: #7, 75(3%)
minecraft.picked_up.cod: #7, 774(2%)
minecraft.mined.dark_prismarine_slab: #7, 46(5%)
minecraft.crafted.magenta_carpet: #7, 99(4%)
minecraft.picked_up.nether_brick: #7, 233(3%)
minecraft.used.music_disc_13: #7, 1(5%)
minecraft.crafted.yellow_carpet: #7, 576(3%)
minecraft.killed_by.guardian: #7, 1(6%)
minecraft.used.yellow_carpet: #7, 511(2%)
minecraft.dropped.ancient_debris: #7, 17(4%)
minecraft.dropped.vine: #7, 20(4%)
minecraft.mined.brown_wool: #7, 35(2%)
minecraft.used.cobblestone_slab: #8, 1571(6%)
minecraft.crafted.crimson_sign: #7, 12(3%)
minecraft.used.stone_hoe: #7, 195(2%)
minecraft.dropped.wheat: #7, 106(2%)
minecraft.dropped.stripped_spruce_log: #7, 4(2%)
minecraft.dropped.yellow_shulker_box: #7, 1(4%)
minecraft.mined.cobblestone: #8, 3654(6%)
minecraft.crafted.polished_blackstone_pressure_plate: #7, 27(3%)
minecraft.mined.blackstone_stairs: #7, 31(2%)
minecraft.crafted.mossy_stone_brick_slab: #7, 12(5%)
minecraft.used.bee_nest: #7, 12(3%)
minecraft.mined.sponge: #7, 109(2%)
minecraft.dropped.white_concrete: #8, 201(7%)
minecraft.dropped.spruce_log: #7, 203(2%)
minecraft.dropped.lapis_ore: #7, 12(2%)
minecraft.picked_up.magenta_concrete: #7, 130(2%)
minecraft.dropped.iron_door: #7, 2(2%)
minecraft.used.wet_sponge: #7, 109(2%)
minecraft.used.stripped_acacia_log: #7, 8(3%)
minecraft.dropped.poppy: #7, 1684(1%)
minecraft.used.crimson_sign: #7, 9(2%)
minecraft.crafted.stone_button: #7, 758(1%)
minecraft.used.stone_button: #7, 689(1%)
minecraft.mined.cake: #7, 1(3%)
minecraft.picked_up.jungle_fence_gate: #7, 8(2%)
minecraft.broken.stone_hoe: #7, 1(3%)
minecraft.dropped.feather: #7, 106(1%)
minecraft.dropped.polished_blackstone: #7, 11(2%)
minecraft.crafted.purple_shulker_box: #7, 1(3%)
minecraft.dropped.bubble_coral_fan: #7, 1(3%)
minecraft.dropped.lime_concrete: #7, 13(2%)
minecraft.dropped.light_blue_concrete: #7, 12(2%)
minecraft.mined.redstone_wire: #8, 910(5%)
minecraft.used.lever: #8, 346(5%)
minecraft.dropped.gold_ore: #8, 41(7%)
minecraft.dropped.yellow_carpet: #7, 7(2%)
minecraft.picked_up.red_stained_glass_pane: #7, 12(2%)
minecraft.mined.redstone_block: #8, 211(5%)
minecraft.mined.lever: #8, 85(5%)
minecraft.picked_up.magenta_stained_glass: #7, 7(1%)
minecraft.custom.play_noteblock: #7, 82(1%)
minecraft.crafted.iron_chestplate: #8, 8(5%)
minecraft.dropped.orange_stained_glass: #7, 3(2%)
minecraft.mined.magenta_carpet: #7, 5(1%)
minecraft.crafted.diamond_pickaxe: #8, 23(5%)
minecraft.used.slime_block: #8, 868(5%)
minecraft.used.soul_sand: #8, 1133(5%)
minecraft.crafted.diamond_hoe: #8, 5(5%)
minecraft.dropped.grindstone: #7, 3(1%)
minecraft.dropped.cocoa_beans: #7, 93(1%)
minecraft.picked_up.dead_horn_coral_fan: #7, 1(2%)
minecraft.picked_up.polished_basalt: #8, 454(5%)
minecraft.crafted.pink_stained_glass: #7, 24(1%)
minecraft.crafted.fletching_table: #7, 4(1%)
minecraft.used.ancient_debris: #7, 16(1%)
minecraft.dropped.quartz_pillar: #7, 3(1%)
minecraft.dropped.purple_concrete: #7, 2(1%)
minecraft.dropped.white_banner: #7, 8(0%)
minecraft.dropped.yellow_wool: #7, 8(1%)
minecraft.used.diamond_shovel: #8, 169083(4%)
minecraft.picked_up.blue_carpet: #7, 12(1%)
minecraft.dropped.light_blue_dye: #7, 3(1%)
minecraft.picked_up.dead_brain_coral_fan: #7, 1(1%)
minecraft.dropped.light_blue_stained_glass_pane: #7, 3(1%)
minecraft.mined.stripped_crimson_hyphae: #7, 1(1%)
minecraft.custom.inspect_dropper: #8, 1238(4%)
minecraft.picked_up.white_terracotta: #8, 3276(5%)
minecraft.mined.prismarine_brick_slab: #7, 6(0%)
minecraft.dropped.stone_brick_wall: #7, 5(0%)
minecraft.used.mossy_stone_brick_stairs: #7, 1(0%)
minecraft.picked_up.light_gray_terracotta: #8, 3245(5%)
minecraft.picked_up.prismarine_brick_slab: #7, 6(0%)
minecraft.dropped.green_terracotta: #7, 1(0%)
minecraft.crafted.end_stone_brick_slab: #7, 6(0%)
minecraft.crafted.chiseled_sandstone: #7, 3(0%)
minecraft.crafted.blue_ice: #7, 7(0%)
minecraft.used.grass_block: #8, 15347(4%)
minecraft.dropped.acacia_log: #8, 67(6%)
minecraft.used.wooden_sword: #8, 22(5%)
minecraft.used.diamond_hoe: #8, 6904(4%)
minecraft.mined.tripwire: #8, 94(4%)
minecraft.picked_up.lime_shulker_box: #8, 112(5%)
minecraft.crafted.scaffolding: #8, 1674(4%)
minecraft.mined.glass_pane: #8, 65(4%)
minecraft.used.lime_shulker_box: #8, 115(5%)
minecraft.custom.bell_ring: #8, 67(4%)
minecraft.used.shears: #8, 25777(4%)
minecraft.used.polished_blackstone: #8, 1521(4%)
minecraft.mined.cyan_shulker_box: #8, 93(4%)
minecraft.picked_up.cyan_shulker_box: #8, 93(4%)
minecraft.mined.oak_leaves: #8, 29733(3%)
minecraft.crafted.iron_hoe: #8, 4(4%)
minecraft.used.crimson_stairs: #8, 94(5%)
minecraft.used.cyan_shulker_box: #8, 91(4%)
minecraft.picked_up.cobblestone_slab: #8, 344(3%)
minecraft.mined.purpur_block: #8, 260(4%)
minecraft.picked_up.grass_block: #8, 18877(3%)
minecraft.picked_up.jungle_slab: #8, 307(4%)
minecraft.mined.bee_nest: #8, 17(3%)
minecraft.crafted.cyan_stained_glass_pane: #8, 160(4%)
minecraft.crafted.lead: #8, 34(4%)
minecraft.killed.shulker: #8, 298(4%)
minecraft.crafted.iron_block: #8, 6293(3%)
minecraft.mined.light_gray_terracotta: #8, 1787(3%)
minecraft.dropped.flint_and_steel: #8, 6(3%)
minecraft.crafted.stone_brick_wall: #8, 180(3%)
minecraft.dropped.purpur_stairs: #8, 13(4%)
minecraft.picked_up.iron_nugget: #8, 506(3%)
minecraft.mined.orange_concrete: #8, 454(3%)
minecraft.crafted.blast_furnace: #8, 49(3%)
minecraft.picked_up.wooden_pickaxe: #8, 1(6%)
minecraft.dropped.spruce_door: #8, 8(4%)
minecraft.custom.open_chest: #9, 38222(5%)
minecraft.crafted.dark_prismarine_slab: #8, 306(5%)
minecraft.used.light_gray_terracotta: #8, 883(3%)
minecraft.used.golden_shovel: #8, 91(3%)
minecraft.used.smithing_table: #8, 34(2%)
minecraft.crafted.light_blue_shulker_box: #8, 7(3%)
minecraft.mined.jukebox: #8, 3(3%)
minecraft.used.obsidian: #8, 663(2%)
minecraft.mined.purple_carpet: #8, 19(2%)
minecraft.used.lime_concrete: #8, 503(2%)
minecraft.picked_up.golden_sword: #8, 78(2%)
minecraft.crafted.light_gray_shulker_box: #8, 6(2%)
minecraft.dropped.iron_ingot: #8, 717(2%)
minecraft.used.dark_prismarine_slab: #8, 306(4%)
minecraft.dropped.redstone_ore: #8, 32(2%)
minecraft.dropped.pumpkin: #8, 316(2%)
minecraft.picked_up.music_disc_chirp: #8, 2(4%)
minecraft.used.oak_sapling: #8, 729(2%)
minecraft.mined.dispenser: #9, 100(6%)
minecraft.crafted.smithing_table: #8, 32(2%)
minecraft.picked_up.dark_oak_leaves: #8, 175(2%)
minecraft.used.orange_carpet: #8, 279(2%)
minecraft.crafted.filled_map: #8, 55(2%)
minecraft.dropped.magenta_stained_glass: #8, 3(3%)
minecraft.dropped.cyan_stained_glass: #8, 9(3%)
minecraft.crafted.mossy_cobblestone_stairs: #8, 4(3%)
minecraft.used.suspicious_stew: #8, 1(3%)
minecraft.crafted.polished_blackstone_stairs: #8, 112(2%)
minecraft.picked_up.egg: #8, 211(1%)
minecraft.picked_up.lime_wool: #8, 129(1%)
minecraft.dropped.ghast_tear: #8, 6(1%)
minecraft.dropped.white_wool: #8, 90(1%)
minecraft.used.purple_concrete_powder: #8, 144(1%)
minecraft.dropped.light_gray_stained_glass: #8, 20(1%)
minecraft.crafted.spruce_wood: #8, 72(1%)
minecraft.used.red_shulker_box: #9, 402(5%)
minecraft.mined.red_shulker_box: #9, 395(5%)
minecraft.used.red_stained_glass_pane: #8, 26(1%)
minecraft.mined.iron_ore: #9, 4774(5%)
minecraft.picked_up.red_shulker_box: #9, 399(5%)
minecraft.used.bow: #9, 5446(5%)
minecraft.crafted.crafting_table: #9, 123(5%)
minecraft.used.blue_carpet: #8, 64(1%)
minecraft.picked_up.white_concrete: #9, 5811(5%)
minecraft.dropped.jungle_stairs: #8, 1(1%)
minecraft.crafted.lime_wool: #8, 8(1%)
minecraft.dropped.stripped_birch_log: #8, 2(1%)
minecraft.dropped.gravel: #9, 1572(5%)
minecraft.picked_up.iron_ingot: #8, 3583(0%)
minecraft.picked_up.iron_leggings: #9, 10(5%)
minecraft.dropped.hay_block: #8, 11(1%)
minecraft.dropped.shulker_shell: #8, 5(1%)
minecraft.dropped.black_banner: #8, 4(1%)
minecraft.dropped.dispenser: #8, 4(1%)
minecraft.picked_up.blue_dye: #8, 37(0%)
minecraft.crafted.prismarine_brick_slab: #8, 6(1%)
minecraft.crafted.popped_chorus_fruit: #8, 2(1%)
minecraft.crafted.magenta_concrete_powder: #8, 64(0%)
minecraft.used.pink_stained_glass: #8, 3(0%)
minecraft.dropped.beetroot_seeds: #8, 2(0%)
minecraft.crafted.packed_ice: #8, 46(0%)
minecraft.dropped.acacia_slab: #8, 1(0%)
minecraft.custom.trigger_trapped_chest: #8, 1(0%)
minecraft.crafted.orange_wool: #8, 2(0%)
minecraft.dropped.pink_wool: #8, 2(0%)
minecraft.dropped.spruce_sapling: #9, 54(5%)
minecraft.killed.zombie_villager: #9, 20(4%)
minecraft.mined.gravel: #9, 35879(4%)
minecraft.used.spruce_log: #9, 1201(4%)
minecraft.picked_up.furnace: #9, 206(4%)
minecraft.dropped.kelp: #9, 900(4%)
minecraft.dropped.diamond_pickaxe: #9, 13(4%)
minecraft.picked_up.gravel: #9, 27948(3%)
minecraft.mined.oak_log: #9, 5765(4%)
minecraft.crafted.spruce_planks: #9, 20692(4%)
minecraft.mined.yellow_terracotta: #9, 3150(4%)
minecraft.mined.fern: #9, 226(3%)
minecraft.mined.peony: #9, 12(5%)
minecraft.dropped.oak_sign: #9, 44(4%)
minecraft.crafted.chain: #9, 565(4%)
minecraft.used.oak_trapdoor: #9, 284(4%)
minecraft.mined.stone_button: #9, 74(4%)
minecraft.picked_up.glowstone: #9, 415(3%)
minecraft.crafted.stone: #9, 1641(3%)
minecraft.crafted.spruce_slab: #9, 2722(3%)
minecraft.crafted.oak_trapdoor: #9, 252(3%)
minecraft.mined.tall_grass: #9, 275(3%)
minecraft.used.note_block: #9, 154(3%)
minecraft.mined.warped_stairs: #9, 17(3%)
minecraft.picked_up.purpur_block: #9, 229(3%)
minecraft.crafted.enchanting_table: #9, 2(3%)
minecraft.dropped.spruce_planks: #9, 137(3%)
minecraft.used.pumpkin: #9, 182(3%)
minecraft.used.yellow_shulker_box: #9, 137(3%)
minecraft.picked_up.gray_shulker_box: #9, 111(2%)
minecraft.picked_up.stone_pressure_plate: #9, 39(3%)
minecraft.used.string: #9, 410(2%)
minecraft.mined.gray_shulker_box: #9, 110(2%)
minecraft.used.gray_shulker_box: #9, 111(2%)
minecraft.crafted.polished_blackstone: #9, 2310(2%)
minecraft.dropped.lever: #9, 26(2%)
minecraft.used.cyan_concrete_powder: #9, 1063(2%)
minecraft.dropped.oak_slab: #9, 33(3%)
minecraft.picked_up.light_blue_concrete: #9, 460(2%)
minecraft.crafted.lime_carpet: #9, 288(3%)
minecraft.dropped.rail: #9, 113(2%)
minecraft.killed_by.enderman: #9, 1(4%)
minecraft.dropped.nether_quartz_ore: #9, 31(2%)
minecraft.crafted.cyan_concrete_powder: #9, 1056(2%)
minecraft.dropped.slime_ball: #9, 121(2%)
minecraft.mined.light_blue_concrete: #9, 432(2%)
minecraft.dropped.purpur_slab: #9, 8(2%)
minecraft.dropped.emerald: #9, 140(2%)
minecraft.mined.melon_stem: #9, 5(2%)
minecraft.used.campfire: #9, 57(2%)
minecraft.picked_up.bee_nest: #9, 10(2%)
minecraft.picked_up.pumpkin_seeds: #9, 447(2%)
minecraft.used.oak_button: #9, 21(2%)
minecraft.crafted.polished_blackstone_bricks: #9, 480(2%)
minecraft.dropped.netherite_hoe: #9, 1(4%)
minecraft.broken.leather_helmet: #9, 1(3%)
minecraft.mined.infested_stone_bricks: #9, 2(3%)
minecraft.dropped.apple: #9, 24(2%)
minecraft.mined.magenta_stained_glass: #9, 7(2%)
minecraft.used.tube_coral_fan: #9, 2(2%)
minecraft.crafted.polished_blackstone_slab: #9, 372(2%)
minecraft.used.light_blue_concrete: #9, 549(2%)
minecraft.mined.wither_skeleton_skull: #9, 1(3%)
minecraft.used.melon: #9, 35(2%)
minecraft.crafted.gold_block: #9, 660(1%)
minecraft.used.gilded_blackstone: #9, 10(2%)
minecraft.crafted.mossy_cobblestone_slab: #9, 12(2%)
minecraft.mined.crimson_fence: #9, 5(2%)
minecraft.used.polished_diorite: #9, 179(1%)
minecraft.crafted.lime_shulker_box: #9, 3(1%)
minecraft.picked_up.music_disc_blocks: #9, 1(2%)
minecraft.used.powered_rail: #10, 1365(5%)
minecraft.crafted.magenta_stained_glass_pane: #9, 16(2%)
minecraft.killed.spider: #10, 194(5%)
minecraft.mined.crimson_stairs: #9, 4(2%)
minecraft.mined.stripped_jungle_log: #9, 8(1%)
minecraft.custom.inspect_dispenser: #10, 870(5%)
minecraft.used.item_frame: #10, 487(5%)
minecraft.used.grindstone: #9, 35(1%)
minecraft.crafted.blue_wool: #9, 19(1%)
minecraft.crafted.yellow_stained_glass_pane: #9, 40(1%)
minecraft.used.stone_brick_wall: #9, 126(1%)
minecraft.picked_up.light_blue_wool: #9, 112(1%)
minecraft.picked_up.minecart: #10, 213(5%)
minecraft.custom.interact_with_beacon: #10, 80(5%)
minecraft.crafted.purple_concrete_powder: #9, 144(1%)
minecraft.dropped.melon: #9, 44(1%)
minecraft.mined.acacia_wall_sign: #9, 7(1%)
minecraft.used.golden_carrot: #10, 3701(5%)
minecraft.dropped.oxeye_daisy: #9, 21(1%)
minecraft.used.stone_shovel: #9, 321(1%)
minecraft.dropped.cracked_polished_blackstone_bricks: #9, 6(1%)
minecraft.crafted.apple: #9, 72(1%)
minecraft.dropped.red_dye: #9, 16(1%)
minecraft.crafted.yellow_wool: #9, 9(1%)
minecraft.dropped.white_concrete_powder: #9, 65(1%)
minecraft.picked_up.magenta_carpet: #9, 5(1%)
minecraft.mined.crimson_wall_sign: #9, 1(1%)
minecraft.picked_up.dark_prismarine_slab: #9, 34(1%)
minecraft.picked_up.magenta_wool: #9, 35(0%)
minecraft.custom.interact_with_anvil: #10, 461(4%)
minecraft.dropped.honey_block: #9, 7(1%)
minecraft.dropped.bell: #9, 1(1%)
minecraft.crafted.crimson_fence: #9, 9(1%)
minecraft.used.emerald_block: #9, 38(0%)
minecraft.killed.ocelot: #9, 2(0%)
minecraft.mined.blue_concrete_powder: #9, 1(1%)
minecraft.used.stripped_dark_oak_wood: #9, 3(0%)
minecraft.picked_up.prismarine: #9, 64(0%)
minecraft.dropped.note_block: #9, 2(0%)
minecraft.dropped.melon_slice: #9, 63(0%)
minecraft.dropped.cooked_cod: #9, 3(0%)
minecraft.dropped.spruce_fence_gate: #9, 1(0%)
minecraft.mined.oak_fence: #10, 264(4%)
minecraft.dropped.quartz_slab: #9, 7(0%)
minecraft.mined.prismarine_brick_stairs: #9, 2(0%)
minecraft.mined.emerald_block: #9, 10(0%)
minecraft.picked_up.prismarine_brick_stairs: #9, 2(0%)
minecraft.dropped.polished_blackstone_brick_slab: #9, 1(0%)
minecraft.mined.black_glazed_terracotta: #9, 1(0%)
minecraft.crafted.glistering_melon_slice: #9, 21(0%)
minecraft.dropped.blue_wool: #9, 1(0%)
minecraft.dropped.jungle_trapdoor: #9, 1(0%)
minecraft.used.black_glazed_terracotta: #9, 1(0%)
minecraft.mined.blue_carpet: #9, 1(0%)
minecraft.crafted.honey_block: #9, 4(0%)
minecraft.custom.interact_with_smithing_table: #10, 35(4%)
minecraft.custom.sneak_time: #11, 4059790(4%)
minecraft.crafted.flint_and_steel: #10, 13(4%)
minecraft.crafted.diamond_block: #10, 421(4%)
minecraft.picked_up.netherite_sword: #10, 20(4%)
minecraft.picked_up.bamboo: #10, 7137(4%)
minecraft.mined.redstone_torch: #10, 83(4%)
minecraft.mined.oxeye_daisy: #10, 53(4%)
minecraft.custom.jump: #11, 369881(4%)
minecraft.used.detector_rail: #10, 19(4%)
minecraft.picked_up.polished_blackstone_slab: #10, 249(4%)
minecraft.picked_up.netherite_shovel: #10, 18(4%)
minecraft.picked_up.crying_obsidian: #10, 84(3%)
minecraft.picked_up.golden_carrot: #10, 1296(3%)
minecraft.crafted.stick: #10, 20480(3%)
minecraft.used.stone_brick_stairs: #10, 589(3%)
minecraft.dropped.glass: #10, 313(4%)
minecraft.picked_up.oak_log: #10, 5874(3%)
minecraft.crafted.glass_pane: #10, 560(3%)
minecraft.picked_up.stone_button: #10, 159(3%)
minecraft.crafted.bow: #10, 179(3%)
minecraft.used.oak_sign: #10, 211(3%)
minecraft.mined.white_terracotta: #10, 1808(3%)
minecraft.picked_up.oak_button: #10, 12(3%)
minecraft.mined.polished_blackstone: #10, 193(3%)
minecraft.used.kelp: #10, 714(3%)
minecraft.mined.smooth_quartz_stairs: #10, 139(3%)
minecraft.used.ender_chest: #10, 388(3%)
minecraft.mined.enchanting_table: #10, 3(4%)
minecraft.mined.ender_chest: #10, 377(2%)
minecraft.custom.damage_dealt: #10, 1652324(2%)
minecraft.picked_up.ender_chest: #10, 387(2%)
minecraft.mined.white_concrete: #10, 4858(2%)
minecraft.picked_up.jungle_sapling: #10, 152(3%)
minecraft.crafted.note_block: #10, 148(3%)
minecraft.dropped.crafting_table: #10, 13(2%)
minecraft.picked_up.note_block: #10, 57(2%)
minecraft.picked_up.purpur_slab: #10, 27(2%)
minecraft.used.ice: #10, 848(2%)
minecraft.crafted.crimson_door: #10, 3(4%)
minecraft.mined.purpur_slab: #10, 23(2%)
minecraft.crafted.birch_sign: #10, 117(2%)
minecraft.dropped.birch_boat: #10, 2(3%)
minecraft.mined.purpur_pillar: #10, 62(2%)
minecraft.crafted.lapis_lazuli: #10, 1116(2%)
minecraft.picked_up.campfire: #10, 52(2%)
minecraft.crafted.glass_bottle: #10, 549(2%)
minecraft.dropped.torch: #10, 374(2%)
minecraft.used.orange_terracotta: #10, 309(2%)
minecraft.dropped.bucket: #10, 20(2%)
minecraft.picked_up.jukebox: #10, 3(3%)
minecraft.mined.jungle_fence: #10, 11(2%)
minecraft.used.sea_lantern: #10, 954(2%)
minecraft.crafted.tnt: #10, 1692(2%)
minecraft.mined.orange_shulker_box: #10, 86(2%)
minecraft.picked_up.orange_shulker_box: #10, 87(2%)
minecraft.picked_up.polished_blackstone_button: #10, 7(2%)
minecraft.dropped.nether_gold_ore: #10, 22(2%)
minecraft.dropped.lilac: #10, 2(2%)
minecraft.used.orange_shulker_box: #10, 85(2%)
minecraft.picked_up.magenta_shulker_box: #10, 22(2%)
minecraft.mined.magenta_shulker_box: #10, 22(2%)
minecraft.dropped.red_concrete: #10, 14(2%)
minecraft.dropped.stone_pressure_plate: #10, 14(1%)
minecraft.mined.stripped_acacia_log: #10, 8(2%)
minecraft.crafted.firework_rocket: #10, 13085(1%)
minecraft.mined.jungle_trapdoor: #10, 16(2%)
minecraft.crafted.brown_shulker_box: #10, 3(2%)
minecraft.crafted.glass: #10, 4491(1%)
minecraft.crafted.gold_ingot: #10, 10343(1%)
minecraft.mined.rose_bush: #10, 14(1%)
minecraft.dropped.oak_trapdoor: #10, 9(1%)
minecraft.picked_up.stripped_acacia_log: #10, 8(2%)
minecraft.used.jungle_trapdoor: #10, 72(1%)
minecraft.dropped.sandstone: #10, 156(1%)
minecraft.dropped.egg: #10, 199(1%)
minecraft.custom.play_record: #10, 5(1%)
minecraft.picked_up.melon_slice: #10, 513(1%)
minecraft.dropped.white_carpet: #10, 16(1%)
minecraft.picked_up.stripped_jungle_log: #10, 9(1%)
minecraft.used.purple_concrete: #10, 59(1%)
minecraft.picked_up.blackstone_stairs: #10, 21(1%)
minecraft.dropped.light_gray_stained_glass_pane: #10, 114(1%)
minecraft.picked_up.music_disc_ward: #10, 1(2%)
minecraft.picked_up.purple_carpet: #10, 18(1%)
minecraft.dropped.end_stone: #10, 25(1%)
minecraft.crafted.light_gray_stained_glass_pane: #10, 288(1%)
minecraft.dropped.cracked_stone_bricks: #10, 5(1%)
minecraft.dropped.sugar_cane: #10, 232(1%)
minecraft.killed.creeper: #11, 449(5%)
minecraft.mined.orange_carpet: #10, 7(1%)
minecraft.picked_up.ice: #10, 715(0%)
minecraft.used.magenta_wool: #10, 10(1%)
minecraft.dropped.jungle_slab: #10, 14(1%)
minecraft.used.horn_coral: #10, 1(1%)
minecraft.picked_up.oak_sign: #11, 212(5%)
minecraft.used.pumpkin_pie: #10, 19(0%)
minecraft.picked_up.orange_carpet: #10, 8(0%)
minecraft.used.crimson_fence: #10, 10(1%)
minecraft.dropped.nether_brick_fence: #10, 2(1%)
minecraft.dropped.glowstone: #10, 14(0%)
minecraft.dropped.spruce_sign: #10, 6(0%)
minecraft.dropped.birch_trapdoor: #10, 2(0%)
minecraft.picked_up.black_carpet: #10, 274(0%)
minecraft.used.magenta_concrete_powder: #10, 49(0%)
minecraft.used.magenta_stained_glass: #10, 5(0%)
minecraft.mined.light_blue_stained_glass: #10, 21(0%)
minecraft.broken.stone_shovel: #10, 1(0%)
minecraft.dropped.oak_fence_gate: #10, 1(0%)
minecraft.dropped.painting: #10, 1(0%)
minecraft.used.mossy_stone_brick_slab: #10, 1(0%)
minecraft.crafted.yellow_stained_glass: #10, 32(0%)
minecraft.used.stripped_jungle_log: #10, 1(0%)
minecraft.mined.gray_bed: #10, 2(0%)
minecraft.mined.cyan_concrete_powder: #10, 1(0%)
minecraft.dropped.stone_brick_stairs: #10, 6(0%)
minecraft.crafted.prismarine_brick_stairs: #10, 4(0%)
minecraft.custom.tune_noteblock: #10, 696(0%)
minecraft.dropped.piston: #10, 1(0%)
minecraft.dropped.andesite_slab: #10, 9(0%)
minecraft.used.yellow_stained_glass: #10, 11(0%)
minecraft.dropped.bookshelf: #10, 1(0%)
minecraft.crafted.purple_stained_glass_pane: #10, 8(0%)
minecraft.used.blue_ice: #10, 5(0%)
minecraft.dropped.sandstone_slab: #10, 1(0%)
minecraft.used.acacia_leaves: #10, 1(0%)
minecraft.picked_up.dispenser: #11, 103(4%)
minecraft.picked_up.granite: #11, 12864(4%)
minecraft.used.chain: #11, 487(4%)
minecraft.picked_up.netherite_axe: #11, 21(4%)
minecraft.picked_up.redstone_torch: #11, 350(3%)
minecraft.mined.soul_sand: #11, 1883(4%)
minecraft.used.dirt: #11, 27915(3%)
minecraft.mined.vine: #11, 946(3%)
minecraft.dropped.netherite_axe: #11, 3(4%)
minecraft.picked_up.obsidian: #11, 779(3%)
minecraft.used.damaged_anvil: #11, 6(3%)
minecraft.crafted.oak_sign: #11, 183(3%)
minecraft.mined.spruce_log: #11, 3695(3%)
minecraft.dropped.coal_ore: #11, 235(3%)
minecraft.crafted.diamond_chestplate: #11, 3(3%)
minecraft.dropped.oak_planks: #11, 119(3%)
minecraft.picked_up.name_tag: #11, 27(3%)
minecraft.mined.potatoes: #11, 138(4%)
minecraft.dropped.leather_chestplate: #11, 11(3%)
minecraft.picked_up.shulker_shell: #11, 617(3%)
minecraft.used.netherite_axe: #11, 17349(3%)
minecraft.picked_up.polished_blackstone: #11, 207(3%)
minecraft.crafted.emerald_block: #11, 475(3%)
minecraft.used.spruce_stairs: #11, 331(2%)
minecraft.picked_up.orange_terracotta: #11, 3548(2%)
minecraft.mined.oak_pressure_plate: #11, 2(4%)
minecraft.used.golden_apple: #11, 6(3%)
