stat, rank, value, (percentage) 
minecraft.used.mossy_cobblestone_slab: #2, 107(14%)
minecraft.dropped.light_gray_carpet: #2, 152(11%)
minecraft.used.brewing_stand: #3, 89(12%)
minecraft.picked_up.cobblestone_stairs: #3, 258(13%)
minecraft.dropped.shears: #3, 105(14%)
minecraft.mined.pink_wool: #2, 259(13%)
minecraft.used.polished_blackstone_brick_slab: #3, 3467(14%)
minecraft.crafted.repeater: #3, 1915(12%)
minecraft.crafted.light_blue_wool: #2, 320(14%)
minecraft.crafted.light_blue_terracotta: #3, 2473(20%)
minecraft.used.cobblestone_wall: #3, 1220(12%)
minecraft.dropped.chiseled_polished_blackstone: #2, 22(25%)
minecraft.dropped.nether_bricks: #3, 579(15%)
minecraft.dropped.rail: #3, 671(12%)
minecraft.used.oak_fence_gate: #3, 296(14%)
minecraft.dropped.nether_brick_slab: #2, 396(12%)
minecraft.mined.respawn_anchor: #2, 15(21%)
minecraft.dropped.orange_stained_glass: #2, 34(21%)
minecraft.picked_up.cornflower: #3, 3035(12%)
minecraft.dropped.polished_blackstone_brick_slab: #2, 79(16%)
minecraft.crafted.green_wool: #2, 292(14%)
minecraft.dropped.crimson_door: #2, 6(27%)
minecraft.used.hopper: #3, 4513(11%)
minecraft.picked_up.sticky_piston: #3, 619(12%)
minecraft.used.light_blue_wool: #3, 1337(17%)
minecraft.mined.nether_brick_stairs: #3, 329(14%)
minecraft.crafted.oak_door: #3, 57(13%)
minecraft.dropped.orange_wool: #2, 88(14%)
minecraft.used.bell: #2, 25(8%)
minecraft.picked_up.nether_brick_stairs: #3, 366(15%)
minecraft.picked_up.lever: #3, 554(11%)
minecraft.used.blackstone_wall: #2, 647(8%)
minecraft.picked_up.mossy_stone_brick_wall: #2, 10(31%)
minecraft.crafted.stone_slab: #3, 7272(11%)
minecraft.picked_up.bone_meal: #3, 5192(11%)
minecraft.crafted.lime_concrete_powder: #3, 6704(14%)
minecraft.crafted.redstone_torch: #3, 7798(11%)
minecraft.picked_up.soul_torch: #3, 119(15%)
minecraft.picked_up.gold_ingot: #3, 1513(11%)
minecraft.picked_up.red_terracotta: #3, 8235(11%)
minecraft.dropped.polished_blackstone_slab: #3, 84(18%)
minecraft.used.purpur_stairs: #2, 296(13%)
minecraft.dropped.chiseled_nether_bricks: #2, 32(19%)
minecraft.mined.magenta_carpet: #3, 92(18%)
minecraft.crafted.stone_sword: #3, 10(15%)
minecraft.picked_up.pink_stained_glass_pane: #2, 34(25%)
minecraft.crafted.cobblestone_wall: #3, 1296(12%)
minecraft.dropped.iron_sword: #3, 30(12%)
minecraft.dropped.observer: #2, 97(12%)
minecraft.dropped.diamond_chestplate: #2, 8(11%)
minecraft.mined.red_nether_brick_wall: #2, 15(24%)
minecraft.picked_up.stone_bricks: #3, 9189(10%)
minecraft.dropped.jungle_planks: #3, 274(12%)
minecraft.picked_up.slime_ball: #3, 5165(11%)
minecraft.crafted.crimson_pressure_plate: #2, 28(18%)
minecraft.mined.iron_trapdoor: #3, 609(12%)
minecraft.custom.interact_with_beacon: #3, 167(10%)
minecraft.crafted.purpur_block: #2, 1536(20%)
minecraft.used.stone_slab: #3, 6902(10%)
minecraft.custom.drop: #3, 22668(8%)
minecraft.used.lime_concrete_powder: #3, 5669(13%)
minecraft.dropped.jack_o_lantern: #2, 20(16%)
minecraft.mined.gray_carpet: #3, 506(11%)
minecraft.dropped.oak_log: #3, 539(10%)
minecraft.dropped.saddle: #2, 22(10%)
minecraft.crafted.lime_stained_glass_pane: #3, 880(13%)
minecraft.mined.tripwire: #3, 238(10%)
minecraft.dropped.orange_terracotta: #3, 455(11%)
minecraft.mined.dispenser: #3, 167(10%)
minecraft.picked_up.stone_button: #3, 511(10%)
minecraft.dropped.red_nether_brick_wall: #2, 6(43%)
minecraft.used.sticky_piston: #3, 1037(9%)
minecraft.dropped.ancient_debris: #3, 89(19%)
minecraft.mined.jungle_sign: #3, 12(12%)
minecraft.dropped.furnace: #3, 51(15%)
minecraft.picked_up.written_book: #3, 155(9%)
minecraft.dropped.egg: #4, 2810(15%)
minecraft.dropped.light_blue_stained_glass: #2, 77(14%)
minecraft.dropped.dirt: #3, 8980(9%)
minecraft.used.iron_door: #3, 107(11%)
minecraft.dropped.red_nether_bricks: #2, 459(24%)
minecraft.used.purpur_pillar: #2, 315(7%)
minecraft.used.jungle_trapdoor: #2, 355(7%)
minecraft.dropped.chipped_anvil: #2, 8(13%)
minecraft.broken.leather_chestplate: #2, 3(17%)
minecraft.picked_up.vine: #3, 1502(10%)
minecraft.dropped.black_concrete_powder: #2, 320(10%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #3, 1669(10%)
minecraft.custom.interact_with_anvil: #3, 915(7%)
minecraft.dropped.pink_bed: #2, 3(38%)
minecraft.killed.chicken: #4, 544(13%)
minecraft.used.red_wool: #3, 1366(11%)
minecraft.mined.blue_wall_banner: #2, 3(27%)
minecraft.used.purple_carpet: #3, 528(10%)
minecraft.crafted.dropper: #3, 797(9%)
minecraft.mined.chorus_plant: #2, 258(6%)
minecraft.used.tripwire_hook: #3, 66(9%)
minecraft.crafted.magenta_dye: #3, 1226(10%)
minecraft.mined.light_blue_terracotta: #3, 186(17%)
minecraft.dropped.green_wool: #2, 272(12%)
minecraft.mined.red_concrete_powder: #3, 75(12%)
minecraft.mined.potted_allium: #2, 5(26%)
minecraft.dropped.cobblestone_wall: #3, 350(12%)
minecraft.used.crimson_trapdoor: #3, 334(14%)
minecraft.mined.end_stone_brick_wall: #2, 11(34%)
minecraft.used.end_stone_brick_wall: #2, 11(34%)
minecraft.dropped.dark_oak_log: #3, 311(14%)
minecraft.crafted.pink_stained_glass_pane: #2, 344(11%)
minecraft.mined.chest: #3, 1681(8%)
minecraft.picked_up.cooked_porkchop: #3, 1093(9%)
minecraft.used.mossy_cobblestone_wall: #2, 48(11%)
minecraft.used.anvil: #3, 325(8%)
minecraft.used.enchanted_golden_apple: #2, 1(50%)
minecraft.used.music_disc_mall: #2, 1(20%)
minecraft.dropped.diamond_horse_armor: #2, 3(25%)
minecraft.custom.clean_armor: #2, 2(33%)
minecraft.mined.dragon_wall_head: #3, 30(11%)
minecraft.mined.smooth_red_sandstone: #2, 139(11%)
minecraft.used.cracked_nether_bricks: #2, 409(16%)
minecraft.used.blackstone_slab: #3, 1576(10%)
minecraft.picked_up.hopper: #3, 1226(8%)
minecraft.crafted.cartography_table: #2, 55(6%)
minecraft.crafted.ender_chest: #3, 75(9%)
minecraft.used.nether_gold_ore: #3, 58(15%)
minecraft.used.pink_stained_glass_pane: #2, 289(12%)
minecraft.picked_up.iron_sword: #3, 30(8%)
minecraft.crafted.glass_bottle: #3, 2661(8%)
minecraft.picked_up.spruce_wood: #3, 65(11%)
minecraft.picked_up.splash_potion: #3, 80(9%)
minecraft.used.vine: #3, 245(9%)
minecraft.mined.yellow_carpet: #3, 178(11%)
minecraft.mined.note_block: #3, 115(10%)
minecraft.used.oak_sign: #3, 587(8%)
minecraft.killed_by.zombie: #3, 7(9%)
minecraft.dropped.sandstone_stairs: #2, 34(11%)
minecraft.mined.magenta_wool: #2, 65(8%)
minecraft.picked_up.writable_book: #3, 34(8%)
minecraft.dropped.brown_terracotta: #2, 320(8%)
minecraft.crafted.purple_carpet: #3, 574(12%)
minecraft.crafted.blue_wool: #3, 192(13%)
minecraft.picked_up.red_carpet: #4, 484(13%)
minecraft.dropped.campfire: #2, 68(9%)
minecraft.picked_up.stone_brick_stairs: #3, 681(8%)
minecraft.picked_up.flower_banner_pattern: #2, 1(20%)
minecraft.picked_up.iron_shovel: #3, 25(8%)
minecraft.mined.smooth_quartz: #3, 642(8%)
minecraft.dropped.black_bed: #2, 1(25%)
minecraft.mined.potted_warped_roots: #2, 1(25%)
minecraft.crafted.polished_blackstone_brick_wall: #3, 243(16%)
minecraft.dropped.orange_dye: #2, 92(7%)
minecraft.dropped.red_sand: #3, 293(10%)
minecraft.crafted.leather_horse_armor: #2, 4(36%)
minecraft.mined.mossy_stone_brick_stairs: #2, 5(14%)
minecraft.mined.piston_head: #3, 22(9%)
minecraft.picked_up.jungle_button: #3, 18(11%)
minecraft.mined.mossy_cobblestone_wall: #2, 11(12%)
minecraft.mined.purpur_stairs: #3, 168(9%)
minecraft.used.respawn_anchor: #3, 71(19%)
minecraft.picked_up.dragon_head: #3, 33(9%)
minecraft.dropped.fire_charge: #3, 130(15%)
minecraft.picked_up.black_dye: #3, 138(10%)
minecraft.mined.purple_stained_glass: #3, 299(13%)
minecraft.crafted.acacia_boat: #3, 6(14%)
minecraft.mined.cyan_wool: #3, 63(10%)
minecraft.picked_up.dragon_egg: #2, 1(33%)
minecraft.used.dragon_egg: #2, 1(33%)
minecraft.mined.potted_wither_rose: #2, 1(33%)
minecraft.crafted.mossy_stone_brick_wall: #2, 12(22%)
minecraft.picked_up.fishing_rod: #3, 22(9%)
minecraft.used.smooth_red_sandstone: #2, 477(7%)
minecraft.picked_up.purpur_stairs: #3, 162(9%)
minecraft.crafted.cracked_stone_bricks: #3, 544(12%)
minecraft.picked_up.green_dye: #3, 1865(9%)
minecraft.crafted.crimson_slab: #3, 566(9%)
minecraft.crafted.blaze_powder: #2, 1993(3%)
minecraft.dropped.blue_carpet: #2, 113(21%)
minecraft.dropped.lead: #3, 45(8%)
minecraft.dropped.fishing_rod: #3, 17(10%)
minecraft.picked_up.acacia_pressure_plate: #2, 1(20%)
minecraft.used.fire_charge: #2, 15(12%)
minecraft.picked_up.end_stone_brick_wall: #2, 11(20%)
minecraft.mined.crimson_trapdoor: #3, 84(11%)
minecraft.picked_up.blue_concrete: #4, 1495(12%)
minecraft.dropped.cooked_porkchop: #2, 735(3%)
minecraft.picked_up.mossy_cobblestone_wall: #2, 11(10%)
minecraft.dropped.gray_banner: #2, 2(14%)
minecraft.crafted.purpur_slab: #2, 828(10%)
minecraft.crafted.fermented_spider_eye: #2, 289(3%)
minecraft.crafted.chiseled_nether_bricks: #3, 170(16%)
minecraft.used.dark_oak_sign: #4, 121(12%)
minecraft.dropped.cauldron: #2, 12(5%)
minecraft.crafted.pink_concrete_powder: #3, 2128(10%)
minecraft.dropped.oak_fence: #3, 68(7%)
minecraft.dropped.minecart: #3, 65(8%)
minecraft.dropped.lime_wool: #3, 217(13%)
minecraft.picked_up.pufferfish_bucket: #3, 11(17%)
minecraft.mined.brown_wool: #3, 127(8%)
minecraft.used.brown_stained_glass: #3, 289(13%)
minecraft.mined.jungle_wall_sign: #3, 23(11%)
minecraft.mined.soul_torch: #3, 53(19%)
minecraft.mined.yellow_concrete_powder: #3, 48(12%)
minecraft.picked_up.magenta_wool: #3, 675(9%)
minecraft.used.obsidian: #3, 2186(6%)
minecraft.used.gray_carpet: #4, 4431(11%)
minecraft.dropped.heavy_weighted_pressure_plate: #3, 26(15%)
minecraft.dropped.red_nether_brick_slab: #2, 120(7%)
minecraft.mined.mossy_cobblestone: #3, 151(6%)
minecraft.custom.leave_game: #4, 2221(5%)
minecraft.mined.quartz_slab: #4, 405(12%)
minecraft.dropped.crimson_pressure_plate: #2, 7(23%)
minecraft.crafted.orange_carpet: #3, 1599(10%)
minecraft.mined.powered_rail: #4, 984(11%)
minecraft.dropped.green_terracotta: #2, 35(5%)
minecraft.mined.iron_bars: #4, 567(11%)
minecraft.picked_up.spectral_arrow: #4, 874(12%)
minecraft.dropped.shield: #3, 16(9%)
minecraft.used.wooden_sword: #3, 32(8%)
minecraft.dropped.stone_slab: #3, 1523(7%)
minecraft.picked_up.yellow_wool: #3, 936(8%)
minecraft.dropped.red_concrete: #3, 66(10%)
minecraft.used.lime_carpet: #4, 1483(13%)
minecraft.crafted.light_blue_shulker_box: #3, 21(9%)
minecraft.mined.dark_oak_sign: #3, 4(9%)
minecraft.picked_up.blaze_rod: #4, 2041(11%)
minecraft.used.cobblestone_slab: #4, 2643(11%)
minecraft.dropped.oak_pressure_plate: #3, 4(15%)
minecraft.dropped.diamond_sword: #4, 28(10%)
minecraft.dropped.weeping_vines: #3, 126(8%)
minecraft.used.diamond_pickaxe: #4, 855373(9%)
minecraft.picked_up.saddle: #3, 24(7%)
minecraft.dropped.soul_sand: #4, 839(11%)
minecraft.dropped.cyan_banner: #2, 10(12%)
minecraft.mined.oak_wall_sign: #4, 148(10%)
minecraft.crafted.glowstone: #4, 4505(11%)
minecraft.picked_up.end_stone_brick_slab: #2, 133(6%)
minecraft.dropped.leather: #3, 686(7%)
minecraft.dropped.black_dye: #3, 110(9%)
minecraft.dropped.pufferfish_bucket: #3, 13(16%)
minecraft.custom.open_chest: #4, 58447(7%)
minecraft.picked_up.cod: #3, 1917(5%)
minecraft.mined.crimson_pressure_plate: #3, 3(21%)
minecraft.dropped.warped_trapdoor: #2, 4(4%)
minecraft.picked_up.gold_block: #4, 1195(10%)
minecraft.picked_up.water_bucket: #4, 75(9%)
minecraft.crafted.comparator: #4, 877(10%)
minecraft.crafted.mossy_cobblestone_wall: #2, 30(3%)
minecraft.crafted.mossy_cobblestone_stairs: #3, 16(12%)
minecraft.used.powered_rail: #4, 2541(9%)
minecraft.mined.black_shulker_box: #4, 494(10%)
minecraft.dropped.spruce_wood: #3, 8(18%)
minecraft.mined.lime_stained_glass_pane: #3, 111(8%)
minecraft.crafted.bone_block: #3, 9531(6%)
minecraft.picked_up.black_shulker_box: #4, 509(10%)
minecraft.crafted.gray_carpet: #4, 4165(11%)
minecraft.dropped.gravel: #4, 3195(9%)
minecraft.dropped.lime_dye: #3, 184(12%)
minecraft.dropped.purpur_stairs: #3, 27(8%)
minecraft.crafted.pink_wool: #3, 64(14%)
minecraft.dropped.horn_coral: #2, 2(5%)
minecraft.picked_up.scaffolding: #4, 22165(10%)
minecraft.used.netherrack: #4, 24113(9%)
minecraft.mined.birch_sign: #4, 62(11%)
minecraft.picked_up.cyan_wool: #3, 464(6%)
minecraft.picked_up.cobblestone_slab: #4, 1015(10%)
minecraft.crafted.pink_dye: #4, 1158(11%)
minecraft.picked_up.black_wool: #4, 1630(10%)
minecraft.used.oak_door: #4, 50(11%)
minecraft.crafted.powered_rail: #4, 1876(10%)
minecraft.dropped.birch_button: #3, 11(13%)
minecraft.crafted.anvil: #4, 448(9%)
minecraft.mined.dead_fire_coral_block: #2, 1(4%)
minecraft.dropped.purple_wool: #3, 159(13%)
minecraft.picked_up.shulker_shell: #3, 1183(6%)
minecraft.mined.yellow_concrete: #4, 2327(11%)
minecraft.crafted.polished_blackstone_brick_stairs: #3, 188(7%)
minecraft.used.scaffolding: #4, 21009(9%)
minecraft.mined.hopper: #4, 1101(9%)
minecraft.crafted.blue_dye: #4, 5551(9%)
minecraft.crafted.purpur_pillar: #2, 160(4%)
minecraft.picked_up.white_wool: #4, 2282(9%)
minecraft.used.purple_stained_glass: #4, 1798(13%)
minecraft.used.player_head: #4, 335(9%)
minecraft.crafted.dark_prismarine: #2, 1775(4%)
minecraft.mined.smooth_red_sandstone_stairs: #3, 22(14%)
minecraft.crafted.blue_concrete_powder: #4, 2432(11%)
minecraft.picked_up.smooth_red_sandstone_stairs: #3, 21(14%)
minecraft.crafted.sea_lantern: #2, 811(1%)
minecraft.custom.climb_one_cm: #4, 8391303(7%)
minecraft.mined.stone: #4, 564134(8%)
minecraft.picked_up.orange_carpet: #4, 211(12%)
minecraft.dropped.torch: #4, 1962(9%)
minecraft.dropped.polished_andesite_slab: #3, 286(5%)
minecraft.mined.andesite: #4, 35751(8%)
minecraft.dropped.diamond_pickaxe: #4, 30(9%)
minecraft.crafted.prismarine: #2, 480(1%)
minecraft.crafted.lime_carpet: #4, 1279(12%)
minecraft.picked_up.diamond_helmet: #4, 42(8%)
minecraft.dropped.cod: #3, 1601(6%)
minecraft.dropped.lingering_potion: #2, 1(1%)
minecraft.dropped.pink_wool: #3, 128(9%)
minecraft.picked_up.firework_rocket: #4, 10311(8%)
minecraft.mined.chain: #4, 252(9%)
minecraft.picked_up.dark_oak_sign: #3, 88(5%)
minecraft.dropped.elytra: #4, 18(10%)
minecraft.picked_up.glowstone_dust: #4, 1002(8%)
minecraft.crafted.flower_banner_pattern: #3, 1(20%)
minecraft.dropped.activator_rail: #3, 2(11%)
minecraft.mined.cracked_stone_bricks: #4, 169(9%)
minecraft.dropped.bone: #4, 3528(8%)
minecraft.crafted.gray_wool: #3, 230(8%)
minecraft.picked_up.red_wool: #4, 2089(9%)
minecraft.mined.diorite_slab: #3, 135(11%)
minecraft.picked_up.smooth_red_sandstone: #3, 124(10%)
minecraft.mined.light_blue_concrete_powder: #3, 31(10%)
minecraft.used.polished_blackstone_pressure_plate: #3, 53(7%)
minecraft.crafted.blue_banner: #3, 6(14%)
minecraft.mined.potted_bamboo: #3, 4(10%)
minecraft.mined.granite: #4, 30888(8%)
minecraft.picked_up.diorite_slab: #3, 162(11%)
minecraft.killed_by.player: #4, 100(8%)
minecraft.dropped.pumpkin_seeds: #3, 635(5%)
minecraft.picked_up.cooked_cod: #4, 203(10%)
minecraft.dropped.yellow_carpet: #3, 31(9%)
minecraft.picked_up.barrel: #4, 376(8%)
minecraft.crafted.polished_blackstone_stairs: #4, 743(14%)
minecraft.picked_up.polished_blackstone_pressure_plate: #4, 48(14%)
minecraft.crafted.jungle_trapdoor: #3, 324(6%)
minecraft.dropped.dark_oak_door: #3, 5(18%)
minecraft.dropped.orange_shulker_box: #3, 10(8%)
minecraft.mined.beacon: #4, 83(8%)
minecraft.picked_up.jack_o_lantern: #4, 82(10%)
minecraft.crafted.crimson_door: #3, 6(8%)
minecraft.mined.mossy_stone_bricks: #4, 131(9%)
minecraft.mined.jungle_door: #3, 7(15%)
minecraft.dropped.jungle_fence: #3, 33(8%)
minecraft.broken.diamond_helmet: #3, 1(14%)
minecraft.mined.infested_cracked_stone_bricks: #3, 1(14%)
minecraft.used.pink_shulker_box: #4, 148(9%)
minecraft.used.green_concrete: #4, 1054(10%)
minecraft.mined.polished_andesite_stairs: #4, 386(10%)
minecraft.crafted.sticky_piston: #4, 701(8%)
minecraft.picked_up.light_blue_dye: #4, 128(13%)
minecraft.mined.loom: #4, 31(10%)
minecraft.used.poisonous_potato: #3, 1(9%)
minecraft.crafted.yellow_wool: #3, 74(5%)
minecraft.picked_up.nether_star: #4, 78(10%)
minecraft.custom.inspect_dispenser: #4, 1323(8%)
minecraft.picked_up.pink_shulker_box: #4, 152(9%)
minecraft.picked_up.blue_banner: #3, 4(11%)
minecraft.crafted.pink_stained_glass: #3, 224(7%)
minecraft.dropped.terracotta: #4, 535(9%)
minecraft.mined.diorite_stairs: #3, 33(11%)
minecraft.killed.snow_golem: #3, 53(6%)
minecraft.custom.player_kills: #4, 86(8%)
minecraft.used.music_disc_mellohi: #3, 2(15%)
minecraft.mined.barrel: #4, 291(7%)
minecraft.used.oak_trapdoor: #4, 621(8%)
minecraft.used.cobblestone: #4, 14682(7%)
minecraft.picked_up.chest: #4, 1980(7%)
minecraft.crafted.diorite_slab: #3, 336(11%)
minecraft.used.cracked_stone_bricks: #4, 566(8%)
minecraft.used.diorite_stairs: #3, 61(13%)
minecraft.dropped.lime_shulker_box: #3, 3(12%)
minecraft.broken.diamond_boots: #3, 1(25%)
minecraft.crafted.wheat: #4, 2021(9%)
minecraft.dropped.anvil: #3, 30(6%)
minecraft.crafted.target: #4, 320(11%)
minecraft.mined.stripped_jungle_log: #4, 72(10%)
minecraft.dropped.dispenser: #4, 112(14%)
minecraft.mined.polished_blackstone_wall: #4, 148(8%)
minecraft.used.stone_bricks: #4, 17768(7%)
minecraft.used.yellow_carpet: #3, 837(4%)
minecraft.crafted.lime_dye: #4, 2066(9%)
minecraft.used.chest: #4, 3113(7%)
minecraft.killed_by.phantom: #3, 1(10%)
minecraft.crafted.end_stone_brick_slab: #3, 378(10%)
minecraft.crafted.cyan_concrete_powder: #4, 4376(9%)
minecraft.mined.oak_button: #4, 14(12%)
minecraft.mined.spruce_wood: #4, 58(10%)
minecraft.crafted.cobblestone_stairs: #4, 332(8%)
minecraft.mined.pink_shulker_box: #4, 145(9%)
minecraft.picked_up.mossy_stone_bricks: #4, 126(8%)
minecraft.dropped.light_blue_banner: #3, 2(13%)
minecraft.dropped.bone_meal: #4, 1782(8%)
minecraft.dropped.sugar: #3, 409(4%)
minecraft.dropped.diorite_slab: #3, 70(9%)
minecraft.crafted.iron_sword: #4, 26(7%)
minecraft.mined.crimson_hyphae: #3, 27(7%)
minecraft.crafted.cyan_wool: #3, 23(6%)
minecraft.crafted.red_nether_bricks: #4, 3157(13%)
minecraft.killed_by.endermite: #3, 1(12%)
minecraft.mined.purple_carpet: #4, 69(9%)
minecraft.crafted.red_bed: #4, 12(12%)
minecraft.used.nether_brick_wall: #4, 488(11%)
minecraft.picked_up.stone_slab: #4, 2302(7%)
minecraft.crafted.chain: #4, 1114(7%)
minecraft.mined.potted_lily_of_the_valley: #3, 1(8%)
minecraft.crafted.end_stone_brick_wall: #3, 6(14%)
minecraft.mined.potted_crimson_fungus: #3, 1(14%)
minecraft.used.orange_wool: #4, 657(10%)
minecraft.crafted.iron_leggings: #4, 11(7%)
minecraft.crafted.iron_hoe: #4, 8(7%)
minecraft.killed.blaze: #3, 1078(2%)
minecraft.used.diamond_shovel: #4, 246638(6%)
minecraft.dropped.vine: #4, 72(14%)
minecraft.dropped.cooked_cod: #4, 121(12%)
minecraft.picked_up.soul_sand: #4, 3732(7%)
minecraft.picked_up.elytra: #4, 99(6%)
minecraft.picked_up.purpur_pillar: #4, 232(8%)
minecraft.killed.cat: #4, 16(12%)
minecraft.used.iron_bars: #4, 1838(7%)
minecraft.mined.light_gray_banner: #3, 2(8%)
minecraft.used.music_disc_11: #3, 1(12%)
minecraft.crafted.tnt: #5, 11992(12%)
minecraft.mined.polished_blackstone_bricks: #4, 3095(7%)
minecraft.used.honey_block: #4, 1034(7%)
minecraft.crafted.iron_door: #4, 72(8%)
minecraft.crafted.shulker_box: #4, 423(6%)
minecraft.mined.warped_stairs: #4, 39(8%)
minecraft.picked_up.polished_blackstone_bricks: #4, 2898(7%)
minecraft.picked_up.quartz_slab: #4, 462(7%)
minecraft.dropped.end_stone_bricks: #4, 86(9%)
minecraft.mined.spruce_sign: #4, 17(7%)
minecraft.mined.green_concrete_powder: #4, 613(9%)
minecraft.crafted.orange_shulker_box: #4, 24(10%)
minecraft.picked_up.lime_stained_glass: #4, 454(8%)
minecraft.crafted.magenta_wool: #3, 64(6%)
minecraft.mined.purpur_pillar: #4, 213(7%)
minecraft.used.brown_wool: #4, 539(7%)
minecraft.used.andesite_stairs: #4, 169(8%)
minecraft.picked_up.smooth_quartz: #4, 890(7%)
minecraft.used.orange_carpet: #4, 1148(8%)
minecraft.crafted.iron_boots: #4, 13(6%)
minecraft.dropped.wooden_sword: #3, 5(3%)
minecraft.crafted.light_gray_concrete_powder: #4, 6632(6%)
minecraft.picked_up.respawn_anchor: #4, 14(13%)
minecraft.dropped.wet_sponge: #4, 32(15%)
minecraft.mined.mossy_stone_brick_wall: #3, 1(8%)
minecraft.used.mossy_stone_brick_stairs: #3, 12(5%)
minecraft.picked_up.purple_stained_glass: #4, 284(9%)
minecraft.picked_up.warped_button: #3, 2(5%)
minecraft.dropped.cyan_dye: #3, 121(3%)
minecraft.used.packed_ice: #4, 1972(6%)
minecraft.mined.andesite_stairs: #4, 40(7%)
minecraft.picked_up.mossy_stone_brick_stairs: #3, 3(6%)
minecraft.picked_up.blue_wool: #4, 709(6%)
minecraft.crafted.firework_star: #4, 3168(14%)
minecraft.used.blast_furnace: #4, 82(6%)
minecraft.crafted.polished_blackstone_wall: #4, 712(9%)
minecraft.dropped.light_blue_carpet: #3, 23(3%)
minecraft.used.chain: #4, 716(6%)
minecraft.crafted.bone_meal: #4, 148492(5%)
minecraft.dropped.yellow_dye: #4, 54(12%)
minecraft.dropped.light_blue_concrete: #4, 68(10%)
minecraft.used.polished_andesite_stairs: #4, 1076(7%)
minecraft.dropped.iron_helmet: #4, 17(7%)
minecraft.used.soul_lantern: #5, 352(10%)
minecraft.mined.warped_button: #3, 1(4%)
minecraft.picked_up.nether_brick_wall: #4, 247(8%)
minecraft.crafted.sugar: #4, 1239(6%)
minecraft.dropped.black_carpet: #4, 72(8%)
minecraft.crafted.jack_o_lantern: #4, 280(9%)
minecraft.used.glowstone: #4, 1056(5%)
minecraft.crafted.golden_pickaxe: #3, 1(5%)
minecraft.crafted.crimson_trapdoor: #4, 270(8%)
minecraft.crafted.spruce_pressure_plate: #4, 46(7%)
minecraft.dropped.acacia_fence: #3, 4(4%)
minecraft.killed.pillager: #3, 297(1%)
minecraft.crafted.packed_ice: #3, 265(1%)
minecraft.mined.orange_wool: #4, 170(9%)
minecraft.used.lingering_potion: #3, 1(6%)
minecraft.custom.raid_win: #3, 4(1%)
minecraft.picked_up.lime_stained_glass_pane: #4, 112(6%)
minecraft.dropped.flint_and_steel: #4, 11(6%)
minecraft.used.twisting_vines: #4, 116(7%)
minecraft.picked_up.tipped_arrow: #4, 131(12%)
minecraft.dropped.powered_rail: #4, 89(6%)
minecraft.crafted.honey_bottle: #3, 4(4%)
minecraft.dropped.smooth_sandstone: #4, 160(8%)
minecraft.mined.player_wall_head: #5, 71(9%)
minecraft.picked_up.blackstone_wall: #4, 144(6%)
minecraft.dropped.crimson_hyphae: #3, 6(4%)
minecraft.mined.soul_fire: #5, 134(10%)
minecraft.used.white_bed: #4, 178(4%)
minecraft.picked_up.wither_skeleton_skull: #4, 48(6%)
minecraft.crafted.chainmail_helmet: #3, 1(2%)
minecraft.used.polished_blackstone: #5, 3874(9%)
minecraft.dropped.iron_boots: #4, 156(6%)
minecraft.mined.magenta_stained_glass_pane: #4, 13(10%)
minecraft.dropped.rabbit_foot: #3, 1(1%)
minecraft.picked_up.crimson_trapdoor: #4, 110(7%)
minecraft.killed.wither_skeleton: #4, 2123(5%)
minecraft.used.blue_concrete: #5, 1486(10%)
minecraft.broken.leather_helmet: #4, 3(10%)
minecraft.mined.white_carpet: #5, 401(9%)
minecraft.picked_up.oak_sign: #5, 397(8%)
minecraft.dropped.ender_eye: #3, 3(1%)
minecraft.killed.vindicator: #3, 56(0%)
minecraft.picked_up.flint: #5, 2196(8%)
minecraft.dropped.potion: #4, 209(5%)
minecraft.mined.end_stone_brick_slab: #3, 4(0%)
minecraft.dropped.glowstone: #4, 189(6%)
minecraft.dropped.tropical_fish_bucket: #3, 4(1%)
minecraft.mined.brown_stained_glass: #4, 33(8%)
minecraft.dropped.cod_bucket: #3, 2(0%)
minecraft.dropped.honeycomb_block: #3, 2(0%)
minecraft.dropped.orange_glazed_terracotta: #3, 1(0%)
minecraft.used.cyan_wool: #4, 220(6%)
minecraft.used.written_book: #4, 1841(4%)
minecraft.picked_up.book: #4, 2212(4%)
minecraft.crafted.acacia_planks: #5, 5980(9%)
minecraft.broken.leather_leggings: #4, 3(12%)
minecraft.picked_up.pink_banner: #4, 4(16%)
minecraft.picked_up.coal_block: #5, 697(8%)
minecraft.dropped.blue_wool: #4, 99(11%)
minecraft.mined.carved_pumpkin: #5, 417(10%)
minecraft.crafted.mossy_cobblestone: #4, 325(6%)
minecraft.mined.cracked_polished_blackstone_bricks: #5, 1586(9%)
minecraft.killed.wolf: #4, 5(7%)
minecraft.picked_up.crimson_pressure_plate: #4, 3(13%)
minecraft.crafted.clay: #4, 256(7%)
minecraft.picked_up.prismarine_crystals: #4, 1471(4%)
minecraft.mined.yellow_stained_glass: #5, 253(14%)
minecraft.dropped.warped_planks: #4, 15(7%)
minecraft.dropped.cobblestone: #5, 16787(8%)
minecraft.mined.infested_stone_bricks: #4, 5(7%)
minecraft.picked_up.powered_rail: #5, 1290(8%)
minecraft.custom.sneak_time: #6, 5891528(6%)
minecraft.mined.infested_mossy_stone_bricks: #4, 2(12%)
