stat, rank, value, (percentage) 
minecraft.dropped.golden_boots: #1, 131(30%)
minecraft.used.blue_concrete_powder: #1, 5970(30%)
minecraft.crafted.light_gray_concrete_powder: #1, 28848(27%)
minecraft.used.yellow_shulker_box: #1, 1366(26%)
minecraft.dropped.water_bucket: #1, 111(30%)
minecraft.dropped.gray_concrete: #1, 1804(31%)
minecraft.crafted.pink_bed: #1, 85(45%)
minecraft.picked_up.nether_brick: #1, 2962(34%)
minecraft.picked_up.ink_sac: #2, 13119(28%)
minecraft.killed.strider: #1, 36(63%)
minecraft.used.yellow_concrete_powder: #1, 9374(32%)
minecraft.mined.light_gray_concrete_powder: #1, 941(30%)
minecraft.crafted.bone_meal: #2, 768977(28%)
minecraft.crafted.enchanting_table: #1, 18(27%)
minecraft.picked_up.blue_orchid: #2, 1982(32%)
minecraft.used.cracked_stone_bricks: #1, 1790(25%)
minecraft.used.clay: #1, 2362(31%)
minecraft.used.cooked_porkchop: #2, 4275(28%)
minecraft.used.jungle_planks: #1, 3303(26%)
minecraft.mined.brown_concrete: #1, 1475(36%)
minecraft.crafted.light_gray_bed: #1, 85(59%)
minecraft.used.cracked_polished_blackstone_bricks: #1, 1524(30%)
minecraft.used.red_concrete_powder: #1, 11566(26%)
minecraft.crafted.jungle_slab: #1, 7410(26%)
minecraft.used.diamond_sword: #1, 87154(21%)
minecraft.crafted.blue_concrete_powder: #1, 6024(26%)
minecraft.dropped.bone: #1, 9213(22%)
minecraft.used.magenta_concrete_powder: #1, 5508(35%)
minecraft.used.pink_bed: #1, 89(37%)
minecraft.dropped.leather_boots: #1, 102(26%)
minecraft.mined.purple_concrete: #1, 1344(27%)
minecraft.used.jungle_fence_gate: #1, 1144(40%)
minecraft.mined.red_wool: #1, 688(26%)
minecraft.picked_up.honey_block: #1, 1620(23%)
minecraft.killed.pufferfish: #1, 102(30%)
minecraft.mined.bone_block: #1, 1814(24%)
minecraft.crafted.jungle_fence_gate: #1, 1151(39%)
minecraft.used.stone_brick_wall: #1, 3549(26%)
minecraft.crafted.magma_cream: #1, 10562(100%)
minecraft.crafted.flower_pot: #2, 1602(28%)
minecraft.crafted.honeycomb_block: #1, 9367(61%)
minecraft.crafted.jungle_planks: #1, 66380(20%)
minecraft.used.polished_blackstone: #1, 8707(20%)
minecraft.picked_up.cyan_concrete_powder: #2, 6414(38%)
minecraft.mined.fern: #1, 1267(20%)
minecraft.crafted.jungle_sign: #1, 348(27%)
minecraft.picked_up.red_sandstone_wall: #1, 76(78%)
minecraft.used.glowstone: #2, 4918(24%)
minecraft.dropped.rabbit_foot: #1, 64(93%)
minecraft.used.orange_concrete_powder: #1, 6475(27%)
minecraft.dropped.chainmail_leggings: #1, 30(24%)
minecraft.crafted.yellow_concrete_powder: #1, 9376(29%)
minecraft.picked_up.pufferfish: #1, 157(19%)
minecraft.crafted.pink_wool: #1, 241(51%)
minecraft.mined.polished_blackstone_bricks: #2, 11494(25%)
minecraft.used.cyan_terracotta: #1, 46658(20%)
minecraft.custom.leave_game: #1, 4054(9%)
minecraft.dropped.leather_chestplate: #1, 82(21%)
minecraft.picked_up.player_head: #1, 2772(16%)
minecraft.used.polished_granite_slab: #1, 329(37%)
minecraft.picked_up.bubble_coral_block: #1, 766(31%)
minecraft.dropped.ink_sac: #2, 1010(28%)
minecraft.used.red_banner: #1, 127(34%)
minecraft.picked_up.scute: #1, 362(87%)
minecraft.dropped.soul_sand: #1, 1553(21%)
minecraft.used.polished_granite_stairs: #1, 329(39%)
minecraft.crafted.end_crystal: #1, 576(54%)
minecraft.custom.play_one_minute: #1, 201105813(9%)
minecraft.picked_up.slime_ball: #1, 9033(19%)
minecraft.used.cracked_nether_bricks: #1, 1764(71%)
minecraft.dropped.rabbit: #2, 66(33%)
minecraft.crafted.orange_concrete_powder: #1, 6472(25%)
minecraft.used.granite_slab: #1, 327(42%)
minecraft.mined.orange_shulker_box: #2, 1311(24%)
minecraft.picked_up.polished_blackstone_bricks: #2, 10412(24%)
minecraft.picked_up.stripped_oak_log: #2, 1268(21%)
minecraft.picked_up.orange_shulker_box: #2, 1318(23%)
minecraft.dropped.ender_chest: #1, 58(23%)
minecraft.mined.stripped_oak_log: #2, 1271(21%)
minecraft.mined.bubble_coral_block: #1, 769(31%)
minecraft.crafted.red_concrete_powder: #2, 11592(25%)
minecraft.used.fire_coral: #1, 19(50%)
minecraft.dropped.horn_coral_fan: #1, 14(67%)
minecraft.mined.polished_granite_slab: #1, 50(36%)
minecraft.killed.trader_llama: #1, 89(20%)
minecraft.dropped.lily_pad: #1, 75(39%)
minecraft.crafted.cyan_terracotta: #1, 43632(20%)
minecraft.mined.granite_slab: #1, 58(49%)
minecraft.mined.white_concrete: #2, 43186(20%)
minecraft.crafted.gold_block: #2, 11124(20%)
minecraft.killed.wandering_trader: #1, 45(19%)
minecraft.used.composter: #1, 416(17%)
minecraft.crafted.acacia_fence_gate: #1, 192(43%)
minecraft.crafted.orange_stained_glass: #1, 4024(23%)
minecraft.used.stripped_oak_log: #2, 890(25%)
minecraft.used.tube_coral: #1, 19(48%)
minecraft.crafted.oak_pressure_plate: #1, 30(20%)
minecraft.picked_up.granite_slab: #1, 57(47%)
minecraft.used.black_wool: #2, 7647(22%)
minecraft.used.orange_shulker_box: #2, 1279(23%)
minecraft.dropped.pufferfish_bucket: #1, 37(47%)
minecraft.picked_up.bone_block: #1, 2312(16%)
minecraft.picked_up.cooked_rabbit: #1, 88(46%)
minecraft.crafted.orange_wool: #1, 449(46%)
minecraft.crafted.composter: #2, 614(20%)
minecraft.crafted.magenta_concrete_powder: #1, 5544(30%)
minecraft.dropped.white_concrete: #1, 554(18%)
minecraft.used.cyan_carpet: #1, 1680(20%)
minecraft.crafted.gold_ingot: #2, 173143(19%)
minecraft.used.basalt: #2, 9099(20%)
minecraft.used.kelp: #2, 5195(21%)
minecraft.used.stone_slab: #1, 10177(15%)
minecraft.used.gray_concrete_powder: #2, 59013(19%)
minecraft.picked_up.fire_charge: #1, 417(24%)
minecraft.crafted.birch_fence: #1, 729(21%)
minecraft.used.acacia_fence_gate: #1, 181(44%)
minecraft.used.warped_slab: #1, 1117(19%)
minecraft.used.oak_pressure_plate: #1, 30(19%)
minecraft.dropped.chainmail_boots: #1, 32(23%)
minecraft.custom.inspect_hopper: #1, 7240(12%)
minecraft.picked_up.magenta_glazed_terracotta: #1, 54(68%)
minecraft.used.tube_coral_fan: #1, 22(26%)
minecraft.dropped.spider_eye: #3, 4374(26%)
minecraft.used.pink_concrete_powder: #2, 5320(27%)
minecraft.picked_up.shulker_box: #1, 10420(13%)
minecraft.used.gray_glazed_terracotta: #1, 111(47%)
minecraft.picked_up.brown_mushroom: #2, 2314(18%)
minecraft.killed.chicken: #2, 748(18%)
minecraft.used.blue_glazed_terracotta: #1, 221(66%)
minecraft.mined.gray_glazed_terracotta: #1, 59(47%)
minecraft.picked_up.jungle_door: #1, 66(27%)
minecraft.mined.jungle_door: #1, 26(54%)
minecraft.used.lime_terracotta: #2, 1422(27%)
minecraft.picked_up.sandstone: #2, 88667(18%)
minecraft.killed.zoglin: #1, 17(81%)
minecraft.mined.sandstone: #2, 87806(18%)
minecraft.mined.barrel: #1, 532(13%)
minecraft.mined.jungle_sign: #1, 17(17%)
minecraft.mined.shulker_box: #1, 10230(13%)
minecraft.used.shulker_box: #1, 9939(13%)
minecraft.mined.tall_seagrass: #2, 2160(20%)
minecraft.used.warped_wart_block: #2, 2898(20%)
minecraft.picked_up.dried_kelp_block: #2, 1172(36%)
