stat, rank, value, (percentage) 
minecraft.dropped.sandstone: #3, 1814(12%)
minecraft.killed.player: #2, 8(15%)
minecraft.crafted.hopper: #3, 3640(11%)
minecraft.mined.cyan_carpet: #3, 155(14%)
minecraft.crafted.leather_chestplate: #2, 119(8%)
minecraft.dropped.yellow_glazed_terracotta: #2, 10(24%)
minecraft.mined.player_wall_head: #3, 89(11%)
minecraft.crafted.light_blue_concrete_powder: #3, 6696(17%)
minecraft.mined.warped_pressure_plate: #2, 12(41%)
minecraft.used.filled_map: #2, 32(28%)
minecraft.used.horn_coral: #2, 18(17%)
minecraft.picked_up.birch_boat: #3, 54(13%)
minecraft.picked_up.smooth_stone: #3, 4926(11%)
minecraft.used.end_rod: #3, 1677(12%)
minecraft.crafted.polished_basalt: #3, 2944(12%)
minecraft.custom.open_shulker_box: #3, 86535(9%)
minecraft.mined.sand: #3, 220677(11%)
minecraft.mined.fire_coral_wall_fan: #2, 95(11%)
minecraft.mined.horn_coral_wall_fan: #2, 98(11%)
minecraft.used.soul_lantern: #3, 408(12%)
minecraft.crafted.white_bed: #3, 60(11%)
minecraft.used.polished_basalt: #3, 3405(12%)
minecraft.crafted.cyan_concrete_powder: #3, 6664(14%)
minecraft.mined.white_carpet: #3, 506(11%)
minecraft.crafted.blue_stained_glass_pane: #2, 192(17%)
minecraft.used.observer: #3, 2527(11%)
minecraft.picked_up.green_glazed_terracotta: #2, 34(31%)
minecraft.dropped.bamboo: #3, 2508(14%)
minecraft.mined.lime_glazed_terracotta: #2, 28(38%)
minecraft.used.hopper_minecart: #3, 123(11%)
minecraft.picked_up.crimson_pressure_plate: #2, 5(22%)
minecraft.used.dandelion: #3, 50(13%)
minecraft.used.light_gray_wool: #3, 2903(13%)
minecraft.picked_up.fire_coral_block: #3, 489(21%)
minecraft.dropped.lime_shulker_box: #2, 6(25%)
minecraft.mined.light_blue_stained_glass: #2, 744(9%)
minecraft.used.lime_glazed_terracotta: #2, 68(37%)
minecraft.picked_up.orange_banner: #2, 8(21%)
minecraft.used.smoker: #3, 84(15%)
minecraft.dropped.netherite_helmet: #2, 5(12%)
minecraft.custom.climb_one_cm: #3, 9711089(8%)
minecraft.mined.scaffolding: #3, 9483(11%)
minecraft.mined.attached_pumpkin_stem: #2, 8(18%)
minecraft.crafted.leather_leggings: #2, 107(7%)
minecraft.mined.warped_door: #2, 6(16%)
minecraft.used.polished_blackstone_stairs: #3, 1291(12%)
minecraft.mined.lime_shulker_box: #3, 288(12%)
minecraft.crafted.magenta_wool: #2, 216(20%)
minecraft.mined.hay_block: #3, 186(11%)
minecraft.used.cut_sandstone: #2, 2457(8%)
minecraft.picked_up.jungle_fence_gate: #2, 42(12%)
minecraft.mined.honeycomb_block: #2, 160(12%)
minecraft.mined.stripped_spruce_log: #3, 376(11%)
minecraft.used.gray_concrete: #3, 24985(10%)
minecraft.used.blue_wool: #3, 281(13%)
minecraft.mined.fire_coral_block: #3, 498(21%)
minecraft.picked_up.polished_blackstone: #3, 830(10%)
minecraft.crafted.yellow_carpet: #2, 1737(8%)
minecraft.mined.light_blue_wool: #3, 160(16%)
minecraft.crafted.barrel: #3, 755(11%)
minecraft.picked_up.lime_shulker_box: #3, 289(12%)
minecraft.mined.stone_brick_wall: #3, 331(13%)
minecraft.crafted.fletching_table: #2, 68(10%)
minecraft.used.jungle_slab: #3, 2154(15%)
minecraft.used.pumpkin: #3, 684(10%)
minecraft.used.ender_eye: #2, 13(43%)
minecraft.custom.damage_resisted: #3, 31315(10%)
minecraft.picked_up.beacon: #3, 123(10%)
minecraft.dropped.orange_tulip: #2, 36(26%)
minecraft.used.lime_shulker_box: #3, 298(12%)
minecraft.mined.crimson_pressure_plate: #2, 3(21%)
minecraft.picked_up.light_blue_stained_glass: #2, 596(7%)
minecraft.crafted.redstone_block: #3, 4852(9%)
minecraft.crafted.blue_bed: #2, 7(16%)
minecraft.mined.warped_stairs: #3, 61(12%)
minecraft.dropped.iron_nugget: #3, 1846(11%)
minecraft.crafted.observer: #3, 1976(10%)
minecraft.mined.light_blue_wall_banner: #2, 9(18%)
minecraft.crafted.polished_granite_stairs: #2, 83(16%)
minecraft.picked_up.stripped_spruce_log: #3, 377(10%)
minecraft.mined.light_gray_wool: #3, 395(12%)
minecraft.used.nether_brick_slab: #3, 2035(10%)
minecraft.crafted.scaffolding: #3, 4146(10%)
minecraft.used.stonecutter: #3, 297(10%)
minecraft.crafted.warped_sign: #3, 81(15%)
minecraft.picked_up.compass: #3, 102(10%)
minecraft.used.black_stained_glass_pane: #3, 2095(11%)
minecraft.custom.eat_cake_slice: #3, 27(12%)
minecraft.used.player_head: #3, 337(9%)
minecraft.dropped.lime_terracotta: #2, 149(16%)
minecraft.used.chipped_anvil: #3, 34(9%)
minecraft.mined.pink_concrete: #2, 1116(7%)
minecraft.used.warped_stairs: #3, 293(11%)
minecraft.used.beacon: #3, 123(9%)
minecraft.picked_up.smoker: #3, 61(13%)
minecraft.mined.yellow_glazed_terracotta: #3, 236(21%)
minecraft.picked_up.obsidian: #3, 2469(9%)
minecraft.mined.white_stained_glass_pane: #3, 210(10%)
minecraft.picked_up.golden_sword: #3, 381(9%)
minecraft.picked_up.tube_coral_fan: #3, 94(12%)
minecraft.crafted.iron_bars: #3, 3232(9%)
minecraft.mined.magenta_concrete: #3, 1024(14%)
minecraft.dropped.yellow_shulker_box: #2, 3(11%)
minecraft.crafted.birch_fence_gate: #3, 277(12%)
minecraft.dropped.brown_shulker_box: #2, 3(12%)
minecraft.crafted.chest: #3, 5907(8%)
minecraft.crafted.andesite: #2, 3456(15%)
minecraft.mined.stonecutter: #3, 232(9%)
minecraft.mined.chipped_anvil: #3, 37(9%)
minecraft.picked_up.oak_leaves: #4, 107717(13%)
minecraft.mined.light_blue_glazed_terracotta: #2, 32(17%)
minecraft.used.polished_blackstone_slab: #3, 3806(10%)
minecraft.dropped.activator_rail: #2, 2(11%)
minecraft.dropped.pink_shulker_box: #2, 2(17%)
minecraft.used.sandstone: #3, 12374(9%)
minecraft.used.light_blue_carpet: #2, 398(5%)
minecraft.mined.jungle_planks: #3, 364(9%)
minecraft.used.dark_prismarine_slab: #3, 1488(18%)
minecraft.used.brown_mushroom_block: #3, 1387(10%)
minecraft.picked_up.stone_brick_wall: #3, 318(11%)
minecraft.picked_up.cracked_nether_bricks: #2, 112(16%)
minecraft.picked_up.twisting_vines: #3, 305(9%)
minecraft.picked_up.cyan_carpet: #4, 345(15%)
minecraft.crafted.orange_dye: #4, 2053(13%)
minecraft.dropped.netherite_boots: #3, 8(13%)
minecraft.used.end_crystal: #3, 99(21%)
minecraft.crafted.leather_boots: #3, 73(10%)
minecraft.mined.pink_carpet: #3, 99(17%)
minecraft.picked_up.clock: #3, 24(13%)
minecraft.picked_up.cooked_salmon: #3, 55(14%)
minecraft.dropped.end_stone: #3, 269(11%)
minecraft.picked_up.yellow_glazed_terracotta: #3, 245(17%)
minecraft.used.podzol: #3, 4196(10%)
minecraft.mined.tube_coral_wall_fan: #3, 81(10%)
minecraft.dropped.cooked_salmon: #3, 64(24%)
minecraft.picked_up.light_blue_glazed_terracotta: #2, 32(13%)
minecraft.picked_up.bubble_coral_fan: #3, 107(13%)
minecraft.mined.stone_slab: #4, 1629(12%)
minecraft.crafted.polished_blackstone_button: #3, 207(12%)
minecraft.used.weeping_vines: #3, 106(13%)
minecraft.picked_up.shears: #3, 81(8%)
minecraft.mined.blackstone: #3, 21758(8%)
minecraft.crafted.blue_glazed_terracotta: #2, 160(14%)
minecraft.crafted.warped_stairs: #3, 256(10%)
minecraft.mined.crafting_table: #3, 522(8%)
minecraft.mined.white_shulker_box: #3, 430(8%)
minecraft.used.brick_wall: #3, 397(17%)
minecraft.used.white_shulker_box: #3, 439(8%)
minecraft.mined.dried_kelp_block: #2, 318(16%)
minecraft.used.diorite_wall: #3, 273(14%)
minecraft.used.activator_rail: #3, 14(13%)
minecraft.picked_up.white_shulker_box: #3, 433(8%)
minecraft.used.netherite_shovel: #3, 229110(10%)
minecraft.crafted.spectral_arrow: #2, 1028(26%)
minecraft.crafted.lime_terracotta: #3, 1600(14%)
minecraft.dropped.writable_book: #3, 17(8%)
minecraft.used.light_blue_stained_glass_pane: #3, 664(11%)
minecraft.used.granite_stairs: #3, 111(16%)
minecraft.used.chiseled_quartz_block: #3, 1123(10%)
minecraft.picked_up.blackstone: #3, 20898(8%)
minecraft.crafted.white_stained_glass: #3, 7208(8%)
minecraft.used.magenta_carpet: #3, 361(12%)
minecraft.used.nether_sprouts: #2, 24(24%)
minecraft.used.oak_fence: #3, 1282(8%)
minecraft.crafted.green_glazed_terracotta: #2, 32(18%)
minecraft.used.stone: #4, 93065(10%)
minecraft.used.green_concrete_powder: #4, 7308(14%)
minecraft.picked_up.iron_nugget: #3, 1478(8%)
minecraft.picked_up.cocoa_beans: #4, 6858(13%)
minecraft.used.turtle_egg: #3, 237(13%)
minecraft.custom.interact_with_cartography_table: #3, 42(9%)
minecraft.dropped.oak_boat: #3, 12(9%)
minecraft.used.iron_block: #3, 10843(7%)
minecraft.used.crafting_table: #3, 571(7%)
minecraft.dropped.golden_sword: #4, 477(13%)
minecraft.used.acacia_fence: #3, 80(13%)
minecraft.picked_up.crafting_table: #3, 529(7%)
minecraft.dropped.green_shulker_box: #2, 1(17%)
minecraft.used.pink_carpet: #3, 412(11%)
minecraft.crafted.golden_pickaxe: #2, 3(16%)
minecraft.mined.gray_wool: #4, 537(13%)
minecraft.mined.brown_stained_glass: #3, 52(13%)
minecraft.killed_by.piglin_brute: #2, 1(20%)
minecraft.picked_up.pink_carpet: #3, 102(14%)
minecraft.used.dropper: #4, 872(11%)
minecraft.mined.horn_coral_fan: #2, 20(5%)
minecraft.crafted.magenta_carpet: #3, 318(11%)
minecraft.mined.bubble_coral_wall_fan: #3, 91(11%)
minecraft.crafted.loom: #3, 129(8%)
minecraft.picked_up.enchanting_table: #3, 9(10%)
minecraft.crafted.light_gray_wool: #2, 261(4%)
minecraft.mined.nether_quartz_ore: #3, 7448(7%)
minecraft.picked_up.gray_stained_glass_pane: #3, 197(10%)
minecraft.mined.diorite_wall: #3, 105(13%)
minecraft.mined.brick_slab: #3, 64(14%)
minecraft.crafted.birch_pressure_plate: #3, 26(11%)
minecraft.mined.oak_leaves: #4, 95396(11%)
minecraft.mined.orange_carpet: #4, 151(16%)
minecraft.picked_up.gilded_blackstone: #4, 203(14%)
minecraft.picked_up.green_stained_glass_pane: #2, 12(13%)
minecraft.used.purple_wool: #3, 175(9%)
minecraft.used.white_banner: #3, 69(7%)
minecraft.picked_up.salmon: #4, 161(12%)
minecraft.mined.light_blue_banner: #2, 2(17%)
minecraft.dropped.cyan_glazed_terracotta: #2, 1(17%)
minecraft.custom.sneak_time: #5, 7258571(7%)
minecraft.used.cyan_banner: #3, 31(15%)
minecraft.used.orange_terracotta: #3, 1155(7%)
minecraft.mined.purpur_block: #3, 519(8%)
minecraft.mined.pink_wool: #3, 211(10%)
minecraft.used.smooth_quartz_slab: #4, 5638(12%)
minecraft.used.green_bed: #2, 23(3%)
minecraft.killed.mooshroom: #3, 185(13%)
minecraft.dropped.jungle_leaves: #3, 297(9%)
minecraft.picked_up.crimson_sign: #3, 22(10%)
minecraft.used.orange_glazed_terracotta: #2, 48(5%)
minecraft.picked_up.green_shulker_box: #4, 231(11%)
minecraft.crafted.green_concrete_powder: #4, 7464(13%)
minecraft.dropped.red_tulip: #2, 76(5%)
minecraft.mined.green_shulker_box: #4, 227(11%)
minecraft.crafted.hopper_minecart: #4, 127(11%)
minecraft.picked_up.yellow_carpet: #2, 392(2%)
minecraft.picked_up.nether_quartz_ore: #4, 3779(10%)
minecraft.used.green_shulker_box: #4, 232(11%)
minecraft.dropped.netherite_scrap: #2, 1(20%)
minecraft.mined.oak_stairs: #4, 202(10%)
minecraft.custom.crouch_one_cm: #4, 25417108(7%)
minecraft.mined.potted_pink_tulip: #2, 1(12%)
minecraft.dropped.dragon_head: #2, 1(12%)
minecraft.dropped.poisonous_potato: #3, 11(11%)
minecraft.mined.blue_glazed_terracotta: #2, 11(9%)
minecraft.mined.potted_cactus: #3, 6(14%)
minecraft.used.magenta_wool: #3, 139(9%)
minecraft.dropped.honeycomb_block: #2, 80(9%)
minecraft.picked_up.sand: #4, 222823(10%)
minecraft.used.acacia_button: #3, 22(13%)
minecraft.mined.gray_concrete: #4, 19429(11%)
minecraft.used.totem_of_undying: #4, 34(12%)
minecraft.used.red_nether_brick_stairs: #3, 110(12%)
minecraft.used.polished_blackstone_brick_slab: #4, 2874(11%)
minecraft.mined.dropper: #4, 259(10%)
minecraft.killed_by.zombified_piglin: #3, 4(18%)
minecraft.used.orange_tulip: #3, 61(16%)
minecraft.mined.fire: #4, 1422(9%)
minecraft.used.polished_blackstone_brick_stairs: #4, 846(11%)
minecraft.used.beetroot_soup: #2, 1(12%)
minecraft.crafted.beetroot_soup: #2, 1(12%)
minecraft.crafted.purple_shulker_box: #3, 5(14%)
minecraft.used.brewing_stand: #4, 71(10%)
minecraft.picked_up.brown_stained_glass_pane: #3, 18(25%)
minecraft.picked_up.magma_cream: #4, 477(10%)
minecraft.custom.clean_shulker_box: #3, 17(20%)
minecraft.mined.polished_blackstone_stairs: #4, 226(11%)
minecraft.picked_up.tube_coral: #3, 19(10%)
minecraft.mined.wither_skeleton_skull: #3, 4(13%)
minecraft.picked_up.nether_gold_ore: #3, 374(5%)
minecraft.mined.acacia_slab: #3, 70(10%)
minecraft.mined.jungle_slab: #3, 437(6%)
minecraft.picked_up.beehive: #3, 70(7%)
minecraft.mined.pink_wall_banner: #3, 4(24%)
minecraft.crafted.nether_brick_slab: #4, 1254(11%)
minecraft.crafted.sandstone_wall: #3, 606(8%)
minecraft.crafted.pink_carpet: #3, 309(8%)
minecraft.picked_up.potion: #4, 320(9%)
minecraft.dropped.brown_bed: #3, 2(17%)
minecraft.crafted.dark_prismarine_slab: #3, 708(11%)
minecraft.crafted.cyan_banner: #3, 23(11%)
minecraft.mined.end_rod: #3, 696(6%)
minecraft.dropped.string: #4, 1797(9%)
minecraft.crafted.end_rod: #3, 1440(10%)
minecraft.picked_up.brain_coral: #3, 17(9%)
minecraft.picked_up.purpur_block: #3, 413(6%)
minecraft.used.yellow_stained_glass: #4, 1413(14%)
minecraft.mined.smoker: #4, 61(15%)
minecraft.picked_up.tropical_fish_bucket: #2, 2(6%)
minecraft.dropped.splash_potion: #3, 71(7%)
minecraft.mined.crimson_wall_sign: #3, 13(11%)
minecraft.used.brown_banner: #3, 19(16%)
minecraft.used.light_blue_banner: #3, 46(15%)
minecraft.mined.polished_blackstone_brick_stairs: #4, 263(9%)
minecraft.killed.endermite: #4, 31(11%)
minecraft.used.warped_planks: #3, 515(7%)
minecraft.picked_up.lime_terracotta: #4, 325(11%)
minecraft.used.blackstone: #3, 5610(4%)
minecraft.dropped.blaze_rod: #4, 151(15%)
minecraft.mined.orange_concrete: #4, 1638(11%)
minecraft.mined.yellow_banner: #2, 1(2%)
minecraft.crafted.black_bed: #3, 12(10%)
minecraft.crafted.redstone: #4, 24293(9%)
minecraft.used.redstone_lamp: #4, 472(9%)
minecraft.dropped.brown_banner: #2, 1(1%)
minecraft.mined.carved_pumpkin: #4, 435(11%)
minecraft.mined.white_glazed_terracotta: #3, 35(14%)
minecraft.picked_up.fire_coral: #3, 21(10%)
minecraft.crafted.air: #2, 0(0%)
minecraft.crafted.magenta_stained_glass_pane: #3, 80(11%)
minecraft.crafted.conduit: #3, 2(12%)
minecraft.mined.sunflower: #3, 7(6%)
minecraft.picked_up.polished_blackstone_brick_stairs: #4, 249(9%)
minecraft.picked_up.blue_stained_glass_pane: #3, 25(12%)
minecraft.picked_up.oak_fence: #4, 570(8%)
minecraft.crafted.black_stained_glass_pane: #4, 2184(10%)
minecraft.used.light_blue_glazed_terracotta: #3, 56(12%)
minecraft.crafted.green_bed: #3, 6(11%)
minecraft.mined.blue_stained_glass_pane: #3, 25(12%)
minecraft.mined.basalt: #4, 16622(8%)
minecraft.used.pink_banner: #3, 8(14%)
minecraft.picked_up.pink_banner: #3, 4(16%)
minecraft.mined.yellow_stained_glass: #4, 260(14%)
minecraft.mined.nether_sprouts: #4, 501(9%)
minecraft.mined.observer: #4, 561(9%)
minecraft.used.jungle_boat: #4, 50(10%)
minecraft.used.magenta_banner: #3, 4(18%)
minecraft.picked_up.stonecutter: #4, 233(9%)
minecraft.used.comparator: #4, 749(8%)
minecraft.used.light_blue_wool: #4, 972(13%)
minecraft.mined.polished_granite_stairs: #3, 19(10%)
minecraft.used.loom: #4, 89(9%)
minecraft.mined.black_stained_glass: #4, 520(9%)
minecraft.dropped.iron_door: #3, 6(7%)
minecraft.used.spruce_log: #4, 2306(8%)
minecraft.picked_up.polished_granite_slab: #3, 47(7%)
minecraft.killed.elder_guardian: #3, 6(9%)
minecraft.crafted.brown_banner: #3, 26(14%)
minecraft.picked_up.jungle_boat: #4, 50(9%)
minecraft.used.green_stained_glass_pane: #3, 69(12%)
minecraft.used.cornflower: #4, 38(12%)
minecraft.mined.potted_dead_bush: #3, 3(11%)
minecraft.crafted.magenta_dye: #4, 1097(9%)
minecraft.mined.dead_horn_coral_wall_fan: #3, 5(14%)
minecraft.picked_up.weeping_vines: #4, 401(8%)
minecraft.crafted.ender_chest: #4, 70(8%)
minecraft.used.red_tulip: #3, 53(9%)
minecraft.picked_up.oak_stairs: #4, 196(8%)
minecraft.picked_up.netherrack: #4, 83567(7%)
minecraft.mined.dragon_wall_head: #4, 27(9%)
minecraft.crafted.yellow_stained_glass: #4, 1608(12%)
minecraft.picked_up.white_glazed_terracotta: #3, 35(13%)
minecraft.picked_up.cracked_stone_bricks: #4, 333(8%)
minecraft.killed.iron_golem: #4, 59(10%)
minecraft.picked_up.chainmail_boots: #4, 11(9%)
minecraft.picked_up.quartz_bricks: #3, 269(5%)
minecraft.used.smooth_sandstone_slab: #4, 2554(9%)
minecraft.dropped.iron_bars: #4, 640(11%)
minecraft.mined.ladder: #4, 165(8%)
minecraft.mined.soul_lantern: #4, 45(8%)
minecraft.dropped.diamond_boots: #4, 16(9%)
minecraft.mined.crying_obsidian: #4, 97(9%)
minecraft.killed.parrot: #3, 5(8%)
minecraft.crafted.dark_oak_boat: #3, 2(8%)
minecraft.mined.tripwire_hook: #4, 12(9%)
minecraft.mined.warped_roots: #4, 718(8%)
minecraft.used.pumpkin_seeds: #4, 161(8%)
minecraft.mined.redstone_wall_torch: #4, 130(7%)
minecraft.mined.wither_rose: #4, 114(10%)
minecraft.used.granite_wall: #3, 237(9%)
minecraft.mined.quartz_bricks: #3, 269(5%)
minecraft.picked_up.spider_eye: #4, 2152(7%)
minecraft.used.dead_horn_coral_fan: #3, 5(10%)
minecraft.dropped.dark_oak_boat: #3, 1(10%)
minecraft.used.magenta_stained_glass_pane: #3, 40(7%)
minecraft.used.string: #4, 1304(7%)
minecraft.dropped.iron_shovel: #4, 14(8%)
minecraft.picked_up.nautilus_shell: #4, 37(9%)
minecraft.picked_up.leather_leggings: #4, 32(7%)
minecraft.dropped.birch_pressure_plate: #3, 2(10%)
minecraft.broken.netherite_pickaxe: #3, 1(17%)
minecraft.crafted.oak_stairs: #4, 232(7%)
minecraft.crafted.glass_bottle: #4, 2298(7%)
minecraft.dropped.white_shulker_box: #3, 3(8%)
minecraft.mined.lapis_block: #3, 61(6%)
minecraft.picked_up.dragon_head: #4, 32(9%)
minecraft.mined.sandstone_wall: #4, 308(10%)
minecraft.used.tnt_minecart: #3, 24(10%)
minecraft.crafted.tnt_minecart: #3, 24(10%)
minecraft.picked_up.chipped_anvil: #4, 37(7%)
minecraft.dropped.compass: #4, 69(8%)
minecraft.custom.interact_with_smoker: #4, 199(9%)
minecraft.custom.walk_one_cm: #5, 237350130(6%)
minecraft.mined.crimson_sign: #3, 2(9%)
minecraft.picked_up.brain_coral_fan: #4, 97(11%)
minecraft.picked_up.granite: #4, 22800(7%)
minecraft.mined.potted_cornflower: #3, 1(14%)
minecraft.used.white_glazed_terracotta: #3, 65(7%)
minecraft.mined.red_concrete: #5, 2505(12%)
minecraft.dropped.bowl: #4, 8(10%)
minecraft.crafted.light_blue_stained_glass_pane: #4, 656(10%)
minecraft.mined.orange_glazed_terracotta: #3, 27(9%)
minecraft.mined.orange_tulip: #4, 76(12%)
minecraft.used.stone_brick_stairs: #4, 1193(7%)
minecraft.dropped.quartz_block: #4, 768(11%)
minecraft.dropped.jungle_boat: #4, 9(14%)
minecraft.used.purple_shulker_box: #4, 71(12%)
minecraft.dropped.lead: #4, 42(8%)
minecraft.picked_up.white_carpet: #4, 869(7%)
minecraft.used.sandstone_wall: #4, 1083(9%)
minecraft.used.birch_pressure_plate: #4, 29(11%)
minecraft.mined.acacia_trapdoor: #4, 149(9%)
minecraft.dropped.birch_door: #3, 4(6%)
minecraft.mined.tube_coral: #3, 19(4%)
minecraft.picked_up.diorite_wall: #4, 105(12%)
minecraft.mined.light_gray_stained_glass_pane: #4, 123(7%)
minecraft.picked_up.dark_oak_pressure_plate: #3, 3(6%)
minecraft.picked_up.warped_stairs: #4, 60(8%)
minecraft.dropped.shulker_shell: #3, 32(4%)
minecraft.picked_up.dead_bush: #4, 279(8%)
minecraft.killed_by.guardian: #3, 1(6%)
minecraft.mined.fire_coral_fan: #3, 16(4%)
minecraft.mined.stone_brick_stairs: #4, 327(7%)
minecraft.picked_up.purple_shulker_box: #4, 71(12%)
minecraft.picked_up.dirt: #4, 85225(5%)
minecraft.mined.light_blue_carpet: #4, 73(8%)
minecraft.crafted.iron_block: #4, 13866(6%)
minecraft.mined.brain_coral_wall_fan: #4, 87(9%)
minecraft.dropped.green_concrete: #4, 34(13%)
minecraft.used.redstone_torch: #5, 1297(9%)
minecraft.mined.purple_glazed_terracotta: #3, 11(10%)
minecraft.mined.fire_coral: #3, 21(4%)
minecraft.dropped.red_glazed_terracotta: #3, 9(8%)
minecraft.picked_up.blue_glazed_terracotta: #3, 11(8%)
minecraft.mined.green_bed: #3, 17(3%)
minecraft.used.iron_trapdoor: #5, 3026(11%)
minecraft.crafted.black_concrete_powder: #4, 9832(7%)
minecraft.used.smooth_red_sandstone: #3, 259(4%)
minecraft.mined.granite_wall: #3, 20(4%)
minecraft.picked_up.sandstone_wall: #4, 281(8%)
minecraft.mined.smooth_sandstone_slab: #4, 399(7%)
minecraft.dropped.smooth_sandstone_stairs: #3, 28(4%)
minecraft.mined.cut_sandstone: #4, 474(7%)
minecraft.mined.cyan_glazed_terracotta: #3, 10(8%)
minecraft.used.red_carpet: #4, 1237(6%)
minecraft.dropped.end_crystal: #3, 1(4%)
minecraft.used.purple_glazed_terracotta: #3, 11(8%)
minecraft.picked_up.granite_wall: #3, 20(3%)
minecraft.crafted.chiseled_quartz_block: #4, 319(9%)
minecraft.mined.magenta_carpet: #4, 48(9%)
minecraft.crafted.purple_dye: #4, 1552(6%)
minecraft.mined.purple_shulker_box: #4, 70(12%)
minecraft.mined.green_stained_glass_pane: #3, 4(7%)
minecraft.mined.stone_stairs: #4, 189(6%)
minecraft.mined.smooth_quartz_slab: #4, 567(6%)
minecraft.used.birch_sapling: #4, 782(7%)
minecraft.crafted.dried_kelp_block: #4, 9368(9%)
minecraft.used.oak_fence_gate: #4, 139(6%)
minecraft.picked_up.purple_glazed_terracotta: #3, 11(7%)
minecraft.dropped.pink_banner: #3, 1(9%)
minecraft.mined.red_nether_brick_slab: #3, 33(2%)
minecraft.used.quartz_bricks: #4, 1019(8%)
minecraft.picked_up.stripped_spruce_wood: #4, 128(13%)
minecraft.dropped.gray_shulker_box: #3, 3(4%)
minecraft.mined.green_wool: #4, 105(8%)
minecraft.mined.nether_gold_ore: #4, 514(5%)
minecraft.dropped.brain_coral: #3, 2(5%)
minecraft.mined.brown_glazed_terracotta: #3, 12(5%)
minecraft.crafted.detector_rail: #4, 78(7%)
minecraft.picked_up.orange_glazed_terracotta: #3, 27(4%)
minecraft.used.warped_pressure_plate: #4, 18(14%)
minecraft.killed.bee: #4, 28(8%)
minecraft.mined.turtle_egg: #4, 267(8%)
minecraft.picked_up.oak_pressure_plate: #4, 7(7%)
minecraft.crafted.iron_trapdoor: #5, 2912(10%)
minecraft.used.beehive: #4, 153(7%)
minecraft.dropped.white_bed: #4, 7(9%)
minecraft.mined.blue_concrete: #5, 1797(10%)
minecraft.crafted.sponge: #4, 622(10%)
minecraft.picked_up.chainmail_leggings: #5, 11(9%)
minecraft.dropped.lime_glazed_terracotta: #3, 1(4%)
minecraft.dropped.fermented_spider_eye: #3, 3(5%)
minecraft.used.smooth_red_sandstone_stairs: #4, 75(13%)
minecraft.dropped.sponge: #4, 50(13%)
minecraft.used.brick_stairs: #4, 248(8%)
minecraft.picked_up.jungle_slab: #4, 493(6%)
minecraft.picked_up.cut_sandstone: #4, 459(6%)
minecraft.crafted.blue_dye: #5, 5527(9%)
minecraft.broken.shears: #4, 133(5%)
minecraft.mined.birch_wood: #4, 13(11%)
minecraft.used.dark_prismarine_stairs: #4, 217(12%)
minecraft.crafted.acacia_button: #4, 24(9%)
minecraft.mined.yellow_concrete: #5, 2274(11%)
minecraft.picked_up.acacia_slab: #4, 72(8%)
minecraft.broken.stone_axe: #4, 2(9%)
minecraft.used.peony: #4, 20(6%)
minecraft.crafted.dark_oak_door: #4, 45(8%)
minecraft.picked_up.dragon_breath: #3, 2(1%)
minecraft.crafted.rail: #5, 3152(9%)
minecraft.dropped.beetroot: #3, 1(1%)
minecraft.picked_up.brick_slab: #4, 66(10%)
minecraft.used.brown_glazed_terracotta: #3, 12(1%)
minecraft.picked_up.brown_glazed_terracotta: #3, 12(1%)
minecraft.dropped.oak_pressure_plate: #4, 3(12%)
minecraft.mined.black_glazed_terracotta: #4, 53(12%)
minecraft.dropped.birch_boat: #4, 5(7%)
minecraft.used.pink_wool: #4, 255(7%)
minecraft.crafted.pink_dye: #5, 1061(10%)
minecraft.dropped.nether_sprouts: #3, 1(1%)
minecraft.mined.beehive: #4, 50(7%)
minecraft.picked_up.fern: #5, 806(9%)
minecraft.dropped.totem_of_undying: #4, 7(6%)
minecraft.picked_up.brick_wall: #4, 137(8%)
minecraft.mined.pumpkin: #4, 489(4%)
minecraft.mined.green_terracotta: #4, 147(5%)
minecraft.crafted.lime_wool: #4, 74(8%)
minecraft.crafted.light_blue_wool: #4, 174(7%)
minecraft.dropped.gold_block: #4, 92(6%)
minecraft.custom.interact_with_lectern: #4, 397(4%)
minecraft.picked_up.bubble_coral: #4, 15(9%)
minecraft.used.orange_banner: #4, 12(16%)
minecraft.mined.white_wall_banner: #4, 10(5%)
minecraft.picked_up.orange_carpet: #5, 195(11%)
minecraft.crafted.soul_lantern: #4, 359(5%)
minecraft.crafted.white_banner: #4, 66(5%)
minecraft.mined.blackstone_stairs: #4, 84(5%)
minecraft.picked_up.horn_coral: #4, 18(7%)
minecraft.mined.warped_wall_sign: #4, 7(10%)
minecraft.picked_up.magenta_carpet: #4, 50(6%)
minecraft.used.red_nether_brick_slab: #4, 304(7%)
minecraft.used.blue_stained_glass: #4, 919(6%)
minecraft.crafted.birch_planks: #5, 16140(8%)
minecraft.picked_up.polished_blackstone_stairs: #5, 217(9%)
minecraft.mined.black_stained_glass_pane: #4, 100(5%)
minecraft.mined.iron_trapdoor: #5, 464(9%)
minecraft.picked_up.cooked_chicken: #5, 251(8%)
minecraft.used.wooden_hoe: #4, 43(7%)
minecraft.crafted.dropper: #5, 706(8%)
minecraft.used.green_terracotta: #4, 480(4%)
minecraft.picked_up.stone: #5, 250815(7%)
minecraft.killed_by.enderman: #4, 2(8%)
minecraft.used.jack_o_lantern: #4, 159(6%)
minecraft.dropped.gray_dye: #4, 64(9%)
minecraft.picked_up.red_terracotta: #5, 5927(8%)
