stat, rank, value, (percentage) 
minecraft.mined.oak_leaves: #5, 83646(9%)
minecraft.picked_up.chicken: #5, 601(10%)
minecraft.used.red_sandstone_slab: #3, 7(6%)
minecraft.mined.cyan_terracotta: #5, 4792(10%)
minecraft.used.cactus: #4, 456(5%)
minecraft.crafted.chiseled_sandstone: #3, 120(2%)
minecraft.dropped.lily_of_the_valley: #4, 8(8%)
minecraft.mined.crimson_stairs: #4, 24(9%)
minecraft.picked_up.blackstone_slab: #5, 589(11%)
minecraft.mined.prismarine_stairs: #3, 11(2%)
minecraft.used.purple_stained_glass_pane: #3, 133(1%)
minecraft.used.soul_torch: #4, 85(10%)
minecraft.picked_up.red_sandstone_slab: #3, 1(4%)
minecraft.picked_up.oak_leaves: #5, 76430(9%)
minecraft.picked_up.black_dye: #4, 93(7%)
minecraft.dropped.lilac: #4, 7(8%)
minecraft.picked_up.prismarine_stairs: #3, 11(2%)
minecraft.mined.lily_pad: #4, 107(6%)
minecraft.mined.red_sandstone_slab: #3, 1(4%)
minecraft.used.acacia_door: #4, 27(12%)
minecraft.picked_up.stone_hoe: #4, 8(7%)
minecraft.custom.sprint_one_cm: #5, 171800760(6%)
minecraft.mined.target: #4, 59(8%)
minecraft.killed_by.skeleton: #4, 6(5%)
minecraft.mined.acacia_slab: #4, 63(9%)
minecraft.mined.soul_campfire: #4, 8(11%)
minecraft.picked_up.lily_pad: #4, 162(5%)
minecraft.custom.damage_taken: #5, 573768(7%)
minecraft.dropped.blue_carpet: #3, 2(0%)
minecraft.custom.inspect_hopper: #5, 4226(7%)
minecraft.crafted.dried_kelp: #4, 1529(6%)
minecraft.crafted.blackstone_stairs: #4, 223(5%)
minecraft.used.warped_planks: #4, 457(6%)
minecraft.dropped.carved_pumpkin: #4, 8(7%)
minecraft.dropped.coarse_dirt: #4, 307(5%)
minecraft.crafted.andesite_wall: #4, 420(5%)
minecraft.used.pink_terracotta: #4, 108(9%)
minecraft.crafted.polished_blackstone: #5, 8712(9%)
minecraft.mined.acacia_stairs: #4, 76(7%)
minecraft.picked_up.honey_bottle: #4, 49(6%)
minecraft.crafted.purple_wool: #4, 71(15%)
minecraft.crafted.sandstone_stairs: #4, 496(6%)
minecraft.used.cut_sandstone: #4, 1452(5%)
minecraft.crafted.cooked_chicken: #4, 558(5%)
minecraft.mined.polished_blackstone_button: #4, 9(5%)
minecraft.picked_up.torch: #5, 12532(7%)
minecraft.picked_up.stone_shovel: #4, 6(6%)
minecraft.picked_up.oak_slab: #5, 568(8%)
minecraft.used.bone_meal: #5, 24093(8%)
minecraft.mined.potted_poppy: #4, 1(12%)
minecraft.dropped.nether_brick_stairs: #4, 18(9%)
minecraft.picked_up.vine: #5, 1200(8%)
minecraft.picked_up.leather: #5, 3034(7%)
minecraft.mined.black_stained_glass: #5, 473(9%)
minecraft.mined.rose_bush: #5, 95(8%)
minecraft.used.red_tulip: #4, 46(8%)
minecraft.picked_up.acacia_button: #4, 2(6%)
minecraft.crafted.yellow_wool: #4, 62(5%)
minecraft.picked_up.netherite_sword: #5, 38(7%)
minecraft.picked_up.light_gray_terracotta: #5, 5192(8%)
minecraft.crafted.daylight_detector: #5, 193(9%)
minecraft.picked_up.soul_torch: #5, 76(10%)
minecraft.broken.iron_hoe: #4, 2(8%)
minecraft.used.crimson_fence_gate: #4, 11(6%)
minecraft.custom.walk_on_water_one_cm: #6, 9800719(5%)
minecraft.crafted.light_weighted_pressure_plate: #4, 522(4%)
minecraft.used.light_weighted_pressure_plate: #4, 554(4%)
minecraft.dropped.coal_block: #4, 73(4%)
minecraft.crafted.blue_concrete_powder: #5, 1768(8%)
minecraft.picked_up.chipped_anvil: #5, 35(7%)
minecraft.mined.lilac: #5, 16(8%)
minecraft.picked_up.red_stained_glass_pane: #4, 31(4%)
minecraft.mined.yellow_carpet: #5, 142(9%)
minecraft.used.polished_diorite_slab: #4, 217(5%)
minecraft.picked_up.warped_wart_block: #5, 6497(6%)
minecraft.crafted.scaffolding: #5, 2778(7%)
minecraft.picked_up.black_wool: #5, 1104(7%)
minecraft.crafted.red_wool: #5, 220(9%)
minecraft.killed_by.pillager: #4, 1(9%)
minecraft.mined.polished_blackstone: #5, 428(6%)
minecraft.picked_up.polished_basalt: #5, 593(7%)
minecraft.used.acacia_leaves: #4, 121(4%)
minecraft.mined.light_blue_stained_glass: #4, 211(3%)
minecraft.mined.nether_brick_slab: #5, 263(6%)
minecraft.mined.chipped_anvil: #5, 26(6%)
minecraft.used.cooked_mutton: #5, 305(7%)
minecraft.dropped.oak_boat: #5, 10(8%)
minecraft.mined.daylight_detector: #5, 16(7%)
minecraft.used.cyan_carpet: #5, 655(8%)
minecraft.custom.horse_one_cm: #5, 772527(6%)
minecraft.crafted.acacia_door: #4, 12(4%)
minecraft.crafted.sandstone: #5, 1302(7%)
minecraft.crafted.cracked_stone_bricks: #5, 448(10%)
minecraft.crafted.blackstone_wall: #5, 196(9%)
minecraft.picked_up.white_carpet: #5, 778(6%)
minecraft.picked_up.feather: #5, 705(6%)
minecraft.picked_up.yellow_banner: #4, 3(3%)
minecraft.crafted.prismarine_stairs: #4, 52(6%)
minecraft.mined.yellow_terracotta: #5, 4951(7%)
minecraft.mined.cyan_carpet: #5, 75(7%)
minecraft.crafted.magenta_bed: #4, 1(4%)
minecraft.picked_up.tripwire_hook: #5, 69(5%)
minecraft.picked_up.kelp: #5, 11673(5%)
minecraft.dropped.poisonous_potato: #5, 10(10%)
minecraft.dropped.yellow_banner: #4, 1(3%)
minecraft.mined.lime_wall_banner: #4, 2(3%)
minecraft.crafted.brown_bed: #4, 10(3%)
minecraft.crafted.magenta_wool: #4, 33(3%)
minecraft.broken.stone_shovel: #4, 5(2%)
minecraft.picked_up.mossy_stone_brick_stairs: #4, 2(4%)
minecraft.mined.gray_wall_banner: #4, 1(5%)
minecraft.mined.red_tulip: #5, 53(7%)
minecraft.crafted.chiseled_red_sandstone: #4, 3(5%)
minecraft.mined.jack_o_lantern: #5, 39(8%)
minecraft.mined.spruce_sign: #5, 14(6%)
minecraft.picked_up.red_sandstone: #4, 8(2%)
minecraft.dropped.dark_oak_door: #4, 1(4%)
minecraft.mined.coarse_dirt: #5, 1502(5%)
minecraft.used.birch_stairs: #5, 370(7%)
minecraft.mined.crimson_wall_sign: #4, 2(2%)
minecraft.crafted.purple_stained_glass_pane: #4, 152(2%)
minecraft.picked_up.brown_stained_glass: #5, 46(8%)
minecraft.picked_up.stripped_acacia_log: #5, 37(8%)
minecraft.crafted.beehive: #4, 34(2%)
minecraft.picked_up.gray_banner: #4, 1(3%)
minecraft.used.orange_glazed_terracotta: #4, 14(2%)
minecraft.mined.warped_wart_block: #6, 6536(9%)
minecraft.picked_up.flint_and_steel: #5, 17(5%)
minecraft.picked_up.nether_brick_slab: #5, 407(5%)
minecraft.mined.twisting_vines: #5, 48(6%)
minecraft.used.soul_campfire: #5, 30(8%)
minecraft.picked_up.honeycomb: #4, 165(1%)
minecraft.crafted.cracked_nether_bricks: #4, 14(1%)
minecraft.killed.chicken: #6, 362(9%)
minecraft.crafted.lime_stained_glass: #5, 2192(6%)
minecraft.used.purpur_block: #5, 118(6%)
minecraft.used.spider_eye: #4, 7(1%)
minecraft.used.warped_fence: #5, 118(7%)
minecraft.dropped.dragon_breath: #4, 1(1%)
minecraft.picked_up.warped_roots: #5, 1677(5%)
minecraft.dropped.pumpkin_pie: #5, 77(6%)
minecraft.dropped.honeycomb_block: #4, 1(0%)
minecraft.mined.birch_door: #5, 3(12%)
minecraft.mined.scaffolding: #6, 7814(9%)
minecraft.picked_up.birch_leaves: #5, 3796(4%)
minecraft.used.orange_bed: #5, 14(8%)
minecraft.used.birch_slab: #5, 520(5%)
minecraft.used.lime_stained_glass: #5, 1701(5%)
minecraft.picked_up.jungle_leaves: #5, 2570(4%)
minecraft.picked_up.lime_carpet: #5, 166(6%)
minecraft.mined.purple_bed: #5, 18(6%)
minecraft.crafted.nether_brick: #5, 4024(5%)
minecraft.crafted.soul_lantern: #5, 346(5%)
minecraft.crafted.brown_stained_glass: #5, 256(6%)
minecraft.killed.squid: #5, 264(4%)
minecraft.dropped.crimson_planks: #5, 64(6%)
minecraft.mined.pumpkin_stem: #5, 17(6%)
minecraft.used.jack_o_lantern: #5, 155(6%)
minecraft.mined.oak_stairs: #6, 153(8%)
minecraft.picked_up.red_nether_brick_wall: #5, 9(10%)
minecraft.killed.skeleton: #5, 5222(3%)
minecraft.dropped.chorus_fruit: #5, 134(4%)
minecraft.used.scaffolding: #6, 17232(8%)
minecraft.picked_up.lead: #6, 303(7%)
minecraft.used.heavy_weighted_pressure_plate: #5, 23(4%)
minecraft.crafted.cyan_terracotta: #6, 19088(9%)
minecraft.mined.pink_terracotta: #5, 45(7%)
minecraft.custom.fall_one_cm: #6, 14028426(6%)
minecraft.crafted.light_blue_wool: #5, 129(5%)
minecraft.crafted.pink_wool: #5, 36(8%)
minecraft.used.brown_stained_glass: #5, 129(6%)
minecraft.crafted.magenta_carpet: #5, 135(5%)
minecraft.broken.leather_boots: #5, 2(10%)
minecraft.picked_up.polished_blackstone_button: #5, 14(4%)
minecraft.picked_up.scaffolding: #6, 16567(7%)
minecraft.picked_up.white_terracotta: #6, 5160(8%)
minecraft.used.light_blue_carpet: #5, 260(4%)
minecraft.used.rose_bush: #5, 102(3%)
minecraft.used.composter: #6, 174(7%)
minecraft.dropped.birch_leaves: #6, 495(8%)
minecraft.picked_up.iron_helmet: #6, 30(7%)
minecraft.mined.dispenser: #6, 114(7%)
minecraft.used.sugar_cane: #6, 979(6%)
minecraft.killed.slime: #5, 1483(3%)
minecraft.used.cracked_stone_bricks: #6, 502(7%)
minecraft.used.brown_bed: #5, 22(4%)
minecraft.mined.birch_slab: #5, 125(3%)
minecraft.crafted.spruce_door: #5, 36(3%)
minecraft.crafted.cyan_bed: #5, 5(5%)
minecraft.picked_up.oak_stairs: #6, 168(7%)
minecraft.crafted.polished_blackstone_wall: #5, 300(4%)
minecraft.mined.cactus: #6, 155(7%)
minecraft.used.lime_banner: #5, 20(7%)
minecraft.picked_up.allium: #5, 85(3%)
minecraft.picked_up.mossy_cobblestone: #6, 231(7%)
minecraft.crafted.crimson_sign: #5, 15(3%)
minecraft.picked_up.blue_orchid: #5, 146(2%)
minecraft.used.polished_blackstone_bricks: #6, 2609(7%)
minecraft.killed.ender_dragon: #5, 1(8%)
minecraft.mined.vine: #6, 1750(6%)
minecraft.crafted.barrel: #6, 468(7%)
minecraft.used.warped_fungus: #5, 185(2%)
minecraft.picked_up.polished_blackstone: #6, 494(6%)
minecraft.mined.polished_blackstone_pressure_plate: #5, 7(3%)
minecraft.used.stripped_acacia_log: #5, 11(4%)
minecraft.crafted.baked_potato: #5, 62(4%)
minecraft.crafted.crimson_fence_gate: #5, 10(3%)
minecraft.mined.warped_stairs: #6, 37(7%)
minecraft.picked_up.light_weighted_pressure_plate: #5, 57(3%)
minecraft.picked_up.mutton: #6, 319(6%)
minecraft.mined.warped_stem: #6, 2296(6%)
minecraft.custom.jump: #7, 467036(5%)
minecraft.picked_up.pink_tulip: #5, 94(2%)
minecraft.picked_up.dark_oak_pressure_plate: #5, 2(4%)
minecraft.mined.birch_stairs: #6, 102(8%)
minecraft.used.lantern: #6, 711(5%)
minecraft.used.jungle_pressure_plate: #5, 4(3%)
minecraft.used.lily_pad: #6, 12(9%)
minecraft.crafted.oak_slab: #6, 1389(6%)
minecraft.crafted.green_shulker_box: #6, 9(9%)
minecraft.custom.fill_cauldron: #6, 14(6%)
minecraft.mined.heavy_weighted_pressure_plate: #5, 7(2%)
minecraft.picked_up.warped_fence_gate: #5, 2(3%)
minecraft.custom.damage_absorbed: #6, 588(7%)
minecraft.mined.granite_slab: #5, 4(3%)
minecraft.mined.pink_carpet: #5, 14(2%)
minecraft.custom.interact_with_loom: #6, 53(6%)
minecraft.mined.warped_fence_gate: #5, 2(3%)
minecraft.used.oak_wood: #5, 828(2%)
minecraft.used.emerald_block: #5, 182(1%)
minecraft.crafted.chainmail_chestplate: #5, 1(4%)
minecraft.picked_up.music_disc_blocks: #5, 1(2%)
minecraft.mined.acacia_door: #5, 1(4%)
minecraft.mined.emerald_block: #5, 90(1%)
minecraft.mined.lantern: #6, 131(5%)
minecraft.picked_up.cobblestone_stairs: #6, 110(6%)
minecraft.crafted.lime_banner: #5, 11(2%)
minecraft.picked_up.yellow_carpet: #5, 187(1%)
minecraft.crafted.yellow_banner: #5, 3(2%)
minecraft.used.stripped_crimson_hyphae: #5, 3(3%)
minecraft.used.honey_bottle: #5, 10(2%)
minecraft.dropped.acacia_leaves: #5, 31(1%)
minecraft.dropped.polished_diorite_slab: #5, 1(3%)
minecraft.crafted.end_rod: #5, 188(1%)
minecraft.crafted.dried_kelp_block: #5, 1098(1%)
minecraft.crafted.purpur_block: #5, 160(2%)
minecraft.crafted.birch_stairs: #6, 384(6%)
minecraft.mined.lapis_block: #5, 11(1%)
minecraft.used.pink_stained_glass: #5, 9(1%)
minecraft.crafted.pink_stained_glass: #5, 32(1%)
minecraft.picked_up.purple_concrete_powder: #5, 63(1%)
minecraft.mined.spruce_sapling: #6, 49(6%)
minecraft.mined.cracked_nether_bricks: #5, 6(2%)
minecraft.picked_up.oak_fence_gate: #6, 65(5%)
minecraft.dropped.lime_stained_glass_pane: #5, 3(1%)
minecraft.mined.stripped_acacia_wood: #5, 1(1%)
minecraft.used.detector_rail: #6, 25(5%)
minecraft.picked_up.cracked_nether_bricks: #5, 6(1%)
minecraft.picked_up.purple_dye: #5, 11(1%)
minecraft.crafted.iron_nugget: #6, 8421(5%)
minecraft.crafted.bread: #6, 1410(5%)
minecraft.dropped.dried_kelp: #5, 26(0%)
minecraft.crafted.golden_shovel: #5, 1(1%)
minecraft.picked_up.dragon_breath: #5, 1(1%)
minecraft.mined.red_carpet: #6, 100(5%)
minecraft.crafted.bone_meal: #6, 119202(4%)
minecraft.used.cracked_nether_bricks: #5, 12(0%)
minecraft.crafted.nether_brick_slab: #6, 584(5%)
minecraft.dropped.ender_eye: #5, 1(0%)
minecraft.used.compass: #5, 1(0%)
minecraft.mined.azure_bluet: #6, 78(5%)
minecraft.picked_up.carved_pumpkin: #6, 227(4%)
minecraft.picked_up.target: #6, 61(6%)
minecraft.mined.stripped_acacia_log: #6, 26(6%)
minecraft.picked_up.brown_bed: #6, 14(6%)
minecraft.mined.smooth_sandstone_slab: #6, 277(5%)
minecraft.used.sandstone_stairs: #6, 961(5%)
minecraft.mined.brown_bed: #6, 14(6%)
minecraft.used.red_carpet: #6, 845(4%)
minecraft.mined.brown_carpet: #6, 63(5%)
minecraft.picked_up.orange_tulip: #6, 117(7%)
minecraft.picked_up.spruce_boat: #6, 24(5%)
minecraft.picked_up.pumpkin_pie: #6, 144(4%)
minecraft.used.wooden_axe: #6, 31(7%)
minecraft.killed.cave_spider: #6, 1471(4%)
minecraft.used.sandstone: #6, 5171(4%)
minecraft.used.spruce_boat: #6, 18(5%)
minecraft.picked_up.purple_bed: #6, 18(6%)
minecraft.picked_up.light_blue_carpet: #6, 81(4%)
minecraft.picked_up.ink_sac: #6, 1460(3%)
minecraft.crafted.stone_hoe: #6, 13(4%)
minecraft.crafted.gray_carpet: #6, 1350(4%)
minecraft.picked_up.oak_boat: #7, 101(7%)
minecraft.used.lily_of_the_valley: #6, 10(7%)
minecraft.used.dandelion: #6, 14(4%)
minecraft.crafted.lime_stained_glass_pane: #6, 264(4%)
minecraft.picked_up.white_dye: #6, 316(3%)
minecraft.used.brown_terracotta: #6, 1260(4%)
minecraft.mined.pumpkin: #6, 338(3%)
minecraft.crafted.stone_axe: #6, 10(3%)
minecraft.picked_up.white_tulip: #6, 82(3%)
minecraft.mined.campfire: #6, 46(3%)
minecraft.picked_up.glass_pane: #6, 195(3%)
minecraft.mined.twisting_vines_plant: #6, 37(3%)
minecraft.used.gold_ore: #6, 13(3%)
minecraft.used.cookie: #6, 6(3%)
minecraft.used.target: #6, 82(4%)
minecraft.crafted.crossbow: #6, 65(4%)
minecraft.used.polished_basalt: #7, 2039(7%)
minecraft.used.bone_block: #6, 1085(3%)
minecraft.custom.interact_with_anvil: #7, 653(5%)
minecraft.used.orange_carpet: #6, 431(3%)
minecraft.picked_up.light_gray_concrete_powder: #6, 904(2%)
minecraft.picked_up.purple_terracotta: #6, 195(6%)
minecraft.picked_up.brick_stairs: #6, 31(3%)
minecraft.picked_up.shroomlight: #7, 762(7%)
minecraft.used.yellow_wool: #6, 153(3%)
minecraft.picked_up.clock: #6, 6(3%)
minecraft.dropped.spruce_leaves: #6, 99(3%)
minecraft.killed_by.iron_golem: #6, 2(4%)
minecraft.used.yellow_carpet: #6, 533(3%)
minecraft.picked_up.acacia_sign: #6, 25(2%)
minecraft.custom.deaths: #7, 170(5%)
minecraft.picked_up.cyan_terracotta: #7, 4020(6%)
minecraft.used.crimson_sign: #6, 14(3%)
minecraft.used.oak_sapling: #6, 836(2%)
minecraft.picked_up.dandelion: #6, 631(2%)
minecraft.picked_up.crimson_fence_gate: #6, 4(4%)
minecraft.mined.oak_fence: #7, 362(6%)
minecraft.used.blackstone_wall: #6, 162(2%)
minecraft.mined.quartz_slab: #6, 64(2%)
minecraft.mined.white_carpet: #7, 274(6%)
minecraft.mined.snow_block: #6, 708(2%)
minecraft.mined.jungle_log: #7, 8260(6%)
minecraft.picked_up.light_blue_stained_glass: #6, 175(2%)
minecraft.mined.grass_path: #6, 294(2%)
minecraft.mined.shroomlight: #7, 528(6%)
minecraft.mined.warped_slab: #7, 70(7%)
minecraft.picked_up.lime_banner: #6, 13(3%)
minecraft.killed_by.magma_cube: #6, 1(6%)
minecraft.picked_up.rose_bush: #7, 1648(6%)
minecraft.crafted.orange_wool: #6, 40(4%)
minecraft.picked_up.jungle_log: #7, 8127(6%)
minecraft.killed_by.zombified_piglin: #6, 1(5%)
minecraft.crafted.smooth_sandstone_slab: #6, 390(2%)
minecraft.mined.crimson_fence_gate: #6, 3(3%)
minecraft.used.dirt: #7, 44876(5%)
minecraft.picked_up.bread: #6, 153(1%)
minecraft.mined.orange_wool: #6, 38(2%)
minecraft.picked_up.yellow_terracotta: #7, 4896(6%)
minecraft.mined.orange_terracotta: #7, 7547(5%)
minecraft.used.torch: #7, 17289(5%)
minecraft.crafted.granite_slab: #6, 12(3%)
minecraft.crafted.prismarine_slab: #6, 24(2%)
minecraft.mined.grass_block: #7, 52015(5%)
minecraft.mined.spruce_pressure_plate: #6, 5(2%)
minecraft.crafted.soul_campfire: #6, 17(2%)
minecraft.crafted.oak_wood: #6, 699(1%)
minecraft.used.cobblestone: #7, 10033(5%)
minecraft.mined.polished_basalt: #7, 396(5%)
minecraft.picked_up.green_bed: #6, 10(2%)
minecraft.picked_up.trident: #7, 28(6%)
minecraft.picked_up.brown_banner: #6, 2(2%)
minecraft.crafted.sandstone_slab: #6, 480(1%)
minecraft.used.white_tulip: #6, 17(2%)
minecraft.picked_up.warped_stem: #7, 2322(5%)
minecraft.used.light_blue_stained_glass_pane: #6, 69(1%)
minecraft.used.red_sandstone: #6, 5(2%)
minecraft.dropped.orange_shulker_box: #6, 2(2%)
minecraft.picked_up.slime_ball: #7, 2480(5%)
minecraft.picked_up.brown_dye: #6, 23(2%)
minecraft.picked_up.orange_terracotta: #7, 7739(5%)
minecraft.picked_up.jack_o_lantern: #7, 51(6%)
minecraft.crafted.chainmail_leggings: #6, 1(3%)
minecraft.mined.soul_torch: #6, 5(2%)
minecraft.dropped.birch_door: #6, 1(2%)
minecraft.used.white_glazed_terracotta: #6, 13(1%)
minecraft.mined.hay_block: #7, 86(5%)
minecraft.used.red_nether_brick_wall: #6, 11(2%)
minecraft.crafted.honey_block: #6, 166(1%)
minecraft.used.damaged_anvil: #7, 10(5%)
minecraft.mined.spruce_log: #7, 6384(5%)
minecraft.mined.cyan_stained_glass: #6, 105(0%)
minecraft.picked_up.blue_stained_glass_pane: #6, 2(1%)
minecraft.used.magenta_stained_glass: #6, 9(1%)
minecraft.dropped.cyan_dye: #6, 23(1%)
minecraft.crafted.bucket: #7, 271(4%)
minecraft.picked_up.map: #6, 3(0%)
minecraft.crafted.granite_wall: #6, 12(1%)
minecraft.used.mossy_stone_brick_stairs: #6, 2(1%)
minecraft.picked_up.dirt: #7, 63123(4%)
minecraft.dropped.nether_brick_slab: #6, 12(0%)
minecraft.dropped.chiseled_nether_bricks: #6, 1(1%)
minecraft.used.crimson_stairs: #7, 128(7%)
minecraft.picked_up.stripped_acacia_wood: #6, 1(1%)
minecraft.dropped.ladder: #7, 63(5%)
minecraft.used.bubble_coral_block: #6, 2(0%)
minecraft.picked_up.warped_stairs: #7, 42(5%)
minecraft.crafted.honeycomb_block: #6, 5(0%)
minecraft.picked_up.stone_pressure_plate: #7, 72(5%)
minecraft.crafted.air: #6, 0(0%)
minecraft.picked_up.basalt: #7, 5355(4%)
minecraft.used.mossy_cobblestone: #7, 140(5%)
minecraft.picked_up.golden_apple: #7, 29(5%)
minecraft.mined.jungle_stairs: #7, 64(5%)
minecraft.mined.glass_pane: #7, 68(4%)
minecraft.picked_up.acacia_planks: #7, 101(5%)
minecraft.mined.birch_sapling: #7, 31(5%)
minecraft.used.dried_kelp: #7, 100(7%)
minecraft.crafted.spruce_stairs: #7, 516(4%)
minecraft.picked_up.chorus_fruit: #7, 1031(4%)
minecraft.picked_up.soul_campfire: #7, 8(8%)
minecraft.used.granite: #7, 1329(3%)
minecraft.used.oak_planks: #7, 557(3%)
minecraft.picked_up.spider_eye: #7, 1000(3%)
minecraft.mined.birch_leaves: #7, 4391(3%)
minecraft.picked_up.smooth_sandstone_slab: #7, 283(4%)
minecraft.crafted.stone_stairs: #7, 264(4%)
minecraft.mined.black_concrete_powder: #7, 246(4%)
minecraft.crafted.cobblestone_stairs: #7, 140(4%)
minecraft.mined.gray_carpet: #7, 149(3%)
minecraft.mined.jungle_leaves: #7, 2895(3%)
minecraft.crafted.smooth_quartz_slab: #7, 1136(4%)
minecraft.crafted.stone_brick_wall: #7, 198(3%)
minecraft.crafted.warped_fence: #7, 90(4%)
minecraft.crafted.red_shulker_box: #7, 8(3%)
minecraft.picked_up.crossbow: #7, 29(3%)
minecraft.picked_up.cyan_carpet: #7, 76(3%)
minecraft.picked_up.coarse_dirt: #7, 1443(3%)
minecraft.custom.strider_one_cm: #7, 49037(5%)
minecraft.mined.spruce_leaves: #7, 4167(3%)
minecraft.picked_up.warped_fungus: #7, 260(3%)
minecraft.crafted.wooden_axe: #7, 1(5%)
minecraft.used.andesite_wall: #7, 399(4%)
minecraft.crafted.lapis_lazuli: #7, 1701(3%)
minecraft.mined.carved_pumpkin: #7, 133(3%)
minecraft.mined.seagrass: #7, 775(3%)
minecraft.crafted.purple_dye: #7, 710(3%)
minecraft.mined.brown_terracotta: #7, 802(3%)
minecraft.crafted.jack_o_lantern: #7, 129(4%)
minecraft.used.nether_wart_block: #7, 413(3%)
minecraft.crafted.polished_basalt: #8, 1720(7%)
minecraft.dropped.red_banner: #7, 1(5%)
minecraft.used.smooth_stone: #7, 2955(2%)
minecraft.used.baked_potato: #7, 79(4%)
minecraft.dropped.jungle_leaves: #7, 104(3%)
minecraft.crafted.black_carpet: #7, 1527(2%)
minecraft.used.purple_bed: #7, 18(4%)
minecraft.crafted.cut_sandstone: #7, 840(3%)
minecraft.used.barrel: #8, 589(6%)
minecraft.picked_up.spruce_leaves: #7, 2725(2%)
minecraft.used.polished_blackstone_wall: #7, 328(2%)
minecraft.used.orange_wool: #7, 169(3%)
minecraft.broken.leather_chestplate: #7, 1(6%)
minecraft.used.activator_rail: #7, 3(3%)
minecraft.dropped.netherite_hoe: #7, 1(4%)
minecraft.custom.swim_one_cm: #8, 5719136(5%)
minecraft.picked_up.gray_dye: #7, 65(2%)
minecraft.mined.terracotta: #8, 21935(6%)
minecraft.used.crimson_fence: #7, 37(2%)
minecraft.crafted.activator_rail: #7, 6(3%)
minecraft.picked_up.acacia_leaves: #7, 169(2%)
minecraft.picked_up.terracotta: #8, 22212(6%)
minecraft.crafted.gray_terracotta: #7, 512(2%)
minecraft.picked_up.granite_slab: #7, 4(3%)
minecraft.picked_up.conduit: #7, 1(3%)
minecraft.picked_up.oak_fence: #8, 359(5%)
minecraft.crafted.enchanted_book: #7, 106(1%)
minecraft.mined.warped_door: #7, 1(3%)
minecraft.mined.kelp: #8, 561(5%)
minecraft.mined.green_bed: #7, 10(2%)
minecraft.used.chorus_fruit: #7, 25(1%)
minecraft.picked_up.pink_carpet: #7, 14(2%)
minecraft.used.green_bed: #7, 11(2%)
minecraft.picked_up.emerald_block: #7, 90(1%)
minecraft.used.granite_slab: #7, 16(2%)
minecraft.mined.orange_stained_glass_pane: #7, 18(2%)
minecraft.crafted.chiseled_nether_bricks: #7, 22(2%)
minecraft.dropped.spider_eye: #7, 162(1%)
minecraft.used.cyan_bed: #7, 16(1%)
minecraft.mined.black_carpet: #7, 351(1%)
minecraft.crafted.chainmail_boots: #7, 2(3%)
minecraft.crafted.lever: #8, 266(5%)
minecraft.mined.attached_pumpkin_stem: #7, 1(2%)
minecraft.crafted.green_bed: #7, 1(2%)
minecraft.mined.sand: #8, 97795(5%)
minecraft.dropped.jungle_log: #8, 128(6%)
minecraft.crafted.white_dye: #8, 7483(5%)
minecraft.used.gray_banner: #7, 2(2%)
minecraft.crafted.jungle_pressure_plate: #7, 3(1%)
minecraft.crafted.lime_bed: #7, 1(1%)
minecraft.mined.red_sandstone: #7, 2(1%)
minecraft.mined.attached_melon_stem: #7, 1(2%)
minecraft.used.pink_wool: #7, 29(1%)
minecraft.used.netherite_axe: #8, 32267(6%)
minecraft.dropped.beehive: #7, 1(1%)
minecraft.crafted.cyan_dye: #8, 2558(5%)
minecraft.mined.green_stained_glass: #7, 15(1%)
minecraft.crafted.flint_and_steel: #8, 15(5%)
minecraft.picked_up.elytra: #8, 71(4%)
minecraft.picked_up.black_carpet: #7, 480(0%)
minecraft.crafted.lodestone: #7, 1(1%)
minecraft.killed.snow_golem: #7, 6(1%)
minecraft.custom.use_cauldron: #7, 1(1%)
minecraft.dropped.jack_o_lantern: #7, 1(1%)
minecraft.picked_up.cyan_stained_glass: #7, 99(0%)
minecraft.picked_up.bamboo: #8, 8697(4%)
minecraft.used.light_gray_glazed_terracotta: #7, 12(1%)
minecraft.picked_up.shears: #8, 46(5%)
minecraft.used.wooden_shovel: #7, 16(1%)
minecraft.used.stripped_crimson_stem: #7, 3(1%)
minecraft.picked_up.light_blue_banner: #7, 1(1%)
minecraft.dropped.orange_carpet: #7, 3(0%)
minecraft.used.lodestone: #7, 1(0%)
minecraft.used.granite_wall: #7, 11(0%)
minecraft.dropped.spruce_sapling: #8, 55(5%)
minecraft.dropped.green_dye: #7, 128(0%)
minecraft.used.red_nether_bricks: #7, 34(0%)
minecraft.dropped.blackstone_stairs: #7, 1(0%)
minecraft.crafted.brown_glazed_terracotta: #7, 1(0%)
minecraft.mined.purple_terracotta: #7, 3(0%)
minecraft.picked_up.bone_meal: #8, 2023(4%)
minecraft.picked_up.birch_sapling: #8, 667(4%)
minecraft.custom.play_one_minute: #9, 91493577(4%)
minecraft.picked_up.warped_slab: #8, 71(5%)
minecraft.used.netherite_pickaxe: #8, 277494(4%)
minecraft.crafted.mossy_stone_bricks: #8, 231(6%)
minecraft.mined.redstone_lamp: #8, 78(4%)
minecraft.dropped.gold_ingot: #8, 207(4%)
minecraft.crafted.warped_planks: #8, 1748(4%)
minecraft.used.brown_carpet: #8, 278(4%)
minecraft.crafted.red_dye: #8, 1930(4%)
minecraft.used.pumpkin: #8, 257(4%)
minecraft.killed_by.creeper: #8, 6(4%)
minecraft.dropped.white_carpet: #8, 64(4%)
minecraft.picked_up.spruce_log: #8, 7310(4%)
