stat, rank, value, (percentage) 
minecraft.mined.blue_stained_glass: #2, 520(29%)
minecraft.picked_up.sandstone_wall: #2, 856(24%)
minecraft.crafted.lime_carpet: #1, 1927(18%)
minecraft.used.cooked_beef: #1, 2755(12%)
minecraft.used.birch_door: #2, 148(30%)
minecraft.crafted.golden_pickaxe: #1, 14(74%)
minecraft.picked_up.chainmail_helmet: #1, 17(15%)
minecraft.mined.purple_carpet: #2, 167(22%)
minecraft.picked_up.iron_axe: #2, 64(23%)
minecraft.picked_up.golden_leggings: #1, 61(12%)
minecraft.crafted.lead: #1, 148(15%)
minecraft.picked_up.orange_stained_glass: #2, 1137(23%)
minecraft.picked_up.beetroot_seeds: #3, 1802(24%)
minecraft.crafted.birch_sign: #2, 1087(17%)
minecraft.picked_up.poisonous_potato: #1, 42(17%)
minecraft.used.red_sand: #2, 9835(20%)
minecraft.crafted.mossy_cobblestone_slab: #1, 120(24%)
minecraft.picked_up.leather_leggings: #1, 54(12%)
minecraft.mined.mossy_cobblestone_slab: #1, 27(28%)
minecraft.mined.birch_sign: #2, 107(19%)
minecraft.mined.tall_grass: #2, 1518(17%)
minecraft.picked_up.acacia_door: #1, 37(30%)
minecraft.used.yellow_stained_glass: #2, 2459(25%)
minecraft.custom.sleep_in_bed: #1, 3855(10%)
minecraft.used.red_terracotta: #2, 4878(18%)
minecraft.picked_up.birch_sign: #2, 790(16%)
minecraft.mined.ladder: #1, 247(11%)
minecraft.mined.soul_soil: #2, 6299(16%)
minecraft.used.sea_pickle: #2, 715(19%)
minecraft.broken.stone_pickaxe: #2, 51(24%)
minecraft.used.warped_door: #1, 23(23%)
minecraft.mined.poppy: #2, 1022(15%)
minecraft.crafted.mushroom_stew: #1, 32(63%)
minecraft.crafted.iron_hoe: #2, 18(17%)
minecraft.used.vine: #2, 450(17%)
minecraft.mined.purple_concrete_powder: #1, 21(20%)
minecraft.broken.leather_helmet: #1, 7(24%)
minecraft.picked_up.wheat: #2, 11285(14%)
minecraft.mined.wall_torch: #2, 2367(14%)
minecraft.crafted.book: #2, 1694(15%)
minecraft.picked_up.beef: #2, 3948(14%)
minecraft.mined.jungle_slab: #2, 1220(17%)
minecraft.broken.stone_sword: #1, 6(46%)
minecraft.used.lime_carpet: #2, 2028(18%)
minecraft.mined.warped_roots: #2, 1344(15%)
minecraft.picked_up.wooden_pickaxe: #1, 4(22%)
minecraft.used.golden_sword: #1, 32(73%)
minecraft.used.red_glazed_terracotta: #1, 406(35%)
minecraft.used.poppy: #2, 70(16%)
minecraft.picked_up.green_terracotta: #2, 518(16%)
minecraft.mined.nether_sprouts: #2, 789(15%)
minecraft.dropped.mushroom_stew: #1, 7(41%)
minecraft.used.wheat_seeds: #2, 11350(13%)
minecraft.mined.mossy_stone_bricks: #2, 211(14%)
minecraft.picked_up.jungle_pressure_plate: #1, 4(25%)
minecraft.mined.blackstone_slab: #2, 603(16%)
minecraft.crafted.red_stained_glass_pane: #2, 864(23%)
minecraft.used.golden_pickaxe: #1, 457(99%)
minecraft.used.daylight_detector: #2, 170(15%)
minecraft.picked_up.black_stained_glass: #2, 1205(14%)
minecraft.picked_up.jungle_slab: #2, 1285(16%)
minecraft.picked_up.orange_dye: #2, 535(20%)
minecraft.picked_up.cracked_stone_bricks: #2, 546(13%)
minecraft.picked_up.charcoal: #3, 177(19%)
