stat, rank, value, (percentage) 
minecraft.killed.pillager: #1, 33729(96%)
minecraft.mined.tnt: #1, 7355(85%)
minecraft.mined.ice: #1, 476319(86%)
minecraft.picked_up.cod: #1, 25845(70%)
minecraft.picked_up.quartz_stairs: #1, 6074(74%)
minecraft.killed.vindicator: #1, 27068(99%)
minecraft.mined.quartz_stairs: #1, 6221(74%)
minecraft.killed.wither_skeleton: #1, 29731(70%)
minecraft.used.purpur_pillar: #1, 3795(85%)
minecraft.used.quartz_stairs: #1, 20460(68%)
minecraft.custom.walk_under_water_one_cm: #1, 101329394(29%)
minecraft.used.light_blue_stained_glass: #1, 30813(82%)
minecraft.mined.birch_slab: #1, 3129(66%)
minecraft.picked_up.prismarine_crystals: #1, 22544(60%)
minecraft.dropped.cod: #1, 20933(72%)
minecraft.custom.raid_trigger: #1, 1268(97%)
minecraft.picked_up.prismarine_shard: #1, 43798(76%)
minecraft.crafted.light_blue_stained_glass: #1, 31040(77%)
minecraft.mined.chorus_plant: #1, 3123(77%)
minecraft.crafted.packed_ice: #1, 18503(92%)
minecraft.picked_up.light_blue_stained_glass: #1, 6033(72%)
minecraft.mined.light_blue_stained_glass: #1, 6343(79%)
minecraft.dropped.iron_axe: #1, 188(73%)
minecraft.mined.birch_planks: #1, 5777(53%)
minecraft.mined.quartz_bricks: #1, 4509(79%)
minecraft.dropped.white_banner: #1, 1428(84%)
minecraft.custom.walk_on_water_one_cm: #1, 43931080(24%)
minecraft.picked_up.totem_of_undying: #1, 280(46%)
minecraft.picked_up.birch_slab: #1, 2626(53%)
minecraft.crafted.beacon: #1, 327(66%)
minecraft.picked_up.ice: #1, 76782(53%)
minecraft.used.cod: #1, 1959(92%)
minecraft.custom.raid_win: #1, 255(91%)
minecraft.killed.evoker: #1, 6021(99%)
minecraft.mined.chiseled_stone_bricks: #1, 1190(64%)
minecraft.mined.sea_lantern: #1, 6032(47%)
minecraft.picked_up.quartz_bricks: #1, 3660(71%)
minecraft.picked_up.white_banner: #1, 806(48%)
minecraft.used.lime_concrete_powder: #1, 24814(55%)
minecraft.used.sea_lantern: #1, 27324(44%)
minecraft.killed.guardian: #1, 32503(78%)
minecraft.used.lime_concrete: #1, 11453(48%)
minecraft.dropped.prismarine_shard: #1, 15086(77%)
minecraft.dropped.saddle: #1, 163(77%)
minecraft.mined.quartz_block: #1, 3746(50%)
minecraft.mined.yellow_stained_glass_pane: #1, 1758(90%)
minecraft.used.quartz_block: #1, 15854(47%)
minecraft.mined.smooth_quartz: #1, 3503(46%)
minecraft.picked_up.cornflower: #1, 10812(41%)
minecraft.crafted.lime_concrete_powder: #1, 24672(52%)
minecraft.mined.smooth_stone: #1, 13099(41%)
minecraft.mined.orange_stained_glass_pane: #1, 825(72%)
minecraft.crafted.stone_axe: #1, 139(40%)
minecraft.picked_up.tnt: #1, 8464(42%)
minecraft.picked_up.saddle: #1, 161(48%)
minecraft.crafted.black_dye: #1, 48753(40%)
minecraft.crafted.cooked_cod: #1, 2031(57%)
minecraft.mined.chorus_flower: #1, 4802(82%)
minecraft.picked_up.piston: #1, 2696(37%)
minecraft.dropped.stone_axe: #1, 144(47%)
