stat, rank, value, (percentage) 
minecraft.mined.granite: #1, 42966(11%)
minecraft.mined.light_gray_terracotta: #2, 10318(19%)
minecraft.crafted.cyan_concrete_powder: #2, 9544(20%)
minecraft.crafted.crimson_stairs: #1, 412(18%)
minecraft.mined.gray_stained_glass_pane: #1, 102(20%)
minecraft.picked_up.crimson_slab: #2, 391(24%)
minecraft.mined.andesite: #1, 45286(10%)
minecraft.crafted.nether_bricks: #2, 9161(17%)
minecraft.picked_up.cyan_carpet: #2, 421(19%)
minecraft.crafted.cyan_dye: #2, 8298(16%)
minecraft.crafted.purple_terracotta: #2, 2800(30%)
minecraft.used.white_wool: #2, 5859(15%)
minecraft.used.cyan_carpet: #2, 1621(19%)
minecraft.used.furnace: #2, 965(14%)
minecraft.picked_up.light_gray_concrete: #2, 7982(15%)
minecraft.used.diamond_shovel: #2, 537072(14%)
minecraft.used.black_wool: #3, 6983(20%)
minecraft.dropped.granite_stairs: #1, 17(77%)
minecraft.dropped.stripped_crimson_hyphae: #1, 4(57%)
minecraft.crafted.gray_terracotta: #2, 6304(23%)
minecraft.mined.cocoa: #2, 1169(16%)
minecraft.crafted.black_terracotta: #2, 6432(20%)
minecraft.dropped.purpur_stairs: #2, 70(21%)
minecraft.crafted.warped_trapdoor: #2, 700(18%)
minecraft.used.diamond_hoe: #2, 22979(15%)
minecraft.mined.light_gray_concrete: #2, 8060(14%)
minecraft.used.stone_sword: #2, 471(18%)
minecraft.mined.yellow_wool: #2, 358(21%)
minecraft.mined.cracked_stone_bricks: #2, 249(13%)
minecraft.crafted.purple_glazed_terracotta: #1, 128(39%)
minecraft.dropped.firework_star: #1, 65(64%)
minecraft.picked_up.azure_bluet: #2, 3185(13%)
minecraft.picked_up.dead_bubble_coral_fan: #1, 16(38%)
minecraft.picked_up.warped_slab: #2, 212(15%)
minecraft.picked_up.magenta_banner: #1, 15(62%)
minecraft.used.magenta_banner: #1, 8(36%)
minecraft.mined.dead_fire_coral_wall_fan: #1, 4(44%)
minecraft.mined.detector_rail: #2, 39(16%)
minecraft.used.sea_lantern: #2, 7423(12%)
minecraft.used.light_gray_wool: #2, 3186(14%)
minecraft.mined.oak_wall_sign: #2, 172(12%)
minecraft.killed.cod: #2, 289(15%)
minecraft.mined.dirt: #2, 130921(10%)
minecraft.mined.orange_terracotta: #3, 22510(16%)
minecraft.picked_up.warped_roots: #2, 4405(12%)
minecraft.used.dead_bubble_coral_fan: #1, 16(42%)
minecraft.crafted.red_terracotta: #2, 3232(21%)
minecraft.picked_up.andesite: #2, 42930(11%)
minecraft.crafted.blue_terracotta: #2, 4200(26%)
minecraft.mined.dead_bubble_coral_wall_fan: #1, 22(54%)
minecraft.picked_up.warped_wart_block: #2, 11331(11%)
minecraft.picked_up.flower_banner_pattern: #1, 2(40%)
minecraft.used.oak_sign: #2, 796(11%)
minecraft.crafted.sponge: #2, 1369(21%)
minecraft.used.bucket: #2, 10015(10%)
minecraft.crafted.chiseled_nether_bricks: #2, 274(25%)
minecraft.mined.cyan_stained_glass: #2, 3213(11%)
minecraft.mined.potted_warped_roots: #1, 2(50%)
minecraft.picked_up.piglin_banner_pattern: #1, 3(50%)
minecraft.picked_up.polished_blackstone_pressure_plate: #2, 62(18%)
minecraft.mined.stone: #2, 665913(10%)
minecraft.picked_up.stone: #2, 334256(9%)
minecraft.picked_up.dead_bush: #3, 665(19%)
minecraft.mined.cartography_table: #2, 20(13%)
minecraft.dropped.cyan_concrete: #2, 128(30%)
minecraft.dropped.cyan_stained_glass: #2, 67(22%)
minecraft.used.dirt: #2, 81539(9%)
minecraft.dropped.furnace: #2, 53(16%)
