stat, rank, value, (percentage) 
minecraft.picked_up.magenta_carpet: #2, 1(33%)
minecraft.picked_up.ender_chest: #4, 577(10%)
minecraft.mined.gray_concrete_powder: #3, 17(16%)
minecraft.crafted.purple_stained_glass_pane: #2, 64(18%)
minecraft.picked_up.wooden_shovel: #2, 1(11%)
minecraft.crafted.netherite_scrap: #3, 89(11%)
minecraft.used.black_carpet: #3, 402(14%)
minecraft.mined.light_gray_concrete: #4, 645(14%)
minecraft.dropped.sponge: #3, 64(33%)
minecraft.picked_up.light_gray_concrete: #4, 633(14%)
minecraft.picked_up.polished_diorite: #4, 251(14%)
minecraft.crafted.chest: #4, 2859(9%)
minecraft.used.netherite_sword: #3, 4873(12%)
minecraft.crafted.powered_rail: #4, 738(10%)
minecraft.used.hopper_minecart: #4, 57(11%)
minecraft.crafted.hopper_minecart: #4, 57(11%)
minecraft.mined.smooth_quartz_stairs: #3, 84(14%)
minecraft.used.pumpkin: #4, 259(10%)
minecraft.crafted.light_gray_dye: #4, 738(9%)
minecraft.crafted.netherite_boots: #3, 2(11%)
minecraft.picked_up.brown_carpet: #3, 59(11%)
minecraft.picked_up.purple_concrete_powder: #2, 8(0%)
minecraft.crafted.wooden_shovel: #3, 11(10%)
minecraft.used.bone_block: #4, 439(9%)
minecraft.dropped.light_gray_concrete_powder: #3, 27(12%)
minecraft.used.stone_sword: #4, 102(11%)
minecraft.mined.smooth_quartz: #4, 58(13%)
minecraft.mined.potatoes: #4, 798(8%)
minecraft.used.cobblestone: #4, 6373(7%)
minecraft.crafted.diamond_axe: #4, 9(7%)
minecraft.crafted.pumpkin_seeds: #3, 56(6%)
minecraft.mined.purple_stained_glass_pane: #3, 2(22%)
minecraft.picked_up.enchanted_golden_apple: #3, 1(17%)
minecraft.used.blue_wool: #3, 15(11%)
minecraft.used.grass_block: #5, 18615(10%)
minecraft.crafted.blue_terracotta: #4, 392(15%)
minecraft.crafted.diamond_hoe: #4, 5(8%)
minecraft.custom.open_enderchest: #4, 1979(6%)
minecraft.picked_up.white_concrete: #4, 2887(8%)
minecraft.mined.dead_horn_coral_wall_fan: #3, 1(17%)
minecraft.picked_up.white_stained_glass_pane: #4, 48(12%)
minecraft.used.magenta_wool: #3, 15(6%)
minecraft.mined.spruce_button: #4, 6(9%)
minecraft.crafted.diamond_chestplate: #4, 3(7%)
minecraft.used.smooth_quartz_stairs: #4, 547(12%)
minecraft.crafted.netherite_ingot: #4, 22(8%)
minecraft.used.magenta_concrete_powder: #3, 1(8%)
minecraft.dropped.gray_wool: #4, 30(9%)
minecraft.used.jack_o_lantern: #4, 162(8%)
minecraft.mined.gray_carpet: #4, 49(9%)
minecraft.picked_up.magenta_concrete: #3, 1(7%)
minecraft.mined.magenta_concrete: #3, 1(6%)
minecraft.mined.white_concrete: #4, 2910(6%)
minecraft.killed.pig: #4, 30(6%)
minecraft.picked_up.smooth_quartz_stairs: #4, 84(12%)
minecraft.used.light_blue_stained_glass_pane: #3, 37(1%)
minecraft.used.oak_leaves: #4, 1999(5%)
minecraft.mined.wet_sponge: #4, 664(10%)
minecraft.picked_up.wet_sponge: #4, 669(10%)
minecraft.picked_up.purple_dye: #3, 2(3%)
minecraft.mined.cyan_concrete: #3, 1(0%)
minecraft.picked_up.cyan_concrete: #3, 1(0%)
minecraft.used.dead_horn_coral_fan: #4, 1(25%)
minecraft.picked_up.jack_o_lantern: #4, 43(7%)
minecraft.crafted.sandstone_slab: #5, 324(14%)
minecraft.picked_up.gray_concrete: #4, 496(6%)
minecraft.dropped.chiseled_sandstone: #4, 1(17%)
minecraft.crafted.diamond_helmet: #5, 6(8%)
minecraft.picked_up.cracked_deepslate_tiles: #4, 19(8%)
minecraft.crafted.black_carpet: #4, 387(7%)
minecraft.crafted.diamond_boots: #5, 6(7%)
minecraft.used.dark_oak_slab: #5, 762(8%)
minecraft.used.rail: #5, 1760(7%)
minecraft.crafted.prismarine_brick_stairs: #4, 11(15%)
minecraft.mined.horn_coral_block: #4, 143(7%)
minecraft.used.smooth_quartz: #4, 245(4%)
minecraft.used.cyan_wool: #4, 16(9%)
minecraft.picked_up.pumpkin_seeds: #5, 1045(8%)
minecraft.mined.sugar_cane: #5, 3351(6%)
minecraft.mined.potted_poppy: #4, 1(10%)
minecraft.crafted.white_stained_glass: #5, 1136(8%)
minecraft.mined.gray_concrete: #4, 494(4%)
minecraft.mined.bamboo: #5, 530(6%)
minecraft.picked_up.quartz: #5, 3259(6%)
minecraft.picked_up.netherrack: #5, 17546(6%)
minecraft.mined.sea_lantern: #5, 78(7%)
minecraft.mined.iron_bars: #5, 62(7%)
minecraft.picked_up.ancient_debris: #5, 90(8%)
minecraft.dropped.iron_block: #4, 164(3%)
minecraft.crafted.magenta_stained_glass: #4, 152(6%)
minecraft.picked_up.dark_prismarine: #4, 54(5%)
minecraft.mined.ancient_debris: #5, 90(8%)
minecraft.mined.dark_prismarine: #4, 57(5%)
minecraft.dropped.glowstone: #4, 32(6%)
minecraft.mined.glowstone: #5, 285(6%)
minecraft.used.sand: #5, 7958(5%)
minecraft.picked_up.allium: #4, 222(3%)
minecraft.crafted.magenta_wool: #4, 1(10%)
minecraft.picked_up.basalt: #5, 4508(6%)
minecraft.mined.infested_deepslate: #4, 5(5%)
minecraft.crafted.smooth_sandstone_slab: #4, 54(4%)
minecraft.picked_up.black_concrete_powder: #4, 239(3%)
minecraft.picked_up.orange_wool: #4, 32(2%)
minecraft.picked_up.dark_prismarine_slab: #4, 2(6%)
minecraft.mined.dead_horn_coral_block: #4, 6(4%)
minecraft.picked_up.blue_wool: #4, 28(4%)
minecraft.picked_up.dead_tube_coral_block: #4, 6(4%)
minecraft.mined.stone_brick_stairs: #5, 87(6%)
minecraft.picked_up.dead_horn_coral_fan: #4, 1(5%)
minecraft.picked_up.magenta_wool: #4, 28(2%)
minecraft.picked_up.polished_blackstone_brick_slab: #4, 30(1%)
minecraft.crafted.cyan_carpet: #4, 3(4%)
minecraft.used.sponge: #5, 603(11%)
minecraft.crafted.netherite_pickaxe: #5, 4(9%)
minecraft.custom.fish_caught: #4, 10(1%)
minecraft.used.cracked_polished_blackstone_bricks: #4, 126(2%)
minecraft.dropped.white_wool: #5, 48(7%)
minecraft.mined.light_blue_stained_glass_pane: #4, 5(2%)
minecraft.crafted.purple_wool: #4, 1(3%)
minecraft.crafted.light_blue_stained_glass_pane: #4, 48(2%)
minecraft.used.birch_planks: #5, 320(5%)
minecraft.mined.budding_amethyst: #5, 27(5%)
minecraft.used.orange_carpet: #4, 1(1%)
minecraft.used.cyan_carpet: #4, 1(1%)
minecraft.picked_up.pink_dye: #4, 2(1%)
minecraft.used.light_blue_carpet: #4, 1(1%)
minecraft.picked_up.light_blue_stained_glass_pane: #4, 5(1%)
minecraft.used.cracked_deepslate_tiles: #5, 286(9%)
minecraft.crafted.purple_terracotta: #4, 8(0%)
minecraft.picked_up.pumpkin: #5, 682(5%)
minecraft.picked_up.bookshelf: #5, 64(6%)
minecraft.used.netherite_shovel: #5, 69292(8%)
minecraft.picked_up.golden_horse_armor: #5, 2(10%)
minecraft.dropped.baked_potato: #5, 192(5%)
minecraft.picked_up.birch_sapling: #6, 642(7%)
minecraft.crafted.netherite_shovel: #5, 2(9%)
minecraft.dropped.netherite_sword: #5, 3(9%)
minecraft.picked_up.quartz_stairs: #5, 26(6%)
minecraft.crafted.smooth_quartz: #5, 704(7%)
minecraft.crafted.magenta_dye: #6, 166(8%)
minecraft.dropped.black_wool: #5, 24(8%)
minecraft.mined.carved_pumpkin: #6, 257(9%)
minecraft.custom.enchant_item: #6, 179(7%)
minecraft.crafted.cyan_terracotta: #5, 1736(5%)
minecraft.picked_up.cobblestone_wall: #5, 50(3%)
minecraft.picked_up.smooth_quartz_slab: #5, 76(6%)
minecraft.picked_up.chicken: #5, 42(3%)
minecraft.picked_up.cobbled_deepslate_slab: #5, 51(4%)
minecraft.used.furnace: #6, 156(6%)
minecraft.dropped.beacon: #5, 1(10%)
minecraft.crafted.golden_boots: #5, 2(7%)
minecraft.dropped.hopper: #5, 6(4%)
minecraft.mined.blue_terracotta: #5, 13(6%)
minecraft.crafted.sponge: #5, 106(7%)
