stat, rank, value, (percentage) 
minecraft.used.deepslate_tile_slab: #9, 1394(5%)
minecraft.used.polished_blackstone_bricks: #8, 179(2%)
minecraft.picked_up.redstone: #9, 6698(4%)
minecraft.mined.blue_orchid: #8, 8(2%)
minecraft.used.spruce_button: #8, 12(1%)
minecraft.crafted.cut_copper_stairs: #8, 9(2%)
minecraft.dropped.diamond_block: #8, 2(2%)
minecraft.used.cracked_deepslate_bricks: #8, 68(2%)
minecraft.mined.quartz_block: #8, 18(1%)
minecraft.mined.brown_carpet: #8, 3(2%)
minecraft.crafted.light_blue_stained_glass: #8, 72(1%)
minecraft.crafted.spruce_button: #8, 8(1%)
minecraft.picked_up.diorite: #9, 6940(4%)
minecraft.crafted.nether_bricks: #8, 64(1%)
minecraft.used.green_wool: #8, 15(1%)
minecraft.mined.sand: #9, 28218(4%)
minecraft.used.light_gray_carpet: #8, 35(1%)
minecraft.mined.horn_coral_wall_fan: #8, 7(1%)
minecraft.mined.cracked_deepslate_bricks: #8, 4(1%)
minecraft.picked_up.warped_fence_gate: #8, 1(1%)
minecraft.mined.spruce_wall_sign: #9, 15(5%)
minecraft.mined.brain_coral_fan: #8, 2(1%)
minecraft.mined.chorus_flower: #8, 1(1%)
minecraft.crafted.smooth_sandstone_stairs: #8, 5(1%)
minecraft.mined.fire_coral_wall_fan: #8, 6(0%)
minecraft.picked_up.pink_stained_glass: #8, 1(1%)
minecraft.crafted.light_gray_terracotta: #8, 8(1%)
minecraft.picked_up.light_gray_dye: #8, 2(0%)
minecraft.mined.light_blue_stained_glass: #8, 5(0%)
minecraft.picked_up.lead: #9, 96(4%)
minecraft.crafted.lime_carpet: #8, 3(0%)
minecraft.crafted.magenta_terracotta: #8, 8(0%)
minecraft.mined.crying_obsidian: #8, 2(0%)
minecraft.picked_up.light_blue_stained_glass: #8, 5(0%)
minecraft.crafted.blue_wool: #8, 1(0%)
minecraft.picked_up.diamond: #9, 557(4%)
minecraft.crafted.slime_block: #8, 53(0%)
minecraft.mined.sponge: #8, 9(0%)
minecraft.crafted.brown_concrete_powder: #8, 8(0%)
minecraft.mined.polished_blackstone_brick_slab: #8, 3(0%)
minecraft.crafted.popped_chorus_fruit: #8, 2(0%)
minecraft.mined.bubble_coral_wall_fan: #8, 2(0%)
minecraft.used.green_stained_glass: #8, 20(0%)
minecraft.picked_up.bubble_coral_fan: #8, 2(0%)
minecraft.used.yellow_carpet: #8, 1(0%)
minecraft.picked_up.dead_brain_coral_block: #8, 1(0%)
minecraft.picked_up.pumpkin_pie: #8, 2(0%)
minecraft.picked_up.red_tulip: #8, 2(0%)
minecraft.picked_up.brown_concrete: #8, 1(0%)
minecraft.mined.brown_concrete: #8, 1(0%)
minecraft.picked_up.orange_concrete: #8, 1(0%)
minecraft.mined.orange_concrete: #8, 1(0%)
minecraft.picked_up.oak_sign: #9, 36(4%)
minecraft.used.spruce_slab: #9, 731(4%)
minecraft.mined.grass_block: #9, 17949(3%)
minecraft.picked_up.glowstone: #9, 266(4%)
minecraft.picked_up.beef: #9, 546(4%)
minecraft.crafted.minecart: #9, 43(4%)
minecraft.used.iron_pickaxe: #9, 4211(4%)
minecraft.used.diorite: #9, 359(3%)
minecraft.used.iron_block: #9, 1535(3%)
minecraft.picked_up.iron_bars: #9, 78(3%)
minecraft.picked_up.salmon: #9, 16(4%)
minecraft.picked_up.dark_oak_sapling: #9, 193(3%)
minecraft.crafted.black_dye: #9, 1008(3%)
minecraft.used.white_shulker_box: #9, 87(4%)
minecraft.used.redstone_lamp: #9, 60(3%)
minecraft.crafted.cut_copper: #9, 64(5%)
minecraft.picked_up.oak_leaves: #9, 2283(3%)
minecraft.used.stone_stairs: #9, 110(3%)
minecraft.picked_up.dark_oak_slab: #9, 66(3%)
minecraft.crafted.spruce_door: #9, 12(3%)
minecraft.mined.dark_oak_slab: #9, 29(2%)
minecraft.picked_up.polished_deepslate_wall: #9, 45(3%)
minecraft.used.spruce_sign: #9, 72(2%)
minecraft.used.end_rod: #9, 125(2%)
minecraft.picked_up.golden_apple: #9, 8(3%)
minecraft.crafted.pink_dye: #9, 38(2%)
minecraft.killed_by.skeleton: #9, 2(3%)
minecraft.crafted.sandstone: #9, 128(3%)
minecraft.picked_up.poisonous_potato: #9, 9(2%)
minecraft.picked_up.cyan_terracotta: #9, 87(2%)
minecraft.used.lilac: #9, 4(2%)
minecraft.picked_up.polished_deepslate_slab: #9, 64(2%)
minecraft.used.smooth_sandstone_stairs: #9, 177(2%)
minecraft.crafted.cobblestone_wall: #9, 54(1%)
minecraft.used.end_stone: #9, 42(2%)
minecraft.used.sunflower: #9, 3(2%)
minecraft.dropped.gold_ingot: #9, 44(2%)
minecraft.used.packed_ice: #9, 139(2%)
minecraft.crafted.dark_oak_button: #9, 7(2%)
minecraft.used.brown_wool: #9, 15(1%)
minecraft.crafted.stone_brick_slab: #9, 142(1%)
minecraft.mined.polished_granite: #9, 4(1%)
minecraft.picked_up.honeycomb: #9, 248(1%)
minecraft.picked_up.light_blue_wool: #9, 25(1%)
minecraft.mined.spawner: #9, 1(1%)
minecraft.picked_up.blue_orchid: #9, 8(1%)
minecraft.crafted.gray_stained_glass: #9, 160(1%)
minecraft.mined.black_concrete_powder: #9, 5(1%)
minecraft.mined.ice: #9, 577(1%)
minecraft.picked_up.prismarine_bricks: #9, 62(1%)
minecraft.picked_up.gray_dye: #9, 2(1%)
minecraft.picked_up.prismarine: #9, 58(1%)
minecraft.dropped.raw_copper: #9, 9(1%)
minecraft.picked_up.green_wool: #9, 28(1%)
minecraft.used.light_blue_stained_glass: #9, 39(1%)
minecraft.picked_up.ice: #9, 370(1%)
minecraft.picked_up.beetroot_seeds: #9, 27(0%)
minecraft.mined.redstone_torch: #10, 24(4%)
minecraft.picked_up.iron_block: #10, 1698(4%)
minecraft.picked_up.dark_oak_leaves: #9, 18(0%)
minecraft.crafted.blue_stained_glass: #9, 8(1%)
minecraft.mined.wall_torch: #10, 325(4%)
minecraft.crafted.light_blue_wool: #9, 1(1%)
minecraft.crafted.green_concrete_powder: #9, 8(0%)
minecraft.picked_up.brain_coral_fan: #9, 5(0%)
minecraft.mined.white_tulip: #9, 1(0%)
minecraft.used.light_gray_wool: #9, 17(0%)
minecraft.crafted.warped_fence_gate: #9, 1(0%)
minecraft.dropped.stone_brick_wall: #9, 1(0%)
minecraft.crafted.red_wool: #9, 2(0%)
minecraft.crafted.green_wool: #9, 1(0%)
minecraft.crafted.gray_terracotta: #9, 8(0%)
minecraft.picked_up.brain_coral: #9, 1(0%)
minecraft.crafted.yellow_stained_glass: #9, 8(0%)
minecraft.used.brain_coral_block: #9, 2(0%)
minecraft.dropped.packed_ice: #9, 1(0%)
minecraft.mined.pink_wool: #9, 1(0%)
minecraft.mined.light_blue_concrete: #9, 1(0%)
minecraft.used.green_concrete_powder: #9, 1(0%)
minecraft.crafted.brown_wool: #9, 1(0%)
minecraft.used.hopper: #10, 609(4%)
minecraft.crafted.diamond_shovel: #10, 5(4%)
minecraft.mined.kelp: #10, 127(3%)
minecraft.mined.spruce_stairs: #10, 64(3%)
minecraft.crafted.furnace: #10, 90(3%)
minecraft.picked_up.dropper: #10, 38(4%)
minecraft.crafted.acacia_planks: #10, 1544(4%)
minecraft.used.redstone: #10, 697(3%)
minecraft.mined.gold_ore: #10, 312(3%)
minecraft.crafted.stick: #10, 9089(3%)
minecraft.mined.stone_bricks: #10, 775(3%)
minecraft.picked_up.stone_bricks: #10, 808(3%)
minecraft.used.repeater: #10, 200(3%)
minecraft.mined.oak_sapling: #10, 13(3%)
minecraft.used.rose_bush: #10, 5(3%)
minecraft.picked_up.iron_nugget: #10, 209(2%)
minecraft.crafted.polished_deepslate: #10, 953(2%)
minecraft.crafted.oak_stairs: #10, 76(3%)
minecraft.dropped.stick: #10, 297(2%)
minecraft.mined.obsidian: #10, 367(2%)
minecraft.crafted.dropper: #10, 64(3%)
minecraft.used.oak_stairs: #10, 73(3%)
minecraft.crafted.fishing_rod: #10, 1(4%)
minecraft.picked_up.ink_sac: #10, 216(2%)
minecraft.picked_up.slime_block: #10, 140(2%)
minecraft.crafted.dark_oak_fence_gate: #10, 20(3%)
minecraft.dropped.observer: #10, 11(3%)
minecraft.picked_up.deepslate_tile_wall: #10, 29(3%)
minecraft.picked_up.gunpowder: #10, 315(2%)
minecraft.dropped.ender_chest: #10, 3(2%)
minecraft.used.cobbled_deepslate: #10, 437(2%)
minecraft.crafted.redstone_lamp: #10, 60(2%)
minecraft.used.iron_trapdoor: #10, 68(2%)
minecraft.used.dark_oak_log: #10, 334(2%)
minecraft.killed.chicken: #10, 20(1%)
minecraft.used.birch_stairs: #10, 24(2%)
minecraft.mined.azure_bluet: #10, 11(2%)
minecraft.crafted.iron_block: #10, 911(1%)
minecraft.crafted.red_bed: #10, 2(2%)
minecraft.mined.tnt: #10, 9(2%)
minecraft.picked_up.white_stained_glass: #10, 31(2%)
minecraft.crafted.raw_copper_block: #10, 83(2%)
minecraft.picked_up.birch_stairs: #10, 4(1%)
minecraft.crafted.deepslate_brick_wall: #10, 10(2%)
minecraft.mined.birch_stairs: #10, 4(1%)
minecraft.mined.smithing_table: #10, 2(2%)
minecraft.used.cobbled_deepslate_slab: #10, 85(1%)
minecraft.used.nether_quartz_ore: #10, 75(1%)
minecraft.picked_up.smithing_table: #10, 3(2%)
minecraft.picked_up.nether_gold_ore: #10, 18(1%)
minecraft.mined.polished_deepslate_slab: #10, 23(1%)
minecraft.mined.cobblestone_slab: #10, 19(1%)
minecraft.killed.cave_spider: #10, 71(1%)
minecraft.crafted.yellow_shulker_box: #10, 1(1%)
minecraft.crafted.gold_ingot: #10, 1152(1%)
minecraft.used.water_bucket: #11, 1104(4%)
minecraft.picked_up.polished_blackstone_bricks: #10, 23(1%)
minecraft.mined.dripstone_block: #10, 62(1%)
minecraft.mined.jungle_stairs: #10, 3(1%)
minecraft.mined.warped_wart_block: #10, 93(0%)
minecraft.picked_up.yellow_wool: #10, 28(1%)
minecraft.picked_up.dark_oak_button: #10, 1(1%)
minecraft.picked_up.gray_stained_glass: #10, 6(1%)
minecraft.mined.smooth_sandstone_slab: #10, 6(1%)
minecraft.used.cut_copper: #10, 7(1%)
minecraft.dropped.repeater: #10, 2(1%)
minecraft.crafted.orange_terracotta: #10, 8(1%)
minecraft.custom.damage_resisted: #10, 56(0%)
minecraft.crafted.glowstone: #10, 40(0%)
minecraft.crafted.pink_stained_glass: #10, 8(1%)
minecraft.crafted.crimson_stairs: #10, 4(1%)
minecraft.crafted.redstone_torch: #11, 1117(4%)
minecraft.mined.polished_blackstone_bricks: #10, 5(0%)
minecraft.picked_up.blue_dye: #10, 2(0%)
minecraft.picked_up.acacia_stairs: #10, 1(0%)
minecraft.crafted.light_gray_wool: #10, 11(0%)
minecraft.picked_up.nether_brick: #10, 16(0%)
minecraft.crafted.light_blue_concrete_powder: #10, 8(0%)
minecraft.crafted.enchanted_book: #10, 16(0%)
minecraft.picked_up.cut_copper: #10, 1(0%)
minecraft.mined.cut_copper: #10, 1(0%)
minecraft.crafted.light_blue_terracotta: #10, 8(0%)
minecraft.crafted.acacia_stairs: #10, 4(0%)
minecraft.picked_up.yellow_dye: #10, 2(0%)
minecraft.crafted.pink_terracotta: #10, 8(0%)
minecraft.picked_up.crying_obsidian: #10, 6(0%)
minecraft.mined.fire_coral_fan: #10, 1(0%)
minecraft.picked_up.spider_eye: #11, 243(4%)
minecraft.picked_up.horn_coral_fan: #10, 3(0%)
minecraft.mined.brain_coral: #10, 1(0%)
minecraft.used.horn_coral_fan: #10, 1(0%)
minecraft.crafted.black_terracotta: #10, 8(0%)
minecraft.picked_up.fire_coral_fan: #10, 3(0%)
minecraft.mined.cut_sandstone: #10, 4(0%)
minecraft.used.gray_stained_glass: #10, 18(0%)
minecraft.used.orange_terracotta: #10, 3(0%)
minecraft.crafted.green_stained_glass: #10, 16(0%)
minecraft.picked_up.prismarine_crystals: #10, 10(0%)
minecraft.picked_up.light_blue_concrete: #10, 1(0%)
minecraft.mined.brain_coral_block: #10, 3(0%)
minecraft.crafted.brown_stained_glass: #10, 8(0%)
minecraft.used.brown_concrete_powder: #10, 1(0%)
minecraft.picked_up.white_tulip: #10, 1(0%)
minecraft.crafted.lime_stained_glass: #10, 8(0%)
minecraft.crafted.comparator: #11, 128(4%)
minecraft.crafted.blue_dye: #11, 289(4%)
minecraft.picked_up.birch_log: #11, 1375(3%)
minecraft.mined.birch_log: #11, 1158(3%)
minecraft.picked_up.iron_helmet: #11, 5(3%)
minecraft.mined.rose_bush: #11, 6(3%)
minecraft.picked_up.string: #11, 559(3%)
minecraft.picked_up.dark_oak_log: #11, 2095(3%)
minecraft.mined.dark_oak_log: #11, 1778(3%)
minecraft.used.oak_sign: #11, 51(3%)
minecraft.picked_up.stone_axe: #11, 2(4%)
minecraft.used.dark_oak_stairs: #11, 153(3%)
minecraft.mined.peony: #11, 4(3%)
minecraft.picked_up.raw_copper: #11, 2910(2%)
minecraft.picked_up.end_rod: #11, 124(3%)
minecraft.mined.cobbled_deepslate: #11, 136(2%)
minecraft.mined.repeater: #11, 49(2%)
minecraft.used.dark_oak_fence_gate: #11, 20(3%)
minecraft.mined.blackstone: #11, 860(2%)
minecraft.broken.iron_axe: #11, 3(2%)
minecraft.custom.sprint_one_cm: #12, 49450090(4%)
minecraft.mined.carrots: #11, 357(2%)
minecraft.crafted.birch_stairs: #11, 44(3%)
minecraft.used.polished_deepslate: #11, 843(2%)
minecraft.crafted.green_dye: #11, 180(2%)
minecraft.broken.stone_pickaxe: #11, 2(3%)
minecraft.used.birch_sign: #11, 28(2%)
minecraft.picked_up.podzol: #11, 120(2%)
minecraft.used.glowstone: #11, 133(2%)
minecraft.crafted.deepslate_tile_wall: #11, 25(2%)
minecraft.broken.iron_sword: #11, 1(3%)
minecraft.used.deepslate_bricks: #11, 592(2%)
minecraft.mined.end_stone: #11, 131(2%)
minecraft.mined.dark_oak_wall_sign: #11, 8(2%)
minecraft.used.oak_planks: #11, 520(1%)
minecraft.mined.end_rod: #11, 58(2%)
minecraft.picked_up.end_stone: #11, 121(2%)
minecraft.mined.powered_rail: #11, 50(1%)
minecraft.mined.packed_ice: #11, 327(2%)
minecraft.picked_up.packed_ice: #11, 325(1%)
minecraft.crafted.copper_block: #11, 257(1%)
minecraft.crafted.polished_deepslate_wall: #11, 22(1%)
minecraft.mined.bookshelf: #11, 57(1%)
minecraft.custom.mob_kills: #11, 26449(1%)
minecraft.mined.sunflower: #11, 4(1%)
minecraft.used.obsidian: #11, 286(1%)
minecraft.mined.cauldron: #11, 4(1%)
minecraft.picked_up.brick: #11, 12(1%)
minecraft.dropped.kelp: #11, 56(1%)
minecraft.mined.polished_deepslate_wall: #11, 7(1%)
minecraft.mined.gray_stained_glass_pane: #11, 2(1%)
minecraft.crafted.beacon: #11, 1(1%)
minecraft.picked_up.iron_ingot: #11, 546(1%)
minecraft.picked_up.chorus_flower: #11, 2(1%)
minecraft.used.polished_deepslate_slab: #11, 150(1%)
minecraft.picked_up.stone_stairs: #11, 24(1%)
minecraft.picked_up.cornflower: #11, 24(1%)
minecraft.picked_up.smooth_sandstone_slab: #11, 8(1%)
minecraft.picked_up.red_stained_glass: #11, 1(1%)
minecraft.mined.lily_pad: #11, 5(1%)
minecraft.crafted.white_terracotta: #11, 8(1%)
minecraft.used.cracked_stone_bricks: #11, 20(1%)
minecraft.picked_up.black_dye: #11, 2(0%)
minecraft.mined.horn_coral_fan: #11, 1(0%)
minecraft.mined.tube_coral: #11, 1(0%)
minecraft.crafted.red_carpet: #11, 3(0%)
minecraft.picked_up.cut_sandstone: #11, 4(0%)
minecraft.used.prismarine_bricks: #11, 5(0%)
minecraft.crafted.end_rod: #11, 8(0%)
minecraft.picked_up.cookie: #11, 2(0%)
minecraft.crafted.lime_concrete_powder: #11, 8(0%)
minecraft.used.light_blue_concrete_powder: #11, 1(0%)
minecraft.crafted.green_terracotta: #11, 8(0%)
minecraft.picked_up.brain_coral_block: #11, 2(0%)
minecraft.used.snow: #11, 5(0%)
minecraft.used.lime_concrete_powder: #11, 1(0%)
minecraft.mined.bubble_coral_block: #11, 1(0%)
minecraft.killed.zombified_piglin: #11, 8(0%)
minecraft.custom.sleep_in_bed: #12, 568(4%)
minecraft.custom.animals_bred: #12, 379(3%)
minecraft.used.cooked_beef: #12, 458(3%)
minecraft.mined.deepslate_redstone_ore: #12, 337(3%)
minecraft.picked_up.andesite: #12, 4967(3%)
minecraft.crafted.redstone_block: #12, 567(3%)
minecraft.mined.redstone_ore: #12, 778(3%)
minecraft.mined.chest: #12, 237(3%)
minecraft.mined.deepslate_diamond_ore: #12, 77(3%)
minecraft.mined.beacon: #12, 10(3%)
minecraft.mined.redstone_wire: #12, 169(3%)
minecraft.picked_up.beacon: #12, 11(3%)
minecraft.mined.basalt: #12, 3554(3%)
minecraft.picked_up.iron_chestplate: #12, 6(3%)
minecraft.custom.swim_one_cm: #12, 1384633(3%)
minecraft.used.dispenser: #12, 52(3%)
minecraft.used.beacon: #12, 10(3%)
minecraft.picked_up.oak_slab: #12, 64(3%)
minecraft.picked_up.iron_leggings: #12, 5(3%)
minecraft.crafted.lapis_lazuli: #12, 318(3%)
minecraft.picked_up.blaze_rod: #12, 67(2%)
minecraft.crafted.ender_chest: #12, 7(2%)
minecraft.used.comparator: #12, 79(3%)
minecraft.picked_up.writable_book: #12, 4(3%)
minecraft.crafted.dark_oak_stairs: #12, 148(3%)
minecraft.picked_up.item_frame: #12, 62(2%)
minecraft.used.carrot: #12, 490(2%)
minecraft.custom.interact_with_smithing_table: #12, 9(2%)
minecraft.mined.oak_leaves: #12, 2353(2%)
minecraft.used.spruce_boat: #12, 10(2%)
minecraft.used.milk_bucket: #12, 5(3%)
minecraft.used.potion: #12, 15(2%)
minecraft.mined.chain: #12, 25(2%)
minecraft.picked_up.dark_oak_stairs: #12, 21(2%)
minecraft.crafted.coal: #12, 1089(2%)
minecraft.mined.birch_planks: #12, 26(2%)
minecraft.picked_up.stone_slab: #12, 133(2%)
minecraft.mined.comparator: #12, 10(2%)
minecraft.mined.flower_pot: #12, 2(2%)
minecraft.used.cobblestone_wall: #12, 51(2%)
minecraft.crafted.polished_andesite: #12, 192(2%)
minecraft.mined.spruce_fence_gate: #12, 10(2%)
minecraft.picked_up.deepslate_tile_stairs: #12, 53(1%)
minecraft.crafted.iron_trapdoor: #12, 50(1%)
minecraft.mined.warped_stem: #12, 115(1%)
minecraft.used.map: #12, 4(2%)
minecraft.picked_up.stone_sword: #12, 6(1%)
minecraft.mined.redstone_block: #12, 21(1%)
minecraft.picked_up.obsidian: #12, 337(1%)
minecraft.picked_up.spruce_boat: #12, 11(1%)
minecraft.picked_up.gray_wool: #12, 55(1%)
minecraft.used.gray_carpet: #12, 56(1%)
minecraft.used.warped_trapdoor: #12, 14(1%)
minecraft.mined.gold_block: #12, 17(1%)
minecraft.used.diamond_sword: #12, 4556(1%)
minecraft.picked_up.spruce_fence_gate: #12, 9(1%)
minecraft.crafted.compass: #12, 6(1%)
minecraft.used.quartz_stairs: #12, 12(1%)
minecraft.crafted.bookshelf: #12, 51(1%)
minecraft.used.oxeye_daisy: #12, 2(1%)
minecraft.picked_up.polished_basalt: #12, 14(1%)
minecraft.picked_up.pufferfish: #12, 2(1%)
minecraft.picked_up.name_tag: #12, 7(1%)
minecraft.dropped.dark_oak_trapdoor: #12, 1(1%)
minecraft.mined.smooth_sandstone_stairs: #12, 9(1%)
minecraft.picked_up.green_dye: #12, 3(1%)
minecraft.picked_up.smooth_sandstone_stairs: #12, 9(0%)
minecraft.picked_up.cooked_porkchop: #12, 8(1%)
minecraft.picked_up.clay: #12, 16(0%)
minecraft.used.cauldron: #12, 13(0%)
minecraft.used.yellow_wool: #12, 15(0%)
minecraft.picked_up.totem_of_undying: #12, 1(1%)
minecraft.picked_up.blaze_powder: #12, 1(0%)
minecraft.mined.cobbled_deepslate_wall: #12, 2(0%)
minecraft.used.smithing_table: #12, 3(0%)
minecraft.picked_up.spruce_leaves: #12, 230(0%)
minecraft.used.gray_wool: #12, 15(0%)
minecraft.picked_up.red_dye: #12, 2(0%)
minecraft.crafted.light_gray_carpet: #12, 18(0%)
minecraft.picked_up.splash_potion: #12, 2(0%)
minecraft.picked_up.gray_stained_glass_pane: #12, 1(0%)
minecraft.used.cut_copper_stairs: #12, 9(0%)
minecraft.crafted.red_terracotta: #12, 8(0%)
minecraft.crafted.green_carpet: #12, 3(0%)
minecraft.crafted.red_stained_glass: #12, 8(0%)
minecraft.crafted.yellow_concrete_powder: #12, 8(0%)
minecraft.used.black_wool: #12, 15(0%)
minecraft.dropped.birch_leaves: #12, 1(0%)
minecraft.used.red_carpet: #12, 1(0%)
minecraft.picked_up.fire_charge: #12, 1(0%)
minecraft.mined.small_amethyst_bud: #12, 2(0%)
minecraft.used.yellow_concrete_powder: #12, 1(0%)
minecraft.picked_up.lime_concrete: #12, 1(0%)
minecraft.mined.lime_concrete: #12, 1(0%)
minecraft.crafted.repeater: #13, 235(4%)
minecraft.mined.coal_ore: #13, 3784(3%)
minecraft.mined.cobblestone: #13, 1233(3%)
minecraft.mined.deepslate_coal_ore: #13, 420(3%)
minecraft.used.netherrack: #13, 1566(3%)
minecraft.picked_up.lapis_lazuli: #13, 1309(3%)
minecraft.mined.deepslate_gold_ore: #13, 89(3%)
minecraft.picked_up.stone: #13, 47479(3%)
minecraft.killed.spider: #13, 69(3%)
minecraft.killed.cow: #13, 187(3%)
minecraft.crafted.spruce_slab: #13, 750(3%)
minecraft.used.stone_pickaxe: #13, 261(2%)
minecraft.custom.fly_one_cm: #14, 38316808(3%)
minecraft.used.iron_sword: #13, 499(3%)
minecraft.mined.stonecutter: #13, 24(2%)
minecraft.dropped.shulker_box: #13, 8(3%)
minecraft.mined.dark_oak_stairs: #13, 19(3%)
minecraft.picked_up.stonecutter: #13, 24(2%)
minecraft.picked_up.redstone_torch: #13, 75(2%)
minecraft.used.stonecutter: #13, 25(2%)
minecraft.killed.creeper: #13, 122(2%)
minecraft.crafted.writable_book: #13, 5(2%)
minecraft.picked_up.birch_sign: #13, 19(2%)
minecraft.mined.spruce_sapling: #13, 8(2%)
minecraft.mined.enchanting_table: #13, 1(3%)
minecraft.mined.redstone_wall_torch: #13, 12(2%)
minecraft.killed.squid: #13, 52(2%)
minecraft.picked_up.deepslate_tile_slab: #13, 109(2%)
minecraft.killed.bat: #13, 6(2%)
minecraft.picked_up.dispenser: #13, 12(2%)
minecraft.used.blast_furnace: #13, 8(2%)
minecraft.crafted.diamond_block: #13, 28(2%)
minecraft.crafted.stone_bricks: #13, 1916(1%)
minecraft.crafted.diamond: #13, 153(2%)
minecraft.used.oak_slab: #13, 96(1%)
minecraft.used.deepslate_tile_stairs: #13, 212(1%)
minecraft.picked_up.iron_door: #13, 3(2%)
minecraft.mined.podzol: #13, 116(1%)
minecraft.picked_up.grass: #13, 39(1%)
minecraft.used.polished_andesite: #13, 119(1%)
minecraft.mined.bone_block: #13, 35(1%)
minecraft.killed.endermite: #13, 2(2%)
minecraft.used.stone_bricks: #13, 999(1%)
minecraft.mined.dark_oak_fence_gate: #13, 2(2%)
minecraft.crafted.iron_door: #13, 6(1%)
minecraft.crafted.deepslate_brick_stairs: #13, 11(1%)
minecraft.picked_up.gold_ingot: #13, 36(1%)
minecraft.crafted.iron_sword: #13, 3(1%)
minecraft.crafted.blast_furnace: #13, 4(1%)
minecraft.picked_up.warped_stem: #13, 115(1%)
minecraft.crafted.smooth_stone: #13, 129(1%)
minecraft.picked_up.nether_quartz_ore: #13, 75(1%)
minecraft.mined.dragon_wall_head: #13, 1(1%)
minecraft.mined.polished_basalt: #13, 14(1%)
minecraft.crafted.bone_block: #13, 562(1%)
minecraft.crafted.player_head: #13, 24(1%)
minecraft.picked_up.stone_brick_slab: #13, 62(1%)
minecraft.dropped.stone_sword: #13, 4(1%)
minecraft.picked_up.netherite_helmet: #13, 1(1%)
minecraft.mined.tinted_glass: #13, 12(1%)
minecraft.picked_up.warped_wart_block: #13, 78(0%)
minecraft.killed.salmon: #13, 1(1%)
minecraft.picked_up.jungle_stairs: #13, 3(1%)
minecraft.picked_up.nether_star: #13, 1(1%)
minecraft.crafted.raw_iron: #13, 126(1%)
minecraft.mined.stone_pressure_plate: #13, 1(1%)
minecraft.picked_up.oxeye_daisy: #13, 11(0%)
minecraft.mined.polished_deepslate_stairs: #13, 7(0%)
minecraft.picked_up.dripstone_block: #13, 61(0%)
minecraft.picked_up.cobbled_deepslate_wall: #13, 3(1%)
minecraft.crafted.white_shulker_box: #13, 1(1%)
minecraft.mined.smooth_stone_slab: #13, 12(0%)
minecraft.picked_up.polished_deepslate_stairs: #13, 7(0%)
minecraft.mined.large_amethyst_bud: #13, 5(0%)
minecraft.picked_up.polished_blackstone_stairs: #13, 4(0%)
minecraft.picked_up.soul_soil: #13, 32(0%)
minecraft.used.birch_log: #13, 20(0%)
minecraft.crafted.gold_block: #13, 28(0%)
minecraft.used.nether_bricks: #13, 9(0%)
minecraft.picked_up.cauldron: #13, 4(0%)
minecraft.crafted.birch_fence: #13, 3(0%)
minecraft.crafted.gray_wool: #13, 7(0%)
minecraft.mined.smooth_stone: #13, 10(0%)
minecraft.crafted.orange_stained_glass: #13, 8(0%)
minecraft.crafted.jungle_stairs: #13, 4(0%)
minecraft.used.birch_fence: #13, 2(0%)
minecraft.dropped.sweet_berries: #13, 1(0%)
minecraft.dropped.redstone_block: #13, 1(0%)
minecraft.mined.red_concrete: #13, 17(0%)
minecraft.picked_up.jungle_leaves: #13, 3(0%)
minecraft.used.honeycomb: #13, 7(0%)
minecraft.crafted.warped_stairs: #13, 4(0%)
minecraft.used.green_carpet: #13, 1(0%)
minecraft.mined.coal_block: #13, 1(0%)
minecraft.used.clay: #13, 1(0%)
minecraft.dropped.potato: #13, 15(0%)
minecraft.crafted.black_wool: #13, 1(0%)
minecraft.used.spruce_leaves: #13, 5(0%)
minecraft.mined.torch: #14, 709(3%)
minecraft.picked_up.cobblestone: #14, 23322(3%)
minecraft.custom.open_chest: #14, 10256(3%)
minecraft.mined.crafting_table: #14, 91(3%)
minecraft.picked_up.crafting_table: #14, 97(3%)
minecraft.picked_up.granite: #14, 4106(3%)
minecraft.custom.interact_with_furnace: #14, 1005(3%)
minecraft.mined.diorite: #14, 4513(3%)
minecraft.used.bucket: #14, 1128(2%)
minecraft.mined.lever: #14, 16(2%)
minecraft.killed.blaze: #14, 44(3%)
minecraft.picked_up.rail: #14, 431(2%)
minecraft.mined.blast_furnace: #14, 4(3%)
minecraft.picked_up.spruce_stairs: #14, 64(2%)
minecraft.mined.deepslate_tile_slab: #14, 97(2%)
minecraft.killed.zombie_villager: #14, 5(2%)
minecraft.mined.dispenser: #14, 12(2%)
minecraft.crafted.observer: #14, 96(2%)
minecraft.mined.rail: #14, 259(2%)
minecraft.picked_up.blast_furnace: #14, 4(2%)
minecraft.picked_up.enchanting_table: #14, 1(3%)
minecraft.picked_up.polished_deepslate: #14, 139(2%)
minecraft.used.iron_axe: #14, 813(2%)
minecraft.used.observer: #14, 108(2%)
minecraft.mined.oak_fence: #14, 46(2%)
minecraft.mined.observer: #14, 39(2%)
minecraft.picked_up.lever: #14, 32(1%)
minecraft.picked_up.observer: #14, 52(1%)
minecraft.picked_up.kelp: #14, 580(1%)
minecraft.mined.calcite: #14, 484(1%)
minecraft.picked_up.iron_boots: #14, 5(2%)
minecraft.picked_up.tinted_glass: #14, 60(2%)
minecraft.picked_up.iron_axe: #14, 4(2%)
minecraft.picked_up.sweet_berries: #14, 56(2%)
minecraft.crafted.sticky_piston: #14, 37(1%)
minecraft.used.spruce_fence: #14, 145(1%)
