stat, rank, value, (percentage) 
minecraft.used.dead_fire_coral_fan: #2, 7(39%)
minecraft.crafted.cobblestone_slab: #3, 912(11%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #2, 204(22%)
minecraft.picked_up.warped_sign: #2, 34(11%)
minecraft.dropped.stone_shovel: #2, 16(10%)
minecraft.used.iron_block: #3, 4819(11%)
minecraft.picked_up.smooth_basalt: #3, 1982(11%)
minecraft.used.polished_blackstone_stairs: #3, 926(17%)
minecraft.crafted.packed_ice: #2, 975(21%)
minecraft.mined.light_gray_concrete_powder: #3, 103(18%)
minecraft.crafted.lime_stained_glass: #2, 4016(15%)
minecraft.picked_up.netherite_leggings: #3, 17(14%)
minecraft.picked_up.gray_concrete_powder: #2, 223(13%)
minecraft.crafted.gray_carpet: #3, 846(15%)
minecraft.custom.walk_under_water_one_cm: #4, 6705245(7%)
minecraft.picked_up.warped_planks: #2, 201(10%)
minecraft.dropped.obsidian: #3, 177(14%)
minecraft.crafted.polished_blackstone_slab: #2, 133(12%)
minecraft.crafted.dropper: #3, 288(13%)
minecraft.dropped.carved_pumpkin: #2, 56(6%)
minecraft.crafted.yellow_terracotta: #3, 768(17%)
minecraft.mined.crimson_roots: #3, 163(12%)
minecraft.used.birch_boat: #3, 26(12%)
minecraft.dropped.magma_cream: #3, 89(12%)
minecraft.crafted.gray_stained_glass: #2, 1448(8%)
minecraft.picked_up.leather_chestplate: #3, 30(11%)
minecraft.used.dragon_egg: #2, 7(10%)
minecraft.killed_by.zombified_piglin: #2, 2(33%)
minecraft.mined.yellow_concrete_powder: #2, 3(33%)
minecraft.mined.ladder: #3, 97(9%)
minecraft.crafted.fishing_rod: #3, 5(19%)
minecraft.picked_up.black_concrete: #3, 1820(10%)
minecraft.mined.basalt: #3, 11078(9%)
minecraft.mined.red_mushroom: #3, 23(15%)
minecraft.mined.brown_carpet: #2, 24(13%)
minecraft.used.birch_stairs: #3, 163(15%)
minecraft.picked_up.end_stone_bricks: #3, 108(14%)
minecraft.used.wet_sponge: #2, 613(18%)
minecraft.picked_up.ice: #3, 9838(14%)
minecraft.mined.smooth_red_sandstone: #2, 26(25%)
minecraft.used.polished_blackstone_pressure_plate: #2, 100(17%)
minecraft.killed.goat: #2, 18(15%)
minecraft.dropped.netherite_ingot: #2, 6(20%)
minecraft.used.waxed_weathered_cut_copper_slab: #2, 16(40%)
minecraft.custom.deaths: #3, 86(7%)
minecraft.mined.dandelion: #3, 170(8%)
minecraft.crafted.polished_blackstone_pressure_plate: #2, 104(17%)
minecraft.crafted.light_gray_terracotta: #2, 192(13%)
minecraft.used.crying_obsidian: #2, 672(15%)
minecraft.used.birch_button: #3, 28(20%)
minecraft.dropped.polished_blackstone_bricks: #2, 163(23%)
minecraft.picked_up.amethyst_shard: #3, 4328(10%)
minecraft.picked_up.netherite_shovel: #3, 17(11%)
minecraft.dropped.spruce_planks: #3, 257(10%)
minecraft.picked_up.barrel: #3, 153(8%)
minecraft.used.elytra: #3, 26(13%)
minecraft.crafted.diorite_slab: #2, 30(28%)
minecraft.dropped.pink_tulip: #2, 2(22%)
minecraft.killed.phantom: #3, 96(10%)
minecraft.picked_up.netherite_sword: #3, 17(14%)
minecraft.picked_up.minecart: #3, 122(8%)
minecraft.picked_up.netherite_axe: #3, 19(13%)
minecraft.used.sugar_cane: #3, 945(9%)
minecraft.mined.bone_block: #3, 260(10%)
minecraft.picked_up.dandelion: #3, 197(8%)
minecraft.crafted.black_concrete: #2, 128(36%)
minecraft.picked_up.ancient_debris: #3, 123(11%)
minecraft.mined.snow: #4, 26048(16%)
minecraft.used.birch_trapdoor: #2, 214(7%)
minecraft.dropped.lapis_lazuli: #3, 75(14%)
minecraft.used.warped_stem: #3, 428(12%)
minecraft.used.birch_slab: #3, 353(12%)
minecraft.picked_up.carrot: #3, 8396(7%)
minecraft.picked_up.waxed_exposed_cut_copper: #2, 3(25%)
minecraft.mined.smooth_red_sandstone_slab: #2, 6(20%)
minecraft.crafted.golden_sword: #2, 1(50%)
minecraft.mined.potted_bamboo: #2, 1(50%)
minecraft.mined.potted_oxeye_daisy: #2, 1(50%)
minecraft.picked_up.music_disc_chirp: #2, 1(50%)
minecraft.picked_up.music_disc_mall: #2, 1(50%)
minecraft.used.gray_dye: #2, 1(50%)
minecraft.dropped.bamboo: #3, 601(12%)
minecraft.used.gray_carpet: #3, 534(12%)
minecraft.mined.ancient_debris: #3, 123(11%)
minecraft.crafted.lime_glazed_terracotta: #2, 40(32%)
minecraft.used.acacia_trapdoor: #3, 505(16%)
minecraft.picked_up.smooth_red_sandstone_slab: #2, 6(18%)
minecraft.used.birch_planks: #4, 851(13%)
minecraft.used.gray_stained_glass: #2, 777(6%)
minecraft.picked_up.wither_rose: #3, 101(14%)
minecraft.used.warped_nylium: #3, 55(14%)
minecraft.dropped.warped_stem: #2, 17(20%)
minecraft.mined.deepslate_brick_stairs: #3, 109(11%)
minecraft.picked_up.warped_wart_block: #4, 2038(11%)
minecraft.dropped.lead: #3, 14(8%)
minecraft.killed.slime: #3, 668(7%)
minecraft.picked_up.gray_stained_glass_pane: #3, 47(15%)
minecraft.crafted.moss_carpet: #3, 993(8%)
minecraft.crafted.lime_wool: #2, 10(13%)
minecraft.dropped.smooth_stone: #3, 66(15%)
minecraft.dropped.map: #2, 30(25%)
minecraft.dropped.light_gray_dye: #2, 40(15%)
minecraft.used.smooth_quartz_slab: #3, 1301(13%)
minecraft.crafted.stone_shovel: #3, 26(8%)
minecraft.picked_up.polished_blackstone_brick_stairs: #3, 74(16%)
minecraft.dropped.iron_block: #3, 574(10%)
minecraft.mined.crimson_stairs: #3, 14(21%)
minecraft.mined.dead_horn_coral_block: #2, 15(10%)
minecraft.used.respawn_anchor: #2, 1(33%)
minecraft.crafted.respawn_anchor: #2, 1(33%)
minecraft.dropped.waxed_cut_copper: #2, 1(33%)
minecraft.used.white_stained_glass_pane: #3, 319(10%)
minecraft.custom.interact_with_stonecutter: #4, 623(11%)
minecraft.picked_up.target: #2, 28(7%)
minecraft.used.nether_wart_block: #3, 109(12%)
minecraft.used.jungle_boat: #3, 13(16%)
minecraft.used.polished_andesite_slab: #3, 300(18%)
minecraft.crafted.light_gray_stained_glass_pane: #3, 496(16%)
minecraft.used.orange_stained_glass_pane: #3, 13(27%)
minecraft.mined.warped_wart_block: #4, 1921(10%)
minecraft.crafted.polished_blackstone_button: #3, 452(11%)
minecraft.used.lime_glazed_terracotta: #2, 22(29%)
minecraft.picked_up.sponge: #3, 617(13%)
minecraft.mined.andesite_slab: #3, 47(10%)
minecraft.picked_up.golden_leggings: #3, 21(6%)
minecraft.crafted.gray_glazed_terracotta: #2, 192(27%)
minecraft.crafted.birch_planks: #4, 8412(10%)
minecraft.used.end_stone: #4, 341(13%)
minecraft.dropped.polished_blackstone_brick_slab: #2, 88(26%)
minecraft.dropped.acacia_sapling: #2, 40(7%)
minecraft.picked_up.andesite_slab: #4, 117(15%)
minecraft.mined.jungle_button: #3, 4(25%)
minecraft.mined.potted_allium: #2, 1(25%)
minecraft.crafted.diamond_block: #4, 193(10%)
minecraft.used.crimson_fungus: #3, 18(12%)
minecraft.killed_by.magma_cube: #3, 4(11%)
minecraft.dropped.oak_stairs: #3, 28(12%)
minecraft.used.spruce_planks: #4, 4911(10%)
minecraft.dropped.tinted_glass: #2, 5(6%)
minecraft.mined.blackstone_stairs: #3, 16(21%)
minecraft.crafted.polished_blackstone_brick_slab: #3, 204(14%)
minecraft.killed.ghast: #3, 36(8%)
minecraft.dropped.arrow: #4, 6491(10%)
minecraft.used.white_bed: #3, 132(5%)
minecraft.crafted.iron_bars: #4, 928(10%)
minecraft.used.brown_wool: #3, 108(10%)
minecraft.used.quartz_stairs: #3, 105(10%)
minecraft.dropped.deepslate_tiles: #3, 50(14%)
minecraft.picked_up.bone_meal: #3, 6780(6%)
minecraft.picked_up.redstone_torch: #4, 317(10%)
minecraft.mined.polished_granite_stairs: #3, 8(28%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #2, 6(19%)
minecraft.mined.white_bed: #3, 116(5%)
minecraft.picked_up.white_bed: #3, 122(5%)
minecraft.mined.tripwire_hook: #3, 5(15%)
minecraft.crafted.netherite_shovel: #3, 3(14%)
minecraft.crafted.heavy_weighted_pressure_plate: #3, 17(11%)
minecraft.picked_up.saddle: #3, 38(8%)
minecraft.crafted.white_stained_glass_pane: #3, 304(8%)
minecraft.dropped.firework_rocket: #4, 1245(11%)
minecraft.used.crimson_stairs: #3, 79(15%)
minecraft.used.cut_copper: #3, 122(11%)
minecraft.picked_up.deepslate_brick_stairs: #3, 127(8%)
minecraft.dropped.end_crystal: #3, 62(22%)
minecraft.crafted.birch_stairs: #3, 120(9%)
minecraft.used.cod: #3, 11(13%)
minecraft.dropped.light_gray_stained_glass: #3, 32(16%)
minecraft.dropped.cyan_terracotta: #3, 121(13%)
minecraft.crafted.purpur_stairs: #2, 4(14%)
minecraft.dropped.white_terracotta: #3, 65(16%)
minecraft.mined.crimson_slab: #3, 11(18%)
minecraft.killed.bee: #2, 4(7%)
minecraft.used.sponge: #3, 646(11%)
minecraft.used.granite: #4, 1767(9%)
minecraft.picked_up.map: #2, 31(4%)
minecraft.dropped.deepslate_brick_stairs: #2, 20(8%)
minecraft.crafted.chain: #4, 784(9%)
minecraft.used.granite_slab: #3, 116(15%)
minecraft.mined.dead_fire_coral_fan: #3, 7(24%)
minecraft.crafted.jukebox: #3, 2(20%)
minecraft.dropped.coal_block: #2, 64(3%)
minecraft.dropped.terracotta: #3, 131(11%)
minecraft.dropped.netherite_sword: #3, 4(12%)
minecraft.dropped.honey_block: #2, 5(3%)
minecraft.crafted.waxed_weathered_copper: #2, 15(9%)
minecraft.crafted.spruce_boat: #3, 33(6%)
minecraft.mined.purpur_block: #3, 122(7%)
minecraft.crafted.crimson_button: #3, 87(23%)
minecraft.picked_up.polished_granite: #4, 136(11%)
minecraft.used.orange_stained_glass: #2, 34(3%)
minecraft.crafted.bone_meal: #4, 76548(9%)
minecraft.dropped.carrot: #4, 3236(10%)
minecraft.picked_up.moss_block: #4, 6635(8%)
minecraft.crafted.end_stone_brick_stairs: #2, 4(5%)
minecraft.mined.raw_gold_block: #3, 9(16%)
minecraft.crafted.light_gray_carpet: #3, 462(7%)
minecraft.dropped.stone_pressure_plate: #3, 7(10%)
minecraft.used.gravel: #4, 1403(8%)
minecraft.crafted.smooth_quartz_stairs: #3, 76(13%)
minecraft.picked_up.kelp: #4, 3197(8%)
minecraft.picked_up.lime_terracotta: #3, 32(10%)
minecraft.picked_up.polished_blackstone_brick_wall: #3, 5(21%)
minecraft.mined.powered_rail: #4, 347(9%)
minecraft.used.end_stone_brick_stairs: #2, 1(1%)
minecraft.picked_up.sandstone_stairs: #3, 126(13%)
minecraft.picked_up.brick_slab: #3, 10(13%)
minecraft.dropped.netherite_shovel: #3, 3(7%)
minecraft.custom.interact_with_crafting_table: #4, 3152(7%)
minecraft.killed.skeleton_horse: #3, 1(33%)
minecraft.mined.calcite: #4, 2660(8%)
minecraft.picked_up.dead_fire_coral_fan: #3, 7(19%)
minecraft.picked_up.light_gray_dye: #3, 44(10%)
minecraft.custom.minecart_one_cm: #3, 671407(4%)
minecraft.picked_up.netherite_hoe: #3, 2(12%)
minecraft.used.warped_trapdoor: #4, 132(13%)
minecraft.mined.deepslate_tile_stairs: #4, 326(9%)
minecraft.picked_up.moss_carpet: #4, 1909(8%)
minecraft.picked_up.purpur_block: #3, 92(5%)
minecraft.used.redstone_block: #4, 232(7%)
minecraft.used.light_gray_carpet: #3, 317(5%)
minecraft.dropped.redstone_lamp: #3, 4(17%)
minecraft.crafted.warped_hyphae: #3, 195(11%)
minecraft.picked_up.red_shulker_box: #4, 191(9%)
minecraft.used.activator_rail: #3, 13(12%)
minecraft.mined.red_shulker_box: #4, 186(9%)
minecraft.picked_up.leather_boots: #4, 27(8%)
minecraft.custom.damage_resisted: #3, 645(5%)
minecraft.crafted.scaffolding: #4, 1266(9%)
minecraft.used.red_shulker_box: #4, 188(9%)
minecraft.killed.blaze: #4, 141(8%)
minecraft.mined.iron_block: #4, 2054(7%)
minecraft.crafted.glow_item_frame: #4, 44(9%)
minecraft.picked_up.netherite_boots: #4, 17(11%)
minecraft.mined.chain: #4, 98(8%)
minecraft.dropped.elytra: #4, 12(10%)
minecraft.picked_up.raw_gold_block: #3, 8(9%)
minecraft.used.clay: #4, 251(14%)
minecraft.crafted.spruce_planks: #4, 21688(7%)
minecraft.picked_up.netherite_helmet: #4, 13(12%)
minecraft.crafted.yellow_stained_glass_pane: #3, 48(19%)
minecraft.mined.warped_nylium: #4, 135(8%)
minecraft.mined.acacia_trapdoor: #4, 83(14%)
minecraft.picked_up.campfire: #4, 50(10%)
minecraft.crafted.lime_dye: #4, 620(9%)
minecraft.mined.smooth_quartz_slab: #3, 47(6%)
minecraft.dropped.golden_leggings: #4, 26(9%)
minecraft.picked_up.lime_stained_glass_pane: #3, 11(11%)
minecraft.picked_up.deepslate_tile_stairs: #4, 296(8%)
minecraft.crafted.bone_block: #4, 6044(9%)
minecraft.picked_up.birch_planks: #4, 230(7%)
minecraft.mined.kelp: #4, 250(7%)
minecraft.crafted.raw_gold_block: #4, 126(11%)
minecraft.killed_by.wither_skeleton: #3, 1(17%)
minecraft.picked_up.green_carpet: #3, 16(7%)
minecraft.picked_up.stone_button: #4, 249(7%)
minecraft.picked_up.netherite_pickaxe: #4, 31(8%)
minecraft.mined.slime_block: #4, 405(9%)
minecraft.dropped.lever: #4, 19(9%)
minecraft.used.exposed_cut_copper_slab: #3, 11(16%)
minecraft.custom.leave_game: #5, 797(5%)
minecraft.used.red_stained_glass_pane: #3, 14(10%)
minecraft.mined.warped_stem: #4, 617(8%)
minecraft.used.packed_ice: #4, 823(9%)
minecraft.mined.polished_blackstone_stairs: #4, 95(10%)
minecraft.crafted.waxed_exposed_copper: #3, 8(19%)
minecraft.dropped.string: #4, 315(6%)
minecraft.dropped.nether_brick: #3, 40(11%)
minecraft.picked_up.copper_block: #4, 418(7%)
minecraft.used.polished_blackstone_button: #4, 352(9%)
minecraft.used.purpur_stairs: #3, 5(8%)
minecraft.crafted.polished_blackstone_wall: #3, 48(6%)
minecraft.dropped.shield: #4, 4(10%)
minecraft.mined.orange_stained_glass_pane: #3, 1(17%)
minecraft.crafted.acacia_sign: #3, 18(10%)
minecraft.picked_up.acacia_pressure_plate: #3, 1(17%)
minecraft.dropped.warped_planks: #4, 66(14%)
minecraft.picked_up.acacia_trapdoor: #4, 82(12%)
minecraft.used.black_terracotta: #3, 70(8%)
minecraft.used.polished_diorite_stairs: #3, 120(8%)
minecraft.used.netherite_shovel: #4, 105237(12%)
minecraft.dropped.deepslate_brick_slab: #4, 42(13%)
minecraft.used.ice: #3, 651(3%)
minecraft.dropped.slime_ball: #3, 156(3%)
minecraft.dropped.blackstone: #4, 470(8%)
minecraft.used.acacia_sign: #3, 16(9%)
minecraft.crafted.orange_stained_glass: #3, 96(3%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #3, 4(15%)
minecraft.crafted.tinted_glass: #4, 1860(10%)
minecraft.picked_up.light_gray_concrete_powder: #4, 119(9%)
minecraft.crafted.cyan_stained_glass_pane: #3, 32(8%)
minecraft.used.polished_blackstone_wall: #4, 148(11%)
minecraft.mined.pink_tulip: #3, 7(4%)
minecraft.mined.red_nether_bricks: #3, 7(8%)
minecraft.crafted.crimson_stairs: #4, 88(14%)
minecraft.picked_up.stripped_jungle_log: #4, 65(11%)
minecraft.used.birch_fence_gate: #3, 3(7%)
minecraft.dropped.acacia_sign: #3, 4(13%)
minecraft.picked_up.popped_chorus_fruit: #3, 82(6%)
minecraft.picked_up.snow: #4, 4232(9%)
minecraft.picked_up.birch_boat: #4, 26(8%)
minecraft.picked_up.cookie: #3, 65(3%)
minecraft.picked_up.dead_brain_coral_block: #3, 30(5%)
minecraft.mined.stone_button: #4, 90(6%)
minecraft.mined.dead_brain_coral_block: #3, 30(5%)
minecraft.used.cyan_stained_glass_pane: #3, 22(7%)
minecraft.crafted.jungle_slab: #4, 354(8%)
minecraft.crafted.netherite_scrap: #4, 83(10%)
minecraft.picked_up.dead_horn_coral_block: #3, 15(5%)
minecraft.dropped.oak_slab: #4, 36(8%)
minecraft.custom.walk_on_water_one_cm: #6, 4069827(6%)
minecraft.used.dead_brain_coral_block: #3, 23(4%)
minecraft.mined.potted_oak_sapling: #3, 1(10%)
minecraft.used.dead_horn_coral_block: #3, 13(5%)
minecraft.used.cyan_stained_glass: #3, 52(2%)
minecraft.picked_up.dried_kelp: #3, 281(6%)
minecraft.custom.sprint_one_cm: #5, 75513319(6%)
minecraft.used.iron_helmet: #4, 2(14%)
minecraft.picked_up.golden_helmet: #4, 16(6%)
minecraft.mined.blue_stained_glass: #3, 2(8%)
minecraft.used.deepslate_brick_slab: #5, 856(11%)
minecraft.dropped.yellow_wool: #3, 64(5%)
minecraft.crafted.polished_andesite_slab: #4, 100(18%)
minecraft.used.honey_bottle: #3, 10(6%)
minecraft.picked_up.glass: #5, 2560(9%)
minecraft.dropped.raw_copper: #4, 110(10%)
minecraft.crafted.black_terracotta: #4, 448(12%)
minecraft.mined.stripped_jungle_log: #4, 60(9%)
minecraft.picked_up.powered_rail: #4, 515(5%)
minecraft.picked_up.black_terracotta: #3, 13(4%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #3, 2(5%)
minecraft.crafted.waxed_cut_copper_slab: #3, 4(6%)
minecraft.used.snow_block: #4, 4640(8%)
minecraft.mined.redstone_wire: #5, 487(9%)
minecraft.dropped.grindstone: #3, 1(6%)
minecraft.used.waxed_cut_copper_slab: #3, 7(4%)
minecraft.dropped.cobbled_deepslate_slab: #4, 17(13%)
minecraft.picked_up.oak_fence_gate: #4, 26(8%)
minecraft.crafted.netherite_axe: #4, 2(14%)
minecraft.dropped.jungle_boat: #3, 1(5%)
minecraft.used.waxed_weathered_cut_copper_stairs: #3, 8(3%)
minecraft.mined.lime_carpet: #3, 3(4%)
minecraft.mined.smooth_quartz_stairs: #4, 83(14%)
minecraft.dropped.splash_potion: #3, 4(1%)
minecraft.dropped.warped_roots: #4, 135(9%)
minecraft.dropped.mossy_stone_bricks: #3, 3(2%)
minecraft.used.waxed_exposed_cut_copper_stairs: #3, 8(4%)
minecraft.dropped.netherite_axe: #4, 5(10%)
minecraft.crafted.andesite_slab: #4, 144(7%)
minecraft.used.lime_carpet: #3, 10(2%)
minecraft.picked_up.name_tag: #4, 70(5%)
minecraft.dropped.honey_bottle: #3, 2(2%)
minecraft.mined.cyan_stained_glass_pane: #3, 2(3%)
minecraft.mined.red_bed: #4, 47(6%)
minecraft.mined.black_carpet: #4, 31(11%)
minecraft.mined.blue_ice: #3, 18(1%)
minecraft.picked_up.crimson_button: #3, 2(2%)
minecraft.dropped.jungle_trapdoor: #3, 5(1%)
minecraft.dropped.rotten_flesh: #5, 8676(8%)
minecraft.picked_up.glistering_melon_slice: #3, 1(1%)
minecraft.mined.damaged_anvil: #4, 6(7%)
minecraft.used.blue_stained_glass: #3, 11(1%)
minecraft.used.golden_pickaxe: #3, 1(1%)
minecraft.used.stone_pressure_plate: #4, 42(6%)
minecraft.picked_up.red_bed: #4, 48(6%)
minecraft.picked_up.jungle_button: #4, 6(17%)
minecraft.crafted.polished_diorite_stairs: #4, 16(15%)
minecraft.crafted.snow: #3, 78(0%)
minecraft.crafted.end_crystal: #3, 4(1%)
minecraft.picked_up.cyan_stained_glass_pane: #3, 1(1%)
minecraft.used.dried_kelp_block: #3, 1(0%)
minecraft.mined.polished_deepslate_slab: #5, 268(10%)
minecraft.picked_up.damaged_anvil: #4, 6(6%)
minecraft.crafted.lime_stained_glass_pane: #4, 32(25%)
minecraft.mined.potted_azure_bluet: #4, 1(25%)
minecraft.broken.diamond_helmet: #4, 1(25%)
minecraft.picked_up.blaze_rod: #5, 230(8%)
minecraft.mined.cracked_polished_blackstone_bricks: #4, 45(14%)
minecraft.dropped.baked_potato: #4, 202(5%)
minecraft.dropped.iron_pickaxe: #5, 8(12%)
minecraft.used.damaged_anvil: #4, 5(6%)
minecraft.used.water_bucket: #5, 1875(7%)
minecraft.used.crimson_planks: #4, 115(14%)
minecraft.mined.stripped_dark_oak_log: #4, 194(5%)
minecraft.crafted.netherite_sword: #4, 2(13%)
minecraft.picked_up.bow: #5, 182(7%)
minecraft.crafted.repeater: #5, 482(8%)
minecraft.used.furnace: #5, 187(7%)
minecraft.dropped.bone_meal: #4, 4613(4%)
minecraft.dropped.oak_leaves: #4, 163(5%)
minecraft.used.glass: #5, 2492(7%)
minecraft.picked_up.smoker: #4, 7(7%)
minecraft.mined.jukebox: #4, 2(14%)
minecraft.picked_up.jukebox: #4, 2(14%)
minecraft.picked_up.stripped_dark_oak_log: #4, 188(5%)
minecraft.killed.glow_squid: #5, 14(9%)
minecraft.crafted.granite_wall: #4, 46(8%)
minecraft.picked_up.water_bucket: #5, 29(7%)
minecraft.picked_up.calcite: #5, 2640(7%)
minecraft.picked_up.crimson_stairs: #4, 14(10%)
minecraft.used.glowstone: #5, 575(8%)
minecraft.used.glow_item_frame: #5, 48(9%)
minecraft.mined.warped_sign: #4, 3(10%)
minecraft.picked_up.oak_slab: #5, 165(7%)
minecraft.picked_up.sticky_piston: #5, 121(8%)
minecraft.mined.granite_wall: #4, 4(11%)
minecraft.picked_up.warped_fungus: #5, 75(9%)
minecraft.mined.birch_planks: #5, 111(8%)
minecraft.mined.red_banner: #4, 3(15%)
minecraft.picked_up.blackstone_stairs: #4, 11(10%)
minecraft.picked_up.end_crystal: #4, 76(8%)
minecraft.mined.daylight_detector: #4, 5(8%)
minecraft.picked_up.daylight_detector: #4, 5(8%)
minecraft.used.honeycomb_block: #4, 57(8%)
minecraft.picked_up.cobblestone_slab: #5, 174(6%)
minecraft.crafted.glass: #5, 17579(6%)
minecraft.crafted.warped_trapdoor: #5, 124(11%)
minecraft.mined.warped_roots: #5, 171(9%)
minecraft.picked_up.polished_blackstone: #5, 216(8%)
minecraft.used.netherite_leggings: #4, 4(16%)
minecraft.picked_up.black_banner: #4, 2(11%)
minecraft.used.stripped_jungle_log: #4, 32(7%)
minecraft.used.gold_ore: #5, 196(8%)
minecraft.picked_up.crimson_slab: #4, 11(8%)
minecraft.picked_up.waxed_weathered_copper: #4, 14(10%)
minecraft.mined.spruce_fence: #5, 177(7%)
minecraft.used.crimson_button: #4, 29(12%)
minecraft.mined.birch_fence_gate: #4, 2(8%)
minecraft.mined.oak_slab: #5, 96(7%)
minecraft.used.fishing_rod: #4, 50(4%)
minecraft.used.obsidian: #4, 990(2%)
minecraft.mined.cobblestone_slab: #5, 177(6%)
minecraft.custom.interact_with_lectern: #5, 100(6%)
minecraft.mined.activator_rail: #4, 6(8%)
minecraft.picked_up.birch_fence_gate: #4, 2(8%)
minecraft.crafted.brick_wall: #4, 20(8%)
minecraft.crafted.crimson_hyphae: #4, 24(7%)
minecraft.mined.lime_concrete_powder: #4, 6(8%)
minecraft.dropped.leather_leggings: #5, 17(6%)
minecraft.crafted.blackstone_wall: #4, 40(11%)
minecraft.killed_by.zombie: #5, 8(8%)
minecraft.used.warped_wart_block: #5, 162(11%)
minecraft.crafted.amethyst_block: #4, 78(7%)
minecraft.crafted.acacia_planks: #5, 3156(8%)
minecraft.mined.crimson_trapdoor: #4, 7(5%)
minecraft.picked_up.bricks: #4, 121(4%)
minecraft.mined.copper_block: #5, 155(7%)
minecraft.picked_up.crimson_trapdoor: #4, 7(5%)
minecraft.mined.lime_stained_glass_pane: #4, 11(10%)
minecraft.killed_by.ender_dragon: #4, 1(12%)
minecraft.dropped.jungle_button: #4, 1(12%)
minecraft.custom.sleep_in_bed: #5, 865(5%)
minecraft.picked_up.glass_bottle: #5, 222(7%)
minecraft.used.lime_stained_glass_pane: #4, 11(9%)
minecraft.mined.dark_oak_slab: #5, 82(7%)
minecraft.mined.sandstone_stairs: #4, 41(6%)
minecraft.picked_up.blue_stained_glass: #4, 2(9%)
minecraft.mined.jungle_trapdoor: #4, 31(4%)
minecraft.mined.emerald_block: #4, 109(4%)
minecraft.picked_up.jungle_slab: #5, 117(11%)
minecraft.dropped.sand: #5, 596(5%)
minecraft.crafted.stone_brick_stairs: #5, 152(7%)
minecraft.dropped.scaffolding: #5, 260(8%)
minecraft.picked_up.spectral_arrow: #4, 268(3%)
minecraft.crafted.polished_andesite: #5, 832(7%)
minecraft.crafted.polished_granite_stairs: #4, 16(8%)
minecraft.picked_up.warped_nylium: #5, 120(7%)
minecraft.mined.dead_bubble_coral_block: #4, 25(6%)
minecraft.used.slime_block: #5, 500(7%)
minecraft.crafted.bow: #5, 89(6%)
minecraft.dropped.saddle: #5, 10(13%)
minecraft.crafted.slime_block: #4, 564(2%)
minecraft.picked_up.deepslate_brick_slab: #5, 128(7%)
minecraft.mined.cobbled_deepslate_stairs: #5, 23(9%)
minecraft.crafted.stone_pressure_plate: #5, 60(7%)
minecraft.picked_up.diorite_slab: #4, 7(5%)
minecraft.used.fire_charge: #4, 1(8%)
minecraft.mined.crimson_button: #4, 1(8%)
minecraft.used.anvil: #5, 69(5%)
minecraft.mined.diorite_slab: #4, 5(6%)
minecraft.picked_up.jungle_trapdoor: #4, 44(3%)
minecraft.used.oak_boat: #5, 52(5%)
minecraft.used.potion: #5, 42(6%)
minecraft.crafted.smooth_sandstone_stairs: #4, 21(3%)
minecraft.crafted.polished_diorite_slab: #4, 12(5%)
minecraft.crafted.golden_carrot: #5, 2789(6%)
minecraft.crafted.birch_trapdoor: #4, 54(2%)
minecraft.picked_up.anvil: #5, 24(5%)
minecraft.mined.red_terracotta: #4, 132(2%)
minecraft.dropped.birch_slab: #4, 8(3%)
minecraft.used.bucket: #5, 2158(5%)
minecraft.dropped.jungle_log: #5, 45(14%)
minecraft.mined.red_sandstone_slab: #4, 9(4%)
minecraft.picked_up.slime_block: #5, 397(6%)
minecraft.crafted.blue_ice: #4, 36(4%)
minecraft.used.end_crystal: #4, 11(2%)
minecraft.mined.white_tulip: #4, 7(3%)
minecraft.mined.brown_concrete_powder: #4, 5(5%)
minecraft.picked_up.lime_carpet: #4, 10(6%)
minecraft.dropped.smooth_quartz_stairs: #4, 2(5%)
minecraft.picked_up.bamboo: #5, 5211(5%)
minecraft.used.quartz_slab: #5, 133(8%)
minecraft.picked_up.chain: #5, 131(5%)
minecraft.crafted.lime_carpet: #4, 15(2%)
minecraft.used.netherite_pickaxe: #5, 184746(8%)
minecraft.picked_up.spruce_boat: #5, 49(7%)
minecraft.mined.iron_trapdoor: #5, 60(6%)
minecraft.used.waxed_exposed_cut_copper_slab: #4, 2(3%)
minecraft.custom.play_noteblock: #5, 110(8%)
minecraft.dropped.oak_sign: #5, 9(6%)
minecraft.dropped.anvil: #4, 4(4%)
minecraft.picked_up.iron_shovel: #5, 10(5%)
minecraft.dropped.green_bed: #4, 1(4%)
minecraft.crafted.snow_block: #5, 5560(8%)
minecraft.used.weathered_cut_copper_slab: #4, 6(2%)
minecraft.used.cobbled_deepslate_stairs: #6, 349(14%)
minecraft.used.cut_sandstone: #4, 63(2%)
minecraft.mined.nether_sprouts: #5, 87(6%)
minecraft.used.diamond_block: #5, 90(5%)
minecraft.crafted.white_terracotta: #5, 128(9%)
minecraft.mined.stone_stairs: #5, 65(6%)
minecraft.picked_up.iron_hoe: #5, 2(12%)
minecraft.picked_up.smooth_quartz_stairs: #5, 84(12%)
minecraft.mined.warped_hyphae: #4, 1(3%)
minecraft.picked_up.honeycomb_block: #5, 46(11%)
minecraft.crafted.honey_block: #4, 111(1%)
minecraft.crafted.golden_helmet: #5, 3(7%)
minecraft.crafted.orange_stained_glass_pane: #5, 16(18%)
