stat, rank, value, (percentage) 
minecraft.crafted.stone: #1, 4666(21%)
minecraft.used.gray_concrete: #1, 6423(38%)
minecraft.picked_up.smooth_stone_slab: #1, 990(26%)
minecraft.used.cracked_polished_blackstone_bricks: #1, 4552(87%)
minecraft.crafted.black_concrete_powder: #1, 12112(29%)
minecraft.picked_up.lever: #2, 520(24%)
minecraft.used.white_concrete_powder: #1, 28411(26%)
minecraft.used.white_wool: #1, 3415(23%)
minecraft.used.brick_wall: #1, 439(64%)
minecraft.crafted.dried_kelp_block: #1, 2244(73%)
minecraft.used.iron_shovel: #2, 23031(28%)
minecraft.used.polished_blackstone_brick_wall: #1, 788(84%)
minecraft.mined.chorus_plant: #1, 137(30%)
minecraft.picked_up.slime_ball: #2, 5238(24%)
minecraft.used.granite_wall: #1, 313(45%)
minecraft.used.waxed_copper_block: #1, 507(61%)
minecraft.used.polished_blackstone_slab: #1, 1838(31%)
minecraft.mined.redstone_lamp: #1, 87(27%)
minecraft.dropped.shroomlight: #1, 74(61%)
minecraft.broken.iron_shovel: #2, 91(31%)
minecraft.mined.detector_rail: #1, 17(68%)
minecraft.used.ancient_debris: #1, 36(68%)
minecraft.used.comparator: #1, 663(22%)
minecraft.used.yellow_stained_glass: #1, 2971(95%)
minecraft.used.terracotta: #1, 1691(29%)
minecraft.crafted.end_rod: #1, 1936(42%)
minecraft.used.detector_rail: #1, 42(36%)
minecraft.crafted.gold_nugget: #2, 18212(33%)
minecraft.mined.black_concrete: #2, 5368(24%)
minecraft.crafted.brown_terracotta: #1, 5864(57%)
minecraft.used.redstone_torch: #1, 907(18%)
minecraft.crafted.smooth_stone: #1, 3310(21%)
minecraft.used.white_stained_glass: #1, 2768(26%)
minecraft.picked_up.chorus_flower: #1, 67(37%)
minecraft.mined.dropper: #1, 147(24%)
minecraft.crafted.hopper: #1, 2103(17%)
minecraft.crafted.sticky_piston: #1, 488(18%)
minecraft.mined.hopper: #2, 1032(20%)
minecraft.used.observer: #1, 1102(17%)
minecraft.crafted.lightning_rod: #2, 473(25%)
minecraft.used.smooth_quartz: #2, 1963(33%)
minecraft.picked_up.chorus_fruit: #1, 1134(25%)
minecraft.dropped.smooth_quartz: #1, 59(84%)
minecraft.crafted.iron_block: #2, 15154(20%)
minecraft.used.target: #1, 253(38%)
minecraft.crafted.smooth_quartz: #1, 3422(32%)
minecraft.used.tinted_glass: #1, 3132(21%)
minecraft.mined.yellow_stained_glass: #1, 219(83%)
minecraft.mined.gray_stained_glass_pane: #1, 60(38%)
minecraft.dropped.andesite_slab: #1, 63(82%)
minecraft.used.blackstone_stairs: #1, 256(45%)
minecraft.mined.redstone_wall_torch: #1, 105(19%)
minecraft.used.hopper: #2, 3142(19%)
minecraft.custom.sneak_time: #2, 4156239(9%)
minecraft.used.black_wool: #2, 3284(28%)
minecraft.mined.chorus_flower: #1, 59(50%)
minecraft.used.andesite: #2, 8011(18%)
minecraft.picked_up.detector_rail: #1, 28(40%)
minecraft.picked_up.waxed_cut_copper: #1, 59(80%)
minecraft.used.deepslate_brick_wall: #1, 511(27%)
minecraft.mined.repeater: #1, 356(17%)
minecraft.picked_up.yellow_stained_glass: #1, 177(49%)
minecraft.picked_up.honey_bottle: #1, 175(56%)
minecraft.mined.scaffolding: #1, 6608(16%)
minecraft.crafted.white_wool: #2, 5991(33%)
minecraft.crafted.white_concrete_powder: #2, 32168(26%)
minecraft.used.light_gray_dye: #1, 17(77%)
minecraft.dropped.end_rod: #1, 172(32%)
minecraft.crafted.minecart: #1, 185(15%)
minecraft.used.light_gray_wool: #1, 2169(35%)
minecraft.used.dirt: #1, 44127(13%)
minecraft.crafted.light_weighted_pressure_plate: #1, 147(75%)
minecraft.dropped.copper_ingot: #1, 231(34%)
minecraft.used.brown_concrete_powder: #1, 722(38%)
minecraft.crafted.redstone_lamp: #2, 716(24%)
minecraft.mined.granite_stairs: #1, 34(53%)
minecraft.mined.warped_wall_sign: #1, 42(41%)
minecraft.dropped.gray_stained_glass: #1, 64(53%)
minecraft.dropped.red_wool: #1, 258(34%)
minecraft.crafted.crimson_slab: #1, 576(41%)
minecraft.mined.composter: #1, 120(18%)
minecraft.used.grass_block: #2, 33443(17%)
minecraft.used.raw_gold_block: #1, 115(46%)
minecraft.crafted.blue_dye: #1, 1230(15%)
minecraft.mined.comparator: #1, 103(17%)
minecraft.used.green_carpet: #1, 230(28%)
minecraft.used.yellow_wool: #2, 1048(33%)
minecraft.dropped.rail: #2, 156(20%)
minecraft.dropped.black_dye: #1, 104(51%)
minecraft.picked_up.cobblestone_stairs: #1, 138(16%)
minecraft.dropped.yellow_terracotta: #1, 64(89%)
minecraft.picked_up.granite_slab: #1, 132(59%)
minecraft.mined.andesite_stairs: #1, 41(32%)
minecraft.crafted.cracked_polished_blackstone_bricks: #1, 4698(88%)
minecraft.picked_up.hopper: #2, 1067(17%)
minecraft.picked_up.white_stained_glass: #1, 353(21%)
minecraft.crafted.andesite_stairs: #1, 168(32%)
minecraft.mined.oxidized_cut_copper: #1, 67(39%)
minecraft.used.yellow_banner: #1, 20(87%)
minecraft.used.lightning_rod: #2, 461(21%)
minecraft.picked_up.birch_stairs: #1, 53(19%)
minecraft.crafted.composter: #2, 320(18%)
minecraft.used.warped_fence_gate: #1, 121(43%)
minecraft.mined.brick_stairs: #1, 29(43%)
minecraft.crafted.cut_copper: #1, 335(24%)
minecraft.dropped.spectral_arrow: #1, 284(38%)
minecraft.picked_up.oxidized_cut_copper: #1, 67(37%)
minecraft.crafted.target: #2, 277(31%)
minecraft.mined.birch_trapdoor: #2, 83(29%)
minecraft.picked_up.dragon_head: #1, 24(19%)
minecraft.picked_up.sand: #1, 95817(13%)
minecraft.picked_up.waxed_copper_block: #1, 66(33%)
minecraft.used.black_concrete: #2, 4759(22%)
minecraft.mined.warped_trapdoor: #1, 43(24%)
minecraft.dropped.gold_nugget: #2, 2387(21%)
minecraft.mined.polished_blackstone_bricks: #2, 411(33%)
minecraft.crafted.warped_fence_gate: #1, 118(37%)
minecraft.custom.open_shulker_box: #1, 31781(12%)
minecraft.crafted.cracked_deepslate_bricks: #1, 1262(36%)
minecraft.used.repeater: #1, 988(14%)
minecraft.mined.waxed_cut_copper: #1, 34(81%)
minecraft.mined.terracotta: #2, 30699(22%)
minecraft.mined.white_stained_glass: #2, 362(25%)
minecraft.picked_up.terracotta: #2, 30766(22%)
minecraft.used.dropper: #1, 359(18%)
minecraft.dropped.golden_apple: #1, 37(36%)
minecraft.crafted.yellow_banner: #1, 12(80%)
minecraft.mined.weathered_cut_copper: #1, 16(64%)
minecraft.picked_up.weathered_cut_copper: #1, 16(64%)
minecraft.mined.smooth_stone: #1, 771(17%)
minecraft.used.composter: #2, 365(17%)
minecraft.crafted.yellow_wool: #1, 109(45%)
minecraft.crafted.brown_concrete_powder: #1, 896(39%)
minecraft.used.deepslate_tile_wall: #2, 1627(24%)
minecraft.picked_up.granite_stairs: #1, 29(52%)
minecraft.crafted.clay: #1, 216(35%)
minecraft.used.sticky_piston: #2, 557(16%)
minecraft.used.polished_granite_stairs: #1, 208(51%)
minecraft.crafted.crimson_planks: #2, 5064(24%)
minecraft.mined.warped_fence_gate: #1, 31(51%)
minecraft.used.bricks: #2, 2090(31%)
minecraft.dropped.vine: #1, 211(51%)
minecraft.dropped.observer: #1, 76(22%)
minecraft.used.soul_campfire: #1, 88(43%)
minecraft.used.cookie: #1, 113(37%)
minecraft.used.black_carpet: #1, 849(30%)
minecraft.crafted.acacia_trapdoor: #1, 854(23%)
minecraft.picked_up.black_stained_glass_pane: #1, 240(32%)
minecraft.killed.magma_cube: #1, 990(12%)
minecraft.picked_up.yellow_carpet: #1, 14(48%)
minecraft.mined.observer: #2, 385(16%)
minecraft.crafted.green_dye: #2, 1489(18%)
minecraft.crafted.yellow_dye: #2, 1101(18%)
minecraft.crafted.white_stained_glass: #2, 2768(19%)
minecraft.picked_up.chipped_anvil: #1, 18(14%)
minecraft.used.stone_brick_wall: #2, 375(20%)
minecraft.used.furnace_minecart: #1, 21(40%)
minecraft.crafted.furnace_minecart: #1, 21(40%)
minecraft.used.light_weighted_pressure_plate: #1, 142(92%)
minecraft.used.chest: #2, 3066(13%)
minecraft.mined.chest: #2, 1139(14%)
minecraft.used.minecart: #2, 217(15%)
minecraft.used.note_block: #2, 486(22%)
minecraft.crafted.exposed_cut_copper: #1, 20(91%)
minecraft.used.light_gray_stained_glass: #2, 1978(23%)
minecraft.mined.honeycomb_block: #2, 52(37%)
minecraft.dropped.andesite_stairs: #1, 27(68%)
minecraft.picked_up.elytra: #2, 119(15%)
minecraft.picked_up.sunflower: #2, 775(17%)
minecraft.picked_up.white_concrete: #2, 6801(18%)
minecraft.custom.open_chest: #1, 33662(9%)
minecraft.used.waxed_cut_copper_stairs: #1, 270(65%)
minecraft.picked_up.polished_blackstone_bricks: #2, 577(28%)
minecraft.used.ladder: #1, 466(10%)
minecraft.crafted.light_gray_stained_glass: #2, 2560(22%)
minecraft.mined.crimson_fungus: #2, 60(19%)
minecraft.mined.spruce_slab: #2, 665(15%)
minecraft.crafted.soul_campfire: #1, 100(36%)
minecraft.picked_up.cyan_terracotta: #2, 825(21%)
minecraft.killed.husk: #1, 20(12%)
minecraft.picked_up.waxed_cut_copper_stairs: #1, 35(61%)
minecraft.dropped.black_stained_glass_pane: #1, 128(81%)
minecraft.mined.shroomlight: #2, 371(14%)
minecraft.crafted.chest: #2, 4243(13%)
minecraft.used.brick_slab: #1, 289(30%)
minecraft.mined.yellow_carpet: #1, 11(48%)
minecraft.crafted.comparator: #2, 485(15%)
minecraft.crafted.observer: #2, 691(13%)
minecraft.mined.note_block: #2, 91(24%)
minecraft.used.yellow_terracotta: #2, 447(26%)
minecraft.crafted.waxed_copper_block: #1, 1118(77%)
minecraft.crafted.redstone: #2, 15198(13%)
minecraft.used.sand: #3, 24372(17%)
minecraft.mined.polished_andesite_stairs: #1, 37(21%)
minecraft.mined.blackstone_wall: #1, 24(32%)
minecraft.mined.smooth_basalt: #2, 2010(14%)
minecraft.mined.sand: #2, 83231(13%)
minecraft.used.waxed_exposed_cut_copper: #1, 17(57%)
minecraft.picked_up.gray_concrete: #2, 1892(22%)
minecraft.used.golden_sword: #1, 24(75%)
minecraft.mined.birch_stairs: #2, 53(18%)
minecraft.crafted.note_block: #2, 428(19%)
minecraft.dropped.red_bed: #1, 4(44%)
minecraft.picked_up.repeater: #2, 505(13%)
minecraft.picked_up.polished_granite_stairs: #1, 70(44%)
minecraft.picked_up.dried_kelp_block: #1, 317(74%)
minecraft.mined.dragon_wall_head: #2, 19(21%)
minecraft.mined.polished_blackstone_brick_wall: #1, 11(44%)
minecraft.used.sea_lantern: #2, 1154(16%)
minecraft.crafted.weathered_cut_copper: #1, 16(73%)
minecraft.custom.crouch_one_cm: #2, 15968775(10%)
minecraft.mined.furnace: #2, 181(13%)
minecraft.crafted.stone_brick_wall: #2, 246(20%)
minecraft.crafted.piston: #2, 908(13%)
minecraft.crafted.diorite_stairs: #1, 8(53%)
minecraft.crafted.andesite: #1, 5554(52%)
minecraft.mined.waxed_cut_copper_stairs: #1, 24(52%)
minecraft.crafted.smoker: #2, 16(19%)
minecraft.dropped.cracked_polished_blackstone_bricks: #1, 209(68%)
minecraft.crafted.light_gray_concrete_powder: #2, 3264(19%)
minecraft.mined.gold_block: #2, 251(16%)
minecraft.used.waxed_cut_copper: #1, 631(100%)
minecraft.crafted.brown_concrete: #1, 1624(100%)
minecraft.killed.skeleton: #2, 3482(11%)
minecraft.dropped.sandstone_stairs: #1, 106(99%)
minecraft.dropped.bricks: #1, 108(40%)
minecraft.picked_up.gray_glazed_terracotta: #1, 63(98%)
minecraft.picked_up.yellow_stained_glass_pane: #1, 30(49%)
minecraft.used.calcite: #2, 1806(13%)
minecraft.used.spruce_boat: #2, 63(13%)
minecraft.mined.polished_blackstone_brick_stairs: #2, 84(33%)
minecraft.dropped.warped_sign: #1, 8(20%)
minecraft.used.light_gray_concrete_powder: #2, 2395(16%)
minecraft.crafted.redstone_torch: #2, 3079(11%)
minecraft.custom.inspect_hopper: #2, 2209(11%)
minecraft.picked_up.dropper: #2, 143(15%)
minecraft.mined.shulker_box: #2, 2818(11%)
minecraft.crafted.powered_rail: #2, 984(13%)
minecraft.used.hopper_minecart: #2, 76(15%)
minecraft.crafted.hopper_minecart: #2, 76(15%)
minecraft.crafted.birch_button: #2, 34(26%)
minecraft.used.cracked_deepslate_bricks: #2, 1180(26%)
minecraft.dropped.brown_carpet: #1, 10(62%)
minecraft.used.polished_deepslate_slab: #3, 4589(18%)
minecraft.custom.interact_with_furnace: #2, 3781(11%)
minecraft.used.scaffolding: #2, 12335(12%)
minecraft.picked_up.scaffolding: #2, 11935(11%)
minecraft.used.bow: #2, 4543(11%)
minecraft.picked_up.shulker_box: #2, 2873(10%)
minecraft.used.shulker_box: #2, 2833(10%)
minecraft.used.gray_glazed_terracotta: #1, 217(90%)
minecraft.crafted.waxed_cut_copper: #1, 345(89%)
minecraft.mined.tnt: #2, 81(16%)
minecraft.mined.barrel: #2, 158(11%)
minecraft.picked_up.furnace: #2, 181(11%)
minecraft.mined.exposed_cut_copper: #1, 19(86%)
minecraft.picked_up.exposed_cut_copper: #1, 19(86%)
minecraft.used.waxed_weathered_cut_copper: #1, 16(57%)
minecraft.killed.ravager: #2, 20(34%)
minecraft.mined.target: #2, 28(30%)
minecraft.used.bone_block: #2, 650(14%)
minecraft.picked_up.snowball: #3, 22103(17%)
minecraft.crafted.green_carpet: #2, 285(23%)
minecraft.picked_up.note_block: #2, 131(19%)
minecraft.picked_up.andesite_stairs: #2, 61(24%)
minecraft.picked_up.oak_button: #2, 14(19%)
minecraft.mined.end_stone_bricks: #2, 109(16%)
minecraft.used.blackstone_wall: #2, 219(29%)
minecraft.mined.frosted_ice: #1, 9(82%)
minecraft.mined.smooth_quartz: #2, 85(19%)
minecraft.mined.gray_concrete_powder: #2, 28(26%)
minecraft.mined.deepslate: #2, 36957(10%)
minecraft.picked_up.yellow_concrete_powder: #1, 4(40%)
minecraft.used.exposed_cut_copper: #1, 12(80%)
minecraft.crafted.waxed_exposed_cut_copper: #1, 16(80%)
minecraft.used.powered_rail: #2, 1453(10%)
minecraft.used.blackstone: #3, 3748(16%)
minecraft.mined.lime_stained_glass: #2, 621(32%)
minecraft.picked_up.black_dye: #2, 106(23%)
minecraft.picked_up.observer: #3, 496(14%)
minecraft.mined.lever: #3, 101(14%)
minecraft.crafted.iron_ingot: #2, 24100(9%)
minecraft.killed.endermite: #2, 19(15%)
minecraft.crafted.detector_rail: #2, 54(23%)
minecraft.picked_up.tnt: #2, 186(13%)
minecraft.picked_up.gold_ingot: #2, 394(12%)
minecraft.picked_up.black_carpet: #2, 125(25%)
minecraft.used.cracked_deepslate_tiles: #2, 697(23%)
minecraft.picked_up.yellow_terracotta: #2, 64(18%)
minecraft.used.chipped_anvil: #2, 13(14%)
minecraft.picked_up.smooth_quartz: #3, 400(25%)
minecraft.crafted.yellow_bed: #2, 8(28%)
minecraft.used.deepslate_brick_stairs: #3, 1349(18%)
minecraft.picked_up.brick_stairs: #2, 24(30%)
minecraft.mined.ice: #2, 10427(14%)
minecraft.crafted.warped_sign: #2, 138(22%)
minecraft.broken.shears: #2, 33(10%)
minecraft.picked_up.lime_stained_glass: #2, 589(29%)
minecraft.picked_up.golden_apple: #2, 39(13%)
minecraft.used.brown_stained_glass_pane: #1, 67(45%)
minecraft.crafted.dried_kelp: #2, 690(23%)
minecraft.crafted.waxed_cut_copper_stairs: #1, 8(67%)
minecraft.crafted.carrot_on_a_stick: #1, 2(67%)
minecraft.used.crimson_slab: #2, 153(26%)
minecraft.crafted.brown_stained_glass_pane: #1, 160(43%)
minecraft.used.tnt: #3, 1476(17%)
minecraft.used.ender_pearl: #2, 770(9%)
minecraft.used.cobbled_deepslate_slab: #3, 1199(14%)
minecraft.crafted.cracked_deepslate_tiles: #2, 704(25%)
minecraft.crafted.chiseled_polished_blackstone: #2, 14(33%)
minecraft.dropped.smooth_stone_slab: #2, 105(20%)
minecraft.mined.potted_dandelion: #1, 3(60%)
minecraft.used.deepslate_bricks: #3, 5116(13%)
minecraft.dropped.warped_wart_block: #2, 717(20%)
minecraft.used.smooth_quartz_stairs: #2, 926(20%)
minecraft.used.cactus: #3, 783(14%)
minecraft.picked_up.jungle_boat: #2, 16(20%)
minecraft.used.smoker: #2, 16(14%)
minecraft.crafted.beehive: #2, 227(18%)
minecraft.crafted.wooden_shovel: #2, 27(24%)
minecraft.dropped.slime_block: #2, 384(24%)
minecraft.mined.black_terracotta: #1, 17(38%)
minecraft.mined.yellow_stained_glass_pane: #2, 23(35%)
minecraft.used.honey_block: #2, 226(19%)
minecraft.used.snow: #2, 4005(17%)
minecraft.dropped.porkchop: #2, 38(21%)
minecraft.used.deepslate_tile_stairs: #3, 2116(13%)
minecraft.dropped.white_wool: #2, 87(12%)
minecraft.used.yellow_stained_glass_pane: #2, 57(41%)
minecraft.dropped.stone_button: #2, 216(11%)
minecraft.used.light_gray_stained_glass_pane: #2, 431(20%)
minecraft.broken.fishing_rod: #1, 1(100%)
minecraft.broken.golden_sword: #1, 1(100%)
minecraft.mined.bubble_column: #1, 1(100%)
minecraft.mined.end_stone_brick_slab: #1, 1(100%)
minecraft.mined.light_weighted_pressure_plate: #1, 3(100%)
minecraft.mined.gray_glazed_terracotta: #1, 75(100%)
minecraft.mined.brown_stained_glass_pane: #1, 4(100%)
minecraft.used.waxed_oxidized_cut_copper: #1, 20(100%)
minecraft.used.carrot_on_a_stick: #1, 4(100%)
minecraft.used.end_stone_brick_slab: #1, 6(100%)
minecraft.picked_up.yellow_banner: #1, 10(100%)
minecraft.picked_up.brown_stained_glass_pane: #1, 2(100%)
minecraft.picked_up.light_weighted_pressure_plate: #1, 3(100%)
minecraft.picked_up.end_stone_brick_slab: #1, 1(100%)
minecraft.picked_up.golden_shovel: #1, 1(100%)
minecraft.crafted.granite: #1, 293(100%)
minecraft.crafted.end_stone_brick_slab: #1, 6(100%)
minecraft.crafted.waxed_weathered_cut_copper: #1, 27(100%)
minecraft.crafted.waxed_oxidized_cut_copper: #1, 20(100%)
minecraft.crafted.golden_shovel: #1, 1(100%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #1, 7(100%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #1, 4(100%)
minecraft.crafted.diorite: #1, 1472(100%)
minecraft.dropped.golden_shovel: #1, 3(100%)
minecraft.dropped.granite_slab: #1, 126(100%)
minecraft.dropped.gray_concrete_powder: #1, 33(100%)
minecraft.dropped.polished_granite_stairs: #1, 64(100%)
minecraft.dropped.wither_rose: #1, 128(100%)
minecraft.picked_up.warped_fence_gate: #2, 27(25%)
minecraft.mined.green_carpet: #2, 19(25%)
minecraft.picked_up.smooth_stone: #3, 936(13%)
minecraft.mined.sponge: #2, 617(17%)
minecraft.used.oak_button: #2, 25(12%)
minecraft.custom.climb_one_cm: #3, 4642113(10%)
minecraft.crafted.quartz_block: #3, 4112(13%)
minecraft.mined.polished_diorite_stairs: #2, 97(38%)
minecraft.used.cobblestone_slab: #3, 817(12%)
minecraft.dropped.birch_log: #2, 140(11%)
minecraft.used.chiseled_polished_blackstone: #2, 73(23%)
minecraft.crafted.acacia_fence: #2, 228(19%)
minecraft.used.redstone: #3, 2729(11%)
minecraft.mined.chipped_anvil: #3, 16(14%)
minecraft.picked_up.polished_diorite_stairs: #2, 95(37%)
minecraft.picked_up.leather_leggings: #3, 33(11%)
minecraft.picked_up.redstone_lamp: #3, 99(16%)
minecraft.used.deepslate: #3, 4993(11%)
minecraft.used.blue_ice: #2, 54(23%)
minecraft.picked_up.warped_trapdoor: #2, 39(13%)
minecraft.mined.quartz_slab: #2, 37(13%)
minecraft.dropped.black_concrete_powder: #2, 65(44%)
minecraft.used.lime_stained_glass: #2, 4337(16%)
minecraft.crafted.oak_planks: #3, 18516(11%)
minecraft.picked_up.blackstone_wall: #2, 30(25%)
minecraft.dropped.honeycomb: #2, 504(29%)
minecraft.mined.campfire: #3, 69(15%)
minecraft.crafted.netherite_pickaxe: #2, 6(13%)
minecraft.picked_up.smooth_quartz_slab: #2, 190(14%)
minecraft.picked_up.netherite_ingot: #2, 13(16%)
minecraft.used.chorus_flower: #2, 17(22%)
minecraft.used.carrot: #3, 2444(10%)
minecraft.dropped.clay: #2, 8(29%)
minecraft.custom.play_time: #4, 66485898(7%)
minecraft.custom.total_world_time: #4, 66485898(7%)
minecraft.used.stone_brick_stairs: #3, 949(13%)
minecraft.crafted.netherite_boots: #2, 3(17%)
minecraft.killed.ender_dragon: #2, 7(33%)
minecraft.picked_up.comparator: #3, 202(12%)
minecraft.mined.glass: #3, 1197(11%)
minecraft.mined.smoker: #2, 8(14%)
minecraft.mined.warped_fungus: #3, 73(13%)
minecraft.picked_up.potion: #2, 67(7%)
minecraft.picked_up.polished_blackstone_button: #3, 133(12%)
minecraft.picked_up.spruce_slab: #3, 669(10%)
minecraft.used.heavy_weighted_pressure_plate: #2, 15(13%)
minecraft.custom.inspect_dropper: #3, 630(10%)
minecraft.used.acacia_fence: #2, 156(16%)
minecraft.crafted.crimson_fence: #2, 42(20%)
minecraft.used.beehive: #2, 191(11%)
minecraft.used.chain: #3, 777(10%)
minecraft.picked_up.chest: #3, 1111(9%)
minecraft.picked_up.cobbled_deepslate: #3, 31056(9%)
