stat, rank, value, (percentage) 
minecraft.crafted.jungle_door: #1, 21(35%)
minecraft.used.deepslate_lapis_ore: #2, 31(19%)
minecraft.picked_up.red_wool: #2, 1639(15%)
minecraft.dropped.wooden_hoe: #1, 2(29%)
minecraft.crafted.iron_pickaxe: #2, 49(11%)
minecraft.used.wheat_seeds: #2, 12528(11%)
minecraft.mined.waxed_weathered_cut_copper: #1, 10(83%)
minecraft.picked_up.waxed_weathered_cut_copper: #1, 10(83%)
minecraft.mined.crafting_table: #2, 305(10%)
minecraft.broken.iron_hoe: #1, 2(40%)
minecraft.mined.acacia_log: #2, 2539(15%)
minecraft.mined.big_dripleaf_stem: #2, 33(21%)
minecraft.mined.peony: #2, 16(13%)
minecraft.picked_up.crafting_table: #2, 325(9%)
minecraft.mined.waxed_weathered_cut_copper_slab: #1, 3(75%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #1, 3(75%)
minecraft.picked_up.acacia_log: #2, 2611(14%)
minecraft.used.cobblestone_stairs: #2, 286(11%)
minecraft.mined.white_shulker_box: #2, 298(14%)
minecraft.mined.black_wool: #2, 70(17%)
minecraft.killed.wolf: #1, 2(29%)
minecraft.used.prismarine_wall: #2, 257(40%)
minecraft.picked_up.campfire: #3, 98(19%)
minecraft.mined.spruce_door: #2, 32(13%)
minecraft.picked_up.white_shulker_box: #2, 300(14%)
minecraft.picked_up.grass_block: #3, 44726(13%)
minecraft.dropped.clock: #2, 70(23%)
minecraft.dropped.bubble_coral: #1, 2(67%)
minecraft.mined.potted_red_tulip: #1, 2(67%)
minecraft.dropped.cyan_carpet: #1, 2(67%)
minecraft.dropped.oak_pressure_plate: #1, 4(67%)
minecraft.custom.clean_armor: #1, 2(33%)
minecraft.picked_up.cyan_shulker_box: #2, 78(26%)
minecraft.used.warped_fungus: #2, 83(19%)
minecraft.dropped.warped_planks: #2, 102(21%)
minecraft.dropped.salmon: #2, 10(19%)
minecraft.picked_up.crimson_fence: #1, 6(26%)
minecraft.mined.stripped_dark_oak_wood: #2, 490(21%)
minecraft.used.iron_hoe: #2, 650(12%)
minecraft.used.white_shulker_box: #2, 296(13%)
minecraft.picked_up.clay_ball: #3, 1868(14%)
minecraft.mined.lodestone: #1, 5(42%)
minecraft.used.rose_bush: #3, 26(16%)
minecraft.mined.brown_glazed_terracotta: #1, 24(62%)
minecraft.used.gray_shulker_box: #2, 125(20%)
minecraft.used.cyan_shulker_box: #2, 76(25%)
minecraft.mined.lily_of_the_valley: #2, 30(14%)
minecraft.dropped.crimson_fence: #1, 6(60%)
minecraft.mined.acacia_fence: #2, 35(27%)
minecraft.dropped.red_mushroom: #2, 41(27%)
minecraft.picked_up.stripped_dark_oak_wood: #2, 503(20%)
minecraft.used.crafting_table: #2, 311(8%)
minecraft.mined.cyan_shulker_box: #2, 76(27%)
minecraft.used.acacia_trapdoor: #2, 558(18%)
minecraft.picked_up.spruce_log: #3, 15418(12%)
minecraft.picked_up.lodestone: #1, 5(36%)
minecraft.picked_up.tuff: #3, 4730(12%)
minecraft.mined.gray_shulker_box: #2, 125(20%)
minecraft.picked_up.oak_trapdoor: #3, 210(12%)
minecraft.broken.wooden_shovel: #1, 53(100%)
minecraft.mined.potted_fern: #1, 1(100%)
minecraft.mined.green_glazed_terracotta: #1, 1(50%)
minecraft.used.poisonous_potato: #1, 1(100%)
minecraft.picked_up.green_glazed_terracotta: #1, 1(100%)
minecraft.dropped.birch_fence_gate: #1, 1(50%)
minecraft.dropped.cut_copper_stairs: #1, 3(100%)
minecraft.dropped.stripped_birch_wood: #1, 1(50%)
minecraft.dropped.warped_pressure_plate: #1, 1(100%)
minecraft.dropped.stripped_acacia_log: #1, 1(100%)
minecraft.mined.birch_sapling: #2, 21(12%)
minecraft.used.clay: #3, 424(23%)
minecraft.picked_up.deepslate_emerald_ore: #2, 13(25%)
minecraft.dropped.bucket: #2, 27(10%)
minecraft.used.grass: #3, 328(17%)
minecraft.picked_up.wheat: #3, 10940(11%)
minecraft.dropped.acacia_planks: #2, 71(27%)
minecraft.used.lime_terracotta: #2, 216(15%)
minecraft.used.deepslate_emerald_ore: #2, 4(36%)
minecraft.crafted.oak_trapdoor: #3, 390(11%)
minecraft.dropped.birch_fence: #2, 5(29%)
minecraft.picked_up.cut_copper_slab: #2, 50(16%)
minecraft.dropped.warped_sign: #2, 7(17%)
minecraft.mined.magenta_shulker_box: #2, 48(21%)
minecraft.picked_up.deepslate_coal_ore: #3, 478(12%)
minecraft.used.diamond_boots: #2, 7(12%)
minecraft.picked_up.magenta_shulker_box: #2, 48(21%)
minecraft.used.warped_fence_gate: #2, 58(20%)
minecraft.custom.animals_bred: #3, 1129(10%)
minecraft.mined.warped_fence_gate: #2, 16(26%)
minecraft.used.crimson_roots: #2, 40(20%)
minecraft.used.iron_pickaxe: #3, 12103(11%)
minecraft.used.magenta_shulker_box: #2, 48(19%)
minecraft.used.acacia_door: #2, 7(17%)
minecraft.custom.sleep_in_bed: #3, 1466(9%)
