stat, rank, value, (percentage) 
minecraft.mined.yellow_concrete: #4, 216(6%)
minecraft.crafted.jungle_fence_gate: #4, 13(10%)
minecraft.crafted.acacia_fence_gate: #4, 16(10%)
minecraft.used.oak_fence_gate: #4, 26(5%)
minecraft.mined.blue_candle: #4, 4(12%)
minecraft.dropped.podzol: #4, 33(11%)
minecraft.used.jungle_fence_gate: #4, 13(8%)
minecraft.picked_up.warped_slab: #4, 28(6%)
minecraft.used.granite_slab: #4, 75(10%)
minecraft.used.dark_oak_button: #4, 17(5%)
minecraft.killed.pufferfish: #4, 7(10%)
minecraft.used.dandelion: #5, 24(12%)
minecraft.used.stone_stairs: #5, 310(8%)
minecraft.used.warped_trapdoor: #5, 118(12%)
minecraft.used.bricks: #4, 378(6%)
minecraft.mined.spruce_slab: #5, 326(7%)
minecraft.mined.basalt: #5, 8364(7%)
minecraft.mined.cake: #4, 1(14%)
minecraft.used.yellow_concrete: #4, 183(6%)
minecraft.picked_up.deepslate_gold_ore: #5, 84(8%)
minecraft.crafted.yellow_concrete_powder: #4, 224(6%)
minecraft.used.big_dripleaf: #4, 93(4%)
minecraft.picked_up.stripped_jungle_wood: #4, 15(8%)
minecraft.used.spruce_slab: #5, 1249(7%)
minecraft.mined.stripped_jungle_wood: #4, 15(8%)
minecraft.used.yellow_concrete_powder: #4, 224(5%)
minecraft.crafted.barrel: #5, 208(7%)
minecraft.used.blue_orchid: #4, 13(8%)
minecraft.used.redstone_ore: #5, 347(8%)
minecraft.mined.jungle_sapling: #4, 12(6%)
minecraft.used.orange_stained_glass_pane: #4, 5(10%)
minecraft.mined.light_blue_shulker_box: #4, 36(4%)
minecraft.used.ender_chest: #5, 322(6%)
minecraft.picked_up.light_blue_shulker_box: #4, 36(4%)
minecraft.crafted.jungle_boat: #4, 3(8%)
minecraft.used.light_blue_shulker_box: #4, 36(4%)
minecraft.mined.ender_chest: #5, 319(6%)
minecraft.used.barrel: #5, 252(6%)
minecraft.picked_up.heart_of_the_sea: #4, 5(8%)
minecraft.crafted.smithing_table: #4, 33(3%)
minecraft.used.stone_brick_wall: #5, 152(8%)
minecraft.mined.brick_wall: #4, 3(8%)
minecraft.mined.polished_granite_stairs: #4, 3(10%)
minecraft.mined.acacia_leaves: #4, 829(3%)
minecraft.used.smithing_table: #4, 29(3%)
minecraft.picked_up.yellow_terracotta: #4, 13(4%)
minecraft.picked_up.creeper_head: #4, 1(10%)
minecraft.used.light_gray_terracotta: #4, 228(5%)
minecraft.used.red_mushroom_block: #4, 76(4%)
minecraft.mined.warped_planks: #4, 51(4%)
minecraft.dropped.white_stained_glass: #4, 12(5%)
minecraft.used.brown_mushroom: #4, 38(4%)
minecraft.crafted.birch_pressure_plate: #4, 1(9%)
minecraft.dropped.lily_pad: #4, 6(4%)
minecraft.crafted.light_gray_terracotta: #4, 72(5%)
minecraft.picked_up.jungle_sign: #4, 14(4%)
minecraft.picked_up.red_sandstone_slab: #4, 36(7%)
minecraft.crafted.brick: #4, 1866(2%)
minecraft.dropped.spruce_door: #4, 2(6%)
minecraft.picked_up.honey_bottle: #4, 18(6%)
minecraft.used.spruce_button: #4, 28(2%)
minecraft.picked_up.salmon: #5, 31(7%)
minecraft.used.black_terracotta: #4, 53(6%)
minecraft.picked_up.cookie: #4, 64(3%)
minecraft.picked_up.gray_terracotta: #4, 4(6%)
minecraft.picked_up.stripped_acacia_wood: #4, 33(6%)
minecraft.picked_up.tube_coral_fan: #4, 35(3%)
minecraft.mined.tube_coral_wall_fan: #4, 31(3%)
minecraft.crafted.acacia_sign: #4, 12(7%)
minecraft.custom.bell_ring: #5, 73(10%)
minecraft.mined.horn_coral_wall_fan: #4, 26(2%)
minecraft.picked_up.tipped_arrow: #4, 30(4%)
minecraft.used.diorite_stairs: #4, 6(5%)
minecraft.mined.fire_coral_block: #4, 73(3%)
minecraft.mined.deepslate_iron_ore: #5, 448(5%)
minecraft.mined.brain_coral_wall_fan: #4, 28(2%)
minecraft.picked_up.cut_red_sandstone: #4, 6(5%)
minecraft.crafted.lime_terracotta: #5, 216(9%)
minecraft.picked_up.fire_coral_block: #4, 73(3%)
minecraft.mined.red_tulip: #4, 6(3%)
minecraft.used.crimson_fence_gate: #4, 1(7%)
minecraft.mined.brain_coral: #4, 12(2%)
minecraft.used.cobblestone_wall: #5, 201(6%)
minecraft.crafted.orange_wool: #4, 2(5%)
minecraft.used.podzol: #5, 226(7%)
minecraft.picked_up.horn_coral_fan: #4, 26(2%)
minecraft.mined.cut_red_sandstone: #4, 6(5%)
minecraft.used.golden_helmet: #4, 1(6%)
minecraft.dropped.gray_stained_glass: #4, 4(3%)
minecraft.picked_up.brain_coral_fan: #4, 30(2%)
minecraft.mined.brown_mushroom_block: #5, 1530(8%)
minecraft.picked_up.brown_mushroom: #5, 174(5%)
minecraft.mined.deepslate_redstone_ore: #5, 484(5%)
minecraft.picked_up.cyan_carpet: #4, 2(5%)
minecraft.crafted.brown_wool: #4, 34(2%)
minecraft.mined.tnt: #5, 35(7%)
minecraft.dropped.spruce_stairs: #4, 3(2%)
minecraft.dropped.dark_oak_planks: #5, 84(6%)
minecraft.picked_up.black_wool: #5, 113(6%)
minecraft.used.prismarine_slab: #4, 11(4%)
minecraft.picked_up.wooden_pickaxe: #5, 3(11%)
minecraft.used.polished_granite_stairs: #4, 12(3%)
minecraft.mined.bubble_coral_wall_fan: #4, 18(2%)
minecraft.mined.warped_slab: #5, 19(11%)
minecraft.mined.bubble_coral: #4, 9(2%)
minecraft.used.jungle_slab: #5, 224(8%)
minecraft.used.orange_tulip: #4, 2(2%)
minecraft.picked_up.brain_coral: #4, 9(2%)
minecraft.used.pink_candle: #4, 4(3%)
minecraft.mined.prismarine_brick_stairs: #4, 5(2%)
minecraft.dropped.blackstone_slab: #4, 1(3%)
minecraft.picked_up.pink_terracotta: #4, 2(2%)
minecraft.picked_up.brown_mushroom_block: #5, 1035(8%)
minecraft.dropped.warped_trapdoor: #4, 1(3%)
minecraft.used.red_mushroom: #4, 5(1%)
minecraft.picked_up.exposed_cut_copper_slab: #4, 3(3%)
minecraft.mined.exposed_cut_copper_slab: #4, 2(2%)
minecraft.crafted.birch_fence_gate: #4, 1(2%)
minecraft.dropped.warped_nylium: #4, 1(3%)
minecraft.used.light_gray_bed: #4, 1(2%)
minecraft.picked_up.exposed_cut_copper_stairs: #4, 2(2%)
minecraft.used.exposed_cut_copper_slab: #4, 2(3%)
minecraft.crafted.crimson_fence_gate: #4, 1(3%)
minecraft.picked_up.bubble_coral: #4, 6(1%)
minecraft.mined.pink_terracotta: #4, 2(2%)
minecraft.dropped.suspicious_stew: #4, 1(2%)
minecraft.picked_up.waxed_exposed_copper: #4, 2(3%)
minecraft.picked_up.prismarine_brick_stairs: #4, 5(2%)
minecraft.mined.waxed_exposed_copper: #4, 2(3%)
minecraft.used.oak_fence: #5, 201(5%)
minecraft.picked_up.pink_candle: #4, 3(2%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #4, 1(2%)
minecraft.mined.polished_diorite_slab: #4, 3(2%)
minecraft.mined.jungle_wood: #4, 1(2%)
minecraft.used.waxed_exposed_copper: #4, 2(2%)
minecraft.crafted.birch_door: #4, 3(1%)
minecraft.used.smooth_red_sandstone_slab: #4, 9(2%)
minecraft.crafted.acacia_slab: #5, 372(8%)
minecraft.used.red_sandstone_slab: #4, 34(1%)
minecraft.crafted.red_sandstone_slab: #4, 36(1%)
minecraft.dropped.coal_block: #4, 19(1%)
minecraft.dropped.deepslate: #5, 232(5%)
minecraft.dropped.honey_bottle: #4, 1(1%)
minecraft.picked_up.jungle_fence: #5, 40(8%)
minecraft.used.honey_bottle: #4, 2(1%)
minecraft.picked_up.prismarine_crystals: #4, 33(0%)
minecraft.dropped.oak_trapdoor: #5, 18(8%)
minecraft.mined.acacia_button: #4, 1(1%)
minecraft.dropped.stripped_warped_hyphae: #4, 1(1%)
minecraft.mined.sandstone_wall: #4, 2(1%)
minecraft.used.birch_door: #4, 1(1%)
minecraft.dropped.smooth_sandstone_stairs: #4, 1(1%)
minecraft.mined.quartz_pillar: #4, 1(1%)
minecraft.picked_up.quartz_pillar: #4, 1(1%)
minecraft.mined.spruce_planks: #6, 996(8%)
minecraft.dropped.tipped_arrow: #4, 19(0%)
minecraft.used.red_sand: #4, 18(0%)
minecraft.used.oak_button: #5, 13(6%)
minecraft.used.stone_pressure_plate: #5, 38(5%)
minecraft.picked_up.jungle_log: #5, 1367(5%)
minecraft.dropped.terracotta: #5, 100(8%)
minecraft.picked_up.pufferfish: #5, 16(7%)
minecraft.picked_up.spruce_fence_gate: #5, 45(5%)
minecraft.used.acacia_fence: #5, 85(9%)
minecraft.mined.red_mushroom_block: #5, 450(5%)
minecraft.mined.warped_door: #5, 2(13%)
minecraft.crafted.purple_shulker_box: #5, 1(10%)
minecraft.crafted.jungle_sign: #5, 21(6%)
minecraft.mined.nether_wart_block: #5, 211(3%)
minecraft.used.oak_pressure_plate: #5, 2(7%)
minecraft.picked_up.nether_wart_block: #5, 211(3%)
minecraft.picked_up.warped_planks: #5, 103(5%)
minecraft.picked_up.oak_sapling: #6, 1228(7%)
minecraft.mined.sunflower: #5, 16(4%)
minecraft.picked_up.spruce_button: #5, 12(4%)
minecraft.used.stripped_jungle_wood: #5, 15(9%)
minecraft.crafted.spruce_fence_gate: #6, 162(8%)
minecraft.used.detector_rail: #5, 6(5%)
minecraft.dropped.light_gray_terracotta: #5, 25(8%)
minecraft.crafted.dark_oak_button: #5, 17(4%)
minecraft.used.iron_helmet: #5, 1(7%)
minecraft.used.hay_block: #5, 77(3%)
minecraft.mined.brown_carpet: #5, 12(6%)
minecraft.dropped.spruce_button: #5, 5(6%)
minecraft.mined.jungle_fence: #5, 27(6%)
minecraft.picked_up.deepslate_iron_ore: #6, 204(7%)
minecraft.dropped.shears: #5, 13(3%)
minecraft.mined.dark_oak_log: #6, 3937(6%)
minecraft.picked_up.dark_oak_sapling: #6, 439(7%)
minecraft.mined.stone_brick_wall: #5, 10(3%)
minecraft.picked_up.blue_orchid: #5, 29(4%)
minecraft.dropped.dark_oak_trapdoor: #5, 5(4%)
minecraft.crafted.raw_iron_block: #5, 173(3%)
minecraft.mined.loom: #5, 4(4%)
minecraft.used.painting: #5, 50(3%)
minecraft.used.shears: #6, 6222(6%)
minecraft.crafted.smooth_sandstone: #5, 444(5%)
minecraft.used.pink_shulker_box: #5, 20(6%)
minecraft.picked_up.ender_chest: #6, 327(6%)
minecraft.used.jungle_stairs: #5, 60(4%)
minecraft.crafted.spruce_button: #5, 32(3%)
minecraft.mined.gray_terracotta: #5, 5(10%)
minecraft.used.cobblestone_slab: #6, 418(6%)
minecraft.dropped.spruce_sign: #5, 7(3%)
minecraft.crafted.cyan_shulker_box: #5, 1(6%)
minecraft.used.stripped_jungle_log: #5, 24(5%)
minecraft.mined.crimson_roots: #6, 100(7%)
minecraft.mined.light_blue_wool: #5, 24(4%)
minecraft.used.spruce_trapdoor: #6, 775(6%)
minecraft.used.deepslate_gold_ore: #6, 59(9%)
minecraft.crafted.birch_boat: #5, 7(3%)
minecraft.used.campfire: #6, 92(6%)
minecraft.mined.dark_oak_button: #5, 1(5%)
minecraft.mined.pink_shulker_box: #5, 20(6%)
minecraft.used.birch_pressure_plate: #5, 1(8%)
minecraft.mined.crimson_fence: #5, 1(8%)
minecraft.picked_up.pink_shulker_box: #5, 20(6%)
minecraft.used.bell: #5, 3(3%)
minecraft.used.mossy_cobblestone_stairs: #5, 18(4%)
minecraft.dropped.soul_sand: #5, 30(2%)
minecraft.dropped.grass_block: #5, 802(2%)
minecraft.dropped.poisonous_potato: #5, 4(3%)
minecraft.used.jungle_boat: #5, 3(4%)
minecraft.used.white_wool: #6, 921(6%)
minecraft.picked_up.leather_horse_armor: #5, 1(6%)
minecraft.picked_up.light_gray_stained_glass_pane: #5, 34(4%)
minecraft.picked_up.light_gray_terracotta: #5, 449(4%)
minecraft.picked_up.deepslate_lapis_ore: #6, 31(7%)
minecraft.picked_up.cake: #5, 2(6%)
minecraft.crafted.leather_horse_armor: #5, 5(5%)
minecraft.crafted.crimson_sign: #5, 3(6%)
minecraft.dropped.warped_wart_block: #5, 106(3%)
minecraft.used.crimson_door: #5, 1(5%)
minecraft.used.porkchop: #5, 1(5%)
minecraft.crafted.mossy_cobblestone: #6, 576(9%)
minecraft.mined.acacia_stairs: #5, 6(3%)
minecraft.crafted.red_sandstone: #5, 320(3%)
minecraft.used.dark_oak_log: #6, 1266(6%)
minecraft.mined.birch_fence_gate: #5, 1(4%)
minecraft.mined.tube_coral_fan: #5, 7(3%)
minecraft.picked_up.birch_fence_gate: #5, 1(4%)
minecraft.crafted.bricks: #5, 445(2%)
minecraft.mined.deepslate_gold_ore: #6, 160(5%)
minecraft.used.warped_pressure_plate: #5, 1(5%)
minecraft.used.granite_stairs: #5, 34(3%)
minecraft.picked_up.deepslate_redstone_ore: #6, 209(5%)
minecraft.dropped.ink_sac: #5, 29(1%)
minecraft.used.coal_ore: #6, 983(5%)
minecraft.used.acacia_sign: #5, 8(5%)
minecraft.mined.crimson_slab: #5, 2(3%)
minecraft.used.gray_terracotta: #5, 37(3%)
minecraft.mined.fire_coral_wall_fan: #5, 23(2%)
minecraft.used.spruce_log: #6, 679(5%)
minecraft.dropped.polished_basalt: #5, 4(2%)
minecraft.mined.brain_coral_fan: #5, 6(2%)
minecraft.custom.pot_flower: #6, 32(5%)
minecraft.crafted.polished_granite_stairs: #5, 8(4%)
minecraft.used.hopper_minecart: #6, 31(6%)
minecraft.picked_up.orange_wool: #5, 21(2%)
minecraft.crafted.hopper_minecart: #6, 31(6%)
minecraft.used.oak_slab: #6, 338(5%)
minecraft.picked_up.fire_coral_fan: #5, 25(1%)
minecraft.crafted.green_banner: #5, 1(3%)
minecraft.dropped.wheat: #5, 77(1%)
minecraft.used.light_blue_terracotta: #5, 21(2%)
minecraft.used.jungle_wood: #5, 11(2%)
minecraft.used.azalea_leaves: #6, 1440(6%)
minecraft.dropped.redstone: #6, 182(5%)
minecraft.mined.smooth_red_sandstone_slab: #5, 1(3%)
minecraft.mined.spruce_leaves: #6, 5544(5%)
minecraft.mined.warped_button: #5, 1(2%)
minecraft.used.horn_coral_fan: #5, 7(2%)
minecraft.used.weathered_cut_copper_stairs: #5, 4(3%)
minecraft.dropped.iron_chestplate: #6, 4(6%)
minecraft.crafted.green_shulker_box: #5, 2(2%)
minecraft.picked_up.smooth_red_sandstone_slab: #5, 1(3%)
minecraft.mined.light_gray_terracotta: #5, 167(1%)
minecraft.mined.smooth_red_sandstone: #5, 3(3%)
minecraft.picked_up.cyan_dye: #5, 5(2%)
minecraft.used.weathered_cut_copper_slab: #5, 5(2%)
minecraft.crafted.green_wool: #5, 6(1%)
minecraft.crafted.polished_diorite_stairs: #5, 2(2%)
minecraft.used.crossbow: #5, 4(2%)
minecraft.picked_up.podzol: #6, 319(5%)
minecraft.picked_up.red_candle: #5, 8(2%)
minecraft.used.crimson_sign: #5, 1(2%)
minecraft.picked_up.bubble_coral_fan: #5, 14(1%)
minecraft.used.soul_torch: #5, 4(1%)
minecraft.dropped.spore_blossom: #5, 1(2%)
minecraft.picked_up.raw_iron_block: #5, 21(1%)
minecraft.used.terracotta: #6, 396(7%)
minecraft.used.brain_coral_fan: #5, 7(1%)
minecraft.picked_up.polished_granite_stairs: #5, 3(2%)
minecraft.used.pink_terracotta: #5, 9(1%)
minecraft.used.fire_coral_fan: #5, 10(1%)
minecraft.used.cut_red_sandstone: #5, 6(2%)
minecraft.used.light_blue_stained_glass_pane: #5, 24(1%)
minecraft.picked_up.polished_diorite_slab: #5, 3(1%)
minecraft.crafted.light_blue_stained_glass_pane: #5, 32(1%)
minecraft.used.brain_coral: #5, 2(1%)
minecraft.mined.sweet_berry_bush: #6, 66(7%)
minecraft.used.bubble_coral_fan: #5, 4(1%)
minecraft.dropped.oak_sign: #6, 8(5%)
minecraft.picked_up.crimson_slab: #5, 1(1%)
minecraft.mined.weathered_cut_copper_stairs: #5, 1(1%)
minecraft.dropped.jungle_sapling: #5, 1(1%)
minecraft.picked_up.weathered_cut_copper_stairs: #5, 1(1%)
minecraft.used.wooden_axe: #5, 1(1%)
minecraft.picked_up.red_tulip: #5, 11(0%)
minecraft.crafted.green_stained_glass_pane: #5, 16(1%)
minecraft.used.deepslate_copper_ore: #6, 17(9%)
minecraft.picked_up.dark_oak_door: #6, 7(9%)
minecraft.picked_up.sandstone_wall: #5, 2(1%)
minecraft.picked_up.jungle_wood: #5, 1(1%)
minecraft.used.polished_diorite_stairs: #5, 9(1%)
minecraft.used.bubble_coral: #5, 1(0%)
minecraft.used.dark_oak_sapling: #6, 221(6%)
minecraft.dropped.beetroot_seeds: #5, 8(0%)
minecraft.used.quartz_pillar: #5, 4(0%)
minecraft.used.horn_coral: #5, 1(0%)
minecraft.used.crimson_button: #5, 1(0%)
minecraft.mined.polished_diorite_stairs: #5, 1(0%)
minecraft.picked_up.polished_diorite_stairs: #5, 1(0%)
minecraft.dropped.pink_wool: #5, 2(0%)
minecraft.used.dried_kelp: #5, 1(0%)
minecraft.crafted.dried_kelp_block: #5, 7(0%)
minecraft.crafted.crimson_button: #5, 1(0%)
minecraft.crafted.acacia_button: #5, 1(0%)
minecraft.used.acacia_button: #5, 1(0%)
minecraft.dropped.brown_terracotta: #5, 1(0%)
minecraft.picked_up.stone_axe: #6, 3(7%)
minecraft.picked_up.lapis_lazuli: #6, 1815(4%)
minecraft.picked_up.hay_block: #6, 128(4%)
minecraft.picked_up.flower_pot: #6, 25(4%)
minecraft.used.dark_oak_fence_gate: #6, 35(6%)
minecraft.mined.jungle_log: #6, 1240(4%)
minecraft.crafted.warped_door: #6, 6(12%)
minecraft.crafted.jungle_slab: #6, 240(6%)
minecraft.used.oak_stairs: #6, 131(5%)
minecraft.crafted.dark_oak_wood: #6, 465(7%)
minecraft.used.iron_ore: #6, 629(4%)
minecraft.used.dark_oak_wood: #6, 458(7%)
minecraft.crafted.stone_pickaxe: #6, 6(4%)
minecraft.picked_up.birch_sapling: #7, 629(7%)
minecraft.crafted.bucket: #6, 160(3%)
minecraft.used.dark_oak_fence: #6, 132(4%)
minecraft.crafted.oak_fence_gate: #6, 23(5%)
minecraft.picked_up.tropical_fish: #6, 10(6%)
minecraft.crafted.loom: #6, 13(5%)
minecraft.mined.small_dripleaf: #6, 2(7%)
minecraft.picked_up.netherite_shovel: #6, 6(4%)
minecraft.crafted.shears: #6, 66(3%)
minecraft.crafted.deepslate: #6, 64(7%)
minecraft.picked_up.warped_sign: #6, 15(5%)
minecraft.dropped.sweet_berries: #6, 24(5%)
minecraft.mined.chiseled_sandstone: #6, 1(8%)
minecraft.picked_up.chiseled_sandstone: #6, 1(8%)
minecraft.custom.inspect_hopper: #7, 1240(6%)
minecraft.crafted.iron_sword: #6, 8(3%)
minecraft.picked_up.acacia_planks: #6, 76(4%)
minecraft.picked_up.spruce_slab: #7, 409(6%)
minecraft.dropped.birch_sign: #6, 6(4%)
minecraft.broken.shears: #7, 22(7%)
minecraft.used.chest_minecart: #6, 2(6%)
minecraft.crafted.chest_minecart: #6, 2(6%)
minecraft.picked_up.kelp: #7, 2460(6%)
minecraft.custom.interact_with_cartography_table: #6, 10(4%)
minecraft.mined.stripped_oak_log: #6, 221(3%)
minecraft.picked_up.stripped_jungle_log: #6, 25(4%)
minecraft.picked_up.birch_log: #7, 2448(6%)
minecraft.mined.stripped_jungle_log: #6, 26(4%)
minecraft.picked_up.stick: #7, 3424(6%)
minecraft.crafted.acacia_fence: #6, 63(5%)
minecraft.picked_up.bell: #6, 7(4%)
minecraft.crafted.warped_trapdoor: #7, 112(10%)
minecraft.mined.bell: #6, 4(4%)
minecraft.mined.grass: #7, 2864(5%)
minecraft.crafted.magenta_shulker_box: #6, 1(5%)
minecraft.mined.smoker: #6, 2(3%)
minecraft.picked_up.acacia_boat: #6, 3(4%)
minecraft.used.polished_andesite_stairs: #6, 59(3%)
minecraft.mined.jungle_button: #6, 1(6%)
minecraft.used.brick_slab: #6, 45(5%)
minecraft.mined.deepslate_lapis_ore: #7, 72(5%)
minecraft.used.blue_ice: #6, 10(4%)
minecraft.dropped.iron_door: #6, 1(6%)
minecraft.picked_up.redstone: #7, 7475(5%)
minecraft.used.small_dripleaf: #6, 8(3%)
minecraft.dropped.black_wool: #6, 9(3%)
minecraft.mined.mossy_cobblestone_stairs: #6, 4(3%)
minecraft.used.green_banner: #6, 1(5%)
minecraft.used.jungle_trapdoor: #6, 74(2%)
minecraft.crafted.jungle_trapdoor: #6, 68(2%)
minecraft.picked_up.dead_bush: #6, 88(2%)
minecraft.crafted.cyan_stained_glass: #6, 48(2%)
minecraft.crafted.detector_rail: #6, 6(3%)
minecraft.mined.detector_rail: #6, 1(4%)
minecraft.dropped.jungle_log: #6, 10(3%)
minecraft.used.spruce_leaves: #6, 634(2%)
minecraft.crafted.warped_pressure_plate: #6, 1(5%)
minecraft.picked_up.red_mushroom_block: #6, 137(2%)
minecraft.used.cobblestone: #7, 4556(5%)
minecraft.dropped.trident: #6, 1(4%)
minecraft.picked_up.spruce_wood: #6, 6(3%)
minecraft.picked_up.gray_stained_glass: #6, 16(2%)
minecraft.picked_up.acacia_stairs: #6, 5(2%)
minecraft.picked_up.sweet_berries: #7, 211(6%)
minecraft.used.dark_oak_stairs: #7, 295(7%)
minecraft.used.brown_wool: #6, 18(2%)
minecraft.custom.fill_cauldron: #6, 7(1%)
minecraft.dropped.green_dye: #6, 4(3%)
minecraft.mined.tube_coral: #6, 7(2%)
minecraft.mined.granite_stairs: #6, 2(3%)
minecraft.picked_up.granite_stairs: #6, 2(4%)
minecraft.mined.spruce_trapdoor: #7, 184(5%)
minecraft.crafted.granite_slab: #6, 14(3%)
minecraft.picked_up.blue_candle: #6, 4(2%)
minecraft.mined.fire_coral_fan: #6, 6(2%)
minecraft.crafted.raw_gold: #6, 99(2%)
minecraft.mined.prismarine: #6, 79(1%)
minecraft.mined.birch_button: #6, 1(3%)
minecraft.mined.dirt_path: #7, 423(5%)
minecraft.mined.weathered_cut_copper_slab: #6, 1(3%)
minecraft.used.jungle_planks: #6, 104(1%)
minecraft.mined.infested_deepslate: #6, 2(2%)
minecraft.crafted.sponge: #6, 27(2%)
minecraft.dropped.cod: #6, 20(1%)
minecraft.picked_up.weathered_cut_copper_slab: #6, 1(2%)
minecraft.used.acacia_stairs: #6, 16(1%)
minecraft.used.birch_fence_gate: #6, 1(2%)
minecraft.picked_up.experience_bottle: #6, 29(2%)
minecraft.dropped.mutton: #6, 2(1%)
minecraft.picked_up.prismarine_wall: #6, 1(2%)
minecraft.picked_up.redstone_ore: #7, 411(5%)
minecraft.crafted.jungle_wood: #6, 12(2%)
minecraft.picked_up.tube_coral: #6, 4(1%)
minecraft.mined.prismarine_wall: #6, 1(2%)
minecraft.mined.oak_sapling: #7, 23(5%)
minecraft.used.tuff: #7, 710(5%)
minecraft.used.black_banner: #6, 1(1%)
minecraft.dropped.cauldron: #6, 10(1%)
minecraft.dropped.deepslate_brick_slab: #6, 3(1%)
minecraft.crafted.gray_terracotta: #6, 40(1%)
minecraft.used.waxed_exposed_cut_copper_slab: #6, 1(2%)
minecraft.mined.fire_coral: #6, 5(1%)
minecraft.crafted.lapis_block: #7, 198(5%)
minecraft.used.polished_diorite_slab: #6, 15(1%)
minecraft.dropped.dark_oak_boat: #6, 1(1%)
minecraft.dropped.red_terracotta: #6, 3(1%)
minecraft.dropped.tnt: #6, 3(1%)
minecraft.dropped.oak_planks: #7, 73(4%)
minecraft.picked_up.lime_wool: #6, 22(1%)
minecraft.picked_up.dark_oak_fence_gate: #7, 19(7%)
minecraft.used.dark_oak_slab: #7, 457(5%)
minecraft.crafted.small_dripleaf: #6, 8(1%)
minecraft.mined.red_sandstone_slab: #6, 2(1%)
minecraft.crafted.black_banner: #6, 1(1%)
minecraft.crafted.oak_fence: #7, 198(5%)
minecraft.picked_up.stripped_warped_hyphae: #6, 6(1%)
minecraft.mined.stripped_warped_hyphae: #6, 5(1%)
minecraft.used.lead: #7, 6(7%)
minecraft.mined.green_concrete_powder: #6, 1(1%)
minecraft.crafted.brown_terracotta: #6, 48(0%)
minecraft.used.exposed_cut_copper_stairs: #6, 1(1%)
minecraft.used.dead_bush: #6, 10(0%)
minecraft.custom.interact_with_loom: #7, 10(7%)
minecraft.dropped.orange_wool: #6, 3(0%)
minecraft.picked_up.pink_dye: #6, 1(0%)
minecraft.picked_up.pumpkin_pie: #6, 5(0%)
minecraft.mined.cyan_stained_glass: #6, 1(0%)
minecraft.mined.mushroom_stem: #7, 222(5%)
minecraft.picked_up.cyan_stained_glass: #6, 1(0%)
minecraft.mined.orange_bed: #6, 2(0%)
minecraft.dropped.fire_charge: #6, 1(0%)
minecraft.mined.lapis_ore: #7, 165(4%)
minecraft.picked_up.green_concrete_powder: #6, 1(0%)
minecraft.mined.raw_iron_block: #6, 1(0%)
minecraft.crafted.spruce_trapdoor: #7, 558(4%)
minecraft.dropped.painting: #6, 1(0%)
minecraft.mined.podzol: #7, 382(4%)
minecraft.picked_up.brick: #7, 74(8%)
minecraft.used.gravel: #7, 669(4%)
minecraft.crafted.stone: #7, 833(4%)
minecraft.killed.endermite: #7, 7(6%)
minecraft.crafted.oak_stairs: #7, 124(5%)
minecraft.dropped.stone: #7, 6456(4%)
minecraft.picked_up.crimson_roots: #7, 100(4%)
minecraft.crafted.stone_pressure_plate: #7, 39(4%)
minecraft.used.warped_wart_block: #7, 90(6%)
minecraft.mined.cobbled_deepslate: #7, 195(3%)
minecraft.mined.warped_nylium: #7, 64(4%)
minecraft.crafted.stick: #7, 10614(3%)
minecraft.used.acacia_log: #7, 235(5%)
minecraft.crafted.dark_oak_fence_gate: #7, 35(5%)
minecraft.used.jungle_fence: #7, 44(5%)
minecraft.dropped.apple: #7, 36(4%)
minecraft.crafted.golden_helmet: #7, 2(5%)
minecraft.used.birch_sapling: #7, 145(3%)
minecraft.killed_by.enderman: #7, 1(6%)
minecraft.mined.redstone_block: #7, 49(3%)
minecraft.mined.spruce_sign: #7, 5(6%)
minecraft.dropped.iron_leggings: #7, 3(3%)
minecraft.mined.birch_leaves: #7, 1257(2%)
minecraft.crafted.stonecutter: #7, 7(3%)
minecraft.mined.dark_oak_door: #7, 3(6%)
minecraft.picked_up.candle: #7, 36(4%)
minecraft.used.dark_oak_door: #7, 8(5%)
minecraft.picked_up.nautilus_shell: #7, 9(5%)
minecraft.crafted.yellow_terracotta: #7, 184(4%)
minecraft.mined.weathered_copper: #7, 29(3%)
minecraft.picked_up.weathered_copper: #7, 29(3%)
minecraft.crafted.raw_copper: #7, 783(3%)
minecraft.crafted.dark_oak_door: #7, 9(4%)
minecraft.crafted.jungle_stairs: #7, 56(4%)
minecraft.used.birch_wood: #7, 53(4%)
minecraft.used.diorite: #8, 603(6%)
minecraft.picked_up.raw_gold_block: #7, 5(5%)
minecraft.used.cake: #7, 3(5%)
minecraft.mined.blue_orchid: #7, 20(4%)
minecraft.picked_up.cobblestone_wall: #7, 32(2%)
minecraft.mined.andesite_slab: #7, 14(3%)
minecraft.used.sweet_berries: #7, 41(3%)
minecraft.mined.jungle_leaves: #7, 570(3%)
minecraft.picked_up.spider_eye: #8, 344(6%)
minecraft.picked_up.crossbow: #7, 5(2%)
minecraft.used.spruce_pressure_plate: #7, 3(3%)
minecraft.mined.birch_trapdoor: #7, 8(3%)
minecraft.used.cut_copper: #7, 37(3%)
minecraft.picked_up.stripped_oak_log: #7, 204(2%)
minecraft.mined.dark_oak_pressure_plate: #7, 1(5%)
minecraft.mined.crimson_stairs: #7, 3(4%)
minecraft.dropped.bone_block: #7, 48(4%)
