stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #18, 1604127(1%)
minecraft.custom.time_since_death: #21, 1604127(1%)
minecraft.custom.leave_game: #41, 62(0%)
minecraft.custom.fall_one_cm: #42, 335(0%)
minecraft.custom.damage_taken: #42, 10(0%)
minecraft.custom.play_time: #44, 1604127(0%)
minecraft.custom.total_world_time: #44, 1604127(0%)
minecraft.custom.walk_on_water_one_cm: #44, 20852(0%)
minecraft.custom.walk_one_cm: #45, 125(0%)
minecraft.custom.fly_one_cm: #46, 2601203(0%)
minecraft.custom.sneak_time: #48, 5999(0%)
minecraft.custom.walk_under_water_one_cm: #49, 4957(0%)
