stat, rank, value, (percentage) 
minecraft.picked_up.blaze_rod: #1, 479(17%)
minecraft.mined.blackstone_slab: #1, 67(35%)
minecraft.used.deepslate_tile_wall: #1, 1628(24%)
minecraft.mined.oxidized_cut_copper_stairs: #1, 416(51%)
minecraft.broken.flint_and_steel: #1, 25(41%)
minecraft.dropped.blackstone: #2, 1621(27%)
minecraft.dropped.written_book: #1, 18(29%)
minecraft.crafted.chain: #1, 1396(17%)
minecraft.custom.interact_with_stonecutter: #1, 924(16%)
minecraft.mined.redstone_wire: #1, 877(16%)
minecraft.dropped.cyan_terracotta: #1, 358(38%)
minecraft.dropped.amethyst_cluster: #1, 102(53%)
minecraft.dropped.red_dye: #1, 117(46%)
minecraft.picked_up.chicken: #2, 296(19%)
minecraft.mined.deepslate_brick_wall: #1, 38(30%)
minecraft.dropped.cobbled_deepslate_wall: #1, 64(51%)
minecraft.picked_up.oxidized_cut_copper_stairs: #1, 379(44%)
minecraft.used.slime_block: #2, 1650(23%)
minecraft.crafted.gray_carpet: #1, 1220(22%)
minecraft.used.blackstone: #2, 4721(20%)
minecraft.dropped.nether_brick: #1, 258(70%)
minecraft.used.acacia_button: #1, 423(58%)
minecraft.mined.gray_carpet: #1, 141(25%)
minecraft.picked_up.black_carpet: #1, 171(35%)
minecraft.used.hopper_minecart: #1, 89(18%)
minecraft.crafted.hopper_minecart: #1, 89(18%)
minecraft.used.cobbled_deepslate_slab: #2, 1600(19%)
minecraft.used.acacia_boat: #1, 24(31%)
minecraft.used.carved_pumpkin: #2, 87(24%)
minecraft.used.dark_oak_boat: #2, 73(23%)
minecraft.picked_up.polished_deepslate_slab: #2, 832(22%)
minecraft.crafted.acacia_planks: #1, 6804(17%)
minecraft.custom.crouch_one_cm: #1, 16570605(11%)
minecraft.used.deepslate_tile_stairs: #2, 2966(19%)
minecraft.used.iron_door: #1, 52(16%)
minecraft.used.brain_coral_block: #1, 398(32%)
minecraft.dropped.gray_carpet: #1, 127(45%)
minecraft.mined.diamond_ore: #1, 702(12%)
minecraft.mined.black_carpet: #1, 90(31%)
minecraft.used.diamond_ore: #1, 225(14%)
minecraft.used.purpur_block: #2, 363(29%)
minecraft.used.polished_deepslate_stairs: #2, 2394(21%)
minecraft.crafted.ender_chest: #2, 50(18%)
minecraft.custom.leave_game: #2, 1244(7%)
minecraft.dropped.acacia_planks: #1, 118(44%)
minecraft.crafted.gray_dye: #2, 2230(18%)
minecraft.mined.dead_tube_coral_block: #1, 130(77%)
minecraft.used.fire_charge: #1, 10(77%)
minecraft.mined.weathered_cut_copper_slab: #1, 20(51%)
minecraft.dropped.light_blue_terracotta: #1, 33(77%)
