stat, rank, value, (percentage) 
minecraft.picked_up.repeater: #4, 402(11%)
minecraft.killed.trader_llama: #3, 14(8%)
minecraft.crafted.pink_stained_glass: #3, 192(16%)
minecraft.crafted.redstone: #3, 7099(6%)
minecraft.used.soul_sand: #4, 548(10%)
minecraft.picked_up.diamond_axe: #4, 58(10%)
minecraft.picked_up.lightning_rod: #3, 66(8%)
minecraft.broken.chainmail_chestplate: #2, 1(25%)
minecraft.mined.dead_fire_coral_wall_fan: #2, 1(17%)
minecraft.picked_up.acacia_button: #2, 34(17%)
minecraft.used.firework_rocket: #4, 24182(10%)
minecraft.used.stone_slab: #4, 2464(11%)
minecraft.used.redstone_lamp: #3, 133(7%)
minecraft.used.fire_coral_fan: #3, 168(24%)
minecraft.custom.sprint_one_cm: #4, 80587118(6%)
minecraft.dropped.end_rod: #3, 64(12%)
minecraft.mined.soul_lantern: #3, 39(12%)
minecraft.dropped.stripped_birch_log: #2, 1(14%)
minecraft.dropped.cobbled_deepslate_slab: #3, 21(16%)
minecraft.crafted.polished_blackstone_brick_stairs: #2, 40(7%)
minecraft.used.dead_bubble_coral_block: #2, 22(8%)
minecraft.picked_up.dark_prismarine_slab: #3, 10(28%)
minecraft.picked_up.purple_stained_glass_pane: #2, 3(19%)
minecraft.mined.stone_button: #3, 91(7%)
minecraft.picked_up.diamond_shovel: #4, 53(9%)
minecraft.picked_up.polished_deepslate_stairs: #4, 237(12%)
minecraft.crafted.lead: #3, 36(7%)
minecraft.dropped.splash_potion: #2, 10(4%)
minecraft.mined.gray_bed: #2, 2(15%)
minecraft.picked_up.warped_planks: #3, 183(9%)
minecraft.dropped.milk_bucket: #2, 1(10%)
minecraft.used.pink_stained_glass: #3, 151(22%)
minecraft.picked_up.oak_trapdoor: #4, 158(9%)
minecraft.dropped.cobblestone: #4, 7771(9%)
minecraft.mined.fire: #4, 643(8%)
minecraft.used.blue_ice: #3, 37(16%)
minecraft.dropped.rose_bush: #2, 4(3%)
minecraft.mined.jungle_fence: #3, 54(12%)
minecraft.dropped.netherite_pickaxe: #3, 7(6%)
minecraft.dropped.diamond: #4, 191(9%)
minecraft.mined.ladder: #4, 92(9%)
minecraft.used.honey_block: #3, 131(11%)
minecraft.picked_up.red_stained_glass: #3, 15(10%)
minecraft.mined.fire_coral_wall_fan: #3, 123(9%)
minecraft.dropped.dark_oak_fence_gate: #2, 2(6%)
minecraft.used.rotten_flesh: #3, 23(8%)
minecraft.picked_up.fire_coral_fan: #3, 164(10%)
minecraft.used.cooked_chicken: #3, 147(8%)
minecraft.dropped.oxidized_cut_copper_slab: #2, 3(5%)
minecraft.dropped.granite: #4, 1847(9%)
minecraft.used.glow_lichen: #3, 2002(5%)
minecraft.used.black_bed: #3, 62(16%)
minecraft.mined.polished_deepslate_wall: #4, 95(12%)
minecraft.picked_up.black_shulker_box: #4, 109(18%)
minecraft.dropped.copper_ore: #3, 64(8%)
minecraft.picked_up.egg: #4, 559(8%)
minecraft.used.deepslate_bricks: #5, 4966(13%)
minecraft.mined.birch_planks: #4, 132(9%)
minecraft.crafted.green_wool: #3, 51(12%)
minecraft.used.wooden_shovel: #2, 51(2%)
minecraft.picked_up.black_glazed_terracotta: #3, 10(27%)
minecraft.used.mycelium: #2, 3(4%)
minecraft.custom.damage_dealt: #3, 1536100(4%)
minecraft.used.purple_bed: #3, 6(21%)
minecraft.dropped.black_bed: #2, 1(4%)
minecraft.used.piston: #4, 430(9%)
minecraft.dropped.egg: #4, 352(9%)
minecraft.mined.exposed_cut_copper_slab: #3, 17(21%)
minecraft.dropped.lime_concrete: #2, 1(1%)
minecraft.dropped.diamond_chestplate: #3, 2(10%)
minecraft.used.black_shulker_box: #4, 109(17%)
minecraft.used.lime_shulker_box: #3, 248(6%)
minecraft.crafted.black_stained_glass_pane: #3, 480(8%)
minecraft.picked_up.cyan_terracotta: #4, 477(12%)
minecraft.crafted.air: #2, 0(0%)
minecraft.crafted.jungle_boat: #3, 5(12%)
minecraft.dropped.glow_lichen: #3, 20(14%)
minecraft.used.mossy_cobblestone_wall: #3, 26(14%)
minecraft.picked_up.nautilus_shell: #3, 15(8%)
minecraft.dropped.diamond_sword: #4, 11(8%)
minecraft.used.black_candle: #3, 29(11%)
minecraft.picked_up.jungle_planks: #3, 139(5%)
minecraft.picked_up.chiseled_polished_blackstone: #3, 7(16%)
minecraft.picked_up.golden_horse_armor: #3, 2(10%)
minecraft.dropped.vine: #3, 66(16%)
minecraft.used.soul_campfire: #3, 28(14%)
minecraft.picked_up.iron_door: #4, 19(11%)
minecraft.picked_up.lead: #4, 178(7%)
minecraft.crafted.clay: #3, 64(10%)
minecraft.dropped.twisting_vines: #3, 99(9%)
minecraft.mined.dark_prismarine_stairs: #3, 4(18%)
minecraft.dropped.netherite_boots: #3, 2(10%)
minecraft.used.white_banner: #4, 26(12%)
minecraft.used.wither_skeleton_skull: #3, 22(6%)
minecraft.crafted.cobblestone_wall: #4, 324(9%)
minecraft.crafted.cobbled_deepslate_wall: #3, 68(7%)
minecraft.mined.soul_sand: #4, 730(7%)
minecraft.dropped.andesite: #4, 1280(7%)
minecraft.crafted.redstone_block: #4, 1320(7%)
minecraft.picked_up.light_blue_stained_glass: #3, 122(7%)
minecraft.dropped.polished_deepslate: #4, 52(13%)
minecraft.crafted.black_dye: #4, 2633(8%)
minecraft.used.redstone_torch: #4, 370(7%)
minecraft.picked_up.polished_blackstone: #4, 240(9%)
minecraft.mined.red_stained_glass: #3, 14(7%)
minecraft.picked_up.trident: #4, 15(11%)
minecraft.mined.polished_blackstone_brick_wall: #3, 4(16%)
minecraft.picked_up.dark_prismarine_stairs: #3, 4(16%)
minecraft.mined.chipped_anvil: #4, 10(9%)
minecraft.broken.diamond_shovel: #3, 1(11%)
minecraft.custom.player_kills: #4, 11(9%)
minecraft.used.netherite_boots: #3, 4(12%)
minecraft.used.beacon: #4, 25(8%)
minecraft.used.chipped_anvil: #4, 9(10%)
minecraft.used.oxidized_cut_copper: #3, 92(8%)
minecraft.picked_up.mossy_cobblestone_wall: #3, 22(15%)
minecraft.dropped.powered_rail: #3, 11(7%)
minecraft.used.crimson_button: #3, 36(15%)
minecraft.crafted.item_frame: #4, 312(7%)
minecraft.mined.soul_soil: #4, 929(9%)
minecraft.picked_up.chipped_anvil: #4, 11(9%)
minecraft.picked_up.exposed_cut_copper_slab: #3, 17(18%)
minecraft.mined.polished_blackstone: #4, 182(9%)
minecraft.mined.piston: #4, 132(7%)
minecraft.crafted.crafting_table: #4, 92(6%)
minecraft.used.white_candle: #3, 27(10%)
minecraft.dropped.diamond_leggings: #4, 7(9%)
minecraft.used.wither_rose: #3, 93(8%)
minecraft.mined.tube_coral_block: #3, 130(7%)
minecraft.picked_up.activator_rail: #3, 7(7%)
minecraft.broken.golden_boots: #3, 1(17%)
minecraft.mined.dragon_head: #3, 2(22%)
minecraft.picked_up.waxed_exposed_cut_copper: #3, 2(17%)
minecraft.dropped.blue_candle: #3, 4(17%)
minecraft.mined.fire_coral_fan: #4, 55(17%)
minecraft.dropped.golden_chestplate: #4, 28(8%)
minecraft.killed.creeper: #4, 381(6%)
minecraft.used.acacia_trapdoor: #4, 435(14%)
minecraft.crafted.deepslate_brick_wall: #4, 64(13%)
minecraft.picked_up.dead_bubble_coral_block: #3, 47(11%)
minecraft.dropped.deepslate_coal_ore: #3, 5(5%)
minecraft.mined.sea_lantern: #4, 84(7%)
minecraft.picked_up.peony: #4, 105(9%)
minecraft.picked_up.soul_soil: #4, 927(9%)
minecraft.used.dark_prismarine_stairs: #3, 79(12%)
minecraft.dropped.mossy_cobblestone_slab: #3, 17(20%)
minecraft.picked_up.piston: #4, 214(7%)
minecraft.picked_up.wither_skeleton_skull: #3, 22(3%)
minecraft.dropped.iron_ingot: #4, 569(7%)
minecraft.killed.snow_golem: #3, 3(12%)
minecraft.picked_up.deepslate_brick_slab: #4, 151(8%)
minecraft.mined.polished_blackstone_pressure_plate: #3, 5(11%)
minecraft.custom.sleep_in_bed: #4, 912(6%)
minecraft.mined.diorite_slab: #3, 9(11%)
minecraft.used.weathered_cut_copper_slab: #3, 20(8%)
minecraft.crafted.polished_blackstone_button: #4, 443(11%)
minecraft.killed.zombie_villager: #4, 16(6%)
minecraft.used.dispenser: #4, 113(6%)
minecraft.picked_up.soul_sand: #4, 1087(6%)
minecraft.killed.axolotl: #3, 3(6%)
minecraft.dropped.lapis_lazuli: #4, 56(10%)
minecraft.mined.seagrass: #4, 349(6%)
minecraft.dropped.trident: #3, 2(7%)
minecraft.picked_up.tube_coral_block: #3, 116(6%)
minecraft.mined.turtle_egg: #3, 62(7%)
minecraft.crafted.light_gray_wool: #3, 114(3%)
minecraft.used.cut_copper_slab: #4, 174(12%)
minecraft.dropped.gray_stained_glass: #3, 8(7%)
minecraft.picked_up.turtle_egg: #3, 59(7%)
minecraft.crafted.birch_pressure_plate: #3, 1(9%)
minecraft.dropped.diamond_axe: #4, 10(8%)
minecraft.dropped.crying_obsidian: #3, 89(15%)
minecraft.custom.interact_with_campfire: #3, 7(9%)
minecraft.used.dead_fire_coral_fan: #3, 2(11%)
minecraft.picked_up.medium_amethyst_bud: #3, 65(4%)
minecraft.mined.wither_rose: #3, 13(6%)
minecraft.mined.birch_wall_sign: #4, 25(6%)
minecraft.used.diamond_boots: #4, 6(10%)
minecraft.picked_up.jungle_fence: #4, 54(11%)
minecraft.picked_up.writable_book: #4, 10(6%)
minecraft.used.cobblestone_wall: #4, 223(7%)
minecraft.crafted.pink_dye: #5, 204(11%)
minecraft.crafted.iron_door: #4, 36(8%)
minecraft.mined.medium_amethyst_bud: #3, 59(3%)
minecraft.mined.snow_block: #3, 203(3%)
minecraft.crafted.cut_copper_slab: #4, 98(14%)
minecraft.crafted.map: #3, 95(3%)
minecraft.mined.pink_bed: #3, 1(12%)
minecraft.picked_up.leather_horse_armor: #3, 1(6%)
minecraft.picked_up.mossy_cobblestone_stairs: #4, 29(14%)
minecraft.dropped.diamond_ore: #3, 1(9%)
minecraft.picked_up.beacon: #4, 20(6%)
minecraft.picked_up.music_disc_far: #3, 1(7%)
minecraft.picked_up.ladder: #4, 349(5%)
minecraft.mined.sand: #5, 59527(9%)
minecraft.custom.inspect_dropper: #5, 567(9%)
minecraft.picked_up.golden_chestplate: #4, 20(6%)
minecraft.picked_up.pumpkin_pie: #3, 68(3%)
minecraft.dropped.birch_log: #4, 97(8%)
minecraft.dropped.ancient_debris: #3, 1(10%)
minecraft.mined.budding_amethyst: #4, 33(6%)
minecraft.dropped.lime_shulker_box: #3, 2(7%)
minecraft.picked_up.gold_nugget: #3, 6196(1%)
minecraft.dropped.blackstone_slab: #3, 2(7%)
minecraft.crafted.beacon: #3, 2(2%)
minecraft.dropped.player_head: #4, 232(5%)
minecraft.used.waxed_exposed_cut_copper: #3, 2(7%)
minecraft.used.warped_pressure_plate: #3, 1(5%)
minecraft.crafted.blue_ice: #3, 38(4%)
minecraft.picked_up.comparator: #5, 171(10%)
minecraft.used.oak_trapdoor: #5, 352(9%)
minecraft.killed.slime: #4, 468(5%)
minecraft.dropped.magenta_stained_glass: #3, 5(5%)
minecraft.used.turtle_egg: #3, 17(4%)
minecraft.picked_up.deepslate_brick_stairs: #4, 117(8%)
minecraft.mined.mycelium: #3, 38(5%)
minecraft.picked_up.soul_campfire: #3, 1(5%)
minecraft.picked_up.small_amethyst_bud: #3, 58(2%)
minecraft.mined.cyan_bed: #3, 6(3%)
minecraft.picked_up.cyan_bed: #3, 6(3%)
minecraft.mined.small_amethyst_bud: #3, 59(1%)
minecraft.crafted.piston: #5, 636(9%)
minecraft.used.soul_soil: #4, 384(7%)
minecraft.used.chorus_fruit: #3, 1(5%)
minecraft.crafted.honey_block: #3, 222(3%)
minecraft.crafted.blaze_powder: #4, 122(5%)
minecraft.picked_up.slime_ball: #4, 1010(5%)
minecraft.dropped.soul_torch: #3, 2(4%)
minecraft.dropped.warped_trapdoor: #3, 1(3%)
minecraft.mined.polished_blackstone_slab: #4, 61(8%)
minecraft.used.acacia_planks: #4, 319(9%)
minecraft.used.polished_blackstone_brick_wall: #3, 19(2%)
minecraft.picked_up.white_concrete_powder: #4, 607(6%)
minecraft.mined.deepslate_brick_slab: #4, 80(7%)
minecraft.dropped.poppy: #4, 1882(4%)
minecraft.custom.open_shulker_box: #5, 20226(7%)
minecraft.crafted.black_bed: #3, 3(2%)
minecraft.dropped.diamond_shovel: #4, 7(6%)
minecraft.dropped.leather_chestplate: #4, 15(6%)
minecraft.mined.yellow_shulker_box: #4, 109(10%)
minecraft.picked_up.glow_lichen: #4, 1443(5%)
minecraft.used.yellow_shulker_box: #4, 110(10%)
minecraft.dropped.black_concrete_powder: #3, 2(1%)
minecraft.picked_up.yellow_shulker_box: #4, 109(10%)
minecraft.picked_up.mycelium: #3, 4(1%)
minecraft.picked_up.crying_obsidian: #4, 183(8%)
minecraft.dropped.copper_block: #4, 128(12%)
minecraft.crafted.mossy_cobblestone_slab: #4, 150(10%)
minecraft.crafted.cut_copper_stairs: #4, 54(13%)
minecraft.custom.aviate_one_cm: #5, 508588703(8%)
minecraft.picked_up.rotten_flesh: #5, 6722(7%)
minecraft.crafted.soul_campfire: #4, 39(14%)
minecraft.dropped.raw_gold: #4, 31(8%)
minecraft.picked_up.nether_brick: #4, 344(8%)
minecraft.mined.brain_coral_block: #4, 347(8%)
minecraft.picked_up.diamond_block: #4, 61(5%)
minecraft.picked_up.polished_blackstone_slab: #4, 57(6%)
minecraft.mined.deepslate_bricks: #5, 371(8%)
minecraft.used.diamond_helmet: #4, 4(7%)
minecraft.dropped.copper_ingot: #4, 57(8%)
minecraft.picked_up.oak_boat: #5, 85(8%)
minecraft.dropped.chain: #4, 15(7%)
minecraft.used.spruce_boat: #5, 41(9%)
minecraft.crafted.sponge: #4, 169(12%)
minecraft.mined.birch_log: #5, 2577(7%)
minecraft.custom.deaths: #5, 75(6%)
minecraft.used.dark_prismarine_slab: #4, 84(18%)
minecraft.used.diamond_shovel: #5, 89302(7%)
minecraft.picked_up.blaze_powder: #4, 15(6%)
minecraft.mined.oxidized_cut_copper: #4, 17(10%)
minecraft.custom.play_record: #4, 5(15%)
minecraft.used.deepslate_brick_stairs: #5, 729(10%)
minecraft.mined.diorite: #5, 11319(7%)
minecraft.picked_up.oxidized_cut_copper: #4, 17(9%)
minecraft.mined.diamond_block: #4, 60(5%)
minecraft.mined.blackstone_wall: #4, 9(12%)
minecraft.custom.inspect_dispenser: #5, 491(7%)
minecraft.used.wooden_sword: #4, 37(8%)
minecraft.picked_up.andesite_stairs: #4, 19(8%)
minecraft.mined.deepslate_coal_ore: #5, 917(7%)
minecraft.dropped.lapis_ore: #4, 3(13%)
minecraft.dropped.phantom_membrane: #4, 14(5%)
minecraft.picked_up.firework_rocket: #5, 3071(7%)
minecraft.crafted.gray_shulker_box: #4, 2(8%)
minecraft.dropped.spruce_button: #4, 6(7%)
minecraft.used.andesite_slab: #4, 280(4%)
minecraft.crafted.ender_eye: #4, 50(4%)
minecraft.dropped.diorite: #5, 1563(7%)
minecraft.used.bone_block: #5, 416(9%)
minecraft.dropped.bow: #5, 127(7%)
minecraft.picked_up.polished_blackstone_wall: #4, 14(7%)
minecraft.used.pink_bed: #4, 2(12%)
minecraft.picked_up.beef: #5, 1008(7%)
minecraft.dropped.netherite_shovel: #4, 2(5%)
minecraft.picked_up.birch_sign: #5, 62(6%)
minecraft.crafted.spruce_boat: #4, 19(3%)
minecraft.crafted.white_dye: #5, 2557(7%)
minecraft.mined.twisting_vines: #4, 50(4%)
minecraft.mined.acacia_fence_gate: #4, 3(11%)
minecraft.custom.drop: #5, 5853(6%)
minecraft.used.dropper: #5, 181(9%)
minecraft.used.blue_candle: #4, 9(10%)
minecraft.crafted.blue_shulker_box: #4, 1(7%)
minecraft.mined.large_amethyst_bud: #4, 47(3%)
minecraft.dropped.purpur_pillar: #4, 6(7%)
minecraft.picked_up.deepslate_tile_stairs: #5, 280(7%)
minecraft.picked_up.axolotl_bucket: #4, 3(5%)
minecraft.dropped.cobblestone_slab: #4, 65(4%)
minecraft.crafted.black_banner: #4, 10(7%)
minecraft.crafted.dark_prismarine_slab: #4, 50(11%)
minecraft.dropped.lead: #5, 12(7%)
minecraft.dropped.quartz: #4, 76(4%)
minecraft.dropped.stonecutter: #4, 1(7%)
minecraft.picked_up.iron_helmet: #5, 10(7%)
minecraft.mined.deepslate_brick_stairs: #5, 92(9%)
minecraft.picked_up.lilac: #5, 106(7%)
minecraft.dropped.smooth_stone_slab: #4, 24(5%)
minecraft.picked_up.cobblestone_stairs: #5, 58(7%)
minecraft.crafted.netherite_helmet: #4, 1(7%)
minecraft.picked_up.netherite_sword: #4, 4(3%)
minecraft.killed.witch: #4, 17(2%)
minecraft.used.netherite_helmet: #4, 2(8%)
minecraft.dropped.netherite_leggings: #4, 1(5%)
minecraft.picked_up.netherite_hoe: #4, 1(6%)
minecraft.crafted.crimson_button: #4, 36(9%)
minecraft.used.polished_blackstone_slab: #5, 550(9%)
minecraft.crafted.wooden_sword: #4, 1(6%)
minecraft.mined.deepslate_tile_stairs: #5, 244(7%)
minecraft.custom.open_enderchest: #5, 1832(5%)
minecraft.picked_up.acacia_fence_gate: #4, 2(6%)
minecraft.crafted.mossy_cobblestone_wall: #4, 20(9%)
minecraft.picked_up.polished_blackstone_pressure_plate: #4, 4(7%)
minecraft.mined.smooth_basalt: #5, 883(6%)
minecraft.crafted.jungle_fence: #5, 96(10%)
minecraft.dropped.cactus: #4, 46(2%)
minecraft.mined.comparator: #5, 40(6%)
minecraft.custom.jump: #6, 261804(6%)
minecraft.picked_up.mossy_cobblestone_slab: #4, 48(5%)
minecraft.picked_up.stripped_warped_hyphae: #4, 53(5%)
minecraft.used.birch_pressure_plate: #4, 1(8%)
minecraft.dropped.raw_iron: #5, 157(9%)
minecraft.picked_up.poppy: #5, 555(5%)
minecraft.used.stripped_warped_hyphae: #4, 46(5%)
minecraft.dropped.fishing_rod: #4, 2(6%)
minecraft.mined.acacia_trapdoor: #5, 65(11%)
minecraft.used.totem_of_undying: #4, 2(7%)
minecraft.dropped.nether_quartz_ore: #4, 11(3%)
minecraft.crafted.spore_blossom: #4, 32(4%)
minecraft.mined.tube_coral_fan: #4, 8(4%)
minecraft.crafted.white_wool: #4, 386(2%)
minecraft.mined.warped_trapdoor: #5, 17(9%)
minecraft.picked_up.large_amethyst_bud: #4, 33(3%)
minecraft.crafted.yellow_shulker_box: #4, 2(3%)
minecraft.picked_up.lava_bucket: #4, 7(2%)
minecraft.mined.brain_coral_fan: #4, 8(3%)
minecraft.dropped.sea_lantern: #4, 8(4%)
minecraft.mined.detector_rail: #4, 1(4%)
minecraft.dropped.wheat: #4, 124(1%)
minecraft.dropped.golden_boots: #5, 21(7%)
minecraft.picked_up.golden_boots: #5, 18(6%)
minecraft.picked_up.amethyst_shard: #5, 2578(6%)
minecraft.crafted.warped_pressure_plate: #4, 1(5%)
minecraft.dropped.golden_helmet: #5, 18(7%)
minecraft.picked_up.nether_star: #4, 3(2%)
minecraft.mined.cartography_table: #4, 4(3%)
minecraft.killed.cave_spider: #5, 547(6%)
minecraft.used.light_blue_terracotta: #4, 31(4%)
minecraft.dropped.black_stained_glass: #4, 9(3%)
minecraft.killed.wither: #4, 2(2%)
minecraft.used.medium_amethyst_bud: #4, 31(3%)
minecraft.dropped.iron_nugget: #5, 176(6%)
minecraft.used.prismarine_wall: #4, 25(4%)
minecraft.dropped.cod: #4, 33(1%)
minecraft.dropped.ladder: #4, 68(2%)
minecraft.mined.cut_copper_stairs: #5, 24(11%)
minecraft.used.large_amethyst_bud: #4, 27(3%)
minecraft.dropped.tube_coral_fan: #4, 1(4%)
minecraft.used.lever: #5, 145(5%)
minecraft.mined.dead_fire_coral_fan: #4, 1(3%)
minecraft.picked_up.birch_boat: #5, 22(7%)
minecraft.dropped.oak_planks: #5, 79(5%)
minecraft.crafted.chiseled_polished_blackstone: #4, 1(2%)
minecraft.mined.fire_coral: #4, 9(2%)
minecraft.dropped.mossy_cobblestone: #5, 44(8%)
minecraft.mined.mossy_stone_brick_stairs: #4, 3(2%)
minecraft.dropped.diamond_pickaxe: #5, 9(5%)
minecraft.picked_up.cut_copper_stairs: #5, 23(10%)
minecraft.picked_up.fire_coral: #4, 8(2%)
minecraft.dropped.orange_bed: #4, 1(3%)
minecraft.mined.mossy_cobblestone_slab: #4, 17(2%)
minecraft.picked_up.prismarine_wall: #4, 1(2%)
minecraft.dropped.shield: #5, 3(8%)
minecraft.crafted.white_concrete_powder: #5, 7352(6%)
minecraft.mined.prismarine_wall: #4, 1(2%)
minecraft.dropped.cobblestone_wall: #4, 6(1%)
minecraft.used.waxed_weathered_copper: #4, 2(2%)
minecraft.killed.wither_skeleton: #4, 91(1%)
minecraft.mined.pink_stained_glass: #4, 7(2%)
minecraft.picked_up.purpur_stairs: #5, 15(8%)
minecraft.picked_up.leather_chestplate: #5, 14(5%)
minecraft.dropped.totem_of_undying: #4, 1(1%)
minecraft.dropped.deepslate_tile_slab: #5, 40(7%)
minecraft.used.ender_pearl: #5, 364(4%)
minecraft.mined.waxed_weathered_copper: #4, 2(2%)
minecraft.used.small_amethyst_bud: #4, 29(1%)
minecraft.dropped.deepslate_tile_wall: #4, 1(1%)
minecraft.killed.endermite: #5, 8(6%)
minecraft.picked_up.stone_button: #5, 160(4%)
minecraft.crafted.petrified_oak_slab: #4, 4(1%)
minecraft.used.bubble_coral_block: #4, 53(1%)
minecraft.used.black_stained_glass_pane: #5, 371(7%)
minecraft.mined.magma_block: #5, 959(4%)
minecraft.dropped.orange_dye: #4, 1(1%)
minecraft.mined.kelp_plant: #6, 326(8%)
minecraft.used.spyglass: #5, 206(6%)
minecraft.dropped.redstone_block: #5, 37(8%)
minecraft.dropped.sponge: #4, 1(1%)
minecraft.crafted.ladder: #5, 348(4%)
minecraft.crafted.glass_bottle: #5, 1251(4%)
minecraft.crafted.cobbled_deepslate_stairs: #5, 43(7%)
minecraft.crafted.chiseled_deepslate: #5, 18(6%)
minecraft.mined.smooth_stone_slab: #5, 157(5%)
minecraft.dropped.amethyst_block: #5, 74(9%)
minecraft.mined.slime_block: #5, 242(5%)
minecraft.mined.deepslate_tile_wall: #5, 59(7%)
minecraft.picked_up.packed_ice: #5, 1174(5%)
minecraft.crafted.fermented_spider_eye: #5, 29(5%)
minecraft.mined.light_gray_concrete_powder: #5, 40(7%)
minecraft.picked_up.raw_copper: #5, 4497(4%)
minecraft.crafted.diamond_hoe: #5, 3(5%)
minecraft.used.jungle_fence: #5, 55(6%)
minecraft.crafted.purple_dye: #5, 128(5%)
minecraft.picked_up.brain_coral_block: #5, 334(8%)
minecraft.mined.packed_ice: #5, 1105(5%)
minecraft.mined.andesite_slab: #5, 26(5%)
minecraft.killed.zombie: #5, 1093(3%)
minecraft.crafted.blast_furnace: #5, 14(4%)
minecraft.dropped.stone_slab: #5, 133(4%)
minecraft.picked_up.sand: #6, 50506(7%)
minecraft.crafted.polished_blackstone_stairs: #5, 76(7%)
minecraft.used.magma_block: #5, 573(4%)
minecraft.picked_up.sandstone: #6, 8646(7%)
minecraft.crafted.armor_stand: #5, 40(4%)
minecraft.used.smooth_basalt: #5, 178(3%)
minecraft.used.acacia_fence_gate: #5, 10(8%)
minecraft.killed.ghast: #5, 18(4%)
minecraft.crafted.green_carpet: #5, 75(6%)
minecraft.dropped.salmon: #5, 3(6%)
minecraft.mined.honey_block: #5, 18(5%)
minecraft.dropped.birch_sign: #5, 7(5%)
minecraft.picked_up.end_crystal: #5, 72(8%)
minecraft.dropped.raw_copper: #5, 61(6%)
minecraft.mined.white_concrete: #5, 1747(3%)
minecraft.picked_up.elytra: #6, 54(7%)
minecraft.picked_up.deepslate_tile_wall: #5, 44(4%)
minecraft.dropped.gray_wool: #5, 16(5%)
minecraft.crafted.powered_rail: #6, 554(7%)
minecraft.picked_up.birch_log: #6, 2612(6%)
minecraft.picked_up.amethyst_block: #6, 1412(7%)
minecraft.custom.interact_with_cartography_table: #5, 11(5%)
minecraft.custom.interact_with_crafting_table: #6, 2525(6%)
minecraft.mined.observer: #6, 160(6%)
minecraft.used.cyan_terracotta: #5, 1173(4%)
minecraft.used.cauldron: #5, 112(3%)
minecraft.mined.white_banner: #5, 2(6%)
minecraft.dropped.deepslate_bricks: #5, 42(6%)
minecraft.used.item_frame: #6, 300(6%)
minecraft.picked_up.observer: #6, 223(6%)
minecraft.crafted.pink_shulker_box: #5, 1(7%)
minecraft.picked_up.bucket: #5, 41(2%)
minecraft.crafted.warped_trapdoor: #6, 120(11%)
minecraft.used.cod: #5, 5(6%)
minecraft.killed.cow: #6, 433(7%)
minecraft.crafted.polished_deepslate_slab: #5, 155(3%)
minecraft.dropped.bone_block: #5, 75(6%)
minecraft.picked_up.fishing_rod: #5, 3(7%)
minecraft.mined.glow_lichen: #5, 710(2%)
minecraft.crafted.netherite_boots: #5, 1(6%)
minecraft.picked_up.bone: #6, 2597(6%)
minecraft.crafted.iron_ingot: #6, 14495(6%)
minecraft.used.smooth_stone_slab: #6, 1339(8%)
minecraft.dropped.sea_pickle: #5, 6(8%)
minecraft.picked_up.stone_sword: #5, 11(2%)
minecraft.mined.black_stained_glass_pane: #5, 18(5%)
minecraft.picked_up.black_concrete: #6, 1199(7%)
minecraft.picked_up.blue_shulker_box: #5, 19(5%)
minecraft.custom.animals_bred: #6, 645(6%)
minecraft.used.suspicious_stew: #5, 2(5%)
minecraft.crafted.red_stained_glass_pane: #5, 32(7%)
minecraft.crafted.gold_nugget: #5, 1529(3%)
minecraft.mined.gray_concrete_powder: #5, 5(5%)
minecraft.crafted.nether_brick_fence: #5, 36(7%)
minecraft.dropped.bone_meal: #5, 2345(2%)
minecraft.mined.light_blue_shulker_box: #5, 27(3%)
minecraft.used.glass: #6, 1925(6%)
minecraft.mined.blue_shulker_box: #5, 19(6%)
minecraft.picked_up.lily_pad: #5, 39(2%)
minecraft.picked_up.netherite_leggings: #5, 3(3%)
minecraft.mined.jukebox: #5, 1(7%)
minecraft.picked_up.jukebox: #5, 1(7%)
minecraft.picked_up.detector_rail: #5, 3(4%)
minecraft.picked_up.iron_ingot: #5, 1768(2%)
minecraft.picked_up.light_blue_shulker_box: #5, 25(3%)
minecraft.picked_up.polished_blackstone_stairs: #6, 91(9%)
minecraft.mined.cobblestone: #6, 2024(5%)
minecraft.picked_up.leather: #6, 1108(6%)
minecraft.used.mossy_stone_bricks: #5, 116(3%)
minecraft.picked_up.basalt: #6, 4496(6%)
minecraft.used.chest: #6, 1130(5%)
minecraft.dropped.stone_sword: #5, 11(2%)
minecraft.dropped.warped_roots: #5, 44(3%)
minecraft.dropped.tuff: #6, 91(5%)
minecraft.dropped.glow_ink_sac: #6, 106(7%)
minecraft.crafted.light_blue_terracotta: #5, 64(3%)
minecraft.dropped.weeping_vines: #5, 1(4%)
minecraft.picked_up.dead_fire_coral_fan: #5, 2(6%)
minecraft.picked_up.pink_stained_glass: #5, 5(3%)
minecraft.mined.amethyst_cluster: #6, 717(6%)
minecraft.picked_up.splash_potion: #5, 13(2%)
minecraft.picked_up.cartography_table: #5, 4(2%)
minecraft.killed.player: #6, 9(6%)
minecraft.used.polished_blackstone_brick_stairs: #5, 123(3%)
minecraft.mined.amethyst_block: #6, 1003(5%)
minecraft.used.player_head: #6, 53(5%)
minecraft.used.sea_lantern: #6, 445(6%)
minecraft.dropped.purpur_stairs: #5, 3(3%)
minecraft.used.red_stained_glass_pane: #5, 5(4%)
minecraft.mined.blue_candle: #5, 1(3%)
minecraft.used.cyan_bed: #5, 6(2%)
minecraft.dropped.dirt: #6, 2234(5%)
minecraft.picked_up.deepslate_bricks: #6, 306(5%)
