stat, rank, value, (percentage) 
minecraft.used.soul_soil: #8, 41(1%)
minecraft.picked_up.red_shulker_box: #9, 114(5%)
minecraft.killed.spider: #9, 109(4%)
minecraft.used.red_shulker_box: #9, 114(5%)
minecraft.custom.open_enderchest: #9, 1371(4%)
minecraft.picked_up.jungle_trapdoor: #8, 10(1%)
minecraft.dropped.cobbled_deepslate_slab: #8, 1(1%)
minecraft.mined.black_stained_glass: #8, 23(0%)
minecraft.dropped.amethyst_block: #8, 4(0%)
minecraft.dropped.lilac: #8, 1(1%)
minecraft.picked_up.leather: #9, 827(4%)
minecraft.crafted.spore_blossom: #8, 4(0%)
minecraft.crafted.red_dye: #9, 439(4%)
minecraft.dropped.slime_ball: #8, 12(0%)
minecraft.mined.stripped_spruce_wood: #8, 2(0%)
minecraft.custom.use_cauldron: #8, 14(0%)
minecraft.mined.cobblestone: #9, 1459(4%)
minecraft.picked_up.rose_bush: #9, 238(4%)
minecraft.custom.walk_under_water_one_cm: #10, 3919874(4%)
minecraft.crafted.small_dripleaf: #8, 1(0%)
minecraft.crafted.experience_bottle: #8, 12(0%)
minecraft.dropped.shulker_box: #9, 14(5%)
minecraft.broken.iron_pickaxe: #9, 13(4%)
minecraft.picked_up.birch_sign: #9, 36(4%)
minecraft.picked_up.brown_mushroom: #9, 136(4%)
minecraft.used.sand: #9, 5237(4%)
minecraft.mined.polished_deepslate: #9, 235(4%)
minecraft.picked_up.rail: #9, 700(3%)
minecraft.mined.rail: #9, 509(3%)
minecraft.mined.podzol: #9, 328(4%)
minecraft.picked_up.deepslate: #9, 4031(3%)
minecraft.mined.blast_furnace: #9, 6(4%)
minecraft.killed.zombie_villager: #9, 8(3%)
minecraft.mined.warped_stem: #9, 296(4%)
minecraft.crafted.writable_book: #9, 7(3%)
minecraft.picked_up.sugar_cane: #9, 2918(3%)
minecraft.mined.stone_bricks: #9, 785(3%)
minecraft.used.oak_door: #9, 3(4%)
minecraft.used.netherite_pickaxe: #9, 97517(4%)
minecraft.crafted.jungle_slab: #9, 162(4%)
minecraft.crafted.blue_shulker_box: #9, 1(7%)
minecraft.mined.seagrass: #9, 137(2%)
minecraft.picked_up.iron_axe: #9, 7(3%)
minecraft.crafted.lectern: #9, 10(3%)
minecraft.used.iron_ore: #9, 398(2%)
minecraft.used.polished_deepslate: #9, 991(2%)
minecraft.dropped.golden_boots: #9, 9(3%)
minecraft.crafted.golden_apple: #9, 26(3%)
minecraft.picked_up.warped_stem: #9, 294(2%)
minecraft.picked_up.written_book: #9, 4(3%)
minecraft.used.bread: #9, 67(2%)
minecraft.used.blast_furnace: #9, 9(2%)
minecraft.picked_up.packed_ice: #9, 482(2%)
minecraft.picked_up.netherite_shovel: #9, 3(2%)
minecraft.dropped.chain: #9, 6(3%)
minecraft.mined.cave_vines_plant: #9, 10(2%)
minecraft.crafted.iron_trapdoor: #9, 59(2%)
minecraft.dropped.oak_slab: #9, 9(2%)
minecraft.picked_up.netherite_axe: #9, 3(2%)
minecraft.used.azure_bluet: #9, 4(3%)
minecraft.dropped.netherite_sword: #9, 1(3%)
minecraft.picked_up.acacia_boat: #9, 2(3%)
minecraft.dropped.glow_ink_sac: #9, 22(2%)
minecraft.used.white_concrete_powder: #9, 1473(1%)
minecraft.crafted.white_concrete_powder: #9, 1664(1%)
minecraft.mined.cauldron: #9, 6(1%)
minecraft.used.shield: #9, 67(1%)
minecraft.dropped.quartz: #9, 32(2%)
minecraft.mined.polished_blackstone_slab: #9, 12(2%)
minecraft.dropped.dark_oak_trapdoor: #9, 2(2%)
minecraft.mined.big_dripleaf: #9, 3(2%)
minecraft.dropped.jungle_planks: #9, 8(2%)
minecraft.crafted.stone_brick_wall: #9, 16(1%)
minecraft.custom.damage_blocked_by_shield: #9, 2810(1%)
minecraft.picked_up.rooted_dirt: #9, 34(1%)
minecraft.custom.damage_resisted: #9, 121(1%)
minecraft.used.crimson_stem: #9, 18(1%)
minecraft.used.nether_wart_block: #9, 9(1%)
minecraft.mined.orange_terracotta: #9, 93(1%)
minecraft.crafted.chest: #10, 1399(4%)
minecraft.crafted.spruce_button: #9, 8(1%)
minecraft.dropped.polished_blackstone: #9, 2(1%)
minecraft.dropped.copper_ingot: #9, 7(1%)
minecraft.used.enchanting_table: #10, 3(5%)
minecraft.mined.jungle_trapdoor: #9, 6(1%)
minecraft.dropped.soul_soil: #9, 3(1%)
minecraft.dropped.crimson_roots: #9, 2(0%)
minecraft.mined.pink_tulip: #9, 1(1%)
minecraft.used.rail: #10, 1056(4%)
minecraft.used.allium: #9, 1(0%)
minecraft.dropped.warped_roots: #9, 4(0%)
minecraft.picked_up.stripped_spruce_wood: #9, 2(0%)
minecraft.dropped.polished_diorite: #9, 1(0%)
minecraft.picked_up.gold_nugget: #9, 574(0%)
minecraft.used.black_stained_glass: #9, 116(0%)
minecraft.mined.raw_iron_block: #9, 1(0%)
minecraft.killed.zombified_piglin: #9, 12(0%)
minecraft.mined.shulker_box: #10, 895(3%)
minecraft.picked_up.shulker_box: #10, 924(3%)
minecraft.used.shulker_box: #10, 894(3%)
minecraft.used.dispenser: #10, 61(3%)
minecraft.crafted.iron_helmet: #10, 3(3%)
minecraft.killed.enderman: #10, 13215(4%)
minecraft.picked_up.amethyst_shard: #10, 1604(4%)
minecraft.picked_up.oak_boat: #10, 33(3%)
minecraft.used.bone_meal: #10, 3671(3%)
minecraft.picked_up.polished_deepslate: #10, 232(3%)
minecraft.picked_up.stone_pickaxe: #10, 2(4%)
minecraft.used.lever: #10, 84(3%)
minecraft.used.iron_pickaxe: #10, 3254(3%)
minecraft.picked_up.deepslate_coal_ore: #10, 122(3%)
minecraft.picked_up.blast_furnace: #10, 6(4%)
minecraft.dropped.lapis_lazuli: #10, 24(4%)
minecraft.crafted.brewing_stand: #10, 5(3%)
minecraft.picked_up.glow_item_frame: #10, 5(3%)
minecraft.crafted.rail: #10, 544(3%)
minecraft.dropped.coal: #10, 76(2%)
minecraft.picked_up.lever: #10, 51(2%)
minecraft.dropped.bow: #10, 44(2%)
minecraft.crafted.stone_pickaxe: #10, 4(2%)
minecraft.dropped.sand: #10, 247(2%)
minecraft.mined.azalea: #10, 64(3%)
minecraft.mined.scaffolding: #10, 966(2%)
minecraft.used.minecart: #10, 33(2%)
minecraft.used.dark_oak_fence_gate: #10, 21(4%)
minecraft.dropped.golden_helmet: #10, 8(3%)
minecraft.picked_up.white_carpet: #10, 28(3%)
minecraft.picked_up.gravel: #10, 4930(2%)
minecraft.mined.polished_deepslate_stairs: #10, 45(3%)
minecraft.dropped.golden_leggings: #10, 8(3%)
minecraft.crafted.deepslate_brick_slab: #10, 30(3%)
minecraft.picked_up.damaged_anvil: #10, 3(3%)
minecraft.mined.powered_rail: #10, 81(2%)
minecraft.picked_up.clay: #10, 102(3%)
minecraft.picked_up.vine: #10, 268(2%)
minecraft.picked_up.polished_deepslate_stairs: #10, 45(2%)
minecraft.mined.white_wool: #10, 35(2%)
minecraft.killed.zombie: #10, 554(2%)
minecraft.mined.packed_ice: #10, 488(2%)
minecraft.dropped.stone_pickaxe: #10, 2(2%)
minecraft.mined.bone_block: #10, 47(2%)
minecraft.killed.hoglin: #10, 3(2%)
minecraft.picked_up.netherite_pickaxe: #10, 7(2%)
minecraft.picked_up.jungle_sapling: #10, 48(2%)
minecraft.crafted.firework_rocket: #10, 5387(2%)
minecraft.picked_up.smoker: #10, 2(2%)
minecraft.used.packed_ice: #10, 129(1%)
minecraft.mined.polished_blackstone_button: #10, 4(1%)
minecraft.picked_up.polished_basalt: #10, 24(1%)
minecraft.picked_up.deepslate_brick_stairs: #10, 22(1%)
minecraft.used.cornflower: #10, 2(2%)
minecraft.crafted.leather_boots: #10, 4(2%)
minecraft.mined.sandstone_slab: #10, 6(1%)
minecraft.mined.big_dripleaf_stem: #10, 2(1%)
minecraft.crafted.leather_leggings: #10, 2(1%)
minecraft.mined.crimson_stem: #10, 32(1%)
minecraft.used.warped_wart_block: #10, 15(1%)
minecraft.used.soul_lantern: #10, 14(1%)
minecraft.mined.red_wool: #10, 48(1%)
minecraft.dropped.nether_wart_block: #10, 1(1%)
minecraft.used.string: #10, 131(0%)
minecraft.crafted.polished_blackstone_stairs: #10, 12(1%)
minecraft.dropped.iron_axe: #10, 2(1%)
minecraft.used.cauldron: #10, 17(0%)
minecraft.dropped.redstone_ore: #10, 1(1%)
minecraft.picked_up.cauldron: #10, 7(0%)
minecraft.mined.green_wool: #10, 1(1%)
minecraft.dropped.nether_gold_ore: #10, 1(1%)
minecraft.dropped.spruce_stairs: #10, 1(1%)
minecraft.picked_up.black_stained_glass: #10, 23(0%)
minecraft.picked_up.cartography_table: #10, 1(1%)
minecraft.crafted.emerald_block: #10, 32(0%)
minecraft.picked_up.ice: #10, 232(0%)
minecraft.used.polished_blackstone: #10, 43(0%)
minecraft.used.small_dripleaf: #10, 1(0%)
minecraft.dropped.pointed_dripstone: #10, 3(0%)
minecraft.dropped.clock: #10, 1(0%)
minecraft.used.wooden_sword: #10, 1(0%)
minecraft.dropped.spruce_boat: #10, 1(0%)
minecraft.crafted.black_stained_glass: #10, 120(0%)
minecraft.used.experience_bottle: #10, 12(0%)
minecraft.dropped.red_wool: #10, 1(0%)
minecraft.picked_up.melon: #10, 4(0%)
minecraft.picked_up.raw_iron_block: #10, 1(0%)
minecraft.dropped.snow: #10, 4(0%)
minecraft.dropped.beetroot_seeds: #10, 1(0%)
minecraft.used.light_gray_terracotta: #10, 1(0%)
minecraft.dropped.writable_book: #11, 3(5%)
minecraft.custom.interact_with_lectern: #11, 59(3%)
minecraft.picked_up.golden_boots: #11, 13(4%)
minecraft.mined.sand: #11, 22158(3%)
minecraft.killed.wandering_trader: #11, 4(5%)
minecraft.picked_up.sand: #11, 24144(3%)
minecraft.picked_up.basalt: #11, 2688(3%)
minecraft.picked_up.lapis_ore: #11, 54(4%)
minecraft.crafted.lever: #11, 87(3%)
minecraft.dropped.diamond_pickaxe: #11, 6(3%)
minecraft.used.deepslate_tile_slab: #11, 807(3%)
minecraft.used.cobblestone_stairs: #11, 81(3%)
minecraft.used.oak_boat: #11, 28(3%)
minecraft.mined.dark_oak_trapdoor: #11, 23(3%)
minecraft.mined.netherrack: #11, 13332(3%)
minecraft.picked_up.gold_ore: #11, 92(3%)
minecraft.mined.flowering_azalea: #11, 37(3%)
minecraft.mined.sugar_cane: #11, 1316(3%)
minecraft.picked_up.stone_bricks: #11, 757(3%)
minecraft.used.splash_potion: #11, 19(3%)
minecraft.mined.mossy_cobblestone: #11, 76(3%)
minecraft.custom.interact_with_smithing_table: #11, 11(3%)
minecraft.used.comparator: #11, 85(3%)
minecraft.picked_up.deepslate_tiles: #11, 195(2%)
minecraft.picked_up.glass: #11, 660(2%)
minecraft.mined.gravel: #11, 5188(2%)
minecraft.mined.vine: #11, 313(3%)
minecraft.crafted.red_shulker_box: #11, 2(3%)
minecraft.picked_up.rotten_flesh: #11, 1682(2%)
minecraft.used.potion: #11, 16(2%)
minecraft.crafted.coal: #11, 1233(2%)
minecraft.crafted.fishing_rod: #11, 1(4%)
minecraft.picked_up.iron_pickaxe: #11, 4(2%)
minecraft.dropped.granite: #11, 381(2%)
minecraft.mined.lily_of_the_valley: #11, 6(3%)
minecraft.mined.oxeye_daisy: #11, 14(2%)
minecraft.mined.dropper: #11, 13(2%)
minecraft.mined.small_dripleaf: #11, 1(3%)
minecraft.dropped.stone_hoe: #11, 1(3%)
minecraft.dropped.minecart: #11, 2(2%)
minecraft.mined.damaged_anvil: #11, 2(2%)
minecraft.dropped.leather: #11, 26(2%)
minecraft.mined.stone_brick_stairs: #11, 24(2%)
minecraft.picked_up.hopper: #11, 76(1%)
minecraft.picked_up.powered_rail: #11, 129(1%)
minecraft.crafted.polished_deepslate_slab: #11, 82(1%)
minecraft.crafted.oak_stairs: #11, 40(2%)
minecraft.picked_up.netherite_leggings: #11, 2(2%)
minecraft.used.oak_stairs: #11, 41(2%)
minecraft.dropped.chest: #11, 6(1%)
minecraft.used.shroomlight: #11, 78(1%)
minecraft.mined.azure_bluet: #11, 9(1%)
minecraft.picked_up.sandstone_slab: #11, 9(2%)
minecraft.mined.jungle_leaves: #11, 294(1%)
minecraft.used.birch_planks: #11, 69(1%)
minecraft.mined.polished_basalt: #11, 20(1%)
minecraft.crafted.bookshelf: #11, 66(1%)
minecraft.picked_up.polished_blackstone_slab: #11, 12(1%)
minecraft.used.deepslate_gold_ore: #11, 8(1%)
minecraft.picked_up.nether_gold_ore: #11, 18(1%)
minecraft.crafted.ender_eye: #11, 11(1%)
minecraft.mined.spawner: #11, 1(1%)
minecraft.used.lava_bucket: #11, 95(1%)
minecraft.picked_up.dragon_egg: #11, 1(1%)
minecraft.crafted.raw_gold_block: #11, 11(1%)
minecraft.dropped.player_head: #11, 26(1%)
minecraft.used.deepslate_brick_stairs: #11, 55(1%)
minecraft.used.acacia_boat: #11, 1(1%)
minecraft.mined.dripstone_block: #11, 61(1%)
minecraft.picked_up.oxeye_daisy: #11, 14(1%)
minecraft.picked_up.orange_terracotta: #11, 91(1%)
minecraft.mined.polished_blackstone: #11, 10(0%)
minecraft.picked_up.big_dripleaf: #11, 72(1%)
minecraft.mined.light_gray_carpet: #11, 3(1%)
minecraft.dropped.cooked_chicken: #11, 2(1%)
minecraft.used.black_stained_glass_pane: #11, 24(0%)
minecraft.mined.ice: #11, 246(0%)
minecraft.mined.jungle_slab: #11, 3(0%)
minecraft.picked_up.jungle_slab: #11, 3(0%)
minecraft.dropped.deepslate_brick_slab: #11, 1(0%)
minecraft.dropped.diamond: #12, 89(4%)
minecraft.used.polished_blackstone_slab: #11, 12(0%)
minecraft.picked_up.pink_tulip: #11, 1(0%)
minecraft.mined.light_blue_wool: #11, 1(0%)
minecraft.mined.allium: #11, 1(0%)
minecraft.mined.brown_shulker_box: #11, 1(0%)
minecraft.picked_up.brown_shulker_box: #11, 1(0%)
minecraft.used.brown_shulker_box: #11, 1(0%)
minecraft.killed.trader_llama: #12, 9(5%)
minecraft.picked_up.dirt: #12, 19027(3%)
minecraft.crafted.shield: #12, 3(4%)
minecraft.picked_up.stone: #12, 60404(3%)
minecraft.custom.climb_one_cm: #12, 1257027(3%)
minecraft.used.redstone_torch: #12, 150(3%)
minecraft.mined.redstone_wall_torch: #12, 19(3%)
minecraft.picked_up.golden_leggings: #12, 10(3%)
minecraft.picked_up.golden_helmet: #12, 9(3%)
minecraft.picked_up.string: #12, 527(3%)
minecraft.picked_up.oak_fence: #12, 97(3%)
minecraft.mined.composter: #12, 21(3%)
minecraft.crafted.diamond_hoe: #12, 2(3%)
minecraft.picked_up.coal_ore: #12, 923(2%)
minecraft.picked_up.copper_ore: #12, 267(2%)
minecraft.mined.piston: #12, 45(3%)
minecraft.mined.anvil: #12, 7(2%)
minecraft.custom.interact_with_stonecutter: #12, 131(2%)
minecraft.mined.deepslate_tiles: #12, 150(2%)
minecraft.used.glow_ink_sac: #12, 36(2%)
minecraft.picked_up.dark_oak_sign: #12, 25(2%)
minecraft.mined.observer: #12, 46(2%)
minecraft.dropped.andesite: #12, 319(2%)
minecraft.mined.fire: #12, 131(2%)
minecraft.picked_up.lilac: #12, 31(2%)
minecraft.crafted.birch_stairs: #12, 40(3%)
minecraft.mined.hopper: #12, 81(2%)
minecraft.picked_up.piston: #12, 55(2%)
minecraft.mined.kelp_plant: #12, 63(2%)
minecraft.picked_up.scaffolding: #12, 1649(2%)
minecraft.used.flowering_azalea: #12, 32(2%)
minecraft.used.gold_ore: #12, 47(2%)
minecraft.crafted.iron_axe: #12, 6(1%)
minecraft.used.anvil: #12, 19(1%)
minecraft.crafted.cobblestone_stairs: #12, 40(2%)
minecraft.dropped.netherite_shovel: #12, 1(2%)
minecraft.picked_up.deepslate_iron_ore: #12, 42(1%)
minecraft.used.stone_hoe: #12, 115(2%)
minecraft.used.stone_brick_stairs: #12, 115(2%)
minecraft.picked_up.melon_seeds: #12, 4(2%)
minecraft.mined.amethyst_cluster: #12, 180(2%)
minecraft.used.copper_ore: #12, 116(2%)
minecraft.used.nether_wart: #12, 95(1%)
minecraft.dropped.rotten_flesh: #12, 1189(1%)
minecraft.dropped.ender_chest: #12, 2(2%)
minecraft.picked_up.dropper: #12, 13(1%)
minecraft.picked_up.gold_ingot: #12, 41(1%)
minecraft.custom.talked_to_villager: #12, 516(1%)
minecraft.picked_up.nether_bricks: #12, 81(1%)
minecraft.picked_up.tripwire_hook: #12, 2(2%)
minecraft.picked_up.netherite_boots: #12, 2(1%)
minecraft.used.birch_stairs: #12, 15(1%)
minecraft.dropped.iron_boots: #12, 3(1%)
minecraft.used.bone_block: #12, 47(1%)
minecraft.picked_up.axolotl_bucket: #12, 1(2%)
minecraft.dropped.item_frame: #12, 1(1%)
minecraft.dropped.stone_bricks: #12, 25(1%)
minecraft.dropped.spruce_slab: #12, 6(1%)
minecraft.mined.spruce_leaves: #12, 696(1%)
minecraft.mined.twisting_vines_plant: #12, 6(1%)
minecraft.mined.grindstone: #12, 5(1%)
minecraft.used.polished_deepslate_slab: #12, 143(1%)
minecraft.crafted.oak_fence_gate: #12, 3(1%)
minecraft.killed.cave_spider: #12, 48(1%)
minecraft.used.oak_fence_gate: #12, 3(1%)
minecraft.dropped.glow_berries: #12, 1(1%)
minecraft.custom.crouch_one_cm: #13, 5546981(4%)
minecraft.crafted.tinted_glass: #12, 126(1%)
minecraft.used.dark_oak_button: #12, 2(1%)
minecraft.dropped.piston: #12, 1(1%)
minecraft.picked_up.polished_blackstone: #12, 12(0%)
minecraft.picked_up.soul_soil: #12, 44(0%)
minecraft.used.chiseled_deepslate: #12, 18(0%)
minecraft.crafted.leather_chestplate: #12, 1(1%)
minecraft.dropped.polished_deepslate: #12, 2(1%)
minecraft.crafted.black_stained_glass_pane: #12, 32(1%)
minecraft.dropped.crossbow: #12, 1(0%)
minecraft.used.polished_blackstone_stairs: #12, 18(0%)
minecraft.custom.traded_with_villager: #12, 885(0%)
minecraft.mined.pointed_dripstone: #12, 28(0%)
minecraft.picked_up.lava_bucket: #12, 1(0%)
minecraft.picked_up.light_gray_carpet: #12, 3(0%)
minecraft.crafted.enchanted_book: #12, 11(0%)
minecraft.picked_up.sugar: #12, 1(0%)
minecraft.mined.polished_diorite: #12, 1(0%)
minecraft.used.snow: #12, 1(0%)
minecraft.picked_up.spider_eye: #13, 219(4%)
minecraft.custom.drop: #13, 2982(3%)
minecraft.crafted.iron_pickaxe: #13, 13(3%)
minecraft.custom.inspect_hopper: #13, 497(2%)
minecraft.killed_by.creeper: #13, 4(3%)
minecraft.picked_up.iron_helmet: #13, 4(3%)
minecraft.killed.blaze: #13, 47(3%)
minecraft.mined.lever: #13, 17(2%)
minecraft.dropped.iron_chestplate: #13, 2(3%)
minecraft.picked_up.flint_and_steel: #13, 4(3%)
minecraft.crafted.lapis_block: #13, 104(2%)
minecraft.custom.aviate_one_cm: #13, 143170988(2%)
minecraft.mined.dirt_path: #13, 194(2%)
minecraft.picked_up.item_frame: #13, 59(2%)
minecraft.mined.deepslate: #13, 7341(2%)
minecraft.mined.cave_vines: #13, 14(2%)
minecraft.dropped.dandelion: #13, 13(2%)
minecraft.picked_up.dark_oak_trapdoor: #13, 23(2%)
minecraft.picked_up.phantom_membrane: #13, 17(2%)
minecraft.picked_up.repeater: #13, 71(2%)
minecraft.mined.cobbled_deepslate: #13, 104(2%)
minecraft.used.iron_axe: #13, 837(2%)
minecraft.mined.clay: #13, 104(2%)
minecraft.picked_up.deepslate_gold_ore: #13, 19(2%)
minecraft.used.scaffolding: #13, 1640(2%)
minecraft.picked_up.anvil: #13, 7(2%)
minecraft.crafted.paper: #13, 2565(1%)
minecraft.crafted.deepslate_tile_stairs: #13, 22(2%)
minecraft.picked_up.nether_wart: #13, 347(1%)
minecraft.picked_up.grass_block: #13, 4016(1%)
minecraft.used.end_rod: #13, 74(1%)
minecraft.picked_up.comparator: #13, 19(1%)
minecraft.picked_up.tnt: #13, 18(1%)
minecraft.dropped.written_book: #13, 1(2%)
minecraft.picked_up.polished_blackstone_button: #13, 11(1%)
minecraft.mined.nether_wart: #13, 57(1%)
minecraft.crafted.deepslate_tile_slab: #13, 68(1%)
minecraft.mined.deepslate_tile_stairs: #13, 34(1%)
minecraft.used.dragon_egg: #13, 1(1%)
minecraft.used.stone_brick_wall: #13, 18(1%)
minecraft.mined.terracotta: #13, 1248(1%)
minecraft.picked_up.bone_meal: #13, 728(1%)
minecraft.picked_up.lily_pad: #13, 12(1%)
minecraft.picked_up.crimson_nylium: #13, 14(1%)
minecraft.picked_up.azure_bluet: #13, 9(1%)
minecraft.picked_up.grindstone: #13, 5(1%)
minecraft.picked_up.crimson_stem: #13, 32(0%)
minecraft.picked_up.name_tag: #13, 6(0%)
minecraft.used.polished_deepslate_stairs: #13, 45(0%)
minecraft.mined.polished_deepslate_slab: #13, 10(0%)
minecraft.picked_up.cooked_porkchop: #13, 6(0%)
minecraft.mined.jungle_planks: #13, 7(0%)
minecraft.dropped.spider_eye: #13, 35(0%)
minecraft.dropped.cactus: #13, 6(0%)
minecraft.picked_up.lily_of_the_valley: #13, 7(0%)
minecraft.mined.quartz_stairs: #13, 1(0%)
minecraft.crafted.emerald: #13, 803(0%)
minecraft.used.big_dripleaf: #13, 5(0%)
minecraft.picked_up.stripped_jungle_log: #13, 1(0%)
minecraft.picked_up.light_blue_wool: #13, 3(0%)
minecraft.mined.stripped_jungle_log: #13, 1(0%)
minecraft.picked_up.wither_rose: #13, 1(0%)
minecraft.picked_up.dark_oak_leaves: #13, 4(0%)
minecraft.used.ice: #13, 14(0%)
minecraft.picked_up.snow: #13, 9(0%)
minecraft.used.raw_iron_block: #13, 1(0%)
minecraft.mined.grass: #14, 1901(3%)
minecraft.used.chest: #14, 706(3%)
minecraft.custom.sneak_time: #15, 1470326(3%)
minecraft.mined.stone: #14, 72802(3%)
minecraft.mined.lapis_ore: #14, 108(3%)
minecraft.mined.granite: #14, 3926(3%)
minecraft.picked_up.composter: #14, 20(3%)
minecraft.picked_up.redstone_torch: #14, 73(2%)
minecraft.dropped.oak_sign: #14, 4(3%)
minecraft.custom.inspect_dispenser: #14, 137(2%)
minecraft.picked_up.shield: #14, 4(3%)
minecraft.picked_up.flowering_azalea: #14, 95(2%)
minecraft.mined.cobweb: #14, 82(2%)
minecraft.used.firework_rocket: #14, 4483(2%)
minecraft.used.moss_carpet: #14, 344(2%)
minecraft.killed.squid: #14, 50(2%)
minecraft.picked_up.purpur_pillar: #14, 12(3%)
minecraft.used.redstone: #14, 425(2%)
minecraft.crafted.lapis_lazuli: #14, 216(2%)
minecraft.dropped.filled_map: #14, 2(2%)
minecraft.used.spruce_stairs: #14, 155(2%)
minecraft.picked_up.azalea: #14, 193(2%)
minecraft.dropped.iron_leggings: #14, 2(2%)
minecraft.mined.nether_gold_ore: #14, 58(2%)
minecraft.custom.play_time: #15, 25064174(3%)
minecraft.custom.total_world_time: #15, 25064174(3%)
minecraft.dropped.shield: #14, 1(2%)
minecraft.picked_up.redstone_ore: #14, 129(1%)
minecraft.mined.player_wall_head: #14, 3(2%)
minecraft.mined.purpur_pillar: #14, 11(2%)
minecraft.picked_up.glowstone_dust: #14, 61(1%)
minecraft.dropped.moss_block: #14, 80(2%)
minecraft.crafted.spruce_stairs: #14, 120(1%)
minecraft.used.moss_block: #14, 816(1%)
minecraft.killed.phantom: #14, 13(1%)
minecraft.mined.comparator: #14, 8(1%)
minecraft.used.spruce_trapdoor: #14, 151(1%)
minecraft.used.deepslate_tile_stairs: #14, 185(1%)
minecraft.used.sugar_cane: #14, 121(1%)
minecraft.picked_up.bookshelf: #14, 17(1%)
minecraft.used.powered_rail: #14, 144(1%)
minecraft.used.composter: #14, 22(1%)
minecraft.used.dark_oak_sign: #14, 29(1%)
minecraft.mined.white_carpet: #14, 9(1%)
minecraft.used.dropper: #14, 26(1%)
minecraft.picked_up.feather: #14, 18(1%)
minecraft.used.kelp: #14, 96(1%)
minecraft.killed_by.skeleton: #14, 1(1%)
minecraft.crafted.blast_furnace: #14, 4(1%)
minecraft.mined.oak_slab: #14, 13(1%)
minecraft.dropped.stone: #14, 1492(1%)
minecraft.picked_up.chorus_fruit: #14, 54(1%)
minecraft.used.white_concrete: #14, 575(1%)
minecraft.dropped.paper: #14, 23(1%)
minecraft.picked_up.terracotta: #14, 1243(1%)
minecraft.picked_up.nether_quartz_ore: #14, 69(1%)
minecraft.crafted.player_head: #14, 22(1%)
minecraft.dropped.stone_sword: #14, 4(1%)
minecraft.used.oak_planks: #14, 201(1%)
minecraft.used.spruce_sign: #14, 18(1%)
minecraft.custom.mob_kills: #14, 17897(0%)
minecraft.mined.nether_bricks: #14, 41(1%)
minecraft.used.nether_quartz_ore: #14, 38(1%)
minecraft.mined.chorus_plant: #14, 3(1%)
minecraft.killed.salmon: #14, 1(1%)
minecraft.used.blackstone: #14, 97(0%)
minecraft.mined.sunflower: #14, 2(1%)
minecraft.picked_up.dripstone_block: #14, 59(0%)
minecraft.used.light_gray_concrete_powder: #14, 64(0%)
minecraft.used.written_book: #14, 35(0%)
minecraft.crafted.cauldron: #14, 14(0%)
minecraft.picked_up.polished_blackstone_stairs: #14, 4(0%)
minecraft.picked_up.jungle_planks: #14, 7(0%)
minecraft.mined.note_block: #14, 1(0%)
minecraft.dropped.raw_iron: #14, 4(0%)
minecraft.mined.black_wool: #14, 1(0%)
minecraft.picked_up.quartz_stairs: #14, 1(0%)
minecraft.used.white_terracotta: #14, 3(0%)
minecraft.picked_up.beetroot_seeds: #14, 11(0%)
minecraft.picked_up.clock: #14, 1(0%)
minecraft.picked_up.note_block: #14, 1(0%)
minecraft.dropped.oak_boat: #14, 1(0%)
minecraft.custom.play_noteblock: #14, 1(0%)
minecraft.picked_up.hanging_roots: #14, 1(0%)
minecraft.custom.interact_with_crafting_table: #15, 1320(3%)
minecraft.mined.diorite: #15, 4476(3%)
minecraft.picked_up.water_bucket: #15, 10(2%)
minecraft.mined.rose_bush: #15, 5(3%)
minecraft.picked_up.minecart: #15, 35(2%)
minecraft.custom.interact_with_brewingstand: #15, 114(2%)
minecraft.picked_up.diorite: #15, 3578(2%)
minecraft.mined.basalt: #15, 2678(2%)
minecraft.mined.furnace: #15, 30(2%)
minecraft.picked_up.iron_shovel: #15, 4(2%)
minecraft.picked_up.moss_carpet: #15, 469(2%)
minecraft.crafted.redstone_torch: #15, 453(2%)
minecraft.dropped.cobbled_deepslate: #15, 120(2%)
minecraft.used.repeater: #15, 114(2%)
minecraft.mined.blackstone: #15, 620(1%)
minecraft.used.piston: #15, 75(2%)
minecraft.picked_up.oak_planks: #15, 213(1%)
minecraft.picked_up.player_head: #15, 126(1%)
minecraft.picked_up.ladder: #15, 89(1%)
minecraft.picked_up.ink_sac: #15, 161(1%)
minecraft.dropped.gravel: #15, 218(1%)
minecraft.crafted.diamond_block: #15, 25(1%)
minecraft.crafted.cobbled_deepslate_slab: #15, 40(1%)
minecraft.mined.spruce_wall_sign: #15, 4(1%)
minecraft.picked_up.egg: #15, 69(1%)
minecraft.picked_up.soul_sand: #15, 172(1%)
minecraft.crafted.spruce_trapdoor: #15, 134(1%)
minecraft.picked_up.stone_sword: #15, 5(1%)
minecraft.used.grass_block: #15, 1686(1%)
minecraft.mined.kelp: #15, 35(1%)
minecraft.used.deepslate_tiles: #15, 356(1%)
minecraft.crafted.blaze_powder: #15, 22(1%)
minecraft.crafted.light_gray_dye: #15, 72(1%)
minecraft.mined.glass: #15, 91(1%)
minecraft.picked_up.deepslate_tile_stairs: #15, 35(1%)
minecraft.mined.spruce_stairs: #15, 15(1%)
minecraft.used.milk_bucket: #15, 2(1%)
minecraft.crafted.spruce_fence: #15, 87(1%)
