stat, rank, value, (percentage) 
minecraft.crafted.jungle_planks: #3, 8888(12%)
minecraft.picked_up.brown_terracotta: #3, 3649(18%)
minecraft.dropped.crimson_nylium: #2, 7(17%)
minecraft.picked_up.red_bed: #3, 101(12%)
minecraft.crafted.chainmail_leggings: #2, 2(29%)
minecraft.mined.gray_terracotta: #2, 11(21%)
minecraft.dropped.magma_block: #3, 63(14%)
minecraft.used.red_bed: #3, 100(11%)
minecraft.used.music_disc_13: #2, 3(50%)
minecraft.killed.skeleton_horse: #2, 1(33%)
minecraft.picked_up.blue_shulker_box: #3, 76(22%)
minecraft.dropped.ink_sac: #2, 110(5%)
minecraft.custom.interact_with_smoker: #3, 73(11%)
minecraft.used.white_wool: #4, 1916(13%)
minecraft.used.magenta_terracotta: #2, 67(20%)
minecraft.mined.blue_shulker_box: #3, 76(22%)
minecraft.crafted.gray_terracotta: #3, 672(17%)
minecraft.used.blue_shulker_box: #3, 76(22%)
minecraft.picked_up.black_carpet: #3, 85(17%)
minecraft.picked_up.flowering_azalea_leaves: #3, 1163(8%)
minecraft.picked_up.purpur_slab: #3, 26(14%)
minecraft.picked_up.jungle_fence: #3, 63(13%)
minecraft.picked_up.azalea_leaves: #3, 3435(8%)
minecraft.custom.interact_with_grindstone: #4, 135(11%)
minecraft.dropped.oak_fence: #3, 32(7%)
minecraft.picked_up.pink_terracotta: #2, 9(10%)
minecraft.dropped.purpur_block: #3, 38(17%)
minecraft.mined.pink_terracotta: #2, 9(10%)
minecraft.used.white_carpet: #3, 201(7%)
minecraft.picked_up.golden_chestplate: #3, 21(6%)
minecraft.dropped.rabbit: #2, 17(5%)
minecraft.custom.interact_with_blast_furnace: #4, 323(11%)
minecraft.used.smooth_sandstone_stairs: #4, 1266(12%)
minecraft.picked_up.fishing_rod: #3, 7(16%)
minecraft.mined.stone_brick_slab: #4, 439(12%)
minecraft.custom.play_record: #3, 7(21%)
minecraft.picked_up.diorite_slab: #3, 28(21%)
minecraft.picked_up.bone_block: #4, 713(10%)
minecraft.custom.enchant_item: #4, 226(9%)
minecraft.mined.purpur_slab: #3, 16(9%)
minecraft.picked_up.jungle_button: #3, 7(20%)
minecraft.crafted.netherite_axe: #3, 2(14%)
minecraft.crafted.netherite_leggings: #3, 2(14%)
minecraft.dropped.spruce_button: #3, 9(10%)
minecraft.used.jukebox: #3, 3(16%)
minecraft.used.light_gray_concrete: #3, 569(8%)
minecraft.used.netherite_hoe: #3, 7900(15%)
minecraft.used.jungle_button: #3, 9(15%)
minecraft.mined.shroomlight: #4, 219(8%)
minecraft.crafted.netherite_helmet: #3, 2(14%)
minecraft.dropped.purpur_pillar: #3, 10(11%)
minecraft.dropped.ender_pearl: #4, 12504(8%)
minecraft.mined.cobbled_deepslate_wall: #4, 67(16%)
minecraft.crafted.netherite_sword: #3, 2(13%)
minecraft.crafted.pink_terracotta: #3, 208(8%)
minecraft.picked_up.ender_pearl: #4, 12607(7%)
minecraft.picked_up.glow_berries: #4, 570(8%)
minecraft.crafted.oak_door: #4, 9(11%)
minecraft.picked_up.cobbled_deepslate_wall: #4, 67(11%)
minecraft.broken.golden_chestplate: #3, 1(20%)
minecraft.mined.jungle_log: #4, 2297(8%)
minecraft.killed_by.shulker: #3, 1(25%)
minecraft.killed.sheep: #4, 34(8%)
minecraft.mined.prismarine_bricks: #3, 344(4%)
minecraft.dropped.polished_blackstone_button: #4, 11(10%)
minecraft.mined.infested_cobblestone: #3, 1(20%)
minecraft.picked_up.poppy: #4, 630(6%)
minecraft.picked_up.jungle_log: #4, 2282(8%)
minecraft.picked_up.prismarine_bricks: #3, 261(3%)
minecraft.dropped.grass_block: #3, 1094(2%)
minecraft.dropped.jungle_button: #3, 1(12%)
minecraft.crafted.golden_helmet: #4, 4(9%)
minecraft.crafted.written_book: #3, 3(15%)
minecraft.crafted.anvil: #4, 72(6%)
minecraft.dropped.stripped_birch_log: #3, 1(14%)
minecraft.dropped.sandstone_slab: #3, 3(9%)
minecraft.used.brown_terracotta: #4, 1478(11%)
minecraft.used.white_bed: #4, 129(5%)
minecraft.mined.white_bed: #4, 114(5%)
minecraft.dropped.black_carpet: #3, 3(11%)
minecraft.crafted.raw_iron: #4, 1872(8%)
minecraft.crafted.nether_wart_block: #3, 1(10%)
