stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #3, 14331418(9%)
minecraft.custom.time_since_death: #3, 14331361(8%)
minecraft.custom.fly_one_cm: #15, 36441669(3%)
minecraft.custom.play_time: #19, 17417544(2%)
minecraft.custom.total_world_time: #19, 17417544(2%)
minecraft.custom.leave_game: #28, 197(1%)
minecraft.custom.deaths: #29, 1(0%)
minecraft.custom.damage_taken: #29, 1650(0%)
minecraft.custom.fall_one_cm: #29, 16713(0%)
minecraft.custom.sneak_time: #32, 37936(0%)
minecraft.custom.walk_on_water_one_cm: #37, 61112(0%)
minecraft.custom.walk_one_cm: #38, 857(0%)
minecraft.custom.walk_under_water_one_cm: #40, 76367(0%)
