stat, rank, value, (percentage) 
minecraft.mined.dead_brain_coral_block: #4, 13(2%)
minecraft.killed.drowned: #4, 5142(1%)
minecraft.mined.petrified_oak_slab: #4, 4(2%)
minecraft.picked_up.smooth_red_sandstone_stairs: #4, 1(3%)
minecraft.crafted.light_weighted_pressure_plate: #4, 4(2%)
minecraft.mined.green_concrete: #4, 5(1%)
minecraft.picked_up.flowering_azalea_leaves: #5, 752(5%)
minecraft.mined.purpur_stairs: #5, 17(8%)
minecraft.picked_up.green_concrete: #4, 5(1%)
minecraft.dropped.ender_eye: #4, 1(2%)
minecraft.used.orange_stained_glass: #4, 21(2%)
minecraft.picked_up.azalea_leaves: #5, 2257(5%)
minecraft.used.dark_oak_leaves: #4, 32(1%)
minecraft.picked_up.granite_wall: #5, 8(13%)
minecraft.used.dead_bush: #4, 15(1%)
minecraft.mined.stripped_crimson_hyphae: #4, 2(1%)
minecraft.used.smooth_red_sandstone_stairs: #4, 4(1%)
minecraft.dropped.pink_dye: #4, 2(1%)
minecraft.picked_up.stripped_crimson_hyphae: #4, 2(1%)
minecraft.dropped.black_concrete_powder: #4, 1(1%)
minecraft.dropped.crimson_nylium: #5, 6(15%)
minecraft.dropped.crimson_stem: #4, 2(0%)
minecraft.picked_up.map: #4, 2(0%)
minecraft.dropped.chiseled_stone_bricks: #4, 2(0%)
minecraft.crafted.oak_trapdoor: #6, 282(8%)
minecraft.dropped.red_concrete_powder: #4, 2(0%)
minecraft.dropped.coal: #5, 126(4%)
minecraft.dropped.purpur_block: #5, 25(11%)
minecraft.crafted.iron_nugget: #5, 3469(4%)
minecraft.used.black_shulker_box: #5, 51(8%)
minecraft.crafted.dark_oak_wood: #5, 489(7%)
minecraft.used.dark_oak_wood: #5, 473(8%)
minecraft.used.candle: #5, 60(6%)
minecraft.crafted.polished_granite_slab: #5, 44(11%)
minecraft.mined.stone_slab: #5, 202(4%)
minecraft.dropped.spruce_sapling: #5, 40(6%)
minecraft.used.cobblestone_stairs: #5, 102(4%)
minecraft.dropped.netherite_pickaxe: #5, 5(4%)
minecraft.used.prismarine: #5, 398(7%)
minecraft.mined.polished_blackstone_slab: #5, 46(6%)
minecraft.dropped.paper: #5, 104(4%)
minecraft.picked_up.brick_slab: #5, 8(10%)
minecraft.crafted.polished_deepslate_stairs: #5, 80(5%)
minecraft.picked_up.blackstone_slab: #5, 36(8%)
minecraft.dropped.raw_gold: #5, 24(6%)
minecraft.crafted.crimson_door: #5, 3(12%)
minecraft.killed.wolf: #5, 1(14%)
minecraft.crafted.grindstone: #5, 60(3%)
minecraft.used.brain_coral_block: #5, 81(7%)
minecraft.picked_up.diamond_helmet: #6, 21(7%)
minecraft.dropped.flowering_azalea: #5, 15(4%)
minecraft.crafted.birch_wood: #5, 96(6%)
minecraft.used.orange_terracotta: #5, 117(3%)
minecraft.killed_by.player: #6, 11(7%)
minecraft.picked_up.glow_item_frame: #6, 13(7%)
minecraft.mined.large_fern: #5, 62(3%)
minecraft.crafted.pink_bed: #5, 1(11%)
minecraft.mined.black_shulker_box: #5, 27(5%)
minecraft.used.spruce_slab: #6, 1173(6%)
minecraft.used.gray_carpet: #6, 415(10%)
minecraft.dropped.dark_oak_leaves: #5, 5(9%)
minecraft.picked_up.creeper_head: #5, 1(10%)
minecraft.used.dark_prismarine: #5, 38(6%)
minecraft.used.brewing_stand: #6, 20(6%)
minecraft.crafted.birch_pressure_plate: #5, 1(9%)
minecraft.used.orange_shulker_box: #5, 57(4%)
minecraft.picked_up.spruce_trapdoor: #6, 353(6%)
minecraft.custom.player_kills: #6, 9(7%)
minecraft.mined.acacia_fence_gate: #5, 2(7%)
minecraft.used.cartography_table: #5, 9(4%)
minecraft.dropped.podzol: #5, 16(5%)
minecraft.picked_up.stone_brick_slab: #5, 183(2%)
minecraft.crafted.beehive: #5, 42(3%)
minecraft.mined.jungle_stairs: #5, 9(3%)
minecraft.crafted.warped_hyphae: #5, 87(5%)
minecraft.crafted.white_banner: #5, 7(4%)
minecraft.picked_up.orange_shulker_box: #5, 45(3%)
minecraft.picked_up.stripped_warped_hyphae: #5, 48(5%)
minecraft.used.smooth_quartz: #5, 139(2%)
minecraft.mined.orange_shulker_box: #5, 44(4%)
minecraft.used.mossy_stone_brick_slab: #5, 28(6%)
minecraft.mined.birch_sapling: #6, 14(8%)
minecraft.crafted.black_terracotta: #5, 120(3%)
minecraft.used.stripped_warped_hyphae: #5, 40(5%)
minecraft.crafted.light_gray_stained_glass_pane: #5, 96(3%)
minecraft.mined.spruce_fence: #6, 145(6%)
minecraft.crafted.granite_stairs: #5, 8(5%)
minecraft.picked_up.red_concrete_powder: #5, 54(3%)
minecraft.mined.peony: #6, 8(7%)
minecraft.mined.green_bed: #5, 7(4%)
minecraft.crafted.brick: #5, 1184(1%)
minecraft.crafted.green_terracotta: #5, 368(2%)
minecraft.dropped.deepslate_tiles: #5, 9(3%)
minecraft.killed.pillager: #5, 42(1%)
minecraft.picked_up.stripped_birch_wood: #5, 6(3%)
minecraft.mined.stripped_birch_wood: #5, 6(3%)
minecraft.used.crimson_hyphae: #5, 9(3%)
minecraft.dropped.beef: #5, 14(2%)
minecraft.used.flowering_azalea_leaves: #6, 146(6%)
minecraft.dropped.moss_carpet: #6, 108(6%)
minecraft.picked_up.cracked_stone_bricks: #5, 35(1%)
minecraft.used.pink_candle: #5, 4(3%)
minecraft.crafted.orange_stained_glass: #5, 32(1%)
minecraft.picked_up.dead_brain_coral_block: #5, 12(2%)
minecraft.used.diamond_hoe: #6, 20521(5%)
minecraft.used.green_terracotta: #5, 184(1%)
minecraft.picked_up.petrified_oak_slab: #5, 4(2%)
minecraft.mined.smooth_red_sandstone_stairs: #5, 1(3%)
minecraft.used.smooth_red_sandstone: #5, 26(3%)
minecraft.crafted.black_wool: #5, 54(1%)
minecraft.picked_up.polished_andesite_slab: #5, 5(2%)
minecraft.used.polished_granite_stairs: #5, 8(2%)
minecraft.used.brick_stairs: #5, 13(1%)
minecraft.dropped.honeycomb: #5, 34(2%)
minecraft.picked_up.dragon_head: #6, 8(6%)
minecraft.crafted.golden_carrot: #6, 2448(6%)
minecraft.killed_by.magma_cube: #6, 3(8%)
minecraft.picked_up.purpur_stairs: #6, 15(8%)
minecraft.mined.bee_nest: #6, 9(7%)
minecraft.picked_up.cut_red_sandstone: #5, 2(2%)
minecraft.picked_up.snow_block: #5, 126(1%)
minecraft.mined.brown_concrete_powder: #5, 2(2%)
minecraft.crafted.smooth_stone_slab: #6, 342(5%)
minecraft.crafted.polished_blackstone_brick_stairs: #5, 8(1%)
minecraft.mined.cut_red_sandstone: #5, 2(2%)
minecraft.dropped.end_crystal: #5, 3(1%)
minecraft.picked_up.white_candle: #5, 4(1%)
minecraft.dropped.beetroot: #5, 6(1%)
minecraft.picked_up.pink_dye: #5, 2(1%)
minecraft.dropped.diamond_chestplate: #6, 2(10%)
minecraft.picked_up.bee_nest: #6, 9(7%)
minecraft.dropped.light_blue_wool: #5, 2(0%)
minecraft.picked_up.brown_concrete_powder: #5, 1(0%)
minecraft.used.bee_nest: #6, 9(8%)
minecraft.dropped.end_rod: #6, 41(8%)
minecraft.picked_up.deepslate_brick_stairs: #6, 84(5%)
minecraft.mined.weeping_vines: #6, 13(5%)
minecraft.used.warped_sign: #6, 41(8%)
minecraft.used.dark_oak_planks: #6, 318(4%)
minecraft.mined.weeping_vines_plant: #6, 15(5%)
minecraft.dropped.chainmail_leggings: #6, 5(5%)
minecraft.crafted.smooth_quartz: #6, 652(6%)
minecraft.mined.warped_roots: #6, 81(4%)
minecraft.used.acacia_slab: #6, 245(7%)
minecraft.picked_up.polished_blackstone_slab: #6, 46(5%)
minecraft.killed_by.drowned: #6, 1(12%)
minecraft.crafted.yellow_terracotta: #6, 240(5%)
minecraft.dropped.iron_sword: #6, 5(3%)
minecraft.crafted.stone_slab: #6, 500(3%)
minecraft.crafted.brown_shulker_box: #6, 5(8%)
minecraft.picked_up.tripwire_hook: #6, 6(5%)
minecraft.crafted.netherite_chestplate: #6, 1(11%)
minecraft.custom.open_shulker_box: #7, 15784(6%)
minecraft.crafted.warped_sign: #6, 36(6%)
minecraft.mined.nether_sprouts: #6, 46(3%)
minecraft.used.smooth_quartz_stairs: #6, 256(5%)
minecraft.dropped.leather: #6, 46(3%)
minecraft.crafted.deepslate_tile_wall: #6, 38(3%)
minecraft.used.oak_leaves: #6, 1043(2%)
minecraft.dropped.shears: #6, 12(3%)
minecraft.mined.sticky_piston: #7, 73(7%)
minecraft.crafted.granite_wall: #6, 30(5%)
minecraft.picked_up.black_shulker_box: #6, 27(4%)
minecraft.dropped.magma_block: #6, 16(3%)
minecraft.crafted.netherite_helmet: #6, 1(7%)
minecraft.dropped.diamond_hoe: #6, 2(7%)
minecraft.dropped.diamond_leggings: #7, 6(8%)
minecraft.picked_up.acacia_fence_gate: #6, 2(6%)
minecraft.dropped.end_stone_bricks: #6, 10(4%)
minecraft.picked_up.yellow_wool: #6, 110(3%)
minecraft.used.snow_block: #6, 1616(3%)
minecraft.crafted.snow_block: #6, 1932(3%)
minecraft.crafted.stone_stairs: #6, 116(2%)
minecraft.used.glow_item_frame: #7, 37(7%)
minecraft.picked_up.leather_horse_armor: #6, 1(6%)
minecraft.mined.yellow_concrete: #6, 82(2%)
minecraft.mined.yellow_terracotta: #6, 8(3%)
minecraft.picked_up.diamond_pickaxe: #7, 46(5%)
minecraft.crafted.gray_carpet: #7, 473(9%)
minecraft.used.pink_bed: #6, 1(6%)
minecraft.dropped.grass_block: #6, 728(2%)
minecraft.dropped.soul_sand: #6, 26(2%)
minecraft.dropped.golden_carrot: #7, 317(5%)
minecraft.picked_up.stone_stairs: #6, 69(2%)
minecraft.picked_up.dark_oak_planks: #7, 318(6%)
minecraft.dropped.name_tag: #6, 5(3%)
minecraft.used.purpur_pillar: #6, 9(3%)
minecraft.picked_up.warped_fence_gate: #6, 4(4%)
minecraft.used.green_wool: #6, 36(3%)
minecraft.mined.spruce_wood: #6, 6(3%)
minecraft.killed.wandering_trader: #7, 6(8%)
minecraft.crafted.white_wool: #6, 329(2%)
minecraft.used.brown_carpet: #6, 62(2%)
minecraft.used.ancient_debris: #6, 2(4%)
minecraft.used.soul_soil: #6, 79(1%)
minecraft.dropped.snow: #6, 248(2%)
minecraft.crafted.oak_slab: #7, 660(5%)
minecraft.crafted.crimson_hyphae: #6, 9(3%)
minecraft.used.allium: #6, 6(2%)
minecraft.used.brown_shulker_box: #6, 13(2%)
minecraft.dropped.smooth_stone_slab: #6, 9(2%)
minecraft.used.beehive: #6, 23(1%)
minecraft.picked_up.dark_prismarine: #6, 22(2%)
minecraft.picked_up.totem_of_undying: #6, 3(2%)
minecraft.picked_up.black_concrete_powder: #6, 123(1%)
minecraft.custom.play_record: #6, 1(3%)
minecraft.dropped.warped_roots: #6, 21(1%)
minecraft.mined.red_stained_glass: #6, 3(2%)
minecraft.used.light_gray_stained_glass_pane: #6, 37(2%)
minecraft.crafted.smooth_red_sandstone: #6, 32(2%)
minecraft.mined.dark_oak_planks: #7, 92(6%)
minecraft.dropped.black_concrete: #6, 4(2%)
minecraft.mined.light_blue_concrete: #6, 16(2%)
minecraft.dropped.glow_lichen: #6, 3(2%)
minecraft.crafted.chiseled_stone_bricks: #6, 64(2%)
minecraft.crafted.stone_button: #6, 206(1%)
minecraft.used.stone_bricks: #7, 4287(5%)
minecraft.mined.brown_shulker_box: #6, 8(1%)
minecraft.picked_up.brown_shulker_box: #6, 8(1%)
minecraft.dropped.rose_bush: #6, 2(1%)
minecraft.used.stone_button: #6, 167(0%)
minecraft.picked_up.diamond_boots: #7, 21(5%)
minecraft.mined.bubble_coral_fan: #6, 3(1%)
minecraft.used.seagrass: #6, 6(2%)
minecraft.mined.chiseled_stone_bricks: #6, 2(2%)
minecraft.used.green_bed: #6, 3(1%)
minecraft.mined.spruce_slab: #7, 207(5%)
minecraft.used.tube_coral: #6, 2(1%)
minecraft.picked_up.green_bed: #6, 3(1%)
minecraft.picked_up.iron_bars: #7, 110(5%)
minecraft.picked_up.orange_concrete: #6, 21(1%)
minecraft.mined.orange_concrete: #6, 21(1%)
minecraft.dropped.acacia_planks: #6, 3(1%)
minecraft.dropped.ink_sac: #6, 9(0%)
minecraft.used.stripped_acacia_log: #6, 2(1%)
minecraft.dropped.slime_ball: #6, 24(0%)
minecraft.mined.chipped_anvil: #7, 6(5%)
minecraft.mined.cyan_bed: #6, 2(1%)
minecraft.used.end_crystal: #6, 3(1%)
minecraft.picked_up.horn_coral: #6, 3(1%)
minecraft.mined.birch_planks: #7, 66(5%)
minecraft.mined.pink_wool: #6, 3(1%)
minecraft.picked_up.diamond_axe: #7, 24(4%)
minecraft.used.azalea_leaves: #7, 1282(6%)
minecraft.picked_up.small_dripleaf: #6, 1(1%)
minecraft.picked_up.prismarine_crystals: #6, 25(0%)
minecraft.dropped.vine: #6, 2(0%)
minecraft.used.bubble_coral: #6, 1(0%)
minecraft.used.fern: #6, 3(0%)
minecraft.crafted.red_sandstone_slab: #6, 6(0%)
minecraft.used.red_sandstone_slab: #6, 4(0%)
minecraft.used.red_sand: #6, 18(0%)
minecraft.used.mossy_cobblestone: #7, 254(6%)
minecraft.dropped.iron_pickaxe: #7, 4(6%)
minecraft.picked_up.coarse_dirt: #7, 639(4%)
minecraft.crafted.quartz_block: #7, 1334(4%)
minecraft.dropped.raw_iron: #7, 105(6%)
minecraft.dropped.moss_block: #7, 224(4%)
minecraft.crafted.gray_dye: #7, 498(4%)
minecraft.dropped.string: #7, 184(4%)
minecraft.mined.flowering_azalea_leaves: #7, 779(4%)
minecraft.picked_up.birch_slab: #7, 37(4%)
minecraft.dropped.coarse_dirt: #7, 83(6%)
minecraft.used.dark_oak_sign: #7, 97(4%)
minecraft.crafted.red_shulker_box: #7, 3(4%)
minecraft.mined.smooth_quartz: #7, 26(6%)
minecraft.crafted.jungle_slab: #7, 210(5%)
minecraft.picked_up.leather_chestplate: #7, 10(4%)
minecraft.mined.warped_trapdoor: #7, 10(6%)
minecraft.used.flowering_azalea: #7, 63(3%)
minecraft.dropped.diamond_shovel: #7, 5(4%)
minecraft.mined.dark_oak_wall_sign: #7, 17(4%)
minecraft.mined.oak_button: #7, 2(8%)
minecraft.crafted.warped_planks: #7, 1756(4%)
minecraft.mined.flower_pot: #7, 4(4%)
minecraft.dropped.birch_sapling: #7, 31(4%)
minecraft.used.end_rod: #7, 154(3%)
minecraft.mined.purpur_block: #7, 63(3%)
minecraft.crafted.netherite_leggings: #7, 1(7%)
minecraft.dropped.spruce_fence: #7, 12(4%)
minecraft.picked_up.light_blue_wool: #7, 82(4%)
minecraft.picked_up.oak_button: #7, 3(4%)
minecraft.picked_up.netherite_ingot: #7, 4(5%)
minecraft.used.armor_stand: #7, 23(2%)
minecraft.used.black_concrete: #7, 565(3%)
minecraft.used.crimson_fence: #7, 6(6%)
minecraft.used.painting: #7, 42(2%)
minecraft.picked_up.netherite_leggings: #7, 3(3%)
minecraft.used.firework_rocket: #8, 13843(6%)
minecraft.picked_up.jungle_fence: #7, 16(3%)
minecraft.mined.jungle_fence: #7, 18(4%)
minecraft.dropped.gray_wool: #7, 10(3%)
minecraft.mined.smooth_quartz_stairs: #7, 30(5%)
minecraft.custom.damage_absorbed: #7, 85(3%)
minecraft.mined.dead_bush: #7, 80(2%)
minecraft.crafted.nether_brick: #7, 297(4%)
minecraft.crafted.polished_blackstone_stairs: #7, 38(3%)
minecraft.dropped.emerald: #7, 115(2%)
minecraft.used.oak_trapdoor: #8, 213(5%)
minecraft.used.gray_wool: #7, 126(2%)
minecraft.dropped.gunpowder: #7, 168(1%)
minecraft.used.red_bed: #7, 17(2%)
minecraft.crafted.crimson_fence: #7, 9(4%)
minecraft.picked_up.quartz_block: #7, 70(2%)
minecraft.picked_up.acacia_planks: #7, 40(2%)
minecraft.used.polished_andesite_slab: #7, 57(3%)
minecraft.used.oxidized_cut_copper_slab: #7, 71(2%)
minecraft.picked_up.elytra: #8, 42(5%)
minecraft.mined.tripwire: #7, 31(1%)
minecraft.picked_up.spruce_slab: #8, 333(5%)
minecraft.dropped.smooth_stone: #7, 11(2%)
minecraft.picked_up.smooth_quartz_stairs: #7, 22(3%)
minecraft.mined.daylight_detector: #7, 2(3%)
minecraft.mined.warped_fence: #7, 3(3%)
minecraft.crafted.red_stained_glass_pane: #7, 16(3%)
minecraft.used.crimson_slab: #7, 15(3%)
minecraft.picked_up.warped_fence: #7, 3(3%)
minecraft.picked_up.dead_bush: #7, 65(2%)
minecraft.dropped.spruce_door: #7, 1(3%)
minecraft.picked_up.painting: #7, 37(1%)
minecraft.mined.jungle_trapdoor: #7, 14(2%)
minecraft.crafted.yellow_concrete_powder: #7, 64(2%)
minecraft.mined.quartz_block: #7, 21(1%)
minecraft.used.yellow_concrete_powder: #7, 64(2%)
minecraft.custom.target_hit: #7, 7(1%)
minecraft.picked_up.light_blue_concrete: #7, 16(2%)
minecraft.used.white_dye: #8, 34(5%)
minecraft.dropped.lily_pad: #7, 2(1%)
minecraft.mined.crimson_slab: #7, 1(2%)
minecraft.picked_up.sticky_piston: #8, 75(5%)
minecraft.dropped.dark_oak_button: #7, 1(1%)
minecraft.crafted.dripstone_block: #7, 512(1%)
minecraft.mined.fire_coral: #7, 5(1%)
minecraft.picked_up.black_candle: #7, 3(1%)
minecraft.picked_up.spruce_wood: #7, 2(1%)
minecraft.picked_up.light_blue_dye: #7, 2(1%)
minecraft.dropped.shulker_box: #8, 15(5%)
minecraft.picked_up.cyan_bed: #7, 2(1%)
minecraft.mined.brain_coral: #7, 3(1%)
minecraft.mined.horn_coral: #7, 3(1%)
minecraft.mined.birch_wood: #7, 2(1%)
minecraft.picked_up.birch_wood: #7, 2(1%)
minecraft.picked_up.crimson_slab: #7, 1(1%)
minecraft.crafted.brown_stained_glass: #7, 64(1%)
minecraft.crafted.green_stained_glass_pane: #7, 16(1%)
minecraft.used.fire_coral: #7, 1(0%)
minecraft.used.bubble_coral_fan: #7, 2(0%)
minecraft.custom.pot_flower: #8, 27(5%)
minecraft.dropped.prismarine: #7, 1(0%)
minecraft.dropped.glowstone: #7, 1(0%)
minecraft.picked_up.chiseled_stone_bricks: #7, 2(0%)
minecraft.mined.green_terracotta: #7, 2(0%)
minecraft.dropped.cookie: #7, 3(0%)
minecraft.picked_up.green_terracotta: #7, 2(0%)
minecraft.used.brown_stained_glass: #7, 4(0%)
minecraft.picked_up.firework_rocket: #8, 1716(4%)
minecraft.used.chipped_anvil: #8, 5(5%)
minecraft.mined.azalea_leaves: #8, 2425(4%)
minecraft.crafted.cobbled_deepslate_slab: #8, 120(4%)
minecraft.crafted.white_dye: #8, 1320(3%)
minecraft.mined.tall_seagrass: #8, 104(3%)
minecraft.crafted.green_dye: #8, 318(4%)
minecraft.crafted.anvil: #8, 39(3%)
minecraft.used.anvil: #8, 40(3%)
minecraft.mined.glass_pane: #8, 37(5%)
minecraft.mined.red_wool: #8, 251(5%)
minecraft.dropped.leather_chestplate: #8, 10(4%)
minecraft.used.birch_sapling: #8, 143(3%)
minecraft.picked_up.stone_slab: #8, 233(3%)
minecraft.crafted.cyan_dye: #8, 212(3%)
minecraft.picked_up.stone_bricks: #8, 840(3%)
minecraft.mined.quartz_slab: #8, 14(5%)
minecraft.crafted.golden_apple: #8, 33(4%)
minecraft.used.dark_oak_fence_gate: #8, 24(4%)
minecraft.picked_up.dark_oak_slab: #8, 67(3%)
minecraft.dropped.azalea_leaves: #8, 60(5%)
minecraft.mined.soul_soil: #8, 325(3%)
minecraft.crafted.deepslate_tile_slab: #8, 198(3%)
minecraft.picked_up.warped_wart_block: #8, 412(2%)
minecraft.mined.campfire: #8, 14(3%)
minecraft.mined.dark_oak_slab: #8, 31(3%)
minecraft.mined.warped_wart_block: #8, 413(2%)
minecraft.crafted.chiseled_deepslate: #8, 10(3%)
minecraft.picked_up.soul_soil: #8, 308(3%)
minecraft.used.jungle_fence: #8, 31(4%)
minecraft.picked_up.purpur_block: #8, 55(3%)
minecraft.crafted.firework_rocket: #8, 8914(3%)
minecraft.used.jungle_slab: #8, 99(3%)
minecraft.crafted.cobbled_deepslate_stairs: #8, 22(3%)
minecraft.used.oak_planks: #8, 784(2%)
minecraft.used.polished_basalt: #8, 292(3%)
minecraft.used.cobbled_deepslate: #8, 536(2%)
minecraft.dropped.netherite_helmet: #8, 1(6%)
minecraft.dropped.oak_leaves: #8, 91(3%)
minecraft.picked_up.campfire: #8, 14(3%)
minecraft.mined.magma_block: #8, 437(2%)
minecraft.used.warped_fungus: #8, 17(4%)
minecraft.crafted.acacia_door: #8, 3(6%)
minecraft.picked_up.warped_roots: #8, 94(2%)
minecraft.crafted.polished_basalt: #8, 328(3%)
minecraft.dropped.azalea: #8, 36(3%)
minecraft.dropped.netherite_boots: #8, 1(5%)
minecraft.crafted.player_head: #8, 66(3%)
minecraft.picked_up.magma_block: #8, 372(2%)
minecraft.used.sandstone: #8, 445(2%)
minecraft.used.red_concrete_powder: #8, 252(2%)
minecraft.picked_up.yellow_concrete: #8, 63(2%)
minecraft.mined.warped_slab: #8, 6(3%)
minecraft.crafted.orange_dye: #8, 106(2%)
minecraft.mined.white_wall_banner: #8, 1(4%)
minecraft.crafted.jungle_fence: #8, 24(3%)
minecraft.dropped.dark_oak_slab: #8, 4(3%)
minecraft.used.detector_rail: #8, 3(3%)
minecraft.dropped.carrot: #8, 492(1%)
minecraft.crafted.jungle_planks: #8, 1272(2%)
minecraft.mined.green_shulker_box: #8, 14(3%)
minecraft.picked_up.warped_sign: #8, 7(2%)
minecraft.picked_up.green_shulker_box: #8, 14(3%)
minecraft.dropped.baked_potato: #8, 64(2%)
minecraft.crafted.crimson_planks: #8, 384(2%)
minecraft.used.deepslate_brick_stairs: #8, 119(2%)
minecraft.mined.crimson_trapdoor: #8, 4(3%)
minecraft.crafted.red_concrete_powder: #8, 256(2%)
minecraft.mined.gray_wool: #8, 5(2%)
minecraft.mined.acacia_trapdoor: #8, 14(2%)
minecraft.used.smooth_quartz_slab: #8, 205(2%)
minecraft.dropped.spruce_sign: #8, 4(2%)
minecraft.used.green_shulker_box: #8, 14(3%)
minecraft.dropped.warped_planks: #8, 11(2%)
minecraft.mined.acacia_leaves: #8, 363(1%)
minecraft.mined.barrel: #9, 70(5%)
minecraft.killed.trader_llama: #9, 11(6%)
minecraft.dropped.bamboo: #8, 66(1%)
minecraft.picked_up.iron_ingot: #8, 864(1%)
minecraft.crafted.black_stained_glass_pane: #8, 96(2%)
minecraft.crafted.acacia_fence: #8, 24(2%)
minecraft.dropped.spider_eye: #8, 122(1%)
minecraft.picked_up.warped_slab: #8, 6(1%)
minecraft.picked_up.bricks: #8, 37(1%)
minecraft.used.cracked_stone_bricks: #8, 47(1%)
minecraft.dropped.sweet_berries: #8, 5(1%)
minecraft.used.shulker_box: #9, 1127(4%)
minecraft.mined.dandelion: #9, 87(4%)
minecraft.crafted.crimson_slab: #8, 18(1%)
minecraft.picked_up.glass_pane: #8, 77(1%)
minecraft.crafted.polished_blackstone_brick_slab: #8, 16(1%)
minecraft.used.pink_wool: #8, 11(1%)
minecraft.picked_up.black_stained_glass_pane: #8, 9(1%)
minecraft.used.light_gray_concrete: #8, 55(1%)
minecraft.dropped.mossy_cobblestone: #8, 4(1%)
minecraft.crafted.lime_shulker_box: #8, 6(1%)
minecraft.dropped.birch_leaves: #8, 6(1%)
minecraft.picked_up.green_wool: #8, 31(1%)
minecraft.used.light_blue_stained_glass: #8, 46(1%)
minecraft.dropped.iron_block: #8, 34(1%)
minecraft.crafted.diamond: #9, 486(5%)
minecraft.mined.cave_vines: #9, 30(5%)
minecraft.mined.tube_coral: #8, 3(1%)
minecraft.dropped.terracotta: #8, 10(1%)
minecraft.picked_up.tube_coral: #8, 3(1%)
minecraft.picked_up.snow: #8, 240(1%)
minecraft.used.yellow_concrete: #8, 20(1%)
minecraft.crafted.cracked_stone_bricks: #8, 70(1%)
minecraft.dropped.rooted_dirt: #8, 1(1%)
minecraft.mined.bubble_coral: #8, 3(1%)
minecraft.used.pink_shulker_box: #8, 2(1%)
minecraft.dropped.acacia_log: #8, 2(1%)
minecraft.used.beetroot_seeds: #8, 9(0%)
minecraft.dropped.red_dye: #8, 1(0%)
minecraft.used.granite_stairs: #8, 4(0%)
minecraft.picked_up.fern: #8, 10(0%)
minecraft.picked_up.dandelion: #9, 97(4%)
minecraft.picked_up.bubble_coral: #8, 1(0%)
minecraft.picked_up.cyan_wool: #8, 2(0%)
minecraft.crafted.honeycomb_block: #8, 1(0%)
minecraft.picked_up.barrel: #9, 72(4%)
minecraft.picked_up.oak_slab: #9, 89(4%)
minecraft.mined.dirt_path: #9, 346(4%)
minecraft.mined.shulker_box: #9, 929(4%)
minecraft.picked_up.shulker_box: #9, 971(4%)
minecraft.picked_up.chipped_anvil: #9, 6(5%)
minecraft.crafted.glow_item_frame: #9, 23(5%)
minecraft.dropped.oak_sign: #9, 7(4%)
minecraft.picked_up.spruce_stairs: #9, 106(4%)
minecraft.used.spore_blossom: #9, 17(5%)
minecraft.used.spruce_trapdoor: #9, 452(3%)
minecraft.used.moss_block: #9, 2158(3%)
minecraft.mined.brewing_stand: #9, 10(4%)
minecraft.mined.oak_stairs: #9, 28(3%)
minecraft.mined.spruce_door: #9, 10(4%)
minecraft.picked_up.brewing_stand: #9, 10(4%)
minecraft.used.sea_lantern: #9, 264(4%)
minecraft.crafted.lead: #9, 20(4%)
minecraft.used.spruce_fence: #9, 353(3%)
minecraft.used.deepslate_tile_stairs: #9, 500(3%)
minecraft.mined.anvil: #9, 9(3%)
minecraft.used.flower_pot: #9, 30(3%)
minecraft.crafted.yellow_dye: #9, 190(3%)
minecraft.used.spruce_door: #9, 17(3%)
minecraft.picked_up.deepslate_tile_stairs: #9, 115(3%)
minecraft.mined.polished_blackstone_stairs: #9, 39(4%)
minecraft.used.cut_copper_slab: #9, 73(5%)
minecraft.crafted.dark_oak_fence_gate: #9, 26(4%)
minecraft.used.peony: #9, 3(4%)
minecraft.dropped.spyglass: #9, 1(5%)
minecraft.used.deepslate_bricks: #9, 789(2%)
minecraft.used.stone_brick_wall: #9, 47(3%)
minecraft.dropped.golden_chestplate: #9, 8(2%)
minecraft.picked_up.black_concrete: #9, 365(2%)
minecraft.mined.stone_brick_slab: #9, 88(2%)
minecraft.picked_up.poppy: #9, 172(2%)
minecraft.crafted.white_stained_glass_pane: #9, 96(3%)
minecraft.used.stone_brick_slab: #9, 525(2%)
minecraft.mined.end_stone_bricks: #9, 17(2%)
minecraft.used.grindstone: #9, 43(2%)
minecraft.crafted.stone_pressure_plate: #9, 18(2%)
minecraft.mined.nether_wart_block: #9, 103(1%)
minecraft.picked_up.nether_wart_block: #9, 102(2%)
minecraft.used.loom: #9, 4(2%)
minecraft.crafted.armor_stand: #9, 20(2%)
minecraft.used.acacia_trapdoor: #9, 90(3%)
minecraft.crafted.glass_bottle: #9, 414(1%)
minecraft.mined.deepslate_brick_stairs: #9, 20(2%)
minecraft.crafted.blast_furnace: #9, 6(2%)
minecraft.crafted.soul_lantern: #9, 36(2%)
minecraft.custom.aviate_one_cm: #10, 332190369(5%)
minecraft.crafted.yellow_bed: #9, 1(3%)
minecraft.picked_up.crimson_trapdoor: #9, 4(3%)
minecraft.crafted.charcoal: #9, 16(2%)
minecraft.dropped.azure_bluet: #9, 2(2%)
minecraft.used.acacia_planks: #9, 77(2%)
minecraft.used.tripwire_hook: #9, 6(2%)
minecraft.mined.cut_copper_slab: #9, 5(2%)
minecraft.picked_up.acacia_trapdoor: #9, 14(2%)
minecraft.used.azalea: #9, 56(1%)
minecraft.mined.polished_deepslate_wall: #9, 11(1%)
minecraft.used.andesite_stairs: #9, 17(2%)
