stat, rank, value, (percentage) 
minecraft.used.blue_concrete_powder: #2, 161(28%)
minecraft.dropped.light_gray_concrete_powder: #2, 64(28%)
minecraft.used.deepslate_copper_ore: #2, 31(16%)
minecraft.picked_up.prismarine_wall: #2, 15(31%)
minecraft.used.blue_dye: #2, 4(31%)
minecraft.crafted.blue_concrete_powder: #2, 160(26%)
minecraft.picked_up.grass: #3, 383(12%)
minecraft.dropped.dirt: #3, 5092(11%)
minecraft.mined.deepslate_tiles: #3, 745(12%)
minecraft.mined.dark_oak_slab: #3, 154(13%)
minecraft.picked_up.polished_deepslate_stairs: #3, 279(14%)
minecraft.picked_up.polished_andesite_stairs: #2, 36(14%)
minecraft.crafted.chiseled_quartz_block: #2, 32(34%)
minecraft.crafted.filled_map: #2, 53(41%)
minecraft.dropped.andesite: #3, 1806(10%)
minecraft.dropped.deepslate: #3, 569(12%)
minecraft.used.light_blue_carpet: #2, 37(39%)
minecraft.picked_up.deepslate_tiles: #3, 831(11%)
minecraft.mined.nether_brick_fence: #3, 67(13%)
minecraft.used.potato: #3, 1573(13%)
minecraft.crafted.light_blue_wool: #2, 32(17%)
minecraft.crafted.cyan_bed: #2, 6(21%)
minecraft.picked_up.nether_brick_fence: #3, 67(13%)
minecraft.crafted.iron_bars: #3, 944(10%)
minecraft.used.polished_granite_slab: #2, 55(16%)
minecraft.picked_up.light_blue_carpet: #2, 18(47%)
minecraft.dropped.diamond: #3, 207(10%)
minecraft.picked_up.andesite_wall: #3, 346(18%)
minecraft.picked_up.gray_terracotta: #2, 15(23%)
minecraft.dropped.copper_ore: #2, 76(10%)
minecraft.mined.wall_torch: #3, 717(9%)
minecraft.dropped.lapis_ore: #2, 5(22%)
minecraft.mined.oak_stairs: #3, 81(10%)
minecraft.mined.stripped_oak_log: #3, 910(11%)
minecraft.mined.lapis_block: #2, 29(30%)
minecraft.mined.iron_block: #3, 2525(9%)
minecraft.dropped.grass_block: #2, 2441(5%)
minecraft.dropped.red_mushroom_block: #2, 45(23%)
minecraft.picked_up.stone_bricks: #3, 2580(9%)
minecraft.used.dark_oak_fence_gate: #3, 79(13%)
minecraft.dropped.diorite: #3, 1903(8%)
minecraft.dropped.crimson_fungus: #2, 10(28%)
minecraft.crafted.smooth_sandstone_stairs: #2, 81(10%)
minecraft.used.smooth_stone_slab: #3, 1820(11%)
minecraft.dropped.crimson_roots: #2, 33(7%)
minecraft.crafted.prismarine_brick_stairs: #2, 15(20%)
minecraft.custom.interact_with_lectern: #3, 128(7%)
minecraft.mined.polished_blackstone: #3, 213(10%)
minecraft.mined.deepslate_tile_stairs: #3, 338(9%)
minecraft.used.black_dye: #2, 1(33%)
minecraft.used.brown_terracotta: #3, 2067(15%)
minecraft.crafted.oak_stairs: #3, 272(11%)
minecraft.mined.grindstone: #3, 72(9%)
minecraft.picked_up.deepslate_tile_stairs: #3, 334(9%)
minecraft.mined.end_stone: #3, 692(9%)
minecraft.mined.warped_nylium: #3, 145(8%)
minecraft.used.diorite_wall: #3, 49(17%)
minecraft.picked_up.end_stone: #3, 690(9%)
minecraft.used.smooth_sandstone_slab: #3, 836(12%)
minecraft.mined.cobblestone: #3, 2568(7%)
minecraft.picked_up.polished_deepslate_wall: #3, 152(10%)
minecraft.used.grass: #4, 304(16%)
minecraft.mined.polished_deepslate: #3, 437(7%)
minecraft.crafted.black_shulker_box: #3, 8(15%)
minecraft.dropped.polished_diorite_stairs: #2, 1(33%)
minecraft.picked_up.warped_nylium: #3, 145(9%)
minecraft.dropped.raw_copper: #3, 148(14%)
minecraft.dropped.azalea: #3, 128(10%)
minecraft.crafted.pink_dye: #4, 224(12%)
minecraft.picked_up.grindstone: #3, 73(8%)
minecraft.picked_up.grass_block: #4, 33924(10%)
minecraft.picked_up.stripped_oak_log: #3, 827(8%)
minecraft.dropped.dandelion: #3, 42(7%)
minecraft.used.cyan_dye: #3, 26(15%)
minecraft.mined.smoker: #3, 7(12%)
minecraft.used.crimson_nylium: #3, 66(10%)
minecraft.mined.dark_oak_door: #3, 7(14%)
minecraft.used.grindstone: #3, 148(6%)
minecraft.mined.polished_granite_slab: #3, 10(20%)
minecraft.crafted.light_blue_concrete_powder: #3, 256(13%)
minecraft.used.lapis_block: #2, 29(7%)
minecraft.used.sandstone: #4, 2726(10%)
minecraft.crafted.diamond_chestplate: #3, 3(7%)
minecraft.crafted.dark_oak_button: #3, 34(8%)
minecraft.dropped.bucket: #3, 17(6%)
minecraft.mined.smooth_sandstone_stairs: #4, 183(11%)
minecraft.picked_up.warped_fungus: #4, 93(11%)
minecraft.used.dark_oak_boat: #3, 20(6%)
minecraft.picked_up.dark_oak_boat: #3, 19(6%)
minecraft.used.polished_deepslate: #4, 3831(8%)
minecraft.mined.grass_block: #4, 40973(8%)
minecraft.crafted.diamond_helmet: #4, 7(9%)
minecraft.crafted.orange_concrete_powder: #2, 512(2%)
minecraft.picked_up.smooth_sandstone_stairs: #4, 183(10%)
minecraft.used.orange_concrete_powder: #2, 512(2%)
minecraft.used.iron_bars: #4, 469(8%)
minecraft.dropped.comparator: #3, 39(16%)
minecraft.broken.diamond_pickaxe: #3, 2(15%)
minecraft.crafted.polished_diorite_stairs: #3, 16(15%)
minecraft.mined.red_carpet: #3, 16(13%)
minecraft.dropped.cobbled_deepslate: #4, 587(8%)
minecraft.dropped.damaged_anvil: #3, 1(33%)
minecraft.killed.pufferfish: #3, 9(12%)
