stat, rank, value, (percentage) 
minecraft.used.large_amethyst_bud: #6, 6(1%)
minecraft.crafted.iron_pickaxe: #7, 19(4%)
minecraft.dropped.light_blue_dye: #6, 1(1%)
minecraft.picked_up.gold_ore: #7, 140(4%)
minecraft.picked_up.dark_oak_door: #7, 7(9%)
minecraft.crafted.glass_pane: #6, 384(0%)
minecraft.picked_up.granite_slab: #6, 1(0%)
minecraft.used.iron_pickaxe: #7, 4749(4%)
minecraft.dropped.prismarine_shard: #6, 1(0%)
minecraft.mined.moss_block: #7, 1771(4%)
minecraft.mined.polished_blackstone_stairs: #7, 59(6%)
minecraft.mined.enchanting_table: #7, 2(7%)
minecraft.mined.white_bed: #7, 81(4%)
minecraft.picked_up.shroomlight: #7, 183(4%)
minecraft.picked_up.white_bed: #7, 84(4%)
minecraft.used.stone_pickaxe: #7, 395(4%)
minecraft.used.netherite_pickaxe: #7, 137209(6%)
minecraft.picked_up.enchanting_table: #7, 2(6%)
minecraft.used.deepslate_lapis_ore: #7, 10(6%)
minecraft.mined.azure_bluet: #7, 30(5%)
minecraft.mined.polished_deepslate_slab: #7, 116(4%)
minecraft.used.lapis_ore: #7, 33(5%)
minecraft.crafted.tinted_glass: #7, 1102(6%)
minecraft.crafted.iron_nugget: #7, 2960(3%)
minecraft.used.iron_ore: #7, 590(4%)
minecraft.killed.blaze: #7, 65(4%)
minecraft.mined.hopper: #7, 156(3%)
minecraft.crafted.iron_block: #7, 2191(3%)
minecraft.used.nether_bricks: #7, 141(4%)
minecraft.picked_up.spruce_fence_gate: #7, 37(4%)
minecraft.used.polished_blackstone_slab: #7, 267(4%)
minecraft.used.iron_boots: #7, 1(6%)
minecraft.crafted.tnt: #7, 691(4%)
minecraft.used.birch_stairs: #7, 49(5%)
minecraft.picked_up.polished_blackstone_slab: #7, 39(4%)
minecraft.picked_up.nether_bricks: #7, 221(3%)
minecraft.used.iron_helmet: #7, 1(7%)
minecraft.mined.nether_bricks: #7, 223(3%)
minecraft.mined.stone_stairs: #7, 36(3%)
minecraft.mined.bone_block: #7, 78(3%)
minecraft.picked_up.polished_deepslate_slab: #7, 119(3%)
minecraft.dropped.iron_hoe: #7, 1(8%)
minecraft.used.polished_basalt: #7, 351(3%)
minecraft.mined.purpur_slab: #7, 8(4%)
minecraft.mined.end_stone_bricks: #7, 24(3%)
minecraft.used.deepslate_redstone_ore: #7, 47(3%)
minecraft.used.iron_chestplate: #7, 1(6%)
minecraft.crafted.netherite_boots: #7, 1(6%)
minecraft.custom.open_barrel: #8, 3452(5%)
minecraft.dropped.stonecutter: #7, 1(7%)
minecraft.dropped.feather: #7, 16(3%)
minecraft.picked_up.end_stone_bricks: #7, 24(3%)
minecraft.mined.heavy_weighted_pressure_plate: #7, 1(7%)
minecraft.killed.piglin: #7, 19(2%)
minecraft.picked_up.lapis_block: #7, 29(3%)
minecraft.mined.smooth_stone_slab: #7, 76(3%)
minecraft.mined.deepslate_tile_wall: #7, 29(3%)
minecraft.mined.fern: #7, 62(3%)
minecraft.picked_up.purpur_slab: #7, 7(4%)
minecraft.picked_up.bone_meal: #7, 2119(2%)
minecraft.used.dragon_head: #7, 1(4%)
minecraft.picked_up.nether_gold_ore: #7, 40(2%)
minecraft.crafted.lapis_lazuli: #8, 693(6%)
minecraft.dropped.spruce_trapdoor: #7, 12(3%)
minecraft.crafted.netherite_scrap: #7, 24(3%)
minecraft.crafted.golden_chestplate: #7, 1(4%)
minecraft.used.stone: #8, 25479(5%)
minecraft.used.netherite_sword: #7, 1339(3%)
minecraft.used.yellow_dye: #7, 1(4%)
minecraft.broken.stone_hoe: #7, 1(3%)
minecraft.mined.comparator: #8, 37(6%)
minecraft.used.purpur_block: #7, 27(2%)
minecraft.crafted.dark_oak_planks: #8, 4608(5%)
minecraft.mined.oak_slab: #8, 78(6%)
minecraft.dropped.deepslate_redstone_ore: #7, 2(4%)
minecraft.custom.walk_one_cm: #9, 77184461(5%)
minecraft.picked_up.netherite_helmet: #7, 2(2%)
minecraft.crafted.diamond_block: #8, 98(5%)
minecraft.mined.chiseled_deepslate: #7, 14(2%)
minecraft.mined.smooth_quartz_slab: #7, 17(2%)
minecraft.mined.blackstone_slab: #7, 4(2%)
minecraft.custom.walk_on_water_one_cm: #9, 2751034(4%)
minecraft.picked_up.smooth_quartz_slab: #7, 25(2%)
minecraft.crafted.white_wool: #7, 271(1%)
minecraft.used.smooth_quartz_stairs: #7, 88(2%)
minecraft.dropped.cactus: #7, 21(1%)
minecraft.picked_up.brown_terracotta: #7, 320(2%)
minecraft.picked_up.fishing_rod: #7, 1(2%)
minecraft.used.prismarine_bricks: #7, 41(1%)
minecraft.picked_up.diamond: #8, 635(4%)
minecraft.mined.redstone_wire: #8, 263(5%)
minecraft.dropped.golden_apple: #7, 2(2%)
minecraft.crafted.polished_blackstone_wall: #7, 16(2%)
minecraft.crafted.diamond_shovel: #8, 6(4%)
minecraft.mined.spruce_sapling: #8, 18(5%)
minecraft.used.diamond_ore: #8, 81(5%)
minecraft.picked_up.granite: #8, 6024(4%)
minecraft.dropped.pointed_dripstone: #7, 9(1%)
minecraft.used.prismarine_brick_stairs: #7, 6(1%)
minecraft.mined.deepslate_lapis_ore: #8, 57(4%)
minecraft.mined.cut_copper: #7, 2(1%)
minecraft.mined.soul_fire: #7, 2(1%)
minecraft.mined.white_tulip: #7, 2(1%)
minecraft.picked_up.stonecutter: #8, 45(4%)
minecraft.mined.deepslate_iron_ore: #8, 368(4%)
minecraft.mined.stonecutter: #8, 44(4%)
minecraft.used.chest: #8, 869(4%)
minecraft.mined.netherrack: #8, 20497(4%)
minecraft.picked_up.polished_andesite_slab: #7, 2(1%)
minecraft.used.horn_coral_fan: #7, 2(0%)
minecraft.mined.polished_blackstone_brick_slab: #7, 5(0%)
minecraft.mined.cut_sandstone: #7, 7(0%)
minecraft.used.tube_coral_fan: #7, 2(0%)
minecraft.used.stonecutter: #8, 46(4%)
minecraft.crafted.honey_block: #7, 32(0%)
minecraft.picked_up.item_frame: #8, 114(4%)
minecraft.used.cut_sandstone: #7, 3(0%)
minecraft.mined.raw_iron_block: #7, 1(0%)
minecraft.picked_up.comparator: #8, 76(4%)
minecraft.killed.zombified_piglin: #7, 17(0%)
minecraft.crafted.lapis_block: #8, 179(4%)
minecraft.dropped.arrow: #8, 2604(4%)
minecraft.used.white_bed: #8, 90(4%)
minecraft.picked_up.deepslate_iron_ore: #8, 120(4%)
minecraft.picked_up.redstone_block: #8, 172(4%)
minecraft.mined.copper_ore: #8, 1168(3%)
minecraft.dropped.redstone: #8, 140(4%)
minecraft.used.sea_lantern: #8, 322(4%)
minecraft.used.spore_blossom: #8, 17(5%)
minecraft.used.redstone_block: #8, 102(3%)
minecraft.picked_up.redstone_ore: #8, 303(3%)
minecraft.dropped.raw_iron: #8, 90(5%)
minecraft.used.spruce_fence: #8, 383(4%)
minecraft.dropped.sand: #8, 318(3%)
minecraft.used.gold_ore: #8, 90(4%)
minecraft.dropped.coal: #8, 90(3%)
minecraft.mined.cornflower: #8, 23(4%)
minecraft.broken.stone_pickaxe: #8, 3(4%)
minecraft.used.deepslate_gold_ore: #8, 27(4%)
minecraft.used.diamond_chestplate: #8, 1(6%)
minecraft.picked_up.gravel: #8, 5716(2%)
minecraft.mined.cobblestone_wall: #8, 39(3%)
minecraft.mined.redstone_lamp: #8, 11(3%)
minecraft.picked_up.deepslate_gold_ore: #8, 29(3%)
minecraft.crafted.oak_trapdoor: #9, 222(6%)
minecraft.crafted.magenta_dye: #8, 52(3%)
minecraft.used.polished_blackstone_stairs: #8, 212(4%)
minecraft.picked_up.coal_block: #8, 120(3%)
minecraft.used.blast_furnace: #8, 11(2%)
minecraft.crafted.oak_pressure_plate: #8, 1(4%)
minecraft.picked_up.written_book: #8, 4(3%)
minecraft.mined.dark_oak_fence: #8, 21(2%)
minecraft.mined.big_dripleaf_stem: #8, 6(4%)
minecraft.mined.packed_ice: #8, 555(3%)
minecraft.picked_up.packed_ice: #8, 544(3%)
minecraft.used.polished_deepslate_slab: #8, 528(2%)
minecraft.mined.granite: #9, 8696(6%)
minecraft.custom.sneak_time: #10, 1986391(4%)
minecraft.used.torch: #9, 9159(5%)
minecraft.used.diamond_block: #8, 32(2%)
minecraft.mined.sandstone_slab: #8, 15(3%)
minecraft.used.white_terracotta: #8, 33(2%)
minecraft.dropped.blackstone: #8, 110(2%)
minecraft.picked_up.cooked_chicken: #8, 27(2%)
minecraft.crafted.stone_brick_slab: #8, 252(2%)
minecraft.picked_up.arrow: #9, 2784(5%)
minecraft.used.birch_button: #8, 4(3%)
minecraft.killed.cave_spider: #8, 128(1%)
minecraft.mined.big_dripleaf: #8, 4(2%)
minecraft.picked_up.bucket: #8, 19(1%)
minecraft.used.diamond_pickaxe: #9, 158139(5%)
minecraft.used.granite_slab: #8, 26(3%)
minecraft.used.birch_log: #8, 96(1%)
minecraft.picked_up.heavy_weighted_pressure_plate: #8, 1(3%)
minecraft.crafted.birch_button: #8, 3(2%)
minecraft.mined.cauldron: #8, 6(1%)
minecraft.picked_up.prismarine: #8, 129(2%)
minecraft.used.polished_blackstone_wall: #8, 23(2%)
minecraft.mined.water_cauldron: #8, 1(2%)
minecraft.dropped.bone_meal: #8, 1039(1%)
minecraft.dropped.crossbow: #8, 3(1%)
minecraft.dropped.hopper: #8, 2(1%)
minecraft.mined.sea_pickle: #8, 17(1%)
minecraft.used.warped_roots: #8, 2(2%)
minecraft.dropped.stone_shovel: #8, 2(1%)
minecraft.used.beacon: #9, 17(5%)
minecraft.mined.coal_block: #8, 11(1%)
minecraft.picked_up.raw_copper_block: #8, 4(1%)
minecraft.crafted.gray_wool: #8, 26(1%)
minecraft.mined.coal_ore: #9, 5052(4%)
minecraft.used.nether_wart_block: #8, 10(1%)
minecraft.crafted.chest: #9, 1411(4%)
minecraft.dropped.raw_gold: #8, 4(1%)
minecraft.used.light_blue_concrete_powder: #8, 20(1%)
minecraft.killed.husk: #9, 9(6%)
minecraft.crafted.leather_helmet: #8, 1(1%)
minecraft.mined.oxidized_cut_copper: #8, 2(1%)
minecraft.dropped.torch: #9, 250(4%)
minecraft.picked_up.oxidized_cut_copper: #8, 2(1%)
minecraft.used.oak_log: #9, 681(4%)
minecraft.crafted.torch: #9, 5776(4%)
minecraft.mined.tube_coral_fan: #8, 2(1%)
minecraft.picked_up.cut_copper: #8, 2(1%)
minecraft.used.blackstone_wall: #8, 6(1%)
minecraft.mined.polished_andesite_slab: #8, 1(1%)
minecraft.mined.smooth_quartz_stairs: #8, 5(1%)
minecraft.picked_up.smooth_quartz_stairs: #8, 5(1%)
minecraft.picked_up.large_amethyst_bud: #8, 7(1%)
minecraft.mined.beacon: #9, 14(5%)
minecraft.mined.medium_amethyst_bud: #8, 9(0%)
minecraft.dropped.white_terracotta: #8, 3(1%)
minecraft.mined.cyan_bed: #8, 1(0%)
minecraft.picked_up.cyan_bed: #8, 1(0%)
minecraft.dropped.clock: #8, 1(0%)
minecraft.picked_up.cookie: #8, 5(0%)
minecraft.used.sea_pickle: #8, 19(0%)
minecraft.picked_up.white_tulip: #8, 4(0%)
minecraft.picked_up.experience_bottle: #8, 1(0%)
minecraft.mined.sandstone: #9, 4917(4%)
minecraft.picked_up.cobbled_deepslate: #9, 11866(4%)
minecraft.killed.creeper: #9, 225(4%)
minecraft.used.calcite: #9, 593(4%)
minecraft.used.tinted_glass: #9, 708(5%)
minecraft.mined.poppy: #9, 95(4%)
minecraft.picked_up.polished_blackstone_stairs: #9, 59(6%)
minecraft.picked_up.oak_trapdoor: #9, 63(4%)
minecraft.mined.lapis_ore: #9, 148(3%)
minecraft.mined.tall_grass: #9, 427(4%)
minecraft.used.iron_hoe: #9, 234(4%)
minecraft.crafted.dark_oak_sign: #9, 87(4%)
minecraft.dropped.moss_block: #9, 188(4%)
minecraft.mined.iron_ore: #9, 2440(3%)
minecraft.mined.spruce_fence: #9, 81(3%)
minecraft.picked_up.glass: #9, 825(3%)
minecraft.used.deepslate_diamond_ore: #9, 28(4%)
minecraft.used.glow_ink_sac: #9, 53(3%)
minecraft.crafted.spruce_fence: #9, 345(3%)
minecraft.used.comparator: #9, 98(3%)
minecraft.crafted.rail: #9, 608(3%)
minecraft.picked_up.stone_slab: #9, 225(3%)
minecraft.crafted.bow: #9, 44(3%)
minecraft.custom.sprint_one_cm: #10, 54503530(4%)
minecraft.used.cobweb: #9, 21(5%)
minecraft.crafted.stone_brick_stairs: #9, 65(3%)
minecraft.used.amethyst_block: #9, 206(3%)
minecraft.crafted.stone_bricks: #9, 3268(2%)
minecraft.picked_up.bookshelf: #9, 38(3%)
minecraft.crafted.netherite_pickaxe: #9, 2(4%)
minecraft.picked_up.white_carpet: #9, 28(3%)
minecraft.mined.white_carpet: #9, 21(3%)
minecraft.killed.shulker: #9, 95(3%)
minecraft.dropped.netherite_pickaxe: #9, 3(3%)
minecraft.used.scaffolding: #9, 2243(2%)
minecraft.mined.budding_amethyst: #9, 13(2%)
minecraft.picked_up.damaged_anvil: #9, 3(3%)
minecraft.crafted.cobbled_deepslate_stairs: #9, 20(3%)
minecraft.picked_up.ancient_debris: #9, 27(2%)
minecraft.picked_up.deepslate_tile_wall: #9, 29(3%)
minecraft.mined.ancient_debris: #9, 27(2%)
minecraft.picked_up.stone_sword: #9, 9(2%)
minecraft.crafted.spyglass: #9, 1(3%)
minecraft.picked_up.sandstone_slab: #9, 14(2%)
minecraft.crafted.stone_slab: #9, 276(2%)
minecraft.mined.small_dripleaf: #9, 1(3%)
minecraft.killed.hoglin: #9, 3(2%)
minecraft.killed.chicken: #9, 22(2%)
minecraft.crafted.bread: #9, 227(2%)
minecraft.dropped.stone_hoe: #9, 1(3%)
minecraft.used.white_concrete: #9, 1025(2%)
minecraft.picked_up.white_concrete_powder: #9, 192(2%)
minecraft.used.dirt: #10, 15761(5%)
minecraft.mined.damaged_anvil: #9, 2(2%)
minecraft.mined.nether_sprouts: #9, 26(2%)
minecraft.crafted.firework_rocket: #9, 5751(2%)
minecraft.crafted.netherite_ingot: #9, 6(2%)
minecraft.mined.white_banner: #9, 1(3%)
minecraft.crafted.golden_boots: #9, 1(3%)
minecraft.crafted.polished_deepslate_stairs: #9, 30(2%)
minecraft.killed.salmon: #9, 3(2%)
minecraft.crafted.hopper: #10, 615(5%)
minecraft.used.smooth_quartz: #9, 90(2%)
minecraft.custom.inspect_hopper: #10, 922(5%)
minecraft.picked_up.oxeye_daisy: #9, 28(1%)
minecraft.dropped.iron_nugget: #9, 30(1%)
minecraft.used.obsidian: #9, 343(1%)
minecraft.dropped.purpur_pillar: #9, 2(2%)
minecraft.used.polished_blackstone_bricks: #9, 172(1%)
minecraft.mined.soul_lantern: #9, 5(2%)
minecraft.killed.axolotl: #9, 1(2%)
minecraft.picked_up.stone_stairs: #9, 35(1%)
minecraft.used.crimson_fungus: #9, 2(1%)
minecraft.crafted.raw_gold: #9, 90(2%)
minecraft.used.sponge: #9, 73(1%)
minecraft.crafted.beacon: #9, 1(1%)
minecraft.used.cobbled_deepslate_stairs: #9, 21(1%)
minecraft.killed.wither: #9, 1(1%)
minecraft.used.small_dripleaf: #9, 3(1%)
minecraft.used.polished_andesite_stairs: #9, 19(1%)
minecraft.killed.iron_golem: #9, 2(1%)
minecraft.mined.red_concrete: #9, 93(1%)
minecraft.picked_up.red_mushroom_block: #9, 61(1%)
minecraft.picked_up.lily_of_the_valley: #9, 14(1%)
minecraft.mined.horn_coral_fan: #9, 2(1%)
minecraft.picked_up.blackstone_slab: #9, 4(1%)
minecraft.dropped.smooth_stone_slab: #9, 4(1%)
minecraft.mined.large_fern: #9, 9(1%)
minecraft.picked_up.cauldron: #9, 7(0%)
minecraft.dropped.mossy_cobblestone: #9, 3(1%)
minecraft.mined.black_carpet: #9, 2(1%)
minecraft.mined.tube_coral: #9, 2(1%)
minecraft.picked_up.yellow_dye: #9, 3(1%)
minecraft.crafted.diamond_pickaxe: #10, 11(4%)
minecraft.mined.blue_terracotta: #9, 1(0%)
minecraft.mined.brown_terracotta: #9, 68(0%)
minecraft.picked_up.black_carpet: #9, 2(0%)
minecraft.mined.deepslate: #10, 14605(4%)
minecraft.crafted.polished_blackstone_brick_slab: #9, 4(0%)
minecraft.picked_up.cut_sandstone: #9, 5(0%)
minecraft.used.medium_amethyst_bud: #9, 1(0%)
minecraft.picked_up.raw_iron_block: #9, 1(0%)
minecraft.custom.walk_under_water_one_cm: #11, 3912210(4%)
minecraft.picked_up.dandelion: #10, 95(4%)
minecraft.picked_up.prismarine_shard: #9, 1(0%)
minecraft.picked_up.leather_boots: #10, 14(4%)
minecraft.picked_up.sandstone: #10, 4769(4%)
minecraft.custom.interact_with_beacon: #10, 21(4%)
minecraft.picked_up.beacon: #10, 14(4%)
minecraft.dropped.writable_book: #10, 3(5%)
minecraft.mined.spruce_wall_sign: #10, 13(4%)
minecraft.mined.moss_carpet: #10, 300(4%)
minecraft.mined.deepslate_diamond_ore: #10, 88(3%)
minecraft.crafted.redstone_block: #10, 626(4%)
minecraft.used.carrot: #10, 757(3%)
minecraft.used.glass: #10, 1113(3%)
minecraft.picked_up.lapis_lazuli: #10, 1520(3%)
minecraft.used.coal_ore: #10, 641(3%)
minecraft.picked_up.chainmail_leggings: #10, 4(4%)
minecraft.crafted.item_frame: #10, 138(3%)
minecraft.mined.dispenser: #10, 18(3%)
minecraft.picked_up.moss_block: #10, 2179(3%)
minecraft.killed.zombie_villager: #10, 7(3%)
minecraft.used.spruce_sapling: #10, 187(3%)
minecraft.picked_up.raw_copper: #10, 3088(3%)
minecraft.mined.observer: #10, 63(3%)
minecraft.crafted.diamond_hoe: #10, 2(3%)
minecraft.picked_up.hopper: #10, 149(2%)
minecraft.used.sandstone_slab: #10, 101(4%)
minecraft.picked_up.phantom_membrane: #10, 23(3%)
minecraft.custom.interact_with_blast_furnace: #10, 86(3%)
minecraft.mined.blackstone: #10, 978(2%)
minecraft.picked_up.iron_bars: #10, 57(2%)
minecraft.used.flowering_azalea: #10, 46(2%)
minecraft.crafted.stone_hoe: #10, 2(3%)
minecraft.picked_up.azure_bluet: #10, 37(3%)
minecraft.crafted.birch_slab: #10, 218(2%)
minecraft.crafted.deepslate_tile_stairs: #10, 30(2%)
minecraft.used.stone_hoe: #10, 158(3%)
minecraft.picked_up.deepslate_lapis_ore: #10, 10(2%)
minecraft.picked_up.feather: #10, 34(2%)
minecraft.mined.spore_blossom: #10, 2(3%)
minecraft.picked_up.smooth_stone_slab: #10, 77(2%)
minecraft.used.dark_oak_planks: #10, 156(2%)
minecraft.picked_up.slime_ball: #10, 349(2%)
minecraft.mined.dark_oak_sapling: #10, 4(3%)
minecraft.crafted.coarse_dirt: #10, 544(2%)
minecraft.used.damaged_anvil: #10, 2(2%)
minecraft.crafted.smoker: #10, 2(2%)
minecraft.picked_up.cobblestone_wall: #10, 26(2%)
minecraft.crafted.moss_carpet: #10, 213(2%)
minecraft.dropped.potion: #10, 10(2%)
minecraft.picked_up.oak_button: #10, 2(3%)
minecraft.used.oak_planks: #10, 574(1%)
minecraft.crafted.stone_pressure_plate: #10, 17(2%)
minecraft.dropped.white_bed: #10, 3(3%)
minecraft.dropped.glow_berries: #10, 3(3%)
minecraft.picked_up.redstone_lamp: #10, 11(2%)
minecraft.picked_up.netherite_leggings: #10, 2(2%)
minecraft.picked_up.crimson_roots: #10, 33(1%)
minecraft.crafted.blast_furnace: #10, 5(1%)
minecraft.picked_up.torch: #11, 4065(5%)
minecraft.crafted.raw_copper: #10, 396(2%)
minecraft.picked_up.chiseled_deepslate: #10, 14(2%)
minecraft.picked_up.netherite_sword: #10, 2(2%)
minecraft.mined.smooth_quartz: #10, 8(2%)
minecraft.crafted.quartz_block: #10, 320(1%)
minecraft.crafted.orange_dye: #10, 64(1%)
minecraft.killed.cod: #10, 15(1%)
minecraft.used.polished_granite: #10, 24(1%)
minecraft.dropped.chicken: #10, 3(1%)
minecraft.mined.cut_copper_stairs: #10, 4(2%)
minecraft.picked_up.cut_copper_stairs: #10, 4(2%)
minecraft.used.black_shulker_box: #10, 10(2%)
minecraft.mined.cobbled_deepslate_stairs: #10, 3(1%)
minecraft.used.quartz_slab: #10, 19(1%)
minecraft.used.purpur_pillar: #10, 5(2%)
minecraft.crafted.stone_brick_wall: #10, 13(1%)
minecraft.crafted.spruce_sign: #10, 24(1%)
minecraft.mined.cobbled_deepslate_slab: #10, 7(1%)
minecraft.picked_up.cod: #10, 86(1%)
minecraft.dropped.spruce_sapling: #10, 6(1%)
minecraft.mined.large_amethyst_bud: #10, 10(1%)
minecraft.mined.bamboo_sapling: #10, 1(1%)
minecraft.mined.wet_sponge: #10, 72(1%)
minecraft.picked_up.wet_sponge: #10, 72(1%)
minecraft.used.netherite_shovel: #10, 8047(1%)
minecraft.picked_up.red_concrete: #10, 93(1%)
minecraft.crafted.sandstone_slab: #10, 18(1%)
minecraft.used.smooth_quartz_slab: #10, 73(1%)
minecraft.used.dark_oak_button: #10, 2(1%)
minecraft.dropped.piston: #10, 1(1%)
minecraft.picked_up.magenta_stained_glass: #10, 1(1%)
minecraft.picked_up.prismarine_bricks: #10, 41(0%)
minecraft.picked_up.smooth_quartz: #10, 8(1%)
minecraft.picked_up.glass_pane: #10, 47(0%)
minecraft.used.cracked_stone_bricks: #10, 20(1%)
minecraft.picked_up.tube_coral: #10, 2(1%)
minecraft.dropped.ladder: #10, 16(0%)
minecraft.picked_up.redstone: #11, 5848(4%)
minecraft.used.netherite_axe: #10, 442(0%)
minecraft.used.cooked_beef: #11, 559(4%)
minecraft.picked_up.stripped_birch_log: #10, 4(0%)
minecraft.picked_up.tube_coral_fan: #10, 2(0%)
minecraft.dropped.deepslate_bricks: #10, 1(0%)
minecraft.used.stripped_birch_log: #10, 3(0%)
minecraft.used.cobblestone: #11, 3587(4%)
minecraft.custom.open_shulker_box: #11, 9283(3%)
minecraft.mined.piston_head: #11, 4(5%)
minecraft.picked_up.moss_carpet: #11, 927(4%)
minecraft.killed.skeleton: #11, 1044(3%)
minecraft.picked_up.spruce_log: #11, 4418(4%)
minecraft.picked_up.oak_sapling: #11, 616(3%)
minecraft.mined.sticky_piston: #11, 40(4%)
minecraft.picked_up.oak_slab: #11, 77(3%)
minecraft.mined.spruce_log: #11, 3449(3%)
minecraft.picked_up.golden_helmet: #11, 10(3%)
minecraft.mined.redstone_wall_torch: #11, 20(4%)
minecraft.used.moss_block: #11, 1857(3%)
minecraft.used.redstone: #11, 674(3%)
minecraft.mined.gold_ore: #11, 311(3%)
minecraft.picked_up.sea_lantern: #11, 65(3%)
minecraft.mined.amethyst_block: #11, 552(3%)
minecraft.picked_up.diamond_chestplate: #11, 4(3%)
minecraft.used.player_head: #11, 29(2%)
minecraft.custom.enchant_item: #11, 68(3%)
minecraft.mined.kelp_plant: #11, 104(3%)
minecraft.crafted.coal_block: #11, 360(3%)
minecraft.picked_up.raw_gold: #11, 478(2%)
minecraft.picked_up.blast_furnace: #11, 5(3%)
minecraft.picked_up.raw_iron: #11, 2766(2%)
minecraft.mined.anvil: #11, 7(2%)
minecraft.used.gravel: #11, 381(2%)
minecraft.mined.nether_gold_ore: #11, 76(2%)
minecraft.picked_up.deepslate_diamond_ore: #11, 28(2%)
minecraft.used.redstone_lamp: #11, 46(2%)
minecraft.crafted.bone_meal: #11, 17945(2%)
minecraft.mined.tall_seagrass: #11, 59(2%)
minecraft.used.basalt: #11, 382(2%)
minecraft.picked_up.scaffolding: #11, 1683(2%)
minecraft.picked_up.wooden_pickaxe: #11, 1(4%)
minecraft.mined.purpur_block: #11, 41(2%)
minecraft.picked_up.spruce_sign: #11, 20(2%)
minecraft.used.poppy: #11, 6(2%)
minecraft.used.sugar_cane: #11, 168(2%)
minecraft.crafted.redstone_lamp: #11, 54(2%)
minecraft.killed.zombie: #11, 461(1%)
minecraft.dropped.stone_axe: #11, 2(2%)
minecraft.crafted.chiseled_deepslate: #11, 6(2%)
minecraft.picked_up.purpur_block: #11, 34(2%)
minecraft.used.smooth_basalt: #11, 79(1%)
minecraft.mined.warped_roots: #11, 33(2%)
minecraft.used.end_rod: #11, 81(1%)
minecraft.dropped.iron_ingot: #11, 106(1%)
minecraft.used.cooked_cod: #11, 15(2%)
minecraft.picked_up.dark_oak_fence: #11, 21(1%)
minecraft.picked_up.netherite_pickaxe: #11, 5(1%)
minecraft.picked_up.crossbow: #11, 3(1%)
minecraft.crafted.raw_iron: #11, 378(2%)
minecraft.crafted.flint_and_steel: #11, 6(1%)
minecraft.mined.bee_nest: #11, 2(2%)
minecraft.dropped.gunpowder: #11, 112(1%)
minecraft.picked_up.bee_nest: #11, 2(2%)
minecraft.used.cobbled_deepslate_slab: #11, 83(1%)
minecraft.crafted.baked_potato: #11, 84(1%)
minecraft.picked_up.netherite_boots: #11, 2(1%)
minecraft.dropped.bone: #11, 266(1%)
minecraft.used.spruce_sign: #11, 29(1%)
minecraft.picked_up.birch_stairs: #11, 3(1%)
minecraft.picked_up.axolotl_bucket: #11, 1(2%)
minecraft.mined.birch_stairs: #11, 3(1%)
minecraft.dropped.stone_bricks: #11, 25(1%)
minecraft.mined.nether_wart_block: #11, 43(1%)
minecraft.picked_up.soul_lantern: #11, 5(1%)
minecraft.used.white_banner: #11, 2(1%)
minecraft.crafted.leather_boots: #11, 3(1%)
minecraft.killed.witch: #11, 5(1%)
minecraft.used.copper_block: #11, 137(1%)
minecraft.dropped.golden_sword: #11, 1(1%)
minecraft.used.cut_copper_stairs: #11, 30(1%)
minecraft.crafted.dark_oak_boat: #11, 1(1%)
minecraft.mined.crimson_stem: #11, 24(0%)
minecraft.used.black_concrete: #11, 116(1%)
minecraft.used.red_concrete_powder: #11, 64(1%)
minecraft.dropped.spruce_fence: #11, 2(1%)
minecraft.dropped.cooked_porkchop: #11, 2(1%)
minecraft.used.chiseled_deepslate: #11, 20(0%)
minecraft.used.andesite_stairs: #11, 6(1%)
minecraft.picked_up.wither_skeleton_skull: #11, 3(0%)
minecraft.used.barrel: #12, 173(4%)
minecraft.dropped.bamboo: #11, 22(0%)
minecraft.picked_up.stripped_dark_oak_log: #11, 15(0%)
minecraft.used.gray_wool: #11, 23(0%)
minecraft.used.big_dripleaf: #11, 9(0%)
minecraft.dropped.cod: #11, 7(0%)
minecraft.mined.light_gray_concrete_powder: #11, 2(0%)
minecraft.used.coal_block: #11, 11(0%)
minecraft.used.glow_lichen: #11, 75(0%)
minecraft.mined.black_shulker_box: #11, 2(0%)
minecraft.picked_up.polished_blackstone_brick_slab: #11, 4(0%)
minecraft.custom.target_hit: #11, 1(0%)
minecraft.picked_up.dark_oak_leaves: #11, 8(0%)
minecraft.mined.stripped_birch_log: #11, 4(0%)
minecraft.crafted.blackstone_slab: #11, 4(0%)
minecraft.used.blackstone_slab: #11, 4(0%)
minecraft.mined.small_amethyst_bud: #11, 2(0%)
minecraft.picked_up.medium_amethyst_bud: #11, 1(0%)
minecraft.mined.sponge: #11, 1(0%)
minecraft.used.raw_iron_block: #11, 1(0%)
minecraft.picked_up.bow: #12, 89(4%)
minecraft.used.diamond_axe: #12, 14049(3%)
minecraft.picked_up.bone: #12, 1567(3%)
minecraft.used.netherrack: #12, 1896(4%)
minecraft.mined.player_head: #12, 13(4%)
minecraft.crafted.comparator: #12, 126(4%)
minecraft.picked_up.leather_leggings: #12, 10(3%)
minecraft.mined.birch_log: #12, 1126(3%)
minecraft.killed.spider: #12, 80(3%)
minecraft.mined.barrel: #12, 46(3%)
minecraft.killed.cow: #12, 215(3%)
minecraft.mined.calcite: #12, 1040(3%)
minecraft.picked_up.coal: #12, 5303(3%)
minecraft.mined.deepslate_gold_ore: #12, 94(3%)
minecraft.picked_up.diamond_ore: #12, 63(3%)
