stat, rank, value, (percentage) 
minecraft.dropped.bow: #2, 408(21%)
minecraft.crafted.dark_oak_fence_gate: #1, 208(29%)
minecraft.crafted.comparator: #1, 662(20%)
minecraft.dropped.iron_leggings: #1, 22(25%)
minecraft.dropped.emerald_block: #1, 275(75%)
minecraft.picked_up.blackstone_slab: #1, 212(45%)
minecraft.dropped.firework_rocket: #1, 2397(21%)
minecraft.picked_up.white_dye: #2, 503(26%)
minecraft.dropped.wheat_seeds: #2, 16776(21%)
minecraft.killed.skeleton: #1, 5221(17%)
minecraft.crafted.diamond_leggings: #1, 13(19%)
minecraft.crafted.player_head: #1, 686(26%)
minecraft.mined.cartography_table: #1, 67(44%)
minecraft.used.diamond_helmet: #1, 19(34%)
minecraft.dropped.cobbled_deepslate_slab: #1, 65(49%)
minecraft.used.bricks: #1, 2260(34%)
minecraft.dropped.emerald: #2, 1700(36%)
minecraft.dropped.arrow: #2, 14389(21%)
minecraft.dropped.stone_hoe: #1, 12(36%)
minecraft.dropped.diamond_axe: #1, 30(23%)
minecraft.mined.spruce_button: #1, 20(29%)
minecraft.dropped.glowstone: #1, 324(62%)
minecraft.picked_up.iron_bars: #1, 430(18%)
minecraft.picked_up.crimson_slab: #1, 79(61%)
minecraft.crafted.diamond_helmet: #1, 14(18%)
minecraft.used.candle: #1, 281(27%)
minecraft.dropped.dark_oak_boat: #1, 51(60%)
minecraft.dropped.torch: #1, 950(17%)
minecraft.dropped.orange_bed: #1, 31(84%)
minecraft.mined.oak_sign: #1, 31(21%)
minecraft.picked_up.cyan_terracotta: #1, 991(25%)
minecraft.dropped.anvil: #1, 90(83%)
minecraft.crafted.diamond_sword: #1, 16(17%)
minecraft.picked_up.smooth_quartz: #1, 475(30%)
minecraft.picked_up.lantern: #2, 729(22%)
minecraft.crafted.diamond_boots: #1, 14(15%)
minecraft.picked_up.dark_oak_stairs: #1, 198(20%)
minecraft.crafted.diamond_hoe: #1, 13(21%)
minecraft.dropped.gold_block: #1, 160(82%)
minecraft.picked_up.emerald_block: #2, 1651(43%)
minecraft.picked_up.dark_oak_planks: #1, 982(19%)
minecraft.used.black_concrete_powder: #2, 10854(27%)
minecraft.picked_up.blackstone_stairs: #1, 61(58%)
minecraft.dropped.cooked_beef: #1, 313(21%)
minecraft.crafted.lapis_lazuli: #1, 2005(18%)
minecraft.used.dark_oak_fence_gate: #1, 148(25%)
minecraft.used.cartography_table: #1, 85(40%)
minecraft.used.jungle_wood: #1, 256(50%)
minecraft.dropped.iron_block: #2, 1674(29%)
minecraft.dropped.deepslate_tiles: #1, 142(40%)
minecraft.dropped.spruce_fence: #1, 84(31%)
minecraft.dropped.string: #2, 1008(20%)
minecraft.custom.fall_one_cm: #1, 10794722(9%)
minecraft.crafted.redstone_torch: #1, 4170(15%)
minecraft.mined.blue_wool: #1, 61(79%)
minecraft.mined.dark_oak_planks: #1, 313(19%)
minecraft.dropped.diamond_sword: #1, 22(16%)
minecraft.custom.play_noteblock: #1, 363(28%)
minecraft.used.smooth_quartz_stairs: #1, 1656(36%)
minecraft.mined.light_gray_stained_glass_pane: #1, 157(49%)
minecraft.killed.villager: #1, 36(49%)
minecraft.used.cobbled_deepslate: #2, 5236(18%)
minecraft.crafted.diamond_block: #1, 300(16%)
minecraft.crafted.blackstone_stairs: #1, 88(35%)
minecraft.mined.stripped_birch_wood: #1, 101(55%)
minecraft.mined.birch_fence: #1, 134(27%)
minecraft.picked_up.oak_wood: #1, 371(23%)
minecraft.crafted.diamond_pickaxe: #1, 40(15%)
minecraft.picked_up.stripped_birch_wood: #1, 99(48%)
minecraft.used.crimson_planks: #1, 463(55%)
minecraft.picked_up.oak_planks: #2, 2843(19%)
minecraft.picked_up.poisonous_potato: #2, 100(24%)
minecraft.picked_up.oak_button: #1, 20(27%)
minecraft.custom.fly_one_cm: #1, 91270338(7%)
minecraft.crafted.light_gray_stained_glass_pane: #1, 1146(38%)
minecraft.crafted.brewing_stand: #1, 30(20%)
minecraft.used.ender_eye: #1, 27(75%)
minecraft.mined.rail: #1, 2100(14%)
minecraft.crafted.orange_bed: #1, 35(74%)
minecraft.dropped.red_tulip: #1, 61(74%)
minecraft.picked_up.quartz_slab: #1, 136(25%)
minecraft.dropped.chainmail_helmet: #1, 26(34%)
minecraft.used.player_head: #2, 201(17%)
minecraft.crafted.jungle_wood: #1, 360(45%)
minecraft.crafted.black_concrete_powder: #2, 10826(26%)
minecraft.picked_up.spruce_button: #2, 78(26%)
minecraft.picked_up.orange_wool: #2, 525(38%)
minecraft.crafted.quartz_pillar: #1, 740(45%)
minecraft.picked_up.magenta_dye: #1, 262(51%)
minecraft.mined.gray_wool: #2, 76(31%)
minecraft.dropped.crafting_table: #2, 23(20%)
minecraft.custom.interact_with_anvil: #1, 576(12%)
minecraft.picked_up.potato: #3, 15647(20%)
minecraft.dropped.glow_berries: #1, 33(29%)
minecraft.used.tnt: #2, 2013(23%)
minecraft.used.light_blue_terracotta: #1, 423(50%)
minecraft.mined.wither_skeleton_skull: #1, 25(69%)
minecraft.killed.goat: #1, 51(43%)
