stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #23, 411270(0%)
minecraft.custom.time_since_death: #32, 411270(0%)
minecraft.custom.walk_under_water_one_cm: #33, 128446(0%)
minecraft.custom.walk_on_water_one_cm: #33, 77371(0%)
minecraft.custom.fall_one_cm: #35, 858(0%)
minecraft.custom.sprint_one_cm: #37, 287(0%)
minecraft.custom.damage_taken: #38, 60(0%)
minecraft.custom.jump: #39, 3(0%)
minecraft.custom.walk_one_cm: #40, 655(0%)
minecraft.custom.fly_one_cm: #41, 6409424(0%)
minecraft.custom.sneak_time: #41, 12241(0%)
minecraft.custom.leave_game: #47, 34(0%)
minecraft.custom.play_time: #49, 411270(0%)
minecraft.custom.total_world_time: #49, 411270(0%)
