stat, rank, value, (percentage) 
minecraft.mined.oak_slab: #18, 9(1%)
minecraft.picked_up.rail: #18, 109(1%)
minecraft.crafted.raw_iron_block: #18, 18(0%)
minecraft.used.polished_granite: #18, 1(0%)
minecraft.mined.deepslate_iron_ore: #19, 161(2%)
minecraft.picked_up.cobblestone: #19, 11479(1%)
minecraft.mined.tuff: #19, 369(1%)
minecraft.picked_up.iron_sword: #19, 2(1%)
minecraft.picked_up.tuff: #19, 366(1%)
minecraft.used.oak_sapling: #19, 67(1%)
minecraft.crafted.redstone_torch: #19, 192(1%)
minecraft.used.granite: #19, 128(1%)
minecraft.mined.oak_trapdoor: #19, 6(0%)
minecraft.used.birch_boat: #19, 1(0%)
minecraft.used.apple: #19, 1(0%)
minecraft.killed.pig: #19, 1(0%)
minecraft.crafted.torch: #20, 2556(2%)
minecraft.picked_up.cobbled_deepslate: #20, 4029(1%)
minecraft.picked_up.oak_sapling: #20, 211(1%)
minecraft.broken.iron_axe: #20, 1(1%)
minecraft.mined.repeater: #20, 14(1%)
minecraft.used.iron_axe: #20, 250(1%)
minecraft.crafted.diamond: #20, 54(1%)
minecraft.crafted.oak_trapdoor: #20, 16(0%)
minecraft.picked_up.iron_bars: #20, 10(0%)
minecraft.crafted.flint_and_steel: #20, 2(0%)
minecraft.mined.clay: #20, 21(0%)
minecraft.mined.magma_block: #20, 39(0%)
minecraft.picked_up.stripped_oak_log: #20, 1(0%)
minecraft.used.ladder: #21, 56(1%)
minecraft.mined.deepslate_diamond_ore: #21, 30(1%)
minecraft.used.redstone: #21, 272(1%)
minecraft.dropped.crafting_table: #21, 1(1%)
minecraft.used.brewing_stand: #21, 2(1%)
minecraft.used.flint_and_steel: #21, 31(1%)
minecraft.picked_up.flint: #21, 41(0%)
minecraft.mined.cobblestone_stairs: #21, 2(0%)
minecraft.used.rail: #21, 81(0%)
minecraft.crafted.iron_sword: #21, 1(0%)
minecraft.used.oak_trapdoor: #21, 12(0%)
minecraft.picked_up.cobblestone_stairs: #21, 2(0%)
minecraft.killed.phantom: #21, 2(0%)
minecraft.mined.powered_rail: #21, 6(0%)
minecraft.mined.stripped_oak_log: #21, 1(0%)
minecraft.picked_up.coal: #22, 3059(2%)
minecraft.mined.lapis_ore: #22, 52(1%)
minecraft.picked_up.raw_iron: #22, 1268(1%)
minecraft.picked_up.raw_copper: #22, 863(1%)
minecraft.used.cobbled_deepslate: #22, 182(1%)
minecraft.dropped.iron_sword: #22, 1(1%)
minecraft.picked_up.ladder: #22, 30(0%)
minecraft.picked_up.apple: #22, 22(0%)
minecraft.picked_up.oak_slab: #22, 8(0%)
minecraft.custom.inspect_hopper: #22, 61(0%)
minecraft.mined.dirt_path: #22, 20(0%)
minecraft.mined.oak_sapling: #22, 1(0%)
minecraft.used.iron_sword: #22, 29(0%)
minecraft.used.oak_planks: #22, 46(0%)
minecraft.used.powered_rail: #22, 12(0%)
minecraft.dropped.carrot: #22, 1(0%)
minecraft.crafted.diamond_helmet: #23, 1(1%)
minecraft.picked_up.water_bucket: #23, 3(1%)
minecraft.crafted.oak_planks: #23, 820(0%)
minecraft.crafted.oak_slab: #23, 36(0%)
minecraft.dropped.oak_planks: #23, 4(0%)
minecraft.picked_up.golden_carrot: #23, 50(0%)
minecraft.dropped.flint: #23, 6(0%)
minecraft.mined.rail: #23, 28(0%)
minecraft.crafted.copper_block: #23, 53(0%)
minecraft.dropped.stick: #23, 24(0%)
minecraft.crafted.birch_planks: #23, 100(0%)
minecraft.dropped.tuff: #23, 2(0%)
minecraft.dropped.gravel: #23, 18(0%)
minecraft.picked_up.magma_block: #23, 19(0%)
minecraft.mined.glass: #23, 9(0%)
minecraft.crafted.gold_ingot: #23, 140(0%)
minecraft.picked_up.porkchop: #23, 1(0%)
minecraft.picked_up.cod: #23, 4(0%)
minecraft.mined.sandstone: #23, 7(0%)
minecraft.dropped.poppy: #23, 2(0%)
minecraft.killed.drowned: #23, 2(0%)
minecraft.crafted.air: #23, 0(0%)
minecraft.custom.walk_on_water_one_cm: #24, 577063(1%)
minecraft.mined.deepslate: #24, 4043(1%)
minecraft.crafted.diamond_sword: #24, 1(1%)
minecraft.crafted.diamond_axe: #24, 1(1%)
minecraft.used.water_bucket: #24, 157(1%)
minecraft.mined.oak_log: #24, 459(1%)
minecraft.custom.climb_one_cm: #24, 252200(1%)
minecraft.picked_up.oak_log: #24, 457(1%)
minecraft.mined.oak_leaves: #24, 630(1%)
minecraft.picked_up.phantom_membrane: #24, 4(0%)
minecraft.crafted.minecart: #24, 3(0%)
minecraft.dropped.cobblestone: #24, 166(0%)
minecraft.used.iron_bars: #24, 10(0%)
minecraft.mined.tall_seagrass: #24, 5(0%)
minecraft.used.minecart: #24, 2(0%)
minecraft.custom.interact_with_brewingstand: #24, 6(0%)
minecraft.crafted.bow: #24, 2(0%)
minecraft.mined.shroomlight: #24, 3(0%)
minecraft.used.glass: #24, 35(0%)
minecraft.picked_up.birch_log: #24, 37(0%)
minecraft.used.golden_carrot: #24, 32(0%)
minecraft.mined.birch_log: #24, 25(0%)
minecraft.picked_up.shroomlight: #24, 3(0%)
minecraft.picked_up.carved_pumpkin: #24, 2(0%)
minecraft.mined.seagrass: #24, 2(0%)
minecraft.picked_up.sandstone: #24, 7(0%)
minecraft.used.sandstone: #24, 1(0%)
minecraft.used.torch: #25, 1940(1%)
minecraft.mined.coal_ore: #25, 1294(1%)
minecraft.mined.wall_torch: #25, 77(1%)
minecraft.mined.gold_ore: #25, 109(1%)
minecraft.mined.iron_ore: #25, 549(1%)
minecraft.used.dirt: #25, 1899(1%)
minecraft.crafted.ladder: #25, 54(1%)
minecraft.dropped.diamond_pickaxe: #25, 1(1%)
minecraft.custom.deaths: #25, 4(0%)
minecraft.picked_up.stick: #25, 227(0%)
minecraft.crafted.diamond_pickaxe: #25, 1(0%)
minecraft.mined.copper_ore: #25, 119(0%)
minecraft.used.bucket: #25, 158(0%)
minecraft.mined.redstone_wire: #25, 19(0%)
minecraft.custom.interact_with_lectern: #25, 5(0%)
minecraft.crafted.stick: #25, 988(0%)
minecraft.mined.grass_block: #25, 1404(0%)
minecraft.crafted.iron_axe: #25, 1(0%)
minecraft.killed.spider: #25, 6(0%)
minecraft.crafted.white_bed: #25, 1(0%)
minecraft.used.lever: #25, 5(0%)
minecraft.mined.lever: #25, 1(0%)
minecraft.crafted.copper_ingot: #25, 61(0%)
minecraft.picked_up.spider_eye: #25, 7(0%)
minecraft.dropped.sand: #25, 11(0%)
minecraft.mined.sand: #25, 650(0%)
minecraft.picked_up.sand: #25, 713(0%)
minecraft.used.redstone_block: #25, 3(0%)
minecraft.mined.shulker_box: #25, 23(0%)
minecraft.picked_up.shulker_box: #25, 23(0%)
minecraft.used.shulker_box: #25, 22(0%)
minecraft.crafted.iron_block: #25, 63(0%)
minecraft.picked_up.minecart: #25, 1(0%)
minecraft.picked_up.poppy: #25, 6(0%)
minecraft.used.bow: #25, 23(0%)
minecraft.killed.creeper: #25, 3(0%)
minecraft.mined.farmland: #25, 1(0%)
minecraft.picked_up.white_wool: #25, 5(0%)
