stat, rank, value, (percentage) 
minecraft.picked_up.polished_blackstone_button: #2, 193(18%)
minecraft.used.waxed_exposed_cut_copper_stairs: #1, 179(92%)
minecraft.crafted.golden_leggings: #1, 11(39%)
minecraft.mined.andesite_slab: #2, 113(23%)
minecraft.picked_up.dark_oak_slab: #2, 393(18%)
minecraft.picked_up.crimson_stairs: #1, 46(34%)
minecraft.mined.dark_oak_log: #2, 9003(15%)
minecraft.used.gray_candle: #1, 20(67%)
minecraft.mined.yellow_stained_glass_pane: #1, 29(44%)
minecraft.picked_up.dark_oak_log: #2, 10372(14%)
minecraft.used.trident: #2, 1818(33%)
minecraft.picked_up.brick: #1, 193(20%)
minecraft.picked_up.birch_sign: #2, 132(14%)
minecraft.used.sandstone: #3, 5359(19%)
minecraft.crafted.light_blue_bed: #1, 42(84%)
minecraft.used.blue_terracotta: #1, 380(28%)
minecraft.used.tinted_glass: #2, 2606(17%)
minecraft.used.stone_pickaxe: #2, 1501(13%)
minecraft.mined.dark_oak_fence: #2, 152(18%)
minecraft.mined.birch_wall_sign: #2, 59(15%)
minecraft.picked_up.dark_oak_stairs: #2, 161(16%)
minecraft.picked_up.stone_axe: #1, 7(16%)
minecraft.used.brown_mushroom_block: #2, 2799(33%)
minecraft.used.light_blue_carpet: #1, 55(58%)
minecraft.used.cut_sandstone: #2, 1283(37%)
minecraft.picked_up.oak_fence: #2, 463(13%)
minecraft.crafted.polished_blackstone_button: #2, 948(24%)
minecraft.mined.birch_log: #2, 4469(13%)
minecraft.mined.dark_oak_wall_sign: #2, 73(15%)
minecraft.crafted.bread: #2, 2005(15%)
minecraft.mined.oak_fence: #2, 364(13%)
minecraft.picked_up.enchanting_table: #1, 5(15%)
minecraft.mined.tripwire_hook: #1, 8(24%)
minecraft.used.oak_log: #2, 1968(13%)
minecraft.picked_up.stripped_birch_wood: #2, 82(40%)
minecraft.used.yellow_stained_glass_pane: #1, 60(43%)
minecraft.used.light_blue_glazed_terracotta: #1, 505(71%)
minecraft.used.oak_sign: #2, 229(12%)
minecraft.mined.birch_sign: #2, 20(18%)
minecraft.picked_up.light_blue_glazed_terracotta: #1, 508(69%)
minecraft.crafted.yellow_stained_glass_pane: #1, 128(50%)
minecraft.mined.light_blue_glazed_terracotta: #1, 451(67%)
minecraft.picked_up.amethyst_shard: #2, 6047(14%)
minecraft.picked_up.stripped_oak_wood: #2, 210(19%)
minecraft.mined.stripped_oak_wood: #2, 215(19%)
minecraft.used.iron_pickaxe: #2, 13650(12%)
minecraft.picked_up.dark_oak_planks: #2, 687(13%)
minecraft.used.red_candle: #1, 28(23%)
minecraft.picked_up.brown_mushroom_block: #2, 2611(20%)
minecraft.picked_up.stripped_oak_log: #2, 1481(14%)
minecraft.picked_up.dandelion: #2, 265(11%)
minecraft.custom.open_barrel: #2, 6112(9%)
minecraft.crafted.dark_oak_stairs: #2, 716(14%)
minecraft.crafted.deepslate: #2, 239(24%)
minecraft.crafted.stone_pickaxe: #3, 25(15%)
minecraft.used.dark_oak_stairs: #2, 624(14%)
minecraft.mined.sandstone_stairs: #2, 232(33%)
minecraft.custom.sleep_in_bed: #2, 1533(10%)
minecraft.used.beetroot_soup: #1, 4(80%)
minecraft.crafted.beetroot_soup: #1, 4(80%)
minecraft.used.spore_blossom: #2, 52(14%)
minecraft.picked_up.acacia_slab: #2, 253(23%)
minecraft.picked_up.light_blue_carpet: #1, 19(50%)
minecraft.mined.potted_allium: #1, 3(75%)
minecraft.mined.blue_stained_glass: #1, 12(50%)
minecraft.mined.polished_blackstone_button: #2, 42(16%)
minecraft.picked_up.dripstone_block: #3, 2517(15%)
minecraft.used.acacia_planks: #2, 699(21%)
minecraft.crafted.blue_terracotta: #2, 592(22%)
minecraft.dropped.sandstone: #3, 705(17%)
minecraft.used.mossy_cobblestone: #2, 609(14%)
minecraft.mined.dark_oak_fence_gate: #2, 19(16%)
minecraft.broken.golden_boots: #1, 2(33%)
minecraft.crafted.bowl: #1, 8(33%)
minecraft.picked_up.spruce_door: #2, 47(13%)
minecraft.used.snowball: #2, 495(12%)
minecraft.crafted.stripped_birch_wood: #1, 72(44%)
minecraft.used.spruce_door: #2, 59(11%)
minecraft.dropped.cornflower: #2, 25(25%)
minecraft.mined.cactus: #3, 617(14%)
minecraft.picked_up.tinted_glass: #3, 551(15%)
minecraft.mined.stripped_birch_wood: #2, 58(32%)
minecraft.dropped.raw_gold_block: #1, 6(60%)
minecraft.mined.cave_vines: #2, 60(10%)
minecraft.used.stone_sword: #2, 122(13%)
minecraft.crafted.armor_stand: #2, 118(11%)
minecraft.used.oak_sapling: #3, 1095(12%)
minecraft.used.potion: #3, 101(13%)
minecraft.crafted.spruce_door: #2, 45(10%)
minecraft.picked_up.sandstone_stairs: #2, 253(26%)
minecraft.picked_up.oak_door: #2, 11(12%)
minecraft.mined.sandstone: #3, 14772(12%)
minecraft.mined.potted_pink_tulip: #1, 1(100%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #1, 227(100%)
minecraft.mined.potted_orange_tulip: #1, 1(100%)
minecraft.mined.potted_azure_bluet: #1, 1(25%)
minecraft.used.leather_leggings: #1, 1(25%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #1, 273(100%)
minecraft.picked_up.wooden_hoe: #1, 1(100%)
minecraft.crafted.cooked_rabbit: #1, 2(100%)
minecraft.broken.stone_axe: #2, 4(12%)
minecraft.mined.blue_candle: #2, 9(28%)
minecraft.picked_up.cobweb: #2, 266(12%)
minecraft.used.stripped_oak_wood: #2, 309(21%)
minecraft.used.azure_bluet: #2, 23(17%)
minecraft.crafted.light_blue_carpet: #2, 36(38%)
minecraft.used.pink_tulip: #2, 25(31%)
minecraft.picked_up.sandstone_slab: #2, 66(12%)
minecraft.picked_up.birch_log: #3, 4583(11%)
minecraft.broken.stone_pickaxe: #2, 8(12%)
minecraft.mined.cut_copper_stairs: #2, 36(17%)
