stat, rank, value, (percentage) 
minecraft.mined.enchanting_table: #5, 3(10%)
minecraft.crafted.white_banner: #4, 8(4%)
minecraft.used.cartography_table: #4, 9(4%)
minecraft.custom.interact_with_blast_furnace: #5, 193(6%)
minecraft.picked_up.birch_planks: #5, 192(6%)
minecraft.used.white_banner: #5, 19(9%)
minecraft.dropped.lily_of_the_valley: #4, 1(8%)
minecraft.picked_up.sea_pickle: #4, 373(2%)
minecraft.dropped.stone_brick_slab: #4, 37(3%)
minecraft.mined.warped_stairs: #4, 17(4%)
minecraft.mined.medium_amethyst_bud: #4, 51(3%)
minecraft.used.chiseled_deepslate: #4, 79(2%)
minecraft.mined.birch_sapling: #5, 14(8%)
minecraft.crafted.dripstone_block: #4, 1636(3%)
minecraft.crafted.mossy_cobblestone: #5, 585(9%)
minecraft.picked_up.medium_amethyst_bud: #4, 47(3%)
minecraft.used.prismarine_bricks: #4, 70(2%)
minecraft.used.white_bed: #5, 121(5%)
minecraft.custom.pot_flower: #5, 34(6%)
minecraft.picked_up.warped_stairs: #4, 17(3%)
minecraft.used.ancient_debris: #4, 2(4%)
minecraft.dropped.trident: #4, 1(4%)
minecraft.dropped.end_rod: #5, 56(10%)
minecraft.mined.mushroom_stem: #5, 272(7%)
minecraft.crafted.cyan_bed: #4, 1(4%)
minecraft.picked_up.warped_stem: #5, 710(6%)
minecraft.used.iron_hoe: #5, 349(6%)
minecraft.mined.dark_oak_door: #5, 6(12%)
minecraft.picked_up.small_amethyst_bud: #4, 54(2%)
minecraft.used.chorus_fruit: #4, 1(5%)
minecraft.mined.small_amethyst_bud: #4, 55(1%)
minecraft.dropped.blue_candle: #4, 1(4%)
minecraft.picked_up.popped_chorus_fruit: #4, 31(2%)
minecraft.mined.attached_pumpkin_stem: #4, 4(2%)
minecraft.dropped.spore_blossom: #4, 1(2%)
minecraft.used.nether_gold_ore: #4, 1(2%)
minecraft.used.acacia_slab: #5, 344(10%)
minecraft.picked_up.small_dripleaf: #4, 2(1%)
minecraft.mined.smithing_table: #5, 9(8%)
minecraft.dropped.red_tulip: #4, 1(1%)
minecraft.crafted.dark_oak_door: #5, 18(8%)
minecraft.used.chiseled_sandstone: #4, 1(1%)
minecraft.picked_up.lightning_rod: #5, 45(5%)
minecraft.mined.scaffolding: #6, 3276(8%)
minecraft.used.birch_stairs: #5, 67(6%)
minecraft.picked_up.beetroot_seeds: #5, 334(4%)
minecraft.picked_up.ladder: #5, 238(4%)
minecraft.used.chorus_flower: #5, 9(11%)
minecraft.used.pumpkin: #6, 230(9%)
minecraft.used.cooked_beef: #6, 1029(8%)
minecraft.used.oak_wood: #5, 390(6%)
minecraft.used.stone_shovel: #5, 770(4%)
minecraft.picked_up.golden_apple: #5, 14(5%)
minecraft.crafted.spyglass: #5, 2(7%)
minecraft.used.pumpkin_seeds: #5, 89(5%)
minecraft.used.crimson_stairs: #5, 47(9%)
minecraft.mined.andesite_stairs: #5, 9(7%)
minecraft.used.birch_wood: #5, 82(6%)
minecraft.mined.tuff: #6, 2551(7%)
minecraft.broken.iron_helmet: #5, 1(8%)
minecraft.picked_up.candle: #5, 46(5%)
minecraft.killed_by.spider: #5, 1(12%)
minecraft.broken.golden_helmet: #5, 1(12%)
minecraft.crafted.mossy_cobblestone_slab: #5, 106(7%)
minecraft.picked_up.crimson_nylium: #5, 82(4%)
minecraft.picked_up.amethyst_cluster: #5, 244(4%)
minecraft.used.peony: #5, 4(5%)
minecraft.used.iron_boots: #5, 1(6%)
minecraft.mined.chiseled_sandstone: #5, 1(8%)
minecraft.picked_up.chiseled_sandstone: #5, 1(8%)
minecraft.picked_up.dirt: #6, 33025(6%)
minecraft.used.diamond_chestplate: #5, 1(6%)
minecraft.mined.spruce_stairs: #6, 127(7%)
minecraft.used.netherite_hoe: #5, 4734(9%)
minecraft.picked_up.weathered_copper: #5, 34(4%)
minecraft.crafted.diorite_wall: #5, 12(8%)
minecraft.crafted.cobbled_deepslate_wall: #5, 48(5%)
minecraft.crafted.iron_sword: #5, 8(3%)
minecraft.dropped.iron_hoe: #5, 1(8%)
minecraft.used.andesite_slab: #5, 230(3%)
minecraft.used.white_candle: #5, 24(9%)
minecraft.crafted.blue_shulker_box: #5, 1(7%)
minecraft.crafted.warped_stairs: #5, 148(5%)
minecraft.picked_up.tuff: #6, 2468(6%)
minecraft.mined.orange_terracotta: #5, 425(3%)
minecraft.crafted.light_blue_concrete_powder: #5, 112(6%)
minecraft.used.lantern: #6, 278(7%)
minecraft.mined.shroomlight: #6, 170(6%)
minecraft.mined.redstone_torch: #6, 35(6%)
minecraft.picked_up.diamond_pickaxe: #6, 52(6%)
minecraft.picked_up.orange_terracotta: #5, 437(3%)
minecraft.dropped.netherite_helmet: #5, 1(6%)
minecraft.dropped.melon_seeds: #5, 4(8%)
minecraft.used.smithing_table: #5, 28(2%)
minecraft.dropped.iron_trapdoor: #5, 4(5%)
minecraft.crafted.smithing_table: #5, 26(2%)
minecraft.crafted.light_gray_shulker_box: #5, 1(7%)
minecraft.mined.lilac: #6, 13(6%)
minecraft.picked_up.beef: #6, 814(5%)
minecraft.used.moss_carpet: #6, 1031(6%)
minecraft.used.tripwire_hook: #5, 8(3%)
minecraft.mined.spruce_wall_sign: #6, 19(6%)
minecraft.picked_up.purple_candle: #5, 2(7%)
minecraft.picked_up.honeycomb: #5, 495(2%)
minecraft.dropped.allium: #5, 9(6%)
minecraft.used.polished_blackstone_bricks: #5, 308(3%)
minecraft.mined.cut_sandstone_slab: #5, 15(3%)
minecraft.used.bone_meal: #6, 6712(5%)
minecraft.used.diamond_shovel: #6, 62263(5%)
minecraft.crafted.diamond_sword: #6, 5(5%)
minecraft.crafted.white_wool: #5, 357(2%)
minecraft.picked_up.experience_bottle: #5, 64(4%)
minecraft.mined.detector_rail: #5, 1(4%)
minecraft.picked_up.dark_oak_leaves: #5, 96(2%)
minecraft.picked_up.diamond_sword: #6, 28(5%)
minecraft.picked_up.polished_blackstone_brick_stairs: #5, 11(2%)
minecraft.crafted.moss_carpet: #6, 699(6%)
minecraft.dropped.hay_block: #5, 8(4%)
minecraft.used.birch_trapdoor: #5, 51(2%)
minecraft.crafted.smooth_sandstone_slab: #5, 36(2%)
minecraft.crafted.polished_blackstone_brick_slab: #5, 34(2%)
minecraft.crafted.dark_oak_fence_gate: #6, 56(8%)
minecraft.picked_up.brown_mushroom: #6, 172(5%)
minecraft.picked_up.brick_stairs: #5, 2(3%)
minecraft.mined.cartography_table: #5, 3(2%)
minecraft.crafted.oxidized_cut_copper_stairs: #5, 17(3%)
minecraft.mined.mossy_cobblestone: #6, 143(6%)
minecraft.picked_up.iron_sword: #6, 9(5%)
minecraft.used.cookie: #5, 5(2%)
minecraft.dropped.dark_oak_planks: #6, 79(6%)
minecraft.picked_up.light_blue_dye: #5, 3(1%)
minecraft.picked_up.black_candle: #5, 4(1%)
minecraft.picked_up.cookie: #5, 18(1%)
minecraft.dropped.dark_oak_button: #5, 1(1%)
minecraft.mined.birch_wood: #5, 3(1%)
minecraft.crafted.brick_slab: #5, 6(1%)
minecraft.picked_up.birch_wood: #5, 3(1%)
minecraft.picked_up.dark_oak_fence_gate: #6, 19(7%)
minecraft.crafted.ender_chest: #6, 13(5%)
minecraft.mined.pumpkin: #6, 209(5%)
minecraft.custom.sprint_one_cm: #7, 67840961(5%)
minecraft.crafted.brown_stained_glass: #5, 64(1%)
minecraft.picked_up.sunflower: #6, 223(5%)
minecraft.mined.birch_stairs: #6, 17(6%)
minecraft.picked_up.light_blue_wool: #6, 150(7%)
minecraft.used.dark_oak_leaves: #5, 13(0%)
minecraft.picked_up.cactus: #6, 872(4%)
minecraft.mined.birch_slab: #6, 36(5%)
minecraft.used.rose_bush: #6, 8(5%)
minecraft.used.lapis_ore: #6, 38(6%)
minecraft.crafted.acacia_slab: #6, 330(7%)
minecraft.picked_up.iron_shovel: #6, 8(4%)
minecraft.mined.gold_block: #6, 78(5%)
minecraft.picked_up.mushroom_stem: #6, 226(6%)
minecraft.crafted.leather_boots: #6, 19(8%)
minecraft.used.calcite: #7, 1154(9%)
minecraft.picked_up.spyglass: #6, 4(5%)
minecraft.mined.bamboo: #6, 297(4%)
minecraft.picked_up.birch_slab: #6, 37(4%)
minecraft.used.glass_pane: #6, 112(6%)
minecraft.killed.slime: #6, 314(3%)
minecraft.used.beetroot_seeds: #6, 171(9%)
minecraft.picked_up.white_banner: #6, 15(3%)
minecraft.mined.deepslate_brick_wall: #6, 8(6%)
minecraft.mined.acacia_trapdoor: #6, 35(6%)
minecraft.crafted.golden_helmet: #6, 2(5%)
minecraft.dropped.carved_pumpkin: #6, 29(3%)
minecraft.dropped.spruce_sapling: #6, 32(4%)
minecraft.used.deepslate_redstone_ore: #6, 56(4%)
minecraft.mined.waxed_copper_block: #6, 9(7%)
minecraft.mined.jack_o_lantern: #6, 23(5%)
minecraft.picked_up.chorus_flower: #6, 10(5%)
minecraft.picked_up.torch: #7, 5266(6%)
minecraft.used.stripped_dark_oak_log: #6, 83(4%)
minecraft.picked_up.written_book: #6, 5(3%)
minecraft.picked_up.cooked_cod: #6, 17(4%)
minecraft.picked_up.hanging_roots: #6, 102(4%)
minecraft.used.honeycomb: #6, 218(4%)
minecraft.custom.damage_taken: #7, 199856(4%)
minecraft.crafted.dark_oak_button: #6, 14(3%)
minecraft.mined.smooth_sandstone_slab: #6, 38(3%)
minecraft.dropped.spyglass: #6, 1(5%)
minecraft.picked_up.raw_gold_block: #6, 5(5%)
minecraft.dropped.torch: #7, 331(6%)
minecraft.picked_up.detector_rail: #6, 3(4%)
minecraft.used.cocoa_beans: #6, 152(3%)
minecraft.used.flower_pot: #7, 59(6%)
minecraft.mined.gray_stained_glass_pane: #6, 6(4%)
minecraft.custom.damage_resisted: #6, 321(3%)
minecraft.custom.jump: #8, 260507(6%)
minecraft.dropped.spruce_sign: #6, 6(3%)
minecraft.dropped.white_terracotta: #6, 20(5%)
minecraft.used.oxidized_cut_copper: #6, 49(4%)
minecraft.used.lime_shulker_box: #6, 92(2%)
minecraft.used.mossy_cobblestone_slab: #6, 68(4%)
minecraft.used.dark_oak_pressure_plate: #6, 3(4%)
minecraft.mined.pumpkin_stem: #6, 18(3%)
minecraft.picked_up.fishing_rod: #6, 2(5%)
minecraft.mined.crimson_stairs: #6, 3(4%)
minecraft.mined.warped_wall_sign: #6, 4(4%)
minecraft.used.smooth_sandstone_stairs: #7, 732(7%)
minecraft.mined.oxidized_cut_copper_stairs: #6, 34(4%)
minecraft.crafted.crafting_table: #7, 72(5%)
minecraft.crafted.leather_helmet: #6, 3(4%)
minecraft.mined.tripwire: #6, 33(1%)
minecraft.mined.sea_pickle: #6, 27(2%)
minecraft.mined.brick_slab: #6, 2(4%)
minecraft.picked_up.warped_fungus: #7, 55(7%)
minecraft.picked_up.baked_potato: #7, 627(5%)
minecraft.picked_up.netherite_helmet: #6, 2(2%)
minecraft.mined.oxidized_cut_copper: #6, 5(3%)
minecraft.used.warped_stairs: #6, 65(2%)
minecraft.used.netherite_helmet: #6, 1(4%)
minecraft.mined.brick_stairs: #6, 2(3%)
minecraft.crafted.warped_fence_gate: #6, 8(2%)
minecraft.picked_up.brick_slab: #6, 2(3%)
minecraft.dropped.flower_pot: #6, 2(3%)
minecraft.picked_up.spruce_leaves: #6, 1008(1%)
minecraft.picked_up.beehive: #6, 11(1%)
minecraft.picked_up.cartography_table: #6, 3(2%)
minecraft.picked_up.red_mushroom: #7, 84(6%)
minecraft.mined.amethyst_block: #7, 949(5%)
minecraft.used.leather_boots: #6, 1(2%)
minecraft.picked_up.dark_oak_trapdoor: #7, 55(5%)
minecraft.picked_up.diamond_shovel: #7, 26(5%)
minecraft.crafted.brick_stairs: #6, 4(2%)
minecraft.picked_up.spruce_sign: #7, 60(5%)
minecraft.crafted.oxidized_cut_copper: #6, 24(2%)
minecraft.picked_up.writable_book: #7, 8(5%)
minecraft.used.oxidized_cut_copper_stairs: #6, 44(1%)
minecraft.used.sand: #7, 6384(4%)
minecraft.mined.raw_gold_block: #6, 1(2%)
minecraft.picked_up.rabbit: #6, 10(1%)
minecraft.picked_up.light_gray_stained_glass_pane: #6, 9(1%)
minecraft.picked_up.black_dye: #6, 4(1%)
minecraft.used.waxed_copper_block: #6, 9(1%)
minecraft.mined.polished_blackstone_brick_slab: #6, 11(1%)
minecraft.mined.light_gray_stained_glass_pane: #6, 3(1%)
minecraft.crafted.yellow_stained_glass: #6, 32(1%)
minecraft.used.oak_door: #7, 5(6%)
minecraft.killed.rabbit: #6, 4(1%)
minecraft.picked_up.dragon_breath: #6, 2(1%)
minecraft.picked_up.gold_nugget: #6, 888(0%)
minecraft.used.bamboo: #7, 128(5%)
minecraft.picked_up.mossy_cobblestone_slab: #6, 4(0%)
minecraft.dropped.splash_potion: #6, 1(0%)
minecraft.crafted.dried_kelp_block: #6, 2(0%)
minecraft.picked_up.cocoa_beans: #7, 517(5%)
minecraft.used.spruce_sapling: #7, 282(4%)
minecraft.picked_up.filled_map: #7, 41(4%)
minecraft.used.oak_fence: #7, 173(4%)
minecraft.used.dark_oak_sapling: #7, 201(5%)
minecraft.picked_up.birch_stairs: #7, 14(5%)
minecraft.mined.dark_oak_sapling: #7, 9(7%)
minecraft.crafted.birch_fence: #7, 57(6%)
minecraft.crafted.baked_potato: #7, 329(6%)
minecraft.picked_up.bamboo: #7, 3639(3%)
minecraft.used.lightning_rod: #7, 86(4%)
minecraft.mined.oak_sign: #7, 6(4%)
minecraft.used.deepslate_copper_ore: #7, 13(7%)
minecraft.picked_up.lantern: #7, 107(3%)
minecraft.crafted.oak_fence_gate: #7, 20(5%)
minecraft.dropped.chain: #7, 12(6%)
minecraft.mined.polished_basalt: #7, 65(4%)
minecraft.custom.boat_one_cm: #8, 6926429(6%)
minecraft.dropped.written_book: #7, 3(5%)
minecraft.picked_up.polished_deepslate_wall: #7, 56(4%)
minecraft.used.lilac: #7, 7(4%)
minecraft.mined.spruce_leaves: #7, 2995(3%)
minecraft.picked_up.acacia_trapdoor: #7, 34(5%)
minecraft.used.cooked_cod: #7, 33(5%)
minecraft.killed.silverfish: #7, 16(4%)
minecraft.dropped.netherrack: #7, 4284(3%)
minecraft.crafted.oak_trapdoor: #8, 224(6%)
minecraft.crafted.stone_sword: #7, 2(3%)
minecraft.crafted.polished_basalt: #7, 412(4%)
minecraft.picked_up.polished_basalt: #7, 60(3%)
minecraft.picked_up.music_disc_13: #7, 1(6%)
minecraft.used.warped_nylium: #7, 16(4%)
minecraft.mined.crimson_nylium: #7, 48(2%)
minecraft.picked_up.birch_leaves: #7, 607(2%)
minecraft.crafted.oak_pressure_plate: #7, 1(4%)
minecraft.picked_up.slime_ball: #7, 417(2%)
minecraft.picked_up.netherite_hoe: #7, 1(6%)
minecraft.crafted.acacia_door: #7, 3(6%)
minecraft.crafted.warped_sign: #7, 27(4%)
minecraft.picked_up.dark_oak_pressure_plate: #7, 2(6%)
minecraft.picked_up.waxed_copper_block: #7, 9(5%)
minecraft.picked_up.smooth_sandstone_slab: #7, 35(3%)
minecraft.dropped.pumpkin_seeds: #7, 80(3%)
minecraft.mined.lime_shulker_box: #7, 91(2%)
minecraft.picked_up.lime_shulker_box: #7, 91(2%)
minecraft.mined.ladder: #8, 58(6%)
minecraft.picked_up.andesite_stairs: #7, 9(4%)
minecraft.used.warped_planks: #7, 122(3%)
minecraft.picked_up.spruce_stairs: #8, 164(6%)
minecraft.mined.nether_sprouts: #7, 29(2%)
minecraft.used.oak_pressure_plate: #7, 1(3%)
minecraft.custom.enchant_item: #8, 140(6%)
minecraft.dropped.dark_oak_slab: #7, 4(3%)
minecraft.crafted.granite_wall: #7, 18(3%)
minecraft.picked_up.oxidized_cut_copper_stairs: #7, 34(4%)
minecraft.crafted.dark_oak_pressure_plate: #7, 2(3%)
minecraft.dropped.bamboo: #7, 96(2%)
minecraft.picked_up.netherrack: #8, 14640(5%)
minecraft.dropped.flowering_azalea_leaves: #7, 12(2%)
minecraft.mined.bamboo_sapling: #7, 2(2%)
minecraft.crafted.oak_button: #8, 22(7%)
minecraft.crafted.warped_slab: #7, 60(1%)
minecraft.picked_up.oxidized_cut_copper: #7, 4(2%)
minecraft.crafted.black_stained_glass: #7, 1088(1%)
minecraft.crafted.birch_trapdoor: #7, 40(1%)
minecraft.killed.enderman: #8, 19425(5%)
minecraft.crafted.diamond_boots: #8, 4(4%)
minecraft.dropped.brown_mushroom: #7, 3(1%)
minecraft.used.bricks: #7, 87(1%)
minecraft.broken.flint_and_steel: #7, 1(2%)
minecraft.killed.magma_cube: #8, 397(5%)
minecraft.crafted.acacia_boat: #7, 1(2%)
minecraft.picked_up.stripped_acacia_log: #7, 5(1%)
minecraft.used.black_stained_glass: #7, 1021(1%)
minecraft.picked_up.prismarine_bricks: #7, 70(1%)
minecraft.crafted.light_blue_shulker_box: #7, 1(1%)
minecraft.crafted.smooth_sandstone_stairs: #7, 8(1%)
minecraft.picked_up.rabbit_hide: #7, 7(1%)
minecraft.mined.beehive: #7, 5(1%)
minecraft.picked_up.glass: #8, 1261(4%)
minecraft.used.enchanting_table: #8, 3(5%)
minecraft.crafted.bricks: #7, 132(1%)
minecraft.mined.light_blue_concrete: #7, 8(1%)
minecraft.dropped.nether_gold_ore: #7, 1(1%)
minecraft.used.brick_slab: #7, 7(1%)
minecraft.used.yellow_carpet: #7, 4(1%)
minecraft.used.polished_blackstone_brick_stairs: #7, 28(1%)
minecraft.used.brick_stairs: #7, 6(1%)
minecraft.mined.azalea: #8, 116(5%)
minecraft.dropped.acacia_leaves: #7, 1(1%)
minecraft.dropped.cauldron: #7, 3(0%)
minecraft.used.raw_gold_block: #7, 1(0%)
minecraft.mined.calcite: #8, 1383(4%)
minecraft.crafted.polished_blackstone_bricks: #7, 25(0%)
minecraft.picked_up.raw_iron_block: #7, 3(0%)
minecraft.dropped.shulker_shell: #7, 1(0%)
minecraft.mined.mossy_cobblestone_slab: #7, 1(0%)
minecraft.picked_up.orange_concrete: #7, 1(0%)
minecraft.mined.orange_concrete: #7, 1(0%)
minecraft.crafted.air: #7, 0(0%)
minecraft.mined.grass_block: #8, 18893(4%)
minecraft.picked_up.deepslate: #8, 4600(4%)
minecraft.crafted.diamond_axe: #8, 5(4%)
minecraft.mined.poppy: #8, 98(4%)
minecraft.mined.blackstone: #8, 1602(4%)
minecraft.used.diamond_hoe: #8, 16850(4%)
minecraft.picked_up.deepslate_lapis_ore: #8, 21(5%)
minecraft.used.flint_and_steel: #8, 214(4%)
minecraft.used.deepslate_tiles: #8, 1437(4%)
minecraft.picked_up.shroomlight: #8, 170(4%)
minecraft.used.lead: #8, 5(5%)
minecraft.picked_up.iron_nugget: #8, 291(3%)
minecraft.mined.dark_oak_sign: #8, 2(5%)
minecraft.used.deepslate_iron_ore: #8, 55(4%)
minecraft.used.player_head: #8, 33(3%)
minecraft.picked_up.ancient_debris: #8, 46(4%)
minecraft.dropped.oak_fence: #8, 15(3%)
minecraft.mined.ancient_debris: #8, 46(4%)
minecraft.picked_up.bookshelf: #8, 46(4%)
minecraft.crafted.polished_blackstone: #8, 949(4%)
minecraft.picked_up.raw_copper: #8, 3360(3%)
minecraft.crafted.diamond_leggings: #8, 2(3%)
minecraft.used.iron_ore: #8, 477(3%)
minecraft.used.birch_slab: #8, 115(4%)
minecraft.picked_up.acacia_log: #8, 663(4%)
minecraft.mined.acacia_log: #8, 612(4%)
minecraft.mined.warped_roots: #8, 64(3%)
minecraft.used.warped_wart_block: #8, 62(4%)
minecraft.mined.polished_deepslate_wall: #8, 26(3%)
minecraft.used.shroomlight: #8, 167(3%)
minecraft.picked_up.music_disc_cat: #8, 1(5%)
minecraft.killed.cod: #8, 38(3%)
minecraft.used.deepslate_tile_wall: #8, 207(3%)
minecraft.used.acacia_log: #8, 153(3%)
minecraft.crafted.netherite_ingot: #8, 9(3%)
minecraft.picked_up.damaged_anvil: #8, 3(3%)
minecraft.broken.iron_axe: #8, 3(2%)
minecraft.crafted.lightning_rod: #8, 44(2%)
minecraft.mined.birch_fence: #8, 17(3%)
minecraft.crafted.wooden_hoe: #8, 1(5%)
minecraft.used.dirt: #9, 17179(5%)
minecraft.custom.deaths: #9, 58(5%)
minecraft.mined.stone_brick_wall: #8, 8(3%)
minecraft.used.oak_fence_gate: #8, 13(3%)
minecraft.mined.stone_brick_slab: #8, 88(2%)
minecraft.used.spyglass: #8, 87(2%)
minecraft.used.acacia_door: #8, 2(5%)
minecraft.picked_up.gray_stained_glass_pane: #8, 11(3%)
minecraft.dropped.flint_and_steel: #8, 1(3%)
minecraft.crafted.flint_and_steel: #8, 9(2%)
minecraft.used.acacia_sapling: #8, 80(3%)
minecraft.crafted.copper_block: #8, 401(2%)
minecraft.mined.damaged_anvil: #8, 2(2%)
minecraft.picked_up.birch_fence: #8, 18(3%)
minecraft.picked_up.pumpkin: #8, 232(2%)
minecraft.dropped.netherite_shovel: #8, 1(2%)
minecraft.mined.chorus_plant: #8, 9(2%)
minecraft.dropped.oxeye_daisy: #8, 3(3%)
minecraft.crafted.deepslate_brick_wall: #8, 12(2%)
minecraft.crafted.brown_dye: #8, 83(1%)
minecraft.picked_up.lily_pad: #8, 24(1%)
minecraft.used.warped_sign: #8, 13(2%)
minecraft.used.gold_block: #8, 71(2%)
minecraft.crafted.barrel: #9, 160(5%)
minecraft.picked_up.copper_ingot: #8, 299(1%)
minecraft.killed.pufferfish: #8, 2(3%)
minecraft.used.acacia_fence_gate: #8, 3(2%)
minecraft.crafted.tripwire_hook: #8, 10(1%)
minecraft.crafted.end_rod: #8, 88(2%)
minecraft.mined.stripped_spruce_log: #8, 49(1%)
minecraft.used.carved_pumpkin: #8, 4(1%)
minecraft.used.deepslate: #9, 2108(4%)
minecraft.used.hanging_roots: #8, 6(1%)
minecraft.mined.stone_pressure_plate: #8, 2(1%)
minecraft.mined.crimson_stem: #8, 38(1%)
minecraft.used.brown_mushroom: #8, 14(1%)
minecraft.picked_up.red_dye: #8, 8(1%)
minecraft.crafted.smooth_sandstone: #8, 140(2%)
minecraft.crafted.diamond_pickaxe: #9, 12(5%)
minecraft.used.red_mushroom_block: #8, 22(1%)
minecraft.dropped.copper_ingot: #8, 8(1%)
minecraft.mined.stripped_acacia_log: #8, 4(1%)
minecraft.mined.acacia_sapling: #8, 3(1%)
minecraft.used.lily_of_the_valley: #8, 3(1%)
minecraft.used.oak_trapdoor: #9, 175(4%)
minecraft.used.spruce_leaves: #8, 253(1%)
minecraft.picked_up.ender_pearl: #9, 7335(4%)
minecraft.picked_up.amethyst_block: #9, 958(5%)
minecraft.used.gray_stained_glass_pane: #8, 16(1%)
minecraft.used.pointed_dripstone: #8, 173(0%)
minecraft.used.light_gray_stained_glass_pane: #8, 20(1%)
minecraft.crafted.dried_kelp: #8, 26(1%)
minecraft.picked_up.light_blue_concrete: #8, 8(1%)
minecraft.crafted.clock: #8, 3(0%)
minecraft.dropped.dandelion: #9, 28(5%)
minecraft.mined.dark_oak_trapdoor: #9, 34(5%)
minecraft.picked_up.magma_cream: #9, 134(4%)
minecraft.crafted.glass_pane: #8, 272(0%)
minecraft.used.polished_blackstone_brick_slab: #8, 22(0%)
minecraft.picked_up.lime_dye: #8, 1(0%)
minecraft.mined.deepslate_copper_ore: #9, 52(4%)
minecraft.crafted.lime_stained_glass: #8, 16(0%)
minecraft.mined.lime_stained_glass: #8, 1(0%)
minecraft.picked_up.lime_stained_glass: #8, 1(0%)
minecraft.used.brown_stained_glass: #8, 2(0%)
minecraft.picked_up.prismarine_shard: #8, 1(0%)
minecraft.picked_up.stick: #9, 2189(4%)
minecraft.mined.flowering_azalea: #9, 53(4%)
minecraft.picked_up.blackstone: #9, 1898(4%)
minecraft.custom.interact_with_smoker: #9, 35(5%)
minecraft.mined.sugar_cane: #9, 1729(3%)
minecraft.custom.interact_with_stonecutter: #9, 190(3%)
minecraft.mined.nether_gold_ore: #9, 118(4%)
minecraft.custom.player_kills: #9, 5(4%)
minecraft.picked_up.golden_chestplate: #9, 12(3%)
minecraft.crafted.lapis_lazuli: #9, 378(3%)
minecraft.picked_up.bone_block: #9, 237(3%)
minecraft.crafted.wooden_pickaxe: #9, 1(3%)
minecraft.crafted.lantern: #9, 186(3%)
minecraft.picked_up.deepslate_iron_ore: #9, 91(3%)
minecraft.picked_up.diamond_hoe: #9, 7(4%)
minecraft.mined.white_bed: #9, 61(3%)
minecraft.picked_up.phantom_membrane: #9, 26(3%)
minecraft.used.redstone_ore: #9, 148(3%)
minecraft.picked_up.white_bed: #9, 62(3%)
minecraft.picked_up.raw_iron: #9, 3385(3%)
minecraft.dropped.birch_planks: #9, 36(4%)
minecraft.used.dark_oak_planks: #9, 239(3%)
minecraft.mined.nether_wart: #9, 160(3%)
minecraft.picked_up.paper: #9, 128(2%)
minecraft.used.copper_ore: #9, 207(3%)
minecraft.picked_up.gold_block: #9, 79(3%)
minecraft.crafted.red_shulker_box: #9, 2(3%)
minecraft.dropped.wooden_pickaxe: #9, 1(4%)
minecraft.mined.crimson_fungus: #9, 9(3%)
minecraft.used.dark_oak_boat: #9, 8(2%)
minecraft.used.cobbled_deepslate_wall: #9, 97(3%)
minecraft.picked_up.iron_horse_armor: #9, 1(3%)
minecraft.picked_up.dark_oak_door: #9, 3(4%)
minecraft.mined.stripped_dark_oak_log: #9, 91(2%)
minecraft.crafted.deepslate_tile_wall: #9, 28(2%)
minecraft.crafted.stonecutter: #9, 5(2%)
minecraft.used.warped_trapdoor: #9, 28(3%)
minecraft.dropped.oak_trapdoor: #9, 7(3%)
minecraft.picked_up.stripped_dark_oak_log: #9, 88(2%)
minecraft.crafted.warped_trapdoor: #9, 30(3%)
minecraft.used.tnt: #9, 176(2%)
minecraft.crafted.raw_iron_block: #9, 126(2%)
minecraft.used.armor_stand: #9, 17(2%)
minecraft.crafted.tnt: #9, 381(2%)
minecraft.used.damaged_anvil: #9, 2(2%)
minecraft.mined.oxidized_copper: #9, 311(2%)
minecraft.picked_up.oxidized_copper: #9, 326(2%)
minecraft.picked_up.chorus_fruit: #9, 93(2%)
minecraft.used.painting: #9, 31(2%)
minecraft.dropped.glow_berries: #9, 3(3%)
minecraft.crafted.warped_planks: #9, 788(2%)
minecraft.picked_up.acacia_sapling: #9, 99(2%)
minecraft.used.diorite_wall: #9, 8(3%)
minecraft.crafted.white_terracotta: #9, 32(2%)
minecraft.picked_up.warped_sign: #9, 6(2%)
minecraft.used.copper_block: #9, 272(1%)
minecraft.picked_up.green_dye: #9, 7(2%)
minecraft.used.diamond_sword: #9, 5780(1%)
minecraft.dropped.birch_log: #9, 18(1%)
minecraft.used.oxidized_copper: #9, 115(1%)
minecraft.dropped.repeater: #9, 6(2%)
minecraft.used.detector_rail: #9, 2(2%)
minecraft.mined.oak_fence_gate: #9, 3(1%)
minecraft.picked_up.cut_sandstone_slab: #9, 9(2%)
minecraft.used.diamond_pickaxe: #10, 148805(4%)
minecraft.picked_up.stripped_spruce_log: #9, 44(1%)
minecraft.used.crimson_nylium: #9, 9(1%)
minecraft.crafted.ender_eye: #9, 13(1%)
minecraft.crafted.raw_gold_block: #9, 14(1%)
minecraft.crafted.acacia_fence_gate: #9, 3(2%)
minecraft.custom.interact_with_cartography_table: #9, 3(1%)
minecraft.used.netherite_axe: #9, 2134(1%)
minecraft.mined.bricks: #9, 6(1%)
minecraft.mined.acacia_leaves: #9, 237(1%)
minecraft.dropped.bread: #9, 59(1%)
minecraft.mined.cobbled_deepslate_slab: #9, 7(1%)
minecraft.used.acacia_boat: #9, 1(1%)
minecraft.mined.warped_planks: #9, 15(1%)
minecraft.mined.clay: #10, 303(5%)
minecraft.mined.chiseled_deepslate: #9, 7(1%)
minecraft.picked_up.netherite_ingot: #9, 1(1%)
